,Cov_0,Cov_1,Cov_2,Cov_3,Cov_4,Cov_5,Cov_6,Cov_9,Cov_35,Cov_36,Cov_38,Cov_39,Cov_40,Cov_43,Cov_44,Cov_45,Cov_47,Cov_48,Cov_49,Cov_51,Cov_52,Cov_53,Cov_54,Cov_55,Cov_56,Cov_58,Cov_59,Cov_60,Cov_61,Cov_62,Cov_63,Cov_64,Cov_65,Cov_66,Cov_67,Cov_68,Cov_69,Cov_70,Cov_71,C_0,C_1,C_2,C_3,C_4,C_5,C_6,C_9,C_35,C_36,C_38,C_39,C_40,C_43,C_44,C_45,C_47,C_48,C_49,C_51,C_52,C_53,C_54,C_55,C_56,C_58,C_59,C_60,C_61,C_62,C_63,C_64,C_65,C_66,C_67,C_68,C_69,C_70,C_71,Mean,Std
0,135.662496589798,160.159304410916,184.67884289742,207.293497787023,228.286393058775,249.221493865346,9.13159936136512,8.71787207588721,4.17418293841572,2.02174045910044,0.249359259310181,-3.88683794250298,-2.99988341888664,-3.29574441324209,-27.1487073577192,-17.0524776588954,-8.45695440997299,0.413110253737279,-2.5788259898943,-5.04556641950098,-6.39712718647381,-4.83745621100268,-3.29202092318725,-1.60979578659286,0.921156492407292,3.14532322975341,-0.431891608776059,-1.80580485314187,-2.81153080726415,-3.69971743547675,-4.97411023081449,-5.65717844488012,-5.88312015860693,-6.79803163595432,-8.84294952086742,-14.68364003693,-22.139122780091,-13.7588467687567,-5.27552186979052,1.441857709583305,-1.8600196968962277,0.3701722364378411,0.09108731951268072,0.10325856628303756,-0.028174746742550882,-0.03178294875043348,0.007759970368781628,0.03974427087435053,0.06791942905003058,-0.013981176967719814,-0.018151900326840102,0.10292937679943548,0.006757023995500175,-0.0017940776985735593,-0.03604950386486363,-0.0013091518101849373,-0.09134390352703921,0.04599845859202618,0.08936655827397245,0.05872608869178001,0.065618566927185,0.009832697303619738,-0.06856842759811457,-0.09641043437108127,0.031790845396986865,0.015902289097526202,0.08357492187658232,0.02900809252637649,0.012491271415636596,0.006615373527398779,-0.0017273242416881989,-0.02890801235409387,0.06262182979540423,0.0015052281227262874,-0.13682447609825288,0.04595102346188782,0.008623698990720269,-0.016531017733518207,0.8003665689149561,11.64699517428415
1,160.159304410916,192.092505503697,223.976017951805,251.754355946288,277.549677957561,302.226287318613,11.2159129925326,10.9617386580432,5.96457079417098,3.42498901957774,1.38395180629872,-4.23285043352616,-3.55721099304772,-4.8844188341959,-43.2058842362526,-28.475642952988,-15.27723517377,-2.04860884778887,-4.75178629051581,-7.08140022840737,-8.15929842829141,-6.16404996989209,-3.9676644831623,-1.65646550658916,1.55597705846516,4.73042006413656,0.914641290965326,-0.580915716615529,-1.93517746514782,-3.15106512516885,-4.73982733539208,-5.7438192825509,-6.74334526776251,-8.30805360886863,-11.6418284260137,-18.7938889481438,-27.4998412887384,-17.9336568326806,-8.26098127681723,-1.8457349177647857,3.8584452774218927,-1.5360121138187037,-0.21874184866419985,-0.0009925134888695737,-0.10541955971666567,0.04428773460095947,-0.006617815087053572,-0.028016457378281085,-0.010428129930405832,0.006728023433757708,0.006972547961721466,-0.04173703306963647,-0.02043260574175173,0.062166237926264405,-0.05501676726304873,-0.025297436860480776,-0.0792823408813885,0.13742753719825523,-0.12608343778789227,-0.03285458892631878,-0.011248793724945173,0.031111003024843792,0.00342198898887368,-0.033341835462320765,-0.006000872296077951,-0.0002599220686850269,0.02125209564421869,0.007801165845661813,-0.002335354070195271,-0.024363759614868172,0.04076743709044436,-0.004476135750444657,0.04063610172298803,-0.01849606819692135,0.010979775635983263,-0.00046911327553297134,0.020990083425655875,0.003018458393932228,-0.18632872503840273,13.859383301709256
2,184.67884289742,223.976017951805,263.523157449984,296.713379380271,327.478163459493,356.101723333179,13.7408049002792,13.599805213964,8.13864553841372,5.17614666864927,2.81400842327893,-4.42332250774151,-3.99593649789919,-6.5911560442029,-60.1250201928617,-41.961845077009,-25.3474579541685,-8.94932692859273,-10.7438190402628,-12.3497049975203,-12.5149315367833,-9.37579027889411,-5.82771494834774,-2.19378577943385,1.89498978525346,6.2151187092046,2.31570755585469,0.841126397560458,-0.82690812178711,-2.33439084924011,-4.19329201981375,-5.50204392345448,-7.22853714536841,-9.40024562856123,-13.9085324316962,-22.1476183140436,-31.9142305806333,-21.287514027848,-10.5501822678184,0.37624438722934095,-1.5700009438266795,2.4428494602894117,-0.971711793605185,0.0629592745487564,-0.2560379671440266,0.02487362734288888,0.00473887141245957,-0.00692884826342638,-0.12133722181661881,0.016590724455726857,0.17684926787803182,-0.10726490928302002,-0.08395277989092408,0.19849686302390016,-0.109693852299662,-0.011862562316579665,-0.013972575123174482,0.14412772910069727,-0.02365997707925751,-0.11899532407638656,-0.07026777841168383,-0.004632923329902497,0.04506345444796732,0.003323132591475235,-0.015676385163018364,-0.026208270193194747,0.01847712156917423,0.010307311293723833,0.013820605040290888,-0.0832937006180607,0.019196727235217936,-0.04114253523860107,-0.01954223344968719,-0.09541898064176435,0.2136949887050096,-0.09315915218087761,-0.00820977774633497,0.008597453118184446,-1.2624505422892516,16.233088352189316
3,207.293497787023,251.754355946288,296.713379380271,336.818393913399,373.646165161499,406.984710920247,17.1146486996786,16.5660576827639,9.60470406278171,6.32489355584515,3.6216648264761,-4.60374786736184,-4.23856954764297,-7.8017689292638,-46.1989186781146,-34.5120464758491,-24.5484401926558,-14.9052284106108,-15.3849073420977,-17.1608589261375,-17.2030815255934,-12.7016706205822,-8.15345208820835,-3.52757736739828,1.0137497023979,5.89296878789418,1.8196527828326,0.614040459620554,-1.01396974192869,-2.45363862081037,-4.59125829981775,-6.0580487331714,-8.35329905848613,-11.1402093644918,-16.3867301861799,-24.7814806292121,-34.9330264377713,-22.3930792568171,-9.72959626433151,0.0911103969265441,-0.22168343881960825,-0.9619253667911083,2.1048742804371994,-1.0029355943571552,-0.0017526912863770083,-0.084236488324925,0.06637421289202348,-0.05664550426970807,-0.0274882185885784,0.017730733085273544,0.029146167287710523,-0.03965438410444161,-0.0066565038749481125,0.026453097091580408,-0.0710983972428147,0.02569389818290752,0.08964560931035463,-0.1062787351434075,0.1321064056932805,-0.14142593984083598,-0.010534647045263898,0.025865831606746704,0.2125271612565447,-0.07439114854411913,-0.03867430395089882,-0.13841605416186076,0.1068877098039599,0.07688174366309991,0.04558790518131491,-0.0047098700258450185,0.11802264162629218,-0.09345424860213528,-0.046092343854021514,0.06859206007498679,-0.016404977605245123,0.009872610740964953,-0.009916549133322348,-0.02143554229117549,-1.5971745100777357,18.352340284372442
4,228.286393058775,277.549677957561,327.478163459493,373.646165161499,416.79030311345,454.721462601071,19.784968854909,19.0052211909831,10.569789393516,7.15249505663808,4.33089163957041,-4.72783633224296,-4.58094077999542,-8.79845294234476,-33.3040629579664,-27.3746509591816,-23.1843807870193,-19.4006792882309,-18.9551814281012,-21.0144185418569,-21.2538549286792,-15.4492456074319,-9.94118865435175,-4.35143654644553,0.652701988491254,6.09390645107337,1.86870668128242,1.01085852705569,-0.474971998610954,-1.75653725394449,-4.18592597886061,-5.80345566876955,-9.17681966138968,-13.0119274275971,-19.4295117225018,-28.9922763504968,-40.5331706280289,-25.6924549517376,-10.7091193717864,0.09907313007242234,-0.000751336515318954,0.06606718044610647,-1.002565997623594,1.5241716485694208,-0.6445115762961559,0.00969493338605375,0.11860092237281408,0.0355691751192942,0.009266382105010268,-0.2220984406695737,0.017958644382792755,0.061132185031412496,-0.010094155253041217,-0.015953241568572668,0.017457108262381834,-0.015317192289260274,-0.09714946116866471,0.07927159860616208,-0.005674728599931397,0.10831246272676297,-0.002413447039095505,-0.03026867178790609,-0.07378631518287654,-0.04429884876292941,-0.11528528328926566,0.18347351833777825,0.03817963118136798,-0.037853278847277336,-0.09827731066821296,-0.018025934928440256,-0.01288346077794614,0.00016197519253463311,-0.027448294704436334,0.1866438867587746,-0.10894691338764477,0.05790054383588342,-0.014191807021263238,-0.035417493623132755,-1.5573627984918312,20.415197846541936
5,249.221493865346,302.226287318613,356.101723333179,406.984710920247,454.721462601071,499.031587934189,22.6533780383218,22.0337716511194,11.9349127601766,7.4746908046382,3.76982733895674,-4.9507859285168,-5.09272387070565,-10.4538947627045,-23.2693189012775,-22.3275696028006,-23.2330696260329,-24.6862583206451,-22.9215247551176,-25.0525682539359,-25.3127946996423,-18.4173113066784,-11.9010855501746,-5.28430388404255,0.159785782482021,6.1933082654162,1.96078272998836,1.00417891301956,-0.849672068747513,-2.48292114034438,-5.17063070582252,-6.69826870635142,-9.5573695357075,-12.8586037860295,-19.4047051357753,-31.8685572741749,-46.4849787251784,-29.0047512073694,-11.352143709874,-0.021900532526137113,-0.10024485137222001,-0.2575332752754682,-2.693778316731777e-05,-0.6452829475827737,0.8768030037658218,0.01959041022055242,-0.16968854327043545,0.010543171572995483,0.06975662631437847,0.17519261384921148,-0.15791466080088917,0.0421379814114112,0.08600738788279952,-0.18191389729189764,0.17015307239782812,0.01849417646616686,0.11267440688133493,-0.18676343309881083,-0.04983147722112179,0.09010106449706211,0.03866542809068975,-0.006496415925872331,-0.09172382424236103,0.16349977165543286,0.1256329880231089,-0.04314807374695153,-0.18385108270625383,-0.05383267464169521,0.03099621516295884,0.09910822985614502,-0.11870607496285733,0.12315251740587742,0.021141315151888124,-0.1421796378944367,0.02335690686760427,-0.015549098275505603,0.012090442689589559,0.0522974985899181,-0.9643252804543126,22.338791102792232
6,9.13159936136512,11.2159129925326,13.7408049002792,17.1146486996786,19.784968854909,22.6533780383218,11.7181293645706,10.3010207931593,3.52215948676035,2.15219118237505,0.531362201434092,0.406322847266073,-0.0021700087207255,-2.03102104770594,3.79315412719854,0.435503549898632,-3.05964052338393,-6.88265139716107,-4.74252073312532,-5.3357566105769,-5.35284598360441,-3.35210304882343,-1.62599609247823,0.0707308709473547,0.858574405401381,1.99825310426716,1.37113248622465,1.47173586607165,1.06748182233872,0.70924406040535,0.203102880586107,-0.792300584232256,-2.65732762878028,-4.44881355682923,-4.73074120368536,-3.89299931479424,-3.3054244121591,3.02867804566501,9.4028731709597,-0.030765751260053,0.045074217923290874,0.02362998048068999,-0.083336740633159,0.009414255637009874,0.019919511064988113,0.7736610269780957,-0.5716977612204474,0.027345262027635237,-0.007935889744079945,-0.11261778062821076,-0.04650596813106986,0.005712630559630095,-0.04782047408251174,-0.028116125022477956,0.011821249739788793,0.043601015649500134,0.035334520262219615,-0.11866522622421767,0.12897602108819728,-0.03447366009298755,-0.028558373913100083,-0.06076219539637959,-0.09770924154885115,-0.0318897960702868,0.015432713852850168,0.06082742374246991,0.04887638466911954,0.027903327842771674,-0.008429763883710141,0.010719852971898295,-0.04572222310697009,-0.026230081701109142,-0.04276885711286247,0.043578781956865674,-0.01101098180581247,0.02659476290586974,-0.007855316541561552,-0.0398102652907653,-6.039071591490946,3.421714389684001
9,8.71787207588721,10.9617386580432,13.599805213964,16.5660576827639,19.0052211909831,22.0337716511194,10.3010207931593,10.9964721178913,4.28663948191562,2.34194819365209,0.0243016208371105,0.0005561444912754,-0.413448390574044,-3.13596526564128,-2.49437026472964,-3.56802951427836,-4.85430796279352,-6.61910972118071,-4.28317541396394,-5.23686255258718,-5.89435942060019,-3.68333126665206,-1.62008779843212,0.422246118441086,1.61474940634913,3.3042375280632,2.73332511053779,2.44805707469931,1.52765624155565,0.644615873515183,-0.091259066359613,-1.44001954871299,-3.68275215817604,-5.82335932648971,-6.17233271241437,-2.31437394339365,1.40456932507609,5.0191344590158,8.67966061089876,0.005090943560550514,-0.002557760197840973,0.005961668901690534,0.06574216288313262,0.11873458696053302,-0.16916032481635607,-0.5717631829873971,1.0578183033944788,-0.2931948782095281,0.010933424204514257,0.06046490273167564,0.07337968791480426,-0.04606587757908317,0.08915860922007067,0.035960853264754164,-0.000528236064129254,-0.09090643839521036,-0.01606547399031705,0.10102339905033113,-0.07372004109447412,0.09558802710571565,-0.019128724975235496,0.0037254018330715173,0.02459356738905618,0.028231103372417826,-0.10371652551120082,0.0008774874492847869,-0.06835824389943025,-0.015021807317888155,0.02479820532236961,0.018047519607303157,0.03722234780632097,0.018761805040684375,-0.07282270101495068,0.19455840584910988,-0.051475979680031474,0.01125608211503309,-0.010992089558393243,-0.034806510172149356,-5.353065214355536,3.314584757988738
35,4.17418293841572,5.96457079417098,8.13864553841372,9.60470406278171,10.569789393516,11.9349127601766,3.52215948676035,4.28663948191562,4.42676152270203,3.33756038223118,1.9665318155471,0.279876542578398,0.103254132210561,-3.09231551190296,-11.388304991083,-10.1289597067812,-9.35526084224225,-9.053146511595,-6.61443701458027,-6.76392656588874,-6.87827527077465,-5.15593040104299,-3.4791785709882,-1.82017581361742,-1.06177534835933,0.179556285816806,0.513219564490281,1.10954701306149,1.02929434577824,0.954948785916621,0.826585800455185,0.151544423790437,0.205645316302515,0.242876355415757,1.31623942940453,3.18478050108449,5.18211342823216,4.9208991682725,4.711425721093,0.04608476683531687,-0.022734024786942704,-0.008587577032595854,-0.053407277265613874,0.03420990299404983,0.012506799289567513,0.027712828986664714,-0.29335479562972416,1.5975200356387176,-0.9973905669972521,0.3257121618848734,0.23249449442937412,-0.27304324725567836,0.1783056346906089,0.08869621453048399,-0.06948683524855184,-0.08671583534999541,0.21648715586150846,-0.11880413457783048,-0.002712782631394576,0.03840669854851464,-0.08079787266866757,0.04079580704171113,0.07932675119107879,0.14715491481683812,-0.12191416873192938,0.13940564649537823,-0.13069647194209066,-0.09412203416000259,-0.1500045330958728,-0.03148349097820713,0.30844676702044577,0.038313694198918224,-0.07523256045444185,-0.12306449166274336,0.1481943377807247,-0.07016276642075471,-0.0036342625139740214,0.02598551922979751,-3.6455150584182845,2.101609269750691
36,2.02174045910044,3.42498901957774,5.17614666864927,6.32489355584515,7.15249505663808,7.4746908046382,2.15219118237505,2.34194819365209,3.33756038223118,4.01491171145828,4.20568050157368,1.35083866133553,0.770419554770396,-2.73240758712417,-10.6677926625025,-9.54805718121595,-9.05193108627776,-8.93545888375999,-7.02027758166532,-6.8921785797509,-6.76310011979783,-5.17524800526082,-3.55428449303466,-1.94666042333514,-1.1518986705451,0.0326386423803614,0.850213453857812,1.47663260794532,1.51309533142356,1.55270841238631,2.01148948888603,1.98624648289518,2.04849456492462,1.99974816877381,2.95873828382948,6.41950843871416,9.81079533633325,6.17583301132965,2.60196423451872,0.057473077747905395,-0.01344578125535466,-0.12220878149413134,-0.028968734876224384,0.005194116888348489,0.07475519406563268,-0.007551381597280654,0.009699143819284876,-1.0021856584524795,2.6351706109829527,-1.1453743676517383,-0.009509050801567782,-0.05699934810383519,0.12365691229975222,-0.003909317690462214,-0.006529348280380139,-0.008619931538190375,0.0777065965784894,-0.11300270850263888,-0.00018458456719511727,0.09281822564679064,0.010562662089962298,0.019648477360739918,0.015545338365641726,0.006778226560272733,-0.14946409334380703,0.10569209215618558,-0.016520645015512873,-0.008837196516512874,0.04944629157678454,-0.22729896213902237,0.03735320077371763,0.1295935913344501,0.11631571217744743,-0.14139998110684668,0.004440873473106314,-0.00748861773534528,-0.008670881095425634,-0.023030269323790077,-2.9772122143089885,2.0012275511441175
