,Cov_0,Cov_1,Cov_2,Cov_3,Cov_4,Cov_5,Cov_6,Cov_30,Cov_31,Cov_32,Cov_33,Cov_34,Cov_35,Cov_36,Cov_37,Cov_38,Cov_39,Cov_40,Cov_43,Cov_44,Cov_45,Cov_46,Cov_47,Cov_48,Cov_49,Cov_50,Cov_51,Cov_52,Cov_53,Cov_54,Cov_55,Cov_56,Cov_57,Cov_58,Cov_59,Cov_60,Cov_61,Cov_62,Cov_64,Cov_65,Cov_66,Cov_67,Cov_68,Cov_69,Cov_70,Cov_71,C_0,C_1,C_2,C_3,C_4,C_5,C_6,C_30,C_31,C_32,C_33,C_34,C_35,C_36,C_37,C_38,C_39,C_40,C_43,C_44,C_45,C_46,C_47,C_48,C_49,C_50,C_51,C_52,C_53,C_54,C_55,C_56,C_57,C_58,C_59,C_60,C_61,C_62,C_64,C_65,C_66,C_67,C_68,C_69,C_70,C_71,Mean,Std
0,4414.66849221758,1516.36920288688,406.397181660854,340.911765063986,244.305863755256,160.561213957153,3.00576911557242,6.19495754392411,-5.37188277874567,-5.6762337124517,32.5791877782405,22.2822637293417,8.08971990735684,36.5005471226451,61.4671208147944,133.365487477785,291.049134421872,450.846657527734,236.346812739533,23.415092136976,1.3014194388415,-14.9878707598878,-33.2086743015972,-49.8892741117633,0.689942806137375,-37.5562353419897,-71.489543358774,-75.286413774374,-104.694945766184,-118.953583344018,-130.533242423384,-148.091874638382,-160.158147107128,-174.769435630186,-230.850999901996,-298.534494047475,-353.263033547218,-203.475766811565,-205.822530753425,-60.2450682244101,-188.306741390781,-207.772984116164,-195.727513876079,-218.671484123901,-243.872666506174,-319.925537472347,0.08407798872107351,-0.14075096786350577,0.16043550819594862,0.016926797720171787,-0.029469236101879973,-0.02823661066051036,0.0059281144597693606,-0.020018665129015473,0.0002894841507769274,-0.026114624690560757,0.03214344781483022,-0.04391169178320765,0.00976362698206151,0.006364745692914648,-0.029761283541661687,0.21034864236350073,-0.04373332212275966,-0.3587984815499709,-0.03502658822945164,0.1836254917746674,-0.05146464254049296,0.025009521245157734,0.014564954596621925,-0.03053700980648418,-0.02935700778584168,-0.001647857963487938,0.03031986680281889,-0.02514183918367951,0.00447564484738302,-0.005973932593313159,0.018913712047706716,-0.02166338506597533,-0.0025385237759051275,0.007263505677628026,-0.02128380923026956,0.013779711791603155,0.0006190592787801123,0.015160803987462843,-0.003111465223795572,0.00013183928003200022,-0.009997403633595164,0.004856644023283947,0.0163392315527661,-0.0035935787892594838,-0.016789534810654025,0.006858261621106837,16.987455197132615,66.4428964767309
1,1516.36920288688,2981.5371593763,2076.75088203667,1673.7581252589,1261.21671533249,844.509606516266,391.143396994454,15.0795162262729,-5.5754380070059,-18.4879545162025,18.9538908210301,-19.486805973651,-25.0780892899872,-0.80598353760654,21.2460110814485,-39.1815810663393,-29.2780896948199,-18.0349759197601,-8.0652859693946,3.25566458698667,1.5701035193752,3.36129740872007,3.86380655137609,5.64514494744877,-17.0736131286475,-49.6917615298574,-79.26319485965,-76.9217124679947,-59.7281184551584,-31.8327961744881,-1.92323071809228,24.0855178123016,54.0125769747475,82.1743356018859,78.0506222688818,72.8470379637225,81.3434001165712,250.417021097262,295.140011610368,455.367202400089,-88.3559281152023,-105.931433983721,-103.2185746333,-134.224404860616,-165.997063437414,-223.217827831752,-0.14075096786303098,0.3282214480693409,-0.34046120887536313,-0.04905956440025661,0.04210896617130345,-0.04305173623495229,0.1573053009974975,-0.04530605099807798,1.0714688681355494e-06,0.07327181084201434,-0.12168970817469893,0.11328793421672491,-0.014352977397053416,-0.01590385733981074,0.06904065963612309,-0.41698729653280225,0.0848034295292656,0.7023420868026113,0.06511217639699715,-0.3650300781566019,0.09262964211215421,-0.06283257671095871,-0.02552006260906524,0.07503820078566736,0.07253177625111093,0.0035298337703656077,-0.07117834095470563,-0.031900376063883844,0.026949629753354135,0.037464771387005734,-0.03656568614866112,0.04553662995572719,-0.006462473371014864,-0.021039085302116695,-0.0011283724996747667,-0.0058074193505300775,0.010680870854870838,-0.017666195455346027,0.013582663529918352,-0.015382316099372354,0.05758597932295085,-0.014190361284182046,-0.07749738624054035,0.02043381934639444,-0.009024234978768904,0.03334188757268993,10.960061443932412,54.603362161833005
2,406.397181660854,2076.75088203667,1769.90986995147,1423.95000730941,1071.45737908881,715.187216379082,359.431614312315,-2.31427330393031,-7.90048398273139,-9.53199739842328,13.1417642206035,-0.325235417895973,-4.213470986492,9.88064299820361,22.834149881557,-15.2231913624216,-8.28840069525878,-0.73260055957737,0.130579668212848,1.91529068505202,1.59959999960265,2.56288501947189,2.72186256307491,3.81887765539397,-4.80949955250238,-37.2310506414335,-67.6694571974642,-80.2288735009204,-57.8352429733581,-29.0074506598734,1.22609576130235,29.5376100061012,60.1241158471265,89.8643112820422,100.905568422471,108.572966412608,129.343709989953,244.94493144094,289.454099820529,401.857965061979,-49.4847709232376,-63.1202827112684,-69.9323868969775,-95.4159178783245,-120.556867053378,-144.49494843463,0.16043550819523267,-0.34046120887428466,1.130246315487112,-0.9717332452931332,-0.07095157903619473,0.1844102336087476,-0.0447554918994292,0.1328742898322352,-0.01905440125904191,0.021617289116808696,0.1321821386374341,-0.0605744026305828,-0.08144960124488057,0.06738302110566195,0.1736874565983627,0.5020050784354935,-0.08899192974253303,-0.8819222054740501,-0.014942465443991255,0.6216144499995327,-0.2855064472395753,-0.01742946291150495,-0.009493863404656199,0.18895812794180683,0.09926179354809392,-0.03588519786769803,-0.07243895661469464,-0.05274624604453453,0.16168633151175835,-0.06418344780499786,-0.043346998747934476,-0.014915712446434849,-0.01432543686504144,-0.01812050861903245,0.12196262781053699,0.03974667919648373,-0.09106545997374468,0.0059702608579164365,0.0036217880559881945,0.005140542174582408,-0.017342466125967203,0.03213156484052813,-0.01673681371193453,-0.023409278567168092,0.14741112083321262,-0.10478688308686615,4.553635432667692,42.07017791680308
3,340.911765063986,1673.7581252589,1423.95000730941,1148.79669036511,866.415902576761,579.500403649028,292.970788404054,-0.755667338137575,-4.99400640417054,-6.66441411043933,13.457716406671,1.49556053597987,-1.65926190887576,9.9681066381627,20.6821886347585,-13.7050805682371,-7.2995382391391,-0.490677269798947,0.577718823887733,2.36058192640641,2.78691688450823,3.68664657675402,3.86956588797038,5.15599835491084,-0.917665057582372,-27.4217765536217,-52.0918715160744,-64.4649272759596,-46.4630770373662,-22.7966986092655,2.1625372454513,25.7467476604657,51.1575067153035,75.9928461985178,86.9656862309789,93.7794859502422,112.202419897845,202.0098510911,238.604497207036,326.207048407671,-38.3457566249746,-47.9484688250753,-54.9429801425338,-76.7274722193145,-98.3768172812503,-118.318943991278,0.016926797722998804,-0.04905956440858657,-0.9717332452896127,2.2159866452078862,-1.026378956522608,-0.27627218928730274,-0.01396264506154207,0.0927038778448444,-0.22381103378955666,0.09339860085236942,0.006332143673561722,-0.11413951095080983,0.04851087121948839,0.03337813666318421,-0.016325917299981486,0.09020328469674933,-0.023907546819397364,-0.11488406334084533,-0.10308250009954968,-0.2848413147032093,0.23103538697630344,0.0660130939451748,-0.1169909236908938,-0.2282191059793576,-0.14108010048753009,-0.10338440127874103,0.2572123699552254,0.08686604758035334,-0.2940731763521691,0.03442068281915723,0.2432390073396239,0.014150774895981228,0.02147594431459369,0.016656899620449403,-0.07288951512106057,-0.19261469456669336,0.1415817951940025,-0.015483431385489561,0.012843228451975015,-0.03357236931041806,-0.09669416150906128,-0.030395498223835266,0.22851874489672466,-0.03054506620766128,-0.3431344419053456,0.1986617914079558,2.9348438300051214,33.89375592000855
4,244.305863755256,1261.21671533249,1071.45737908881,866.415902576761,656.543424871382,440.980692344295,225.442889690639,1.37015118602031,-2.62446959354344,-4.22942523356356,12.516401920693,1.22316715088973,0.406468326400708,9.14587274201109,17.1601376747912,-17.1845444948366,-12.3381554259875,-7.20924610224204,-3.16211418363224,1.43781484034998,2.72512859449369,2.58167326319784,1.84319841359653,2.38932657565345,-2.98685218610265,-23.2369680447997,-41.7969998318156,-48.9552456757298,-34.9506565200563,-17.2978689730365,1.25856879585046,18.7221738217165,37.6723401929596,56.2751606519156,64.2719852752976,67.9752107429268,82.116580120218,151.358585300183,178.955422937638,245.809861005429,-29.7394773242325,-36.357094235144,-41.1770302292446,-58.3902347802735,-75.7005743706282,-91.2805924063366,-0.029469236104020947,0.042108966174504506,-0.0709515790427478,-1.026378956518444,2.466653459798893,-1.5484743043244011,-0.00023911634601896415,0.04455244040687113,-0.06081464137039321,-0.09614563971665384,0.17335359662065292,-0.040117918119070096,0.20176668340002257,-0.21060355398677902,-0.3931656887985516,-0.13921437476469695,0.023261384419715238,0.29731723393642256,-0.03800632774241726,-0.01542745316622706,0.18614797932673058,0.09975437149630964,0.1477263786859394,-0.25293358764127516,-0.1900205834560807,0.2610764531066761,-0.06974620595930738,0.10158729012663502,-0.0168368427895266,0.0024075102328143553,-0.1191544627441951,-0.05351843746548048,0.05977670386794083,0.0005678205731012136,-0.08644126762903848,0.14169548416887282,-0.022601943211934223,0.013924884372545495,-0.07914075611566504,0.05844526823855286,-0.017233831334432122,0.010343355795674889,0.0656265084700673,0.012461028028393918,0.18926910382258916,-0.18395690611308874,1.8969662058371735,25.62290820479561
5,160.561213957153,844.509606516266,715.187216379082,579.500403649028,440.980692344295,298.421356475047,155.572046555691,2.68163551527097,-0.897262264364122,-2.25944895654736,12.2676812763284,1.32979380671754,2.10295184942445,7.67566442007864,12.6661715987968,-11.7845077151461,-9.28799678570357,-6.59141676902178,-2.92969673857249,1.12279806182574,4.13079232547514,2.99132511816838,1.35053041338517,0.719146895095878,-4.16800469734041,-18.477620253989,-31.6416222909078,-33.9335381805017,-24.4387082211949,-12.9622793021738,-0.949785882733675,10.1988163846681,22.5282105609229,34.4864820770477,38.5842383801013,40.5969611862506,49.8072985705586,99.466209075505,117.281461365038,164.136866042976,-22.8021311315203,-25.3336823298195,-27.6288824574772,-40.1750222768127,-53.1812814498577,-64.5902085540609,-0.02823661065810496,-0.0430517362306523,0.18441023361729292,-0.27627218928394426,-1.5484743043184899,3.2468762666475146,-1.319046776756988,-0.2625855229891976,0.67878283003671,-0.34469567328284,0.005807379457483933,0.04525969170558206,-0.09289129906146934,0.10186042635818292,-0.052085292935755825,-0.10651503753096153,0.01781313931026834,0.1330100470735977,0.11376198309007261,-0.01564410375075013,-0.12142810743966527,-0.054856791567609454,0.10533360026289773,0.0318710643439016,0.06253483377558018,-0.04240213474702788,-0.021231498011400906,0.1936414584782151,0.007037252215019845,-0.06880016838284975,-0.18538838211361744,0.04618415993746854,0.0047707041794036635,0.02946851469995183,0.0345369795369352,0.08426624688537548,-0.07012877533544891,-0.017587487662680788,-0.0060973669631371775,-0.002508744350871063,0.0558277020528452,-0.016849721496000176,-0.05399145555482826,0.009164068345007104,0.037094608463164674,-0.009877268719539005,1.111776753712238,17.274587013154534
6,3.00576911557242,391.143396994454,359.431614312315,292.970788404054,225.442889690639,155.572046555691,89.0588670103246,4.55243049702565,3.41560121441113,0.380475242742181,13.5037619984114,4.09399952348791,7.5970268377865,8.75998621904382,9.44063997392815,-5.08886059857355,-5.17083039430284,-5.12782963122348,-2.12548171640824,1.10449698581876,5.79368410575697,3.54872343455401,0.861429018058813,-1.26341789042798,-5.13777498836808,-14.2280443251687,-22.7429454844464,-20.9946464705053,-15.7245929397218,-10.403675239177,-4.88123844339261,0.233417787378297,6.21701578346043,11.8240991212573,12.440472038406,13.1654181859611,18.4868997102246,49.2371915072147,56.5868641614389,82.472896099503,-14.0301285644023,-13.1493320364771,-13.7284191078097,-22.3598277973345,-31.7649317074327,-37.6769762828312,0.005928114458520493,0.15730530099508205,-0.04475549190389918,-0.013962645062883939,-0.00023911634773081877,-1.3190467767592506,2.124084837598506,-0.40227640817588756,-0.22467356064777333,-0.017968739276818014,-0.44789393738276273,0.18526280839537718,-0.04019505377950913,-0.04279524420684111,-0.0010799303268750962,-0.03913351758407686,-0.0006268570612137029,-0.0018132490533454648,0.062250354228250725,0.06762808664786886,-0.25428396209202225,-0.09864002361715657,-0.017203633799942518,0.27273738709612794,0.08378217823341638,-0.12208601910214185,0.002941280835828068,-0.21016367777167172,0.128759045040132,-0.02614677678474621,0.10350055235213766,0.03989495825233271,-0.06708527630071752,0.03619031790933191,-0.21052593844125217,0.2291149984563215,0.007553875618625966,0.012470204582878777,-0.10265414934323512,-0.07266102005516625,0.2955897925748112,-0.0015772799748766766,-0.4970909979924318,0.007862835076090254,0.015733146616800215,0.167373545891572,0.2782002048131076,9.436570723007621
30,6.19495754392411,15.0795162262729,-2.31427330393031,-0.755667338137575,1.37015118602031,2.68163551527097,4.55243049702565,9.34743369175627,8.14876458912303,1.08992713125468,3.01902049159348,1.73758412835963,7.65320435287301,4.47163067004019,0.942749631817967,-3.66338760470403,-5.45441935151799,-7.20654868521412,-3.80050138227597,-0.267087201862695,0.646873784963143,-0.704588345650286,-2.38889817316493,-4.29262218844959,-9.05355595187303,-10.5358546636382,-12.0077228305473,-3.4722300290808,-3.67319977314999,-5.77199945716936,-8.02515313405864,-10.2644969082848,-11.8707160873725,-13.5419212895531,-17.695325755487,-20.5312121444027,-22.1218054807385,-10.9387705534004,-16.0361819439565,-11.9132242890987,-6.83045158221019,-6.57371691665141,-7.12294328920781,-8.06912375935533,-10.0116967450733,-12.7072331565974,-0.020018665128685543,-0.045306051000874314,0.13287428982977598,0.09270387784293353,0.0445524404066718,-0.26258552299316845,-0.4022764081746836,1.6526889497963841,-0.9444433443289517,0.07871982876891105,0.4444565710265133,-0.07808570362461556,-0.1297965398855082,-0.009249112842016906,0.2999353011602398,-0.08025899246967819,0.020139387881961655,0.13835713384259946,-0.008045826395784857,-0.10842592021456232,-0.04902424825787671,-0.08404853955452854,-0.13850970262387735,0.24719938557824586,-0.09044150488382958,0.033174888727194915,0.0777740539717788,0.33648659149105664,-0.10192565924616877,-0.2518970069020754,-0.10164418705791664,-0.01788624948355436,0.08658031324024981,-0.015565304181390311,0.33929370907048245,-0.13969015548438424,-0.0572298778989846,-0.06561185142901554,0.0008690666701657863,0.05295836979688736,-0.08525742837042204,-0.031801952246636865,0.22700098737506588,-0.14078702495031872,0.06868969044756458,-0.042859368884103854,-0.3698924731182795,3.055721468288017
31,-5.37188277874567,-5.5754380070059,-7.90048398273139,-4.99400640417054,-2.62446959354344,-0.897262264364122,3.41560121441113,8.14876458912303,10.1261290322581,2.50397811299291,5.2629837061237,5.01894229365677,9.59951544875804,5.86266768452209,1.78193709473711,-5.33520080241741,-5.27648034665733,-5.15669283104453,-2.72021252280038,-0.222127690094109,0.59139026398847,0.0208929829264795,-0.873121972179193,-2.04044716844452,-6.89311866059069,-8.48861881784419,-10.0113643890282,-5.1082717670848,-5.9412840015096,-8.07011491513467,-10.3234522273687,-12.3424339612385,-14.0619441828521,-15.6292848741661,-18.2068444644737,-20.9454742656246,-21.4851228193674,-16.171017641094,-13.9506061397641,-7.68588088416861,-4.22624685172969,-9.02896845396032,-13.2638097508735,-18.0309087357872,-22.3959343285394,-27.0308990440076,0.0002894841507841332,1.0714725455571174e-06,-0.019054401256617504,-0.2238110337861021,-0.060814641368832016,0.678782830038603,-0.22467356064773497,-0.9444433443284388,1.3917012907471575,-0.05846039742912514,-0.30990742565808277,-0.09793419693640196,0.04508740051534719,-0.06840397876681853,-0.43562376393000596,-0.009881053155658001,0.004490355258714219,0.051147223875821546,0.013678677326955067,0.01720615186044551,0.18838217856539544,0.08793465721980455,-0.04783604646184554,-0.19306820043260012,0.0018137397067283958,0.021446408601069066,0.08281747326232763,-0.33325684764643637,0.10985306839653203,0.002297007187731579,0.12392288204322646,0.005518629529433981,-0.05502895202347477,0.06665029544658352,0.011941548917610269,0.020749440683354083,-0.06303292917446347,-0.005248186685115691,0.017577769531762936,0.041950035166689895,-0.16817520912926737,0.0728306774052544,0.05782479450702926,0.11467638713033515,-0.0036052687558139275,-0.09550160725792335,-0.3709677419354839,3.1805862717835627
32,-5.6762337124517,-18.4879545162025,-9.53199739842328,-6.66441411043933,-4.22942523356356,-2.25944895654736,0.380475242742181,1.08992713125468,2.50397811299291,3.69655913978495,3.34380845064852,2.79638035480459,2.58557222446573,1.13113065189789,-0.208099746706886,-7.23017611308648,-4.82151428748876,-2.60513025782198,-1.58044168404478,-0.463117214773295,0.950368133028984,1.10994546910498,1.18772526475046,0.755668565962095,-4.18252740750022,-5.35796733515068,-6.3921975810469,-5.43240029258187,-6.258921957635,-7.73396908028984,-9.4715887535955,-10.8470437160228,-12.4450145530965,-13.4965865352422,-13.9709672679908,-16.5895965589509,-17.7528456234739,-20.9767729662318,-8.69914246617817,1.32348547189143,-0.630664550981485,-6.82289094145069,-16.4796142886516,-23.5350998875314,-29.1473963648606,-33.8751347107949,-0.02611462469046581,0.07327181084058176,0.021617289116794808,0.09339860085159231,-0.09614563971869106,-0.3446956732812319,-0.0179687392775491,0.07871982876869778,-0.05846039742916565,1.902715915956923,-0.42297368328648594,0.047632749474680505,-0.057565171741914466,0.002578047301986917,0.21437389531276665,0.10109442273122903,-0.03512575138277341,-0.05402714607315139,0.0662017198254455,0.2035052237988568,0.3719723542660852,-0.11454513867347035,-0.6003179619586746,0.05423487034257013,0.2582863138683067,0.04425978357658147,-0.04259070161176322,-0.08688279833557057,-0.11943732846556222,0.038148552563231936,-0.0018606932529229966,0.16460340973474308,0.3176529535084392,-0.26789895196061003,0.11790410293760174,-0.33095244748850894,0.11540390309457407,0.018355170205750566,-0.008545233310215675,0.12582600871201766,-0.3002922498567549,-0.02621588561401273,0.383588556017797,0.04631871817703701,-0.031218968878969435,-0.12538320542068457,-0.8548387096774194,1.9200414422050756
