,Cov_0,Cov_1,Cov_2,Cov_3,Cov_4,Cov_5,Cov_6,Cov_30,Cov_31,Cov_32,Cov_33,Cov_34,Cov_35,Cov_36,Cov_37,Cov_38,Cov_39,Cov_42,Cov_43,Cov_44,Cov_45,Cov_46,Cov_47,Cov_48,Cov_50,Cov_52,Cov_54,Cov_55,Cov_56,Cov_57,Cov_58,Cov_59,Cov_60,Cov_61,Cov_62,Cov_63,Cov_64,Cov_65,Cov_66,Cov_67,Cov_68,Cov_69,Cov_70,Cov_71,C_0,C_1,C_2,C_3,C_4,C_5,C_6,C_30,C_31,C_32,C_33,C_34,C_35,C_36,C_37,C_38,C_39,C_42,C_43,C_44,C_45,C_46,C_47,C_48,C_50,C_52,C_54,C_55,C_56,C_57,C_58,C_59,C_60,C_61,C_62,C_63,C_64,C_65,C_66,C_67,C_68,C_69,C_70,C_71,Mean,Std
0,102.225353192128,78.9839088416445,49.916851014875,35.134981799538,25.5926159139445,15.5468544394116,9.10735256008269,3.32105807279228,1.85194231050611,0.498189130874289,-0.564299731176538,-0.699923090571311,-0.374929705525834,1.46215397041974,3.30221304174359,5.42403296936107,6.23152001784244,3.79954450074418,1.68861273942201,5.98837891384725,9.72445364052178,51.4082160855679,95.3193376600532,12.7892014174718,9.12264873316509,7.11772357659212,3.41604966968774,-0.161668336554554,1.82976410011273,0.282475877735583,3.19777239408706,4.43050152852347,4.85792702107759,5.71560030746218,6.58041130166326,2.77433500310158,10.2528372542307,12.4292603845113,17.2273184534106,12.4054354362921,9.00004353999033,9.15851132219865,8.24771154377947,9.01191606600759,1.1865416389931005,-1.498259428727434,0.473985721172841,-0.13280978868883533,-0.004746049594316235,0.29398707978438426,0.059267389972266916,-0.017201190715670136,0.18249593248776658,-0.06920003663783263,-0.035114933373669444,-0.08705678204367548,-0.012554787950478461,-0.08225847234825118,-0.13116599279660807,0.10922273285763084,-0.0691431389940811,0.18380056904436926,0.09279807846503428,-0.14182722201032802,0.10725708230036814,-0.11375553835676416,-0.15376759757074618,0.12406688130413483,0.0318553473576531,-0.0577674679891711,0.010422365893330244,0.03350271305585869,0.10841559419948409,0.0162209180304687,-0.052941101261105614,-0.04497574568747631,0.03461043164261752,-0.0017100864425627534,-0.0501191489276325,0.004855530930415272,-0.0015752974358494859,-0.12115530856237547,-0.021320185517676594,0.005422278440880577,0.024519444338991784,-0.14539819779869678,-0.04123636673231436,0.1369485385902004,1.9804339477726576,10.110160888538228
1,78.9839088416445,71.2040456227294,56.1947041887088,38.0049304569769,28.5939875960852,18.6481157292701,11.6705881799991,5.31574706848872,5.79681083323234,2.65380007513542,3.17298431533215,-0.344699617366548,-0.146816131813537,1.42053081746773,2.90011159006862,5.51206640127993,6.60245982866518,5.20639545360751,1.94302857464712,5.71173938792218,8.87200229620967,31.31726930075,56.5009702944226,12.6735053752339,9.09278542809302,7.20864406387941,4.05422687068508,0.342470868415597,1.84652711722986,-4.67921578661272,-2.5469240296146,-2.0533455503546,1.80837180205997,4.35632878421416,6.84877834056554,5.68477551273429,11.6928432537644,10.7702066562931,13.2148338482422,9.77840214426978,7.87038604929219,8.97764997688093,9.41436572534782,13.8512157230567,-1.4938257876542604,3.0509110589113893,-1.4579558692934678,-0.15033655179582497,-0.11125231534504465,-0.14326051091679246,-0.04375687834171494,-0.07125651002735536,-0.003992815454462136,0.09978277651223348,-0.010066309458996149,-0.15818251638636738,0.00959393365983899,0.07876639330769623,0.18954454143951485,0.13171889998416503,0.007891347470789293,-0.025789164403727343,-0.07858376801975864,-0.1968652993709657,-0.07052123400946152,0.07352069810917568,-0.02708975976737037,-0.004761640004008783,0.03792689010166275,-0.01959740908321313,0.06008223946322253,0.032097023496033175,-0.1879904173103548,-0.08181164136809696,0.035634939835679384,0.006317170003617445,0.04591988983506011,0.0027998578684528676,-0.021418297077892237,-0.03670076289987506,0.1253415952321492,-0.07294972516103046,-0.010113117802878277,-0.013308444800945235,-0.05034357997559858,0.010216125941869747,0.15230814397889555,-0.1692608819695428,0.4541858678955453,8.437656405823207
2,49.916851014875,56.1947041887088,55.9725799251152,35.2329034792976,26.9312463069091,18.0817828902879,11.5855491230253,5.67995889408905,8.90878920227047,4.5205743138668,5.77373525611199,-0.305281653113637,0.431039825461844,2.07303132262909,3.55688545110593,6.17367693446806,7.05165237377028,6.19131515360098,1.671218955129,4.28211081839286,7.14062820793175,11.2270770396029,17.9529205559324,12.5430023692037,8.87774126088262,6.9069765785724,4.12622032905259,0.140451944546904,1.12353608154502,-8.76028130204331,-7.91867031159291,-8.55466843989732,-1.61835850604473,2.41543646491458,6.34282114025318,7.55465388523369,12.533018645092,9.05370968404633,9.75814186377199,6.8375307216924,6.32555125727172,8.02389778944132,9.50763153165355,16.6701291140798,0.4744273757917951,-1.459472882825088,1.2524103787259708,-0.019414698872716924,0.03209495362719945,-0.04617710046402329,0.02634079216244619,0.10850789599263644,-0.3227885199691467,0.07584727685784559,0.058918441693969696,0.1469414379551228,-0.0032171310864160256,0.002728449695795194,0.028849882381817345,-0.24149060150644963,-0.08343030699481381,-0.20361966244169777,0.0608669687171978,0.20410349572642297,-0.004383488347785968,0.06411122243174686,0.08175740532125575,-0.17509756869391777,0.076457387641008,-0.04434116663897774,0.05060513732156568,0.028889885782165805,-0.08001094728384663,0.17019684968348583,-0.13528501752922553,0.10044225372195757,-0.04433989339078006,-0.008723914259266224,0.029912291393914006,-0.03293959397251805,-0.031199088544762915,0.12930359373881198,-0.04632431933763976,-0.10755615971528021,0.10900381289852627,0.10723671502507538,0.009831284333472393,-0.13508960207076545,-1.2284370199692782,7.480814121812892
3,35.134981799538,38.0049304569769,35.2329034792976,34.4263339916612,27.1276772526723,19.17504855678,12.6279581802103,6.56206849708732,5.04266258585137,3.16132886230895,1.90057803505338,-1.59030512063059,-1.26998814011486,0.326415094284576,1.72439067753259,3.27455522491914,3.89521145051841,3.54634737597914,1.97522173527006,3.48686097474323,5.6399893812443,10.1981146093329,16.5884487003701,11.5961216828946,8.64096249586798,6.51271433741297,3.78731805930359,-0.179405792733145,-0.195255090482671,-7.82403655281479,-6.22961589275006,-5.89986768254294,0.206812254950349,1.03701284729391,1.79349089492142,2.85769428503442,7.23436809236455,4.42008546864376,5.05342010384519,3.90364193030855,4.99812780329163,7.08877947475434,9.08058840754595,7.40486599347166,-0.13546858362480965,-0.15601324146564968,-0.02596057582299343,1.901542465787572,-1.8649232550609194,-0.18028271060404055,0.060292730874340714,0.21479774950627115,0.2210612435789225,-0.0945513643639567,-0.020321324886022982,0.2733049387104076,-0.10328340492775823,0.0015102659814128043,0.13866605436486537,-0.038156008233987494,-0.315867929593242,0.058481203584643614,-0.052353536188020904,0.3577796450659954,-0.12036961645405131,-0.010515058504811036,0.10187972207007454,-0.10456127905977197,0.09469543200079013,0.12201916074931748,-0.1957459779752641,-0.13343291616110634,0.12441209320903011,-0.11004844289751167,0.113571033450133,0.008144510404914812,0.04074048477261955,0.005981492231019317,-0.02001043997120546,0.05257639445575942,-0.12720549864347966,0.030624708804671035,0.07765367551301475,0.014978507982994074,0.0019176073146817516,0.14316108364870347,-0.2283741416384009,0.15612653639646656,-1.4979262672811056,5.866543615423069
4,25.5926159139445,28.5939875960852,26.9312463069091,27.1276772526723,22.4479364843159,16.8219772992521,11.6051421920276,6.72627428205873,5.36095887233541,2.91950370494832,2.30779141268325,-0.758750833235131,-1.05420217816152,0.398802356999757,1.63967204878234,2.2461729129049,2.70978145008959,3.04154345418938,2.29835480160032,3.67606340878496,4.69476954201687,7.9615563864483,12.8597899461462,9.00246784387595,7.09608668159911,5.30877593903869,3.05406362212451,-0.630865531205408,-1.57524476923737,-8.93210285213426,-6.00052920818424,-4.01387625320343,1.20161171667734,1.09757411185695,0.928862520067232,1.89965075856836,5.16452420925934,2.96723139516881,3.51895172656152,3.50517601232303,5.04933886498142,6.48206495257123,7.84346285899339,6.72468912848969,-0.005018609924710137,-0.10457892174642885,0.013288091848278116,-1.8657987894856927,3.886076358586075,-1.3061142175170346,-0.6299020026509837,-0.11181843952404054,0.014692449237403225,-0.10262223464734002,0.0015648604123613802,0.029497802023575263,0.07155114858609475,0.011928617150135054,-0.08890420231737227,-0.048534850409913934,0.010977585153206253,0.00306473682205242,0.07336069065976233,0.013122628252084897,0.010426180704909834,0.019534685773489494,0.0032492381825550017,-0.004993187240670516,-0.08862594850357214,0.026452052210079215,-0.0029968934522296145,0.058898341353733306,0.09602234747300509,0.08129228452381151,0.014757014662416216,-0.004836091113458228,-0.09768359065673987,-0.02708056777204479,0.021220977170798582,0.011886012969486237,-0.06194255525639599,0.016575165121568328,0.06342523246791874,0.0605673208952156,-0.022323189343275793,0.008565243680812865,-0.0418905331678064,0.009072957935804055,-1.1827380952380953,4.73686990367225
5,15.5468544394116,18.6481157292701,18.0817828902879,19.17504855678,16.8219772992521,13.6971151189867,9.86432078016055,6.24757166751622,5.0646430192894,2.33204609532932,2.13135482041435,-0.244369114598493,-0.885838697161393,0.326500000902327,1.30058465863749,1.26251104528527,1.4494770158978,2.34056079016606,2.29537729776556,3.53107319371247,3.53808835530409,5.20005498458394,8.34574155808454,5.69810175368938,4.90078103963035,3.84240291728065,2.43658332529975,-0.258664215086681,-1.450968693923,-7.83978051946923,-4.42512716941531,-1.68069113593056,1.93357513135132,0.905683776363792,-0.18098455902854,0.923250195648485,3.34425695029626,1.65317319968143,1.86996979632035,2.90275216494774,4.7347125524504,5.42786352689114,6.05803734675147,5.38479105173453,0.2829659002555219,-0.09941694777387418,-0.042593553051221915,-0.17796804574867722,-1.306222975480737,3.228911864302108,-1.4970791898137292,-0.19614437882712615,-0.04335863736152045,-0.01582112105563943,-0.005395099583823061,-0.17907870261781175,0.18423694629523443,0.10746115112245229,-0.07850782323255046,-0.2780654906591713,0.4669481585769006,-0.010305489058670287,0.10665127043213199,-0.3974705189077369,-0.0021712959383759826,0.08564123313278524,-0.15380844369874455,0.05951099385870213,-0.2389974232128602,0.11282542583718103,0.2388064229388771,0.12166263817355334,-0.1939331399386103,-0.05750496667603397,-0.02448057123536991,0.028414812884179873,-0.22263049846168995,-0.024692660317779294,0.13911975838170518,-0.05008938818981837,0.06165930569144589,0.016586572383204556,0.012578538373970227,-0.060708117505207417,-0.0377895089127077,-0.04872294074760807,0.07475029351603404,-0.0788482730630809,-0.7680875576036866,3.6996101306741314
6,9.10735256008269,11.6705881799991,11.5855491230253,12.6279581802103,11.6051421920276,9.86432078016055,7.65855909178187,5.42174928108856,4.34423060049516,1.6895846936104,2.02496028186454,0.537548950083876,-0.153376800582673,0.553685493155393,1.04328984383299,0.844355532165277,1.15227617427521,1.99414837551087,2.04433644443189,2.75015975374249,2.15140724760644,2.2894422029205,3.07043063474909,1.59032317377743,1.77682987098398,1.81112778010457,1.38391199672694,-0.10152166004512,-1.40560187085426,-6.90412489454847,-3.45494926105996,-0.351292344324697,1.69982056336114,0.673689917986598,-0.396994920729366,0.487006774669188,1.55233582106281,0.458649025527073,0.23780671395266,2.49639986794809,4.51193507134799,4.38169508990819,4.11975181384514,3.63219065630863,0.05823361647414478,-0.038456996139977766,0.009885613400120938,0.04537756019216552,-0.6334270774174993,-1.4973325813212641,4.316981136190568,-1.6136946584885303,-0.17930992845079738,0.08511233204411756,0.009122936495683203,-0.12941700855421742,0.030700710920901677,0.04261460972377524,-0.026694999579821965,0.040557845177554314,0.13754987924836024,0.02560293963256123,-0.07929095125200147,-0.11064560961162548,0.007271015098302824,0.0005625968830492976,-0.013856494415083536,0.12511714696549406,0.008814071470295826,-0.09789934883263864,-0.11810676411163538,-0.001866101405614251,-0.0315291986179745,0.1445620280685439,-0.0729869542462385,-0.032991900305209786,0.011074211875973855,0.0020785449087983967,0.005626003608444442,0.011129117544095244,0.024765788309594382,0.013940625746243687,0.02934320045521667,0.04941217162012127,-0.0650969133642985,-0.08795351412729276,0.04045555723853119,-0.012108259544199473,-0.15343701996927805,2.7656028441882023
30,3.32105807279228,5.31574706848872,5.67995889408905,6.56206849708732,6.72627428205873,6.24757166751622,5.42174928108856,4.57655206885622,3.4436723789441,0.830953542389194,1.86824582462576,1.13161074187263,0.451888625681717,0.742051114784083,0.836711839944292,0.464705320809347,0.863849749711494,1.64769488797204,1.69059061863421,1.89296459999959,1.26313798373638,0.414609535246191,-0.56303908432032,-0.138674321385192,0.394945124985626,0.901181584791267,0.806629382880112,-0.111684476268108,-1.45786637504147,-5.94189503012361,-2.5292120604,0.831121589152603,1.35119468618509,0.312307421736233,-0.759074836846087,-0.161928672374871,-0.10927360762829,-0.250362166339216,-0.608708348655373,1.96960922114977,4.15525815140894,3.25551779651298,2.13832533158158,1.71693526241146,-0.0183862488779538,-0.07260825824594369,0.10565082073012108,0.21418881585553604,-0.11267466804872363,-0.2030487650992063,-1.615326061849375,2.964792186117517,-0.3157070412650612,0.20740955960634785,0.1099479968937771,-0.22502882607172148,-0.07133947868555005,-0.18926181033588266,-0.05839571483740409,0.3402978549626862,0.06756025378846299,0.07386766497271663,-0.18544406345328346,0.08332803671693352,-0.14248409419352354,-0.13291524057170068,0.12550417719432397,0.14329638457514618,0.2725964455208343,-0.4927700335630439,-0.1320764455034853,0.031391278730249404,-0.012346648483598734,0.41766953878511276,-0.24461535012854685,-0.10941421435411883,0.37843468427512833,0.04417190814095168,-0.16000048555292912,0.07979818907418963,0.05534368162927483,-0.014143560437501259,-0.149333029701474,0.22310797696854162,-0.1328296360961756,-0.15057905562792173,0.09896442933080228,0.0485702518087311,0.5176651305683564,2.136949243397282
31,1.85194231050611,5.79681083323234,8.90878920227047,5.04266258585137,5.36095887233541,5.0646430192894,4.34423060049516,3.4436723789441,10.3472311827957,8.4339460889169,7.63919686205737,2.29799431147796,1.76750282318261,2.48739791908378,3.34134746826989,2.97070087961037,2.9621392764804,3.49394887208079,0.966607987379448,2.20832037722133,2.30686865447267,-0.96457041909384,-2.8455250948043,-5.33676348330079,-3.50043667619642,-1.36382944207703,0.170288932168952,0.67308810577349,0.284953158266812,-6.25502547784204,-7.5004781089976,-5.48350387918852,-1.19399284099281,-0.766744026237555,-0.388865546481044,2.0311042382848,4.43070695019717,2.66865086185327,1.74445261703959,2.85005458079487,5.40871773986255,4.81888090958361,3.93362691832223,5.62549063180971,0.16722002604108546,-0.008220201516685482,-0.3241319172076005,0.20614032120332687,0.011680479785045692,-0.047002031814732524,-0.1839072289967594,-0.3157832946797238,1.4583725469183653,-0.36936220941825787,-0.4259544898572004,0.22786675880868515,0.022287401327715235,-0.06720134761264834,-0.17999720635799765,0.0023164984332622,-0.0225531779881464,-0.061787370932891904,0.22611315368490395,-0.14753312840423308,-0.05577893468697421,0.07106843026283205,-0.16733288209959354,0.08833148335140971,0.2332735741115936,-0.044140637022613075,-0.24604143168195133,-0.045446530934928925,0.23218890613032103,-0.00035595238918571375,0.1342482471887881,-0.11426453918642995,0.013879647699217101,0.030119984991937052,0.049419463951460296,0.06816851270773785,-0.32121945802006246,-0.06534520824314162,0.09578519615010267,0.468638862152694,-0.22508351835755164,-0.10666857083963498,-0.0020392420371371208,0.0963695808121109,2.0161290322580645,3.215156478741851
32,0.498189130874289,2.65380007513542,4.5205743138668,3.16132886230895,2.91950370494832,2.33204609532932,1.6895846936104,0.830953542389194,8.4339460889169,19.8593279569892,8.98352617242639,8.00733888274049,7.34075025539474,6.17515096696228,5.40566349871782,4.84365482574527,4.32753601046545,4.04771958910428,1.92202074175341,2.95770936801343,4.09474742627282,2.61637370942541,1.1501151418057,0.220942436449042,1.44379492045335,2.82325497650287,4.15803983760188,4.65958345487851,3.85982442221286,-3.06560496438907,-9.40124421836941,-12.9424461262083,-3.56640393573904,-1.75910293000804,-0.0055521198603006,-0.725618910094331,-2.83145898181831,-3.36143711177676,-2.38271793342708,0.439125343011628,1.12614300860656,2.5800855190886,4.21240071236835,7.40347745886924,-0.0637799285474896,0.1003697381878408,0.07531062478001413,-0.08895749641078843,-0.10221048660673432,-0.01626302767515704,0.0852951442721353,0.206342104666193,-0.3698607498789791,0.5090483985204289,0.04857069488931282,-0.19330898591811135,-0.011497269234464534,0.016952622000129997,-0.017555773462560945,0.07028639923609385,-0.016185091004637112,-0.10250313092671857,-0.07517737601590924,0.011167267379695667,0.014142579697760975,0.00804897053624832,0.010331768073553151,0.06979455808393233,0.03999947287994787,-0.1973783392517331,0.012181265417910843,0.07814161068054647,-0.15026961035562145,0.0075855560774322085,-0.009203877532129614,0.0666770661276858,0.02507634398520626,-0.006955726971077173,-0.04000712101130187,0.0671709658759671,0.041318700890633886,0.11861805702408693,-0.1290226300068269,-0.09201194699809283,0.08127532299931917,0.041216743580721124,0.0741804240902751,-0.1189207221378232,1.3629032258064515,4.455258461300448
