,Cov_0,Cov_1,Cov_2,Cov_3,Cov_4,Cov_5,Cov_6,Cov_30,Cov_31,Cov_32,Cov_33,Cov_34,Cov_35,Cov_36,Cov_37,Cov_38,Cov_39,Cov_40,Cov_41,Cov_42,Cov_43,Cov_44,Cov_45,Cov_46,Cov_47,Cov_48,Cov_49,Cov_50,Cov_51,Cov_52,Cov_53,Cov_54,Cov_55,Cov_56,Cov_57,Cov_58,Cov_59,Cov_60,Cov_61,Cov_62,Cov_63,Cov_64,Cov_65,Cov_66,Cov_67,Cov_68,Cov_69,Cov_70,Cov_71,C_0,C_1,C_2,C_3,C_4,C_5,C_6,C_30,C_31,C_32,C_33,C_34,C_35,C_36,C_37,C_38,C_39,C_40,C_41,C_42,C_43,C_44,C_45,C_46,C_47,C_48,C_49,C_50,C_51,C_52,C_53,C_54,C_55,C_56,C_57,C_58,C_59,C_60,C_61,C_62,C_63,C_64,C_65,C_66,C_67,C_68,C_69,C_70,C_71,Mean,Std
0,455.964378584229,472.813816750842,569.352000065938,615.217285617343,702.222674829923,783.43170668308,892.553428324038,17.2892525821428,6.71818050660097,7.24274104956154,-3.30453825648761,9.94443442467783,-0.76669797038183,8.98441790915941,31.7759718566786,51.344534601896,35.5517736259936,2.34594550552431,13.1431141830882,6.02364928679131,35.5926302178043,-6.34232380051098,26.45187958615,11.260620800175,12.4826516733719,2.04422484649371,28.8294357018267,-11.4855841765094,4.076815773175,14.3995729423786,-35.7304207959547,14.2807613640377,1.44556261346909,76.0394730734835,16.328636266888,21.0370308856856,-41.1574175972809,-52.2906731256195,-37.5490087763006,-30.0856143834202,-60.273201408409,-41.2698493938718,-10.0085772876466,-38.6939381215497,29.2157366443269,40.513106021077,-93.8409739419855,-33.5829498209654,-33.4826485271576,0.5884918277334389,-0.3104544482769789,-0.5015241879551563,0.12120543157178923,0.26614841195605154,-0.03962476979396208,-0.018816511940832743,0.023381188355111063,-0.11598801299386978,-0.07109650382270884,0.04837477135849618,-0.002446629221150777,-0.021139875259497266,-0.022822093183437708,-0.052546962897665576,-0.38066044271823446,0.11323138264890582,-0.032899297818717525,-0.14420542397750719,0.06796192293790373,0.08071161536541699,0.10428955479710246,0.07968736123558096,0.3204128944258913,-0.018814593237911587,-0.29051578351292495,-0.1557569915376946,-0.11484750654702623,0.0031121187974496446,-0.24639129715546335,0.18324792476609134,-0.07046917942131171,0.030695430055356753,0.007566326489277442,0.0895307308164289,0.07794010812073475,0.09072415734541432,-0.31807154892943174,0.10690408634340996,0.17521442173583354,0.2637001750118906,-0.1499383922297984,0.19009544387420113,-0.22001016802728632,-0.20086210012735342,-0.04265122090294781,0.0329900882527232,-0.03967116488189047,0.14608015271824534,8.87016129032258,21.353088268075634
1,472.813816750842,621.213774981916,700.103725135416,800.02051531744,914.547690624076,1011.24414139472,1154.23710098706,11.5659133076235,6.82272857848172,9.76446144739833,1.19450359377198,7.05999960757455,10.6206572375468,6.09380908836289,33.6891901848356,50.2855494198142,42.809625290176,9.99880757590128,15.9387607279494,2.35497378625116,72.8058471742806,2.02216168226255,33.7489292656118,46.1437422739887,5.4049424809897,3.10710295587351,39.4495625316813,-7.02918667375307,17.5093028632824,23.2581495989205,-13.9184006710759,29.9519577769165,21.6754906814377,106.744552852687,35.2654958749597,44.8818561285751,-15.8474939701669,-56.8121910027512,-18.51069893578,-9.8643334306152,-48.4738033491764,-41.4860060767898,8.07618871459272,-18.1740996722481,48.7634994290914,81.1016072819267,-69.9874449769345,1.00063907762578,11.9349878923056,-0.3104544482776902,1.5854614898645298,-0.1658346587654925,-0.15652044031137516,-0.2273533475529495,-0.05930137442635803,-0.19033659413418355,0.20157377945341018,0.05954746966031737,0.22831504723681734,-0.048718357705635006,-0.17078374718602954,0.33304235761299805,0.3557518305817225,-0.4434865914195099,0.07709182960541033,0.14955983509333698,0.28135914677971124,0.11432477863901637,0.14789880443005024,0.06517698469694602,-0.01169944429426559,0.25574733550237927,-0.4680498599021054,0.39581919693299134,-0.037563383853145414,0.034954842163748875,-0.005249321203908484,0.18086108986925553,0.4599184553661603,-0.34965659998327037,-0.4145881717340832,-0.10324463696055339,-0.2747337397536528,-0.010148803471699545,0.2774976944149049,0.13003285462519407,0.2279848952444213,-0.5054406845947733,-0.1976262226776959,0.07706096161349556,0.17789488584692284,0.036309237729448524,0.1157879444721488,-0.18951573077998424,-0.7046364799412196,0.10035074085745921,-0.04570972201270758,-0.06120097282511035,8.160957501280082,24.923959857573127
2,569.352000065938,700.103725135416,887.107531063322,977.093503809957,1124.54397869265,1248.26493782352,1404.55260259274,0.255270136069341,1.87090776004882,13.2331179764276,-5.4627665295202,13.3376341798607,2.85339961638624,11.5545717537672,39.1266654645698,64.7013607949421,61.1013145823432,-1.84857863349334,17.8555191148112,5.66727235246324,81.2360384964557,6.20703392093827,39.0471837847459,2.29978368773726,16.3057830802838,-5.299273243012,43.7348805343369,-4.49736565107428,48.3168493902082,-12.3949739119444,-9.88161745876993,57.8118754808851,20.4915746586411,128.497932383653,74.0284198739824,87.6501399547243,16.0183356014437,-43.5611361945309,-18.8685263025037,-3.03823359293361,-39.4251149825232,-31.4732294167293,15.1774564833963,-20.4788212326093,11.63918227224,24.4378871626287,-41.5019914344995,-26.5771348239287,-86.4716771004511,-0.5015241879546907,-0.1658346587670018,1.9462169365097737,-0.15352193352318289,-0.5293739439936861,-0.2516134128347566,-0.11605412901013798,0.13350864102262797,0.19354808439679186,0.053733156448566,0.4092141172504645,-0.7897887658223268,0.010945687900021239,0.07979829558143678,-0.06020326164585376,-0.2862188387680432,-0.0858935107667899,-0.14710711174791724,0.00235406529242986,-0.32152608690734824,0.05781639897627519,0.17633864498874166,-0.45535114210626504,0.06711247264736372,-0.37530734020165185,0.39183707187060346,0.02353899776810183,0.08393124329477773,-0.037879641334087326,0.010511381302749647,-0.04674776941534585,0.024387355744302626,0.24401513592573607,0.3388450865482856,-0.4505863611179396,-0.5349914870065309,-0.1046023207831349,0.16871053652037463,-0.06131736666721484,0.22481178681965713,-0.29490788665138346,-0.14812486124199603,-0.21552914665378517,0.3014384586387047,0.22444960651772955,-0.09477894003831605,-0.03453811160825113,0.26969345437735587,-0.07428126493961823,6.376881720430108,29.78418256496763
3,615.217285617343,800.02051531744,977.093503809957,1177.61507840502,1303.89766801414,1460.92228498814,1603.64627586455,-5.75700806884472,6.56254113323601,15.4659249222005,-0.23947455386727,12.0523563634222,9.62740630144624,5.68453116188205,42.3649830346927,70.3434158189042,68.2168774002595,-1.99001072878186,27.7213829028614,4.09304989026725,96.9158408746808,1.80874827044187,42.7931265969103,-0.26908587546322,4.23792124203639,5.27529868892656,38.3620002232538,3.31271164740131,52.9221420081217,-22.8372940330834,-6.12660689819279,28.782582872332,24.5412064801414,148.621161665313,39.5854294829284,48.1332915126917,40.7749915674307,-9.95306168199275,17.6793422643305,23.3221555470786,-4.05653602635961,-10.3416753251543,-6.45777651314622,20.5402862011915,-3.64282790376007,19.2474282072813,-23.3272056100073,-8.73527960006354,-99.8283266335578,0.12120543157081835,-0.1565204403088237,-0.15352193352278984,0.5396465557659208,-0.08462493038815352,-0.10170753844545856,-0.11677887215369352,0.2264881037484866,-0.3305066763274335,-0.1291745309356176,-0.13541430165219395,-0.1172659036430451,-0.13738806996911918,0.12157977042442986,0.18138034524230898,-0.13781098527878508,0.031874739189943026,0.07296752650005374,0.07501970622570453,-0.07245193483419173,0.1553537037653755,0.04021870877170029,-0.0014548791475220272,0.10079855928056287,0.11407256476468132,-0.6911020608908253,0.28173194333436946,-0.02270526961422261,-0.005577586511709764,-0.20755240251045765,0.13827877697248037,-0.006647935683651507,-0.09387749551088707,-0.038681637859441925,0.17550809997749983,-0.10086391746923828,0.11758139435483517,-0.16355493381213324,-0.16067841799285693,-0.03218433782032772,0.007796255229540907,0.216467657797308,0.004130528831736642,0.05998160763690995,0.04282672951845248,0.23002745371345487,-0.07312853512676645,0.051548480205320796,-0.07087358063397543,7.741129032258065,34.316250937493415
4,702.222674829923,914.547690624076,1124.54397869265,1303.89766801414,1542.45952767009,1678.29131510899,1816.98491715193,-5.98738433365591,3.07652399093718,15.6670248626281,1.68382562968834,10.1205976448691,8.8192132741889,12.3689955735462,50.5999530482573,79.1109568842386,80.5378464719169,-0.944874608073542,29.8303293292263,2.33436799631319,132.159715176128,-1.6955788269766,49.7807431757733,-0.212443266542697,29.3917713650171,4.4866459207106,51.7081731933047,-5.39055228280819,59.9177568804429,-26.3941986355118,-6.72795732668495,38.815945614998,24.996260848462,166.927730493391,46.3222813413669,52.5788960012107,88.4837586429396,22.0222647805613,46.0631801700036,51.6276327224678,34.0612279210021,11.4179665377209,-1.54293066493224,70.6348346502122,21.2974424541963,30.4810111633296,-40.9235110819361,13.6160880301956,-97.1829313565457,0.2661484119561267,-0.22735334755333128,-0.5293739439938131,-0.08462493038758759,0.7719610122899753,-0.16079199470324917,-0.012878000933163799,0.036757173976381806,0.019996784177164217,0.1632362268250541,0.15435696916378788,0.339933445935597,-0.062047895916626315,-0.005172686729237679,-0.02733240683776863,-0.06709592334144947,-0.018708737447801178,-0.04545881610699458,-0.20096809473489144,-0.018692216872083705,-0.2112740409159354,0.10762723831771598,-0.0048835701846289626,0.31053068903458225,-0.2141643604312653,0.04412646465795118,-0.3167821674354166,0.19645588274709663,-0.14256839023813545,-0.004102304798147562,-0.04884065489720493,0.000726466151299879,-0.009926604863114525,-0.3931723115519539,0.20213309010022654,0.23454795977690046,0.013457572876028839,0.05167328664973514,0.07788453893902371,-0.2961486674509084,0.053496943857957266,-0.15725612762039415,-0.012391357077575486,-0.07420491274700261,-0.44744329644903413,0.08612698014017009,0.1178392260629242,0.027868192343186087,0.1124854940512417,7.998361495135691,39.27403121236841
5,783.43170668308,1011.24414139472,1248.26493782352,1460.92228498814,1678.29131510899,1903.30328629032,2029.88459374037,-9.52823085281958,1.93818976435984,19.1086193284195,5.19897109892743,11.1952757100945,-2.22350909591785,13.5827121960393,53.773223408341,89.446928141839,92.9565101060169,-7.19063456206007,51.2827171807754,10.0973734600058,123.041492653166,-4.23335014725804,52.3666023677996,-10.4113599753361,14.1741264240746,-8.51673350307114,47.2146862615814,-2.59664534045495,54.7990795595667,-51.1249706933591,-29.5234758031511,28.2180490907487,23.4763075336897,188.415319206408,44.1183398479089,55.1382184805462,50.0389546253088,-12.1133027320613,10.572569972264,27.0595464708472,-5.36086826033827,-14.3654496056701,-17.1631811305869,32.8623050521335,-7.84091578662845,19.9231006420404,-63.5994076439542,3.85013168828867,-93.0101639299058,-0.039624769793687786,-0.05930137442755511,-0.2516134128349361,-0.1017075384454767,-0.1607919947030377,0.5205323932655522,-0.08015171306692173,0.09616395030798724,0.15345318597106403,-0.15805913175677483,-0.7487036891495783,0.16138785648593543,0.007521154910961836,-0.2835748542568598,0.05709259794661022,0.24506435656011352,-0.10637004124031238,0.02539214863825052,0.012636387504564028,-0.006750492973426913,0.006820080281821023,0.006432368579823742,-0.15049945333836864,-0.24495660296759514,0.18118110865364928,0.2696305072196767,0.1588774286829317,-0.06339380268449667,-0.0005561345280969825,0.11836973061057253,0.06656299436549076,0.14599067434619198,0.031582547531228786,0.050570401260878785,0.04858049861394095,0.027523025214243796,-0.09925987765945624,0.00814247860468573,0.18672092033267074,0.1315987223183127,0.14716468287010792,-0.19040141163483018,0.05131616930038514,-0.18180131941835231,0.06713521645422131,0.13913551072512004,-0.05208196399260468,-0.08167425898532213,-0.005884615650049643,10.237903225806452,43.626749664515714
6,892.553428324038,1154.23710098706,1404.55260259274,1603.64627586455,1816.98491715193,2029.88459374037,2474.91292637395,67.1147808599096,1.04943030591741,20.7171649226803,-17.411037070418,10.2503225770513,3.35076390856489,14.1670084090138,66.6323954434898,102.734197564039,84.9301231419606,7.16250749675157,14.9134008373076,-3.61719721334719,146.979530283384,15.4433255636082,62.3027556309552,44.2863865086936,11.8602092765894,-6.85573746006318,73.7487765881079,9.40637224569973,60.2724575378154,15.6578563037443,-23.845197983893,43.6211191840155,35.9738413839994,216.908122513101,85.6988422956663,92.4608076221551,28.9497702767278,-68.4972132479097,-17.2195131527606,0.641385844227553,-41.1294969178916,-57.4779683040098,7.80018995947095,-36.0942689646518,2.78209322145968,47.2946991809774,-93.0303750306254,-41.1688258750899,-153.833899777509,-0.018816511940579612,-0.19033659413430518,-0.11605412901062577,-0.11677887215358665,-0.012878000933028108,-0.0801517130672433,0.34108379910516634,-0.4478705085409655,0.00556964433514217,-0.06664901579703544,0.4505273302546037,0.179045996416613,0.006549740469808577,-0.03909478453046354,0.08210305940731746,0.08094238164940268,-0.05178081243854216,0.014050320643244152,0.0311922201068318,0.2099882542441196,-0.11428869530161416,-0.2961681332156406,0.15589646598830875,-0.005520946485379119,-0.05234093404952621,0.147415791997391,-0.12132872251169662,-0.04472840336554365,0.0361180072574472,-0.08815188446490609,0.016328942999099122,0.07854779295149734,-0.06349060989992009,0.10729117572153064,-0.04067914533479776,-0.0016731028015859826,-0.08883611650121613,0.057007125747258414,0.1131241268505047,0.005007262042021599,-0.14321965710220474,0.16152720949569785,0.06485094229910719,0.03219449572336479,0.22346451277731147,0.01194241566400264,-0.02722483460001496,-0.08788366293778961,0.011430854344457649,14.451344086021503,49.748396219113985
30,17.2892525821428,11.5659133076235,0.255270136069341,-5.75700806884472,-5.98738433365591,-9.52823085281958,67.1147808599096,47.3256362007168,1.38535431024313,0.36186467406141,1.54607921572416,-1.35611604809144,4.63595059419358,4.97314960185646,9.52309190991164,0.107823857188028,-2.21524133042644,6.86449930840833,-3.30314331270899,-2.66899054305012,-4.88611135875237,-2.26952938611764,5.12908122876258,31.4361886553512,-1.83818086186661,8.40322420580204,9.42801968829422,-2.97596711373631,-5.98719843902445,47.5256006151675,10.9468276033601,-5.80771547467575,0.450980492061414,5.84532933312341,4.87743893289136,-1.85894123630243,0.785724673292254,-5.35931059539558,4.38911555634769,-1.9729960168476,3.57100330761443,-1.51678217589109,8.54868897546776,-2.38128563626295,18.1541603028723,13.6096061945349,-1.10059243370624,0.72569925037313,-7.09676672038929,0.023381188354394112,0.20157377945374086,0.1335086410238758,0.22648810374804604,0.03675717397613409,0.0961639503085052,-0.44787050854071037,1.2507459125466036,0.04493798535881298,0.014912343161298552,-0.8697050590482953,-0.034169339644386176,-0.051432925222624555,-0.04905537961950553,-0.616091706106375,-0.03344977618306219,0.30553390025451993,0.19251565875078508,-0.00012387789827801287,-0.17089689913810824,0.1508108528162796,0.412031451390051,-0.23795683435711082,0.28209314906073174,-0.010636137147318125,-0.452275167111661,0.028091001914117786,0.18067196766878135,0.032567168688977854,-0.2857236987305496,-0.005164833815876443,0.20985680771732632,0.17729159416959775,-0.2556949188038899,-0.02635041506879288,-0.009895472193201192,-0.23758672758767937,0.18725706251473387,-0.2656011587742485,-0.035867881551363424,0.19269800062086517,0.08053315101577377,0.023783623824770703,0.05760278600314471,-0.16987211612309316,0.055552889622294564,0.014856404848111113,0.10540770922018976,-0.060658020103797075,-0.034946236559139615,6.878636216628761
31,6.71818050660097,6.82272857848172,1.87090776004882,6.56254113323601,3.07652399093718,1.93818976435984,1.04943030591741,1.38535431024313,5.39744444444444,0.374529736956979,0.525716122843719,0.631426871944128,5.139508169085,0.537233810039243,1.08155830885552,1.04476913814947,0.295461845035695,1.95805563018071,1.14747950234553,-0.223179513141673,-0.864723602101166,-0.187405523632859,3.57176013702164,9.24750609925727,0.239038922210257,2.90196062897698,4.33418633577668,2.56151112601053,-2.19766026846178,13.8982299058139,9.71764730039284,0.752952937184607,2.25757243633082,1.92512443974431,3.24321250358311,-3.98231193824096,4.35469017390243,4.62325983868332,7.45381729564633,5.76565512718116,4.48991674096338,8.59900129503716,3.5597352411392,10.0893764184327,6.64776605722788,7.29358232429493,16.1707880856299,5.59617014274598,13.0392818109372,-0.11598801299330073,0.05954746965757065,0.19354808439673968,-0.33050667632753933,0.019996784177609386,0.15345318597110813,0.005569644335347418,0.04493798535813683,2.171727745323465,-0.30812970708869797,0.11245973020242361,-0.16534592394939676,-0.08993719060331774,-0.3416603970032874,-0.09217413784477868,0.35172578870657345,-0.3701905386328273,0.0020272411577083875,0.3194795475474737,-0.04616418277928519,0.16779646782878085,0.11099581763272458,-0.6228934379336972,-0.011642359003915567,-0.03225286244577608,-0.06583243813315982,-0.46086300189646756,-0.06516890261421135,-0.13425587248762091,-0.010267891860796486,-0.005620472663591598,-0.3185180746320783,-0.16450255927831353,-0.07919171509847218,-0.36055747680126166,0.5333113174665147,-0.32869717710260704,0.013432506674672154,0.3305283611335245,-0.13513380085417423,0.2893657016600994,-0.4303218740061648,0.4425307243778575,0.17072034183989152,0.11843101652823779,-0.04973358124089311,0.12216976104317237,-0.19731273399937163,-0.14996872031033667,0.06666666666666672,2.3210869101445653
32,7.24274104956154,9.76446144739833,13.2331179764276,15.4659249222005,15.6670248626281,19.1086193284195,20.7171649226803,0.36186467406141,0.374529736956979,1.39832356170266,0.558832256648462,0.636973510444457,3.84868925485321,0.96752216520967,0.0981809423854173,0.175858440754614,1.39498644691536,1.80446548927837,7.05151195282182,0.328515791515879,1.50443707370577,-0.592353807911133,1.70806734376372,4.65992571769791,0.364136210687438,0.844462078604288,0.878502054328957,-0.328256714190268,-2.15348525926193,2.64759930983088,0.501370526275167,2.13902057335507,0.617633440350947,1.88959646837715,3.51284271254028,4.06423490571782,0.85700868657323,-0.533137115731444,-1.1444318232189,-0.216231401528971,-0.500861012183447,-3.03236977200332,1.17904624468166,-1.87103071412258,2.36602121669794,1.25039243103782,-5.44494374990088,3.84317306194541,1.78815687517121,-0.07109650382206256,0.22831504723521123,0.05373315644784749,-0.1291745309362198,0.16323622682508104,-0.15805913175702327,-0.06664901579779747,0.014912343161435885,-0.30812970708899834,5.247129230631245,-0.05335485420218369,0.01672220969310419,-0.24683301284668538,0.032259947511697924,-0.09609741408272315,0.17773809201074117,-0.03853138081113919,-0.1300372823629019,-0.11296983708388342,-0.08797457305666312,-0.1303668831396318,0.041300982219853344,-0.19464485996861408,-0.08065402073199882,-0.17700558014734677,-0.09998147083362795,-0.016501157215594506,0.09368742528350936,0.22461433201244213,0.030277263055304815,-0.11283351924792329,-0.16212360715522617,-0.4626657406984798,0.3011162099306227,0.0015122919017365709,-0.2037754941583742,-0.027974127590913753,-0.2232724375695832,0.40288904599996656,-0.00447571777215164,-0.0424700549289568,0.20359692924014253,0.38473045772105224,-0.003997389859301575,-0.06181879622727326,0.003197020407883229,-0.06376198176429164,-0.21087498721659823,0.09301436514992435,-1.3260752688172046,1.1782714295537586
