,Cov_0,Cov_1,Cov_2,Cov_3,Cov_4,Cov_30,Cov_31,Cov_32,Cov_33,Cov_34,Cov_35,Cov_36,Cov_37,Cov_38,Cov_39,Cov_40,Cov_41,Cov_42,Cov_45,Cov_46,Cov_47,Cov_48,Cov_49,Cov_50,Cov_51,Cov_53,Cov_54,Cov_55,Cov_56,Cov_57,Cov_58,Cov_59,Cov_61,Cov_62,Cov_63,Cov_64,Cov_65,Cov_66,Cov_67,Cov_68,Cov_69,Cov_70,Cov_71,C_0,C_1,C_2,C_3,C_4,C_30,C_31,C_32,C_33,C_34,C_35,C_36,C_37,C_38,C_39,C_40,C_41,C_42,C_45,C_46,C_47,C_48,C_49,C_50,C_51,C_53,C_54,C_55,C_56,C_57,C_58,C_59,C_61,C_62,C_63,C_64,C_65,C_66,C_67,C_68,C_69,C_70,C_71,Mean,Std
0,65.2381681164103,55.4478182216279,58.9370163362688,-2.20391593706151,-2.78457997310869,0.837837796191164,3.06336567908851,2.54728471114259,0.599200237746669,-5.84840687803036,-6.12323399538024,-2.43946833328941,1.78695677238894,1.82302637975935,5.97863646432015,6.68111539451492,7.75680375251711,10.3457358083834,12.9984236047337,17.0484127903467,5.99349196087677,1.75182684890463,-4.45736928478109,-6.97501754672594,-8.67255116542801,-7.76179554667343,-6.1114596464788,-9.75290126827304,-17.9167541270863,-21.7701670737299,-20.998436018976,-23.5644437670266,-19.8254347799638,-1.05936474951889,-21.4353904826024,-25.4250872131345,-29.2350204275909,-33.1166589519562,-28.9423271516334,-23.9973174838044,-17.7845017936674,-18.1392168971494,-15.7954798158804,0.35235620469812023,-0.1665010012165406,-0.03583975078673838,0.11055879938272845,0.03903795929465428,-0.031745653994646704,0.0937893907991293,0.006527909765676324,0.012861740853754852,-0.062587758737274,0.07510183715405269,0.014203236051684961,-0.04596513600465846,0.0720140262100419,0.07232148226771064,-0.07590934980446709,0.03324291605457441,-0.0088034434042095,0.03806974785878258,-0.028847612948731692,-0.016870944411969027,0.02788610236030239,0.0530028263509645,-0.005442849562506691,-0.11471420870299028,0.046853453585306855,0.1528889066301225,-0.07674066236133036,0.03629923022077411,-0.012726314624437383,0.010492826300897196,-0.04335516918391209,0.22663500432540193,-0.11286028508886028,-0.013101081919572773,-0.0034051512434829876,0.005332357529120396,0.017050014572763856,0.0216807438036157,-0.00485295915448967,-0.06970150094306288,0.10562047928019506,0.04368105584399947,0.8580005120327702,8.076395737976828
1,55.4478182216279,64.6049426858557,72.6230720123646,1.84969843484656,2.7615728613802,4.58664749242336,4.97113656981472,3.12720112311296,2.98992370852871,-0.339455413930761,-0.692180962048829,0.932267533555326,3.44367908452558,2.82915541125409,6.32503733956284,6.86259402777607,7.76987328064847,8.98819056302695,10.1158144473179,12.224102313126,8.62090703918731,2.32877988637359,-4.3848858364069,-5.35720179109599,-5.18113492436091,-4.26772692538219,-2.98736245534864,-6.84311245329183,-13.0837396933532,-15.9011098067496,-15.0188097167907,-15.5204681483999,-13.4690043047442,-0.807852891178587,-15.2974511954798,-19.6235038732644,-23.7937906967256,-27.9198680859922,-24.1267893595612,-20.4122122132397,-14.1453441117071,-13.764324801985,-11.3657163895193,-0.16716073249435573,1.6303969391730484,-1.1438467969576465,0.013113338104245158,0.29969671547918164,-0.13560824713290204,-0.46920360458356924,0.24628681198119462,0.13498228954740346,0.01262135475060929,-0.01157701484755645,0.0028514896495422442,-0.1718982173991369,-0.1497383457707912,-0.08846820079503846,0.06592189375944257,0.19066175475986388,0.025857023075208478,-0.10772556928027628,-0.04191031859821031,-0.21878454240797804,0.001696997342327749,0.16093131867612545,0.33107842803729737,0.0199351279755149,0.03141854403481025,-0.031230901815030698,0.026805924042286253,-0.2616335984071431,0.175091065921893,-0.11149373544650572,0.017609373980899883,0.009661830952994353,0.0972774840493432,-0.008033486376374648,-0.009484394405801407,-0.009138426684099964,-0.022238521329484607,0.060101226251900626,0.1507502588910725,-0.10961518604237451,-0.11945617557880467,0.21614666648824576,0.49443164362519193,8.03709790197032
2,58.9370163362688,72.6230720123646,85.195249163883,5.97120998815413,7.3216554763862,6.70484787163812,5.09104036350247,3.7807394265996,4.54581872530526,1.98306609214647,0.946803526909655,0.991569310195529,2.83945005143098,2.05651602710333,3.72683287291223,3.68685416467439,4.0185890464454,3.19823430258064,2.17620101762005,2.06191488837132,9.09026421942792,1.58643084126107,-4.8178232012311,-5.19974818903366,-5.34064642541883,-4.80079198665749,-4.19372244825833,-7.85592181503776,-12.2879034608799,-14.0663193325441,-11.8681579404442,-11.5751264807828,-12.074885930966,-0.716399841404395,-12.9850110105313,-17.7694849592399,-22.3463104695585,-26.7515758596228,-22.801934304823,-19.9475989095566,-14.2287805213216,-13.7295218993747,-11.4634560579946,-0.03525922085829115,-1.1456113855122123,1.0751394425671748,-0.10582718889006187,-0.1961491458591039,0.09584813831626057,0.17176338494360938,-0.1850299772920098,-0.11653212482769039,0.02077295153651598,-0.06783463077378142,0.009182394280133285,0.16493358410676312,0.06866937114915325,0.09358508131588231,-0.04281000149346775,-0.2613959093521407,-0.05985080530950285,0.08147451659986094,0.11210972753557041,-0.03957973890101462,0.09832078769734091,-0.10617922528051828,-0.24986797700412258,0.02398649693992437,-0.04603664447614395,-0.0028265620753096035,0.0689437758294,0.19634769804365204,-0.18655129260602357,0.14390892067287306,-0.0401120445644656,-0.014962411070296038,-0.025222101972876606,-0.04858406668093716,-0.008326069509695408,0.0028098529750407116,0.012699496331547598,-0.04311360986923847,-0.05492143354222021,0.17153106494900403,0.015371374522897484,-0.1759208220639181,0.7389272913466463,9.229585535866871
3,-2.20391593706151,1.84969843484656,5.97120998815413,13.6951391377937,13.3434190184214,6.4956398027531,0.159471347234807,1.80428140592472,3.72170581241939,9.12015327989281,9.04967131340601,5.28947191519663,2.58856591376323,0.178605061067039,-3.56359563676649,-2.28110186789568,-0.624986799738721,-0.821957720277369,-1.22340395706183,-2.27472145721957,-0.986944568796809,-0.883199388242971,1.70255981557675,0.985443374002667,3.79754495795585,1.24901801862125,-1.69408911859335,-1.10922018351869,-2.10396505190416,-1.91597274855179,-1.02306619601234,-1.03533995944266,-4.23405224643283,-4.67494716287826,-14.3502907991705,-15.9463414700557,-17.4686230842143,-18.5975879914491,-13.1005437327716,-9.09975747794334,-5.03152521589739,-4.05144857112058,-3.13300857632056,0.10941955821282567,0.010969807209361334,-0.10156347865159361,1.2128514688730192,-0.7935799954816726,-0.07236126722614077,0.4693411588848145,-0.07307586643586948,-0.05506974579813683,-0.1147005344576956,0.10448539183164778,-0.0027563661722797878,-0.052735923870005745,-0.052517855190287045,0.25870775733904267,0.1921758416379866,0.037397171078459926,-0.041133339451916426,0.04023055026067089,-0.15133182618000013,0.011610085988312719,0.15823342707346083,0.060679607079149656,-0.13553756268141348,-0.03850160641907989,-0.015056086212987065,-0.051530610829474,0.007446658332129969,0.012903265602468175,0.09849208632988128,0.08288385371169238,-0.08595019455470215,0.17925201654977163,-0.10311519456620746,0.009669058406157695,0.037635602633151466,0.03121946581521483,-0.004073947589531546,-0.0663405920327959,-0.024061945663943034,0.035361441941165105,-0.23510262999504725,0.20348901863376787,-1.0165770609318996,3.6993430684100805
4,-2.78457997310869,2.7615728613802,7.3216554763862,13.3434190184214,15.7672543309438,8.37336796927726,1.44750135653309,0.82132785637646,3.81212933363425,8.57803914755809,6.9640829274755,3.37317249513692,0.948953049826281,-0.443283638569058,-3.59052056239217,-3.88091659823185,-4.11548523014192,-6.14731539906527,-8.39740390321493,-11.1384106492741,0.10022839541423,-0.299825283992892,2.06592142202292,2.09211859910917,3.77505249950281,1.39872870470246,-1.34775976095052,-1.22543171337599,-2.25907268557766,-0.969744264025631,1.02914017245961,2.18173750387928,-2.46955267863733,-5.82335076304076,-17.7969914716344,-19.5437359609207,-21.1974128220272,-22.3657534507253,-15.9436369776706,-11.2695370360445,-6.17400327354019,-5.65360963620197,-4.38173708703503,0.045313486985569154,0.3067748529859783,-0.20659417723866458,-0.7841145350770103,1.7665259747930437,-1.2960278728268964,0.05367713708880391,0.004479521848348177,0.03418775983103743,-0.01571239260378271,-0.09043471607074034,0.09342622803784832,0.05160968981133719,0.08165199185104276,-0.17880804892295318,-0.05973613941630177,-0.08432185389067041,-0.007218578801497449,0.06129606036935652,0.0443059093686374,-0.18792860614821855,-0.10935937687993476,-0.010641245219495488,0.1057405730046342,-0.07392223972114824,0.051128934573704085,0.28557445872653964,-0.011606538530060622,-0.098289568859573,-0.08115951300625077,0.010852215335127181,-0.1818459556400413,0.19402418901306315,0.0657201566871009,-0.11124906354268645,-0.022801918466914758,0.04607832909539038,0.031213656393639273,0.03430200867344466,0.062276125106816044,0.0636499198242946,0.12529807811765742,-0.03425047355765848,-0.3588709677419355,3.9695408211711145
30,0.837837796191164,4.58664749242336,6.70484787163812,6.4956398027531,8.37336796927726,6.5065240442055,3.5404121727887,0.790027589944448,2.24784979194146,5.27501192227893,4.10045900540438,1.56133545582252,-0.0516941666320975,-1.20667038776064,-3.57003340836088,-4.34800165790132,-5.22647451719456,-7.63852183806279,-10.2552279790831,-13.1182687241739,-0.675935514814871,-0.689631200027377,-0.278147057538191,-0.182807951248601,3.63701230754153,3.0007705292457,2.02776819163552,0.858445418287382,-2.39902577806688,-2.5504275683873,-2.96217619415718,-3.10334010294403,-3.41284016909246,-3.47273527832367,-11.9952030153246,-11.4054838667359,-10.7645370717085,-9.86353947973283,-6.93558470412999,-5.4213697409765,-3.64320272331386,-4.15090444457682,-3.41778150319067,-0.03430167549821724,-0.16436311349434785,0.09978863691639311,-0.06799802267322691,-1.3269939845462666,2.7626223547984488,-1.1948827137868578,0.2105005519139823,0.010936774078416775,-0.031973916154556296,0.09449883260620914,-0.054851280844204243,-0.17325108147692558,-0.07283101165337227,0.16877202727923948,-0.1825445619197155,-0.05486251356457626,-0.018618148548463834,-0.151656888440531,0.2424416625973708,0.02823671290168814,-0.030830074256046117,0.0014454316275629188,0.1578012507629845,0.008420973836957224,-0.016835934682076302,-0.05063133692295509,-0.14609488880986915,-0.018618504762191658,0.09163315384470438,0.016532046922764044,0.16810675089717908,-0.2514492767034568,-0.004232459047949006,0.03208916121767914,0.02381609832560678,0.058195510027772304,0.010410877019938645,-0.09548265694883715,-0.04565293774801097,-0.07440770515315293,0.04617070767026547,0.031335441179947465,-0.22535842293906813,2.5488279746200013
31,3.06336567908851,4.97113656981472,5.09104036350247,0.159471347234807,1.44750135653309,3.5404121727887,4.81201115093588,0.885295995405289,0.272126326727255,-0.600077313879892,-1.84521554616544,-2.73592141308868,-2.50010146389532,-2.24756724708413,-1.67976651753325,-1.19462619491447,-0.668086079144933,-1.59281034570291,-2.73175072529803,-3.68273064714584,-1.10685755866422,-1.2006681907691,-1.60681046626806,-1.04337169196146,2.57338240016513,3.06319000221902,3.29349933689921,1.60981392182937,-1.45658787133204,-1.9619862698758,-2.67113340843336,-2.8036076839564,-1.79803765469303,-0.844062184322083,-6.30516458737317,-3.95062023223331,-1.54420986039997,0.875903216685974,0.698790939515216,-0.45003095863349,-1.36754200967067,-2.66297127920208,-2.53580815051765,0.09388009334755927,-0.4579070688327457,0.17872780796389265,0.46056948962123095,0.0404919141444425,-1.1937660813217443,2.1453999842227947,-0.4060157720486398,0.08154566778404132,-0.2270680565112652,0.27132929388572097,-0.0201697283297023,0.028351296352440675,0.17684354608493294,-0.03739965937589436,0.19839466556337493,0.02573636946744816,0.11682700360059038,0.156163865639777,-0.2896617981565972,0.33282736598436286,0.005395625645040829,-0.01835259494429913,-0.32621808926215334,0.06342444497853943,-0.08217323962672067,-0.09263194756763614,-0.2024432464384549,-0.06896696442255733,0.31150281083095716,-0.040394580195682074,-0.015025501558970105,-0.10262410955043988,-0.09830066351121979,0.18499595930594465,0.04836577473938821,0.013539568666410037,-0.012526394164682632,-0.1759049392987275,-0.021222895361720156,-0.43827759568091024,0.2095044015894337,0.08691240774496234,0.4767025089605735,2.191349162259607
32,2.54728471114259,3.12720112311296,3.7807394265996,1.80428140592472,0.82132785637646,0.790027589944448,0.885295995405289,4.37778673835125,2.19143333682727,2.86713753854247,3.2953096542607,3.14901350432253,3.12027421430353,1.27317609218233,0.0201055161597924,1.54193176063274,3.54680421899857,4.65938161086908,5.69245856584344,6.46193670270347,-0.0129661179892684,-0.517185531638063,-0.824792465388759,-1.25621699216948,3.59741424298073,2.42636744254671,0.981221722548563,-0.0328846594882929,-2.14471802216912,-2.70034447923531,-0.463082815614594,-1.38505627518996,-0.718278677729813,1.87810800751539,-4.65836673114721,-6.20199271778352,-7.81815177030815,-9.65263073150008,-6.98264065245593,-4.6840262686744,-1.57335195856682,-0.688554432323664,0.732451774304727,0.0038183945086298966,0.25230433390663964,-0.18908957193961515,-0.0783944966323067,0.01189974067850393,0.21668063850529756,-0.4025916572985977,1.0521669384786787,-0.2092152221848992,0.09403595739470463,0.05793854811300567,-0.04105849262575338,-0.3112063735463227,-0.010435638066889097,0.12711436415239752,0.19056531123866663,-0.1516605973107638,-0.1488947286757726,0.02145459508576869,0.06646839205885571,-0.06259521694880987,-0.009508085036558615,0.22170706948116142,-0.00261703259645545,-0.0023004382100142527,-0.0920043034645093,-0.02420441082115814,0.22737769213857395,0.03922083724414576,-0.040229616565340076,-0.06639337351913338,0.007438215756445384,0.1506929654173688,-0.11362742447152253,0.07468694552409881,-0.09340466849588719,-0.13391428493905158,0.10537025240767267,-0.03689953429645304,0.2123195062980167,-0.20547602411046728,0.01638827868822828,-0.052020171862540265,-0.23387096774193547,2.089925055678135
33,0.599200237746669,2.98992370852871,4.54581872530526,3.72170581241939,3.81212933363425,2.24784979194146,0.272126326727255,2.19143333682727,11.1005017921147,17.7094345253418,12.3200155913172,6.69472244969288,1.50261596198971,0.863522924125384,0.884266958610006,1.4189625785517,1.96110986135084,1.55801740479104,1.0642370996564,-1.14850987512263,-2.15566342010426,-3.17093214710346,-4.2944307140773,-2.98543054807191,1.99032487175125,2.71859754781107,3.19297936301332,3.6326000391218,1.91921706117064,2.14160727546552,4.54319875322939,-0.837539527156789,-1.95624981724365,-1.17571176496623,-6.78392061382039,-7.77299072288426,-8.68352704557823,-9.53308323785059,-7.35083249127593,-5.61670923914491,-2.97709485607067,-1.49317059424791,0.895217594224069,0.013180759718648198,0.1394310708934849,-0.12130884816692201,-0.060768643416071064,0.04655542762629552,0.015633492016071147,0.08534985410545014,-0.21613963573430825,0.8132064668417925,-0.2633275105090996,0.1671647142853154,-0.12857380205504196,0.1085968150141229,-0.16188326768996442,-0.10758842217657978,-0.05391335174992938,0.03934614239606135,-0.06846950240891123,-0.10115956034716868,0.1651208668753398,-0.18325766491362622,0.23521656047056388,0.04942958605430829,0.17301267390126995,-0.014272525926416377,0.02911149520170428,0.1473556063001824,-0.3107886029193598,-0.3272609627706783,0.3381389560945813,-0.05103670788467631,-0.06636521416949646,-0.0024353410314470548,0.018358041681470257,-0.08744212741933312,0.16493345575328325,-0.009545746798773543,0.005841161316643219,-0.03650979628530422,-0.08892239613506286,0.028623505361729376,0.10193650544397082,0.12188775800301703,0.5806451612903227,3.330240500641762
34,-5.84840687803036,-0.339455413930761,1.98306609214647,9.12015327989281,8.57803914755809,5.27501192227893,-0.600077313879892,2.86713753854247,17.7094345253418,87.8846142473118,93.7167029159198,58.6025845426461,25.9186805028138,1.90615288370117,-3.55841368744945,-4.96621159755921,-6.98468051474748,-10.7281569573195,-14.7228998442514,-23.5449434049448,-6.80980327506852,-3.32103557664571,0.558701598287262,2.28167387118219,54.2647860823955,44.5534700601118,34.7264118331122,18.8537791897563,11.2012149426754,20.0875218712756,15.1585294175499,-6.00680572559177,-10.6319507462873,-8.22140662942153,-29.2603621346389,-27.6621120424997,-28.0077084994016,-27.8706920697383,-20.1642285573185,-13.8649867515179,-9.59078785252418,-9.11460281097775,-5.09055122632054,-0.06740908155233705,0.015677638072876234,0.022717221160666615,-0.10758560823148273,-0.015489876405032396,-0.035514951467428085,-0.22611078201097967,0.09907489810270427,-0.265858758919247,0.5855793936726992,-0.30770047370820397,-0.18284750435877883,0.2432805106556456,-0.1359784866894748,-0.06377061701776662,0.023661090759487406,0.13671200169319636,-0.140629432863033,-0.08354640872027429,0.09991232210651245,0.16633800213708638,-0.1499211871246176,-0.0025618305101703853,-0.025939943575577745,0.02323879647704782,0.012108822219968316,-0.08898516658006256,0.2072960469059404,0.18517354813744633,-0.3038951211438226,-0.18300917517166687,0.2774456565263896,-0.12490185563909986,0.02206200836382882,0.07196930738089621,-0.08894558897146433,0.021981280750486863,-0.09742355327150161,0.13833037095677903,0.11467213344513809,-0.05475502000748248,0.00816890262701466,-0.16125010291268793,3.546774193548387,9.374146054298057
