,Cov_0,Cov_1,Cov_2,Cov_3,Cov_4,Cov_5,Cov_6,Cov_30,Cov_31,Cov_32,Cov_33,Cov_34,Cov_35,Cov_36,Cov_37,Cov_38,Cov_39,Cov_40,Cov_41,Cov_42,Cov_43,Cov_44,Cov_45,Cov_46,Cov_47,Cov_48,Cov_49,Cov_50,Cov_51,Cov_53,Cov_54,Cov_55,Cov_56,Cov_57,Cov_58,Cov_59,Cov_60,Cov_61,Cov_62,Cov_63,Cov_64,Cov_65,Cov_66,Cov_67,Cov_68,Cov_69,Cov_70,Cov_71,C_0,C_1,C_2,C_3,C_4,C_5,C_6,C_30,C_31,C_32,C_33,C_34,C_35,C_36,C_37,C_38,C_39,C_40,C_41,C_42,C_43,C_44,C_45,C_46,C_47,C_48,C_49,C_50,C_51,C_53,C_54,C_55,C_56,C_57,C_58,C_59,C_60,C_61,C_62,C_63,C_64,C_65,C_66,C_67,C_68,C_69,C_70,C_71,Mean,Std
0,181.199998340635,137.711562757456,85.7594686834188,64.6920722315506,82.1114324180188,99.5819207236206,55.1170405075999,1.20541359950736,-2.01044052853167,-3.17300152163915,-5.38734470295897,6.17104519699927,24.2978283028975,33.3846464643778,4.65007015639075,-1.76413498518263,1.18547506958303,7.56421384054167,5.4593848705007,1.36191852033608,-1.27829429776973,1.4959015597649,7.47167140151533,8.42390497747082,-7.36808778799078,-3.87072068599467,-6.72449493665676,-1.48907542641435,-1.52658622641172,-1.96437719017681,5.65878352102246,7.37026758663374,11.7890771528644,10.2690202409708,5.51612702016725,4.90226335022546,6.9085090259213,11.8466843138337,6.08173825250519,8.48594624823719,38.6278876140664,10.4455646241107,-6.26259485751639,2.04869208493799,3.82291412778583,-0.0217852356318812,2.98278779854922,-12.1152460912534,1.0064968721948264,-1.4516379570586924,0.6749676975126019,-0.06577865537612639,-0.060413362112797526,0.05083534188380135,-0.062404711846448246,-0.025575257792061854,-0.06660972403120362,0.004101224577250994,0.07534891225103392,0.19078272050019407,-0.040951503588284734,-0.521476489053718,0.1496491727527106,0.08508451846258146,-0.029470968886286187,-0.14656424504469445,-0.046082240826524394,0.12039570460952238,0.0036533665568915996,-0.031307886558296756,-0.07605031121999044,0.010155996709155476,-0.021366048910894626,-0.08336311704103042,0.14453374155101748,-0.00977308655068719,0.019510821029217192,0.0772549741388578,0.001989560163380958,-0.01447739504543768,-0.03478631705223279,-0.07992560912590578,0.04126522407316782,0.009991425295289682,-0.052765242799891254,-0.06513877358871176,0.022936104956826416,-0.09961935489354964,-0.005564221368290252,0.11326409466352874,-0.04845861916877393,-0.07536101323844685,0.07333899247205512,0.13314660183846774,-0.2164589937283812,0.04107431281789969,-0.12939068100358422,13.460683427695438
1,137.711562757456,241.087048935703,336.75673778886,69.4945912156555,66.6331562451411,63.8116449761725,39.2333199533084,3.06977524186252,-8.30570957866906,-2.73143204469975,20.8815965263195,53.9504764817369,16.2184066872413,20.4174529044911,1.383477234883,-11.9284798683688,-7.57081019125958,1.24749965688517,0.230681913835367,-6.61321878985387,-10.7289885290668,-6.60078588307949,3.4850806557624,2.0797501827166,-10.3697841941856,-9.22849796740038,-17.513246234405,-12.9812078147756,-6.65591241938451,-0.80650500777362,6.40729620960831,6.24693291969672,4.25132001263489,-3.84472873120367,-11.2262608830678,-13.6107402855348,-1.36075946289294,-2.01063632911243,-1.63925727985969,5.49771854012196,31.0659466795122,5.04628024019557,-14.2353385095763,-6.66166691101252,-8.71449180853779,-17.3377795420368,-15.5267046109846,-29.1949853900676,-1.4498572085305828,2.9779353230368284,-1.437497448456389,-0.02710168413374714,0.04609715450082517,0.027738927559599967,-0.10335443683242058,0.028527197037276655,0.05234490716406057,0.09723931453224897,0.010370054099961999,-0.17043394519480967,-0.04844866328632688,-0.07158942796449264,0.01915886798149581,0.0035115564256689514,0.013498996257637947,-0.016228098704649235,-0.005905280910346561,-0.03816022891549276,0.048901685730521394,-0.05151349996444788,-0.006207103249101123,0.06897076487396468,0.11785801036534069,0.07419899287614229,-0.05699386623607668,0.023060275892382145,-0.05382778545738337,-0.19206706432706683,-0.09125439002262033,0.039218415693651726,-0.01990653385591138,-0.03907902731993266,0.016387848687554128,-0.018655987218589666,0.03442839608088861,-0.04483019046574511,0.03542435149913738,0.37877388145155083,-0.3812168376070565,0.05740222833380151,0.030922122591585794,0.11242338442770054,-0.04905180668541735,0.020023716062243825,0.0647141503832516,-0.0006751694926419554,1.3357910906298003,15.526656077072854
2,85.7594686834188,336.75673778886,585.851630420707,75.9192645309532,54.9077886892478,31.966663470569,24.9827624168963,4.79166642733429,-13.2437533677309,-2.25832545963909,48.3660045852948,103.142181572567,9.3058436154572,7.94762760409185,-2.23832988669561,-22.2354063494452,-16.3453291003851,-5.22921599721522,-4.7342507124765,-15.5771823743837,-22.702729697268,-19.1410053431728,-3.08589468767251,-3.67114016895519,-11.7076379230867,-13.4409250071801,-29.5154633837531,-22.7497175179925,-10.8390809500193,0.517108345570864,6.90640155202097,5.23855368559321,-3.18992439232434,-17.6387286697384,-26.3320296663516,-29.4714669201222,-9.21042273219707,-15.3987942521973,-7.81222962859124,5.13511152091819,8.21780502037686,-8.75179373402656,-24.0201428541155,-12.4637575332723,-21.5940041691742,-35.1658809939921,-34.2383187290216,-44.6861769626337,0.6748013943690113,-1.436953981864809,0.8462506573453126,-0.043794707681362,-0.02073727178965095,0.011562504877510784,-0.018632943146845698,-0.028169554477556622,0.025997072129458572,0.001670142220249312,-0.04035258924823636,-0.38065955580290806,0.060181583621737166,0.09508980977279821,0.05282653173912894,-0.021776000226075166,0.09434232460010354,-0.012687087978083808,-0.05565779841843252,-0.028372114225311332,0.009413483403085898,-0.006213337554323117,-0.0013408926214612455,-0.06170685909986166,-0.045133722406306837,0.009942079296352579,0.03677102593208479,0.08376942769858003,0.047440516564959644,0.06747533939272041,-0.004712237509677901,-0.03816088833560894,0.0056950061222756825,-0.008912251854709589,-0.08170320376607527,0.11816979895230759,0.03837425801651165,0.06837057964430397,0.05302698853181303,-0.14561554311836689,0.18930612080553585,-0.058839561936783503,0.029307519004378023,-0.13833301099782483,0.00308641160889276,-0.02268377874007572,0.018808031879342022,-0.006455421063281694,2.4622631848438297,24.204165559273196
3,64.6920722315506,69.4945912156555,75.9192645309532,78.8939383068241,67.4892172694527,58.0997180383399,31.5838747755146,0.916436877218329,3.06093348039361,-2.73459790024821,0.82345413264454,3.9809533985449,7.00836928004372,3.78797504602554,1.56966594395057,-3.55107018899956,-3.62904283601338,-2.39085843360345,-1.96603957243592,-3.13413328978744,-3.4803678960847,-2.5517702619882,4.3896153111376,8.69214115268137,-3.88523617045043,-4.46391562782183,-10.1984110579392,-6.69240743877895,-2.64361217464044,1.27242739440317,5.11471179437048,7.51375695685504,11.5377536616791,9.33668807332742,6.70447045879724,4.53362002389504,7.86300590263362,8.23843831519038,8.35841463523899,13.8935615682538,9.21991348437049,-1.57283781744141,-11.4094575743919,0.618321166500447,2.51836294460222,-6.26175500541042,-7.59211844507311,-11.7943510065519,-0.06261062382848358,-0.028614827631813198,-0.044688110050062714,0.5697476011484868,-0.5676736305527527,0.31703881074623547,-0.06674339321377391,-0.02271296122273421,0.09462260455622513,-0.058359311626992746,-0.054409157344685294,0.2588103081066201,-0.11826494092527651,0.28969359890701046,-0.00911994112869067,-0.10199160673474982,0.15390975728792772,0.10361028959736199,0.03356380898232105,-0.010407017287549523,-0.04942744085390563,0.0011113231877051333,-0.09878663239936761,-0.09430422550525407,0.1430482149663128,-0.08020714714577619,0.1339084704937465,-0.03953003914316562,0.006134353822156263,0.0936651682487668,-0.08299922426030447,0.01858274076281625,-0.19552627697101704,0.05326071348619377,-0.05093051430605504,0.06282403137751169,0.03389663946937414,0.15932289236863753,-0.38428748115815714,-0.07666500344274611,0.04037829924389199,0.016454890508522935,0.05577366104786592,0.035363363210979576,-0.14967693201722906,0.026090830939042624,-0.11855231206517054,0.0633844084304844,-2.579006656426012,8.881663037225861
4,82.1114324180188,66.6331562451411,54.9077886892478,67.4892172694527,356.03287522249,632.26995612119,322.713220905643,2.75901647802831,2.12344954367304,1.20176867451895,6.75870444439564,4.29973983752121,7.20390289813216,6.49420746079751,7.84648173565771,-2.47756703237034,0.200604546727225,5.31329244576454,0.544874151257825,1.75601984397641,-7.79768864147822,-15.8617003128638,-5.87748967533236,0.574484246474122,1.03070341115906,3.24408055979817,-8.18295317616126,8.54377897824567,0.962035826545239,-6.85073817235251,9.56279209432704,19.9680026512292,19.9964903516489,13.9389262060998,8.24890207995823,8.5620714112137,-0.098834493936841,68.3686701041513,29.4566368969379,16.0676990719793,0.160033731407397,-10.152256420613,-19.0540384159404,-3.44099340034554,-7.14359470202121,1.64308227225163,-25.3076764428696,-28.003917468106,-0.05699326150508633,0.04903891629663614,-0.020420135402087966,-0.5677194304530163,1.4015433310942864,-0.7163426256484148,0.04873619132198918,-0.11635910262660644,-0.10702241007678204,0.029843672690532664,0.003398697343959568,0.005830576639785485,-0.29594916071286115,0.20265989317477526,0.057515043210326536,0.05753091122285818,-0.10761630165722345,-0.315541528388608,0.09933103556515727,0.10426964085349133,0.17813240315472428,-0.0004692999267938799,-0.028634806042401702,-0.08276500104898162,-0.10346104787222346,-0.038675178211092516,-0.15008444881341265,0.12974115124934427,0.0008935648736838923,-0.11326867658313075,-0.01906889026784985,-0.021111305912968156,-0.013697982451277813,-0.07841647037279713,0.4242899406901094,-0.16025227686074198,-0.2325452981350608,-0.2480179753015447,0.6323105005319217,-0.32710416411140264,0.007341297203662554,0.0337396129277085,0.04651736888798967,-0.053756440969289485,0.08235337561255077,-0.07102500101024968,0.31576498072621756,-0.16162159638094728,-0.6605990783410142,18.868568446559223
5,99.5819207236206,63.8116449761725,31.966663470569,58.0997180383399,632.26995612119,1195.80179779853,609.911258749071,4.68014443521026,1.68209246287618,7.15437343170092,11.4552757851442,2.02279952564766,4.61326148138854,6.91878303718499,13.0377331007259,-3.13768865679506,0.443139182690374,8.30224423654686,2.22728720757153,5.25731537164212,-13.5196856592831,-30.1516238167934,-16.0257922011201,-6.28694557424499,2.45219519075831,8.26840281028258,-10.4101478032367,21.2671556853477,1.80471815348441,-18.0582012988937,12.6954109606065,32.3473540211773,30.2705527058408,22.3389865369705,14.5816552544151,10.8046352667749,-9.5663842443815,129.419425138137,52.7114803850348,15.7894794989422,-3.45255033620465,-17.0694311604714,-28.4518627575842,-14.2148914544603,-20.0184587550107,11.2836042989411,-42.5971973848515,-52.8867621977018,0.05063443369853862,0.016361919038714593,0.009548816809755126,0.3173988942757924,-0.716726950866865,0.7266746073255335,-0.6662563123725367,0.21837352931494491,0.22602702235361963,-0.13811194210520314,-0.06729726927423747,0.004739449278264038,-0.016967828156312172,-0.2222470996354318,-0.018641731931864056,0.03581255435078229,0.19363056429999506,0.1416844242791315,0.009727059566607027,-0.025628093214629465,-0.16232259866957724,0.0408892399338488,-0.1425994300258158,0.2543297441632179,0.07001788861559641,0.0030265789637253055,0.17724646495175636,-0.05316858504644718,-0.0003480225755218521,0.004886072659794028,-0.10108580246354634,-0.012959822558258331,-0.021468087366180583,-0.056833816725180134,-0.27174455557369087,0.23597993155871325,0.030619143693637184,0.05235510246388734,-0.13316514799467907,0.005096802564545149,-0.031833235069111135,0.030818175645908996,-0.018659282095122052,-0.0016357477096446073,-0.08466999121437124,-0.0043168160497308455,-0.031485171871628144,0.05952889009686802,2.1449052739375323,34.580222639516506
6,55.1170405075999,39.2333199533084,24.9827624168963,31.5838747755146,322.713220905643,609.911258749071,316.610914602958,4.06311242517169,2.71980703803778,3.68932492394593,6.46940481872376,2.1854912436666,1.95212259085656,3.27390140965692,5.88062777656717,-0.45652917767216,1.20854678718029,4.92786432787217,1.74461197286247,4.23343359707621,-5.0543974805253,-11.3759751577792,-6.16257295596801,-1.76918912479192,2.70388212925627,5.55875145668578,-2.12032486824537,11.4012658111238,1.31035350451929,-9.031696187642,5.69956252618508,16.5964521131562,15.5551583201756,11.4387175401179,7.39363869371974,7.54978484079848,-8.19838028837589,64.760680453253,27.2937965018912,9.71739199842357,2.07716383394729,-5.23534405832057,-12.3743967233995,-7.4755441269686,-11.2564486646102,7.0914009396154,-18.8118881603769,-25.2761892207065,-0.06863551121026602,-0.0831761720198363,-0.012482130622231054,-0.06798035640562901,0.04871720370847001,-0.6665601767667947,1.3105878949187888,-0.28706317064465486,-0.35082135563638844,0.24628595701985764,0.11564378362906853,0.04349396353449287,0.35844809279484546,0.23694174618388075,-0.02057280578713612,-0.08682917170261588,-0.2551264676306212,0.01805157460221046,-0.128349840193906,-0.06592158269629823,0.08003960751712652,-0.03399866718360849,0.36440095691308133,-0.4117334136536928,-0.031440261056414454,0.016642749594285872,-0.2642084079266853,-0.06048686853505488,-0.010563773651420827,0.09325521148225509,0.27741619651585553,0.0010162956582594595,0.03739902454748706,0.1864561571277859,0.11523282129586954,-0.2985997169105127,0.2158438965837983,0.012917621954095968,-0.34251015520138645,0.2695641420120299,0.08763525783171766,-0.14368741717741396,0.002267356222804211,0.07704021161398877,0.1116691561642213,0.03552145240018709,-0.16024618991011944,0.028235062390601973,-0.7205581157194062,17.793282850642203
30,1.20541359950736,3.06977524186252,4.79166642733429,0.916436877218329,2.75901647802831,4.68014443521026,4.06311242517169,2.64273835125448,0.942588388418756,1.06706233670463,0.904141317758877,1.10244530758177,-0.159927415547258,-0.376750797979734,-0.512039187850754,-1.23309816219195,-1.13245965045273,-0.45495147510315,0.169109445103103,1.26253392745154,1.14286337777229,2.29129182376104,0.962582691885842,-0.485092730406809,-0.405428561539879,0.301439648120173,1.30178983436572,0.650242697576678,0.0079442636437905,-0.661087714179443,-0.559504283866261,0.303776883402534,-0.841836565964577,-2.16910148433736,-2.564170069209,-1.67607485676005,-0.0333818958062814,0.0846446918611189,-0.703224221328558,-1.0556007114475,-0.97167793378614,-1.18090449272771,-1.94019263861327,-2.69695559710101,-3.25005647435991,-0.454057938398334,-0.678018226536182,-5.92679384925004,-0.028646209429498356,0.021611823286611466,-0.029847188342469567,-0.024607473825910012,-0.11550847972157094,0.22036240805835317,-0.28758229895801185,1.7774639759146933,-0.19682250685593455,-0.11495593667497732,0.035279014186102575,0.08471944811022807,0.017901179704392617,-0.051622596996452684,-0.009500338711344009,0.0069455491757496384,0.09782553971922976,0.31023574585143715,-0.006744654873958514,-0.4932052437237909,0.31174851121136804,0.08976929283073808,-0.20294990363570248,0.38861206442722696,-0.11024539978653683,-0.3908231823370737,0.0571017089306966,-0.08522006121082217,-0.002481285489866668,0.16476552983134415,0.18327741042652457,-0.19218253750932948,0.031074728431855173,0.28656583085674053,0.08920361875521321,-0.22680067513964153,-0.16702645086794743,-0.06147051940869639,0.14940195086662714,0.0850386259848722,0.09098175829891676,-0.38355719780924336,0.25594165812120917,0.011266550621533018,0.29705120881177227,-0.04829460391221187,0.0008966148698541979,0.005821816185446116,-1.924731182795699,1.6225715242338252
31,-2.01044052853167,-8.30570957866906,-13.2437533677309,3.06093348039361,2.12344954367304,1.68209246287618,2.71980703803778,0.942588388418756,6.98719534050179,2.88215663353539,0.333924873938499,-1.89465190590471,-0.373245945235034,-0.911983356430102,-1.19839226309937,-1.03296906053047,-0.696550394953443,-0.0913276899232834,1.16006867727018,2.90760702729552,4.89388969556868,7.35516052077005,4.92378338892266,2.73236798748013,3.59415139360507,3.59350017779982,5.402224633431,0.832504141462763,1.11630414364814,1.46225727534407,-0.45306971653235,-0.0107138469696038,2.14195314754966,4.1173343812843,5.4742123644041,7.56554062731083,0.371049252987313,-1.12551590700095,0.599083300722382,2.58320500904763,-3.58865946954566,-3.10842289206901,-0.0043696880946647,-1.27612323036106,1.57847191090134,-0.694610706222321,-1.99581191881001,-8.00437031997075,-0.06185258993405878,0.05592597902684683,0.027642435704289477,0.09357453693554893,-0.10419637333422037,0.2269716340847557,-0.3505558704434313,-0.18947736896220357,1.616358838952991,-0.006861195851708219,0.0731348607466064,-0.027009253751628482,0.05916259318194292,0.0752284061607516,0.42287348317923457,0.030300315188389135,0.17194705810358288,0.0911877509371795,-0.28699953356851693,0.33109211817835954,0.009905206725693214,-0.1426443146737561,-0.40357738431566553,0.01183820676546764,-0.1871358247236375,0.013391358566299739,0.2940162976097873,-0.2190406660479867,-0.19993014751149132,-0.2457407824695828,0.30364774203247713,-0.2985360728961273,-0.006215499176390945,0.14880171721614402,-0.03235764374759481,-0.13845886012998102,0.15686778112207447,0.09347137588268219,-0.023694307866711267,-0.42185185988763213,0.12444982693264389,0.10513448142536234,-0.025359736236863984,0.5731916316092475,-0.6436126937681436,-0.01935436311220279,0.15042035973291124,0.07626776576785763,-1.6559139784946235,2.641438119756318
32,-3.17300152163915,-2.73143204469975,-2.25832545963909,-2.73459790024821,1.20176867451895,7.15437343170092,3.68932492394593,1.06706233670463,2.88215663353539,8.35744623655914,3.38401955840025,0.757203998202399,-1.46016500383137,-1.69570426802399,-2.38211352954042,-2.80532200615404,-2.75821709916094,-0.487294120958748,0.654027603913854,-0.636253772460346,-2.34258029680593,-2.85282901533895,-0.751082329721005,1.10527858783394,-0.989762581497635,-0.219370707790319,-2.64820387305775,-0.0162270847926088,-0.278846293757306,-0.611157319912366,0.0506664359940844,1.99951697062765,4.37178573449522,7.06470540028168,9.65325268474791,13.7261919827737,-0.393922948725648,1.43649405798199,-1.07565648868079,-3.32573790339052,-3.62695769500917,-3.47747599616621,0.37338521631936,-2.19829558463862,-1.53411036188107,-0.853925432179549,-3.55861223704218,-7.58413974959406,0.0034698336392007495,0.09559873510125895,0.008374522675350929,-0.05947704465110001,0.032968757488832455,-0.14007600857614738,0.24907164661438677,-0.10592140260158886,-0.007440765880207524,1.6743171924436122,-0.53864429955618,-0.03995592666489937,0.11255628526025567,-0.14208714304312153,0.2281776530033843,0.060934339997613746,0.20984409160544062,-0.011966199360250049,-0.2543077039705915,-0.024966369456065205,0.06733859720129352,0.0006859580491742936,-0.3722997390829027,-0.3076687397929148,0.23098215019830587,-0.28475106343290285,0.23422014466336116,-0.07445813432959433,-0.016561429002449075,-0.017885881555984168,0.2698404983010951,-0.006317008735529944,-0.07953827520430655,-0.08920656649340783,0.04855607649905058,-0.3339762775469381,0.3283074414363265,-0.23141774790252043,0.2968811184371629,0.5127886931460929,0.02062485888988051,-0.13614218213239165,0.09275992537097696,-0.20297219085386933,0.04050053460851473,0.04116769998026025,-0.12738179709503145,0.18199116635469553,-1.6693548387096775,2.8891947384278445
