,Cov_0,Cov_1,Cov_2,Cov_3,Cov_4,Cov_5,Cov_7,Cov_8,Cov_9,Cov_10,Cov_16,Cov_42,Cov_43,Cov_44,Cov_48,Cov_49,Cov_50,Cov_57,Cov_58,Cov_59,Cov_60,Cov_61,Cov_62,Cov_66,Cov_67,Cov_68,Cov_69,Cov_70,C_0,C_1,C_2,C_3,C_4,C_5,C_7,C_8,C_9,C_10,C_16,C_42,C_43,C_44,C_48,C_49,C_50,C_57,C_58,C_59,C_60,C_61,C_62,C_66,C_67,C_68,C_69,C_70,Mean,Std
0,35.6465752441288,33.4191617036034,29.8556413120948,26.0509219629212,21.7884930656027,17.2984642607914,12.7177861493044,11.1919090316126,9.94512579995572,9.9901812978367,9.55779870914242,8.7570604850417,6.35089511514882,3.60361194172438,0.569787502393437,2.20656118887684,2.64012659771508,4.26194970229156,6.29539436640119,8.64414831750545,9.82284762164535,11.3735204978687,12.6377926055074,13.9121638591398,13.4434731097034,12.2102021741916,9.55252585346587,6.79495430020688,0.8256770049698079,-0.4951170117064467,-0.09597991671969239,-0.15338153054525694,-0.08022818749290701,-0.019485748250935825,0.017376759265666543,-0.05148732377487449,0.12400914333470309,0.20746725912935027,-0.16953263222028553,-0.2854016805812775,0.22156254381253787,0.08807178156440129,0.118741463142999,-0.1721031857326843,-0.018887705771665826,0.009206963622419021,-0.023538726223932476,0.028659074177618916,0.011922347305455275,-0.030777535301701447,-0.014885093169124002,-0.0022846990296405017,-0.11384001507644369,0.07567919683625333,0.10532270999109643,-0.06816012079025122,0.23039755942981752,5.969637781652153
1,33.4191617036034,33.2729572144495,29.9246860305497,26.2796380444404,22.2951080716373,18.085835847732,13.7951865415915,12.2295770400217,11.4348437271186,11.5037869049273,10.5024710689537,8.99473780879809,7.73587733894601,5.68017125618688,3.36223304726536,4.43942519573414,4.01450533634973,4.78502348516397,6.28604005934792,8.67459883242695,9.61578988690089,10.8556537934057,11.9064851563848,12.9668934977464,12.6769040849231,11.9264831641738,9.53482298843663,6.97752255971123,-0.49542078322501476,1.6235276683950075,-0.7681122959883713,-0.4267277117097491,-0.1396644512376158,0.013598589987632104,0.09159315461715054,0.23235255088470091,0.03230291343334741,-0.28087436363565293,0.2228257368222476,0.1361664134990743,-0.20422595876128694,-0.028429448744373993,0.041315451695384336,-0.03704136248352035,-0.040259474084809004,-0.07705953650718436,0.06827453645080292,-0.003393153123552286,0.03474764330426412,0.00019146213974267245,-0.00515431779392768,-0.017296743341507055,-0.04088896148179854,-0.0947221202320919,0.18168063629627873,0.002768445711346574,0.8273057587573717,5.767404720881781
2,29.8556413120948,29.9246860305497,28.1128224521254,25.7504888955465,23.1673987350426,20.3436768483543,17.4242665407714,16.1423489461272,14.8017175112581,13.6584370424485,11.3031922134956,8.35924883181138,6.60032016296819,4.15047056196395,1.46575929778519,2.30719685364922,2.28948096697529,3.31920676695217,5.15190333003524,7.65197229486773,8.6211430123889,9.7812597684622,10.6899338293279,11.6124919891921,11.339121710125,11.0878808270632,9.37116119094934,7.49174923110307,-0.09889162875197963,-0.7681079712921886,2.3759654374602537,-1.4128668631488444,-0.3181286556370078,0.010570198811016573,0.40155891379532926,-0.04669443083577227,-0.04207271227235111,-0.014472120876227389,-0.005775762644012702,0.046020702460845914,-0.0005793793378322766,-0.02009449778364088,-0.056314787137826436,0.04392885530964239,0.02019278740258831,0.04302326021244167,-0.008976136272069984,-0.032497157011778494,-0.008173679626468798,0.0019320463459710936,0.004712982355461876,0.009289990900545317,0.03255919811768538,0.10548742292066025,-0.333392928381816,0.16825496775769463,0.958673763512473,5.301209527280104
3,26.0509219629212,26.2796380444404,25.7504888955465,25.3550252054144,24.7557753242364,23.9151151401086,22.9707433258962,21.823539247617,19.6780273490917,16.9968445842991,12.9264309682102,8.08225827177768,5.87160976698275,3.00921826974329,-0.0584162731163601,0.703433630157824,1.0724413601994,2.3461545690092,4.52883504800766,7.01803249808927,7.80380365541193,8.62725525427073,9.14687790643066,9.68893431636425,9.34967777822354,9.47217757843533,8.32287690975557,7.22596483346232,-0.15349057165717642,-0.4260106470243557,-1.4119454153757287,3.9108070951373426,-1.520379578482307,-0.29418796944900966,0.07213581819949072,-0.03818686824437226,-0.10869594509130394,0.0732696676155641,-0.06113444782763754,0.04227727933090707,0.024997188903037516,-0.011036369883538647,-0.034692740025380156,0.08265414160012208,0.02621728322432023,-0.019418752796373347,-0.005268177501519888,-0.02130565988289961,-0.01334495892752086,0.0082858492134605,0.013293432191642482,0.02684969109618651,0.09947330911995697,-0.02448008543195983,-0.08020189708170972,-0.06894790594100847,0.9275993719542108,5.034384292583788
4,21.7884930656027,22.2951080716373,23.1673987350426,24.7557753242364,26.4196240463478,27.7552545910968,28.96353458819,27.9756998314627,25.0221395328749,20.731508390519,14.8843383453502,8.03621807641773,5.46596889909126,2.27969765143581,-1.0861151146097,-0.506203994239565,0.0675241840386052,1.42067073126191,3.96290731980675,6.5110559640424,7.12584568001556,7.60101411930076,7.72313428691065,7.87868637705817,7.395029907672,7.76382945469386,7.02372498132289,6.56238506125659,-0.07876273363311542,-0.1399453468212089,-0.31747503106449576,-1.5248509148349532,4.247363848479723,-1.5996791764621177,-0.40888187824223016,-0.1011984367780054,-0.0359217417390573,0.04811004522053334,-0.09773251163722987,0.08021572576805144,-0.00648439300347261,-0.02873144445157865,-0.07870450219788137,0.10022909890721202,0.051916217477746635,0.02158239918306477,-0.027330344934617515,-0.013516765885974955,-0.014676347251564621,0.03630829748144168,0.014213618475962649,0.025907732991566353,0.03516427472380082,-0.18181600076060864,-0.029590472173889666,0.014986162828680658,0.8239932110899852,5.139029484868498
5,17.2984642607914,18.085835847732,20.3436768483543,23.9151151401086,27.7552545910968,31.3702141033408,34.7500435919193,33.9522930577025,30.247526676074,24.3686134935058,16.7665990057207,7.90322725717145,5.01576234779503,1.55421991359554,-2.06265184635356,-1.61019335656433,-0.849380118088648,0.576655113710783,3.45419345294264,5.99808442684897,6.33548364406845,6.34030458085168,5.94414298171639,5.59221273738882,4.93224508716105,5.49340874397144,5.21466083354056,5.44223892976257,-0.01915157576857537,0.014065233703973362,0.011237475719573894,-0.29414101637136064,-1.599624145716441,3.9272467755152665,-1.7712481372538997,-0.20541279103298812,-0.01507573618473285,-0.011526572907061161,-0.02198754358892301,0.06265384491705393,-0.043377494826829684,-0.06151524305944055,-0.05514974014007254,0.046994658394324054,0.10921110486076084,0.07298561715520059,-0.031587780182977435,0.0047642600131272035,-0.005759749036325312,0.006932963595149947,-0.0071530784048910055,-0.06123038027727954,0.03910253192732592,-0.01844158002319386,0.10404610799880173,0.019716116047428987,0.6752257599031792,5.600019116337087
7,12.7177861493044,13.7951865415915,17.4242665407714,22.9707433258962,28.96353458819,34.7500435919193,40.428520881484,39.8897865135893,35.4878312775076,28.0800127608564,18.7565124472366,7.85638637228001,4.75584144785623,1.08275674932586,-2.71972264234356,-2.24888180455337,-1.17312518172505,0.447090646491043,3.6219239321816,6.0832331722867,6.06516563240935,5.50331368106143,4.50537691907509,3.56076147745193,2.76962158883802,3.59338491966749,3.84553165791575,4.83242640517306,0.021078713784158546,0.0907251744363306,0.39749277205991385,0.07109735808289973,-0.4087771177930757,-1.7703258382720697,2.1998812552203293,-0.5298132813401506,-0.018198272714329895,-0.08687071732820426,0.10058446925003191,0.1282676988060195,-0.12095795140504442,-0.021509537515887224,0.032767839647017044,-0.023647269739564568,0.024462479228206793,0.028031471770673666,-0.08242116524125953,-6.217141232907759e-05,-0.0027247745122381557,-0.0013969184934954806,0.0069439372035710505,0.023400228006026567,0.01707725928170864,-0.011609376677032336,0.03593768660417299,-0.04140367109608462,0.4696620583717356,6.357556203564703
8,11.1919090316126,12.2295770400217,16.1423489461272,21.823539247617,27.9756998314627,33.9522930577025,39.8897865135893,40.8958696258725,37.1627154466261,29.8689072981807,20.5571475929993,9.64445089739907,6.21811051801027,2.20417696106396,-1.91528791382492,-1.27073685723129,0.0090598537590784,1.66235728907008,4.62542167190839,7.13424776957749,7.1636590964389,6.57903706792963,5.50979433429798,4.50219037553791,3.6500211445906,4.25623068547644,4.58819330987375,5.63250008093243,-0.05201972944122635,0.23041495312273516,-0.05046360822009059,-0.03967584113755912,-0.10265700794775905,-0.2055276342707437,-0.5295076703965799,1.3730081885814611,-0.5993545465667678,-0.004091262971312072,-0.015094449864153987,-0.14233930563996022,0.15766417685616582,0.06628850807783168,0.01868164209378769,-0.05475106750414499,-0.0726384283585521,-0.03618158856570182,-0.015415177780728375,0.04193499071722728,0.03752040106978798,0.03566671296734093,0.007146183510152069,-0.005067314690196555,-0.05275163378755789,0.0047309385654869685,-0.0031681988913271103,0.002337623670751795,0.7590885816692267,6.394205941778268
9,9.94512579995572,11.4348437271186,14.8017175112581,19.6780273490917,25.0221395328749,30.247526676074,35.4878312775076,37.1627154466261,35.9632684066646,30.3475141653715,22.6184315253091,13.0080218345128,10.1485562435207,6.00914927795592,1.72682247548454,2.01387182997678,3.07714213932449,4.70005029079162,7.44914197667309,10.3680590231865,10.2422300077889,9.3492442548342,7.97139985026004,6.65992929667099,5.48774685264286,5.47895760108113,5.64502528272038,6.40917878750408,0.12438015211976755,0.034244519285914266,-0.040734299059449114,-0.10645335538690887,-0.03523046584374444,-0.014256806360248135,-0.01867131038321675,-0.5993770612113717,1.3344578015022073,-0.6073482309032812,-0.001972729032935889,-0.11935694491585154,0.061528237930867154,0.05635989976557685,0.02377070131676178,-0.036151203182153806,-0.05296021723447925,0.01176690364478575,0.10656420639763764,-0.12011019755027545,0.09108188920817215,-0.12677201542255837,-0.014558762038406827,0.047271030375587254,0.002032440712565055,0.011779711542788063,0.0062596965696041125,0.028974347454347637,0.6721710189452126,5.996104435937102
10,9.9901812978367,11.5037869049273,13.6584370424485,16.9968445842991,20.731508390519,24.3686134935058,28.0800127608564,29.8689072981807,30.3475141653715,28.0100464914096,23.1565744461543,16.131067415403,14.3610881144957,10.5320428010006,6.53049081287673,6.35439141203272,6.70351591089707,7.75331635094894,9.95378877605867,12.8193809477174,12.7479266768705,11.7675671019931,10.4760798162257,9.2423363985477,8.09400988166648,7.75435243385512,7.84995694743763,8.39373479001619,0.20722166281177076,-0.2801492972896609,-0.01450198815404215,0.07295472146767797,0.0479882910750544,-0.01195543272476405,-0.08792874111604738,-0.004162138338496193,-0.607354868851045,1.4150718621850753,-0.7855961758763581,0.017606305440809596,0.07159649563691343,0.03639571927796171,0.08876950177210256,-0.08080979800156013,0.02715679935650949,-0.07259315121267587,0.02073993739129221,-0.1073910901038452,0.1387268256092553,0.09452018878101243,-0.009313722951206983,-0.13124560647588057,-0.04467366865426006,0.1043741641059487,0.00961080797728234,-0.07903343157640107,0.222926267281106,5.2915070151526375
