,Cov_1,Cov_2,Cov_4,Cov_33,Cov_34,Cov_38,Cov_44,Cov_45,Cov_50,Cov_51,Cov_53,Cov_58,Cov_59,Cov_60,Cov_61,Cov_62,Cov_63,Cov_68,Cov_69,Cov_70,Cov_71,C_1,C_2,C_4,C_33,C_34,C_38,C_44,C_45,C_50,C_51,C_53,C_58,C_59,C_60,C_61,C_62,C_63,C_68,C_69,C_70,C_71,Mean,Std
1,9.8505974008602,10.2295513871587,5.11010493157272,-0.022842253032582,-0.260400998342358,0.420915826780918,1.02631072210599,1.44583718044152,1.73887162987332,0.161552613642569,-1.68552313467312,-3.24327015465038,-4.28508353265574,-4.17183411397168,-4.33852052243044,-3.14484334418093,-2.08835108294825,-1.18951814633362,-0.625771697422572,-0.057171615515621,0.7417339934384,0.7484175981534283,-0.44437661592026,-0.050690794346285775,0.0680615397162815,0.025200061918532777,0.01180214339411963,0.006343824491146628,0.023418019587234735,-0.019089651060390962,-0.06690424583467361,-0.052322167583039696,0.08256684644868438,0.0365751027623788,-0.0786192347551488,-0.016115525303920217,0.006619862806104677,-0.01440641744466978,0.025575891802279573,0.08480574481726201,-0.0376193090890015,-0.10190519794729182,-3.6270899740745457,3.1369726490456054
2,10.2295513871587,13.5971865817928,7.17065533260374,0.764094141579589,0.462093829162645,1.03028550393641,1.58275199389776,1.68899779296298,0.77320848271719,-3.17550107317941,-7.48792203106665,-9.44665636975425,-10.7056570966126,-10.5434308817709,-11.5365447340454,-9.26439346357719,-6.97990861669447,-4.84718788206602,-3.8810013608188,-2.92069854408786,-1.69252771573499,-0.44452948914001705,0.9723535463218914,-0.7362595249480093,0.17146041223314035,0.06130885987615392,0.005954770595426562,-0.04179076521711107,-0.039599359727706805,0.014764491540723642,0.03522862773574184,0.07688939131894218,6.037793697108013e-06,-0.14145706601942543,0.03502782817762083,0.13690569265694635,-0.00706584803372765,-0.006978731367325266,-0.0014528461344989125,-0.004589122075167831,-0.24626615535490573,0.2396784421081341,-4.716528539249436,3.6860801106043333
4,5.11010493157272,7.17065533260374,4.69784471052299,1.47435849664448,1.32474325741683,1.41727479467498,1.55102278496479,1.70045745955408,1.21923664408432,-1.3394511293304,-4.17170617184923,-5.58107719848106,-6.64671969599935,-6.43652595635835,-6.78204864020884,-5.57595476643748,-4.16225532905893,-2.82234870922363,-2.5133773772427,-2.11162264771368,-1.27984718316862,-0.05123328662548867,-0.7361801797180411,1.8832518937063847,-0.6549055918330433,0.006820363833306151,-0.022118007770617364,-0.031214648886458432,-0.025537497666301777,-0.07639999577516968,-0.03368289031375911,-0.034972322681307434,0.0378563316437451,0.23090273340216358,0.09588461273569383,-0.20090730242819277,-0.02304118771657315,-0.032155166799282583,-0.02167120002945413,-0.10506331935431729,0.5572118196855405,-0.3977234309778066,-3.038856304985337,2.1651431154828984
33,-0.022842253032582,0.764094141579589,1.47435849664448,2.49556922242845,2.16354086209536,1.56808019538424,1.10560790149057,1.23845258692731,1.11303649733223,0.527479095155786,-0.180005228560793,-0.290101850585446,-0.481365262554407,-0.550878024007258,-0.64796144502588,-0.858895499651621,-0.61491734504774,-0.371263959947289,-0.755490770163036,-0.96493711081561,-1.23103332490404,0.0682527957541169,0.17196407880845518,-0.6548583183075081,1.4746064851629421,-0.6876818524743064,-0.09449374927815161,0.2966186831060882,0.014072986917145824,-0.07068683609157572,-0.01375698527369895,0.12448285424674586,-0.03171857623511422,-0.2563982809950647,-0.040169596009233303,0.04983886482025929,0.25613607836469976,-0.005629973158315903,-0.24646600687211512,0.12215105021375089,-0.21322532373907793,0.21869133541528207,-1.1289260062051083,1.576568813096483
34,-0.260400998342358,0.462093829162645,1.32474325741683,2.16354086209536,3.41974924528516,3.33740175442582,3.37889728646989,2.70617094139522,2.05215760879344,1.44745991273949,0.576023152146172,-0.319641863241001,-1.40549158220044,-1.76169300868309,-1.86720545855877,-1.79106108367638,-1.37618053060865,-0.961502992237346,-1.0955913718953,-1.20576671321397,-1.23280390323111,0.025771198021308558,0.060388892923520426,0.004968357179510013,-0.6916035364386731,2.056521544515002,-1.5173824593188676,0.2594488891988564,-0.01723059643642728,-0.0027860135431051693,0.0060532188517334,-0.029597909343795106,0.015142886046973973,0.09951114988353513,0.028778618564916883,-0.10215053664612006,-0.011723935983464983,0.004973195689999201,0.06268567214392362,0.033136029345847,-0.025876839616291777,0.025630159805099806,-1.3172893025627948,1.8465506343680798
38,0.420915826780918,1.03028550393641,1.41727479467498,1.56808019538424,3.33740175442582,4.07403847256172,4.77616827677851,3.71418454266811,3.05699908350326,2.8354691236751,2.24665681403248,0.80456421352316,-0.912364588764377,-1.56134801777389,-1.53918458721524,-1.23214691459636,-0.735181794816739,-0.250768049673499,-0.190159737244861,-0.427170983545532,-0.480429559194209,0.012265062917699973,0.005367983900789064,-0.021805714983880498,-0.09325917080628258,-1.5185333793598976,3.715663758777294,-1.6516648580089255,-0.3251322507472037,0.1647419380977851,0.009723943067904433,-0.05124916017875917,-0.0051727939529597425,0.02491203662737986,0.06534709398607243,0.029033282012328413,-0.10439554253860248,-0.022618685220733997,0.05821231455026904,0.015833114252380952,-0.006035116789234114,-0.05620547067313303,-1.7045773301032767,2.0159460490205876
44,1.02631072210599,1.58275199389776,1.55102278496479,1.10560790149057,3.37889728646989,4.77616827677851,6.20942823410642,4.80938919218553,4.22062429196253,4.31875140947055,3.9472958406834,1.85800434202257,-0.589658727534209,-1.63739356939622,-1.56699675867491,-1.05829152421875,-0.448025071628767,0.143830456401312,0.395286395644158,0.0324466394449702,-0.0590256559873564,0.0074594029751186884,-0.04217469620610431,-0.03036480647445585,0.302001461869819,0.25050554840256467,-1.6508183041802653,2.167336954948934,-1.3727464437591066,0.6579286883183646,0.016247456795078517,-0.2278144408498552,-0.005541396046723012,0.0009782264125422773,0.07506568110486633,0.049122321872560784,0.018128973112885093,-0.02369667798964365,-0.06920828591160054,-0.013824685811408478,0.02783741063222466,0.02189538060403446,-2.1644460028050494,2.4898651035962605
45,1.44583718044152,1.68899779296298,1.70045745955408,1.23845258692731,2.70617094139522,3.71418454266811,4.80938919218553,5.24763949021282,6.45877288084054,6.23401438528385,5.63739277893999,3.16301042995005,0.25073254475229,-0.903130979777488,-0.905689866010248,-0.819721926502363,-0.440184117601715,-0.0463367299025038,0.272075064045621,-0.23398286750029,-0.432448371751057,0.017268534652574462,-0.03914578319151817,-0.02321317383270028,0.014622638572567358,-0.011644973044192304,-0.32701645071998053,-1.3717513599155056,3.4617785515971695,-1.654687380793173,-0.35069817733984937,0.6737979634047292,-0.06178766013892153,0.029009575238144736,-0.343617975206957,0.053480964588201396,0.029737177565911495,0.016640451945429784,0.02461023100188227,-0.03777472930096613,0.004716948877245435,0.028045885317563145,-1.5446470313230483,2.2885889736282525
50,1.73887162987332,0.77320848271719,1.21923664408432,1.11303649733223,2.05215760879344,3.05699908350326,4.22062429196253,6.45877288084054,12.5539455432016,15.1083500351512,17.4172914874025,11.0763046380397,4.08413023998496,-0.902881905049993,-0.831586022545529,-0.766334251142901,-0.183039130161822,0.459610128659711,1.52777414072696,0.817603214806482,0.4674097865383,-0.021983607537406767,0.015310651912805109,-0.06837171573617067,-0.08712589441486945,-0.001537359423910069,0.14315780318253238,0.6578260016190999,-1.646632434487255,2.2021600565962878,-1.4239731769737745,0.13694320293654513,0.0317150700946655,0.2684901395016101,-0.06433978146387614,-0.006375153805666821,0.030997366452047436,0.051068871373092045,0.061588754674038966,-0.07522999275708053,0.008998236521820283,0.03599975749445428,-0.6157082748948106,3.541743291544659
51,0.161552613642569,-3.17550107317941,-1.3394511293304,0.527479095155786,1.44745991273949,2.8354691236751,4.31875140947055,6.23401438528385,15.1083500351512,23.9249536994517,32.4949131796948,25.364846586964,17.1827147504743,9.69268432951023,11.292841325341,9.93949761500903,8.94368176578106,8.00030631614721,8.49179823683222,6.59086894824259,4.80170481835431,-0.06645952484305907,0.0323933481670783,-0.0316700264642622,-0.003511240905478617,0.02882776962438471,0.010841513917232896,0.014935447370526005,-0.3488928356851937,-1.4254904827917638,3.5033866684673405,-1.6170101321384627,-0.2832836282208697,0.10419376541767573,0.10070775993889251,-0.03586924280780727,0.007731604406400358,-0.00783486658569833,-0.07315729348289074,-0.0258055082796452,0.030580823568875048,0.04794694416451197,-0.09951913444199563,4.89029178060489
