,Cov_0,Cov_1,Cov_3,Cov_4,Cov_5,Cov_6,Cov_31,Cov_32,Cov_33,Cov_34,Cov_35,Cov_36,Cov_37,Cov_38,Cov_40,Cov_41,Cov_42,Cov_43,Cov_44,Cov_45,Cov_46,Cov_47,Cov_48,Cov_49,Cov_50,Cov_51,Cov_52,Cov_55,Cov_56,Cov_57,Cov_58,Cov_59,Cov_60,Cov_61,Cov_62,Cov_63,Cov_64,Cov_65,Cov_66,Cov_67,Cov_68,Cov_69,Cov_70,Cov_71,C_0,C_1,C_3,C_4,C_5,C_6,C_31,C_32,C_33,C_34,C_35,C_36,C_37,C_38,C_40,C_41,C_42,C_43,C_44,C_45,C_46,C_47,C_48,C_49,C_50,C_51,C_52,C_55,C_56,C_57,C_58,C_59,C_60,C_61,C_62,C_63,C_64,C_65,C_66,C_67,C_68,C_69,C_70,C_71,Mean,Std
0,51.3223269794721,88.5963323409038,125.722151067554,4.73775384223983,1.17237425309681,1.93674787094865,-0.282694100408003,-4.61870803516715,-0.322526123038559,2.81685600988054,-1.41744998679949,-3.2145708546726,-5.3155440322939,-9.45862973675158,-13.6220802551905,-9.6369250844566,-3.79309159361754,-2.86752083860579,-2.25025278100998,-0.0707708275202464,-2.75895974562323,-1.19215571435822,-0.923713985359348,-0.322243265087487,-0.0054796425295826,-0.296337201079957,-0.412246246788603,-1.80120759131885,-2.06178655173369,5.41925370726807,19.1539898233237,27.4496192740526,36.9822073795079,48.5227093474251,25.605461479888,2.84961697282748,-9.4521026085816,-15.3532953040114,-21.0991738112083,-21.3470227223963,-19.2860805402349,-17.3156810245071,-10.8395304116337,-8.95064741537165,1.626781953538961,-1.6207790694285225,0.5145056257117736,-0.13851920409851792,0.1896468717876054,-0.10822618408830163,0.08066736783673437,0.22128655875426237,-0.08372349155846623,0.11856299505274638,0.09753418274168126,-0.21346528871531875,-0.04544495878633534,0.13399977471627209,0.42105863543869104,-0.3070193124413822,-0.03418757612234345,-0.036945313338996554,-0.01720702633866516,0.04065291695878048,-0.05466827524424238,-0.08544715698941356,0.049015627131630796,0.10031778416363223,-0.011176597956278189,-0.1481122632134851,-0.008704230875390722,0.038931875948928774,0.12715305364340365,0.02481730290841619,-0.07349361876116689,0.0033550324200898934,-0.15031527025372696,0.19461422945351511,0.057621370890251065,-0.031367942388703815,-0.1072556467428364,0.08639017852874635,-0.008406079597903342,-0.017848171877322988,-0.0254046788112337,0.1567128886918087,-0.04881031183145364,-0.012123217612924155,1.3524763766699248,7.163262314020906
1,88.5963323409038,169.605852720756,250.217966007078,8.02029041757281,4.84323721187506,3.88510048731288,-0.898054018145896,-7.63200200570875,0.0197643141946566,12.7948148078128,0.506465553139859,-1.50524891536212,-3.39305950122689,-11.7544370410866,-20.0805303230755,-23.4292083543619,-10.0352593494818,-9.56765539744884,-9.32719723630922,-10.2526686836338,-7.50232276824736,-3.60259297115504,0.0259172310674928,0.0518781950951523,-0.786455354612477,-1.56907968060977,-2.02328934284365,-1.52537345773368,-1.8764283595116,15.326376449622,40.4993264674422,57.4586791423608,76.6674875806688,100.78441264997,55.0987193420613,9.34394204920378,-14.8782999681611,-21.8084415826583,-27.9589810886541,-28.9547186363064,-27.6444285337529,-26.6940351453667,-20.1150897377625,-13.2190897322243,-1.6226416682906202,3.535242099063714,-1.771964480985069,-0.03945064820296177,0.13785472095457807,-0.008887130448135312,0.013013482148348904,0.06709631357673299,-0.001850066421096018,-0.05134582665303717,0.01476814986671359,-0.035156699502328304,-0.04971230489597485,0.030959165121908355,0.13281954213793443,-0.027941817368304863,-0.11700698971424707,-0.05023322716281624,-0.01869102877520541,0.0004941424187611973,-0.003842425147283324,0.03072654134889783,-0.12887557400948715,-0.056617700873385475,0.16087681289586478,0.0734620069727082,0.021428780468962266,0.00839327967567279,-0.018609833838670545,0.024118121163251786,-0.014107629950204951,0.06614088720777156,0.0074840447199829765,-0.07597411284113384,0.031217912159482712,0.006260571310073816,-0.012763475323207549,-0.014243811931721358,0.0033083976552131518,0.015472127156135728,0.004624135336583315,-0.000312725771548595,0.015106739643537363,-0.007840148148190347,1.4672531769305956,13.022897247569599
3,125.722151067554,250.217966007078,374.413075250715,11.3161917718319,8.50032062048498,5.8124235855197,-1.64132129946729,-10.7654276279961,0.399591158972458,22.6664024814635,2.09748950837345,-0.046361832771323,-1.62490207963302,-14.1601486528083,-26.6068276442163,-37.2329441722974,-17.0974530922826,-16.9533693970442,-16.9558352316522,-21.0284565233036,-12.3259321662771,-6.15829719826077,0.912438258102755,0.706921440337965,-1.12154897231962,-2.53771247767227,-3.47658416643022,-1.09525509185165,-1.66841852110625,25.1273161430533,61.8950412348421,87.3702505482107,116.142491095075,152.740982988491,84.2821957166988,15.4820628031061,-20.6499755619003,-28.7450793030789,-35.4479141319583,-37.1910755185131,-36.5533276841499,-36.5684474944105,-29.5740788637868,-17.8521889447488,0.5174951611152395,-1.7740392924817936,1.1663425663927756,0.0030243366770644478,-0.16346635614885674,0.0408826034189122,0.012205744654385679,-0.15046061175087957,0.03921608449273873,-0.04536380380469945,-0.029436339689347224,0.09159051594610691,0.05610816739141558,-0.06094387018051012,-0.21548660494815053,0.16338983215592576,0.10059645138480088,0.049185230962608815,0.017145118231136087,-0.03118514125029422,0.011019716858490009,0.02234621997298198,0.048845626553198504,-0.040197677906998214,-0.08494800299242218,0.006773600812277415,-0.008156231366762998,-0.0062808504458809955,-0.014430569339812177,-0.020016233057454202,-0.03188279742360772,0.04137776617681349,0.3142753778577142,-0.5354357934129725,0.014145809278067682,0.1150190212539943,0.03587892673309132,-0.053624875406838,-0.001965958161900109,0.04469581687520367,0.03230420511805154,-0.06315593459179789,0.031386586930817015,-0.014183912610628027,1.659449332029977,19.3494980619838
4,4.73775384223983,8.02029041757281,11.3161917718319,16.679599724847,12.4628327759984,8.35444832408066,0.795617629355776,1.79128560223051,3.43220615128474,3.08422411251721,1.14335238386355,3.20585118694986,5.39010284697018,3.73841098483701,2.27833107690192,1.81115702404498,7.55666407387601,5.5862083420629,3.83860155483727,5.41226805089605,-3.68673192799448,-3.06501614281317,-2.67710768149196,-1.34900629387634,-0.819460794667079,-0.351542819588991,1.12709116017521,-0.109012506454418,1.05304150646069,-4.05116080635883,-8.18999973044472,-9.53099005990958,-8.15450029801281,-5.23001438618693,-1.95392918575372,-0.681915788310104,2.16052990522028,1.30600257935095,0.369696246402533,0.388715037372014,-1.06023447990784,-2.82471981530024,-1.02430417995099,-4.35557196969982,-0.13903573000381306,-0.043648938250714836,0.00036520799476098744,1.1937140618655362,-1.0133890616160766,0.09629299075587003,-0.06359241149360463,-0.010982368622832753,-0.20490986888069773,0.0673537164027489,0.0386638733889095,-0.02916751007076804,-0.32495663995824775,-0.0031319754217422682,0.36243868006715,-0.3457879573006649,-0.02223709494330441,0.038707529014242535,0.014829272022528643,0.009876764415082458,0.06412520413948758,-0.019577255549495947,0.18163256857179588,-0.04864907702594437,-0.20871921469693416,0.2502312790680975,0.0466705912910439,-0.01554724802210685,-0.09288510107894299,0.0076465103667768975,0.062391971632076694,0.18347586262262225,-0.12240909930468027,0.21662422409717214,-0.3062192215604048,0.1585249619028377,-0.06567339797920418,0.03156330428763389,0.0870686888624379,-0.015326084951397681,-0.12637247229602336,-0.02982848083734023,-0.031117037858826378,0.020768227674403495,-2.3687846203975234,4.082842113632002
5,1.17237425309681,4.84323721187506,8.50032062048498,12.4628327759984,11.4921349516672,8.24597153586978,0.58048774555842,1.7874784829683,2.93135665395441,3.87385364301029,3.36824202375451,4.20954276243629,5.21625602198127,4.47604319067501,3.88339693466015,0.956088817783049,6.03785010420308,4.31835830039054,2.86491719016135,3.51846216583878,-2.67216416864119,-1.70166755773668,-1.05601633761436,-1.49642255622331,-1.54874538496052,-1.24873571356475,-0.205533949699195,-0.897514439657251,-0.0544753594690958,-3.92651214160751,-5.06704524892346,-5.15836840494408,-3.56586582817539,-1.84016761425016,-0.161425394752923,0.264001850621457,1.90120080404709,2.49322361389939,2.82783351415699,2.15769345376082,-0.0051956749384365,-2.29538387875247,-2.02889729329935,-3.80892685633181,0.19290754119186065,0.1303768276886044,-0.159329422944646,-1.0136828896219157,2.5706729264900345,-1.2483840489116607,0.08434249345067248,-0.07332514621465366,-0.19028088232717955,0.0026013561384898767,0.018996099988501654,0.004553668439799404,0.1390352583736134,-0.07866659618805485,-0.475329281620743,0.3110635990398362,-0.12182755401885297,-0.11737042138530383,-0.005143651513967562,0.09523750160412937,0.14895091979555528,-0.13170248083094427,-0.037893885119064684,0.08333653470336412,-0.04096391169879878,0.026337672978284005,0.033431970493421656,0.06772062913194071,0.10870858320220066,-0.01586677072246167,0.08610988552124194,-0.04868645410358493,0.028767598312483815,0.020558319000319535,-0.0894180269902985,0.08294759328722423,-0.05194050059122126,0.14020153482461117,-0.05306586544101828,-0.12466412184588962,0.012467322678417445,0.16616970938077333,0.011188465027344493,0.08545233670729624,-1.8690615835777122,3.3885299101036734
6,1.93674787094865,3.88510048731288,5.8124235855197,8.35444832408066,8.24597153586978,7.53021961550994,1.03196102248905,1.35786729473448,2.21260316205956,2.25219257697799,1.58991047793242,1.38501624791976,1.41446330008532,0.916559019940642,0.507456802502004,-0.273977786412052,2.38873689394854,1.3786577349343,0.594517150022143,-0.489165953634572,-0.789040039291854,0.0217359828510429,0.0699152616055094,-1.53942950476212,-1.78408456103313,-1.84600652052815,-1.47901054214211,-0.88845893927252,-0.4984458923408,-4.02018167036669,-1.69083854798972,-0.994270598503812,0.401537427987284,1.18651622032678,2.09429840473414,2.58569429205243,3.21282064643723,3.92336988282131,4.63895100377823,3.77074405458592,1.76434131150356,-0.220995641718979,-0.026550133012316,-0.973492702077946,-0.10956194080824867,-0.0035395720756326897,0.04396263900878077,0.09345536761524297,-1.2469621273305618,1.4983743930588673,-0.005523721643896757,0.07266616174535508,0.07064324018208015,-0.11507332839177227,-0.052893017690378616,0.03842656919497527,0.07346049520352782,0.06097020987142727,0.150658243170699,-0.10211496580773306,0.013577887228785649,0.06476300125824011,0.0034145924147670212,-0.06283798209650719,-0.0460835543274334,0.08871052019256102,-0.1974586765475557,0.12617069969833583,0.1375621668001332,-0.11989054109059005,-0.038275174441052835,-0.03060738560837556,-0.06171866114100958,0.09502748514691668,-0.13872347869855647,-0.08396530422498673,-0.007993957170242219,0.07136636198163375,0.15335147977938768,-0.2792162151977248,0.08553779196193391,0.02335463669378134,-0.21820587728884488,0.17229244389916998,0.07366047434651403,-0.044932449043048064,-0.06620224510752037,-0.01818534017358699,-0.8854675790159658,2.7423018826361805
31,-0.282694100408003,-0.898054018145896,-1.64132129946729,0.795617629355776,0.58048774555842,1.03196102248905,2.24773630570942,1.27492174263814,1.20801725742773,0.742198331602414,-1.02666109355067,-1.48220423215736,-1.48760785110372,-2.34794848180778,-3.19607521181507,-2.69821106107694,-2.10612791348561,-2.38946805605266,-2.50824153089476,-6.50762764097824,1.72019665676012,1.5598622985256,0.549182121585213,-0.946884024665899,-1.58997969129845,-2.0784242134649,-2.53338142538901,0.176461479420004,0.0725838218697497,-1.07732379461531,0.657311958090042,1.19107785289748,1.60447636951606,0.988083727905536,1.2877640018619,1.46135611911175,1.15741489261546,1.89276436945925,3.15613850386622,2.76724411031949,2.15074494117216,1.63836301709056,0.958636296850017,1.7980183409598,0.07323279293626168,0.011185059186886781,0.010001448950269012,-0.06260840467882524,0.08487498040051378,-0.00515163635921748,1.3337124040242896,-0.2341013679652177,-0.44030761765294074,-0.10405430521191605,-0.04602060082534169,0.13170409650013673,-0.11439793879051295,0.06341320943186282,0.28243579303750294,-0.06926449554654567,-0.04664214657439569,0.08279163688765474,-0.02020699086606968,-0.09858237590868685,-0.03876389968873587,0.037831716195841074,-0.07869201633602836,-0.08389070204158265,0.06646563996699814,0.06506494251628933,0.07748947826681798,0.04336451557171373,0.08955061929837556,0.02309166702541171,-0.03737307189637595,0.15206562881702934,-0.0060072574337706585,-0.029097044742341382,-0.14419886364494103,-0.11623009207296073,0.1563576615757978,0.013596172095117058,0.012988310218669266,-0.03506928549794039,0.0649645998694873,-0.04945172156267832,0.09647703640564682,-0.15628856631152105,0.5981264255457803,1.4959065163670568
32,-4.61870803516715,-7.63200200570875,-10.7654276279961,1.79128560223051,1.7874784829683,1.35786729473448,1.27492174263814,5.01724731182796,1.78628999991355,0.329461871267,2.52533667488586,2.25529058532684,2.04227301422136,2.16833201677585,2.23310072908085,2.11361110093082,3.61075222690485,3.23095743537687,3.20266644469731,2.58024996108279,3.76945511255222,2.68572029993377,1.21118307930727,-0.0367729789153551,-0.267498992573694,-0.181035392025921,-0.0122153048388652,0.615639277934442,0.835813617876934,-2.09798778548759,0.668143230153909,1.0225145700462,0.232227944031774,-1.4110674971339,0.342323760902045,2.51717114597198,5.03355108241646,4.10812485750985,3.86705699135308,5.26239280449928,4.56351338964305,3.94702140316996,3.7690622605706,0.545657636331991,0.2216662487597502,0.06414270951032632,-0.15141902068850305,-0.012470079833693576,-0.07339218105824369,0.07284379237634905,-0.23547795280948625,1.0021233525115336,0.013957432074798893,0.07765841808555349,-0.04313840306929012,0.03240514441699632,-0.17823901183133556,-0.023223698641674517,0.24811734684240996,-0.180257466863156,-0.16368460467581028,-0.06846560020490726,-0.09409770448272259,0.15218143508461637,-0.17610985388219835,0.032834096779672556,-0.039243777383995794,0.16814646012725457,-0.01983343140729673,-0.08554335073263765,0.012207468822487643,-0.0749792344106426,-0.033685110116246704,0.12124152793588354,-0.039815129447243226,-0.26716216788232056,0.05111139413117982,0.10693364015533674,0.1851849032382576,-0.08101903066744322,-0.18299822871746363,0.21303106977041797,-0.1480565989127609,0.016376134572052118,0.018554337535824215,0.045907254528211885,-0.09553146914362536,0.1004150384842526,-0.7483870967741936,2.2376879388842315
33,-0.322526123038559,0.0197643141946566,0.399591158972458,3.43220615128474,2.93135665395441,2.21260316205956,1.20801725742773,1.78628999991355,4.89064516129032,3.24806410159525,0.39550988999141,0.426664878016658,0.712996928880365,0.396456512349004,0.130624320099941,-0.384305509263464,0.591024274185173,0.12902521847021,-0.0204445012532325,-1.31645701027192,0.947915936336754,0.777164454815117,1.36114724308683,0.96300200906815,0.793808607426888,0.567161167857311,0.38456965456892,1.14491756768762,1.0650446927156,1.76513854348909,2.88210037483075,3.66782547603421,3.71386663998171,2.53727303887405,1.9275473892622,1.80787050305441,5.96207189703484,5.03710687744367,2.91820820111455,3.91889778316345,3.34837784883671,2.82590036801344,2.24824139504242,-2.00344767270434,-0.07636692337361005,0.000517704968873509,0.040890263029071845,-0.20251772814948885,-0.18931033883588874,0.07037515780548481,-0.44003740011707076,0.01207425515819128,1.3917453509084587,-0.17205981796103653,-0.11284088814703802,0.17363140512005393,0.16056966249487217,0.008900814500876411,-0.19913792683606607,0.27313847055579615,0.05519968437563909,0.00876915205430109,-0.009401683650863257,-0.06069665122993383,-0.025696981735567514,-0.03713043037921683,-0.11087532025938121,0.012912029970411453,-0.014975889169302094,-0.04654938191643774,-0.05441003743248037,-0.11146349345614566,-0.22170863879186758,0.005589875162495256,0.020431833409586507,-0.0853332356262312,-0.17740769887628335,0.010365440208464378,0.18029309216979536,0.3674577258504431,-0.1554636906101082,-0.3506032322099027,0.16842039083189453,-0.013168404802199862,0.0016965288165742278,-0.01916823374904164,-0.09702284889411816,0.14280384321191492,0.47580645161290325,2.2092182240082856
34,2.81685600988054,12.7948148078128,22.6664024814635,3.08422411251721,3.87385364301029,2.25219257697799,0.742198331602414,0.329461871267,3.24806410159525,13.9024731182796,13.5973072072193,9.0060271803132,4.91753476206929,1.87750998738938,-0.953076432335325,-7.71527732413967,-4.94520255781125,-6.70480563755192,-7.8450008251756,-15.8875866049895,-2.14180372034454,-1.16247176324451,0.602111511292165,0.465716785522946,-1.08058928461794,-2.01266847944476,-3.24328940553241,1.12420414422891,0.525144116860328,4.38125914414842,3.21134126578391,4.20867177182766,5.21520839770615,6.82162181062238,2.57845060874869,-1.72774316886031,-2.6414002968847,-4.7015153729626,-6.13900670787268,-5.75193098680177,-4.10961974304742,-2.54424816038765,-1.26857253360011,-2.9908918628214,0.11790165702770815,-0.060089198728324085,-0.05296410268347656,0.06608110249435041,0.0018875330187808348,-0.11470936681634578,-0.10427431866678964,0.07841860759911727,-0.1720644011156138,0.4865873687566168,0.0020703632499450234,-0.051136221007475495,-0.13954795494175146,-0.02181493229621439,0.018160831579282426,0.005391466455597673,-0.06323151860701325,0.09343091547018184,0.034820099819251125,0.013293886552163816,-0.00212064877763529,-0.045103084415233606,0.10896629693987521,-0.07002635532706217,0.052740691935887124,-0.05377421989363706,-0.01800543310040048,0.0018256219690337592,0.03578141617530273,-0.03133361755160986,0.05970500319644447,-0.08037362413253511,-0.005675564612042472,0.03649029080254088,0.08698240831330827,-0.0660686158468819,-0.06665515230032228,0.13849473005593438,-0.0326502332945357,-0.0389663356387907,0.05978976046542917,-0.06539107979811296,0.0020804653927285017,0.02802342145456902,1.8225806451612903,3.7272608063133403
