,Cov_0,Cov_1,Cov_2,Cov_3,Cov_4,Cov_5,Cov_6,Cov_30,Cov_31,Cov_32,Cov_33,Cov_34,Cov_35,Cov_36,Cov_37,Cov_38,Cov_39,Cov_40,Cov_41,Cov_42,Cov_43,Cov_44,Cov_45,Cov_46,Cov_47,Cov_48,Cov_49,Cov_50,Cov_51,Cov_52,Cov_53,Cov_54,Cov_55,Cov_56,Cov_57,Cov_58,Cov_59,Cov_60,Cov_61,Cov_62,Cov_63,Cov_64,Cov_65,Cov_66,Cov_67,Cov_68,Cov_69,Cov_70,Cov_71,C_0,C_1,C_2,C_3,C_4,C_5,C_6,C_30,C_31,C_32,C_33,C_34,C_35,C_36,C_37,C_38,C_39,C_40,C_41,C_42,C_43,C_44,C_45,C_46,C_47,C_48,C_49,C_50,C_51,C_52,C_53,C_54,C_55,C_56,C_57,C_58,C_59,C_60,C_61,C_62,C_63,C_64,C_65,C_66,C_67,C_68,C_69,C_70,C_71,Mean,Std
0,103.764818797292,12.0104468413668,45.730774441462,6.8298463591104,-34.3513152844222,-32.6699370532002,-14.6184998739174,-0.622363614508075,-2.46134940490703,-12.2209290040551,0.124756409269462,1.20438192952585,-9.05222064808852,-1.58754402862696,-0.887215549275173,-9.46625261766959,-18.177372836693,-25.8666108296441,1.10561591507909,-13.217607484351,6.62038616929678,9.01311070774777,2.1506124948178,-0.911829298680079,-0.927835164252886,-0.468392166420635,-1.58505556930496,0.668705188000144,-5.05887605290511,4.99587555675227,-11.694627064092,-16.566536525101,-11.6783478356914,3.20785110470342,3.69698374974288,15.837270961099,25.7092185907094,-6.79669793808164,-21.8311758482321,-4.00306583991507,18.0164702468738,10.4364674628792,-24.3274167862565,-52.1775636325,7.86963829669288,-13.1126386326386,88.0213545374411,76.4330943922339,46.2031657180329,0.633665779952786,-0.01882821583607233,-0.4815666739112415,0.0976493219088157,-0.09770456859331038,0.22490118475597445,-0.2447266963696004,0.020817991709263753,0.3078588112542962,0.33178748803651575,-0.221445289307814,0.13811949301081297,0.08511938211821383,-0.03994734973489224,-0.09478373321237747,-0.08126328897722059,0.026017644423217263,-0.007875125238978166,0.03815534277630328,0.02315665286817245,-0.13655859045125088,-0.24157432893645842,-0.21580830424053565,-0.21885307161236003,-0.2504346511937463,0.19247740662570895,-0.06096139106054508,0.14152531902335053,0.08368782279660394,-0.12476229277098892,0.16535526888211544,0.44935355139894617,-0.0035276788887011416,-0.051231143266695506,0.09222008305670197,0.013504400370523757,-0.22867699966712146,-0.004333188400443813,-0.05833240605544365,0.06629180331489838,-0.04846250692865884,-0.11900234390104139,0.20085609495064577,-0.03281859727809396,-0.03620155680116627,-0.08928400653190663,-0.06821529439905206,-0.120755468251432,0.1470047978104274,-0.6218637992831542,10.186010936440818
1,12.0104468413668,132.527936081243,5.3101382659179,-1.88236525871746,-5.64275395974651,-36.2507834526467,-18.8463343352633,-0.848690029422891,2.49525481734127,0.762059265770026,-4.94624112495198,-5.64946949131824,-1.42176536740682,-0.342852290913915,-1.92408728792345,-5.97102274945168,-11.2838402323675,-19.0090752809015,0.50957077072459,-7.44916906929728,-2.2904620922503,8.42180726667565,0.897888858820643,0.514204154906404,5.42696006474952,6.08825715403238,11.0083663987728,-7.8056924522835,-10.566032443038,4.94231413767441,11.8356578631305,16.4975431376509,29.4408981924084,64.18834959104,92.5439530016143,121.09995859057,67.659210704351,-9.69452270939731,7.1658182379852,76.2321403003543,2.36375318744578,-19.6611496664967,-37.3710585430433,-57.7715783577639,-11.8510566230853,-17.0502604502073,-22.6436410518784,-12.0899667203597,-12.9508682939024,-0.018828215836122087,0.28060835620949237,-0.017454189324027432,0.1389874096454756,0.07381161870414271,-0.04722842249511084,0.0314216889233755,0.05730043544680416,-0.0595174073818937,-0.2512968755491334,-0.06022121461673336,0.08486889543718447,0.15031375986041345,0.12038087729071177,0.24953483300970428,0.014676103507462759,-0.05602364614668433,-0.0007383355620487552,-0.08792554509011727,0.14576902231028624,0.24400356210423693,-0.20314713621732208,-0.020480381732969788,0.1913707720814451,-0.10398973041835621,0.10839232333302352,-0.1873139056008901,-0.11517163362143629,0.07651745430891158,-0.10701573450909059,-0.10774133556246823,-0.07539788276695596,0.0980745620052525,-0.04589760783499225,-0.04696335459717823,0.03031003122323581,-0.06058768449938879,0.036349063852006674,-0.041971350995790316,-0.0953361641158432,0.04166454846718165,0.12938128459206333,0.02536146322956122,0.031890336400924944,0.039392510650908374,-0.07574366148514108,0.07477601937023871,-0.1721724551928559,0.11969207994730173,-2.405913978494624,11.51164350044087
2,45.730774441462,5.3101382659179,120.207072879331,25.7322434428015,113.328901884505,232.311081070546,96.5800281590099,-1.27761051742285,0.938540066801842,-14.3104108558915,1.12153956735316,6.85170880526385,6.94140823820614,-6.54103604838228,-0.723424958888436,-2.42215488834779,-3.87628304058175,-5.9061588963833,0.683178202563654,-9.97189080096942,-0.525367119588451,-3.91297440591307,-6.35885880985484,4.12135486719164,9.62127072534683,5.5232151425347,-1.88464462238286,1.84051977877367,-8.65505661865102,13.1438549052857,17.8927923298297,23.882997850878,31.0906951215946,62.4967192186755,59.4822539754105,58.6775303418675,16.8669902500544,-19.8771615589186,-39.3709275366567,13.053503755558,-2.62537686572856,12.0117650782954,-9.01035757322749,-64.2550472109996,28.2719626187651,-26.8555723920685,-1.96806170232704,14.6590513459826,13.5715470415412,-0.48156667391069197,-0.017454189324101848,1.0682340677547009,-0.42364546308961404,0.08010869899255965,-0.25175099979918536,0.10574040663634338,-0.021383389706968965,-0.12639793384941098,-0.0282445980983119,0.16033113232333826,-0.20765894568671772,-0.1091176191372506,-0.17950424079365615,-0.06459508177389013,0.10130364341807617,0.020372188520239084,-0.07444164312471312,-0.2959464918117609,0.24216205287453518,0.1421958891405342,0.2978177148072277,0.37766058951627574,0.19450326539267807,0.2558852862445943,-0.2689411977787508,0.14943445508104047,-0.1807441397211526,-0.287322590377708,-0.3598182271039475,-0.1540574791327104,-0.016817336290449954,-0.15044169191411172,-0.5150132587859081,0.12915809747807885,0.043598648268247595,0.2673458600524092,-0.10259733474758442,0.07760191420560777,-0.14886748509219022,0.15979043422619374,-0.032319173161441214,-0.05985890800210545,-0.027630165505042874,-0.12429983927702071,0.23354392765510307,0.12068556712750494,-0.24084922534769024,-0.05164723197920312,-1.6378136200716846,10.963442565149458
3,6.8298463591104,-1.88236525871746,25.7322434428015,27.004012345679,-6.29382463900832,-34.3719460044755,-13.2322882747103,-0.419549481882674,1.53940045305669,-4.02590875164578,0.86307643828019,4.39412654909393,3.71157343107566,-3.68493532381568,-2.91956588979471,1.75354971940896,6.68031774390195,12.6003708904299,4.35271735819815,-9.03180852322837,-1.62959459802581,-1.39814994721836,1.20167371076677,0.534929963715211,-0.416157483761009,4.96168410615474,4.11419711929631,-2.33345167656212,-5.47981394411125,4.48790115256103,8.61954333306492,11.1666603516723,10.2844253237838,21.2899663988849,28.1475865860311,31.9992976017955,10.701987461752,-11.3028717278237,-13.7497701188834,1.0785305097307,-4.39612652204863,3.3341075533699,-2.50309695632894,-30.3377318513404,7.45239180911723,-19.347718456121,-5.20581905810936,1.33304804011272,5.54041275434509,0.09764932190850638,0.13898740964568987,-0.4236454630899015,1.27896033718373,-0.06350789248955725,0.09609995251339125,0.029068028184050555,-0.2772552139210214,0.01381933130525807,0.31800378840188853,-0.3959895456380104,0.13903059126558795,0.2771918634435848,0.15857148160192971,0.4210835297491765,0.11616692339312837,0.07775605907708309,-0.10505534762330265,-0.1267320499545547,0.23472074997209952,0.28790875694714835,-0.1436311727122109,0.01288010402245336,0.28002539837148266,0.08715082655509532,0.17433818396243234,-0.25417698357924146,0.026663001370673095,0.27301991228701716,0.16313130841286935,-0.14215910306415108,-0.19206031340646562,0.042454253646975915,0.5383962566224871,0.16596580500832955,-0.27011873431846256,-0.45234291913522645,0.028721962826465303,0.03259889318462177,0.05526113465806249,0.10654529143265382,0.027321468094090032,-0.3886001028103904,0.012015891093129913,-0.257766017110169,0.3647818613146136,0.14668782406025274,0.11655727314839019,-0.12129022409268837,-5.6611111111111105,5.1955762284542635
4,-34.3513152844222,-5.64275395974651,113.328901884505,-6.29382463900832,559.568162037037,983.560318980556,419.267799569631,3.74661018341076,5.1681421719921,-14.4898239513401,3.47421595314503,3.68163644998679,-3.26451874825649,-2.90832602542676,13.0068079718371,5.72404205321498,-1.35667632310376,-10.3906984489989,-13.7060562090294,-5.83801729713553,-4.19602696124898,-21.848501791061,-21.350205459719,13.7932625431287,47.6112564646277,-7.25239944790117,0.359059598070666,-15.2012448238587,-32.2226953925622,-1.64005616777973,5.32343378509906,13.8842323138777,-14.8790812931528,8.05627749834463,51.5380135018168,29.0150916095251,-16.8441089300328,-27.6427769701233,-91.1548295452115,-35.2797528315293,-73.3596811033455,-55.7820357480583,-64.3332074063531,-114.806102710641,20.0792074516102,-15.3043789721879,-87.3760959751992,-71.9122746342303,-46.6885923411791,-0.09770456859301369,0.07381161870416199,0.08010869899209455,-0.06350789248944086,0.5201422553931536,-0.06491953135127927,-0.46427264389557615,0.053859888784095616,-0.22362989774534192,-0.024440837774661637,0.07087285318114184,0.10675035041452517,0.06877763423058543,0.03579228680182004,-0.049388011651029205,0.0015097661218279833,0.049726748399902175,0.00274949445810673,-0.08800635401283642,0.22963749447582887,0.07414749990982229,0.34793331872067856,-0.04741324678710738,0.011754991154136578,-0.000988569153885395,0.055752520469505684,-0.283347943798737,0.16922081966209895,-0.15133460267349097,-0.018552687174844783,-0.0941997736523097,-0.29671747642224877,0.300465293930347,-0.010499631728148554,-0.3018534993379429,0.26892037709912425,-0.015861100302324686,-0.0664690024720623,-0.04898672546777424,-0.17364940315507557,0.09675595658489236,0.0937161035415089,-0.14615889112191907,0.16040155449469023,0.18746874032986613,-0.11518083636833286,0.03706210720391954,0.05224838789013598,-0.054985704247841986,1.1583333333333328,23.654981759389234
5,-32.6699370532002,-36.2507834526467,232.311081070546,-34.3719460044755,983.560318980556,1922.89604674432,811.811175697296,6.01453905272835,-1.76068947173694,-25.5532188603604,13.5668987870332,5.02128030536823,-6.88280806979734,-2.63832564501421,24.2715844251848,0.248624145313856,-23.4645762970144,-51.8376060465527,-28.6873464469233,1.75945422229755,1.51768437939387,-30.1701941523216,-44.7428704304524,22.7348325313515,91.4820353806242,-12.5095223342549,-9.4319380218778,-8.22812015821637,-45.0617356453227,-2.35049569650532,1.40142035882741,16.0633339063435,-26.5443521898759,-17.6800066004533,25.9059919012003,-22.4031173006759,-52.6948161648402,-33.0593632433412,-166.470462653005,-93.7334761405118,-86.445421905907,-71.4152683548072,-89.0773136485236,-149.23868890912,77.044746242932,10.8573480456175,-107.81346566976,-99.7833080023182,-79.4578307652686,0.2249011847566292,-0.04722842249506733,-0.2517509998007903,0.0960999525140573,-0.06491953135134541,0.5033487807513051,-0.9912913669946187,0.0307848797824827,0.13205948030802678,0.03910028599972199,0.006218410231720001,0.10738175628664595,0.17018045354090924,-0.017678134849101742,0.014095746833452532,-0.0005155305293259294,-0.024473608852005807,0.038970911669704185,0.01703307053724864,-0.06433243668547342,-0.10245285480386959,-0.07600878686998253,0.06672196494998653,-0.10259384900662426,-0.03658270244851038,-0.12327973444037131,0.14896688376044645,-0.0093857846146223,0.04581273020781937,0.13952772547577777,-0.11118920205587877,0.3706704276113833,-0.09925481281039329,0.10144301910713548,0.029801350044488945,-0.05800399040176846,-0.10855912774454445,-0.07545196312603343,0.052648757283456055,0.08482619633215858,-0.060586708478334014,-0.1587939152995056,0.06075490361720055,-0.011286825178425811,0.0733619637432646,0.03188062933551618,0.033225012717003205,-0.029530192253273156,0.015370923388724627,6.61532258064516,43.850724586309006
6,-14.6184998739174,-18.8463343352633,96.5800281590099,-13.2322882747103,419.267799569631,811.811175697296,348.222830495818,5.07780480990181,0.711354167436922,-7.34550916411653,6.10550213629675,0.409988529201623,-2.61999670554344,1.18744488927104,12.3836993925846,3.70096535109429,-5.26006378838583,-15.0784253388784,-12.7244238507426,1.91774729726535,-0.521673138748704,-13.7842155731582,-20.3787479383973,6.9773344195868,35.2236452448153,-11.276323944831,-4.59778523233363,-1.97152656725579,-18.7389329893779,-2.82254639397305,-2.15746883678717,6.63024228585399,-14.8522619204333,-12.5643322685477,11.0332547023538,-14.9219968082837,-27.5739546101656,-14.7882695233059,-66.2999848166893,-40.585664177094,-37.5751101548578,-28.9936184721207,-31.9889729302808,-52.4268198909183,54.566507551663,17.3764406945241,-39.8243590895362,-37.4698362266104,-28.5538642562341,-0.2447266963717201,0.031421688923335814,0.10574040664073518,0.0290680281824064,-0.46427264389545025,-0.9912913669950569,2.9871125801404244,-0.07992320637678998,0.02903890966207749,-0.0022481054982724947,-0.32878130798392696,-0.166455728605994,-0.3307052817472297,0.1302843283907737,-0.044701895775283274,-0.06743462848504365,-0.00804369440619023,-0.032255168201883164,0.12368490554277055,-0.31181283634631296,0.11271633094202191,-0.18217675057768448,-0.016190991133777474,0.04881085394093545,-0.22033222242536216,0.36807542173526864,-0.0077191070594337646,-0.04268223477781382,0.1674035506896039,-0.15852660123376056,0.3894012113106808,-0.6243589878752004,-0.04090691805488048,-0.008423667770513482,0.19977306435844716,-0.19640055560934552,0.26624033015579357,0.3009955778321099,-0.05195263440221463,0.03312895695645225,-0.013942768775899813,0.34804788398232284,0.055625890354619574,-0.1530447665440527,-0.3943415024343119,-0.0013878863710264598,-0.22756829939052717,0.13859307763267137,0.047362543561189414,1.1556451612903222,18.660461690317806
30,-0.622363614508075,-0.848690029422891,-1.27761051742285,-0.419549481882674,3.74661018341076,6.01453905272835,5.07780480990181,3.60959304062127,0.912736557077489,5.23080115460193,1.33505317422855,-1.91163114259135,-0.78905147107316,6.16681640445337,4.58881397304281,4.18433368489296,3.58806226168349,4.78272095934306,-0.79415573525874,1.69952743825572,-0.783202361732497,-0.400114644522987,-1.28198854076841,-0.863287641942862,-0.302366756941605,-3.05766123719608,0.294256069829148,2.59777175551095,0.067451969290286,-2.66343045560553,-2.70150193399354,1.4505549307612,-0.676178780926782,-1.51305974299153,0.394177150965666,-1.64818820405304,3.12404534736136,2.45361541533404,4.23148969639978,3.41272854624055,1.73255351831662,0.939655660904994,5.85745156603979,11.6059038827939,9.80097483943478,6.99403733302283,6.09501342206684,3.94335706400989,2.77926709991788,0.020817991708927768,0.05730043544672711,-0.021383389706457128,-0.2772552139209657,0.05385988878375976,0.030784879781850145,-0.07992320637523709,2.482787063066334,-0.6314591852803334,0.32724567841984825,0.4755020744445308,0.23527245173965763,0.37255996582443246,-0.06866768288990453,-0.5032360738575951,-0.23537281575684696,-0.0009427829287350246,0.04351421431897871,0.0677633240498343,-0.22772684231506696,0.9916987810811955,-0.07876492176780026,-0.014602946247267785,-0.19281053067638607,-0.27825674609752044,0.028861685213141804,-0.23999609540529618,-0.5133534648266573,0.21219955145842603,0.005892232691586565,0.2720009990826661,-0.33019807867655626,-0.05061235918100152,0.041940537819891696,-0.19418483422952376,0.20326939752564116,-0.03686690476785232,-0.05031300960206948,0.06046580959211952,-0.031876035313728464,-0.0073438750330251075,-0.0009048432919652896,0.4952410336796663,-0.27401543461292177,-0.04745529871152502,-0.008029492586885189,-0.0935570154329718,-0.014572257789036739,0.054260016517229885,-1.8319892473118278,1.897259349857385
31,-2.46134940490703,2.49525481734127,0.938540066801842,1.53940045305669,5.1681421719921,-1.76068947173694,0.711354167436922,0.912736557077489,3.71485065710872,1.21971561329752,-1.13870932531125,1.24686292547067,-0.36187021638877,-0.718279404143792,0.59979443811356,2.90499582970894,5.07474834668495,7.30407071149504,2.61415031663291,2.6484354610215,-1.02321852246954,-1.58874316624858,-0.248509233498061,0.758606268500164,-0.661660186373094,-1.79303122749059,-0.439521466773858,-1.68838451000159,-1.79336890698065,0.392407007904866,-0.346211034618303,-1.14242826557406,-2.48462750521161,2.16696043049391,8.21822943907581,7.56831869765041,-0.525840637174655,3.35744408259575,16.5681474149846,-13.8274992604236,-12.8933034659897,-10.0865896317423,-4.74141484813518,-6.66093142811667,0.767445452201089,-5.02041854176764,1.22246942366694,8.60620968592375,14.0704415085477,0.3078588112544418,-0.05951740738174352,-0.12639793384991427,0.013819331305249793,-0.2236298977450385,0.13205948030802947,0.029038909662133745,-0.6314591852802433,4.042632417295994,0.0064061135608275985,-0.012522109379322107,-0.5149234146270957,0.6818783246248286,-0.10287501084551746,-0.43856335235529836,-0.07972563930781675,0.05602846747604547,0.0260678773566862,-0.3129542740330964,-0.03765550883191621,0.3347839424019704,-0.10824972370510073,-0.004560625231992445,-0.06728884352327626,0.18064130076201285,0.029038709998287397,0.24950540674305222,-0.027821118743207925,0.18568989275368067,-0.26983560619697944,-0.26836805513729306,0.14888452413090258,0.04893033287105138,-0.2392148415651652,-0.20720955638148883,0.10835169795899158,0.2671232654047739,0.024692826445444356,-0.17290109014993885,0.03042671637394199,0.07073122311285088,0.2283839985220046,-0.0589710096747428,0.15386675233566519,0.004533098005394748,-0.16841502554876325,-0.33515088042651,0.2072831602232651,-0.14896614354268498,-1.5344086021505372,1.9247988614680553
32,-12.2209290040551,0.762059265770026,-14.3104108558915,-4.02590875164578,-14.4898239513401,-25.5532188603604,-7.34550916411653,5.23080115460193,1.21971561329752,32.1813620071685,7.15346059337947,-6.98480397281183,0.366302467021325,34.8605419677299,23.2649759885399,10.9278033834508,-1.6128275356368,-2.69115687447911,0.0948700523431597,6.52429563925002,-1.17189211467818,-1.75736763389756,-3.26345549144852,-4.07047068290826,-2.14864327619853,-9.33314008406748,6.18903675783916,2.25106226508861,-3.18035863202455,-7.13825945102536,-8.76601256821912,1.6738573901873,-1.63257970243931,-2.6143210048477,-4.97678987910712,4.08983856727089,15.395455673822,5.92721024221987,17.4383282222123,11.5128657184826,2.02780572456836,-1.74450040149536,11.6464355703674,27.5890808216456,10.0366640093749,1.18859478309575,-2.89576138159733,0.2449738595016,4.15841144495945,0.3317874880364232,-0.2512968755489512,-0.028244598098413145,0.3180037884028705,-0.024440837774757924,0.039100285999536945,-0.002248105497225223,0.327245678419518,0.006406113560892997,2.6082837781000556,-0.3109138019061725,0.02563658467193108,-0.019928571360259956,-1.0824569790925107,-0.7725314814073182,-0.1013213087267448,0.16634738472233687,-0.08734070447606604,-0.03478988831435581,-0.01891922500773332,0.09510799161002313,0.3127719169112605,-0.14406695389219204,0.0776140735550333,0.13581091016210417,0.02584667193699299,-0.7686198287557879,0.6446616478692979,-0.05893185116079132,-0.004229482774996025,0.15024642247577677,0.015423009865137402,-0.1506441014418313,0.07841685582616285,0.15269831623130817,-0.024923721655448774,-0.0505734604972643,-0.15271747166407887,0.065952399553494,0.07127085458921867,0.022963343383060823,-0.05608000375953187,-0.11408908906466125,-0.22804183338579917,-0.3890759166855787,0.4502523425938802,0.006114967652608109,-0.10505462761367816,-0.1034083516108433,0.35591397849462364,5.671980430781515
