,Cov_0,Cov_1,Cov_2,Cov_3,Cov_4,Cov_5,Cov_6,Cov_7,Cov_9,Cov_10,Cov_11,Cov_12,Cov_14,Cov_15,Cov_40,Cov_41,Cov_42,Cov_43,Cov_44,Cov_48,Cov_49,Cov_51,Cov_52,Cov_53,Cov_54,Cov_55,Cov_57,Cov_58,Cov_59,Cov_60,Cov_61,Cov_62,Cov_63,Cov_64,Cov_65,Cov_66,Cov_67,Cov_68,Cov_69,Cov_70,Cov_71,C_0,C_1,C_2,C_3,C_4,C_5,C_6,C_7,C_9,C_10,C_11,C_12,C_14,C_15,C_40,C_41,C_42,C_43,C_44,C_48,C_49,C_51,C_52,C_53,C_54,C_55,C_57,C_58,C_59,C_60,C_61,C_62,C_63,C_64,C_65,C_66,C_67,C_68,C_69,C_70,C_71,Mean,Std
0,99.3723679808841,5.7484840041979,2.14333087857358,0.984267277248388,-1.64176790949977,-2.77565335226993,-3.51535305380953,-3.93927534269691,-4.40206292571219,-5.69033333090472,-6.05608690523463,-6.46871593913887,-6.93042049188093,-7.49447109411495,-6.06798371786346,6.47297122760334,1.43918487596921,-0.0449646589390136,0.456348070946296,1.47540518541871,-3.34691272806928,-5.53050285918451,-6.57743132444555,-7.92535992208625,-3.26776283714873,-1.56777933819351,-0.755975746543665,0.321035507953554,1.00411138482112,-3.45687050470331,-3.92270278435345,-3.31474645682343,-0.0300596356299734,1.19180478210323,2.7843161792373,4.27305112589005,7.3731428200546,5.6109353522382,-2.80924541258013,-7.46548844356601,-7.55241901445698,0.12496222340686548,-0.03193960995292682,0.004186256989539015,-0.01102974291079588,0.0005855089885803143,-0.014263967361580114,-0.0013364722496964786,0.028354702225433827,0.058862035501488,-0.005095150466247784,-0.025846080221722478,-0.010460640890229545,-0.007251354002418173,-0.00719542925570535,0.07004557701046883,-0.08064891019111955,0.0009627790839278781,0.01170321563857819,0.003964011555241407,-0.04247426813320739,0.016372750512196377,0.014518513007669508,0.01989781541944008,0.046049675212376295,0.018720621822723545,0.009059940134764641,-0.05971235919844058,0.030795785534321246,0.005609990438041998,0.015065199551981965,-0.016474518283892767,0.007750511873251111,0.011475412517248184,-0.022214529978373747,0.00844009884181785,0.017654118776462557,0.023559590267475717,-0.12381481875644192,0.03855758056500796,-0.0009701407960344312,0.01930540727794939,3.1413978494623653,9.968067414543508
1,5.7484840041979,10.897091995221,9.77680017775461,8.65080313735718,5.68596995658407,4.4540276006565,3.55618281380519,2.85714717805742,2.23940258257992,1.65105615251699,1.33256146804273,1.3151695108792,1.14806328380885,1.08521998233754,-0.659560066291886,1.71127325317408,1.03749045713555,0.976695507356361,-0.233219969130737,-0.988996115855428,-2.61959926619212,-2.65724651708313,-1.18590534598608,2.00990171515844,2.42551049878038,1.42558567177125,-0.383626057113213,-1.05595817514576,-2.94521295104009,-1.58063842070843,-1.48411102110197,-1.93668285757375,0.796056236869517,0.85012081270533,-1.32393483806057,-3.15579349796074,-3.83538637708885,-4.76142118576458,-3.54821514609391,-5.28515510974283,-5.76161072079195,-0.03230941523015367,1.1476026709321452,-0.6133163444105512,-0.22835511302405637,-0.03720614107047193,0.026594386435206223,0.16969905614996966,0.03494427668476442,-0.018300372944833193,-0.048641995284301943,0.08691548302314465,0.0017771232333115346,-0.07524925751592614,-0.0031196626579634464,0.04918039674398559,-0.06252802022103329,-0.07590673754763454,-0.011923933164056242,0.1651985263080821,-0.22324706618464873,0.0048094594343781275,0.08894989025862368,0.16309409159801516,-0.16539140474682482,0.06399688984842533,-0.19082457618212137,0.021343080161129024,0.05930125909482714,0.004981993095754977,-0.028707177386119057,0.1361957638091949,-0.05827392175970493,-0.02416634571621996,-0.09951794488450073,-0.01089143891352669,0.07605679683462983,0.01471321065094541,0.18500315448813318,-0.19214500183113645,0.29828847598712116,-0.10771700317042478,0.9376344086021504,3.2995593637970857
2,2.14333087857358,9.77680017775461,10.2505448028674,8.75196279533339,5.74488359820811,4.47478004616977,3.57789095365215,2.70970454642321,1.81347466924618,0.919428972247129,-0.130291947076643,-0.794575804492675,-1.62519769932607,-2.37269498642289,-0.746643350949155,1.20763955637805,0.543118181693945,0.693864115593742,-0.712708329496403,-1.73184030643823,-3.27286241093707,-2.76223955498428,-0.996811258707203,2.10634012773069,2.15021564549256,1.11347519522493,-0.340055656122441,-0.693191473705733,-2.82144881150821,-1.70459875726153,-1.68111492893832,-2.27690505994564,0.978119849245036,1.35163665789115,-0.883457061758506,-2.42363783414608,-3.17834772297178,-3.98414108756976,-2.60741590662561,-3.7751041310636,-4.96451177348788,0.0043111703407102174,-0.6140237152978372,2.090905308495234,-1.365788527003441,0.13833938074357421,0.03558789785372888,-0.063094391852996,-0.07072873202373847,-0.09714889682313624,-0.11438770609198409,0.004540839570294853,0.022571173897682748,0.04395203892190207,0.19101221357709888,-0.2447618934455031,0.08797813782195493,-0.06158440087303861,-0.03789312479918392,-0.01308475106680398,0.013742562251480704,0.05796526509808027,0.1743963886010428,-0.07710524180381509,0.10202983037105133,-0.077630330355611,0.04789761381613693,0.02542853659736978,-0.03353462770069019,0.08851823131167758,-0.05194470597046499,-0.06051764127273926,0.07515352163296776,0.014970593358407183,-0.41309636713399817,-0.05940297636255182,0.35107540851258706,-0.1435578976514004,-0.08005904823465788,0.16251899986297683,-0.24770052830666217,0.12055813620343647,0.5698924731182796,3.200085124315818
3,0.984267277248388,8.65080313735718,8.75196279533339,11.0699974514503,11.9817723447288,12.9329929935783,14.1918759106592,15.3800389905109,17.6354804379056,20.0539338729909,22.8313030850516,25.9620014301722,28.9508433299869,32.1039323138262,-0.477011441570931,0.348552794569522,0.734326199260846,0.16899386945978,-0.410795194865392,-0.677434406066379,-2.36137400082252,-2.05283059703512,-0.747102834462808,2.30694567441096,1.9254248339248,0.922740546231437,-0.146239805046417,-0.449566803282987,-2.12773730410354,-0.830167614888941,-1.17534523401968,-2.34180753523463,0.362776203885103,0.613223459459527,-1.3059273861675,-2.55899736978391,-3.65469144661931,-3.53142324499017,-1.4649023232254,-3.92014083788281,-5.24627276144073,-0.010907605627794355,-0.2283403389836994,-1.3656541148516024,2.6477527236595404,-0.4737433178964522,-0.17321038806765696,-0.3570735043453734,-0.17566726114299458,-0.03746519581216474,0.20612976882428682,0.11572307739614719,0.05881304052931547,-0.004406659462690174,-0.15273438581988438,0.07741045289486059,-0.14908572116440655,0.16969126488248887,0.07895190331380599,-0.09469877777702115,0.04445208227558872,-0.18939792443451461,0.2895564029820263,-0.18635644393102208,-0.14192685698184473,-0.05741084807629515,0.16052249769980279,-0.04295157729313123,-0.12199939790094393,0.12220142418558816,0.08230895947750966,0.008421919835584381,-0.023118567172162093,0.005600024621039843,0.2781709962957074,-0.2568858913400158,-0.25853392522812535,0.2998803374411903,0.03961462980206564,0.024246382410210734,0.17131697936104323,-0.11963303236607213,-0.1168320926385442,3.325657446498407
4,-1.64176790949977,5.68596995658407,5.74488359820811,11.9817723447288,18.8457585770539,22.0190414533708,25.3889176295389,28.6747502431061,34.1778121203061,40.1077333227637,46.8943292621281,53.9981219500919,60.9779995384745,68.232062646186,0.193770440856377,-0.659222017274929,1.60986758246232,0.260085356119336,0.431923086969272,0.873803106364857,-1.19401434837642,-0.845935797195439,-0.272627018697095,2.0712969358013,1.37906352627253,0.815182889822965,0.252436586959868,0.522370108475909,-0.257474455600342,1.60166147115886,0.800883581459815,-1.21272688472985,0.46283050057437,0.0035631653564537,-1.90763094765595,-2.30412874787976,-2.97070535894844,-2.00582059066588,0.50831825578968,-3.03070491639201,-4.58326625107587,0.0006733019759699772,-0.037214951278273685,0.136794978002502,-0.4739562049010394,1.862892722863427,-1.3839320329403395,-0.35740016466457314,-0.12594622407078546,0.12899698292152134,0.19148721220629691,0.1968945622856658,0.11099685400417497,0.0741984110602947,-0.2329089584017672,-0.063896094509771,-0.062095084870050374,-0.038640012723813,-0.02481806445982109,-0.006366570199411993,0.04097335083701096,0.16422612682669188,-0.16548748629754148,0.003923763423680218,0.10251118711227636,0.10663834134712014,-0.2746871137070389,0.03369436889353878,0.013035515265049855,-0.032580565082226266,-0.007030056183167457,-0.05611683071932465,0.07423439638235918,-0.024535255891462313,0.012461426202706901,0.11963748199798568,-0.0353030149957522,0.03815464677643882,-0.019773461317333138,-0.09735788200265325,0.07932940205255498,-0.0555428373184312,-1.13151364764268,4.340018269207384
5,-2.77565335226993,4.4540276006565,4.47478004616977,12.9329929935783,22.0190414533708,28.6083113269072,35.1369061710354,41.544097105164,51.1330128351106,60.9527943867608,70.6597883039251,80.4306311616978,90.1053982588288,99.8901111519266,0.212170821664932,-1.24498911909133,1.64358996056503,-0.561574243653614,0.932207499979496,2.61687711178633,-0.218380627138056,-0.402894079904106,-0.567998191818323,2.24888984890966,2.23026604115267,1.76722945386923,1.5748321636321,1.63780279356925,0.873181104947253,1.97465912058862,0.67722849283131,-1.31017079535959,0.360162922971372,0.252154886154782,-1.66704716258097,-2.26417237695637,-2.83992275231183,-0.240487462084263,3.77463917999754,-0.0829581508606935,-2.84214893185272,-0.014024154812486958,0.0252955894289169,0.02884474222959372,-0.1750877843369891,-1.3839171010217297,3.555998732475144,-1.5221641475715975,-0.31719268578150805,0.19704973391445868,-0.011212436198268278,-0.07613817176017829,-0.08519729615094421,-0.014015513453086822,0.04173409172662771,0.007626127081037833,0.12552747827219268,-0.07879673441225281,-0.02292641362473199,-0.0552553018769267,-0.049397000604542426,-0.009715725649119674,-0.08260490468990866,0.20144788732166005,-0.4580775281074404,0.19842263661429158,0.09379077971440587,0.17381313720713126,0.012435386228173756,-0.022600338903939088,0.029415883971499086,-0.1708575369890106,0.07623799480241518,-0.07435924537282242,-0.07442105694186509,0.11265596875211872,-0.025308212663504824,-0.07573789275875546,0.05736973251667844,0.0035725296294645075,0.004986482528273669,0.04359105267645571,-0.8534532671629447,5.3477388985352645
6,-3.51535305380953,3.55618281380519,3.57789095365215,14.1918759106592,25.3889176295389,35.1369061710354,45.0661115717098,54.7552327575248,68.6027095212277,82.1552540596387,94.5984644335633,106.928486764235,119.186660746831,131.461325065592,0.0907526139901279,-1.36246584977438,1.97807183608714,-1.29535728631213,1.42464805651555,4.2820422428252,0.591223269686663,-0.137073750056564,-1.03987384432118,2.07703367825312,3.48492402613112,3.07324927282898,3.16411731846499,2.97606486380059,2.15772458101702,2.13677884743213,0.455958368661025,-1.44819866799782,0.27620388978868,0.521761068981571,-1.44983050723017,-2.29320289461655,-2.98977247821238,1.47655399139118,7.2852297209729,3.28328058446379,-0.516361049602288,-0.0013940451475161362,0.1694910988510455,-0.06568409829143977,-0.36402392027720437,-0.35765921518513744,-1.5252335290351475,4.421507314617274,-1.5818662791666078,-0.32251168406872105,-0.1527820665891338,-0.059594973027379296,-0.0470483734613353,-0.012467821945002436,0.024033068804085168,0.06292874755749991,0.17120830920878408,0.016897798772042956,0.017070536109394876,0.0977861658905169,0.001040810646739383,-0.023432430512906922,-0.1765150785690486,0.08631992296173797,-0.030781666814665255,-0.27866350045296,0.4732694277122764,0.03595597411590481,-0.014454136140771966,-0.16870712892661482,0.020664474039965287,-0.0344985210045896,0.08388156830150452,-0.13145217485040714,0.020208046037971224,0.17749275314721208,-0.06424400135909163,-0.021530238179131477,-0.008732729485033376,0.004652928499951546,-0.015000627705808577,0.036528192114255495,-0.6000472645633936,6.712384939178456
7,-3.93927534269691,2.85714717805742,2.70970454642321,15.3800389905109,28.6747502431061,41.544097105164,54.7552327575248,67.8783979932867,86.0555644191007,103.407466221633,118.65927585066,133.57389490108,148.445743776404,163.242648391518,0.343872624625876,-1.03770032184201,2.79803187750433,-1.62013375097284,2.16467634049024,6.02910873743255,1.37730940459222,-0.0033565824336781,-1.54027859953973,1.99919036900739,4.96587586850613,4.68727439058106,4.777965930743,4.29964579643742,3.40810693093853,2.31539885491516,0.233580144414826,-1.5925413261291,0.113195396338362,0.717709501537998,-1.28197879505244,-2.34756618550462,-3.09040605557001,3.23934930575224,10.8317766569661,6.71886186799598,1.93544141491562,0.029775858842747246,0.03514040097263845,-0.07280654407843706,-0.18236159070529903,-0.12449485084603759,-0.33194801123926354,-1.58875697324507,4.88208788546005,-1.7211827547285101,-0.5394655925427945,-0.1622768476007906,-0.0901763790841776,-0.00792000987551228,0.07432441870404463,0.1005438740292372,-0.04416358720977352,0.05035948024913337,-0.02704583318328311,0.08334804668720804,-0.008354492136991822,0.028432411833653328,-0.05334280329534063,-0.003735092697068467,0.1508220356254582,-0.09526985688856408,0.052525965122363856,-0.0054886179803863835,-0.0596224729750869,-0.08301089963769204,0.01576147915090955,0.010927702684797974,0.03126719610043425,-0.022163788152077517,0.06031316282222478,0.1290046266067463,-0.037788747483553146,-0.026811378237378437,-0.03855739753786129,-0.047390886287241106,-0.06600280857969816,0.07151491669828001,-0.3063186813186813,8.238227843006452
9,-4.40206292571219,2.23940258257992,1.81347466924618,17.6354804379056,34.1778121203061,51.1330128351106,68.6027095212277,86.0555644191007,110.014105770259,132.49734718555,151.921142385092,170.765155952317,189.598158506833,208.259663987986,0.629917121580401,-0.858727978218167,3.79618916118751,-2.09639482136932,3.08014876782084,8.27693269065538,2.40102798859026,0.236540742174194,-2.10651092469712,2.00161199821925,6.76422912585404,6.5734812831861,6.65111007203553,5.81662691663271,4.89909780212085,3.02048027145048,0.414627821252049,-1.46732561041973,0.127462637562144,1.03437029572869,-1.12325808863951,-2.55825682128321,-3.48888332499811,5.23744194340567,15.2149321485585,10.6258754778121,4.62788688227955,0.06008908106000821,-0.017586670493706873,-0.09949347592226053,-0.04114198150544502,0.12394348096899717,0.1951749948722987,-0.3272989639077743,-1.7406030707272686,3.4451586816341893,-0.9703157124996712,-0.26938800398606205,-0.22766029752023162,-0.03730777393053253,0.03307520806457091,0.3449150187968046,-0.364705916037345,0.1277585265172736,-0.041710524137363335,0.12221525719290491,-0.02220700906752047,0.14556614726864375,0.0010753832051566773,-0.16609907708228652,0.4836213505989323,-0.2519325699414678,-0.15022870904503338,-0.03655427016473102,-0.09999707760200935,-0.06715056960881129,0.020698218508945876,0.07969726255519227,-0.01768882100457537,0.01672438402658568,0.1923440365783624,0.07909604573567584,0.009104136622790963,-0.009779404425794643,-0.06958593447236651,-0.22228328191630276,-0.03494470903315134,0.09391996633232558,0.11644215999054708,10.488284214792175
10,-5.69033333090472,1.65105615251699,0.919428972247129,20.0539338729909,40.1077333227637,60.9527943867608,82.1552540596387,103.407466221633,132.49734718555,160.558264830285,184.553747252294,207.714414294019,230.914326590973,253.81359200214,2.50278175096921,-1.09468717266751,4.67716914464269,-2.64296011223488,4.26531897956078,11.1432958401548,4.6888608349441,1.41253897606286,-2.1621338841669,2.60339455688763,7.81486608820959,7.77968207919212,7.92496958639548,6.76810042355226,5.73388483178474,3.13102435887052,0.136130530781345,-1.63837794972343,0.110619833015355,1.52531822849276,-1.03021365983479,-3.05654452387133,-4.23137296340454,7.17009879938707,19.3896310895784,14.6378263078461,7.81656429590985,-0.004161740417994478,-0.05057300563828592,-0.11318344849884715,0.2071752713235009,0.2040279389668131,-0.0072803049667845105,-0.14651062318746064,-0.5160668924297089,-0.9610120397686993,2.7475545687203917,-1.6197727223060283,-0.3345542094448305,0.15869784761865882,0.3130138785256617,-0.165566089840269,-0.035727839621089386,-0.02945953948640453,0.03886522134934281,0.1881163959099048,-0.03343454734628771,-0.08100212499460743,0.002866527866375125,0.10238755407576862,-0.003811908675496624,0.10071675287231492,-0.04071507285662462,0.03231986266034263,0.057743279876015276,-0.005858340238572166,-0.028884102247498322,0.03063913725131698,-0.12273453768674294,0.118720301146772,0.01707699583961986,-0.039122508997134986,0.00870555301263611,0.03505662491324555,-0.0021917078799280044,0.07864198714867526,-0.11117323233303994,0.031449535739771606,0.7166223561384851,12.670764177044914
