,Cov_0,Cov_1,Cov_2,Cov_4,Cov_5,Cov_6,Cov_7,Cov_34,Cov_38,Cov_39,Cov_41,Cov_42,Cov_43,Cov_44,Cov_45,Cov_46,Cov_47,Cov_48,Cov_49,Cov_51,Cov_52,Cov_53,Cov_54,Cov_55,Cov_56,Cov_57,Cov_58,Cov_59,Cov_60,Cov_61,Cov_62,Cov_63,Cov_64,Cov_65,Cov_66,Cov_67,Cov_68,Cov_69,Cov_70,Cov_71,C_0,C_1,C_2,C_4,C_5,C_6,C_7,C_34,C_38,C_39,C_41,C_42,C_43,C_44,C_45,C_46,C_47,C_48,C_49,C_51,C_52,C_53,C_54,C_55,C_56,C_57,C_58,C_59,C_60,C_61,C_62,C_63,C_64,C_65,C_66,C_67,C_68,C_69,C_70,C_71,Mean,Std
0,5.07278226371459,4.33243646678411,3.43585708374126,2.74988478797642,-0.0840380101700206,-0.601043096037344,-1.42156642114848,-2.18913435098974,-3.1182752688701,-1.92866961257844,-0.727964311044581,0.532791857626366,1.32404859542774,-8.84945924898878,-6.02531403047722,-2.69052458878639,-0.233111947232466,2.09889782726307,1.54224727942869,1.06575295555558,1.30023996405091,1.51553995990203,1.69988414099427,1.9478926841839,2.20938054419212,2.0060916982903,2.38585770880245,2.80077062804457,1.04977408606081,-0.308285246048498,-1.2986854179341,-0.979372953519899,-0.501168424937341,-0.203326766983904,0.158497855101365,-0.0194655680992954,0.42676332150959,0.793853723043683,1.3381103335391,1.58493463745489,1.4829809799778038,-1.130255176705317,-0.05195098934418159,0.24362368662498837,-0.14682987882645218,0.022610821361090754,0.42972654385511744,0.03155563797754181,-0.19447427914009566,-0.07229990897542286,-0.0686081588135681,0.011835580346650202,0.18062795892594646,0.13574320526623726,0.022373918549138963,-0.25945966250208213,-0.0919158730049329,-0.03300580490438266,0.01704858002945678,0.06816368944239072,-0.01667586599044662,-0.0900076572737438,-0.037961569737249526,-0.08143880828654719,-0.05238348463505404,0.19922091834744957,0.07878675097949225,-0.22045720872508667,-0.04919970255140483,-0.033052624639009376,0.21901054502874645,0.11873290917889552,-0.05021555400525831,-0.09832834785216064,-0.12201880641632507,0.13775556462057978,0.0786348309059249,0.07489445252678581,-0.0968197946970202,-0.11424795221227763,-2.545606060606061,2.250062724395608
1,4.33243646678411,5.73203866017073,6.43661730489523,6.72713415296175,5.12718290114412,4.39544415182501,3.3523149914826,1.80026422441031,0.751596435499169,0.891979418175629,1.08626421027262,1.66216467304114,3.0623030537081,-16.8613460691349,-12.320830821992,-7.22035382140548,-2.06861741252706,2.94412665578138,2.49293872977698,1.90914956497996,2.0496583575478,2.18612226552394,2.47104142324805,2.78042190645097,3.16102196650935,3.39748605691206,3.43861405679476,3.48675186413316,1.43730397345373,-0.200019188507906,-0.793124813422339,-0.240828372020266,0.451555656855301,1.18743099344805,2.12788716012998,2.45238603934174,2.76367329166944,3.13140695517025,2.98173978334339,2.94481386258824,-1.1282252441227043,2.698031353014111,-0.9675508189516077,-0.0682157453197067,0.1337137655508514,-0.05754523526629769,-0.41059623471500784,0.3171565861201538,0.09138260012071966,0.021123586395313445,-0.04623435915580548,-0.07639206397356395,-0.25118236667291366,-0.17503591669688498,0.22292858166099142,0.028220895921193655,0.00020682457773995628,0.02053884927810049,0.09224253863831651,0.039067449277091146,-0.004639192178890963,-0.0803714164162816,-0.08620927013219142,-0.13319802044242732,0.10000491110480848,0.11585899601612892,-0.027561831356800234,-0.057790966578277966,-0.1186601413246545,-0.2931889338456376,0.21305434324709271,0.12796495295520752,0.019928248810292003,-0.0029317511002810736,-0.06921704791848185,-0.055258885686142026,-0.09575863649114548,0.1033408363336384,-0.15408754022258964,-0.08904217337833188,-2.8470454545454547,2.3920783139710813
2,3.43585708374126,6.43661730489523,9.05965893604151,10.4952749723291,10.2908261285862,9.28275030306105,7.92876762194603,5.97238543068454,4.77435505735791,3.76405115488635,2.89366553071041,2.63564255548831,4.47439609136256,-24.3586172384072,-17.7004834097222,-10.7718133862945,-3.09483887379308,4.36053702730052,3.88197353629625,3.03540934630921,2.83041894048067,2.64022556794498,2.76942589357443,2.87823394588473,3.28972608352295,3.90196449526726,3.7501896816872,3.63113982758096,1.6465529686324,-0.0053144993068881,0.0326504740551251,0.738788833923375,1.5682618342761,2.67718825608679,4.13909016030367,4.88844442763008,4.99088628841997,5.23883442043878,4.42758761726247,4.05572079419906,-0.053969607505164066,-0.9646713001926188,2.57312180343297,-1.1728369874938847,-0.08829441588306915,-0.006832176988534773,0.0709940998113204,-0.11031659600348284,0.09779405498694001,0.1366699758953353,-0.1207821276961943,-0.01432935612605095,-0.30258506178969014,-0.02263331054075006,-0.08138836389680175,0.2161347540688641,-0.08696889232879865,-0.060920437499855956,-0.004492204980769953,0.06243952599518935,0.042189616013213624,-0.0028987315146621452,-0.004083095022830125,0.03675573463296383,0.11594333126714423,-0.1961151349103503,-0.06501491626106061,0.17565916332295786,-0.17645852295209968,0.008824047340493328,0.2739143337866461,-0.38283339422774915,-0.007477123700245876,0.13361350016224963,0.03533189165137803,-0.09472987237179296,-0.1522685308586982,0.22422659120532037,-0.16833635279616402,-0.06692688252736077,-3.1907467532467537,3.008265104016185
4,2.74988478797642,6.72713415296175,10.4952749723291,13.2133473896007,14.7425497770491,13.7064712388687,12.160280109941,9.98534051761498,8.79813880379588,6.51766851944995,4.47204264616132,3.16548982024278,4.97819507879534,-31.0757812687154,-22.3736168874327,-13.7058464029579,-3.91063704107683,5.57606636444321,5.04263774501135,3.99659078829354,3.29909189213403,2.62767328375647,2.40552394054293,2.14303931083579,2.55748669613706,3.44354686634199,3.86763670680763,4.24668066793446,2.02419163534145,0.0487649881438371,0.541180754294242,1.23098657385921,2.27460536217917,3.83892272315508,5.90585355893399,7.17327462563772,7.10320043540365,7.21692824723239,5.56862264214449,4.66325493419833,0.2421116394366991,-0.06664709229166185,-1.1719174668178367,1.4969730506584005,-0.15538290888830988,-0.04669997371527275,0.06314620381342219,-0.0664931987433183,0.07009204375861357,0.0496744238130212,-0.013354307013116079,-0.0046042147718640325,-0.10866515792769739,0.11186711147822412,-0.16680520381628836,0.0043645166587337435,0.036815981312513645,-0.0971163716904959,-0.05129241355980967,-0.039516762378774356,0.006922776902114728,0.07793539394123135,-0.02125119703311644,-0.0853880751943062,0.045884772263207044,0.08607000873883833,-0.13544068043229238,-0.08248340647516007,0.0714204718952918,0.21610650970098677,-0.3958504109638801,0.1949547184811741,0.1513772320752747,0.0993925143520257,-0.05369617600737944,-0.29603242652143114,0.01815973027776862,0.04967793581076318,0.036866585257373755,-0.13136304979151808,-3.7330194805194803,3.6336410650476565
5,-0.0840380101700206,5.12718290114412,10.2908261285862,14.7425497770491,40.4165171468169,45.8069654019599,50.0215834503553,53.3668400400577,60.8091919480418,43.7362178714434,27.1947160261569,12.0599421883965,8.99804207133182,-46.1761103021086,-34.1745605067799,-22.5404851312522,-6.55580030787073,8.79611580439484,9.09762193538921,8.30391471559528,6.61879712125652,4.75501814572915,3.40173803198768,1.97240047051108,1.93055114695343,2.10912484130088,4.14650269488137,6.09936864979874,5.18897404248157,3.61895793042382,3.88554669187428,5.14759948588077,6.80808618929841,9.36005944688436,12.3980823453286,14.4004424368006,12.0677085572693,10.051705775673,6.89508928015561,4.77876880213863,-0.142834677073829,0.12483273217514543,-0.09490204973509202,-0.15619958345124768,1.5460208991593154,-1.8869759602585114,0.05731353346203602,0.17111700641339583,0.22767987902264403,0.039850665128177656,-0.05574661434964905,0.06530566549746211,0.06780429234249226,-0.041001791942292004,0.016087654933066624,0.0014867007739392268,0.03765989736674571,0.041256390198614816,-0.05026905186000772,-0.14602324597365188,-0.022588440636255487,0.02529582712020203,0.10579030779232165,0.2525224783906594,-0.09557813240992548,-0.324625732684097,0.13128434882341633,0.07998379711391229,0.09104402611424628,-0.05880579050911566,-0.03766743418183903,-0.03036816542191432,0.03657180919312595,-0.012971331156700164,-0.03518034049730286,0.048162127102983975,0.0680594664210201,-0.07143390268720319,0.09263276593435554,0.09302644878738098,-2.8145779220779223,6.35661208088215
6,-0.601043096037344,4.39544415182501,9.28275030306105,13.7064712388687,45.8069654019599,63.3114395654476,78.9738340915899,93.6012386655512,111.291933705405,80.6119936238946,50.6916929443786,22.3017007318051,14.7514852214124,-57.1395483342842,-42.2837529514552,-28.017873025436,-7.69251967493633,11.7362671594969,11.746098469088,10.1977919755978,8.81162294688191,6.88616028217333,5.47069161406893,3.99033962725698,2.99270148516411,2.19223850764034,5.06390619191026,8.31821642663722,8.65290560770649,7.43277664842055,7.82229086199023,9.95135484954052,12.5188539969941,15.7798639562428,19.4855873432408,22.5051425490055,18.8608878040347,15.2214446014253,10.8142644731049,7.16188393419926,0.03885359354101273,-0.05971172702691622,-0.0087713112658669,-0.04775304976115223,-1.8832599760891293,3.8112894499014045,-1.6093835800361753,-0.16914339540037512,-0.06185662100691432,-0.004189485378956159,0.04234257687796507,-0.020545897797461323,0.07398884572891697,0.01030165040500645,0.03498990103509111,0.0044834233439549455,-0.03190393294038461,-0.005369618878284324,-0.012635522124450065,0.01526084077638181,0.007892013836203885,0.00031812606350719143,-0.011263841501715766,-0.04930623342148774,-0.16930350170459368,0.3760374952516024,-0.05825112751660251,-0.06192867520935033,-0.04442407868816608,-0.028280224245040397,0.020167949867654283,0.05259113205605778,0.013921376305979815,-0.0071898919112365475,-0.020069392281882054,0.004698218508283444,0.0015708981096957278,-0.013656027872081101,0.01154809173017544,0.009754174339356566,-2.202683982683982,7.956220180804931
7,-1.42156642114848,3.3523149914826,7.92876762194603,12.160280109941,50.0215834503553,78.9738340915899,106.624234461377,132.916887779927,161.306325938051,117.926833366328,74.8070730864182,33.3967272080756,20.8870698630074,-45.1939009603088,-33.7984349597935,-23.2700146553495,-4.81989770679213,13.1464288269606,13.7974028456994,13.1560390311033,13.2863743864028,12.5500243560041,12.3390303062409,12.0574199269219,11.323572435473,10.8445429446377,11.7181926629285,13.4161714135533,12.3444675893074,11.2736814403147,11.3030464637172,13.8976490472896,17.2031664692939,21.0555410654222,24.997134513656,28.659170876217,23.608482601793,18.6744398541676,13.5762985471088,8.67712830572141,0.4307340967465142,-0.4158165292755517,0.06513406210596087,0.05794507113673864,0.055268788997188845,-1.603833271466354,2.8498797859596765,-0.8104194560703065,-0.3898871252797943,-0.07129475670003324,0.24173335386000397,-0.2101674023104388,-0.03575738871918343,0.013931151939647484,-0.0035077158241561394,0.002524018198236103,-0.007229312914732564,-0.002008306388474365,0.04046514971489058,0.16209098893516052,0.01997074220984047,-0.03257622265638416,-0.1272160551045074,-0.38011410831033976,0.28158055413894406,0.1449681128279553,-0.03776684751798871,-0.09404452833503744,-0.06614918920308831,-0.023017891370806415,0.13186721190050982,0.053535510095339536,-0.04510460704237403,-0.04004756240156534,0.0009654975094453772,0.010052951352777608,-0.03908309209330984,-0.009338362576228925,-0.06847337818072757,-0.046375216687784805,-1.2657900432900433,10.325416914651758
34,-2.18913435098974,1.80026422441031,5.97238543068454,9.98534051761498,53.3668400400577,93.6012386655512,132.916887779927,171.429617082319,210.524146188873,154.707586623588,98.6709323871348,44.1536410413623,26.541991759036,-34.5834397711404,-26.095831575661,-18.775919710515,-1.82400247594429,15.0059773257665,16.3110576688097,16.5408673324831,17.7518038981849,17.7858902568236,18.3483162300871,18.831738697796,18.3688797217227,18.3477605784006,17.5778474004371,18.1358254743527,15.974315212658,15.3151170132388,15.1137477771188,18.0275182454405,21.962896073324,26.3014466029433,30.3438453205109,34.5686565238017,28.0967322672814,21.8548766977161,16.1450273472089,10.0195694511371,0.03397861521624945,0.3212359830295373,-0.1130467804561239,-0.07319645049444054,0.18282487581975604,-0.16996811746529697,-0.8288562353348014,2.4977366640128706,-1.3440456488161274,-0.280113629866187,0.2274225045604166,0.08954758665449522,-0.021626191616058527,0.11867767623688238,-0.10734681488391047,-0.03692979522060422,-0.09922511370509009,-0.18050202882338567,-0.10825063277839968,0.11836824811755206,0.006828310758710706,-0.009584231535555893,-0.019831347599568214,-0.022186998560539028,0.004930807485017887,0.019620088804843387,-0.04497747437394922,-0.0389375599560322,-0.10467922028837995,0.25288575261950086,0.05087074809670636,-0.03779167495811472,-0.1392378646798683,0.03790683957919814,0.03952122309402567,0.1042720155256286,-0.1945950690894113,0.09718349678174446,-0.05663802841212885,-0.22657629640284424,-0.16461038961038962,13.09273145994827
38,-3.1182752688701,0.751596435499169,4.77435505735791,8.79813880379588,60.8091919480418,111.291933705405,161.306325938051,210.524146188873,260.953696455051,192.905594306165,124.138156488739,56.3385905727228,32.8506692887208,-22.5912565435652,-18.0613378342345,-14.6918770991289,0.606914468142902,16.2227273378436,18.5459595561789,19.9585806286233,22.1785632233429,23.0039644365745,24.3853778411832,25.6955060419158,25.4719733197637,25.984053456139,23.4068501510646,23.0384403735541,19.7473064268022,19.6209458849107,18.9177600916836,21.8206043752081,26.0725104759025,30.9909762451309,35.2600663454481,40.0438546619242,31.3821917740952,23.2285964335581,16.8888387920522,9.88068231126089,-0.19736080002625073,0.0900308449082559,0.09382592819196672,0.06758953982831514,0.23028170225784295,-0.06025664574605896,-0.38669128131868064,-1.3466994357065891,2.4906978679806877,-1.5688460313604624,-0.17514262551506965,0.3950422384920628,-0.10351235011710347,-0.06758721469866265,0.07607802307106275,-0.016108019818601507,0.02097449559895552,0.08958171199502832,0.2087883372878269,-0.020824279635185496,-0.0775094303200908,-0.048278055626723694,0.004365289080794814,0.17281638146548692,-0.04516099886243249,0.008845935180765504,-0.027724172751734825,0.06470116698414213,-0.03488007173587704,-0.10063884463698379,0.019003732308498007,-0.10331082080580929,-0.013070102350863347,0.07550325635593591,-0.011865254246642651,-0.11177293029354635,0.1205642348476553,0.033380675161730114,-0.04377626110418991,0.05728342154648526,0.6996645021645022,16.15375177644657
39,-1.92866961257844,0.891979418175629,3.76405115488635,6.51766851944995,43.7362178714434,80.6119936238946,117.926833366328,154.707586623588,192.905594306165,144.43375856108,94.4138056541719,44.5958098212936,25.8613597156228,-10.4670408091519,-9.08079668849389,-8.45690732525129,1.12833632280794,11.7463692094278,14.1097821605183,16.4667550381515,19.4550485414574,21.516864448892,24.0382047937654,26.5561388968594,27.7107745822567,29.1537287677775,23.4144122863987,20.2234281137008,14.8456452077371,14.878706481055,13.9875856531433,15.3038259976512,18.0379403823732,21.5367148827752,24.1441709537989,27.2728579200043,20.2501234450235,14.0504023192715,10.0229493194012,5.43110685761907,-0.08440512226607973,0.019849051349391144,0.13962254525602982,0.050512376643030814,0.03884950550629237,-0.004005105273889115,-0.07051279075465057,-0.2840664283353062,-1.5666973706273009,3.6211352155943435,-1.513420242520549,-0.29830305846919064,-0.0170985392180808,-0.03277331976291802,0.005030506790797876,0.038058990455728366,0.07406320222163176,0.04869624752808669,-0.023716397235538027,-0.15228576978295805,-0.03266514358556616,0.0040021129945305555,0.016439437435853764,0.032229632565051056,0.04455471956868209,-0.21011535336089987,-0.008897404643829763,0.02343600793162852,0.11070088620738928,-0.1537467880779888,-0.030636516832181063,0.11232790939049621,0.035935912128393,-0.08855453919502869,-0.06660540857097741,-0.07694525263920168,0.004867158346445057,0.016358259912741705,0.006091373807063846,0.0770970640227536,0.15917748917748975,12.017643635966238
