,Cov_0,Cov_1,Cov_2,Cov_3,Cov_4,Cov_5,Cov_6,Cov_31,Cov_32,Cov_33,Cov_34,Cov_35,Cov_36,Cov_37,Cov_38,Cov_39,Cov_40,Cov_41,Cov_42,Cov_43,Cov_44,Cov_45,Cov_46,Cov_47,Cov_48,Cov_49,Cov_50,Cov_51,Cov_52,Cov_53,Cov_54,Cov_55,Cov_56,Cov_57,Cov_58,Cov_59,Cov_60,Cov_61,Cov_62,Cov_63,Cov_64,Cov_65,Cov_66,Cov_67,Cov_68,Cov_69,Cov_70,Cov_71,C_0,C_1,C_2,C_3,C_4,C_5,C_6,C_31,C_32,C_33,C_34,C_35,C_36,C_37,C_38,C_39,C_40,C_41,C_42,C_43,C_44,C_45,C_46,C_47,C_48,C_49,C_50,C_51,C_52,C_53,C_54,C_55,C_56,C_57,C_58,C_59,C_60,C_61,C_62,C_63,C_64,C_65,C_66,C_67,C_68,C_69,C_70,C_71,Mean,Std
0,225.429897837531,219.618232378258,215.252204859846,210.739910611653,200.378602494687,186.033918542656,167.669695753165,3.86915208322186,16.9264410361287,-9.01449261774233,29.2260282353749,26.0904441685823,19.1745205675795,0.0905097766672185,-15.650322728483,-24.4838582116528,-35.33514622787,-39.3170466441741,-43.5046334883045,-45.0223063827876,-35.4485339801512,-7.02714348889209,2.58785356559992,-12.9223173141692,-29.8588263179494,-38.5677629767758,-39.0677278748126,-19.6532897056587,-7.44225027835212,17.0631192844339,12.1646127383357,5.47858455980344,16.8026121769222,39.2370701947914,50.9807989566077,32.9110195946403,93.7473145320725,-12.8069246925936,3.76268967619087,-3.94726283213502,-10.30503375538,-14.7397896137733,-22.4284509506976,-21.8372931870804,14.2750145568919,11.1464879556647,-0.0247625329910189,-5.75624767029162,1.8410561827025587,-2.0732162083962784,0.19237792852865981,-0.20284457214476273,0.0215055611704414,0.26798567516850935,0.17051897243649064,0.017235365852663137,-0.10165310040205215,-0.102931962196851,-0.0571015791796331,-0.19906301357409625,0.3533977820448789,0.004750530734263549,0.023045339262221264,-0.15404903183019622,-0.29109453784577755,-0.00754677730512521,0.09466149771267907,0.24688797412507338,0.16869254497590705,-0.4491306566642658,-0.1550943558656289,-0.0005416054646810676,0.10713342587056261,0.08931499388258415,0.1343816370557383,-0.06923740102347714,0.07654304847697851,-0.18238180041480506,-0.18765001544804805,0.3266676684934194,-0.18775025921222835,0.016289926049699092,-0.10922618797666149,-0.0486901112476253,0.026042591992483075,0.14066298080632236,0.023925103589363707,-0.022211519090884205,-0.07122203088724532,-0.08718616736412393,0.09100470875609724,-0.0011915674990765446,-0.17562509942656782,-0.019098253568090497,0.23407611970287734,0.010315472955933094,4.586599869664385,15.013990070515282
1,219.618232378258,247.586116741479,277.215116816919,297.130137518493,312.358609374928,327.315462524468,333.700336928906,5.92586047918951,18.5762788151433,0.271329347577622,27.8528479041796,25.8770198630398,17.4919503132302,-2.19041222635687,-18.6478281549555,-30.6495120494717,-44.5670623661999,-46.8573313777258,-50.9887813267132,-52.7860043166502,-39.5074248518281,-7.33667708000574,-8.44118446264446,-21.8416482835808,-36.1325743794042,-35.6962123686946,-32.7394701942243,-19.7567691080897,-12.1182320780438,-0.0468752704773087,-7.50014054013821,-15.1110295389806,-2.18771168044541,21.7618060898445,33.896314623483,16.8586853325419,41.4657197460647,-15.9873174229628,-0.102202579942948,-11.1040073440926,-16.1951375115501,-19.6397345976629,-28.6034555822348,-24.46887773837,4.30356369932598,-2.75996470920823,-14.8505983157831,-13.7370444615609,-2.0732162083953294,3.9991709619105604,-1.704378370289565,-0.0995916716338277,0.036509872024626217,-0.13507545971229623,0.040287512913950115,-0.05038042466326028,-0.04079597767148474,0.007512465587226993,0.02335179012372378,-0.07964306613616033,0.036514803639671814,0.05140448296718839,-0.036650839803973496,-0.012179561489153399,0.1310491821208833,0.10416487948029651,-0.09665389028886133,-0.03888999136754906,-0.0409625442003978,-0.048363763241403714,-0.03206835618201131,-0.034001483904585135,0.06558796958510937,0.005110698737097184,0.03367539327472869,-0.07273449288079252,0.036709402466744444,-0.11352117436217325,0.14064935503561032,0.01124175810130491,-0.034635920317528414,-0.06639491740459837,0.07966631569373467,-0.00894490486503956,0.0014016475827494596,-0.041651846493974576,-0.046125950993161705,0.017008300024900693,0.07391325550437566,0.018562876570741686,-0.02172665493987748,0.008093654723171905,-0.041246254332032245,-0.021734189439018513,0.055974456845463705,0.014266808041387852,4.914755853465531,15.734551685430345
2,215.252204859846,277.215116816919,341.705404453622,386.633244162215,425.171260210593,467.388635946846,499.52620880733,7.80426384308435,19.6973334113893,9.11922359445414,25.5806831148955,24.4498818867147,19.8176706969302,-1.78061061400055,-20.2185979417495,-36.5494621058048,-54.7172502702383,-55.2639070513291,-59.5310073665964,-61.7959885393682,-44.7431485715545,-8.62961317269937,-20.5044588811782,-31.4859399005585,-42.8378858126727,-32.8733961056099,-25.7756644512909,-19.0396610276992,-17.2391192515144,-17.0320004034834,-27.0685235252095,-36.6887652582258,-22.8647151413,3.94427396577822,17.648020128035,2.76646302816574,-12.0556771491617,-20.1452819026508,-4.66929757799604,-18.7029663044246,-22.2362469161988,-24.3709927320886,-34.9887745390102,-27.4413711916525,-5.5379764029873,-16.9313873918647,-30.3911654976976,-22.4599327228307,0.19237792852930968,-1.7043783702899518,2.0259484682715785,-0.29640159952412987,0.12165988876931384,-0.33410011005234014,-0.06746692797881207,-0.10365083324548517,0.006917202603219539,0.08058009535693608,0.1703584783993404,0.13603901557375622,-0.4615080695656034,-0.04883628666357977,0.024375415533602594,0.2326126194936287,0.33842160320502784,0.12735975985410777,-0.020045390893605013,-0.3507767802616824,-0.2478409627760658,0.3743378208520827,0.0876706839218336,0.022126304025082685,-0.09243502867466452,-0.09977278456915392,0.007956224938385497,0.010795211436852855,0.008685221207014048,0.03811641867023399,0.22640479895391047,-0.19652044361381568,0.07883682962716156,-0.11392413310739696,0.19434903133351175,-0.013787139555997127,-0.010139757723595834,-0.0752197854974584,-0.13586117421344412,0.08864864231949507,0.12837223902352632,0.238151102776168,-0.23524460083699014,0.03876977212974127,0.03414831970387965,-0.009016133618525818,-0.022013040998133806,0.025446570193233115,5.36871828887958,18.48500485403296
3,210.739910611653,297.130137518493,386.633244162215,492.596877939831,562.010665775606,607.745314409734,660.485313680713,7.91725891591351,26.1868181620627,17.3619390959728,30.6386639665577,4.8276987463622,-0.053917805791725,-29.9264293764741,-55.9738634970703,-61.6292976482127,-69.9784696123947,-71.1139851086279,-81.9739789545475,-83.3487839974215,-61.868890583118,-9.22892021957804,-21.3212795135373,-29.9382766254594,-38.6250296061601,-31.7362397337794,-10.1969619670921,-2.82335271228239,1.00269144395655,-20.2999083677043,-38.7626775499232,-61.1366468943413,-59.0273220457724,-7.14694717621578,36.9848185805917,9.96443619615493,-3.74188982537425,-31.6466131151454,-12.3971872596076,-12.4023835835024,-15.4820031249908,-17.116526748893,-17.7947582099476,2.16149565273348,45.0185041404616,28.5375440362036,8.91939869107867,9.30273260036624,-0.20284457214538537,-0.0995916716359864,-0.2964015995199987,1.9329317230761631,-1.0374086932228639,-0.31927984391469044,0.09023954362479336,-0.11736701724212492,-0.06940338684136768,0.12065935721723994,-0.2654108476091496,0.34385056491369254,-0.6173894919327911,-0.3142832735313923,0.22056046962845552,0.17455945585024754,0.05035985673477246,0.027280218471592194,0.12246545859652294,-0.03975496709090295,-0.06376664836410012,0.11827060911970975,-0.002473117223547498,0.11568112130295925,-0.2082233942109321,-0.0013026039596642244,-0.01905527883355,0.09127971109513379,-0.015019818564971551,0.22461603505773334,-0.25118927701877336,0.16169470256819496,0.07178294156634787,0.3749827272562008,-0.09447585628555853,-0.21526442597403608,-0.03409298974812245,-0.09118194658546322,0.09998335311834064,-0.011551795835091734,-0.1647821354474024,-0.34767452487303036,0.3234274916564903,0.042543499537248335,0.054418427590617435,-0.017500892614677816,-0.29524106855823745,0.12918115581550876,6.9199925522506165,22.19429832051085
4,200.378602494687,312.358609374928,425.171260210593,562.010665775606,679.45081414389,744.763646639474,815.777671069929,8.6691453641453,27.5761501529361,26.701289438128,28.0471150120089,0.652079333605903,-31.7593950544507,-55.8070070826491,-75.6408964418683,-76.7393100167513,-80.6753369292751,-82.3936326489747,-94.5289576612214,-95.2095651066427,-68.3427901862374,-6.21262994983121,-20.6578037367133,-30.4521446941463,-39.6010789695931,-31.7847750411337,-4.59496826984333,-0.429019301971637,10.5383718909997,-21.476177912315,-42.158042543435,-60.0320046455202,-55.2777496482549,-0.466965871155848,45.822006204675,-1.33713820604692,5.31308281343572,-34.9846423399942,-16.2604071143345,-19.7561319272949,-21.186905987176,-21.2291150260625,-3.22951337091951,38.6277916374401,96.8369030047645,74.7288490770683,49.979879534656,45.8788941488698,0.021505561168435362,0.03650987202734141,0.12165988876890431,-1.0374086932231035,1.4406398810001897,-0.4186655136639182,-0.12854504138989847,0.23089885243217773,-0.05906917685574879,0.33857980561307494,-0.036221066757394005,-0.10329969786376383,0.36771208695356117,0.09404575947726851,-0.3765420800961394,-0.08450916990761306,0.17009889117927773,0.09173290334781611,0.039312384992135116,0.053651758016541866,-0.32369338446649115,-0.1132752798210884,0.02725020621663057,-0.2153246112411418,0.2660405026014828,0.1925435454286567,-0.28831020856414225,0.035260238946284876,-0.06998611837537887,0.0623292498624452,0.09274088970693332,-0.15351377280363715,0.24682976498689535,-0.19433826009855085,-0.16070974918477968,0.05540752702769954,0.01903412182874186,-0.03509589365228311,-0.05442839466661415,-0.04299861347073624,0.08641218526995555,0.16468993771078758,0.04917013557770261,-0.007814816721759906,-0.2247517354025048,0.03277774838558846,0.1403212887289879,-0.23217328111052613,8.145997998417354,26.06608551631583
5,186.033918542656,327.315462524468,467.388635946846,607.745314409734,744.763646639474,891.549742223652,985.173542574898,12.7962682145954,37.3874208752379,42.2878793651846,38.8834679167639,17.5383618596527,-42.4596802919984,-59.5222949077332,-71.6196876298737,-69.1232755731636,-69.1023558667115,-65.2025035016881,-71.3770295120962,-71.2213667733584,-50.3031065965303,8.01737453445715,-13.6204556301059,-25.1570081799176,-34.4462770763822,-32.0253119096217,-10.9201537234998,-14.7938935628644,-1.74351251437498,-45.3433346991947,-59.6601790600435,-66.5021504574973,-47.2060310839655,-4.76200773301314,29.1993302249979,-25.8606594724666,-31.0113519821976,-52.4604426563264,-25.0735155758545,-24.8923287920775,-24.7219745874752,-23.7175120757576,-43.3907196896725,-39.7531505529585,-33.514012314544,-44.1428086299877,-58.5386193353577,-49.3376531539924,0.2679856751703117,-0.1350754597136359,-0.3341001100540755,-0.31927984391363046,-0.41866551366372684,1.4462728787440957,-0.6425641214319924,-0.09530725328172261,0.1267074443854669,-0.07486940960962016,0.2445476919369047,-0.5039888144423057,0.481419419886386,0.22912879963929858,0.07870107128014472,-0.2831026958149642,-0.3818422343910188,-0.010186510207985961,0.004541523867089166,-0.27792323576123634,0.3952314046561764,0.3826393181921969,-0.09422794807104501,0.22914918675088222,-0.05215589592293212,-0.05455508682102809,-0.013442804096108079,-0.044973942556248765,-0.11578231127341965,0.09172214815371693,-0.1569392897665654,-0.022519849305138312,-0.09211915276755307,0.0888114890325657,0.029388821541326583,0.16604051764036196,-0.08635695961189539,0.22095978813114553,0.015987548998046535,-0.05130635315650174,-0.08346690745019437,-0.03598867976541892,0.024187230854522155,-0.13480007912025618,0.42609344864539905,0.06117091933073168,-0.2009126792386671,-0.10141454953651953,7.377200577200576,29.858662766836233
6,167.669695753165,333.700336928906,499.52620880733,660.485313680713,815.777671069929,985.173542574898,1127.74101967971,13.389501061291,44.3409404313683,60.4985754650727,48.4460461003483,17.1777792477839,-25.809741677763,-43.1420023603824,-56.7858151615922,-59.54758075093,-64.7682079600652,-53.8163022659583,-58.1357942646683,-59.2115515971377,-40.5273153191337,22.6775911202809,-4.87788812396517,-13.3987794840801,-21.8185721284287,-23.461178637571,-1.20639246477885,-9.95881724280872,-0.953852216638133,-44.16977909746,-54.9854081001823,-60.2661696337531,-43.1568077197024,-1.67317610673536,32.2398737427858,-21.4671228907645,-54.0813971683444,-56.9791381510721,-35.802980121838,-37.0057704920783,-31.525983202005,-25.4941959950046,-40.2961360426181,-36.571072707115,-38.222564011466,-53.7475784157065,-69.5041451671061,-60.1763742306003,0.17051897243541425,0.04028751291585745,-0.06746692797910017,0.0902395436238828,-0.12854504138924475,-0.6425641214321516,0.6754869219273659,0.0568196792925127,-0.027352513598266712,-0.3858650841150331,-0.12070325502108055,0.27194099973678787,-0.194991546390677,-0.06335763893056842,0.07384006931703556,0.14971958942321026,0.021218261652388132,-0.09407267904138522,-0.04376665457912316,0.3679900687459299,-0.014856851545338643,-0.4963241699514809,0.05053715981573567,-0.08483434500773607,-0.0459979725844838,-0.07011744122379071,0.2387814772130899,0.029113307973911016,0.09465507219710709,-0.21719681975357455,0.10393564426066715,0.11446792908081477,-0.15133461337993437,-0.10536952367490278,0.02169617719930623,-0.07994816008873556,0.10868841990143444,-0.05204441822483857,0.004504062434750436,0.06045025354635573,0.05152235268575504,0.018441111836624075,-0.10303790796792461,0.05530302865057646,-0.2858747713427259,-0.06071863895964957,0.2845018768059462,0.1782095042187935,7.766109249173767,33.581706622500704
31,3.86915208322186,5.92586047918951,7.80426384308435,7.91725891591351,8.6691453641453,12.7962682145954,13.389501061291,6.62845878136201,8.71314703861118,4.71332249377048,10.2740979691379,2.4922995039235,-2.41584671177061,-3.73484569927606,-6.91265274889612,-10.9806547531627,-15.5266291912201,-14.5341561270921,-15.9567174302516,-17.9428331669249,-14.9405608565007,-11.3868082914781,-13.9784387300238,-11.33224975304,-9.68298937391439,-8.57257202385448,1.75559987370687,4.15367581193621,6.08876342884918,10.8352565875092,13.3751417507537,16.1740288378815,17.3423098041456,16.5399421647699,16.2299719477578,15.1791577575447,14.465296849431,23.2258766143511,29.0416818216631,18.3112037898003,18.1661102502343,16.3880279198492,23.7407726655152,30.8251731357351,-1.87007784304937,-4.18370939290773,-0.230733134485131,6.69729226195283,0.017235365852084412,-0.05038042466333399,-0.1036508332437444,-0.11736701724405725,0.23089885243347477,-0.09530725328150995,0.05681967929175244,2.9803548021067714,-0.770148544125278,-0.15789620971080437,-0.23613921077071984,0.41945366578731935,0.14707951534288166,0.13052228188906684,-0.04665573424685425,0.009800873235518023,-0.07734128320415935,-0.44895161272194234,-0.15511323243712624,0.09228996463682007,0.08614745268160466,0.5245339493304574,0.12715310662282292,0.12287028351507034,-0.09278667305836619,-0.09147150666687212,0.008468903423665462,-0.003136056291646864,0.010962046062116561,0.08790852015355438,0.15247607707698413,0.038427382206155866,-0.25695902532607373,0.06973306529013086,-0.7105223395398526,0.14547928764941176,0.2773720266305016,-0.004447825936618829,-0.5230434944376771,0.2535774572181396,0.11302513236298299,0.09938274394611633,0.3828651464349025,-0.128348502716744,0.10547651243307686,-0.009978837006972722,0.030574506795604996,-0.2446405210786228,0.8763440860215053,2.572636542802346
32,16.9264410361287,18.5762788151433,19.6973334113893,26.1868181620627,27.5761501529361,37.3874208752379,44.3409404313683,8.71314703861118,36.7437580271804,23.6584682959028,53.9364569973293,43.6313316028633,38.4017338276068,41.5080812713708,42.0141012954605,42.5374634619585,41.5405090509681,51.1768248045158,55.89281128163,59.6827428569664,41.2905129541023,31.0847801233749,14.5567971172027,22.3901840674058,28.3082831260942,9.5793459060142,8.04198807938296,10.7709542879866,18.6740118932594,27.67404469546,38.2641249725331,47.0203016164886,42.2997320905598,37.0438555247582,37.4971323889251,43.7896663145746,43.1783391669646,49.0451556603115,52.7759692016318,46.556691928056,46.444957767525,42.1143816764372,67.1835953160961,76.2319816062558,-3.81393019728527,-7.58564966602965,-2.68757778576189,8.7561491315923,-0.10165310040337935,-0.04079597766826119,0.0069172026017735875,-0.06940338684249094,-0.059069176855086176,0.12670744438580367,-0.027352513598310858,-0.7701485441250092,1.1393718843146758,-0.4061968422453585,-0.0007533208370820682,0.02813731678392038,-0.03988174997114155,0.208012269718627,-0.03926893662445676,-0.15157429411287218,0.03058691033631827,-0.219300333193462,-0.06830245976700879,0.1907716060879921,0.16399403237696306,-0.11644631669379125,0.11267691776634413,-0.21784454984201818,0.161660674406205,-0.1321235505151053,0.22676892234764204,0.2937457547877755,-0.4373544651702763,0.21886820155341505,-0.06537109756925107,-0.49357109768748914,0.2616525911629549,0.023366865631711094,0.09170988031509195,0.07518581999231845,0.02535410226028227,-0.03479591450426696,0.3815170349484733,-0.28054781825758013,-0.09117193153480238,-0.07814678105664574,-0.22448595365584492,-0.003844032053643127,0.023228699457740767,-0.00818689658090927,0.10912950543816434,0.011081226394784522,5.679435483870968,6.060838063104838
33,-9.01449261774233,0.271329347577622,9.11922359445414,17.3619390959728,26.701289438128,42.2878793651846,60.4985754650727,4.71332249377048,23.6584682959028,45.1443152628435,58.093715758376,71.4018104604897,80.9238807426757,97.8525607969004,106.463302836543,112.403345461801,116.619720103535,134.357955401232,149.061285136126,162.174424320501,119.833211244564,82.3893266510213,50.6983323486664,66.7015319616183,80.2979673549034,44.1339694581018,24.2258491630788,23.4788928084929,26.3031334115903,39.6242966875946,50.9220239768152,64.4022752519716,61.1061379058287,56.8761485797677,54.8126084633832,61.3030677461207,64.9464522736581,51.9406909829682,57.7714032398845,32.505041521612,40.6262917073154,46.1674260745769,67.8406628240757,55.0617913015885,3.26839882488088,1.33130589276207,10.8772314587487,15.766156786713,-0.1029319621977922,0.007512465589961604,0.08058009535376655,0.120659357220729,0.33857980561120976,-0.07486940960975697,-0.38586508411468967,-0.15789620971181736,-0.40619684224561814,1.7585885544269795,-0.11132058364619801,0.058299831586822774,0.30346707721761335,-0.40928396041371884,-0.09295944991248091,-0.14977674078125552,0.5892815260409863,-0.03992783911035066,-0.17677435410408024,-0.4494372195851775,0.0958394266874647,0.15030761889689698,-0.14770545254922107,-0.20671843361655093,0.38354888162333184,0.30198219432957324,-0.7082753451133621,-0.13847719906820966,0.3599364560046951,-0.12423955015732352,-0.016530326610082146,0.23575876098715734,0.054809280531484934,0.049140747662809466,-0.006991299812472026,-0.04615896988190332,-0.12468475492132727,-0.20630611879903196,-0.02114156337188091,0.03964319538834892,-0.03673443411949094,-0.06334295679208184,-0.04033530919050786,0.1969880536678531,0.20342353642148278,-0.03192421357891461,-0.3583852428460422,-0.1483415670550286,7.251344086021504,6.718207741864156
