,Cov_0,Cov_1,Cov_2,Cov_3,Cov_4,Cov_7,Cov_34,Cov_35,Cov_36,Cov_37,Cov_40,Cov_41,Cov_42,Cov_43,Cov_45,Cov_47,Cov_48,Cov_49,Cov_50,Cov_51,Cov_52,Cov_53,Cov_54,Cov_55,Cov_56,Cov_57,Cov_58,Cov_59,Cov_60,Cov_61,Cov_62,Cov_63,Cov_64,Cov_65,Cov_66,Cov_67,Cov_68,Cov_69,Cov_70,Cov_71,C_0,C_1,C_2,C_3,C_4,C_7,C_34,C_35,C_36,C_37,C_40,C_41,C_42,C_43,C_45,C_47,C_48,C_49,C_50,C_51,C_52,C_53,C_54,C_55,C_56,C_57,C_58,C_59,C_60,C_61,C_62,C_63,C_64,C_65,C_66,C_67,C_68,C_69,C_70,C_71,Mean,Std
0,19.0767548212186,16.0006654583861,8.46371756989997,0.604020320876148,-13.9103464989534,-29.2861354617575,-0.976084634030107,-1.83055415134773,-0.905535604300789,0.5000438006418,1.0843369244512,1.44691454548797,1.61726926708965,2.43598594425731,3.18029047567079,5.1644286827603,0.782582927090655,1.86646311298071,2.03046734806541,3.15397038079702,5.20022329465363,7.77349549883689,8.15828029048743,8.07027050979091,7.88808936261428,7.41832598956091,9.47068694585582,9.07818525959649,6.39867265171348,5.55838274129414,5.4847358103822,4.81384777217938,-0.366617442930302,3.86506487711026,1.36220114951406,-0.802347870584318,-2.77123751037459,-0.859379335487527,1.02352272098964,1.02636103776031,0.8608258041838287,-0.3492608430373534,-0.0828631028988155,-0.04002832718090973,0.02658540781337249,0.02553303761594448,0.330099211239554,-0.05022298119286158,0.048246432062720314,0.05029968612983256,-0.1636933429506267,-0.36423493922358585,0.039085905633515036,0.11145284744381767,-0.15051910302640711,-0.26138533553138305,0.16071094370179295,-0.14891172227390298,0.10787888362964637,0.043182830291306165,-0.058487207482908525,-0.19736650290519844,-0.000715887841546523,0.1309595817533284,-0.05299962314559663,-0.018096448956173804,0.004150220895190383,-0.013273041884873975,-0.019261290406680055,0.002688882241972758,-0.22854393264821715,-0.06503881063484253,0.2135691096183041,-0.09129658283656625,0.002279868316313452,0.042362809296644426,0.009369138252880138,0.057340871432395135,-0.25580203513763733,0.20978694059316372,0.9029761904761904,4.366549532665194
1,16.0006654583861,22.4064729191557,18.8221848773889,14.6815676476502,-0.79207341950628,-17.144261992273,-1.17025488583815,-1.64598310566404,-0.700975901955662,-0.340241675319478,-0.225688357711766,-0.200876255752254,-0.16992733495152,0.444535709437107,0.73661821410737,0.691714565114395,-0.725587802619616,0.538664865342571,0.777852572672204,1.56723370839911,2.77169705468602,4.35175594215472,4.38342083736095,4.69390893086681,4.8891155674527,4.52081608542335,7.0092195378811,7.63382828284239,3.76659369605562,1.58329613978864,1.33025098775812,2.22885426715168,1.48803352525586,6.36267237497846,5.87883308131689,3.68797844439059,1.70204572407805,2.58278084990284,3.00265919330311,4.2769308442868,-0.34993006283632205,1.7125356788254356,-1.1165415244147587,-0.15001375760898056,0.08307305655671675,0.28030023885097544,0.0408511290419417,0.030818768501667718,-0.26541800444140945,0.010407791742201392,0.04413274677269024,0.20603136688313614,0.342534879917312,0.033422046109374506,-0.21629094522843992,0.13395052293450738,-0.08081075446242064,-0.02518735954707692,0.012494865575427344,0.011706754870718475,0.06960849023959241,0.19348851430685238,0.01792571373985817,-0.15682232180620684,-0.22199513876724428,-0.03168197423188119,0.0813552672168223,-0.1567655834771097,0.14135114698970153,0.04456076429294881,-0.04946193072906821,-0.0005514819439817317,-0.06480163734978986,0.05510073845375269,-0.10303116650389109,-0.011602466115406487,0.08829318595386683,-0.10041014598880786,0.13929617730884675,-0.18984383680049738,0.3974910394265232,4.732491195887819
2,8.46371756989997,18.8221848773889,233.678829115159,446.599079100213,645.587996034965,844.05382894437,9.87327560933225,-1.445354523257,2.60048811922199,8.88188699004194,4.66223044064442,0.103214062263375,-4.37095348029141,-5.03718550779658,-6.52757891829167,-7.51490565248445,-7.01862413357407,-3.96654109087483,-2.36115832085666,1.74330686654979,9.18471222582271,4.6216219779347,-4.62854354320419,-2.48473213141054,-0.176085530826018,0.751039722582391,3.25565723286064,7.89583261574956,3.40136180754136,-0.724462693294229,-3.50757067831965,-7.0843983480773,-13.874124108945,-6.77107977930833,1.93158907019859,0.641770807856764,-0.383810285890546,4.0522934796555,7.65422040506052,8.79752997053706,-0.08574531430664505,-1.1137921217898596,2.0908888284047813,-0.7097529568008661,-0.30287057221733055,0.06541002867222362,-0.05852417807413809,0.06773923048505141,0.32196158736763403,0.11033177004853036,0.05356850834153285,0.039555959143598794,-0.2292798907517477,-0.13660569766425487,0.037916660750032416,0.09320993189914027,0.04750828156404072,0.047859333077065934,-0.12893625938541287,0.024612954486138722,-0.019713385157227627,-0.12897613422745985,0.048640390723044304,-0.01583718044014004,0.010353901169665572,0.10812513677237576,-0.061782677978465525,0.1868154473429705,-0.22138492109622301,0.052591178636126786,0.040108782478281924,0.07680774667240353,-0.047983350969302924,0.005846171151264633,0.036268637898331645,-0.009057232756527955,-0.07198300204734702,-0.0010374005351823448,0.1674272604380004,-0.11951954144191959,2.6251152073732715,15.286230049137645
3,0.604020320876148,14.6815676476502,446.599079100213,876.885213030015,1290.59467970056,1704.14981131991,21.1214443274016,-0.720983877463915,6.95329446668802,18.7821379915179,9.83567875780627,0.23130972502208,-9.36527710391857,-10.9298051714108,-13.6796975462764,-15.1183796979445,-12.7130894055246,-8.11360463968037,-5.29737901437198,1.92282874359889,15.5650596165627,4.8383020540277,-13.8906005152088,-9.59386000011254,-4.7559139081222,-2.07847383140354,0.786256260472642,9.44676204538657,3.19382426560613,-3.25768659249261,-8.17238254354629,-16.5219429989577,-29.3910788981535,-20.5027688840295,-2.70857973929769,-2.66231958957894,-2.30709539303748,6.13268486517411,13.3831430582026,14.662515751868,-0.044368508451367195,-0.15596209506587536,-0.7160341418588579,1.4961324902488349,-1.1591967358734137,0.31813935950821925,-0.19780751227508542,-0.008455010645623769,-0.07799624672941621,-0.03171363410341414,-0.009703200997290105,-0.020312706305026598,-0.0581954994228243,0.008941866371324918,0.15841171673179916,0.07086243534297355,-0.03303776759951659,0.00910587335447396,0.07603133327921097,-0.10043220177706727,-0.009686161876892092,0.03846997955654312,-0.014000832116889225,0.04543877337657185,0.03981493812082474,0.045982482913066766,-0.022933306323830557,-0.08050519953604533,0.06602321289260382,-0.12645212172492162,0.15268670651167002,-0.009735823180470138,-0.01704687448654454,-0.012531287668282544,0.06434040239012802,0.002134022378896695,-0.04879363555000115,0.05137917447773343,-0.1104574851065547,0.13751704999400402,4.927112135176652,29.612078836684447
4,-13.9103464989534,-0.79207341950628,645.587996034965,1290.59467970056,1927.54818007705,2564.51623992994,31.5689116637887,0.337756151725529,11.8780649532675,28.9236164564288,15.2044694690366,0.642230225103174,-14.03507014366,-15.7164676889205,-18.5971657764373,-19.545545636074,-16.4252996955114,-11.5522889493457,-6.82129825038736,3.85608262325177,23.2117772874109,5.73107959355092,-22.196205309421,-15.742622738563,-8.43352379928977,-3.93107752059422,-1.90560665372199,9.36978592092917,0.26424686638871,-7.66598195229257,-13.4771108181494,-26.2425626951216,-44.6076996342899,-35.6276456085787,-3.62041414293869,-2.24808824988857,-0.563662087955253,11.0781529654592,21.3318269383619,22.7472189290519,0.02605236327114461,0.12249020368739048,-0.29910078981930016,-1.154172075178696,2.6579045572827007,-1.3489310641277508,0.0979131664447194,-0.02737507207436445,-0.053378085654850534,-0.11777030605527249,-0.030706414850171417,0.0031908739803299586,-0.01077541759436693,0.018869090681484266,0.1099487323521261,-0.11736143028997079,-0.05844979675686117,0.0045981440966558155,0.023447183923144158,0.049612473015688136,0.0005261506527773085,0.006361559561946509,-0.10139882678897821,0.028565052845425296,0.2487297018871847,-0.07089849630069327,-0.07219428547273107,0.0400392841857869,0.013021752938926419,0.12512508772586167,-0.13731697909238577,-0.04462171615927871,0.03835945273580941,-0.006319214477058226,-0.057829820823156915,-0.0025610387594681484,0.06062358303230249,0.02100634797086518,-0.0028737600018098274,0.004533155333424358,6.523732718894012,43.90373765497704
7,-29.2861354617575,-17.144261992273,844.05382894437,1704.14981131991,2564.51623992994,3426.11599890279,42.422921258728,1.57558347217062,16.8695662319184,38.9821922184506,20.6093548203128,1.19495819611246,-18.4194865963991,-20.5042064121132,-23.7845208767151,-24.7430299694056,-20.4764081550668,-14.8070769993937,-8.12014796348292,5.91540444773484,30.7805444051138,6.32676165827143,-30.8398621195874,-21.5368605042571,-11.1222164242296,-4.69294843909544,-3.58598449264779,10.0011518395487,-1.93720024432164,-11.4122290133795,-19.7128211736615,-37.3371000812535,-61.6090918843335,-53.2375925377845,-8.30938398939143,-4.41366398019462,-0.209540269422155,15.7812338861386,30.1541482495149,31.5113111198644,0.025756290353352543,0.2649857290200774,0.05824242297453416,0.3039796722855966,-1.32882497246651,0.8496633569300559,0.027237784163873055,0.009690537984113502,0.002353420157472122,0.06129888879294602,0.007349123966939424,-0.002098597482373879,0.0962769852845439,0.019190143937435216,-0.1621716184504565,0.028633390831054383,0.047793339867592204,-0.007667864156459791,-0.009381695520730553,0.008649752447907312,-0.03545169774183058,0.008359242645759083,0.09098551128881971,-0.03371863058400474,-0.21011876255908624,-0.004589734295590448,0.08899718998177439,-0.03712889537377298,0.012721503687936625,-0.044398019985011146,0.018429992422108063,0.018387157314916594,-0.006360540567081742,0.01019277740457239,-0.0005657445329724758,0.005383085286691666,-0.0011863149098859526,-0.039715148959584515,0.013068235791662589,-0.04582500107484916,7.9805683563748095,58.53294797721012
34,-0.976084634030107,-1.17025488583815,9.87327560933225,21.1214443274016,31.5689116637887,42.422921258728,5.22403945090581,1.79043604961465,2.04751389251293,0.701571595167252,0.780002198409455,1.04654627922217,1.56411639763649,1.6115547198888,1.58155642527524,1.23454328567674,0.96846259325278,1.11687016160351,1.37080051277185,1.73022630309289,1.49227778851164,0.694923444948682,0.380433011670231,0.441824187138942,0.330335971149611,-0.03970211518428,0.210363240958262,0.512543367320824,4.25154444224602,5.48854058559586,5.2238627122192,4.4101953478306,2.69057624427921,-2.83705572179445,0.247172287394945,0.519800484951988,0.816580573476522,1.64872740493651,2.1103090821754,0.566247953844287,0.330438230367658,0.04577879392015617,-0.05588698600680948,-0.20118582904723487,0.1145860710843887,0.019443263512695673,1.1235276634843152,-0.08975677820658065,-0.28349103889979554,-0.050599805956835824,0.02598413678911776,0.03474988436274792,0.09980626264401861,-0.0583537367024834,-0.31912360363099107,-0.026991369262420618,0.05573259291973403,-0.07863110768863929,-0.004559704712429409,0.05767265916329594,0.05595996922254969,0.017612061289062696,0.0026174811457110067,-0.1222424528541806,-0.15648499824956746,0.11521506033053655,0.0540097837645018,0.14662883246495656,-0.27731480939789976,0.03993569652131166,-0.22696942785207208,-0.090767236275538,0.20854802516828766,-0.07214873703858107,0.019729662292514553,-0.014756045452617005,0.15333541144747748,-0.20622231708989128,-0.18695551904664356,0.22474971879184208,-3.5706605222734256,2.283427128442204
35,-1.83055415134773,-1.64598310566404,-1.445354523257,-0.720983877463915,0.337756151725529,1.57558347217062,1.79043604961465,2.71472167361568,2.31752812804337,-0.0812036670047607,0.168375685595445,0.410717081813204,0.754984361721107,0.17808270301158,-0.266071610099761,-0.669976599455373,-0.335795667852284,-0.689633313329075,-0.535370484166641,-1.0708633139837,-0.638485169067222,-0.197537875008362,-0.634921571646564,-0.395207581478779,-0.171899936367329,-0.160705124584535,-0.286133420987147,-1.02131562754891,1.07250905507548,2.32427319814055,2.83495097477502,2.22998344545997,2.61097626443993,-1.67569125919908,-0.591876097443265,0.176619896835469,1.03086848909208,1.12457572095557,1.30048075979263,1.34686939721338,-0.05071916528950616,0.030736889776499087,0.062352270523043915,-0.014731898116627576,-0.04346869412200592,0.016126466779588292,-0.09193279435532409,1.3520947492645703,-0.709272767722648,0.20569798701860265,0.10115843020504356,0.020410751479369486,-0.11172694688434283,0.1942828393106068,-0.04765660648869349,0.0664957282807733,-0.06958896687626615,0.28012456547393766,-0.09113832405999417,-0.0838857372876012,-0.038370249927006314,0.003611988660572315,0.129321121289793,-0.05197100584374923,-0.07606017637991172,0.029309943337243162,-0.01126720722965325,0.09915620672787388,-0.15813144514691008,0.025446036702118695,-0.14374096053712027,0.21826644392340647,-0.11112193996775468,-0.0035620456703667532,-0.014375840120954149,0.0991608524098748,-0.13848625726777952,0.04738218919371342,0.00892947634991965,0.04281441883139374,-2.0729646697388633,1.6446038044512978
36,-0.905535604300789,-0.700975901955662,2.60048811922199,6.95329446668802,11.8780649532675,16.8695662319184,2.04751389251293,2.31752812804337,3.42434811827957,0.976805256401399,1.05831431950128,1.12149376671891,1.17092689390956,0.791793662594814,0.450917829436188,0.172136789179813,0.228218881843876,0.250350545962151,0.527678024347076,-0.0677201333382596,0.37414939722061,0.603978801738159,-0.116139505233771,0.434886775062664,1.0637758539407,1.27806937654741,1.19355336729974,0.801391197722253,1.54360230309197,2.67538914968786,3.47794914283508,3.38149705570646,3.65185968722788,-1.54188295803885,0.637299054391057,1.47533324326079,2.32040771236759,3.17464408279436,4.06230004945762,4.68058389295751,0.04818476145968479,-0.26610893676059616,0.3208191278028737,-0.07049337075375621,-0.05074546557029607,0.0014098808091179184,-0.2826049472626158,-0.7084289814806718,1.5266473134685734,-0.30076272931497344,-0.12929175254365138,-0.06298089477426119,-0.015743013723390965,-0.03477275913304784,0.04288446899137536,-0.019399176707892953,-0.01773610067362748,-0.0004908204727741157,-0.10649010210208712,0.09696441279309127,-0.007395556502101466,-0.20960203399490052,0.096094455972492,0.11275086120022353,0.031574975259983276,-0.1988700649334684,0.12619863274127416,0.011895837366493408,0.060617906577553914,0.024210299871672374,-0.04616251949297565,-0.028371929121911003,0.03633376170358205,0.019138180493625832,-0.021607755467190782,-0.03328402139729471,-0.015569222476084919,0.1465260126957377,0.07002655504570991,-0.30147224518835525,-1.9690860215053765,1.847795475229758
37,0.5000438006418,-0.340241675319478,8.88188699004194,18.7821379915179,28.9236164564288,38.9821922184506,0.701571595167252,-0.0812036670047607,0.976805256401399,2.86972222222222,1.94370548720033,1.09449125484789,0.139861832232659,0.389007038262796,0.561766219964848,0.756885142499769,0.390892451652249,0.600701038700013,0.3094910363735,0.370501895478435,0.860730715838018,0.783730298600339,0.485403237718033,0.965292319348715,1.57239092022972,1.87690242864429,2.22598844482598,1.79854829758316,1.06362491681812,0.65144934882115,0.692577185134369,0.72821835749415,0.707266886748472,-0.94327885128771,1.52786422233592,2.8358134732798,4.02533138034291,2.82758539269428,1.69866018026523,1.039475487653,0.04817068406070298,0.011074749288820615,0.10702790053889616,-0.03590821872160056,-0.12781027484569807,0.06496839480591457,-0.04953317179444487,0.20672449583334848,-0.3027690424942793,2.3177139346382902,-1.8079742305854478,-0.12314477046198502,0.3119892770018492,0.09275474412434825,-0.03218926958189722,-0.03666658386653695,0.0975665524548731,-0.42495465292848156,0.10015736876654059,0.0958575703435637,0.034558868969564255,0.002418410964862394,-0.08713745009303116,-0.008532151091860313,0.019318977051454408,0.09083790666951161,-0.20337290668133517,-0.1655151794866862,0.013171512337722431,0.09840812898153205,-0.03974711376384329,0.20282828105507114,-0.17289440292214467,0.03316853861766535,0.047145173115791625,-0.08499455243273929,-0.09483798426354295,-0.004734922589842324,0.07403360100945804,0.16112525648024004,-2.583333333333333,1.6910713238128727
