,Cov_0,Cov_1,Cov_2,Cov_3,Cov_4,Cov_5,Cov_7,Cov_8,Cov_9,Cov_10,Cov_11,Cov_12,Cov_13,Cov_14,Cov_17,Cov_40,Cov_41,Cov_42,Cov_43,Cov_44,Cov_45,Cov_47,Cov_48,Cov_49,Cov_50,Cov_51,Cov_52,Cov_53,Cov_54,Cov_55,Cov_57,Cov_58,Cov_59,Cov_60,Cov_61,Cov_62,Cov_63,Cov_65,Cov_66,Cov_67,Cov_68,Cov_69,Cov_70,Cov_71,C_0,C_1,C_2,C_3,C_4,C_5,C_7,C_8,C_9,C_10,C_11,C_12,C_13,C_14,C_17,C_40,C_41,C_42,C_43,C_44,C_45,C_47,C_48,C_49,C_50,C_51,C_52,C_53,C_54,C_55,C_57,C_58,C_59,C_60,C_61,C_62,C_63,C_65,C_66,C_67,C_68,C_69,C_70,C_71,Mean,Std
0,73.4857048228056,80.4008577817309,87.8384525072732,95.1282426385993,81.142276268104,57.160284685474,32.9721738712609,9.05388517117631,7.46418366259889,-5.21649849162226,-6.85260255249191,-9.25691292644274,-7.69362424773758,-4.76642873446197,-0.700259946335081,4.63695914962587,-0.324975990316062,-6.45004392538603,-13.1676452418486,-16.3371756822499,-12.3373705729702,-6.34257135177031,-1.03292164562512,-2.83229004654974,-4.30974498332194,-3.66625170351338,1.11620338273109,4.84499499389989,7.6582989077246,7.68031280356006,6.46022426796068,-0.0152827863527727,-1.56204293768609,-4.56851127181604,-0.333261829961269,-5.36720896868409,-8.54929515476867,0.540563324949709,-1.10444212487487,-2.10162281448564,-2.11785291670202,0.155926041654642,2.6613491578002,4.37992811394716,1.602074265986621,-1.543883703102412,-0.16284254181024346,0.25690523680877336,0.043811490465378244,0.010469557499954324,0.02458373910634004,0.026089005582628555,0.015054624850203884,-0.06574543306329655,0.08908945060587002,-0.06524378635125051,0.03916898479369707,-0.03169016541851184,-0.03568566308873981,0.013660750131164573,-0.0051426795059323896,-0.0514009833027454,-0.04616221484725929,0.2603761267143038,-0.01851854353597082,-0.12051778312849204,-0.14443123724564602,0.05863087976383721,0.1786388124931736,-0.05227040149051274,-0.05583698398314893,0.057284852919646634,-0.09768881569291818,-0.015517749351421375,-0.037751586190019656,-0.013001655299546562,-0.010472389757185285,0.1066615958137569,-0.060920860377335705,-0.021966167675202597,0.09982802519153954,-0.017123871442289072,-0.09068872916176726,0.09239903448004547,-0.06696574640731136,-0.009275978799112874,-0.01587587965917099,-0.0647608210385587,2.4432586230973325,8.571797059123929
1,80.4008577817309,90.3241544308013,100.509426198803,110.219377800461,95.3608702546764,67.6540521278506,39.742346698564,12.0888858708834,6.83871631853844,-7.83449742882867,-10.6406436851259,-14.4479768066434,-12.8652622800171,-10.1414086819704,-5.25056852179191,1.40767064846067,-4.20189903380737,-10.3929065536785,-16.8750814930442,-19.4211422353336,-15.2597430300717,-9.32362817529467,-3.74052662752808,-5.42438388911092,-7.13651237311968,-7.10448305921127,-2.27815087920956,2.06578380245373,5.39923692132518,5.12975133569988,3.45452349542464,2.66427581072762,0.679099398062264,-3.4801936285903,0.12264489034361,-5.18881266967597,-8.51931532813669,0.15959455974708,-2.03103332100311,-3.77546118358522,-4.38632687908559,-1.9593502459624,0.739440646840746,2.50411634159803,-1.5446141881982178,3.4233036555076417,-1.4410690516954294,-0.3186923214180577,-0.036242196752189135,0.036077131605342774,0.033010623158124655,0.024253984412670015,-0.02074485404604312,0.10552193560596679,0.07860280710845176,-0.07671416153123738,0.0688530571899011,0.006220273735706686,-0.02444050540886816,0.00775654633559637,-0.006993204857905972,-0.13369596863103136,-0.003027757845194017,0.16172269914201512,-0.09926583898653411,-0.019192079344600942,0.026482978462959644,0.008877003210795398,0.00809162254194886,-0.03327356700598885,-0.04814910426983277,0.01704042158463935,0.12282465679047415,0.001052345955387201,-0.1064298058132774,0.017509458656360104,-0.029366694373771027,0.04638536369530772,0.0354894327354632,-0.04237994027441709,0.02800139454505894,-0.048096046424140663,0.020768819227559084,0.10770004704281803,-0.25624547207455695,0.04122361425598535,0.0434830892254474,0.06786086442649356,2.5656844947167525,9.50337594914572
2,87.8384525072732,100.509426198803,113.779101204053,126.13511154576,110.500203427863,79.0984549471241,47.5139082873382,16.1801502106345,7.40924155956902,-8.36697650286955,-12.2779594973215,-17.3921570046137,-16.0301625607458,-13.7065589764851,-8.40038153746367,-1.15530497227126,-7.59264968577282,-14.2049175657223,-20.703744225767,-22.5924398040622,-18.2779389592159,-11.8505218041676,-5.56256440039282,-7.21352815348987,-9.26496479779828,-9.9938444900304,-5.22678122620198,-0.329693459479559,3.82852917552349,3.30955752878777,1.18631476397047,5.81157590870462,3.51668583781181,-1.71036341769101,1.08904010519175,-8.12314855044539,-10.7913709686916,-1.98235194213639,-3.92435937572952,-5.57232444550431,-6.41110923462453,-3.43968927778815,-0.141492858918369,2.06968488453035,-0.1687910925242907,-1.4455542364318885,3.4127221646568833,-1.6085297330741652,-0.1664241015090528,-0.03690493361282749,-0.0002853169632905861,0.026313844056795425,-0.06869454118923142,0.04206322043896556,-0.027844926909446503,0.061903719318650706,-0.025970406469624997,0.025740265310011848,-0.027555945625559602,0.02319794641153469,0.04785836205991793,0.0533142784264857,0.05043463223806977,-0.054248489603959844,-0.10381953902556705,0.13851091964679005,0.17173542071273373,-0.1816831738807489,-0.18278581397051652,0.03246751142452214,0.0532271854944078,0.07495291832003628,-0.008677275374935537,-0.02423116858763249,-0.06061809162376032,0.1882900018965835,-0.14899515762916932,-0.012224672360272651,-0.018847640288169543,0.004886953778122455,0.02635199962165505,-0.1674796369485894,0.1729787855470591,0.07121657170548583,-0.006884685807360803,-0.08044773284825829,0.0028426801705414705,0.008136395627701982,2.5343085230182005,10.666259944519108
3,95.1282426385993,110.219377800461,126.13511154576,141.329822653516,124.983499574923,89.9299001827532,54.6835732020065,19.6842563768975,7.25204890146245,-7.79864869841287,-12.1414256691965,-18.1054917618137,-17.3431586684271,-15.462880464757,-9.88095118625881,-2.26782045330467,-9.35724193397107,-16.1984228756154,-22.6164169983017,-23.7283582825785,-19.2038871518205,-12.3356560013213,-6.13664295458242,-8.38143953720893,-11.1978651574211,-12.6003257999798,-7.52643831060584,-2.25995523073014,2.44334749389668,1.82747015377728,-0.611763057958241,9.4009639238818,6.12852572895367,-0.625731814659982,1.44332564053352,-10.8618594696948,-12.8880024246904,-4.00147297953896,-5.71922646109301,-7.43564441733733,-8.63571601011081,-5.24629384112944,-1.40376735504643,1.20025934771331,0.2588309542723006,-0.3195879222867927,-1.6097493908113931,1.970844974258784,-0.3894912752543783,-0.10764396262470297,-0.024141452930659998,0.0647040906800257,-0.007961345944716362,0.018721745006807303,-0.16017251444769773,0.12084773911091275,-0.1469924264401952,0.07794238901466345,0.0003441584613948691,0.013490081683607979,-0.03656242308881087,0.003029133128891174,0.06970413871227543,-0.25929296753869124,0.14164548063634072,0.03144337979354054,-0.08837156346191619,0.05187501007354944,-0.031167173863571426,0.253610684898843,0.02841702872557038,-0.1584809268026584,-0.05595995463846958,-0.0562077321918642,0.14933177578183418,-0.10815492145913762,0.054893932566439825,-0.04518034033990522,0.03442296994758836,0.019637539089238633,-0.07394182682149425,0.16182040528078157,0.04556156113435061,-0.23698104635256872,0.20640576692922472,-0.011791341958829419,0.041720552715784245,0.00845253659762875,2.4388388493227207,11.887801422193913
4,81.142276268104,95.3608702546764,110.500203427863,124.983499574923,117.271265586521,87.48148936628,57.4453581279987,27.4366152190035,7.7498970670801,-4.72198275201045,-9.34359198429814,-16.0729207221572,-17.1517471192637,-17.0097560676578,-9.88210964800877,-1.20283488056365,-7.64318739985581,-13.3341318808787,-18.1251286337186,-18.1209529779611,-13.5783376059329,-6.84817640175098,-1.76037055478064,-3.85009525868206,-6.711322381151,-8.52186137247472,-6.03861874870662,-3.10834409905232,-0.449060133103557,-1.37416108856661,-4.61081839789738,9.10494843174859,5.4132641385968,-0.01414529609589,3.07358348587653,-9.15819729383739,-8.52924280177752,1.01974833994848,0.546735775038716,-0.87680345961033,-2.2247160329807,0.122711925790528,3.01213334495464,4.5379572174456,0.05580984699915814,-0.03497662015450615,-0.17042670384263933,-0.3892528988738179,1.6774849528422655,-1.3276938310662092,-0.3482803027004945,0.4298889955456304,0.09951749945440767,-0.13651910546979826,0.11111453181601195,-0.04359055263239809,0.04551103183116271,-0.18089915585753633,0.167354892872311,-0.021187844262059687,0.011379607269273352,0.05282866407097821,-0.03890567590002681,-0.0023200126088989913,0.020785501395525072,-0.015992472948528364,-0.037981368585412754,0.012751089182168782,0.0823080683380032,-0.15965726543808012,0.025576240030346382,0.1978484427682467,-0.09305353024223743,0.015475937365420463,0.041550245534738836,-0.1423147933965465,0.33246087489146275,-0.11976783900727862,-0.02070237865939584,-0.008496931199039,0.030977901209615365,-0.022359780247418016,-0.15804683574329284,0.04952105493462191,0.08925814723555392,0.08995171969624816,-0.07767902132962701,-0.03251732461377862,1.5026881720430105,10.828724097811401
5,57.160284685474,67.6540521278506,79.0984549471241,89.9299001827532,87.48148936628,69.4063439854436,50.8931900425837,32.2042951775346,10.8571587327954,-0.406701132419896,-4.31978364431789,-10.4495852294377,-12.7718539710443,-13.6397562022233,-4.91791130945264,4.67524147191315,0.121111765420185,-3.96775208476092,-7.02628528174972,-6.54860273136852,-2.77936419899575,2.66219996590598,5.26705145215612,2.56175841152632,-0.559867284364298,-3.22847300955946,-2.82812835144599,-1.56180545726264,-0.0872282217941893,0.246201812733754,-1.6082942223653,8.02693038913957,7.8800546575323,3.52447064795701,5.73836097979795,-7.71187246882145,-5.29753532668302,3.57548808890537,3.59914628735109,2.60033695536551,1.27751159473882,2.6167425217311,4.62041410042111,5.65439903989684,0.0024205411424276517,0.03559952104612286,-0.025954585684987933,-0.09972102235414568,-1.3281235981079482,2.97008927446837,-1.4795757199855364,0.044435759885603554,0.006393634426122462,-0.06337376812230024,0.023221606677036457,0.007300238701935547,0.04717583369707322,0.001632184030350308,0.0022811677296380316,-0.07020407991064345,-0.004573064522088158,0.07693985105548327,0.01990308800662526,0.037087539797666894,0.006163594719478002,-0.09694351403077371,-0.00880799705688536,0.07654677237917987,0.06029736850229741,-0.010759867009120173,-0.03772897612889198,-0.23454473439165935,0.09451731914326068,0.08287750947877437,-0.0022648643615678365,0.05946181251682855,-0.24814154394163196,0.15884911098123636,-0.018939083095293647,-0.0009965426128463611,0.00581093669153378,0.04480755884021988,-0.07367998650353909,-0.00833029004560684,0.00017001051137597854,0.0060421174646931395,-0.038142226727956,-0.0017570494218583973,0.18705837173579132,8.330446805870837
7,32.9721738712609,39.742346698564,47.5139082873382,54.6835732020065,57.4453581279987,50.8931900425837,44.2384333138273,37.1092467677619,14.0521627159778,4.12335111641839,1.10376367406563,-4.27328042987604,-7.79223399222905,-9.62022820411513,0.554845672701388,10.8867293864088,8.44815988915784,6.1897014735673,5.07678104153958,6.11194548973979,9.13448518470075,13.2060095133975,13.1668146718073,9.65841504484273,6.08708530206052,2.16266873912564,0.150119678036797,-0.383927132723542,-0.0403960919253372,1.49121922707328,0.958009709843204,6.20873397806024,9.67535184357507,6.80624108164543,8.44207333265991,-5.83459819068932,-1.92661237661488,5.78826557534187,6.10058731786229,5.71280815827521,4.60436824476872,5.17082534167205,6.48997318036841,7.24056303338158,0.02194183397441934,0.029074531176078614,0.009301806656692937,-0.02237079589256414,-0.3563366778817263,-1.4813696057029735,3.949663666462415,-2.0043563604738495,-0.031542178643039265,0.03419938419999436,-0.022458439253869974,-0.030219588176923065,0.02763238120375679,0.13927185616027293,-0.10090100348099451,-0.017779063664937027,-0.004099342889289085,0.00455668558549438,-0.023067934376427204,0.025240563350595525,-0.002130911089667025,-0.01193059722693131,-0.006927386638258711,0.014569133065488868,-0.003124468006452897,-0.02428972288319462,-0.003559347904547985,-0.015297632321210265,0.01235975232312656,-0.0008365996135909263,-0.004407194273457965,0.02495357955332929,-0.08028186572809115,0.003982495153141694,0.027931913939146968,0.0574530826299847,-0.04775830786485939,-0.039997461039336164,0.0010884014009817937,-0.002412841968620524,-0.014296100683241832,0.00017018869073060915,-0.005885507719116554,-0.011157268759574282,-1.2253456221198158,6.650446098858881
8,9.05388517117631,12.0888858708834,16.1801502106345,19.6842563768975,27.4366152190035,32.2042951775346,37.1092467677619,41.4583920799503,16.9439164308635,8.52647242878869,6.57522781850464,2.16467917845121,-2.33775484298958,-4.92228881058133,6.21121179034194,16.7786238388996,16.440292940255,15.9942192665221,16.7693296444168,18.3356651241018,20.6487992478869,23.4250780011291,20.844386234378,16.5304653331646,12.4923886449471,7.3370708156055,2.9669065146125,0.633674256372693,-0.1681557206121,2.5700097463866,3.4051111380505,4.39254026617246,11.5049942314424,10.1080501682413,11.1381119859741,-3.98219082839955,1.20423994700937,7.61633796866302,8.20735361151968,8.48247861645978,7.620862203536,7.46203835874727,8.14170770499951,8.65368985809731,0.02449718262316759,0.023070880642169903,0.027648650383858196,0.05960937706395189,0.4262069915650451,0.04252065797990888,-2.002682882267484,1.608828944709094,-0.059202938766892574,0.16609101143301927,-0.09934946139972776,-0.01723520794438039,-0.008681265592873397,0.0731528693966481,-0.11678096330839241,0.052435066183887484,0.007518545529373547,-0.027640835786873524,-0.06274686414105754,0.018642875128983417,-0.012417705338192118,0.03815800078417168,0.005651210475676788,0.022723050227490535,-0.08452982914853417,-0.08870884061354263,0.02031555936778513,0.11479790083062201,0.060229383091551285,-0.0659997958693746,-0.0340199889275459,0.055320315492641554,-0.07832893384474646,-0.0021261051274649562,-0.01931670628455825,0.04408785285066361,-0.06571208870379103,-0.00961104897908415,0.12186622085208898,0.005455137879046788,-0.07005513057484462,-0.023231066271281388,0.023716683338016065,-0.017698995073232474,-2.5947388632872497,6.438042565869711
9,7.46418366259889,6.83871631853844,7.40924155956902,7.25204890146245,7.7498970670801,10.8571587327954,14.0521627159778,16.9439164308635,40.0082986339697,20.0586700436491,7.30304582704815,-2.24171110359142,0.124636236574465,4.58585370795982,14.4400617062249,22.8082618792175,22.67311388571,21.0258910775741,20.1726637820265,19.4732340480402,22.4115593096956,29.0540026776729,29.7570003802724,23.932440798657,18.2134284946363,9.82140338717325,3.15514064519799,-1.62442090298815,-4.66357550136707,-1.77795120366793,0.908368872803438,-2.34214759772805,3.5655718998097,5.95659773003027,4.92659975707035,-9.7726540426951,-10.4970943059874,-0.790149573331663,0.759232839897403,2.53581293576409,2.4263368077478,3.06613661747277,4.61777483957716,6.41595466896966,0.01405504191930973,-0.02013538216619208,-0.06965741012654793,-0.006666496627045758,0.09951535200235291,0.007175332067660519,-0.031056441193829224,-0.05881008425036629,0.3764715299024148,-0.17527549979834756,0.007255848088271071,0.07477670548438868,0.04777615484648976,-0.01297032787646687,-0.0033078212536072843,-0.018767279095856983,-0.021651496544984383,-0.16740407022248754,0.0013737415621804723,0.16187606170123517,-0.04431987275519655,0.012796498721608634,0.030197465686768104,0.0008819586524636798,-0.07010735966720587,-0.07963940611673376,0.006488198078790709,-0.05534454044757285,-0.011404255338293744,0.09644504185199565,0.05501980883711778,-0.03166679793031433,0.05392924591829977,-0.13595291054539238,0.021627658925752066,-0.06871135837992343,0.2285421151244895,-0.14923203967847157,-0.045298740321155745,0.09558220697898877,0.15199146340685307,-0.07509139381272685,-0.011694884949114241,-0.05535690351439005,-4.177227342549922,6.3244208141117335
10,-5.21649849162226,-7.83449742882867,-8.36697650286955,-7.79864869841287,-4.72198275201045,-0.406701132419896,4.12335111641839,8.52647242878869,20.0586700436491,41.5507983444274,37.532626428655,33.5874668030708,29.6951463328401,27.2105499443852,25.0563623139644,19.1560087383834,18.3098798918513,16.324914031995,15.2987014924162,16.350222749336,20.8564304289667,26.7705692820559,27.2979758443226,20.5037756246773,15.1924765607521,7.433476298202,0.461336011864462,-5.41002723460071,-6.84608349853807,1.69652023012004,10.2831002379274,10.1830025987927,14.4582331735237,12.2856757405082,4.48771145448049,-17.5806314089005,-12.0191563373738,-2.80540374287839,3.35569331446289,4.82748890697531,2.99252129809385,0.199783854447108,-2.81320033149851,-5.7908179859907,-0.06731311614678935,0.09838696546862918,0.041651950614141314,0.016876643492824937,-0.14065831797416137,-0.07138380105165859,0.0286743227819789,0.1641032878363022,-0.17625713751506888,0.8909079808734893,-0.7317611821834409,0.14374721439679036,0.0808718003978748,0.16482166384107896,-0.3387221652545489,-0.03717955423934823,0.009627797352112215,0.0983269349437785,-0.2993815733024588,-0.030885601362378345,0.0897135282919239,0.19695694376119996,0.04040738009682246,-0.021109571967021144,-0.24456042144677032,-0.08151920795082197,0.030479527896197983,0.1840183301318204,-0.02476445526531129,0.12741310233076394,-0.10003204311806327,-0.108671409044,-0.008814363965718577,-0.02006405032803242,-0.021250114287979186,0.033191066426965586,-0.10477348495733159,0.2550304491400694,0.08437253905682675,-0.08219698995769592,-0.2977103765438247,0.011209490060284759,0.027331909798875547,0.17901423747266576,-3.5933179723502304,6.445215151135559
