,Cov_0,Cov_1,Cov_2,Cov_3,Cov_4,Cov_5,Cov_33,Cov_35,Cov_36,Cov_38,Cov_39,Cov_40,Cov_41,Cov_42,Cov_43,Cov_44,Cov_45,Cov_46,Cov_48,Cov_50,Cov_51,Cov_52,Cov_54,Cov_55,Cov_56,Cov_59,Cov_60,Cov_61,Cov_62,Cov_63,Cov_64,Cov_66,Cov_67,Cov_68,Cov_69,Cov_70,Cov_71,C_0,C_1,C_2,C_3,C_4,C_5,C_33,C_35,C_36,C_38,C_39,C_40,C_41,C_42,C_43,C_44,C_45,C_46,C_48,C_50,C_51,C_52,C_54,C_55,C_56,C_59,C_60,C_61,C_62,C_63,C_64,C_66,C_67,C_68,C_69,C_70,C_71,Mean,Std
0,80.5069615704506,68.4194103743389,56.8237149135778,42.2764274068704,26.8741707066485,11.0560587690877,-5.16194649507809,-0.923105285578597,2.07245890611805,2.40189254202492,2.73736567087322,3.07916382719554,3.46408215588396,4.37248625338562,5.18455017683179,5.49146642165027,3.73028936733241,2.13500845392107,0.573730021340528,-1.19278795752654,0.471059757709448,2.07664401563971,3.7474804295821,4.81255302267769,0.035065913706559,-3.92248023598834,-9.08538762365841,-6.70929141819888,-4.24746742495408,-1.42307636987703,-2.78658224941622,-5.58488254443449,-5.2392271757285,-4.10464883435319,-2.55439302071374,-0.910630701811377,0.936099578230442,0.9729303488945538,-1.2515396675448085,0.27015471843418337,0.001981180419802316,-0.046633543275402894,-0.0009238340197143897,-0.0007498011983239805,0.05260979290000025,-0.005292440496728341,-0.005394467834207822,-0.022579679322598696,-4.833817779426557e-05,0.06894364668765542,-0.06437599395374209,-0.2163652499901907,0.11618041318722955,-0.05963215799222483,0.027051657907247766,0.0019067825206436583,-0.015483636977870845,-0.03613970993210395,-0.16499670406514733,-0.012683147945814113,0.1388818562278113,-0.005027604724500219,-0.052387144275799,-0.0031132246493994443,0.0574862932067784,0.004165876757977663,0.040953725342969545,0.003712859945022105,-0.020498869987691078,-0.09030313323289678,-0.02241878462236123,0.10017625063083066,0.032416876105885825,-0.01944907452004223,-0.0012288786482336903,8.972009895806545
1,68.4194103743389,59.167993495626,49.7475871606731,37.1340344711622,23.7037271069214,9.91981396482489,-4.27034604848561,-0.355560454538061,1.8283860622167,2.04027676885508,2.28005991570087,2.38024294732724,2.61956585898757,3.3725550848978,4.29476362379478,4.99485621886191,3.31648006617935,1.87009027097806,0.447069794461745,-1.21001133570327,0.242348277613303,1.58362380200467,3.59827760526325,5.13596540729151,1.84573065161182,-0.794797067581661,-6.35359794037143,-4.32388092232057,-2.39661028759905,-0.0876910662225154,-1.1101525369482,-3.53924862523058,-3.62261807900984,-2.41673473829451,-0.843229352646844,0.713260631314008,2.46129578697112,-1.2560758520132616,2.9127250339383353,-1.499367956416453,-0.26651752674824986,-0.010318235752965036,0.06310090423384421,-0.026580915459637734,-0.05072557598086487,0.03938292759002171,0.009011333869411683,0.010563090803570267,-0.0074614165410376515,-0.10321391004695317,0.0601447369837267,0.21861847272429552,0.06795947987184013,-0.009840244772407945,-0.051513887361215344,-0.026052727942765606,0.04071598555809491,0.1271930193566333,0.2748307730009142,0.027828643221041623,-0.05685813889771933,0.03586110922480023,-0.01210368407042234,-0.025161866362067704,0.03427647833679152,0.007290470745417829,-0.005713272193301695,0.005409041660652729,-0.027563889004494763,0.028242166564916887,-0.0011028842995257121,-0.04478516363061488,-0.016646489955295548,0.037664883455547346,-1.0765104966717864,7.691423372538146
2,56.8237149135778,49.7475871606731,42.7081555563683,31.9735572600217,20.4305449477318,8.57193967316308,-3.71042823600559,-0.108130237141935,1.93047078379823,2.06421411381052,2.24631885445042,2.223141260537,2.36320373241318,2.99107547434078,3.90010384093188,4.66002839125501,3.13434353431398,1.85889211455051,0.575196199403026,-0.876563525291158,0.849265735825459,2.50332233008902,5.14499431724711,7.39063215765294,5.00103298094188,2.54049812621265,-4.38241733019065,-3.07213429695125,-1.69387270028775,0.144328494011748,-0.543753650873072,-2.68326840118301,-2.5649112322294,-1.38466251676031,0.133904683589965,1.51867688947953,3.09646954183627,0.2678686794740115,-1.5016956283841645,2.3538707002613197,-1.0076126728661186,-0.1275822273680519,0.06379218944582268,0.259594198578862,0.11892163261576559,0.02593776916068636,-0.0006148737372164966,-0.023189177851287355,-0.01519908759571444,-0.07536075042373687,0.10481295167676521,0.0281813530868396,-0.21161186449029945,-0.0155151064615869,0.009058475360857465,0.0288332295189481,0.11742577275559134,0.010636090387311892,-0.03511307267644251,-0.09383974444267817,-0.1420893676566961,0.007202823463588293,0.0753727782677787,-0.03890420693590237,-0.02070126657181718,0.00010323354258215517,-0.034940560981798846,0.001986154894650371,0.02536533779044764,0.13054683408147516,0.0362280556556898,-0.03675928295952097,-0.10105633940114585,0.0013099008377703062,-1.8339733742959548,6.534382568871241
3,42.2764274068704,37.1340344711622,31.9735572600217,24.7984724582585,16.6328977059402,8.18027704900449,-0.804659781595159,0.806553821494413,1.2407990871076,1.25260744282988,1.31783891363332,1.34699919260664,1.42289787589761,2.11713279026841,2.83097751752174,3.49848574309949,2.47439633097218,1.58674208654512,0.682217971815571,-0.340437838408081,0.916910009719336,2.13402410623557,4.32020432860858,6.10820388293741,6.06586244140699,5.65457961593907,0.737421773509318,0.723063781996357,0.791941410668486,1.01965109168772,0.584603419723054,-1.26173307679561,-1.35436342363711,-0.41408454358047,0.841632354710779,1.94457164797037,3.23717609942299,0.00782477384167814,-0.26621691994443275,-1.0087990180948576,2.549862487367693,-0.9880582372998711,-0.19718815376845356,0.07642915783531007,-0.10386855796102029,-0.10608379834575277,0.0009590304109183895,0.10072905909970065,0.001255042181521401,0.019804236490217238,-0.00714172180510056,-0.015482269494779885,-0.13328330990593115,0.10971025871456669,0.009185543682602078,-0.013448919934056752,-0.1216387811398565,-0.11381481434756667,-0.06104218981717225,0.023502418029036364,-0.01116782975611953,-0.011496221607627151,0.016083895228052196,0.03928203198559344,-0.059477947584742764,-0.03242610025574986,-0.07223116814662595,0.002476883690296343,0.06131761763258336,0.1011101176899004,0.023451806758517837,-0.052856360962426824,-0.01631895190896988,-0.045290884054649594,-2.1670506912442398,4.978802311626611
4,26.8741707066485,23.7037271069214,20.4305449477318,16.6328977059402,12.2957336440749,7.53406543772784,2.18488837124265,1.40489263749043,0.511760693994211,0.629957629281008,0.79994603497683,0.596133509380877,0.645246593581574,1.32762276218862,1.81694961763693,2.38268037668103,1.80296106163808,1.22803128772892,0.638363156766677,-0.0804881486098495,0.639986432456633,1.36943017088568,3.07740726416056,4.40376952271103,6.31994014737592,7.57717551991289,4.86904572143508,3.7051132246791,2.67485656324927,1.51490852069826,1.30021352683508,-0.158795245301877,0.154916066428048,0.817757741113625,1.76916889739777,2.57654152961918,3.5370157803983,-0.04863483618794641,-0.013394192128713673,-0.12837978510899817,-0.9845617991935297,2.5457617782316917,-1.1616324631975348,0.013890498480902276,-0.10407505239742969,-0.017648660970649613,-0.0011396238262499614,0.008302467401025134,0.05726174207957427,0.14048006845469171,-0.14090914921277067,-0.07308196810174586,-0.053836652169561294,0.03156356022377187,0.0002641039449148141,-0.007922531793026011,-0.026133669835796125,-0.02541471210877366,-0.020294575465183744,0.01904689757051687,-0.008475510675271096,0.009976468036848773,-0.003266716342375831,0.033406540328011256,-0.04890115037429095,-0.017836423796220493,0.02912935578892491,-0.015463843768899923,0.004761816287704311,-0.03740733091848092,0.019732737565864033,0.012355203564355086,0.13011136122289602,-0.11814505609278782,-2.3420634920634917,3.5051010889951404
5,11.0560587690877,9.91981396482489,8.57193967316308,8.18027704900449,7.53406543772784,6.89660611235733,5.45681806160989,1.71622419456733,-0.239715136540723,-0.0651360826585961,0.166987680427121,-0.202311152200211,-0.160322124234166,0.389823090667149,0.589540604635919,0.995932253087183,0.905753880277499,0.70667756626264,0.487536761126698,0.142923580760877,0.393861519758638,0.730107085372396,2.24970772838816,3.40331064680716,7.22178413487161,9.99196051806978,8.32535694096114,5.96055630058144,4.00856747684244,1.66229729871739,1.48705891102039,0.333519663106944,1.5129540212775,1.87157799305766,2.49472293181667,2.99652560116216,3.56209233698652,-0.0012136622494716973,0.06667684655037245,0.0626615754267636,-0.19705376912125364,-1.1637381525357264,2.3466303224379343,-1.0100918331340951,0.046169835863180964,0.03858925218946553,-0.008082655107149781,-0.07784083504865677,0.021291898198604473,0.021950485919041227,-0.005741889908760278,0.0588163630187332,0.08826234758681097,0.022637763402215613,0.005600471223816534,-0.0017162629319680013,-0.01061400851531248,-0.004627135051443607,-0.028523472876040346,-0.012370787368483101,0.002944897244589193,-0.01525765687848183,0.008313498019892424,0.08921982035633111,-0.1129219071393865,-0.04369268902332714,-0.0016739179197204934,-0.0008308896416858581,0.03769369125420618,-0.1555321439735786,0.08787674621485402,0.008508558172455697,0.01621210330083276,0.014615435490685207,-2.3383128520225296,2.6242343859414174
33,-5.16194649507809,-4.27034604848561,-3.71042823600559,-0.804659781595159,2.18488837124265,5.45681806160989,8.42384609757882,2.10167011947678,-1.02862237397035,-0.76610259547589,-0.446552252055762,-0.940995443819353,-0.895628778399107,-0.492210152467599,-0.501573707910145,-0.192006633852499,0.163301061728691,0.25532796649748,0.335567994210206,0.276571568819583,0.0175312203210885,-0.0952096888411162,1.1132558502441,1.96458160925607,7.28154494584149,11.2117354900822,10.727382492738,7.34566163044109,4.60125408100533,1.27924696462862,1.21388069671553,0.468217321590863,3.13390933331371,3.35331781434538,3.72864043941943,4.00665992464572,4.2407689589981,-0.0018846302871238898,-0.027736360406321624,0.26039911785814385,0.0765817271911028,0.013763461811516017,-1.0097830545522335,1.0904577630495527,-0.051617873391013945,0.06291022911960022,0.02326389465725533,0.0005941315499020258,0.0032533172511200535,-0.045455563058109945,-0.010838083188901662,0.05595971193641504,0.03421716238309335,-0.07463744632098877,-0.02657259125376322,0.011447861509618504,0.05017479992338101,0.09531714853955853,0.042165533320347684,-0.06866992781915907,0.05141287513760964,-0.06931136599480864,0.026953579521897975,-0.08946523587556796,0.159820516754381,-0.04815423044466883,0.028301265127882103,-0.01440453556993899,-0.015059084792703178,0.11459950836737633,-0.037888802097487254,-0.03212623064660604,-0.11613820215888206,0.04848262086609927,-2.2109062980030716,2.9006630444742827
35,-0.923105285578597,-0.355560454538061,-0.108130237141935,0.806553821494413,1.40489263749043,1.71622419456733,2.10167011947678,4.37734785311974,0.293376831931648,0.363225538137851,0.489323163197047,-0.150436584383884,-0.265051579577665,-0.102590923962736,0.348355781665909,0.975543206358127,0.974601821689286,0.717621321322863,0.445611738640197,0.0668708522080107,-0.112658001289841,-0.271619021446573,0.830419501593441,1.47983498133287,3.67807606807451,5.5466036112395,3.12918404391472,2.92316274872478,1.57746545241385,-0.156388627860192,0.22996451780549,-0.512020389043349,1.42887692041219,1.73431945890914,1.97159941272388,2.21721296255814,2.61262011907936,0.05446171075623698,-0.051154723724606006,0.11938703458591968,-0.10274514040267434,-0.10288336571778575,0.04613908120414483,-0.05189081011540296,0.6210723872309353,0.0006643730877808058,-0.004609680838301933,-0.006834748754523217,-0.005019394146898347,-0.03217981097412994,0.07973661092925707,0.0418998839804562,-0.039099370274676186,-0.09870830022738791,-0.035357513034157434,-0.02364735580362445,0.010153046014280326,0.05609366349477242,0.03501039524108383,-0.15924526014514642,0.08634898076854355,-0.0075144613863224585,-0.0019794696421138198,0.09859079317687726,-0.10204483664844928,-0.08354750375564735,0.14194255585443982,-0.1390398266079405,0.08137190438602449,-0.00430453152772478,-0.018921156157573896,0.06104115457339918,0.052749035668516624,-0.09285360468275519,-1.7828725038402458,2.0898200528083137
36,2.07245890611805,1.8283860622167,1.93047078379823,1.2407990871076,0.511760693994211,-0.239715136540723,-1.02862237397035,0.293376831931648,4.67451612903226,4.80080909716996,5.0756981769211,3.20897913711117,2.73328218290978,2.22925782144172,1.64087496590255,0.959027818169202,0.809525224529683,0.629953371223446,0.541823714236015,0.332967422674598,0.385807125965683,0.774767375193138,3.8088687097426,6.52329672754021,3.81241206879004,1.29747657559922,-11.8850759733121,-7.22152619151643,-2.8735302664972,1.47661179790837,2.55119160903814,3.80762562017676,2.09029508642314,2.49677997525148,2.9983141647582,3.87632187411514,4.81348726216,-0.0075296006336702725,0.04032962654636207,0.029916394015739096,-0.11096171198079935,-0.016735705190554246,0.035740613903744334,0.0651681895038355,0.0008686304942508369,1.8304740182510149,-1.8206755464433895,0.6553024678626072,-0.684352117615627,0.4043888588801428,0.052823456868528136,0.07109473610635506,0.1061514397678853,-0.07860631484691902,0.01603048382603065,0.047433885965279754,0.025460073201606478,0.08985375432668259,-0.08260238663741581,-0.03398256825928927,0.033116687871850244,0.02362269568161247,-0.08167617590210471,0.08689181092504548,-0.010847428486695839,-0.08888824131290823,0.12529777353685703,-0.019081408798716948,-0.03728366359652932,-0.0685216415348061,0.04812539992674337,0.07838333841725716,-0.010173771428368554,-0.057656028573450514,-3.2580645161290325,2.1597490893694706
38,2.40189254202492,2.04027676885508,2.06421411381052,1.25260744282988,0.629957629281008,-0.0651360826585961,-0.76610259547589,0.363225538137851,4.80080909716996,6.52537813620072,8.23617020215516,4.59492428885353,4.27037366779343,3.67547813277949,2.79852671281637,1.85294310770999,1.53534031007283,1.18263225796465,0.992599287108373,0.389318759981961,0.0733096749336662,0.139711469586742,1.8540909138606,3.24078308688,-1.43788436103276,-5.92246440111526,-12.8847963965384,-7.65969488198487,-2.62859976038185,2.3518499709393,3.45637000401128,4.75520327264346,4.0589607201577,4.7718284856641,5.62443289627222,6.85415996443226,8.1394653950573,-0.006600663523571491,0.008764695006523411,-0.00017611537628306936,-0.0004088469236651053,-0.0002633948978722733,-0.008509510787684957,0.024796998602935275,-0.006430143322346229,-1.821468833601764,4.217710319176572,-1.9534669552140769,-0.2511877181518038,0.00924515150008148,0.061425509536057514,0.007518858726767492,-0.009726614103555704,-0.01923107921278433,-0.01613191390030982,-0.03584687196668913,-0.022313247309459355,0.022504982742733878,0.04423936531139956,-0.054806767789332425,-0.05020869621876428,0.008951828340072288,0.03648935863179537,-0.019726312843046795,-0.0006816486199412582,-0.00866925007434796,0.018680261718684973,0.011299194981977005,-0.02128002265968936,-0.007644744886198194,0.022814550062642155,0.02448226483793725,-0.007451587557445401,-0.036012766860116986,-2.786559139784946,2.5525238757356834
