,Cov_0,Cov_1,Cov_2,Cov_3,Cov_4,Cov_5,Cov_6,Cov_30,Cov_31,Cov_32,Cov_33,Cov_34,Cov_35,Cov_36,Cov_37,Cov_38,Cov_39,Cov_40,Cov_41,Cov_42,Cov_43,Cov_44,Cov_45,Cov_46,Cov_47,Cov_48,Cov_49,Cov_50,Cov_51,Cov_52,Cov_53,Cov_54,Cov_55,Cov_56,Cov_57,Cov_58,Cov_59,Cov_60,Cov_61,Cov_62,Cov_63,Cov_64,Cov_65,Cov_66,Cov_67,Cov_68,Cov_69,Cov_70,Cov_71,C_0,C_1,C_2,C_3,C_4,C_5,C_6,C_30,C_31,C_32,C_33,C_34,C_35,C_36,C_37,C_38,C_39,C_40,C_41,C_42,C_43,C_44,C_45,C_46,C_47,C_48,C_49,C_50,C_51,C_52,C_53,C_54,C_55,C_56,C_57,C_58,C_59,C_60,C_61,C_62,C_63,C_64,C_65,C_66,C_67,C_68,C_69,C_70,C_71,Mean,Std
0,560.20936155914,143.338949376321,87.4041249526917,67.1686446968585,159.148605593016,5.29081113459377,-22.3726847481801,3.23893387116499,-9.58426763348326,17.5648649051079,-12.6896310516664,-17.5236733013276,-33.5083934077799,-66.8756427080569,-44.2921531421409,-17.3205435523013,-24.1711955016936,1.15607920840455,-0.821788809469315,-9.48481666031933,-10.0291981795063,0.60133803562461,-13.6832261009874,7.64929104422342,10.0631364731851,21.4264392226866,-6.48034137575816,-8.62244111700722,-20.7068860334994,3.75632107242824,73.935821596359,-29.9283817363825,3.45495941771605,-28.6050186650337,228.606700443298,90.5729839007377,-3.07891691097173,20.727727780288,66.1951513429862,-29.9676315675316,81.5117031652539,-17.8555425099988,63.7167342714011,-23.0411224852112,65.8933808659715,-40.368381403008,36.7224395844072,195.325400714851,-10.8900921707323,0.3804539051919763,-0.13243633031270513,-0.1783319886656455,0.0014802052073953373,-0.13459547773169483,-0.06607824885396874,-0.018964078553611798,0.08463024660334469,0.03603715135574909,0.1079860022234051,0.0007980288707522257,-0.03017067591362672,0.02251692060553333,-0.014847923662588032,0.23991248960316877,-0.016312135748179375,-0.05965831000016616,-0.0710745809210011,0.014146425706190749,-0.0637437201972819,0.04860105092700035,-0.012550408263422293,0.11692571114683982,0.16639473528653698,0.014735247906026476,-0.3256281789140039,0.1616218091216831,0.10433229039708088,-0.029296422088082277,-0.0811538693127058,-0.10540718228311285,0.4073137070440087,-0.2763426217765592,0.08574148457886237,-0.22109406436151716,0.049966052584656445,-0.11257746990185229,0.12812137964321874,0.06264612890030748,0.008661262247300919,-0.08324320924429963,-0.08622313687352165,-0.17596212185938973,-0.1828422026257718,0.024059477257870825,0.25785218475454474,0.08814312229346911,-0.19922765988293256,0.0024910251965050514,4.706989247311829,23.668531039317582
1,143.338949376321,413.968584168434,35.789500592124,60.2170505313565,14.3716641214643,129.852701339178,13.5128466940224,3.38098260288868,-4.79162724874999,-7.88930382961765,-11.307475618076,-20.7447385139407,-37.9885584932427,-48.1097595603288,-29.4702091778219,-5.33515403080639,-24.9203349727642,5.15103971759147,5.24943885300321,-5.13297551730031,-4.7377670457232,9.76783240208663,4.3015044064042,7.84298187824238,2.05235475629502,5.92748427348596,6.89366360060779,35.3547249137272,-27.7458918803065,13.7679855347789,-3.56987298619121,-0.245365148398088,-5.40724333281868,-25.8156688717471,-23.5652028649434,233.238104480301,0.917794301017396,56.4489587031125,-43.6769820714845,-28.2655830688844,-25.7018295256081,-4.8090439538708,-30.0809932981061,-43.2449762515426,-73.0255879988328,-41.9416695096745,-5.82632027849516,1.94694217606929,-26.032888518828,-0.13709508555584934,0.5267356468310306,0.005083893720440931,-0.04345002774937464,0.10165591679821222,-0.2294514572930444,0.11714915955571491,-0.2244027001538445,0.12190954074169846,-0.17014494381942516,0.13900934011641014,0.2928290498415836,0.01396780249729872,-0.029041802576723858,-0.14073840237566476,-0.01956989372228117,-0.1508538169102006,0.15044396471899607,-0.16361696474189993,-0.030637202822138998,0.1871903747628004,0.11823196103783232,0.06826863435657832,-0.09635017524494942,0.012887410175325324,-0.05545172874361449,-0.2526435866777457,-0.2268018953270602,0.019532027818398037,0.20771289656800845,0.2943396839694377,-0.05902705662336596,-0.09475265742956561,0.10489321561756262,0.10902266091059581,-0.5390370525236843,0.05842274386955829,-0.08245100967863092,-0.13765346211134433,0.04231701787702328,0.12012188844173742,0.19541667821071632,0.05398506856417196,0.11761752125940535,-0.042631619556417984,0.11412657981846684,-0.18406506765296718,0.08085910182991819,-0.05948701641883704,4.418509984639017,20.34597218538437
2,87.4041249526917,35.789500592124,136.681224063102,67.3800047910761,21.2681939306156,15.4363568290144,2.05650157179428,0.520104750683195,-2.47095007203529,4.57154273308745,-1.89451149513712,0.74201988797273,-2.07776619777752,-20.3506828934,-19.3825481666531,-1.55633025883991,1.11071398754004,-1.87834273701325,1.64450521452688,-5.73495270386767,-2.45615793657815,-4.75136484799706,-11.6951809630759,2.81407506984546,4.02264866483316,-4.9757112681769,3.16239162628627,21.6857345117835,5.63264405477415,1.71889221409137,5.83596316066727,8.61343766607001,-5.37472057758361,0.623076560736505,15.8865285683204,5.1569156272536,-8.47838258193203,-17.2008527492821,-0.618290420380571,-27.6127033925954,-0.287776641469289,-4.47896032796394,-15.4604708689086,-1.16465914131497,-6.2667980375079,-4.54852799179631,-10.6576926005842,-9.49827795461605,-28.7911865308951,-0.1759636191005139,0.004877621409661456,0.37029497716893084,-0.22178366113808728,0.14699638119374525,-0.002327010650790012,0.05550962392145873,-0.16333876237298886,-0.06523017389274366,-0.10104091163664626,0.01936292464549497,0.01008081392929987,-0.10617748497898503,-0.07403831146944961,0.2480053658076004,-0.014344322483110438,-0.048449189375592124,-0.017770042028123666,-0.22070875852982894,0.03475994247316307,-0.14247796699698947,-0.12532160837540182,0.023156371955664088,0.029744800644330632,0.07562513230917721,0.390221506329888,-0.026376526044162688,0.00946810360155298,0.010357060100551778,-0.04150207310766206,-0.014032039563612236,-0.21195094159554795,0.21884381664587507,0.022700217999511992,0.031498701705730256,0.0928577956022343,0.045975720449441274,-0.0566614653207786,-0.033531125502910375,0.22871553424884097,0.037773453449982314,0.002952047369302104,0.19894220485866432,0.036721292569168604,-0.0019763790028606266,-0.3071281818083538,-0.2054330502659942,0.11758281839560501,-0.008533301381723774,1.2154377880184335,11.69064686247523
3,67.1686446968585,60.2170505313565,67.3800047910761,169.408073476702,19.977899229821,30.3282357876812,25.0618447797175,-0.628609180314712,-0.0072862544443345,-9.42695199729076,5.81179857626856,-6.20544079054174,-19.1701804148607,-46.7922304480302,-30.9074312758227,-3.4682790141123,-11.6709855277277,4.06914873819136,-0.449752592433055,-7.32275499568049,5.65001303746322,-2.14310416428587,-4.87349527446909,9.62862430006696,35.309164719959,46.2945187822635,44.5790730970378,28.551915487199,4.17560313773483,4.73008118755398,2.43502027397992,-8.26340333724653,-18.7879866167631,16.5479975227396,-25.6151156519938,-3.21863654574149,-17.9671376817501,22.0790319133913,28.1417050911495,12.4696774030257,5.86763844799725,8.75396186474252,-6.0697639287367,-38.6422506998254,-62.352837872581,-21.6112048048201,-6.67217232690739,15.2211561401176,5.60785646374425,0.009254493714078205,-0.041447747380049554,-0.22808693820977546,0.5928244367759047,-0.3533600614996732,0.06363202203139616,-0.14743281414589038,0.0013887051651831684,-0.07557366458945117,0.2874361378488536,-0.1266510605391795,-0.07677719226446847,0.023801900811543972,0.13207301795816342,-0.14138831775244087,-0.1781465462573841,0.1409256992588574,-0.1028841794882942,0.17133554983474522,0.2191646133404136,0.1530602340103513,0.22088375581387584,-0.16310211275815711,-0.27206386873927635,-0.32803972963486977,-0.42405131500085097,-0.0807820236753114,-0.06780838156788165,0.2197810202626788,0.011645818811569444,0.0757943577069071,-0.02807349399850097,0.06753604104187806,-0.18402889002703182,0.12895647802736684,-0.0769481645179935,0.037009364495938064,0.18830017196909543,-0.20730468023031487,-0.2139724585399265,-0.16339735685307732,-0.027954254950354872,-0.06557025187592384,-0.07836039058715456,0.10476060318965996,0.004286908737676347,0.22679169378503855,0.10576173423224274,0.00456946013832801,3.03763440860215,13.015301513092291
4,159.148605593016,14.3716641214643,21.2681939306156,19.977899229821,81.6200627240143,-19.6996471377331,-42.7377542520361,2.16977757692613,-2.76349079788729,-3.50122248151625,-19.851149814635,-26.3694336600556,-29.7212528827898,-46.100335676077,-35.4640873199866,-13.4431559627635,-3.68145254204178,1.34726643351855,-3.74561183720165,0.628235407774845,1.98897317746211,1.23117270237709,-2.12490213821813,-0.133878290108239,7.94909433042766,-0.69269803199819,-6.27799107052457,-14.3274434242098,-9.51816181146666,3.86745916527457,26.8155984601606,-4.73888062341577,2.6167941761539,-7.42880347913965,64.8400600218156,-7.8983990429517,-12.9891622603225,41.9210438012836,48.180451260492,-13.4782209358557,22.5549312566975,-1.4052701671621,5.43004246699126,-64.473576201597,-63.8262020382342,-53.2056769298245,10.5197770799295,65.7658062473311,-12.0033380120741,-0.1499862126579482,0.10166562944278343,0.14478432875973962,-0.3475261802706599,1.1844777772574426,0.004495289803250297,0.17619964090200765,-0.02564619180050314,-0.0014323332915541277,-0.38143855333149,-0.010794369040413957,0.2899411924227064,-0.06330775352381222,0.13332030969897127,-0.009487986275921668,0.03668458987625241,-0.10353978090065116,0.3966171188193995,0.42819697802562384,-0.30367238318731277,-0.08541380122161901,0.018058169719445315,0.05791186631476913,0.24423870234402875,-0.11359197281318205,0.163908720502847,0.18224786954039565,-0.012713655897880052,0.1979587336589928,-0.07240267134014161,-0.011767188068041057,-0.46837334285992227,-0.05010651309348886,0.33297094563649826,0.009352188255831497,0.08166821662807415,0.09832284461921015,-0.3295452848357802,0.08659547911498873,0.46511759825122456,0.005513189690724587,-0.2941319935066067,0.050573069571039624,-0.047799362026245136,-0.18885355159534,0.27779395485887853,-0.06699657796865731,-0.37354263369637,0.1595284664507046,-0.9779569892473117,9.033828796474634
5,5.29081113459377,129.852701339178,15.4363568290144,30.3282357876812,-19.6996471377331,132.796221624851,163.799497995912,-3.27898042032535,-0.368403784548267,20.887745801215,-3.43415645721966,-1.67832257664827,-19.476628616036,-29.7726304782907,-16.6621106883057,-2.41630162190091,-8.76445643892743,2.94438123450277,0.326623292372732,-3.56598842086099,-3.95727980972733,1.82049883735106,0.819852097887136,2.15033438411078,-2.81772466003977,-3.78930886453281,-2.70588586059702,0.0646662268529436,-6.99763325004445,-0.862919095431394,-12.0709674965575,-5.43776081365571,-11.0688268986561,-14.8000728973372,-43.7288658390327,68.5225517583598,-6.26652748649788,38.8859176175679,-21.1000688225118,-4.06697892439063,-15.7344387520687,0.721058224254933,-25.0510986180088,-21.6519013482304,-49.346153738743,-10.3445915661864,-13.7340696613534,-21.8827348569249,-15.6579049534051,-0.06650188526318573,-0.23811687295884204,-0.002156445013350314,0.07225954128341615,0.007153739027029882,0.9668414411499362,-0.3368278369028795,0.8351610730730117,0.28220392214657986,-0.4370427771929715,-0.1399229923472909,-0.05143968933980741,0.2373737885466129,-0.015393517622372711,0.08522062902809183,-0.026751200000571494,0.14228309260178815,0.048213014092230694,0.08068750199732798,0.2937454948241046,-0.09316426330490138,-0.27056007217251016,-0.0024161197595418712,-0.08714814708402718,0.12115681694726566,0.03256449795075092,0.059535928643111954,-0.022360429632494374,0.17954018453249168,0.04145486002747384,-0.07993307769806607,-0.20910083937838875,0.2268512764580508,-0.14145908537415783,0.1900425714155902,0.0024078779514497754,0.06731401179030681,-0.12926858793925408,-0.027566880248206988,-0.17236319618212326,-0.04960379598385133,0.05023128995030596,0.12788350288819825,-0.45186088944762215,0.23844047702595067,-0.05155137151892738,0.037318133473792085,-0.024479324771413544,0.11247738234573197,1.4123655913978497,11.523290399224113
6,-22.3726847481801,13.5128466940224,2.05650157179428,25.0618447797175,-42.7377542520361,163.799497995912,398.41462962963,-4.20729898841008,6.5765123270063,36.5308419904593,-4.87708282148034,-4.3672296207239,-9.57111978948497,-16.632312152262,-6.2509615303437,-3.4869914084338,3.436014939339,3.27603883027304,-3.89986417340759,-2.39590018455111,-9.39560506269475,4.56142471871149,-4.69735895579418,12.4991974913259,-3.39346182142516,-7.41900775312006,1.01243803487131,-8.51045162424435,10.61382499958,0.686292738000079,-31.8716984240802,-12.6134252457164,-3.63126753889932,-34.9048272972863,-39.9521039669125,-8.96439636039068,-20.9219404999216,-16.56999744732,-51.8064780294013,-37.001176249702,-42.1882803928894,-5.77946379585375,-61.6420912944803,-46.4549856121796,-77.8363334958938,-19.9210688595045,-45.1081684863277,-30.3785264060444,-31.5241103004986,-0.022498978804810107,0.12615684307631067,0.05511439583667376,-0.15022290629422827,0.1753821213901655,-0.3372973358327147,0.23973320490778716,-0.3108534260908223,-0.0852812343533048,-0.015028546848780683,0.06557162754727629,0.10353409006512489,-0.07558229506832015,0.012504247833340741,-0.09478428742058462,0.0063555489314778375,-0.0696339719160795,-0.02023567068576849,0.02362411571244476,-0.2054060417703204,0.1173444335531604,0.058646516421894966,0.04015276006877868,0.03254764337058464,0.032147933089470636,0.07309903585792796,0.021390225078273192,-0.0013198420960593095,-0.17198774377825327,0.009376650477229277,0.08500317946074895,0.041007315481720145,-0.07427425931315357,0.08133137854428465,-0.07096039901327848,0.0046875469558406435,-0.031003903259692715,-0.071957440468013,0.07911308384139464,0.15617029375181296,0.07919304449892431,-0.036766059577589175,-0.007532734058871165,0.1953836297076091,-0.06449074193690651,-0.10617635146796445,-0.04528821473968138,-0.0946682361479788,-0.002327897225894955,5.999999999999999,19.960075892381514
30,3.23893387116499,3.38098260288868,0.520104750683195,-0.628609180314712,2.16977757692613,-3.27898042032535,-4.20729898841008,3.85277180406213,0.357367625600195,-0.183326079980117,-1.25598815836004,-1.22260333322223,-0.634101078948835,-1.58325250914983,-0.253812849220107,-0.41470877724443,-0.799342588239404,0.677393826219874,-0.713970816751369,-0.759326190237691,1.8452892248799,1.46847920881135,-1.44009623187771,0.12609325412388,1.22535633739499,-0.730203131204732,-0.990181585197332,-1.41111947910264,-2.16031177321926,-0.90063214289673,-0.177945440876926,-3.32240051981375,-0.183545420161985,-3.17221537986114,-6.05907694703431,-0.362645292354084,4.20663090926896,5.99291602559348,1.00391134486694,1.82595544320971,1.63881358415745,0.75793920997757,3.87239458733841,-1.66175597300514,-3.65216112297698,-2.16463555037207,4.3819847292048,1.11117500888624,0.751650356846193,0.07865196745623612,-0.2241501183892253,-0.15014091904109816,-0.003249480986397135,-0.022766995124402403,0.8380804455372574,-0.3076340262450817,3.124519322795586,-0.006539619170498807,-0.28902144491392084,0.0221438583547529,0.04241862413443944,0.09826975776421142,0.1776316066304951,-0.044683119699677344,0.24511238439142713,-0.08996528401729874,-0.4348535617108969,0.17609636690256814,0.29064826983018566,-0.4124442594086897,-0.21926565865791584,0.22819033397054148,-0.1911608541306344,-0.009419009247106508,0.03936617030137944,0.2474948353155837,0.06241177908959329,-0.058247541115566265,0.3124458517021073,0.22698315353081427,0.11618433324477996,-0.06593918881739726,-0.24594376177418178,0.349205523611345,-0.037906354143524994,-0.2856066678249349,-0.22780650118414134,0.21163897910437832,0.3623986830668719,-0.39896751062913544,0.18291295544400138,-0.2701653495028232,-0.01782062434501907,-0.2684414083018744,0.5842760656732623,-0.11563263435659879,-0.0029138845263569513,-0.21425697638002755,-0.9731182795698925,1.9602989068155208
31,-9.58426763348326,-4.79162724874999,-2.47095007203529,-0.0072862544443345,-2.76349079788729,-0.368403784548267,6.5765123270063,0.357367625600195,2.59003225806452,-0.237622386005894,-0.824158106444243,-0.801946953824629,-2.12804473496554,-3.09026549781357,-0.947883099861598,-0.154113911042124,0.156643476733902,0.408715840756314,-0.45912718548061,-0.588811408401379,1.83295312670924,-1.70223894074137,-1.09400855322424,-0.0345051836698681,-0.136676380832808,-0.43719463532357,1.58382430394461,-0.433387288898033,2.8923725474761,3.20218060383097,-2.23879651150347,-0.72572301633567,-0.0752019927548619,-2.06577545640452,-7.91916209594203,-2.1085064042522,1.40117432482322,-3.36385181399498,-3.55279346173151,-0.52685117148667,-3.47557933298676,1.11315099647039,-7.36085029701678,-5.6398805616506,-10.5702021612393,-3.84942674780685,-2.36292252175656,-2.98549093553365,-1.61705305700469,0.05253160231113963,0.1298771553014234,-0.08686502178421932,-0.04433546139284683,-0.04495611568329829,0.2387386931550049,-0.07626883111662885,-0.007200138124166186,4.373423668105118,-0.18427138248542657,-0.2434483132530331,-0.15992447042050728,0.22743582672798682,0.026401371781572987,-0.20654932444489,-0.052734486747232634,-0.13748884250806476,-0.08144672442991807,-0.02265949314475906,0.29860281134992983,-0.4448964613010601,0.19509467363607355,0.06647259317282828,-0.09782808458370452,-0.11780311509352111,-0.013956064945754009,-0.050173302846252606,0.42932990062376486,-0.0640642543898244,-0.9395407259723827,-6.947342606125068e-05,0.19525220492533604,-0.16470969318838052,0.22484216425072603,0.14362302917247258,-0.23086361519545096,-0.17955012406014506,-0.07691017987767733,0.01666039777928896,-0.3157472737602491,0.3456892806816898,-0.10901789579509598,0.4976296101046256,0.05111919240093581,-0.12391955931785356,-0.006066674935313794,-0.03683792540026426,-0.22013251592695665,0.19993906140328827,-1.464516129032258,1.6062478818863903
32,17.5648649051079,-7.88930382961765,4.57154273308745,-9.42695199729076,-3.50122248151625,20.887745801215,36.5308419904593,-0.183326079980117,-0.237622386005894,28.3490681003584,16.474993946255,26.1344945040706,22.9452366534586,18.3558545716855,19.5748034245704,4.60376554547263,-3.27378928738461,-1.50249290986972,1.5069181487369,0.841565697161879,-1.50139872068,-1.70922892548715,-4.11241983575663,-0.156614001585326,-1.60102278072451,3.53036438586417,-1.1546954536147,6.11492301687004,11.5399519732325,-3.09058459458563,6.29538746170585,-3.39563518084038,-4.01440880269771,-3.5166667182994,15.1468194935883,21.0213639752806,4.65844204573139,-22.313098508078,-15.5366584907696,-5.04513470481959,14.5270719082692,-1.0458966322288,23.6937702734333,59.6676300413206,94.1224271491947,36.9766086214607,0.870985934679618,-4.82425169625832,-15.8073085666751,0.12487065563825284,-0.16065721429723637,-0.10211604072615754,0.29257393459853487,-0.39557868928741124,-0.4433476728515972,-0.018831793249523554,-0.29123985630500343,-0.19259651458446472,1.5594265763468609,0.009929618485009938,-0.3166215903177337,-0.14622822053841036,-0.04960894876094246,0.35815375888485934,0.22914655709703144,0.072787639342645,0.14034697375661287,-0.034325381431849836,0.48850844496679524,-0.036358529013424096,0.10656378393294355,-0.2551500010703163,-0.009787245333908538,-0.36749728256453784,-0.025713458586005915,-0.1392593069375507,0.43272061169570936,-0.392582222780138,-0.07549987602856364,0.12635986754136846,0.060375748699137595,-0.14501333558998736,0.07804199371506383,0.1439345782445719,0.2690019449105436,0.18151514653737907,0.18715410958609766,0.11198440869467145,-0.034538208614197145,-0.5101165483747412,-0.11744723415981488,-0.07978859226821831,0.30588646348079995,-0.452291212039343,0.0871789082597935,0.11145768546360649,0.001892509858880849,0.1468689429808846,0.6397849462365592,5.323445134530685
