,Cov_0,Cov_1,Cov_2,Cov_3,Cov_4,Cov_5,Cov_6,Cov_30,Cov_31,Cov_32,Cov_33,Cov_34,Cov_35,Cov_36,Cov_37,Cov_38,Cov_39,Cov_40,Cov_41,Cov_42,Cov_43,Cov_44,Cov_45,Cov_46,Cov_47,Cov_48,Cov_49,Cov_50,Cov_51,Cov_52,Cov_53,Cov_54,Cov_55,Cov_56,Cov_57,Cov_58,Cov_59,Cov_60,Cov_61,Cov_62,Cov_63,Cov_64,Cov_65,Cov_66,Cov_67,Cov_68,Cov_69,Cov_70,Cov_71,C_0,C_1,C_2,C_3,C_4,C_5,C_6,C_30,C_31,C_32,C_33,C_34,C_35,C_36,C_37,C_38,C_39,C_40,C_41,C_42,C_43,C_44,C_45,C_46,C_47,C_48,C_49,C_50,C_51,C_52,C_53,C_54,C_55,C_56,C_57,C_58,C_59,C_60,C_61,C_62,C_63,C_64,C_65,C_66,C_67,C_68,C_69,C_70,C_71,Mean,Std
0,5580.63308065735,3451.65820516374,1243.67243845394,3115.79433648103,2371.03109606839,1601.02619277488,840.150998355218,29.0895820907144,-0.872138033068574,18.6392297100576,11.3680246521015,134.589475496289,156.806145214356,201.234021136865,-53.877677094291,11.9862462982526,-34.9426001072564,-115.695316244595,37.882796495386,38.496245707926,-2.634500738262,-39.0064370740002,-43.8898661466845,-68.4466687684586,-60.8676234548773,-12.3760285569796,-50.5297007580836,-72.2534340816711,-35.4827662993854,-84.0819368548862,-136.100001359612,-143.552879504156,-54.8813108338946,95.5803340908068,178.048544403247,112.102775694743,-160.730207161928,-222.093255790126,-215.469134584844,-137.2793500614,-19.2866390434083,69.0388132163809,-184.623093351723,-205.786104244683,-256.606574166252,-146.026200069985,-35.7931688196041,18.958298915379,-156.880095441985,0.26070916864683774,-0.6750399897172515,0.5337921858669693,0.09025744834584914,-0.002661167743678389,-0.038471629839684524,0.06944317625711263,-0.15650159567761954,0.01528017217697966,0.08428015419544456,0.03397690970191884,-0.11148485132054156,-0.04533292751990473,-0.07530841069953849,-0.005359710158061481,0.0025168695203857602,-0.014404921954941162,0.02850292355575447,-0.04434663063856656,0.031027379744875055,-0.013532761309530992,-0.07137154018051407,-0.02527639516747427,0.0391206029277581,-0.009479364599174953,0.01539476940522699,0.07762139223962664,-0.04671435144368777,-0.017750506298907325,-0.012249333052560986,0.09244768875236935,-0.06443501502718679,0.08920969880011337,-0.023508525679439934,-0.01865446377691031,-0.061562545605510006,0.0015576529980143245,0.00899954025290105,0.0264504281369122,-0.02066508987961524,-0.04251345256275573,0.06534266593081618,-0.008157788556252732,-0.028784660291144005,0.04142666681751759,-0.006010615449371135,-0.08975283651667995,0.05614522145616679,-0.033794503707896016,21.55271377368151,74.70356805840905
1,3451.65820516374,2661.43282127618,1351.93301665361,2201.22182622218,1686.50784664336,1152.23421411697,622.340947077026,9.67624468208879,0.876079919611602,20.7288695063512,8.32570066076328,76.1466388084879,75.1794551964489,119.615119333559,-63.3529900455866,-20.8454442929578,-36.3529308937022,-71.7495319390394,4.72504753131562,15.2570765637567,-12.3583500135636,-35.7110444422175,-40.3141019778721,-57.2205051466722,-50.6556367996729,-14.6411091065182,-43.1231663310431,-59.267406937767,-45.7259431115863,-67.102443903782,-90.9109278674967,-116.73031410465,-66.1071885047835,30.4409916889226,101.732641791789,65.4800728745723,-121.373722913594,-176.242881271029,-181.564719264807,-68.0859753302174,63.8161593269812,171.000924783941,-186.209345997063,-163.387539032606,-164.342394913404,-84.8559196913804,-4.52123796802305,30.1329046329067,-119.457155669256,-0.6706619181913444,2.0873544084890456,-1.720080890721761,-0.41470412232692727,-0.010067658376131647,0.19969220364135765,-0.12255385762580723,0.20709759152855023,0.06645232825670008,-0.07424270857938278,-0.040663325763431,0.020230947343652623,-0.06222471786404676,0.027821904808999702,0.07602189151562265,0.003097415106702213,-0.03591807414328445,-0.014738555016660946,-0.03901955314315061,-0.03110808454880537,-0.03553932341236159,0.09446445991009748,0.016020311552673753,-0.021527025626665943,0.03813585146962974,-0.010314073675061878,-0.14729384678618174,0.13220684316817571,0.03402389982422697,0.056860036312253934,-0.17702046615755626,0.09217365205606477,-0.23214786111751629,-0.006154571098182816,-0.13279959294436652,0.09013523413856706,0.09407819415061629,0.07490753327013178,-0.05908122787070644,-0.031133275451678027,0.06680072402085965,-0.022443260241327045,-0.041512604132880826,-0.09520785586891202,-0.02048651784154523,0.06251521828950415,0.3208454980771873,-0.01995357178517425,-0.009836586632820185,15.504377880184332,51.58897964949666
2,1243.67243845394,1351.93301665361,961.391256012321,841.122978065851,656.099064586803,460.359180811551,264.096833532544,2.1027364551745,1.5586418214883,12.61777417129,5.38918743662001,26.8221167754923,16.7436533888502,40.4606410916911,-40.5362039547451,-25.6177567887691,-15.0104774839451,-14.9456460861713,-13.4146166643244,-2.95210884347584,-11.6224098686907,-17.6047598206593,-21.0758794463473,-30.2711763193715,-27.9346769171504,-12.643423155883,-27.7464144917911,-35.7645075384126,-39.7814835268779,-36.5150512165437,-34.4991984419622,-61.1185153841684,-51.3896826920287,-13.4466298034965,26.0319129995503,17.9498799786434,-63.1894976687158,-96.4176565522887,-107.878959238781,-28.4762196992404,61.1838941965165,133.034218228337,-135.955634968933,-94.0198244079687,-70.19528958569,-30.6585251706674,8.99936552539174,21.2573809745223,-68.3392477970823,0.5193972392816261,-1.6961315069543377,1.4859693852459146,0.3739827552904061,0.039252745231098965,-0.21456733225083585,-0.021242126153418032,-0.0869489668932953,-0.07115520870816694,-0.003262975302578791,0.0015099896562911815,0.04222029583123016,0.08300017248496563,0.0237684470940506,-0.07945524910627806,0.03437349374300937,0.0016893348243698515,-0.004247484930709713,0.16941191528733351,0.05497061963444473,0.030818381647763085,0.016918692339014663,0.0025756207565330908,0.011222320991089487,-0.047940539240120025,0.006017839935690201,0.10377213925956913,-0.14317495500200436,-0.029341109488333888,-0.014082977018842162,0.06252237912380762,-0.05246824564658865,0.21072380870757412,0.035377180870142536,0.1334586067109174,-0.03124222055327889,-0.11813170146962822,-0.1204311646476992,0.08858838455202865,0.022168816027289876,0.005522791742432733,-0.08824010008235189,0.09174235532704306,0.17661685612663142,-0.04405305958730797,-0.10023451919247359,-0.24164503788652683,-0.04128457087799506,0.05585427556084004,6.872708653353816,31.006148680742687
3,3115.79433648103,2201.22182622218,841.122978065851,2550.13511352498,1938.6547335231,1309.38346935676,677.87338912805,-4.93334701685856,3.18169269195284,23.6408324150945,4.32521248522966,54.5707212405392,52.9078908370974,107.669146153686,-42.2422949209091,-25.9118345655785,-18.7580418313228,-12.6966684347107,19.6843977436789,25.5370232729419,6.85109285217456,-7.12527642037663,-12.4654495565791,-27.5887244132177,-21.6354023134691,12.2362110310003,-10.9488169005218,-24.4997269761605,3.81508758059557,-41.0340366164677,-88.6112468056713,-75.2677329624548,-15.1817452866497,63.7024568608074,109.097480960421,80.0623667623539,-50.0982880657292,-94.0845927322631,-106.081237073854,-1.11133517662976,88.3552064057046,157.798708572178,-141.342962796954,-132.110238765944,-135.011199644623,-67.1086751858509,9.56118452090531,37.1530997428743,-21.8879778824067,0.10643209067281319,-0.44455207891803583,0.42786099152056956,1.4404179900247993,-1.6047150017246254,-0.11995614192823724,-0.149086196399765,0.28995253000431154,0.23253050026302854,-0.101212133584326,0.010839771059326734,0.3443842962777613,0.07949403370562447,0.01948169387466235,-0.041172980130669064,-0.021246466538450425,0.09895064518154327,0.014061297898471537,0.22778561192409777,-0.1761613363428634,-0.07917360475174123,-0.01337167529295325,0.029219211312801613,0.08886395635139437,-0.18477096074089738,0.0798681931543472,-0.17704088503463639,-0.02052261611084365,0.09358006523423949,0.15589573601243437,-0.1744838416443069,0.0770500667555959,-0.15165072908054558,-0.04739536924598487,0.22193640588552674,0.0026671128518502437,0.06042180498015464,0.10089287953061372,0.04252432232268646,-0.3253316600744303,0.023677178658311204,0.0983499533022191,0.02593653763544697,-0.11115286442144341,0.017369304148483918,0.017404761111236195,0.07232210066813059,0.010744720876363164,-0.005157523857361407,10.5563236047107,50.498763485109016
4,2371.03109606839,1686.50784664336,656.099064586803,1938.6547335231,1476.93799612318,998.994286251442,516.135624482998,-3.16896316312374,2.63765820082829,18.9263886516464,3.70632133376046,41.5045242495773,40.6666064695639,82.8110012708011,-40.4316642682585,-23.7829422053917,-12.4929001928719,-2.36520025448829,14.7113515484466,19.3461261914049,5.81483794969301,-3.99682419605486,-9.16174489059431,-22.4741607270732,-19.7728197276419,11.1527842244314,-8.44786028982078,-18.9180842229925,4.00116497861429,-28.893761912731,-65.5675533127654,-54.8630782604379,-11.2436945780717,49.0252431302557,83.2868924966692,63.1581153905309,-25.641984753579,-62.3506422096034,-78.7455479793948,-2.57991688758501,63.2493278259313,111.622523185545,-123.46432465884,-113.472774886759,-114.32779332993,-59.4929898144836,8.11684945621511,28.7978539352317,-2.1927053252695,0.007966001592419178,-0.054715730988707474,0.04202676613602043,-1.6178840485036226,2.9318162512729926,-0.9844444860303385,-0.23418170752557302,0.017002706634498193,-0.12757811718295614,0.1674753613967485,0.030134615076710402,0.015371518298446196,-0.13637047912919242,-0.13406651150741852,0.011880013305140841,0.14879059014904913,0.012377099375563349,-0.1248026751872218,0.07567777695353552,-0.00047756965181574413,0.03299360526866491,-0.01272091325818597,0.0675376111970807,0.11376376439550925,0.001968469891485892,-0.021740004467043546,0.040532499623092064,-0.005828691876204033,-0.02348114926447568,-0.21318118885451323,0.20708912350073694,0.019615671348649093,0.21389144133662902,-0.053926274915680035,-0.220984780126054,-0.03541503424484638,-0.04664927761722931,-0.30380548760491,0.1881162072665635,0.18232134834406358,0.04629360415677696,-0.16752199408885388,0.13085767177236143,0.0386514769477018,0.05770236940427325,-0.118212098159913,-0.13931192916056204,-0.10085487029295852,0.04968125545944207,6.926497695852535,38.43082091399012
5,1601.02619277488,1152.23421411697,460.359180811551,1309.38346935676,998.994286251442,680.471988576793,352.38330435095,-1.45917949392974,2.13710272440728,13.324023755352,9.27138167584764,30.1798485343751,27.967523556999,58.1597751455484,-21.6189083614225,-12.3301104479628,-3.5521017856411,4.03518588389962,9.97199412852345,12.5648152946653,5.86469836853405,2.31537948960739,0.944725299788727,-6.10868926436785,-9.80351390865646,6.75812277894391,-6.25322586943486,-13.2284256409536,1.61207976786717,-20.2825269983764,-43.9033163535022,-37.261152052883,-9.05079619196476,31.0186453548509,56.3192339517425,42.3863826515224,-14.6123491166452,-37.2485595870026,-47.7218348502361,2.54062486045879,48.6829775590644,82.359606651096,-78.3282757414299,-76.6142358609314,-78.5713257796632,-37.5373138277924,5.56975443638548,19.0123717513473,-2.06385102575103,-0.04046027819296591,0.17991370188953548,-0.21711586054730617,-0.1398777881883126,-1.0074100242817576,1.7872853070153938,-0.2985740847801346,-0.2164673022778118,-0.2032179006552502,-0.11672332274313083,0.03466395283181804,-0.5679044675231459,0.14736090265348029,-0.07993386259941189,-0.06466123459548577,0.0326159494373309,0.03866692727801075,0.08627662343471969,-0.4183985645171418,0.39928568184704755,0.08285339130685536,0.028393962963321175,-0.10969385890069028,-0.1858385043576579,0.21536153031347052,-0.0332343315045922,0.11007982031356374,-0.08737507961979926,-0.2329526987602591,0.07859100584741216,0.16375102774477981,0.01862876499352531,0.09836159544394371,0.24122915601999725,-0.00779651171526224,-0.28279289863834556,-0.011178130054423654,-0.06820337417688566,-0.24463496849605806,0.2730674167631939,-0.10266020746834394,0.035855509000159935,-0.21455310042768466,0.5148727246021559,-0.2203794845335198,-0.10089609970346436,-0.07131235767115479,-0.028047259204416055,0.01737781729014087,4.458141321044547,26.08566634335402
6,840.150998355218,622.340947077026,264.096833532544,677.87338912805,516.135624482998,352.38330435095,194.782580645161,1.3919569100022,0.957216200698568,7.65935902487056,14.3777540453386,15.4469840641593,13.1607785096952,29.083713326291,-10.3801988754926,-7.78561240945549,1.9458017058324,10.3922310046571,5.7755608626371,7.26283573808018,7.67260651797757,10.5872055812918,12.830288138749,11.3925705888809,2.76768805457115,4.39993874806221,-2.86788278537376,-5.85607508435079,1.8783348388016,-8.82527060800053,-19.8696637368394,-15.4369417657008,-3.49199883756068,16.5640030491268,27.7575587774777,15.7698701687401,-13.0564029745665,-29.5334987546653,-31.1789959507955,-1.15029558110506,30.4779439507558,53.8890391511488,-37.5320719841905,-40.0549153760552,-44.4087773947468,-21.3775946694328,2.86788401163329,10.7477494886575,4.49237700344991,0.057132232726127066,-0.08584453701071516,-0.007320670658228796,-0.10907131719468159,-0.21988363682410159,-0.31255782527194403,1.7961545971378134,-0.6709593417770231,-0.262482254173197,0.03993132910107581,-0.10598683653895676,0.05614834823143288,0.0756811339697003,0.3066157335587023,0.13633173246668318,-0.4011049770601919,-0.2689190199543961,0.05218974718055607,-0.25974160680739317,-0.3433979029334873,0.15939030263880055,-0.056997263472308934,-0.09596181555251866,-0.3685343132489871,0.2898671578126014,0.017182078471637798,0.3797192826853107,0.14183506273631272,0.0059285506556006435,-0.13466814726669474,-0.12810020334474592,-0.29809211154454307,-0.0847288544472464,-0.16409282533311215,-0.044962156010246446,0.5292716293287424,-0.18084424265930008,0.4693685375908261,-0.16563716274684873,0.22926792721145994,-0.09872185462222169,-0.0564226198110934,0.008888659588612768,-0.4078739783653315,0.10518503555740953,0.3988029694321109,-0.07291907840145899,0.11826956070184955,-0.06681421733838279,1.7016129032258067,13.95609474907509
30,29.0895820907144,9.67624468208879,2.1027364551745,-4.93334701685856,-3.16896316312374,-1.45917949392974,1.3919569100022,4.41221027479092,1.22612869761865,0.107264264371563,-0.830609812269746,0.826419456434078,2.10085964238868,1.55015193591009,2.61727394796366,-0.597034344591418,7.15352532027646,13.8692898687007,0.0293104469119043,-0.415464619138035,1.1055160414365,3.62061773308174,2.85226169002094,0.493254786465099,0.26468878329927,0.524323495995573,-0.343924414998927,-0.423311307241717,-0.787573206809342,-1.07445993699594,-0.117634059429622,0.661400336072931,2.03039060854279,2.19530524239288,-1.92711588069251,-2.75687712646835,4.3665506647809,4.84763689228379,5.25328141094887,2.13087662363174,3.01853900009312,1.061398300094,1.22290611169357,-3.62724981421323,-7.68993031427465,-1.11154091904397,0.20485276781534,-2.04629725136777,8.70207584064585,-0.14851717394537473,0.19672716597457848,-0.0930149462121843,0.2818148206070771,0.01591875188712611,-0.24548058645340404,-0.7317851318364946,2.357993283147882,0.017720556080652778,-0.11338635999573887,-0.018617101130159817,0.5336550663185818,0.1668012595026168,0.1058085293073831,0.013332930205469431,0.15024579618406758,0.0006005606308350435,-0.014562103622994335,0.5287559797233817,-0.21130957746399698,0.39024215195515444,-0.09541429805710717,-0.37878069777694645,0.5645798146477634,-0.2713140141741536,-0.10545004070923698,0.14297126336284774,-0.016239720074085907,0.045689417776174954,-0.027664329754332213,0.12175189730951669,0.12945331886085532,-0.2478072402053461,0.002223010701775942,0.28415562825429985,-0.0524971775795959,-0.10248405421466465,-0.04281776472923549,-0.327320005996129,0.6644504476518931,-0.4485044825973343,0.050675268712636175,-0.005268485570039646,0.10498148410172387,0.062352468535642705,-0.2969829095363071,0.3228952683157028,0.2822121863759742,0.1057304150003386,-0.9516129032258065,2.098144483773918
31,-0.872138033068574,0.876079919611602,1.5586418214883,3.18169269195284,2.63765820082829,2.13710272440728,0.957216200698568,1.22612869761865,10.7316397849462,1.43539911687535,0.558131692220226,1.28969874540739,1.13334218390899,4.43811622385771,4.57024240373694,-1.77829465510815,0.446257429614246,2.44045622071125,-1.48956853660083,0.776898200011994,0.614898344279364,1.38909644725657,1.03454094598773,-0.106269633017556,1.5188821501951,0.936276467036856,-2.7147085607196,-6.71471877491512,-8.10386139364519,-8.87591579812433,-7.6583051560826,-8.23704407455256,-1.38523820697458,-1.14393208890093,-3.17275611409983,-5.73099969836461,-8.01394047820169,-11.2969417231222,-8.72264904491588,-7.51604495293347,-9.65780988288956,-16.0060833671774,-22.849015596837,-15.5722183505775,-9.82365862651814,-5.26957615992745,-2.4937851099694,-3.30892634567937,0.32732846077159,0.004340344479102785,0.0924284589014548,-0.07268346563051672,0.2717662017222457,-0.12469791983915555,-0.22833942466270923,-0.2761752252931083,0.00014555948470359038,1.0372728908855324,-0.07150175536593255,0.0868737454917963,0.13195178673416863,-0.25514069975725584,-0.5349458004604566,0.02432069144829804,0.09142749727363758,-0.002456962655219398,-0.0031127634103910225,0.26689436219747065,-0.09670316277782065,-0.015669522590061748,-0.015645724990823617,0.11918076276496745,0.13509021881446126,-0.19016949340515957,-0.2111189527690812,0.021661525424589108,0.10667545724679436,0.2517898257877751,-0.14450841535804854,0.0010675487891440424,-0.1353748536512445,0.07938128324379876,-0.21822929145342132,-0.14232076991812356,0.08707114207041326,0.21353218496690785,0.15152801296203486,0.03921561567687802,-0.5215902910841245,0.05262774985598266,0.2653022256849773,-0.012103813637573842,-0.014387541635864422,-0.0013950373988954232,-0.14626786377301773,0.24667890684536775,0.18709352298578755,-0.08199941304491781,-0.15591397849462363,3.2743915136932293
32,18.6392297100576,20.7288695063512,12.61777417129,23.6408324150945,18.9263886516464,13.324023755352,7.65935902487056,0.107264264371563,1.43539911687535,5.70235364396655,5.29325272454708,-0.0850158181967558,0.958096906724603,2.24949624880569,-10.7846917638026,-4.79301876421441,2.7242658330532,10.2312492478322,1.00922175424625,1.57565999742709,3.02678440337705,3.59736881627004,2.87078229576914,0.99943606795449,-0.250430880762329,3.00054035503309,-1.1828264701164,-3.32798986655839,-2.4495398266752,-3.22459714615654,-4.29001113340944,-4.03629653500035,-4.23101678100787,-1.83828690420054,-0.497874541579342,2.67316311759896,-8.18797149497481,-14.3755594869196,-18.649477203777,-13.2442820722342,-7.74146014941641,-9.05961607612454,-9.95260745616685,-6.93883656594687,0.114168471282925,-6.39012441665801,0.90914651897625,0.585191716623585,-11.3675088279781,0.08544546746124741,-0.06910018667762517,-0.0038759026455832883,-0.11599129070276583,0.18955536434046905,-0.11056809396942635,0.04534940243224517,-0.09191190037834265,-0.06264878829069613,2.5694516146039725,-0.38468062647379575,-0.054449851380209816,-0.17012002431419582,-0.14895005120789345,0.27456906755572247,-0.1167943425672073,-0.18385643158298093,-0.0491023701451091,-0.25962675043137073,-0.11460000125203626,-0.4557395198476903,0.47850838523989486,0.08671130888415374,0.13465483227356773,-0.33548664707884907,-0.17955916977257733,0.0185780576387251,-0.0005389789205967522,0.07190167311941753,0.6115005420540933,-0.11101035390864629,0.07185274809579263,-0.39651452064391746,-0.153063437520296,0.41622376818425866,-0.7099459531584855,-0.27574997478216456,0.22521661496776266,0.21942833728411865,0.10027989590222137,-0.4029209505640625,0.24632910911539524,-0.2582664616352052,0.09725103344440085,-0.008545504433298034,0.11115936079679821,0.07602997916548564,0.02548695111498139,-0.0656139349131211,-1.9193548387096775,2.3858653868075934
