,Cov_0,Cov_1,Cov_2,Cov_3,Cov_4,Cov_6,Cov_7,Cov_8,Cov_9,Cov_35,Cov_36,Cov_37,Cov_38,Cov_39,Cov_40,Cov_41,Cov_42,Cov_43,Cov_44,Cov_47,Cov_48,Cov_49,Cov_50,Cov_51,Cov_52,Cov_53,Cov_54,Cov_55,Cov_56,Cov_57,Cov_58,Cov_59,Cov_60,Cov_61,Cov_62,Cov_63,Cov_64,Cov_65,Cov_66,Cov_67,Cov_68,Cov_69,Cov_70,Cov_71,C_0,C_1,C_2,C_3,C_4,C_6,C_7,C_8,C_9,C_35,C_36,C_37,C_38,C_39,C_40,C_41,C_42,C_43,C_44,C_47,C_48,C_49,C_50,C_51,C_52,C_53,C_54,C_55,C_56,C_57,C_58,C_59,C_60,C_61,C_62,C_63,C_64,C_65,C_66,C_67,C_68,C_69,C_70,C_71,Mean,Std
0,39.3502059811828,34.3018995551282,24.475585749353,11.5577683907567,7.6802088372876,5.06501609923272,4.97832677843618,3.96250845931868,2.24537945740306,0.389817212880975,2.37032665232144,6.88456923260688,3.52700689031526,0.547517511637386,1.91309986207295,2.51020802284306,-0.624924083220331,-1.44383280397607,1.6367698430998,5.58029163468793,4.53133455725827,1.7397143705791,3.23001902989438,6.280007252885,-0.259390340108053,-1.73965280934659,-1.94824745153328,2.34965927008653,0.324885135392603,3.17846162006293,7.22409847019381,10.7881169665639,13.8920821919588,8.45517673637748,2.3128669203194,0.69543462519246,-0.187382769995729,-0.582702464450956,2.5659333625314,10.0511653038195,16.8454011669663,6.81716909662358,9.31284004846014,8.05203720544645,1.0553739411431078,-0.5535116326045827,-0.13649392691149745,0.10093104867168028,-0.07773834164292207,0.020226703963511717,-0.09670684726037526,-0.2976883933379979,-0.25955961881731415,0.007605970349041626,0.029986208209520564,0.06684264438587981,-0.06534644351718626,0.011564632217545378,-0.0847259914216613,-0.35696722308901047,0.3728861245318456,0.1383645664031634,0.0379241363239684,-0.07846485346225016,-0.22277018978682195,0.180308747225006,0.06605838586655609,-0.4284852362759874,0.04746209549077081,0.03871550485847802,-0.08259979864604036,0.025607183459435922,0.44133361535345444,0.05610195273812356,-0.10437823470441751,-0.19775819779119336,-0.2363896005144497,-0.04843235418948672,0.10984872745655117,-0.0399489443224787,-0.04572268498913441,0.17742753997459307,0.11900712537727055,-0.1177351717495789,-0.0688705834051452,-0.11194315345491743,0.21773137941170614,-0.21059118492967602,-1.2385752688172043,6.2721771324782285
1,34.3018995551282,36.1645873655914,26.0737229645284,10.2741248814459,6.83654573196011,4.96672655329344,4.48684881719089,3.00728173068968,0.885046273994021,-0.395095671268588,5.05450068048248,12.4226867728752,3.40951068312531,-0.286303863288038,-0.558154530253549,-0.051075444838752,-1.3801296477997,-2.57149628342449,-0.504841589159893,2.55000110969366,1.71239834835416,0.234853813128171,2.45906007170422,4.25619997642407,-0.947552389425042,-4.05245094816931,-2.88403888547056,1.52629453415252,0.820518607036131,3.02110880179401,6.370712805611,9.18862901696047,11.8505109131623,7.7343450407409,3.11305823426827,0.260577229499932,-1.31244845465428,-2.2171730266924,4.15174406666783,7.35725455400639,12.2613163647886,1.4267024615034,3.2901701989333,3.56037816685143,-0.5549640864558494,1.810657444861814,-1.78406841472797,0.18679173282461545,0.5425563357650256,-0.1955326653970479,-0.09630105333922118,0.05185771800874529,0.16168268619282306,-0.01898040503167079,-0.07784024489870171,-0.05305305118292532,-0.016495473828669574,-0.017690136491938978,0.041670071635685965,0.0604373602894031,-0.2109605886660124,0.009996173101171504,-0.11083937758389185,-0.006912234733269818,0.25560739824178447,-0.10779747676463945,0.05987925037132324,-0.06782927861459002,0.02605596965901514,0.10003018738631655,0.1149240568320729,-0.0073885940397605075,-0.090665646671876,0.016473281757313298,0.10708850199758821,0.041264720253926246,-0.020122621523137985,-0.02013583004043624,-0.031109136383074693,-0.08132755138187121,0.0011695550958329877,0.006370868241419627,-0.024295131383631353,0.005827339642840487,0.032372348124938416,-0.028324364922260835,0.00372897034916664,0.006359361543889273,-1.1626344086021505,6.0128684806497645
2,24.475585749353,26.0737229645284,20.2722731108124,10.334237085283,8.15132314870092,5.21794645372152,3.925675494778,2.05793882235277,-0.297197624343068,-0.206802968031118,3.96502726051379,9.26290027166543,2.72006264447291,-0.250548658673556,-0.629398676740872,-0.528754603533088,-1.42877266812076,-1.57043641732161,-0.288420479259557,1.8216744216729,1.22876571865225,-0.24389226402261,2.64210208001794,3.14170072106408,-1.19382374577414,-2.18545722719158,-1.22901565067733,1.56745464998731,1.04950741797162,2.55070205508756,4.93083155304824,6.85302942067599,8.84206559619539,5.53964960369734,2.00653860248829,-0.391394590249208,-1.07285656053635,-1.21729791774232,3.21132813381273,4.95822081476597,11.2390041561522,-0.0935475913520936,1.71004582810554,2.77057950782312,-0.13268354613991565,-1.7837178247990777,3.5867729327947013,-1.0226845163041478,-0.4464769834060907,-0.06803388725797577,-0.007950568936548533,0.1289157065469511,0.0711266657478228,0.04770572204955633,-0.04276377000454648,-0.46401873312140746,0.053753983454667954,0.035241813345803605,0.10174475951778164,0.11878634182476538,-0.007410131032650167,0.009908222151008153,0.009784682758702316,-0.16853192052357113,0.12023637313001609,0.022470084609467172,-0.06352617329195942,-0.014817318184213737,0.08707066252883078,0.19901446135682382,0.05654015940194569,-0.05985218636229169,-0.09112305426995779,-0.01274332325029083,0.00550488429804716,0.010482538787195702,-0.00029056270677477734,-0.003339236854854238,-0.027334928460655383,-0.04527274182053456,0.11107712285078379,0.0067400784708329465,-0.04451790388858155,-0.028784604441300626,-0.018467468755417417,0.11492444111141065,-0.07907489832269105,0.023918293884969397,-1.655241935483871,4.501363472417267
3,11.5577683907567,10.2741248814459,10.334237085283,10.6029619175627,9.57958304005528,5.5903009269015,3.41261971591438,1.16635382153284,-1.37117940203898,0.425141050574772,0.107175670265342,0.556758822336973,1.44873892785387,-0.110177370298054,0.158418966302084,-0.0832510589730309,-0.728797051725657,0.597451799897295,0.917854483114432,1.82130144760375,1.1548076400034,-0.427277768509895,2.82338515756517,1.97221441585635,-1.77390218491522,1.61674808689099,1.3902083502364,1.42670265922043,0.954672516278576,1.82561027410593,3.19841963844612,4.2178566945776,5.45915799181559,2.8245872364521,0.269671480689923,-0.639601700453703,0.214395611567405,1.36051172530647,0.510302418831493,2.07751441048479,10.0270801193692,1.67597770711092,3.45322085261667,4.52869593357053,0.09994482133692176,0.18814616947255122,-1.0230290964512045,2.118457649569779,-1.0524665712697303,0.18017002224197934,0.007788341693200244,-0.06892549634810964,-0.01941128637520043,0.08914632133658364,0.30626605370452276,0.16628537064592722,-0.24916156401868525,-0.02405345160360991,0.08525206127181273,0.02982140859787473,0.20488463209614732,-0.21507041901019588,0.2561921525999256,-0.21900271555927664,-0.014886033364474523,0.05929362246678542,-0.05075180436917211,-0.012333675784601896,0.2814515718601898,-0.4533552826806335,0.11221630997089145,-0.013404867571586716,-0.003998194485333323,0.029175528126418684,-0.01237408291302743,-0.037832969534779964,-0.11584862423490236,-0.012729752867176257,-0.06690749167656355,0.20148933579974598,0.1684200559115385,-0.27501466680387554,0.21257468394481593,0.03430493609337782,-0.08481742309978127,0.05592089201364459,-0.07771823982819687,0.043069857088036775,-2.438172043010753,3.2546830748265987
4,7.6802088372876,6.83654573196011,8.15132314870092,9.57958304005528,11.5467157631422,8.40709126548183,5.01538077740571,1.6505808843298,-1.99784822487977,0.961459194231451,0.464985896824929,-0.149514835545141,-0.668032064735333,-0.326888795831191,1.23821194670781,0.693446175169205,-0.274790585676173,1.99197954381152,1.61751644586239,1.34297159376142,1.12456647683635,-0.241130524818161,2.9636540084086,1.26705645247515,-1.54832055310229,2.51276603265898,2.24997000789579,0.602280213330602,0.22885170279612,0.197768478892961,1.25467454753306,2.06823886931313,3.15232119466979,1.23192844480685,-0.393615378679899,1.6681207724576,1.98290060577087,3.25813824297609,2.89647283030823,0.217853448498108,5.42272623686877,-0.188056306416199,2.28879928687431,5.73216585352852,-0.07684925815509507,0.5467824322600141,-0.4432210056855181,-1.054645476590615,2.09424210324416,-0.8014827047853051,-0.20488753578742644,-0.0020621827294226994,0.26451586608009275,-0.10166045380406326,-0.3539138492071118,-0.01990204393278185,0.15645983021553267,0.050226701139858616,-0.15560394010852255,0.16316458019331642,0.256616935179318,-0.011541894539964112,-0.0645228419109422,-0.12054391522920785,-0.14095550552660815,0.1792011254714031,-0.14366472481261125,0.09113610513337062,0.03296403370502015,-0.014203837417053347,0.06764963431110921,-0.04476122849961104,0.13604234015984398,-0.02908120711144442,-0.01672742108386821,-0.0803586250154238,-0.13168381365687537,0.148622404597854,0.24951534801017758,-0.29182995135265893,0.010583660153625182,0.013458966129462232,-0.014272533371895792,0.006771551363702125,-0.050656498352227124,0.28174638684483116,-0.1672140957069996,-0.024412839386665205,-3.688306451612904,3.3965741215439684
6,5.06501609923272,4.96672655329344,5.21794645372152,5.5903009269015,8.40709126548183,8.89572102747909,5.73360585274176,2.59627697842874,-0.843410768766677,1.29397624161075,0.0748360306000481,-0.771670491164594,-1.46472192763751,-0.272893124503546,1.71848026436962,1.59607817946637,0.874568400037873,2.81097240267218,1.59583131528025,0.543231922066032,0.747490848454123,0.745119851380249,1.87924718157775,0.176669461130921,-1.24154135855514,2.01310181611301,2.33903468897144,0.0014706210887551,-0.326437757505939,-1.02687309657854,-0.0133754539309789,0.843170157676081,1.68622023458873,0.545091480297953,-0.166878818987889,2.90545771467208,2.67483368001307,4.22669682887268,4.76176475953006,-1.48534722716128,0.430776828451176,0.716462321204174,2.36012624579444,6.35847946423741,0.01845144437986239,-0.20193073997774602,-0.06921070517898185,0.1804473615406935,-0.8004526915922926,2.1688694497977483,-1.1289522863503283,-0.12166099639984715,0.5018345707275089,-0.36125008553768534,0.0974732437928983,0.183084850697789,0.03381676905142633,0.05193862671614137,-0.041252979884835686,-0.1775574092883713,-0.26788978931861346,-0.180936934670054,0.11231422946460781,0.1042551565610354,0.03861752648082046,-0.11968945974548055,-0.1280419416129858,0.2204241523668498,-0.054993800170832635,0.10220625175743114,-0.10843441835829075,0.028398421132344323,-0.12886204734455303,0.11574048067739327,0.01292453106511782,0.09308323732718923,0.03680247645652127,0.04148630054035579,-0.047373276281622564,0.07013010458078586,0.01998561437797039,-0.024748318663444024,-0.2630951042596423,0.13927914058337518,-0.023581330720516495,-0.19558044059139434,0.2624707919654503,-0.12562032268436663,-4.565591397849461,2.9808926561483378
7,4.97832677843618,4.48684881719089,3.925675494778,3.41261971591438,5.01538077740571,5.73360585274176,4.84366248506571,3.24281596069542,1.24948537424323,1.26891067240737,0.144348823815257,-0.624288160897065,-1.22084219247298,-0.765090265801596,0.27014112375076,0.554291608675015,0.51743658439199,1.31858516272028,0.965826381386475,-0.175198029673135,0.144322387131291,0.776054308316314,1.60885715033791,0.81607296759071,-0.613908137748134,1.35052296338402,1.37907377377958,0.678903289287033,0.50286580948641,-0.0675280193099229,0.659143814120454,1.35208123183322,2.00353984184477,1.0890465199444,0.568667263741383,2.90507969420272,2.50124600359915,3.34712388371359,3.31459891755471,-0.369290140543942,0.876159550192346,1.16273067246728,2.33788790012923,3.40185417700128,-0.09675849499074686,-0.09697734802077868,-0.008720744293120425,0.007828278491818857,-0.20198637787410795,-1.1291078174119553,2.919897982019749,-1.229896230456765,-0.08480963631371685,0.21937988231098907,0.06879413497431584,0.0374987233957413,0.06741901121852628,0.15257740166662506,0.13754900451363275,0.01260242419568361,0.03408910309034624,0.049791906927374986,-0.24592411564870922,0.46908406744587455,-0.11616075840249944,-0.15705884848895116,0.2178445058981409,0.03426485656064996,-0.18313257181520864,-0.1718755744538515,-0.07544589535834953,0.04032994998175528,-0.1622091066440465,0.055149410165710205,0.011963729673728139,0.008640446071344579,-0.006689335468146267,0.09947224671966057,-0.09398363847780793,-0.019360445828486658,-0.05392820370643866,-0.016026475385903637,0.004310898213311557,0.05197054116806653,0.042341600826279545,0.04878048422555535,-0.14378148614518868,0.04974064773262608,-4.293010752688171,2.1985591838896927
8,3.96250845931868,3.00728173068968,2.05793882235277,1.16635382153284,1.6505808843298,2.59627697842874,3.24281596069542,3.89070071684588,3.88501566599623,2.10473092794576,0.335964582057555,-0.431080000650459,-0.681271915907446,-0.727015451214678,-0.49978616410634,0.0041959705096196,0.480528249889253,0.283851466098635,-0.079113292436551,-0.136870602918508,-0.199052792899833,0.323237396684305,1.8934345154364,1.60000046315535,-0.133657464283084,0.126630360781498,-0.123719736789717,0.959156640901515,0.606452136698474,0.0500378156496137,0.46541149487506,0.951751864069246,1.45583813045038,0.869737398306141,0.624448699300839,1.98179289866643,2.03192101245544,2.84591721051395,2.37396042999919,-1.18982829834222,-0.416546733020619,0.249153123427343,0.458543497740803,-1.0506075945721,-0.29746356749205854,0.058044827873376295,0.1279766459263301,-0.07130293053023892,-0.00253701955660322,-0.12124471644093526,-1.2292455225572751,3.3611090380889683,-1.4330132789583814,-0.1023712538687203,0.026350077473203753,-0.001985908024988691,-0.1449303990355427,0.016124606885946396,0.07280959605271765,0.0072003003710373915,-0.03892306460723362,-0.12888761788623923,-0.0021139317694649756,0.35872195111563143,0.0041700196103667654,-0.17924778929185808,0.018807072181798615,-0.0035188949028484855,0.0770522282144031,0.022064623984130522,-0.07081003662415647,0.11402237651390665,-0.0244263563108494,0.029577304525773628,0.030609631120687163,-5.1442423445306474e-05,0.013042967177060114,0.07408280855944355,-0.04741024081161752,-0.12803945962138377,0.01564752829587311,-0.17247329739038067,-0.007308207382474484,0.09708363919431927,-0.006794912218621611,0.15217871603268665,-0.20920047643938278,0.2269194194823699,-3.7408602150537633,1.9699494198699312
9,2.24537945740306,0.885046273994021,-0.297197624343068,-1.37117940203898,-1.99784822487977,-0.843410768766677,1.24948537424323,3.88501566599623,6.16107108721625,2.63537602914646,0.363942823527002,-0.511636776417092,-0.357615249242015,-0.711166192377843,-1.12480311271489,-0.357823616296284,0.871591160424677,-0.571786219215439,-0.986508901740116,0.0728086860555102,-0.425683665935122,-0.17481133792107,1.92931413363889,2.10472426435078,0.611433837199027,-0.947280177456215,-1.44656106456183,1.41260246526228,0.881176129618551,0.291117604044173,0.365515000633828,0.6025941248543,0.887479061057893,0.664643566351122,0.689393787350247,0.895225337834018,1.299303773118,2.10460372220458,1.11897018507489,-1.28251916083765,-1.25771178028326,-0.462695088581563,-0.709502788115459,-4.06395291039851,-0.25976860267538304,0.15659103739715483,0.069894579119294,-0.015492534250855491,0.2642174733509363,0.5027500874390788,-0.08493533464985502,-1.433162440601152,2.1351916737944876,-0.5016092157429719,-0.11423933908754942,0.021800212025450728,0.1608180616986344,0.05362889392347598,0.1604605737837057,0.008466389191053414,-0.20813376294001434,-0.22721225639055773,0.09601970272817109,-0.11467690237162026,-0.005195980959376709,0.13156437180752498,-0.11577043144383403,-0.014161420170155817,-0.07662753834544757,0.21266635639310874,0.34074513764697295,-0.5725875828645934,-0.11454024141157,0.035134522005297084,0.19039957229366347,0.036245562465979174,-0.017866005536906333,0.04413598367864024,-0.19699564265117084,-0.006121171322779688,0.2762113012175439,-0.31114995030289755,0.004819638094013202,0.10109103780410875,-0.00816350531545037,-0.015223065532789836,-0.04713907784427256,0.0478197614208735,-3.075806451612903,2.4801352961514516
35,0.389817212880975,-0.395095671268588,-0.206802968031118,0.425141050574772,0.961459194231451,1.29397624161075,1.26891067240737,2.10473092794576,2.63537602914646,3.09077718040621,-0.0298983752859307,-1.17331570302119,-0.175250179187597,0.115545823099822,-0.209874548160828,-0.531880259759323,-0.187318054860675,-1.13244297726306,-1.42389330064174,-0.515365712275181,-1.48004318368402,-2.16297758271377,1.23759381193709,1.31486286050709,0.279776489134982,0.375467788077467,-0.142761711187032,-0.290692320675589,-0.295003745666334,-1.19901480293783,-1.43163602839161,-1.5436795545604,-1.31512886408821,-0.694979015360525,0.0039151833060319,1.3009493768596,1.56614645928008,2.42561885729747,1.60031038747264,-1.79915046664195,1.00522705854175,0.797987821374041,1.28396750351725,-0.0956553074256401,0.006215036780396126,-0.01933292378660714,0.048366244734834474,0.0894854851045031,-0.10183389677573275,-0.3609365183101005,0.21874145268966377,-0.10235130597748168,-0.5016772234554896,1.4223889962892797,-0.19724246345119884,0.27732329635281316,-0.15938484135117117,-0.2668611160730646,-0.14857865578430143,0.4454597157521066,-0.04405752374139202,-0.07859707175251315,0.0888242391846019,-0.17970075682082048,0.05952278005655175,0.0737761205453683,0.1068601098728487,-0.21230904804912917,0.00361559660918465,0.05387646974381575,0.042139738766652605,0.24831255695196075,-0.13632251249011168,0.034784303074025164,0.13153916660357634,7.762922411083111e-05,0.05271644966652314,-0.1592187901687321,0.05657565779488134,-0.10549168844809015,0.008593326945476362,0.016502852018471507,-0.03788881656458161,0.046467427936417866,-0.07127615226939052,0.0886097918076699,-0.024749397039584224,0.00967713644153223,-1.4543010752688172,1.7552142833301616
