,Cov_0,Cov_1,Cov_2,Cov_3,Cov_4,Cov_5,Cov_6,Cov_33,Cov_34,Cov_35,Cov_36,Cov_37,Cov_38,Cov_39,Cov_40,Cov_41,Cov_42,Cov_44,Cov_45,Cov_46,Cov_47,Cov_48,Cov_49,Cov_50,Cov_51,Cov_52,Cov_53,Cov_55,Cov_56,Cov_57,Cov_58,Cov_59,Cov_60,Cov_61,Cov_63,Cov_64,Cov_65,Cov_66,Cov_67,Cov_68,Cov_69,Cov_70,Cov_71,C_0,C_1,C_2,C_3,C_4,C_5,C_6,C_33,C_34,C_35,C_36,C_37,C_38,C_39,C_40,C_41,C_42,C_44,C_45,C_46,C_47,C_48,C_49,C_50,C_51,C_52,C_53,C_55,C_56,C_57,C_58,C_59,C_60,C_61,C_63,C_64,C_65,C_66,C_67,C_68,C_69,C_70,C_71,Mean,Std
0,22.3392824074074,20.2845238985314,18.6736289859917,15.9383804934367,16.6334258037652,11.7835386504786,15.6220079221131,1.64449818117252,3.14644349148579,1.65041661916013,-0.0133849593861323,0.905972196122843,2.38213014688451,4.23505440560611,3.38872709808378,12.4112703885609,9.1112137835788,5.50880114179964,1.78694233917407,0.688559599278368,2.23294205589337,3.80319879396554,5.26774316431918,5.96786925927757,0.775385468433312,0.0081302884715726,-0.981270933649879,1.1641893203252,3.44903694417265,4.98399064096371,6.40644251238108,7.55728487049968,6.2470591812589,5.25525763480145,6.66319219860393,8.1874196153308,12.8625092406323,16.1899436109813,33.1114104180476,19.6724757258323,7.25818780476348,6.22910039844819,5.82218063443503,1.5861611213254285,-1.6908208835270566,0.04039432315855629,0.36180671293656225,0.1428151352490768,0.011080032098685737,-0.05560304084064942,-0.16745565951326838,-0.09372640473648777,0.0039718369054431305,0.15872733502029482,-0.029706491570890208,0.04966965293765937,-0.034559027473270075,-0.08715421806139788,-0.0026205295234968846,0.05358007363880161,0.024189800498099236,0.027642434683411144,-0.050392197585751614,-0.02908100391543985,-0.0950281677626162,0.046878037368166134,0.07286007554341459,0.13371974182388882,0.00991737870539036,-0.05961433979771286,-0.04296999906069322,-0.028957701763961056,0.008631052431091583,0.0915142896806832,0.046505984775426175,0.02910656139787266,-0.06305528217671967,-0.02927588918509499,-0.0637206650400914,0.09825883002049637,-0.23333298670609284,0.021088737726628743,-0.22175842267879728,-0.08882047991755629,0.01796821986889037,0.13613499455450342,-2.208333333333333,4.725387011389376
1,20.2845238985314,21.4801363744423,22.8522034925735,22.1804652404909,21.537956614251,15.2563147148046,16.3336063448837,2.32190358916878,3.31385848148575,2.43255237979044,1.37832503938877,1.01338793917738,2.00509002532585,3.60807846495577,2.87954289804622,10.9052594077819,8.48658503863991,5.80010714904267,2.93809282672201,1.82354141528076,2.98102185204992,4.33351655167165,6.1627838712591,7.11250229624279,2.94587128184783,1.99952036582044,0.630261768262357,1.98213697469982,3.52989864237311,4.87617927490117,6.11681282124597,6.79141013674537,4.76254230763285,3.19493538639866,4.86160548535847,6.6412587617741,2.379069869671,9.9417131561434,29.930862239651,18.1942192856411,5.44143492049005,4.87414944256252,4.84248602998487,-1.6925110434148856,3.7411923026134657,-1.3810897915298188,-0.13281907610362412,-0.18314727032033634,-0.061082311432445344,-0.01525220076791765,0.12453075951318296,-0.006411737786980106,-0.06204507221000177,-0.11634957924332613,-0.006035287710220641,0.036322333528037154,-0.05477302856079767,0.05240985220005674,0.0002173356007931568,-0.000913872616676994,0.00923411681956395,0.0025188288664853235,-0.010380939214142265,0.021132331628948665,-0.002768582299376215,-0.08474325879472756,0.013748453315357281,0.11296311344697842,-0.03888750428442304,-0.09280023034737685,-0.019456191631690326,0.059925782526061316,-0.0006658308767187578,-0.02482965145377377,-0.06528357371583134,0.0006639196348869924,0.14331099804378267,0.01560882769047837,-0.10101019694648926,0.035736714519059846,-0.0652816507474993,-0.02736583449264211,-0.172753207547704,0.1080106125847294,0.025402601327132037,-0.0034626047386215513,-1.6900921658986174,4.633587851162665
2,18.6736289859917,22.8522034925735,27.2311066460634,28.4707912481236,26.5369317825359,18.8563570154212,16.9279050924043,3.20549681252322,3.75316691955966,3.29185261574207,2.64450002413782,0.993968485013297,1.67890553985506,3.24635737575642,2.74532988849477,9.28294311510037,7.64916961112676,5.778182068211,3.66524079148773,2.58831809672611,3.38555098058649,4.56296858421634,6.72262980421174,7.89489104589561,4.74443842539394,3.77241481423466,2.10621234917933,2.68875735469189,3.53255895344939,4.6820135044611,5.7406272083764,5.90900895853851,3.14737978165874,1.01089273885845,3.0143755699859,5.12419491706526,-8.54667887238434,3.36540683439842,26.50037809063,16.7940241965252,3.77593327551032,3.63201411676774,3.93199762568293,0.040437193080311525,-1.3847199203139664,2.695502042137763,-0.9213728051883961,-0.3873554750151078,-0.1324143330942044,0.006819909774155448,0.23349461555512332,0.062092557997873124,-0.015535579326751068,-0.05016110653278406,-0.0015360985953963248,0.004622116931963896,-0.07368209267663872,0.015607902645100761,-0.01002222242111918,-0.036278845790703285,0.008174925040561132,-0.03942424164193946,-0.0019267944845272598,0.026859973696961623,0.11320087595994814,-0.07392819484138632,-0.01868032313930482,0.018911111839073475,-0.10743084340969854,0.13209803283331314,-0.017845675068998652,0.014313983605159107,-0.042645206354487625,-0.17545861709188215,-0.3065171502612982,-0.05863045844424182,0.6340646482696102,0.06199964144647526,-0.3756843493786945,-0.09599443977986807,0.2544079477078041,-0.022444886319609905,0.11332819941502302,-0.022251450207706774,-0.014731049293884408,-0.08169009057929334,-1.0819892473118282,5.217385039084564
3,15.9383804934367,22.1804652404909,28.4707912481236,34.1888766031502,31.024337489893,22.1948677423576,15.8060483192599,4.42931049232916,5.07657829364326,4.52148209459976,3.72116327319437,1.02500857015054,0.812327284768556,1.7542632086594,2.01816611166745,6.29803775909239,7.0958828166487,7.56340038027987,7.72557178692343,6.07109091544462,5.73746412001091,5.90880741393707,7.47169346208406,8.22250213924048,5.7498880151288,5.22778222284275,3.17727610967637,2.80087875531523,2.77141090160142,5.13880273715391,7.42818282931507,8.45176046335213,6.60541000265297,5.62058834709022,4.08785443330232,2.63356883039618,-12.5785044135999,0.117164718934667,21.6696674994648,16.9048453698959,5.50782848793088,3.36886012236441,1.53802053818832,0.3611226854185605,-0.1311692628255754,-0.917413060352458,2.219763310759786,-1.2642159107133897,-0.5652838248316536,-0.02662627934501882,0.3578492061703206,-0.05534275108757224,-0.007560028376652675,0.04759142627451168,-0.02340697826433626,0.017397611157903083,0.01188130756345572,-0.031263105265648725,0.05312389593700765,0.02310451490789544,-0.036553298251876115,-0.15702686896690968,-0.01704617745761586,0.038572102718002,0.04626792117110162,0.27016302191039754,-0.044040399507329096,-0.1803923850918848,-0.08052546066889195,-0.07503244243122523,-0.037751592324604365,0.006309633803202619,0.04104702732181285,0.1473605827833467,0.2727689340502062,-0.0667588675744907,-0.28578555265942523,-0.02441375536132517,0.18943495731088264,-0.0497228151819402,0.07560202844137838,-0.08486682370201863,0.20167439756525224,-0.1950971251495973,-0.008985812354755877,0.11571922212240215,0.026497695852534326,5.846270315607226
4,16.6334258037652,21.537956614251,26.5369317825359,31.024337489893,28.997919168922,20.9029417623226,16.274408298396,4.59358593713842,4.95091430952161,4.10326610025327,3.0307231639459,1.08714389972405,0.680169714309342,1.30060787576414,1.05541239506366,5.60281676524026,5.23316978635085,4.54057000642643,3.57307795051176,2.85186225121966,3.31566740540743,4.21529028388618,6.10363618306789,7.0043972468051,5.02452434544907,4.65599190139597,2.15613645983311,2.19157632469024,2.54922952838106,5.01023128628424,7.49249628800729,8.82045390984618,6.83706241184925,5.65386670391996,4.12110786076565,2.57081948610639,-9.71136682249988,1.96924476942181,21.3240691603792,17.5997510056099,5.46841888734849,3.30829116525294,1.41814774085763,0.1353840884690776,-0.17994922836034627,-0.3887525326892309,-1.269693164913788,3.492188765206033,-1.9546325930016877,-0.15163075128660283,0.2885880825750304,0.0356980798616409,-0.003664891544355734,-0.04407538738435567,0.05307658257974515,0.058127854908782216,0.05157503021954718,-0.16895531536614075,0.10683091122168621,0.08568192207735133,0.009327416721872407,0.025925954554409023,-0.0023263230520153113,0.009290022251409201,-0.028938857589457856,-0.231586090120962,0.04508569827838162,0.1820328066856254,0.02245292712488953,-0.03563160514556794,-0.004080662801196842,-0.0437190073418648,-0.026674191458053855,-0.0734588726978536,0.0024127716274218365,0.12019368845865529,-0.21120848022019434,-0.0031024938547026906,0.16137061623677407,0.09609026467701567,-0.17734846560228204,0.06413032644401662,-0.4045713210411002,0.19779542187785346,0.0323779491665484,-0.0304051881290162,-0.14996159754224248,5.3840430132867665
5,11.7835386504786,15.2563147148046,18.8563570154212,22.1948677423576,20.9029417623226,15.6445886700558,15.8422128119205,4.7818737563201,4.34649847235651,3.54925453987625,2.5716838348389,1.21441962888446,0.537089250851502,0.701706443306763,0.275209816935665,6.28154174352318,4.44720791928314,2.34877689345595,-0.0067592814732667,0.0859379302233594,1.03187525370264,2.34017606709451,4.22816996442137,5.38284520280876,4.46659808914366,4.34057958307217,1.81157589780272,1.48783833952405,1.46502427120891,3.33467627778303,5.30050174849534,6.26474001498814,4.80667287566853,4.08112765855739,3.02458936479801,1.87475736580732,-7.85927638624482,0.689146202347694,14.9561106818752,12.0530975254638,4.01651232020635,2.35864905622084,0.893559786053581,0.009438362271643325,-0.06095161525251465,-0.13422992544360327,-0.576296374483306,-1.9532710873231163,4.585123337151953,-0.4643985775654504,-1.1464073778402895,-0.022606095837792856,-0.02904387310286892,-0.05849694267197286,0.04543976291212826,0.06241476776185083,-0.006963740367500244,-0.28820799426675425,0.3414835624432522,0.07464708118411832,0.009100446124400101,0.0005078425549516676,-0.002750593562333461,-0.0029676102386670816,-0.043292706047141555,-0.033592200219639504,0.01529277293059516,0.07693450226300605,-0.0327054667426197,-0.1904920730776596,-0.04023069571984426,-0.036956741638240365,-0.02069224479147554,-0.059355358822383616,0.009007069524584384,0.05094159851574981,-0.07192940213847086,-0.008308850722157209,0.049749075969970274,0.01471462564964241,-0.01245085594640891,0.03852476092424065,-0.20707525605430419,0.02225457961764274,0.0008591917216755886,-0.008830902369503749,-0.6344854070660522,3.954059770673154
6,15.6220079221131,16.3336063448837,16.9279050924043,15.8060483192599,16.274408298396,15.8422128119205,351.226052605271,-2.49797754326877,-8.99963003736795,-4.53936995653655,-0.472429433257582,-1.87779843751016,-3.22939638038239,-3.39789679351164,-5.84058281095777,350.346203977892,229.440433569535,107.977491546677,-13.9502002237315,-13.5939462868177,-13.6537032801999,-13.3242527076117,-12.6107660801335,-10.8777547945008,-9.19283549954018,-2.27813196356513,-1.28065450461525,3.70921129083712,9.24019307877064,6.76174605115856,4.64497580583288,1.09448124951672,-3.89733705058748,-7.55406582695262,-9.9286795084127,-12.6817024184883,-25.1429151975109,-5.91705205681649,-3.27840044475547,-6.48759394863925,-12.4134667519079,-12.7550291493734,-13.1801162188779,-0.04498511234399035,-0.014049102902806074,0.012564179885241524,-0.02627020494550889,-0.13627094962695652,-0.44593267028518113,1.5202902551415294,-0.6368839678009327,-0.0020266746228460074,0.00928982054527902,-0.04958310695562789,-0.06368454005259025,0.024343214889539524,0.21067307521029302,0.8358057261890902,-1.3124242333219123,-0.18525749433676397,-0.006022366096486419,0.3171785148194844,0.16602945172911773,0.05035645677548956,-0.06814852932155684,0.01304732961565838,0.08214967669058056,-0.18169429939389856,0.19084270884640606,-0.10654922169393505,-0.029137714548232895,0.02418119981233882,0.0018459168157441384,-0.04429403439979949,0.016480211290814426,-0.0006474150509441695,0.005713899637170453,0.007328117101479488,0.03262294827893429,-0.00847150574538996,0.016414415848355863,-0.027489923707963222,0.0677714068742105,0.0025226328636758027,0.013330071208031844,0.034321301018264146,2.1350230414746543,18.740759125640338
33,1.64449818117252,2.32190358916878,3.20549681252322,4.42931049232916,4.59358593713842,4.7818737563201,-2.49797754326877,5.60828927718041,3.84211941842589,2.8567599935869,1.78814193109152,1.6355155197733,0.433867621219576,-0.315326358798547,-1.0064928257582,-10.2334306335455,-8.85972554404609,-7.62462154102127,-6.60468795791083,-4.85577899482582,-2.86931525231842,-0.674172518311177,1.26591335696137,2.90289580803905,4.0316172840932,4.07697840799832,1.26543383151548,-0.0745471099892857,-1.16351211339689,-0.279318332870468,0.840258610772182,1.30122910755748,1.09212938051093,1.47350324874741,1.44572461872034,1.18431157691454,-3.18027755437459,-1.59393004703897,2.83674554388902,1.64648537404934,1.872120265736,1.18650928980727,0.548361095108469,-0.17447384145681924,0.1231144018550201,0.23556681046240202,0.35770395286081047,0.27908749347017475,-1.1540667553294723,-0.6400504180373522,1.715188122346723,-0.15066687816328245,-0.1028958012963639,-0.047222092328248755,0.03373668014031718,-0.018694141188544774,-0.12089773964782591,-0.39484908343660957,0.6039030960975079,0.08323700615871107,-0.01562963177666278,-0.07885850002468499,-0.017541915437725396,-0.015825865566946772,-0.03308450804515464,0.08825844143123915,0.01789698779052869,0.01996933549430239,-0.24764258639360803,-0.3142767315822547,-0.09070136387686716,-0.03545402550188547,-0.004011827220327802,0.002011621446006472,0.037391676615413136,0.10218800355723323,-0.023937736804866837,-0.045502644613641195,-0.09150407879842111,-0.0609668881066934,0.15180580370423033,0.03599357541685648,0.011626066750727002,-0.1370533954294528,-0.046970743819943823,-0.02426686357426936,-1.7728878648233486,2.3660704294632495
34,3.14644349148579,3.31385848148575,3.75316691955966,5.07657829364326,4.95091430952161,4.34649847235651,-8.99963003736795,3.84211941842589,7.61156243142418,4.62411501990168,1.56418320979824,1.16951739045568,1.67026620295762,2.60936267845338,2.839132932599,-11.6325247155723,-7.96610430681182,-4.52857740433441,-1.325732524126,-0.772907732909345,0.668746398443508,2.2954378295219,3.92866327316152,5.8971108125697,5.84134099617669,3.82741758119067,-0.0707496390483061,-0.363551614507627,-0.37085913068746,1.61697723487517,3.73267659413878,4.87812291143527,4.62802278662596,5.07214491376195,3.56872538389538,1.97103051293009,3.60173458348823,4.49390380607303,10.7400130286312,5.61692805279631,5.67563673310886,4.64313043782864,3.82717285316288,-0.09854038110612696,0.0031586421957759975,0.05821245285664506,-0.06214701597547388,0.026432580208301592,-0.03202533702184165,-0.007448301219750849,-0.15552018569203846,1.4458234826554317,-1.737300755529569,0.7474794782211154,0.054579824944738356,0.020484744415630005,-0.06402528577351449,-0.004128168361751107,0.05420211064010736,-0.0035858339916121835,-0.054703787296516496,-0.013883746269292797,0.017665310453360974,0.03449635122904359,0.04756703807214886,0.0331800814499034,-0.03672768113254903,-0.07209407293008543,0.04688669620172386,0.04672434941988787,0.10743839290727962,0.028933691668632952,-0.06202093124466388,-0.18154804006647304,-0.04214955409486224,0.06840960353297539,-0.023698061492859832,0.020283657769119705,0.07467718080275555,-0.039006130651141814,0.08894213860983341,-0.035334607467643456,0.09010194128156726,-0.023263307815245708,-0.030704436540983746,-0.040039431197688116,-1.2030721966205837,2.7570931125778437
35,1.65041661916013,2.43255237979044,3.29185261574207,4.52148209459976,4.10326610025327,3.54925453987625,-4.53936995653655,2.8567599935869,4.62411501990168,3.86416666666667,2.99833163602606,0.731548666647453,0.960397344851628,1.42135792516979,1.49528520550288,-6.86818105842351,-4.50692267071571,-2.29178324238958,-0.288105319392208,-0.297195158136021,0.187338859325769,0.784627262221038,1.71160624488059,2.75756728107946,2.74073379703243,2.06213085747161,0.186383780088359,0.0322224716945878,0.125666791464849,0.805898097811089,1.56239974071704,1.92210348990742,1.88267830621883,2.45764105553334,1.96239788748319,1.41010970050678,2.56358030382083,2.3408216635495,5.57455849362721,2.64096637281975,3.27509555340574,2.82853936077427,2.50527768876534,-0.01638615137879545,-0.029012847528647856,-0.012156902769864461,-0.006435854141657406,-0.004056371974210036,-0.030150297184334804,0.00011315359018468715,-0.1025684618581299,-1.7417373342579803,3.9117026709784195,-1.6876502980392596,0.002915641924118096,0.00696133733839543,-0.040318363044133464,-0.004082874653452817,0.025367255426483774,-0.030857967662389827,-0.03346947064974106,-0.0028527827698550485,-0.004256664348025804,0.00042800386608355865,0.023083590161311434,-0.0036658276119266846,0.02058789468035126,0.07040287210183822,-0.19937026342413044,0.15654520866835014,0.06092432935114696,-0.022090444894419504,-0.012141199347611738,-0.01000132671749358,-0.03345779338582303,0.008344592752741273,-0.02068057375550556,-0.005618552343383663,0.014320832602552189,-0.01744910111207675,0.025137605312208957,-0.005362215733081268,0.10167253086208591,-0.03524239792155001,-0.03724309309191561,-0.019378030431297887,-1.75,1.963203164898291
