,Cov_0,Cov_1,Cov_4,Cov_6,Cov_31,Cov_32,Cov_33,Cov_34,Cov_36,Cov_37,Cov_42,Cov_43,Cov_44,Cov_45,Cov_46,Cov_47,Cov_48,Cov_49,Cov_50,Cov_51,Cov_52,Cov_53,Cov_54,Cov_55,Cov_57,Cov_58,Cov_59,Cov_60,Cov_61,Cov_62,Cov_63,Cov_64,Cov_65,Cov_66,Cov_67,Cov_68,Cov_69,Cov_70,Cov_71,C_0,C_1,C_4,C_6,C_31,C_32,C_33,C_34,C_36,C_37,C_42,C_43,C_44,C_45,C_46,C_47,C_48,C_49,C_50,C_51,C_52,C_53,C_54,C_55,C_57,C_58,C_59,C_60,C_61,C_62,C_63,C_64,C_65,C_66,C_67,C_68,C_69,C_70,C_71,Mean,Std
0,354.270776477041,301.023464415729,213.8206541955,126.269814632636,5.36358119711618,-13.0598818423512,-16.1048444537827,-1.90026837013136,-18.9523011752421,-31.0761266895687,-17.6024900233884,-3.82956376262925,-16.3366821159715,-11.8190462907366,-14.096420666143,-10.5863045978954,-7.18332046063121,-1.6617755353118,-10.5449680073395,-16.7531279919176,-22.0106870893367,-20.2478078939879,-23.8096212338621,-29.3784006240653,-23.7627883831627,-18.6437325576163,-3.48713859792634,5.43105542936597,11.0382685747671,74.6916841276259,18.8004250846778,-26.2698593243177,-13.7049291054117,-1.67886504434668,9.20705258683042,19.4365855691414,33.2296881083705,52.2030378371993,65.6253092887886,0.7233485716457967,-0.7155514594427883,-0.2166154005787698,0.2091525105081892,-0.08888135485918051,0.14736976393313328,-0.22941916118474237,0.20933318813977983,0.03192945243388875,-0.010733334905919113,0.031351928001139215,0.07306012250411657,0.11855788966138196,-0.008166741851901001,-0.13047338300035988,-0.008395365643208095,0.04200484578567429,0.06669807981040353,-0.07221103549362828,0.050793226526660136,-0.019842052933030565,-0.16104035448855428,0.01608028721898266,0.10121029830914609,0.04267895951654646,-0.016276081901437246,-0.06308794649386287,-0.00800491277394457,0.06122621075037468,-0.08953666573631337,0.004988759140525248,0.01075320732540326,0.01922055293045907,0.055586833040673786,0.02325114048102206,-0.04261245669481417,-0.013402530703093734,0.0036909511079906256,-0.034205929185730594,4.932327887166597,18.821816503117898
1,301.023464415729,260.304402039266,188.019592574781,115.101635285346,4.41279971916827,-10.6475550165493,-12.2520841663793,1.56227303861593,-12.4493021052655,-25.3278688283788,-13.7992081451178,-1.99206178428382,-12.3678566124109,-8.96374003165322,-11.071479058624,-8.04380291337843,-5.36194681925119,-0.657608286820954,-8.77289328229187,-14.4737041740545,-19.9546100638528,-20.5956445106039,-25.8450565993396,-34.1546481320532,-32.6928055952582,-31.6601701343807,-16.0305265849318,-5.77610982665462,1.39022175776028,53.1667442943264,9.7387965315547,-26.2015970996499,-17.1666543229462,-8.60644048913093,-1.05130741041523,6.56518822076384,18.3102769296191,33.8341170552482,43.9674646867729,-0.7170578536424491,1.892301944810893,-1.7849611309088913,0.6263289214626946,0.004503383076804452,-0.23003280987970745,0.43180364530192344,-0.25639095897816166,-0.06694861741049064,0.035432410472621016,-0.015461611803945523,-0.09085868900113393,-0.22208189020563046,0.06933907640390022,0.2568467817299965,0.01612967608774954,-0.07786298665427782,-0.15120880598899056,0.1068414040376604,-0.05884911944126337,0.007614230493914889,0.10486446553018215,0.008185187518194132,-0.06808643503463772,-0.044575225805151115,-0.013179189195367022,0.02416440203488598,0.05998170619290424,-0.02765713058372753,0.031065287033484424,0.005021840184182713,0.03428413401535885,-0.0020214882242121936,-0.05577371609659718,-0.055735930637764705,0.054148121211673735,-0.01274664120888285,0.024707651124507138,0.010756959988408085,3.884526136945492,16.133641933527173
4,213.8206541955,188.019592574781,141.233717183304,93.5250426485477,2.58531047977971,-7.4244932220436,-7.54711672938903,2.58167351851969,-8.27304478635374,-18.2278850403306,-10.4628006968177,-2.48404812463627,-10.5128233534509,-7.83000350814664,-9.46054533181491,-7.63398064515934,-6.00843070613093,-2.68738830004733,-8.63981116655844,-12.7612269986817,-16.6674037620144,-18.4570599227937,-23.0319786230478,-32.2084429183037,-33.9480353342148,-35.9999738274862,-21.303036367881,-10.5955013748935,-2.30313534645769,33.3768679599944,4.55685692142259,-19.4610945396638,-13.6270158981826,-8.16357933050636,-3.39786522863703,1.68945862311003,10.3045428461196,21.2936925050262,28.2888068381102,-0.198912542172009,-1.8075109130604121,4.08950879561607,-2.018317115156445,0.05629909841242645,-0.021635883776447564,0.03206055157185731,-0.045436295498373434,-0.000675349355311568,-0.003088813048162539,-0.020178509176155462,-0.01909839193376129,-0.008068686985159541,-0.008570979805493375,0.013466780516821156,-0.0014086604885264423,0.0010301567170318687,-0.016349738558365228,0.0183884444548064,-0.0031650968184398194,0.017315057995567866,0.03915608752250053,-0.031366040020264246,-0.029958935222750543,-0.004023398983321141,0.04105901984118901,0.037217379264254925,-0.010548294848805533,-0.09865265755040319,0.04085843197471551,-0.004048370757427761,0.015018472051086407,-0.001215399098610438,-0.008868966737837821,-0.006184671276450785,0.010650381921763522,0.00330917285651112,0.0033715712458822797,0.002402298857500825,2.0625308383372896,11.88375854615466
6,126.269814632636,115.101635285346,93.5250426485477,71.3494709316367,0.531712544499722,-4.57394221975252,-3.16516577949772,3.3121304866324,-4.46602885986512,-11.3898555465276,-7.16412115629922,-2.77822609340604,-7.79398433121839,-6.10305220392877,-7.50896494000717,-7.14846452997104,-6.83508985031828,-5.12755240202139,-9.2213758563665,-12.0004142108585,-14.5553529284503,-14.7920896633158,-15.8935155453689,-23.0630524154135,-25.0210604520019,-27.1930833417657,-17.7666632185474,-11.1381549754757,-6.31719917271469,13.7469745837805,-0.417912580718799,-12.4996865138192,-9.98226405292515,-7.74139651580283,-5.89868967440178,-3.58982800576107,1.49697339309348,7.94956667540618,11.6929923807016,0.20464644245042982,0.6263721948781789,-2.018170270169321,1.3315994581111343,0.06440955957686728,0.11753015242000212,-0.2417555153697865,0.05828544046213661,0.0699863076278289,-0.03198564785266314,-0.003514555195395095,0.038044333589548375,0.17359160968282872,-0.10385972566946759,-0.15173739819426546,-0.018452311684079792,0.07029252014799216,0.05324689123665852,-0.02456360963025735,0.027618810990383973,0.04397400571940846,0.033198086988867316,-0.049254941698795615,-0.0035361781175274522,0.006101084485519079,0.010449645768876453,0.014453350957400808,-0.049814362870599406,0.04750024664753417,0.038413739311704276,-0.039670676974712785,-0.018688478328484495,-0.008892507563570204,0.009480852716973307,0.041949748091346335,-0.0240322454337763,0.029272565939621662,-0.018651487390164295,-0.00867840085053113,0.361503281664572,8.44626964592279
31,5.36358119711618,4.41279971916827,2.58531047977971,0.531712544499722,1.70952457122545,1.26057753877867,1.28743751344075,1.47538175245735,2.59390315785627,2.79417401556102,1.64979612151215,0.505532306121872,-0.65520679495825,-0.548506667270386,-0.387018513229224,-0.0784630478240051,0.241745821933574,1.23257166782142,1.08000733253452,0.88843032266047,0.747622623352152,-1.98743131299141,-4.6674202330905,-6.69294347010023,-7.2590109600124,-7.82823601680436,-4.65729711090697,-2.13289689878521,-0.161568715943525,-1.58512382441777,-1.82719561366185,-2.02686217676721,-1.46174559993957,-0.948582851468316,-0.431750676218421,1.06899137945119,2.82227561205952,4.05982775962813,5.07879077668309,-0.10866606750130907,-0.007177694615691836,0.03427518978410453,0.07190229328650986,1.7420545923529331,0.021862322772588455,-0.06780970333975413,-0.24604117168228853,0.1858456342391556,-0.03452602188497594,-0.1363259827850782,-0.18552759758783854,-0.045919474738948245,-0.08135190297700784,0.04268568903421648,0.22878710236725083,0.20245300593690974,-0.10274218848031237,-0.13248997097756238,-0.03123723161716459,-0.13748361852191993,0.11552296202069202,0.025784839275373065,0.06718513823925391,-0.006761235200262555,-0.04741317711811038,0.13185547960799374,-0.2518530620488773,0.10424700712288262,0.16785083374204768,-0.32373178948613845,0.010900318305609419,0.03092525235532588,0.12112997391420952,0.4148801485123235,-0.3328250442563174,-0.12622229001646612,-0.025952688874584535,0.040818219326532935,-2.6979472140762466,1.3036581496793747
32,-13.0598818423512,-10.6475550165493,-7.4244932220436,-4.57394221975252,1.26057753877867,22.9938646731242,15.4784333345227,7.12722138189113,3.68446883396366,-7.67638263618174,-5.11345585619294,-2.83081091572241,-5.28627393041847,-6.4435495646404,-6.60480006757912,-6.76553188777215,-6.64714688718942,-5.31675261795542,-5.48068423423997,-4.82107895187429,-3.63320672021328,-8.29113669219193,-15.3259976476623,-21.2895530573878,-23.6620761036673,-26.0692303164061,-22.298899102675,-20.3755405128268,-20.0666995649061,-8.68171562014711,-6.93363914364971,-7.51321777734061,-9.81972013911347,-12.3189771471328,-14.999668952743,-15.9377375080292,-9.58363788498441,-8.47575036419076,-9.02503145826429,0.1616872862324891,-0.2086039552608744,-0.010457552605311166,0.123502702505998,0.02241165672353525,0.7559519726789447,-1.0216354493553954,0.3491037305024513,0.09318809594430277,-0.04453706696146,0.003679767354423805,0.07146217316153936,-0.0009008730002189574,0.08164382749108694,0.004847894944775773,-0.05139486856079389,-0.10314070201403688,0.09913746234726627,0.028980038308257444,-0.05220271074414121,-0.03786724540994415,0.04008370876500635,0.023772894617497056,-0.002010731466549489,-0.07735230537901833,0.11351103990457799,-0.08278541356663616,-0.009041621104550517,0.04622413358253689,0.005557416363712162,-0.01404933145797312,-0.028390025625410507,-0.00928845273373383,0.007543632996239204,0.051794507850190255,0.0069118098470138875,-0.0414502576461507,0.01682495481650679,-0.007832888998344247,-1.5266373411534697,4.79414900405945
33,-16.1048444537827,-12.2520841663793,-7.54711672938903,-3.16516577949772,1.28743751344075,15.4784333345227,15.315432625374,13.7327305688979,12.1306209382396,-6.82522427584437,-4.39654549400372,-2.1371458717168,-4.78643840400949,-5.99748944292649,-6.64355164295944,-7.31946150208244,-7.6310051454112,-6.86516148861535,-7.11849803843952,-6.7843480067529,-5.80912005564086,-6.9958658938361,-14.1890129724857,-21.1600140098234,-24.6443692149789,-28.1383403558865,-26.7147506861362,-25.4788218925922,-25.4858738249174,-9.31127665933448,-6.32876942551082,-6.79227245076308,-9.41618256213365,-12.2073527436409,-15.2503190287139,-15.2621351654397,-10.6745418178065,-10.593135804996,-11.6292766132555,-0.229572414177931,0.43916280489200127,0.034690678182423176,-0.24256561811949856,-0.05862239265437618,-1.0276523856180224,2.254053724088819,-0.6371425438050375,-0.3248718552238489,0.17027074895299782,0.02412285155207658,-0.08502293408081545,-0.07925509699096782,-0.0198313683026193,2.399357466129398e-05,0.07890169581811855,0.3575711547739932,-0.23836934262622042,-0.008923199642674686,-0.0639753291210693,-0.008499046499150554,-0.04164439719088124,-0.026966705104099955,0.06428147090106792,0.15532131130884624,-0.1596625000625661,0.02007233674619038,-0.002982911873759242,0.0093583055381107,-0.019482854688385523,-0.03711640665493006,0.012295388419491802,-0.0067717386990474105,0.028534440594011078,0.07900870365644685,-0.034093097234684365,-0.0766988496314619,0.006336471725341851,0.023902399025364673,-2.3069403714565007,3.9122158203982016
34,-1.90026837013136,1.56227303861593,2.58167351851969,3.3121304866324,1.47538175245735,7.12722138189113,13.7327305688979,20.9086125921976,20.4315413447972,-6.50986705566915,-4.187157402,-1.92148128124319,-5.44290040562953,-6.64244177972364,-7.68951016729752,-8.31117384037405,-8.47096674651219,-8.55629971400428,-8.99541714939842,-8.84597143591712,-7.91170195564835,-6.08736542828182,-13.7941782764355,-22.3772788961143,-27.3354035680621,-32.3645123489374,-32.8349142416378,-32.1316954751181,-32.4668053253931,-10.1891624992688,-7.38412674113409,-9.21757217566681,-12.2121454124108,-15.2700824554184,-18.6653041666387,-17.8263305553435,-14.9118789523594,-15.5826638854125,-17.2104810775285,0.21240975927770747,-0.2532625274507237,-0.04524702711707379,0.052614556695802346,-0.24760975735832405,0.3542803734069006,-0.6458455499731344,1.425904734380061,-0.634509054440564,0.31395159652309895,0.07638488651141201,-0.062326833311636236,0.05182257408687697,0.03423853477806441,-0.008476530662631402,0.004556037527748499,0.024895238480854884,0.2907050522668783,-0.042986281714792025,-0.08529684747481671,-0.029303505034279396,-0.04541894153447887,-0.1397602197684608,0.26407495705831924,-0.05438387837420775,-0.054264289384888316,-0.04299350725588928,0.10382392932016309,-0.051710391415047824,0.09795916455336293,-0.17705137810768318,0.04483331192259574,0.04622175720466745,0.10151398984965183,0.17175418813664103,-0.15293568179363673,-0.11024589839468796,0.20805240336411882,-0.09063016145181985,-2.813049853372434,4.571500037427282
36,-18.9523011752421,-12.4493021052655,-8.27304478635374,-4.46602885986512,2.59390315785627,3.68446883396366,12.1306209382396,20.4315413447972,83.3000963298676,113.183564757271,52.7510474949466,-7.53377177915755,-9.63227821035568,-10.4721684073369,-10.8058951124272,-8.62537424127696,-6.18705876627456,-3.19856679383099,-3.94477072096962,-3.031003649829,-1.77415753168605,-0.33796340561953,-12.1206759798259,-22.5906705226516,-29.224364458643,-36.0434806346751,-37.5099760251004,-38.5467412448627,-40.939851655751,-17.7409188351335,-13.9004048038236,-15.0851130400027,-19.1366667784402,-22.4375826009231,-26.15800853524,-25.0436969675005,-23.9466204651896,-24.8969414919508,-27.4231042533279,0.01576002912975542,-0.09150388608577735,-0.009352204400398148,0.06659814913996487,0.18448539157643673,0.08989466723306015,-0.3204798528741751,-0.6342757934632861,0.803752035172014,-0.3517332559326494,-0.08288976185997671,0.08749327667421695,0.006527765893611008,0.0014117046430933938,-0.007152519715858994,-0.02904380796551732,-0.0998491818227703,-0.16498346107215267,0.0465449283683722,0.14247522158573528,0.17205171115799323,-0.27717641763508505,0.08612378691508799,-0.0314691121146886,-0.00456280471267775,-0.018063323945790345,0.14750660135962118,-0.10329821505191793,-0.006549461898636287,0.007385136195690711,0.007600982430002536,0.08585096888947508,0.019147257251043874,-0.019303044799029317,-0.09873336527488702,0.03349782678340262,-0.005431419304334201,-0.07871757834666765,0.06901452487547696,-1.181524926686217,9.126340796281257
37,-31.0761266895687,-25.3278688283788,-18.2278850403306,-11.3898555465276,2.79417401556102,-7.67638263618174,-6.82522427584437,-6.50986705566915,113.183564757271,239.500924731183,113.030833217728,-13.0531080168774,-12.3832490142545,-12.765889528688,-12.5448464507258,-7.59937714109164,-2.7215680764287,2.82561475449418,2.1972002845318,3.6662527002659,4.86170456673828,-2.09150835913481,-11.1030637625298,-17.2776925639079,-20.9239702880615,-24.7192036293772,-24.8408218515385,-30.074448494489,-36.5432890313506,-20.181630861651,-18.4879366658216,-17.7348680960477,-20.1879439343366,-20.9652854798851,-22.1897537426763,-24.0392385258573,-28.6227979496293,-29.3830962062007,-31.4103104697923,-0.01356419827767296,0.04442996888388999,0.0024964443785664824,-0.03577272160188376,-0.04624176764179512,-0.03701745127973211,0.15784204255796674,0.30552985799037136,-0.34993631896757865,1.1889813062032748,-1.894937585531864,0.7848809065400233,0.004405275128755713,0.023221285538531627,0.05629824109709681,0.04621889588813401,0.05368704323546815,0.04981313036315287,-0.004140148486837795,-0.025091420805805276,-0.07092181578781749,0.08245142007418327,-0.044652061087088656,0.02655513760586178,-0.0009747263681463281,0.020248379012396213,-0.05569061277340511,0.015294779511508021,0.0037187328976081404,-0.0004939283696879428,-0.001458426523917126,-0.032800227435621276,0.012357498111131366,0.01749186206359925,0.0500130588431739,-0.0510970659909365,0.00697341223826228,0.06841093821599949,-0.04816459668998943,-0.7677419354838712,15.475494329138014
