,Cov_0,Cov_1,Cov_2,Cov_3,Cov_4,Cov_5,Cov_6,Cov_30,Cov_31,Cov_32,Cov_33,Cov_34,Cov_35,Cov_36,Cov_37,Cov_38,Cov_39,Cov_40,Cov_41,Cov_42,Cov_43,Cov_44,Cov_45,Cov_46,Cov_47,Cov_48,Cov_49,Cov_50,Cov_51,Cov_52,Cov_53,Cov_54,Cov_55,Cov_56,Cov_57,Cov_58,Cov_59,Cov_60,Cov_61,Cov_62,Cov_63,Cov_64,Cov_65,Cov_66,Cov_67,Cov_68,Cov_69,Cov_70,Cov_71,C_0,C_1,C_2,C_3,C_4,C_5,C_6,C_30,C_31,C_32,C_33,C_34,C_35,C_36,C_37,C_38,C_39,C_40,C_41,C_42,C_43,C_44,C_45,C_46,C_47,C_48,C_49,C_50,C_51,C_52,C_53,C_54,C_55,C_56,C_57,C_58,C_59,C_60,C_61,C_62,C_63,C_64,C_65,C_66,C_67,C_68,C_69,C_70,C_71,Mean,Std
0,288.202080645161,339.157402442948,407.378880341147,476.738084108239,476.574651948769,475.584396907273,471.084806183857,204.898739274869,7.62433119018064,85.1654457794278,22.4912425663809,16.6961870814912,28.6156413380914,8.20867290718103,-3.88246138282301,4.4131442249748,-1.8007814862521,234.161247138697,43.2310517105779,23.1851901665904,247.939519698497,113.522642642112,45.7695410542612,10.2781431853412,15.477799558945,33.364808933002,19.4971171574773,35.7073737307005,23.5721287899373,13.478986361039,17.2697683239613,-9.06645634992003,-12.7451749092815,0.601508712530717,5.70788539890597,4.93778198142438,-5.65607112816344,41.8015758979355,-19.4415715378657,3.9980288186972,-40.8865969490977,19.7417747290799,-32.0114603249805,-31.866024731702,-3.77869329366211,8.48766398251464,51.0725912628084,20.2028660801948,16.5650407887264,1.216829580768519,-0.17084965799236995,-0.11731245129585624,-0.3314790330821292,-0.004016296927001927,-0.30269595474635513,0.1120859621405707,0.12432257479494666,-0.23478307792569392,-0.027591387282765726,-0.0860352977116899,-0.08732036711206237,0.571176567739834,-0.17883571760427833,0.28270546447929706,-0.2080011333143379,0.22193201848832764,0.05588198160592557,-0.3448651010484528,0.28086520230795003,0.12775254215174053,-0.4667943203775077,0.23815268131690834,0.0013533715383895265,0.09373824041246087,-0.004851711334553819,0.0435822747620548,-0.15495311162203057,0.18045148818426168,0.06894864246475718,-0.1176144425095647,0.043313725387460845,0.15395692243757028,-0.11297496437226924,-0.41144556156110895,0.08597454863904508,0.37932735281319435,-0.0869285365327273,-0.1196437422936991,-0.027051856041199866,0.11293142487906559,0.1354776171027508,-0.05279543048542943,-0.01607914579034579,-0.0011430669954479063,-0.1834242674576086,-0.05199979740274017,-0.1393776029210424,0.16354973581581386,2.1682795698924733,16.976221035470797
1,339.157402442948,428.838046794106,504.663670402022,584.885661511259,590.598870066435,585.670372820074,585.491824509577,254.070793257279,9.93348403348746,106.270651272608,27.5838822747337,14.8352554027923,41.7283820302205,26.4726501553785,12.870487651242,4.58471780613834,-0.108781685818688,275.999851531457,46.8145116624445,29.3542284183859,293.040028375773,130.406058724946,60.6686476131564,-1.17356798857022,10.6518744723705,37.2121009905338,21.071812632048,45.432800428186,32.0054230137008,19.378014415132,35.7582383765562,-8.28105046845444,-15.9878259123208,-3.91340984967631,4.67662297150922,6.81912919988404,-10.829988986897,43.9404031043429,-40.0570543872867,1.15324430789374,-55.0985493099113,14.7197458209764,-60.883061750294,-55.5917518558758,-22.8428555630217,-6.93848081339341,48.5227240711691,5.27145755187354,4.59229985873897,-0.17084965799311266,2.060396108358447,-0.6749408667785608,0.2232288257828579,-0.511941144518179,-0.43513826298045094,0.17943987328661126,-0.0728218374495479,-0.04586273091542457,-0.04799240140365823,-0.10727787960930434,0.06345488077123632,-0.2058676141046545,-0.4178850288447461,-0.24192749920586623,0.021325853161687097,-0.2502565173704525,0.1251325965150381,0.03533411263269331,0.2172618106037901,-0.23697804853737478,-0.4493556905645112,-0.3552950006798482,-0.07305057353552787,0.34753574840595547,0.25293308001184367,0.4146152746268175,-0.06262707010624373,-0.09862016813702072,-0.46709656803082616,-0.046626420048189704,-0.1304145055733341,0.2912117093518694,0.10097503038610398,0.2923145184940123,-0.06299049887041638,0.09297827507734786,-0.2017349537130197,0.04131277482356183,-0.0009286476672517747,-0.34371288194710886,0.08429218374488129,0.028647906911708286,-0.025461552889587208,0.3625618537104419,-0.0062717090794741975,-0.03302620771041811,0.06909726703965038,-0.22740807242408473,4.2840501792114685,20.708163771665173
2,407.378880341147,504.663670402022,610.195647301872,707.891258343862,708.692551184286,703.210190605804,710.19314938874,307.706218707197,10.4176925150339,126.922604700035,33.4992711681065,6.9240616508722,49.6609247666179,23.2134429095575,2.07238635920786,5.96502698901685,0.906651677427777,328.445180930925,56.580616090572,38.0438231404142,352.022762009495,153.874293385643,65.5094870166315,-4.09632270296531,14.9638951958312,47.4373456683098,28.6194523092329,56.9822197452262,39.3690667047215,20.7191623728952,35.8568132993749,-3.60236686050359,-7.36988604327567,9.51571676479074,28.1402530232587,29.9212896142258,2.03937384209148,74.1561669869037,-25.4069904441449,14.3678915176457,-42.4593863000773,53.6799965592335,-42.6044288769028,-37.9991939666316,-7.49319611473076,8.11729391048288,68.0212267327648,-5.38204173925052,18.9788776043463,-0.11731245129615589,-0.6749408667782044,2.289824235507603,-0.9884661216709464,-0.0591007248351906,0.22369859917605836,-0.24837764377679744,-0.5100361627096681,-0.05598489205433574,-0.2437522613894178,-0.1154347895476663,0.11477909962346286,-0.4540788758111711,-0.10860146245662153,-0.03872241504337061,0.1182488755177422,0.19925429805014738,-0.24021987871633022,0.01906883436233578,0.12782133253328792,-0.11244251655335592,-0.22852560377511252,0.00030138488735759346,3.938884312666642e-05,0.029558586870195056,0.7152704432572968,-0.16861709867407307,0.09729597657706204,0.2401541068431331,0.03753512728136977,-0.03264605284491546,-0.28519470290925514,-0.02505029004561299,-0.008853049716538029,0.09095927780379819,-0.017886284775331076,-0.05487836130269751,0.15253140452568661,-0.4408727326390701,0.137091791339404,-0.007781202845679198,0.09671040992205117,-0.1637856946019079,-0.25049426386043155,0.013388899713010308,-0.07034785504147295,0.44711259688840527,0.13616663933036796,0.1315702776225791,4.577508960573476,24.70193610431927
3,476.738084108239,584.885661511259,707.891258343862,835.333322580645,839.04882564333,833.494606869486,845.441972234974,361.446272788586,10.6399997239686,146.218886305734,37.9200736777494,5.53136695396479,53.3121055239536,20.7519066681131,-11.0730015201156,7.36877012788592,3.38383999535673,379.446338527292,66.6200932253269,48.6518684037099,404.805214595999,173.274940681143,72.8722987502738,7.16075068773764,24.603084352379,55.4610874289122,34.8003508484125,64.1373459836978,46.6525314927655,19.9739647858553,37.6497430950001,-13.2133201247278,-21.6705452846459,-8.1233287552143,0.46566677244167,0.241633497915915,-15.803626030852,60.453026361225,-54.9513585487887,-17.3354339725784,-86.8039700823174,19.8956181307045,-76.051784992107,-63.1739865175728,-21.7274597884046,3.30985018557398,82.106174203784,-10.7286377009257,21.3967822781376,-0.33147903308146276,0.22322882577523914,-0.9884661216688044,2.203606197800135,-0.4989681800943027,-0.5237171237424741,-0.1036501231838596,-0.059382341501411064,0.26811347599238555,-0.2121186370970149,0.12763206004694733,0.1582375512759011,0.15336419839856788,-0.033780569829277504,-0.05282804121955624,0.017984113545988622,-0.1839350810712422,-0.20740506361285216,0.28866463598615016,0.14134308221852623,-0.27009957641855636,0.4409265671025904,0.18559435570858912,-0.06143470905720973,-0.2628375698689777,-0.18080903240804203,-0.7877605873361562,0.0691370294249599,0.1745938739557921,0.31950026395529324,-0.10430424983923436,-0.06303694184106179,-0.03415752272005117,0.04464310028531639,0.049630598019459155,-0.16739075618911956,0.05904014723022103,0.12829489904197047,-0.12684926222811285,-0.1561379036449499,0.2923798147028362,-0.1004646495440815,0.08988016741354256,0.028053008979648665,0.16222916549234087,-0.21876380600574208,0.042694413191510336,0.07364774600410716,-0.025444470454441457,5.33010752688172,28.90196053178132
4,476.574651948769,590.598870066435,708.692551184286,839.04882564333,876.443526284349,886.938045987688,921.885207753988,396.046008475432,12.8709571843138,150.576040987063,35.8623836025777,12.5079043975406,56.5020187447366,16.0690993889866,-9.39067005876055,5.70866023615552,2.12952966032041,285.961866494601,53.485154495324,54.4425239383952,305.799305416633,142.826541322874,72.1058756999509,0.329417314689583,11.1750408109421,43.0500262975135,27.5245752023916,64.6908577839579,50.2849479284606,20.8608703167584,33.6128687033902,-15.2612105486794,-17.1399954208897,-9.89537825163881,6.11456887364859,6.65812697882054,-13.5762320055331,59.6699357931629,-42.6910531432675,-23.3125677636278,-77.5040522749578,32.2858685274724,-80.084284329419,-69.7000235749086,-29.2447553972149,-12.1327677513166,85.9842383409066,-6.98972590941082,6.38463168888675,-0.00401629692896627,-0.5119411445115645,-0.05910072483827485,-0.4989681800942273,1.7793767455150724,-0.7661388933897527,-0.05616356820739521,-0.00506495373253175,-0.2122028439281522,-0.3656846564579949,0.2912720303198764,0.22316783024683848,0.0885911200740453,0.1785918660274922,-0.049725859055250295,0.03770755909731896,-0.0004815012561522826,0.18992148663531613,-0.22725054899676225,-0.08110250473909701,-0.03940470853323542,-0.012111060255807122,0.17487996857192784,0.20893442299156728,-0.26714149178538277,-0.24227922658180043,0.12545188945984032,-0.20983459883671782,-0.3743957989838626,-0.08199711814546258,-0.016908152026689986,0.7076009403115113,-0.23124065502003024,-0.1156412728154372,0.4029245589884163,-0.12570469151775235,-0.5188359387237953,0.35857247840302897,0.033613492870959584,-0.14482074129571884,0.06807612745643282,-0.12659618713406878,0.20156745977571625,-0.036380691664933136,-0.1800706097138261,0.21195208150564776,-0.10916351698594745,0.010951985642981004,-0.05679637937204872,4.463440860215054,29.604620015875042
5,475.584396907273,585.670372820074,703.210190605804,833.494606869486,886.938045987688,927.881234580346,984.754382113433,427.893995010793,13.9723383984959,151.024975693183,37.9640045370731,24.298167271542,62.0087490804713,15.3105210260465,-15.0917891138274,3.19081701635918,4.17483931610787,188.272680685545,36.044995356115,55.4658457528988,200.026602344595,111.325661445766,73.9273552343113,3.58899690706268,-0.929173903522579,30.6312037429026,21.162952553187,59.1836344379062,46.0842522479656,15.3380039345491,27.357239548266,-18.1719740343186,-21.4373465483184,-18.2767610069698,6.82826497477291,-0.762665887409129,-22.6106544066881,45.4283935428319,-50.5985027724093,-40.6744894834917,-82.6817076653588,25.2611131471728,-72.2794151525054,-71.5029650063867,-34.2626688496099,-12.2266232748741,85.1530316090668,-22.7320318774904,-4.64556225905915,-0.3026959547477335,-0.43513826297642716,0.22369859917742702,-0.523717123744351,-0.7661388933904815,2.4275328731434076,-0.805783432658041,-0.11461970568754931,0.18389733106476705,-0.21268947271964356,-0.07803372749904709,-0.5277861318952939,0.05533358598588948,0.05480214792335005,0.03170759671181033,0.04720252778261697,-0.22548689372439645,0.06118732660325457,0.2746317175187764,-0.2913872119712984,0.15872082402877072,0.005420801339312249,-0.12012431242732942,-0.09579251162153021,0.2745157803126463,-0.22170825333507974,0.33594285972984655,0.5109186742365887,0.15126699420066042,0.10989452893354404,0.2180952634717844,0.07203526239338412,0.014830048550704121,0.14254814007822647,0.027163144690080344,-0.075066477096221,0.17798263756668614,-0.5138999773635176,0.21572634801078047,0.019244282844835706,0.058849735952163,-0.031400416220676144,-0.028236076742369793,0.10741986527159496,-0.0015174159948615872,-0.0022831448900911436,-0.18540400932018372,-0.016523703258219252,-0.13258595795266417,5.343279569892473,30.46097888414531
6,471.084806183857,585.491824509577,710.19314938874,845.441972234974,921.885207753988,984.754382113433,1092.5491103644,467.208991101385,12.1001737389997,148.964501985322,38.8669629310557,10.8932567944111,65.2765055748416,17.3069636957707,-15.7301629055316,2.34107296111506,5.41761887241347,88.0870350052959,18.6652495065188,69.289605806144,92.1432529720196,72.1742446259893,68.8471891376401,-3.88882974712704,-14.0892215807307,17.001972442775,16.71305437364,60.4118272201984,53.0852008848506,10.495274459788,22.4425834415868,-19.2399784911004,-26.9738986917515,-23.80621465499,7.95107451314427,-11.0120965486424,-38.2635619225876,20.4733941384327,-67.8778711669588,-61.0529763617576,-88.9879943541921,14.4959687321943,-73.8951797067336,-72.804045064715,-43.8404857018878,-28.2668416013114,76.6235737460175,-41.8810099427608,-19.7170938831377,0.11208596214079505,0.1794398732851443,-0.2483776437767003,-0.10365012318416646,-0.05616356820678459,-0.8057834326582338,0.9277478626301812,-0.21364316538097639,0.01275639238949887,0.5960301636648307,-0.03335042877667378,0.1790522098653058,-0.07588502538750451,0.1439210746913389,-0.043441823090188465,-0.106538909303408,0.3110822645119233,0.10709487539167038,-0.06277979797500706,-0.31653514671520805,0.03267929596001093,0.15169218359677486,-0.10672550370239355,-0.014906775276925837,-0.004145820742270291,-0.1217164399589853,-0.00023521288124897537,-0.2878384906549035,-0.24263631213809608,0.03993472662309902,0.003463593577153662,-0.19697182036010358,0.24445117226349083,-0.20119270244235202,-0.18193048302862777,0.1666844831880276,0.0965068547985491,-0.05381760206912747,0.0009889044703535017,0.1065243035986838,-0.15357420624738152,0.15575051171930793,-0.23950528633138843,0.16265572484491084,-0.041532741420371985,0.1682462233014826,0.03272018133384457,0.0024758696659159325,0.09063089746608056,6.862903225806452,33.05357938808438
30,204.898739274869,254.070793257279,307.706218707197,361.446272788586,396.046008475432,427.893995010793,467.208991101385,226.897137208781,7.06377170889739,73.3299436336898,19.8765838934789,11.0921143818845,34.9231323306071,7.13800507081435,-2.88083444720715,0.234281391194014,4.56766117129854,5.99964701885637,3.64636341967077,13.5058278633411,-0.180931852599847,21.2103419527083,32.1406717666756,7.10600446167146,-5.65171339216092,2.45725393389552,5.65784338324501,27.3423670903216,16.6864463812033,7.13818110899899,10.0689971551532,-7.81217650401923,-13.0649507798379,-20.7296815579703,5.98975985639039,-8.49285748206272,-18.4742759469212,0.930027009770649,-31.1487020516783,-32.7386487992923,-40.2788975868449,16.7731653384563,-28.0781808183991,-31.4587919982224,-18.7122572846308,-6.39322230813147,39.6336905182232,-5.22599445636691,-9.47472547088476,0.12432257479486286,-0.07282183744978045,-0.5100361627094956,-0.05938234150161207,-0.00506495373376794,-0.11461970568575182,-0.213643165381448,1.8950735198526232,-0.07542981636529604,-0.46083155966008105,-0.16170094997606957,-0.13928892736071805,-0.1684043061999798,0.16935720693548995,0.41069371352638556,-0.15375664414865026,-0.1070651194931935,-0.12521633481984806,0.19667611916199992,0.2626710277267116,0.37631370587839624,0.10405585637006143,-0.23971211579139035,-0.15871642184538134,0.05104357744490601,0.26813253103821816,0.14043318036258162,-0.39629733799512057,-0.016642526118208573,-0.3086414123936265,-0.13691075596120883,-0.20038575516340995,-0.1924119717495498,0.18148601881244317,-0.5382262293492056,0.2836121771606701,-0.05264708913641346,0.30290095390777244,0.4656693119508281,0.10439016550455704,0.0247360995724211,-0.38028488445089137,0.21352610814359774,-0.1924590480173942,-0.08991060793341492,-0.09240821443846899,-0.3083055457106473,-0.29925539475101476,0.20728091878826188,2.9139784946236555,15.062773224369456
31,7.62433119018064,9.93348403348746,10.4176925150339,10.6399997239686,12.8709571843138,13.9723383984959,12.1001737389997,7.06377170889739,3.13147550776583,3.79275784405944,-0.118916965508357,5.16158185882794,3.54670820839698,-1.86784944907875,2.21329106321463,0.202488067547268,0.311790494335565,1.650871772353,2.7428629092262,1.02504236399472,2.45980356791179,3.10113020240568,4.03596187408712,1.60402716383271,1.04442251872208,2.52794066134238,1.48322660237303,0.987106033691553,1.53192795343693,3.38121915787826,1.33984506588926,-0.77399375438235,2.05422161688784,-2.44537455110774,-0.104445114882113,-2.13427046767307,0.22277883183382,4.78495056045128,4.5327971184269,-1.62018831478286,0.0610230790659008,0.62135033767832,2.07579261030339,2.34975120229934,3.16551517773257,7.22354890597987,4.36491546871696,0.824251114079229,1.20302450889726,-0.23478307792529476,-0.04586273091782073,-0.05598489205423974,0.26811347599290586,-0.2122028439275232,0.18389733106514305,0.012756392389651181,-0.07542981636454806,4.049403930793222,0.025806237023488447,0.24879254630795425,-0.2970762998607463,-0.3500508374246351,0.5694008057393145,-0.4450632812778198,-0.10745723399085985,-0.11126615044957991,0.19919191768955297,-0.48165126341928227,-0.026920586184486714,0.08488716907116874,-0.5119326057198167,0.08852372072856171,0.011315657465514795,-0.0023753003161217185,0.03331775762813185,-0.09562005215322392,-0.21302520157297894,-0.237236946249473,-0.17554932068143392,-0.3485521102793818,0.04744751886296739,-0.1105294844275867,0.023133777078864357,-0.0652382585303679,0.03141081084559972,-0.2861554865295178,-0.2561680258030772,0.06598259224469287,0.220942951823656,0.15319893396896583,0.15907467857840243,-0.0890182346693733,-0.11243030451186041,0.1300575726501234,-0.26597668975812433,0.04880587023371722,0.1152505609665179,0.3082718662199652,-1.1397849462365592,1.7667697947853391
32,85.1654457794278,106.270651272608,126.922604700035,146.218886305734,150.576040987063,151.024975693183,148.964501985322,73.3299436336898,3.79275784405944,34.7680271804062,9.56035131222477,5.37052224053177,13.5666452389143,7.23511171100174,2.54538962688135,1.96712826350077,0.157169288996374,48.3517848070607,12.3907113946651,2.28795623672198,48.7563332943243,22.3308918391388,15.7851190914138,-10.0569447893099,-2.20537200918066,10.5882217035331,6.89392491245247,12.0081802024025,7.03352333675702,6.05442777571426,9.52747243138748,1.20745519575807,0.138379721068383,-5.96998077290359,5.83103059986523,3.90705802097686,1.90888975507081,19.5164463729191,4.86802179139044,-3.32965085127026,-5.82684351157362,18.3589879661215,-20.09440492003,-17.9431538846349,-5.43779837003023,-1.71740482302894,15.7632701825965,-2.01299012227007,-8.95701500404561,-0.027591387282245576,-0.04799240140466782,-0.24375226138997652,-0.2121186370972588,-0.36568465645720305,-0.21268947271973382,0.5960301636645678,-0.46083155966055434,0.025806237023434337,3.2101217426716375,-0.5047943405524117,0.1897544130789038,-0.09459682188181683,0.0209090726721601,-0.2683814786972503,0.21792149426666496,0.09270960855462115,-0.05573305648115433,-0.45494130263058374,0.18870282232923777,0.22541290717791798,0.013393768401705116,-0.08609423666426429,0.0591009728483757,0.1565169420241443,-0.5168059416484639,-0.028675897637831273,0.6094324765863269,0.2332980156121254,0.039122598577333974,0.16638762713895944,0.21041664939395652,-0.49964567941830873,0.4208133942050155,-0.18839748022383426,0.06988426656046152,0.029004353142745624,0.0321872156332267,-0.013203989016377187,0.19806289768064056,-0.19732063812989062,-0.09513593332090896,0.17351265463699705,0.020240995784174737,-0.2579855976092268,0.08885859886493297,-0.04986469447241772,-0.009657293686155272,0.2517621062156326,-0.7123655913978495,5.895593878516922
