,Cov_0,Cov_1,Cov_2,Cov_3,Cov_4,Cov_5,Cov_6,Cov_30,Cov_31,Cov_32,Cov_33,Cov_34,Cov_35,Cov_36,Cov_37,Cov_38,Cov_40,Cov_41,Cov_42,Cov_43,Cov_44,Cov_45,Cov_46,Cov_47,Cov_48,Cov_49,Cov_50,Cov_51,Cov_52,Cov_53,Cov_54,Cov_55,Cov_56,Cov_57,Cov_58,Cov_59,Cov_60,Cov_61,Cov_62,Cov_63,Cov_64,Cov_65,Cov_66,Cov_67,Cov_68,Cov_69,Cov_70,Cov_71,C_0,C_1,C_2,C_3,C_4,C_5,C_6,C_30,C_31,C_32,C_33,C_34,C_35,C_36,C_37,C_38,C_40,C_41,C_42,C_43,C_44,C_45,C_46,C_47,C_48,C_49,C_50,C_51,C_52,C_53,C_54,C_55,C_56,C_57,C_58,C_59,C_60,C_61,C_62,C_63,C_64,C_65,C_66,C_67,C_68,C_69,C_70,C_71,Mean,Std
0,4191.1352133944,2801.4174618144,1413.85429552129,190.963882469041,1075.05941523205,1973.36348081004,2880.95170366894,1434.81315172385,-2.95031627908005,24.317392712678,-18.4846890246422,-34.8148480388427,-43.6915377806373,-42.5625125026469,-19.6622842693647,-1.90933749828619,11.5985258412377,19.5460300607661,22.9415328993071,-26.6919882312691,-16.6580346819475,-101.685692406162,-124.657153767616,-102.802274086191,-86.1676288726016,-18.9226776209898,11.3120115978043,20.2632012197663,8.26596287766106,22.0537657225453,27.0916591340134,29.2174928551311,27.4715518344248,14.9046601156083,-11.2745951532201,-43.5844083744557,-72.9237351551446,-67.793571996939,-62.7124995230457,-96.4671455452022,-130.184375212546,-101.413989338739,-93.5954867078155,-109.707504456846,-95.6383096290214,-68.8306524601219,39.2797594562285,161.449371381262,0.2834821048467301,-0.18260666520084176,-0.08721363886195074,0.07929843969738325,0.1378586727116551,-0.14303832292316151,-0.054715547872015866,-0.04653162467199062,-0.12785844416900502,0.0771230132207088,0.08215292162575026,-0.04453584706220154,0.06860743553958554,0.09493507689268967,0.07409410733156714,-0.17827305658109438,-0.03430645056158659,0.03906357972764768,-0.14368706193301728,0.11437598434094169,-0.04400744825158606,0.02584402966839482,0.02160207862428689,-0.01933249167642718,-0.0183286150390901,-0.09530483049331326,0.009682065523820216,0.01383134640113794,0.0820391988252784,0.04771107290200203,0.020600157161359267,0.06116795305475808,-0.003285258014705213,0.13696510055427574,0.09461566483543442,-0.11520112275988895,0.07155830122514664,0.05886686091116973,0.09951979182979774,-0.10566788991953298,0.018549566986380942,0.06670558050426142,0.06759489974959411,-0.004234324991995694,-0.03684917890584197,0.018414437055238316,-0.26689998046369484,-0.2964733079850042,15.47347670250896,64.73890031035744
1,2801.4174618144,1969.88140091929,1059.81402236309,197.843196275138,751.86759665239,1318.64210518322,1934.35603104162,964.2075187676,-2.00887306038973,14.7502311934114,-11.4456472303316,-24.4783363226005,-31.1721575034139,-28.7451686369033,-11.7753806737167,-3.60992717923446,2.16311225556142,14.9284637355002,14.1938895860614,-16.1800409717703,-7.59215594334205,-61.2112590702007,-80.441116658031,-63.5901262810886,-50.4613436680503,-18.9055071537579,5.74668132748426,15.5466757801326,11.7939168884963,21.6751479826731,23.7594878453541,23.1294254751354,23.2913321430591,11.5732332780915,-7.28670368124739,-32.7986242585793,-53.7795906279933,-49.1514763360041,-44.5983858419334,-63.0329388299027,-81.0335990315566,-66.7707009410027,-71.049019687386,-84.9412350609591,-70.7151242608271,-55.124585086681,11.5166145441661,82.7078772668631,-0.18010583858091075,0.23079134027425283,0.02386484245459112,-0.10943356377707128,-0.027205025965664098,0.12936365706149733,-0.026581922448437843,-0.03928851135565877,-0.03731817803615367,-0.030614334460086372,0.00838591629996757,0.01109703209556518,-0.00012470028580918203,-0.06014914705218771,-0.025040225335621957,0.12164512737140491,-0.014383479122989718,-0.06165503390505264,0.04299989817112574,-0.09277146747372628,0.06456547089748406,-0.04116136854796305,0.04169622679424309,0.014532635171877105,-0.014608102448210654,0.11190425407040393,0.03061366060859297,-0.04808913253663209,-0.14467018469686302,-0.13357271302479887,-0.04006527831276341,-0.007032098125296482,0.02596899836151355,-0.08426374721642384,-0.05512678283431829,0.056515698913781394,-0.03054222040961924,-0.011882340109281509,0.0035418207139154326,0.0767003678292817,0.013408133230225036,-0.09917158505934671,-0.03829952484496135,0.008623271374818737,0.009952306890973416,0.008213784863950932,0.14325969750082754,0.1311630379631773,10.870340501792114,44.3832333310597
2,1413.85429552129,1059.81402236309,738.252564516129,216.284060447171,447.279243003592,687.578857216151,1021.62350629917,509.543678802772,-2.7184187815128,8.40680478979376,1.48780785398401,-11.4836853935441,-13.976692392956,-9.922890407462,-6.44533819969219,-4.40628103622424,-4.1522528213646,14.8037089205392,8.78483068159947,-2.16704130637134,4.20183761147043,-25.213146112692,-35.4794993962462,-27.6026248246863,-20.9982258865127,-17.2793771999612,-3.6387565433044,2.60574552541399,4.16913902519808,10.0340130367933,10.5352027481003,8.82554894947035,11.2449604177861,23.2286593600769,0.265555554582946,-18.5925625792577,-29.739920927402,-25.0427387637886,-23.1622406743177,-32.550150047918,-42.6294565063776,-39.5520446532318,-41.1223343091223,-45.5277345952714,-32.5690076811398,-16.5534944071706,-0.257611217572803,12.6794169834186,-0.08814512012462547,0.023296189077989058,0.571095701454026,-0.7243244704584357,-0.11961058085090409,0.312860365371391,-0.2868495670925677,-0.023594190976015145,0.2333595554374288,-0.012116743183320454,0.023848619544691477,0.09248312695715279,-0.14295024558725736,0.05407001914653024,0.18006648851779186,-0.2587280651295643,0.14616564076167013,-0.16752148184795157,0.07381667541898,0.14881390258231497,-0.009741254737570927,-0.10378924344528574,0.09100129614144105,0.031154364002420037,0.04395431490388973,0.024936511673507182,-0.006591515192700378,-0.019850184266094383,-0.10442733665783532,0.13172544726475466,-0.06396914963475926,-0.009861497108379835,0.08429886258240393,-0.08046626435394434,-0.17023130895157093,-0.011214641686312199,-0.1432674059252507,0.025149013068482898,0.18165060509730316,-0.010844103450154944,-0.018465520370605826,-0.06225301521869172,0.04717291266892024,-0.07081209682170551,0.046530599259496375,0.0171874584929715,0.10767398835754184,0.15718947852475357,2.4827956989247313,27.170619509244336
3,190.963882469041,197.843196275138,216.284060447171,118.213709208733,85.6881321720835,59.9860985514628,96.5463849641215,48.183096214472,-0.067703060997158,3.1276935783445,4.70598356247489,2.17090932227613,0.426182170306705,1.89867310646673,-5.78167555003669,-6.26633439056136,-6.89819858341556,8.08804256192027,7.79391258924318,3.30551398306094,8.14086807532285,9.95799994847966,11.6470747308355,6.93739619915083,2.2168451473319,-4.37639439117552,-1.06343156558343,1.17516948032056,4.45544098766128,6.03585920814633,4.2608783092028,1.72426007299479,1.33398755054139,18.6180419133544,1.03537470728354,-11.0659533844502,-15.7063573089208,-8.12374779233602,-3.82228139058944,-7.75366988547157,-12.1585050294524,-12.819255393017,-14.8193312741801,-16.9433597466371,-12.9339810396462,5.3825860259149,13.4880218853442,5.86079534403739,0.08396518076688292,-0.10954232795600558,-0.7252739253640769,1.4414094923511465,-0.41042110136596505,0.037120584593946376,0.31538295974278824,0.055109087502550315,-0.12751052936485538,0.05702353359809126,-0.15306534650187098,-0.07492477055241502,0.09365143894565757,-0.10008890517003778,-0.24714876389367083,0.35139149804518394,-0.10904751141848419,0.3858858488529753,-0.06883359643381577,-0.23792938304251904,-0.11870740622414933,0.2558534403946726,-0.2284566850517223,-0.0943040615430669,-0.11720482434587273,-0.0013544911891155943,-0.04301136458237473,0.025723584836175057,0.43037587033260555,-0.18951545255866006,0.0015257757627234999,0.05663207609238989,-0.18867664987436483,0.06178328655449713,0.3024123156064933,0.13988676737829558,0.16736905514749967,-0.08768251177344527,-0.3871208021166512,-0.13961504434445046,0.06540501755909629,0.20075673701207503,-0.10246968537041037,0.1286250448792545,-0.06878036030577747,-0.07349393506949572,-0.028287870476931345,-0.1838406607911275,-2.7867767537122368,10.872152924270948
4,1075.05941523205,751.86759665239,447.279243003592,85.6881321720835,341.840536869069,582.406243809513,843.623448519762,428.390743453746,12.9935443770673,23.7212018379757,6.5635437524116,1.07193277998406,-2.15645830750111,0.6140243735095,1.30833737422662,0.134626846091274,0.955682072607331,9.29475874541114,3.9682595248678,-4.70184673190916,8.7266897826423,2.85960589015848,4.49666924711368,-6.56172873604555,-18.1234272035124,-7.77982267834761,-1.60957119514417,0.850975016691933,4.54972451604563,8.70008726181475,8.34475773584727,7.39618589765736,9.40454086433252,21.8266719103324,-0.420460322171984,-11.5324453001696,-23.3420586942657,-16.7606832280545,-12.9599781352783,-26.215844974322,-38.758422926376,-32.6537496146741,-30.9689014254197,-35.8407971436639,-32.8979959507127,-19.4009365293268,-4.10853203857945,7.41873330247839,0.14122330239973194,-0.03032429154939155,-0.12465603907423967,-0.40719534373758426,1.213947130961596,-0.7969675065662528,0.10678362602621516,-0.06438786253603127,-0.3377171812788981,-0.10737917733991378,0.08794208728016047,-0.17531332917022102,0.23609247146111176,0.03165038294430339,-0.07934004399577242,0.18729333099284898,-0.14304360623523812,-0.2825067008159392,-0.2671866943956018,0.12816938031080782,0.10428528638285475,-0.12069019879877961,0.19899522346923165,0.04796144877823196,0.015858382175966818,-0.16297692308929992,0.018247603502479125,0.2836218938647215,-0.46960370633344845,-0.10020457190150213,0.22057800860362484,-0.047004117439823925,0.08230930997087096,0.17091756048059847,-0.12810322290685,-0.1318858582632035,0.09749230379930178,0.07990337712584972,0.19744676260989202,0.23913656581523005,-0.1434085184088607,-0.013234615814031004,0.08106657045280699,-0.07288638853299534,0.02163964634450846,0.05351871716708443,-0.2905025029694499,-0.05267614542321735,-0.5063492063492065,18.488659682872328
5,1973.36348081004,1318.64210518322,687.578857216151,59.9860985514628,582.406243809513,1092.93611994977,1582.76226516076,802.657013290034,22.1506909905314,37.8199845670468,6.37665385336592,-1.5155647871945,-5.75136963295227,-2.87598433467082,4.42076337119518,5.25110224955792,8.05008415735911,8.01109206569543,0.5381967838176,-9.45240497485443,10.8009816666028,-0.366266528299363,1.6925085535944,-15.9026214462347,-34.4458673279336,-9.00574481294897,1.4188703132473,6.40427427790632,4.3254236274144,11.5158674539847,13.2235678045675,14.202181838532,18.7035985044047,25.101227279619,-5.03365297519768,-9.94772988642995,-23.4119866615958,-19.9547598436966,-18.9466695111158,-41.3137309832668,-62.8375593080493,-51.8066153581441,-43.8453883067836,-48.7499192069019,-44.7399157552305,-38.5766062611136,-18.3837878066955,11.6310009103846,-0.1783849932810222,0.15349093961192187,0.3339835380614438,0.057121673097448325,-0.8847669563767727,2.578142654755109,-1.214258158209551,-0.49262626717955993,0.04518234436667914,-0.05760726251552435,-0.1575793159040814,0.03008155833471208,0.005565860245837404,-0.09583315242611455,0.03338908363981755,0.15053420426480454,0.1805980715602901,-0.002952279213303607,-0.007119654354383575,0.004652071090271708,-0.06943506947080084,-0.02157563822069005,0.22584845946199988,0.012933662830229786,-0.2895891117363093,0.009749495837062186,0.22514489875392263,0.22190831280791182,-0.0798073655867123,-0.5773572196220652,-0.1429057729388255,0.22045923179290933,0.0394018957606538,-0.10547839506319288,0.3203390582416986,-0.023925308048032806,0.08876734271307686,-0.022094665809697735,-0.04274054887223642,-0.006380124443063517,-0.019892638084009106,0.07628748870322227,0.008601167671979222,-0.00705377272946962,0.03413855118935692,-0.03517923809524263,0.1669564540554455,0.019303138916151458,1.4837557603686633,33.05943314622578
6,2880.95170366894,1934.35603104162,1021.62350629917,96.5463849641215,843.623448519762,1582.76226516076,2301.39213806056,1165.56045475922,28.9890215968695,50.4009033123238,6.0404337995026,-7.08194078709337,-13.7242466344774,-11.0331058148378,5.19713343372434,7.86490141397855,12.5375838122835,10.1182890167442,-0.822565128235375,-13.458078387349,13.6276019926249,-8.05987474423734,-6.17992676302478,-27.6994883510159,-50.8971449975008,-15.1927572806232,1.43575529953365,9.37067711761988,3.50298689961513,13.5525395932312,17.839716594855,21.0133369005081,28.8433771648073,26.8609092711998,-4.87688540674381,-13.5855627922776,-31.4585950669429,-29.9440181282394,-29.6574862915255,-62.150836055401,-93.5095838408562,-74.233283364318,-57.718296921632,-61.3458248242569,-52.8209817681819,-53.0283462351467,-33.6529238535243,14.016935918391,-0.061478509590050356,-0.028934972955222633,-0.29302165350102166,0.31925157869441795,0.12340892159483918,-1.308473407814243,1.8927900088726415,-1.7639849642410683,0.8334362966199365,0.04264554004403008,-0.016141167803123534,0.06374733405092946,-0.09955360769794717,-0.014134599801326402,-0.09387109153574923,0.05978182475962283,-0.11199333233087917,0.1246888495607486,0.13893595490224786,-0.18519706468146035,0.03703200056973342,0.020300609313679874,-0.14155592524929766,-0.0043755023681603155,0.12392399031893758,0.08971550436855422,-0.10023189027057973,-0.22563469736211594,0.2298022077203552,0.29483448229395615,0.0016968661652831533,-0.18519136857088725,-0.04570908842686031,-0.001963157965265554,-0.128042452367358,0.1432397571617872,-0.05009597344932842,-0.05114027931987843,-0.2092306286236067,0.018637792992631266,0.025055417182257733,-0.018185413957911484,-0.0936600935454882,0.08678832659891479,-0.054975867421542875,-0.005641550037972363,0.043304227857982276,0.09025426987589091,4.774935995903737,47.97272285435298
30,1434.81315172385,964.2075187676,509.543678802772,48.183096214472,428.390743453746,802.657013290034,1165.56045475922,597.570141067737,28.9414477314799,40.7575495476942,7.79509149781023,4.28085654719286,-3.26764719267811,-4.83131666062238,2.33572291660747,2.92081722554065,4.76141968251031,2.44683146827855,-2.02081177766556,-7.43137759258433,19.9748486693169,23.5018651405827,36.9735825666567,6.87969781658944,-24.0407518407165,-7.45916351933285,-1.40683536170294,3.73101381363314,1.88882146618145,6.99488668945185,8.83762107609074,10.2792569403982,15.0890707884297,11.5391641287239,-0.561397788646029,-4.61125315830906,-11.3491313460903,-13.0374005384313,-14.6961906503462,-28.8419704061143,-42.524698884978,-34.0256068629851,-26.9522613743132,-27.8689013928549,-24.645946342362,-27.84802953478,-23.5499202893455,3.28809544085665,-0.049266863723351366,-0.05357640989660014,-0.044130368850502505,0.07817984533744822,-0.05339078563978598,-0.4614151097430739,-1.7632328919967142,4.451604593579988,-1.3153169483827933,-0.09295098896852598,-0.018965049004063098,-0.042590536147877354,-0.011224373419881062,-0.014994039114672926,-0.10642579224540503,-0.0034285721683214817,0.04893688405538883,0.05283222518263957,0.15652014427965036,0.029385161926121724,-0.034128558285735903,0.12478986621532341,-0.33356927245422624,-0.027713481913669916,0.1829845203713296,-0.032003166906672875,-0.18374515328259672,-0.04356188070976082,0.10766864029314956,0.26012264353250547,0.08772193827448836,-0.029583483682430464,-0.11378415671586187,-0.13839216836677715,-0.10142693939384767,0.014217528503485339,-0.09974047594696124,-0.06238887753425646,-0.042762776124140076,-0.0258946633022522,0.012871738217611874,-0.008322113012760295,-0.027772925547454863,-0.06934436451922904,0.09590066771452876,-0.038047408076964766,0.2425373944929142,0.2124881885995979,1.3263312852022529,24.44504328218171
31,-2.95031627908005,-2.00887306038973,-2.7184187815128,-0.067703060997158,12.9935443770673,22.1506909905314,28.9890215968695,28.9414477314799,28.7149875649184,30.9782401958688,9.3022231286666,15.4650954395393,6.83346378904449,0.890388665658731,-0.972614628804913,-2.27535781865054,-3.09396430168474,-5.14794211153471,-2.78619589506442,-1.6185958872022,26.0497989778051,54.3303516930961,79.3843878057764,40.8945476873336,2.41456503283141,0.451842369124696,-4.06931196086772,-1.80947602481479,0.32745942185842,0.50932917930574,-0.107246278468625,-0.420490889217967,1.17233885447727,-4.18663319363218,3.78554809018451,4.00113104556473,8.2729305393749,3.45880004765502,-0.0143705385905914,4.1516579057313,8.11770524655345,6.0555675886619,3.58407854650111,5.19929300400146,3.030755722535,-2.30891916838293,-11.9698418804324,-4.51249550481263,-0.12469417788679256,-0.03660474552367435,0.24552641488513816,-0.11709488805777099,-0.3679081118678011,0.05556596568772945,0.7927501115602941,-1.3881374426602155,2.543524454666232,-0.2304750650340232,-0.056780175650821836,-0.2793107966011517,0.20302808042867876,-0.01277493086928667,-0.2614446172907563,-0.035135183104706945,0.1872296122526704,0.04561100272543447,0.10456207591243828,0.30874775148411426,-0.16337117773490314,0.20900187428650993,-0.5337373147873207,-0.02830258455699043,0.3867584490529784,-0.21270922173248066,-0.07923981823041278,0.12437476290211576,0.25342190098847456,0.13841198337379265,0.22670773964974236,0.013105617101666427,-0.266047015299013,-0.2508663703596628,-0.13257218965063589,-0.05999440004658701,-0.21788107917975114,-0.048406861064021485,0.037291058118268175,-0.10416337858723024,-0.00425702219160503,0.0036637063844613175,0.009258505266423363,-0.187125292835005,0.2184495792517457,-0.07785241104957757,0.3754609053647285,0.2135994643098741,-2.043241167434716,5.3577035719530475
32,24.317392712678,14.7502311934114,8.40680478979376,3.1276935783445,23.7212018379757,37.8199845670468,50.4009033123238,40.7575495476942,30.9782401958688,38.3072782258064,11.3851694091646,18.8732058681552,10.683381010326,3.60927089585238,-1.62830431930927,-2.19101316968696,-2.62629588005723,-3.6284101245099,-1.64162429493259,-1.89560395114897,30.1843420166876,56.7398100586434,86.4674841319084,41.8612804679913,-2.5788268240538,-4.3690432274803,-6.93326067100066,-3.67018776972742,-0.0038328856660982,0.37927328105735,0.171466945918883,-0.205639917342067,1.19271310614219,0.688937972437675,3.51812186379409,0.281692666221648,2.59846119128313,-0.876891690777372,-3.81975488381121,-2.2531817792133,-0.944417928465237,-1.23555506355138,-5.51349301786276,-8.10313779739712,-6.22295095138629,-3.20062616993504,-8.3407554523591,-2.94040336624836,0.09211619734045409,-0.03797340547625988,-0.028177071914789412,0.06899856237906436,-0.10363429415960158,-0.03826075404045673,0.04165433417434633,-0.10507445161746629,-0.23347082320179743,1.465724646493585,0.0495120330746295,0.3289198836542751,-0.222321941629844,-0.08549796145297013,0.06100486512840733,-0.1004284683035398,0.035238077114313524,0.030670270288831226,-0.13373351277887283,0.89896232495747,0.05484806504766283,0.16186672144778755,-0.5115174490541015,-0.08953435888044448,0.2945326743619813,0.057152772313162736,0.1710896201600969,0.2789632348005138,0.0785841742654929,-0.06601756680976967,-0.16578440087751806,0.015133715653436734,0.03692484294126718,-0.11748061800997771,0.1120618359370058,-0.12408259469131318,0.04598445275828977,0.08727462667974605,0.2281634497937305,-0.18108463545956585,0.09365142397081312,-0.03229557083990006,-0.1668624671792219,0.2963840317652153,-0.20151140388430192,-0.10187932962408258,0.13362675442939623,-0.21250679912195714,-1.6263440860215053,6.1884794760754005
