,Cov_0,Cov_1,Cov_2,Cov_3,Cov_4,Cov_5,Cov_6,Cov_31,Cov_32,Cov_33,Cov_34,Cov_35,Cov_36,Cov_37,Cov_38,Cov_39,Cov_40,Cov_41,Cov_42,Cov_43,Cov_44,Cov_45,Cov_46,Cov_47,Cov_48,Cov_49,Cov_50,Cov_51,Cov_52,Cov_53,Cov_54,Cov_55,Cov_56,Cov_57,Cov_58,Cov_59,Cov_60,Cov_61,Cov_62,Cov_63,Cov_64,Cov_65,Cov_66,Cov_67,Cov_68,Cov_69,Cov_70,Cov_71,C_0,C_1,C_2,C_3,C_4,C_5,C_6,C_31,C_32,C_33,C_34,C_35,C_36,C_37,C_38,C_39,C_40,C_41,C_42,C_43,C_44,C_45,C_46,C_47,C_48,C_49,C_50,C_51,C_52,C_53,C_54,C_55,C_56,C_57,C_58,C_59,C_60,C_61,C_62,C_63,C_64,C_65,C_66,C_67,C_68,C_69,C_70,C_71,Mean,Std
0,2657.73639209791,1322.98144757676,194.26972243576,140.16901808399,34.7318917438964,231.710797711399,114.139331925559,-16.0529567919964,-37.9364749657377,-29.1437910920457,-33.5225681855723,176.075938668907,175.423913627616,235.904314842276,319.038639038188,414.162564905485,487.318296495125,-24.2302334948472,-25.3876193177548,21.5343241644058,2.04519624353179,-23.7548870312234,-12.4173698697738,4.78155382184682,6.80971351708418,8.73342532435115,-17.5449912422585,-15.5047125137176,-67.4982426705433,-60.6452837796633,-61.2997228324168,-75.9707238125485,-92.9221165256656,-137.511580336503,-193.819068879463,-252.948398462294,-323.042353969794,-244.412781280533,-266.301398150794,-201.569903032037,-170.002782319202,-113.299843636798,-66.0872911563551,-160.220058931782,-274.761295884392,-380.606133986325,-176.70913423403,-98.5692817478732,0.11443217723454152,-0.15354930347181278,-0.05999320772744381,-0.07587020816613477,0.039131714033083846,-0.021445333520110552,-0.058967795125926745,0.18993001449136082,0.06982637395689544,-0.012845555762339068,-0.03694839218939998,-0.19955040051716522,0.013641237886864202,-0.018238608833580208,0.0047751706676158355,0.03313041196499302,0.012914383622009118,0.11560332863700722,-0.034553643151054615,-0.08363546179677697,-0.02396358405879269,-0.012841410766019716,0.04283725636882657,0.02567380844037828,0.03913355278988225,0.03982464735586522,-0.1070514195655358,-0.0570631803900292,-0.03618102962050794,-0.004015671605449057,0.015736674818300978,0.01787112507059995,0.03592152826664399,0.023919941101177195,0.07684933167879274,-0.0018722205938136174,-0.0034589511502359912,-0.12321817186511941,-0.012246623232028127,0.00823337537870868,0.00986050942125115,0.004556680473219416,-0.09016852008351225,0.17192618002514878,0.010139051159612266,-0.05612810882428533,0.03494196260201541,0.03132466750295792,13.055669599217985,51.55314143772336
1,1322.98144757676,723.823270905536,125.230407121035,89.3515717301291,41.3685741232351,138.26290821824,65.7175475406341,-5.03595716465291,-16.8254933629938,-16.7840508361324,-16.4003032972432,96.6266139884734,108.930679174252,151.036622618192,207.655929310125,258.012799092768,281.615507973285,-3.23738869239344,-10.6218123250272,11.9252485586203,6.63329942046782,25.476597522522,28.1219730382445,35.5791590306943,46.6473977430028,57.68784149605,-3.22829317788256,-10.5020055375403,-31.4592625422297,-24.7491608907844,-26.7722441970286,-36.2674098584042,-45.5833647113882,-70.1547841987515,-100.575397780033,-131.268145634853,-168.73503578287,-140.13616249195,-167.110755805121,-99.8091070139025,-84.2052203897642,-61.1463465794448,-38.0712519098183,-81.6164552005858,-140.673900660244,-196.325960034323,-95.5888368642011,-31.8485156362809,-0.15354930347200813,0.5599273208130597,-0.2180013094523847,0.1556879038778297,-0.03315108692152242,-0.11104140861263699,0.033961957184724036,-0.3309023700241256,-0.17657232193482741,0.16588879403606938,0.14353790535376088,0.22294211680826137,-0.06775469127540461,-0.08161297571821885,0.10648024499782355,-0.10986268741484345,-0.5043721903810924,0.05312361671856053,0.3481870343563213,0.02585804321394492,-0.019944979756620896,0.07415947113235008,-0.17022845701389497,0.014842184529349175,0.038763110823783746,0.10844872687068711,-0.12836934072817985,0.03111588992576232,0.3182193537401366,0.04754683154587635,-0.03458169164908197,-0.002884027056328642,-0.04394700134481231,0.04176286059111135,-0.20040953630961267,0.06792356320878068,-0.0775056152830864,0.2760313400525858,0.05671287245563283,0.0034986982798559546,-0.07438524577744242,-0.18111395330077362,0.13692266651204013,-0.2161235661321944,0.018722898306432895,0.10751521348792197,-0.13590703718306604,-0.07304559828698026,5.344183773216032,26.90377800431635
2,194.26972243576,125.230407121035,67.1890035003012,51.3945881702048,30.8373667913496,34.5099410492245,13.234899146552,1.08011238554561,4.79060802687541,0.206133740761183,1.69331016868954,27.959047941244,30.8714715171592,49.0678725259341,76.2950462681243,83.4973952093954,62.2831606421387,6.28856531404834,-0.364117276645103,0.816070994404018,13.9157744555511,52.2009478439045,52.303905948675,56.8111860680062,71.3222935121681,85.843732327481,15.4129357517734,6.89221894473913,3.28691501390164,6.95787419696837,3.49611673406651,1.43197087176806,0.742237713568072,-5.49440290314022,-13.5740084648028,-19.8678861519233,-50.5375958051593,-44.1179664917345,-64.353782682913,-17.3848033484974,-29.3265908307234,-25.7277006003245,-22.350267165742,-38.8912015995956,-57.9283154562108,-82.8694270853559,-44.1199283775442,-22.3034635783972,-0.05999320772737315,-0.21800130945321242,1.454158268548545,-0.9637223662987603,-0.24003874310233783,0.3674678168736708,0.30511078294399624,-0.17544660733092324,-0.06365592501958009,0.18691933181766893,0.055737748902007514,0.24845857417646047,-0.1841492600781037,0.28822369737620235,-0.26555086631800034,0.03497624891126623,0.3518705477668948,-0.18472419531670972,0.1718453664483433,0.2502474283097649,-0.0013038809423150622,0.027559441567621693,-0.15151416247830088,0.030721506579757467,-0.09441882091500695,-0.1788491484660429,0.10312570104983568,0.39369659575477894,-0.16212530927815763,-0.09110050336857495,0.0018766204341437152,0.027610803482892285,-0.08461877529388309,-0.2309315331718042,0.26811193219679075,-0.22986202773118927,0.11483625001465937,-0.09324420667817412,0.03962039529738034,-0.11201238674938414,0.24451644422800387,0.11142460095322372,0.224437973836342,-0.22631142356992445,-0.08981271403494484,0.039200109828312873,0.13354765212846778,-0.0484071810206161,0.5386119257087,8.196279857368287
3,140.16901808399,89.3515717301291,51.3945881702048,45.3979469610573,27.2145373168008,30.4398465767487,12.5413765990924,2.82839915621584,8.94691526919549,2.72461504589955,2.83335961086673,23.9217484175581,30.2322109272696,39.2820249178563,48.9869259110818,56.8832240706638,39.411774520103,-1.01969597855484,-0.59554166631263,1.66771105170717,14.3011849654223,50.4816091813387,44.4790481677559,44.2693110962987,58.8300444123222,73.3646282037838,6.39942144864013,4.94647484547239,2.6625741331983,6.27409819438638,3.00325095703972,-2.0889845522165,-6.45497284109618,-17.1396640999132,-26.7771164235409,-33.6745653447586,-54.153350956964,-41.676186950791,-51.2979978818845,-6.27634830973794,-10.825349337986,-12.2366569083635,-16.0111015171243,-18.7658274431366,-21.8183586349131,-26.7021462221509,-13.2744863988235,-7.13679750756323,-0.07587020816584664,0.15568790387809903,-0.9637223662987732,2.0444775269624578,0.06300909685985873,-0.33164501377293293,0.011232842570165633,0.018760871930029465,-0.48099867871315105,-0.11802556934917886,0.29676196047719094,-0.07038587761135352,0.08783971073970648,-0.19935435105451565,0.18475514728689407,-0.07461952957408305,-0.0008898416154431671,-0.2619033481222466,-0.0957588825643097,-0.11335655711409867,-0.18347908263172946,0.04899737089044908,0.08897864635447254,-0.2900972318628843,-0.13966421009746113,-0.050268904290448155,0.5238681214350202,-0.6809385382779083,-0.422988253244827,0.10288169477973354,0.39050809899188144,-0.05272011937748449,-0.4495336176085448,0.0728968758581795,-0.056100722271759794,0.18351550306481057,0.10372782423547092,0.025325405463519322,0.0406365370381208,0.04077747127457586,-0.14860087724024204,0.013381908602564788,0.14241775015936187,-0.2872738174016053,0.09597988524412099,0.03992011509152671,-0.08929015815264282,0.0012930693400668128,-1.7881964809384165,6.737057737696575
4,34.7318917438964,41.3685741232351,30.8373667913496,27.2145373168008,47.0101570198564,38.2872513146824,19.7914228983868,4.08263429937222,8.62464922112882,4.80303271659027,5.17020959280109,14.124581660559,20.0029746530814,29.5989800059284,38.4491108806394,40.0925113308586,21.9432217957159,-1.28459327382586,-1.82763569303861,0.738416731192787,11.4714154611071,81.1288037720292,54.5107951261599,33.1430812692764,44.0994807390658,55.0239412573594,-1.39993917054698,-1.28274970196094,7.70709299658587,14.4964471755818,11.8239246630207,0.817683967890906,-9.96750207892388,-22.0925877986184,-32.8294666797679,-40.4949676311973,-38.8022132340682,-34.7250698973473,-41.3429211296441,7.64833858343557,-12.9260344894074,-8.36549890995073,-9.9297800262602,-11.4335394958962,-10.9042220155255,-19.3444778876576,-3.03741554012677,-15.3389508683737,0.03913171403268903,-0.033151086920475525,-0.24003874310284612,0.06300909685999126,0.9632728046371112,-0.7756685260233092,-0.38131585194007983,-0.1657141586924605,0.13525441593621335,0.022089476658559634,-0.32526266526902037,0.1447350013089007,0.18238033952332317,-0.11843240332275534,0.04556238258809855,0.10649602206529635,0.08633231040295863,0.010168501884505765,0.06058365520171218,0.015817264900558244,0.01388913873925018,0.08868058598690147,0.13576441560623384,-0.26980001409123744,-0.08357301629494993,0.009329007441553336,0.07969601704910718,0.083925666573643,0.029037674594238564,0.09642550481529309,-0.5191874219118898,-0.16772725516087963,-0.20936524085510572,0.1454555891586047,0.282448801591181,-0.1306704802013066,-0.0759397184597053,-0.01524677106374738,0.030043870954382382,-0.07550193219652027,-0.03187324549050852,-0.25590322371567154,-0.09975384294430407,0.30798054633573235,-0.1949631684190014,0.18958501563924327,-0.08378036261648909,-0.011594569439882126,-1.3488758553274682,6.85566605224149
5,231.710797711399,138.26290821824,34.5099410492245,30.4398465767487,38.2872513146824,60.2619720605369,31.8690283328921,2.35527080956566,6.0048023948564,2.10963054632179,1.31052610841581,25.7867941913067,32.9502740409466,44.5454885217297,57.0353087428891,66.5388831901044,61.3899887201114,2.71871583445573,2.03039619673579,5.25794385503863,11.9792077677312,94.9995734172642,54.8055940201107,17.8646559635926,30.1568718271676,42.4065502316021,0.793041432545045,-2.64626531192261,4.60762971209097,8.71706000619813,5.28175739067389,-4.75858913280774,-14.8073369171882,-25.7013001581101,-37.1632642792778,-45.0557488301562,-45.0719031757667,-33.7089699683821,-37.89456890096,22.4927575066157,-6.85164409969541,-5.87657112529287,-9.46739448980318,1.65466190107694,1.62875205491888,-7.2367167267178,-8.56682575414166,-21.7149629066064,-0.021445333519967656,-0.111041408612823,0.36746781687336727,-0.33164501377205763,-0.7756685260233591,2.198407764966953,-0.9190703660774426,-0.010990259689227608,-0.09597240704826378,-0.02686076193036535,0.3052973052613962,-0.3241771094698913,-0.25087487949113263,0.37982030411505424,0.05371199417474755,-0.1539141631935233,-0.23160637027987235,-0.2385584666464483,-0.18770980265753484,-0.11890852260545824,0.16947626722430278,-0.16099308570397397,-0.28604932642692976,0.39767519759765657,0.007877029997545405,-0.16028640827639742,0.19830209415331398,-0.04256426703993179,-0.04953851864765365,0.19158614079862876,0.1740968979597445,0.14670724337731259,0.3419012711603466,0.14502336831961776,-0.3806984089542558,0.11490166426096814,-0.04981225023811435,-0.0195385102570172,0.029948413007457535,-0.025664416778920753,0.147331687393907,-0.15178497275876646,0.3593749093775488,-0.1919941245741696,0.050140887461452815,-0.01460585176409237,0.007357426212153049,0.029199318010652144,-2.1299853372434017,7.762214378676806
6,114.139331925559,65.7175475406341,13.234899146552,12.5413765990924,19.7914228983868,31.8690283328921,19.4448642645912,1.3437475263528,3.89467748060817,1.94956629258622,0.875696509101008,12.0292780607449,16.5366904960567,21.6630369816646,25.8725822568371,30.1800257051746,28.788716617976,1.45957362242899,0.675930626330084,1.79494100062143,5.183795410917,46.8741288443619,23.995124386824,3.75449226766389,9.78290819663326,15.78848400946,-0.766838365571315,-2.43385453585345,2.32011326496933,4.7722162526724,2.91557015699237,-2.5753926076954,-8.16380367191222,-12.5575493708709,-17.7713573912543,-20.6131535957053,-20.344447400232,-9.25199290692317,-11.030984033114,20.3816506050692,4.97775502907748,-1.34370631095088,-6.13665490008652,5.58498917816682,12.1928037640848,16.5645707666588,5.44559136578028,1.01719315258925,-0.05896779512513815,0.033961957182984746,0.305110782945042,0.011232842568849146,-0.38131585194038387,-0.9190703660773005,2.495521023095976,0.09219726947022554,0.0008790337860779253,-0.07009752402614201,0.16421399911409762,-0.002839986969568083,-0.15467920698810672,-0.16315454111630817,-0.02360835386023263,0.16956711325044607,0.015048737832393936,-0.027119250113081035,0.3245616952896482,0.2739083283872345,-0.26727125717189903,-0.12141325675559962,0.019314916108130874,0.050238081907894847,0.06761383301732915,0.029249580609215644,-0.10637985574189397,0.14011669882914335,0.0634368336638787,-0.3391206934364127,0.06017463066330174,0.07968106617209586,0.3115869938739578,-0.16118807614697359,-0.13874719475993108,-0.006057780975868722,0.10253649793928382,-0.03230848235738742,-0.05726309668929855,0.08259887241838858,-0.5019164294989856,1.168058903574484,-0.09488661531168281,-0.33837560187892607,0.1179700848440478,-0.053962805983576896,0.04521097452089162,0.012115368923151721,-2.4971163245356793,4.408499094316701
31,-16.0529567919964,-5.03595716465291,1.08011238554561,2.82839915621584,4.08263429937222,2.35527080956566,1.3437475263528,4.14805256869773,7.24045262290218,2.10060704246841,2.49182372163864,1.30475248910654,-0.854833434183286,-0.398088874855062,-4.48059697701654,-5.62915145023174,-6.59949010043141,-3.36062439452902,-2.46525033554205,-0.670146479365183,1.04204407729077,0.177684007006948,-2.13110877734423,-1.84959084596229,1.10894436972726,4.04898500595191,-3.56723467308588,-1.1755254534011,-0.735663182248403,-1.06905277931546,-1.21503888941502,-3.63770770448651,-5.52276352926117,-7.42741557153008,-7.5817069441815,-8.03405512778561,-6.24256763024773,-5.08415751902303,-3.15289582082677,1.49300865464429,7.59623261037925,3.19084244185369,-4.50985861605185,2.66250405352854,11.2456113100302,17.4028037157299,2.4576496486338,4.73950336539625,0.1899300144916645,-0.33090237002390954,-0.17544660733120218,0.018760871929679436,-0.16571415869132683,-0.010990259689361353,0.09219726946890176,3.2731500015658415,-0.18090555994047372,0.03940442457954922,-0.7867172620071539,-0.8374404848859927,0.08680153595725734,-0.29288416445329074,-0.2124249017580175,0.5348361210701931,0.08530531932957908,0.04852781969531614,0.34905788889479095,-0.16030505436039202,-0.008797252010512076,-0.35692154635091716,0.6826070674272674,0.16456162247879363,0.08411950114812923,-0.161039547210626,-0.13477406006746387,-0.1934104936895174,-0.19539640294914096,0.01541485523871205,-0.034165700702881045,0.03458830701257611,0.2687499223405388,-0.010301483523820015,-0.05587498149004229,-0.09450190205058494,0.07489228744699652,0.018777976046280547,-0.1770978973277913,0.2165720960657418,0.16978342001021335,-0.19816532116473137,0.24345923495713132,-0.1484403899309038,-0.04170273464713755,0.006593320828348801,0.08678182029857101,-0.039926623356396504,-1.559139784946237,2.0342203835124972
32,-37.9364749657377,-16.8254933629938,4.79060802687541,8.94691526919549,8.62464922112882,6.0048023948564,3.89467748060817,7.24045262290218,22.0682586618877,7.90278119369238,6.09863877335815,1.12982371125726,-4.99762631860425,-7.48407392240906,-16.3313198682415,-18.063322108542,-17.4927555903856,-6.46148275904254,-6.29776932318376,-3.28886847673283,-4.72833946057025,10.6970661001248,-0.241079730014725,-5.52070187016674,-3.00492859035547,-0.492833831332174,-7.14159342630041,-0.384141190149521,0.952897655620328,-1.08120706544697,-1.20313037836001,-4.33305657327336,-5.67719863083234,-8.71917781675241,-8.9201788567536,-6.47369997755085,-7.40410051283298,2.64788552311485,2.90061367568593,24.3964068247352,23.217424217701,8.33159947765582,-9.4972504028479,14.0785476879549,39.0788144897139,59.9727969712628,22.6859102796109,8.66413487003259,0.06982637395694594,-0.17657232193498296,-0.06365592501968584,-0.4809986787136744,0.13525441593627777,-0.09597240704799946,0.0008790337856792763,-0.1809055599410334,1.2568072180113088,-0.8804569013231843,-0.645418050569551,0.003598792320506185,0.0548621175043132,0.03279426340635879,0.03087577055794882,0.27775920964391926,-0.009384796778554983,-0.36525242937946417,0.16075141787220576,-0.06504121766274419,0.261858206937119,-0.06395540357531558,0.09873467399726744,0.1775095654161279,0.03417968481434343,-0.19278591475900952,0.08515202476377953,0.21175392804912632,0.05553087177582307,-0.22219891982321954,0.056281978051062075,0.3706506457448656,0.038937648916386694,0.181057239399031,-0.12639698815431205,-0.0018656938717177705,-0.04572717523538034,-0.0662027691335543,0.006664715009535014,-0.0522760457254587,-0.26668090230580216,0.028941989470060873,-0.244313962158333,0.32281735172393744,0.0655208274109003,-0.014215463750990687,-0.04631358833147016,0.11632442029280574,1.6209677419354838,4.696622048013626
33,-29.1437910920457,-16.7840508361324,0.206133740761183,2.72461504589955,4.80303271659027,2.10963054632179,1.94956629258622,2.10060704246841,7.90278119369238,6.7118219832736,4.79930176073111,0.609156999795653,1.56893645597392,-1.12801463091594,-5.48195674032913,-6.39384343125408,-7.13493810791654,0.698576816722617,-0.541704476941577,-3.28485518833012,0.0244533627911631,10.7532583247333,4.22802671028429,-0.10820404926739,-2.32330330288,-4.56338461062007,-2.42497908795554,1.21751017591788,2.61305848676311,2.11490062387952,3.60942968195148,4.51579024200557,5.28656297970733,5.50803203083462,8.01832945532828,14.7089343417134,18.8829238808235,26.3323717609838,19.1200583176857,26.6120483441134,25.3786839581881,13.5897697455512,-1.20309275810036,23.8124949584007,51.6765770132966,73.9979684196316,31.7512154914254,12.8571412654901,-0.012845555762444796,0.16588879403596912,0.18691933181795947,-0.11802556934882517,0.022089476658449313,-0.02686076193002551,-0.07009752402644924,0.03940442458018949,-0.8804569013236384,2.4148468202946862,-0.28911572675529706,0.18136026247243597,-0.28765253070919167,0.04439129691761011,-0.005546445493130226,-0.4642633847847098,0.10256994791974228,0.549483972471491,0.06101214895805244,0.08960090965885582,-0.2898735852478826,-0.0824686029099859,-0.038475572013010925,-0.0895077195232072,0.03519423893030679,0.3525517154061665,-0.0036603303215003015,-0.5839010364751073,0.2943845270340079,0.3466757934015637,-0.24078307841516128,-0.5223801622122239,0.012331601240264929,0.26802722000329454,0.036371171691123874,-0.09431991730040422,-0.018973595200586845,-0.19185868723925878,0.10956500650026804,0.04500319512276143,0.03682812428650682,0.13889956031621972,0.1118857536468172,-0.06951500242047252,0.11843212662183542,-0.11119444929930684,0.06986904639616408,-0.008604807480335454,-0.16129032258064513,2.588787743959245
