,Cov_0,Cov_1,Cov_3,Cov_4,Cov_5,Cov_6,Cov_7,Cov_8,Cov_9,Cov_11,Cov_13,Cov_16,Cov_41,Cov_42,Cov_43,Cov_44,Cov_45,Cov_46,Cov_47,Cov_48,Cov_49,Cov_50,Cov_51,Cov_52,Cov_54,Cov_57,Cov_58,Cov_59,Cov_60,Cov_61,Cov_62,Cov_63,Cov_64,Cov_65,Cov_66,Cov_67,Cov_68,Cov_69,Cov_70,Cov_71,C_0,C_1,C_3,C_4,C_5,C_6,C_7,C_8,C_9,C_11,C_13,C_16,C_41,C_42,C_43,C_44,C_45,C_46,C_47,C_48,C_49,C_50,C_51,C_52,C_54,C_57,C_58,C_59,C_60,C_61,C_62,C_63,C_64,C_65,C_66,C_67,C_68,C_69,C_70,C_71,Mean,Std
0,87.2268489568558,93.2561494754475,88.7913198596765,71.4426186347122,53.2846926885273,45.8950833339675,33.7127846337898,24.9931776498716,21.0762503151351,20.947551921573,20.6275461366498,16.0801024424477,9.58135092036469,0.948425155550033,-29.6199157272944,7.60244503108936,44.4462309920355,5.62955444501582,5.34901156924112,18.0013503622948,5.01594070979455,-7.51065456078579,-14.7351849237286,-15.4194137334483,-17.8695755757669,-20.8444641772604,-21.7912954970288,-21.1554226274103,-28.8054052261694,-27.4220427381871,-23.9713931716093,-21.2965313932498,-29.2291393486412,-28.1164514636371,-33.4268034858835,-25.2982188310021,-18.6055417635338,-16.5502862328787,-22.5323358327844,-26.9959422850731,0.8621766902293443,-0.8373538091556263,0.01230329740454412,0.14455010245269584,0.2808256743476005,-0.4232731611799439,0.10656312001278023,-0.03575778841086496,0.12938821481676532,0.026636620990673435,-0.00209650089563072,-0.08131105703041695,-0.0541854540566263,0.030954716881435945,0.03592716692754302,-0.13710391351658713,0.015423592128983329,0.07026541277889677,-0.03464407751232153,-0.048417882840601986,0.07356985821524215,-0.06869390499825628,0.14021813963474614,-0.218313410960041,0.011745751114632089,0.059992032593253204,-0.09170319109615335,0.12452235839436886,-0.01728930173178528,0.04947469250109211,-0.11389786750771118,-0.001825855248023376,0.15813038231906418,-0.11870388850575501,0.025373234320691322,-0.009184707621174328,-0.051703178646251534,0.002579322911664363,0.019402526256936063,0.04584107168814829,-0.24735209235209232,9.338996142886868
1,93.2561494754475,105.371824803666,105.658971557138,87.1529346372758,66.7648711899593,55.7579159734589,40.4410183342374,29.6472755271264,25.2824731437856,24.4658194020259,23.0331867285534,17.4897103619702,9.71222513878054,-0.0402125780233084,-35.1853886688543,2.96623156304564,39.8776501219138,6.03653681161281,6.30013703447919,21.7403807021934,4.24766581984623,-11.7529291771118,-20.7073667851143,-21.6191835748465,-23.3830090963091,-26.0428887174637,-26.8938359742655,-25.0092456090874,-33.7609403414255,-38.774678152323,-33.8694663045341,-29.5642666490813,-35.5699028957904,-31.9860362373789,-33.2320521262506,-25.8609421775419,-18.0692634038508,-16.7638321877383,-23.8134477061603,-28.843134196162,-0.8424992149339684,1.586247024496783,-0.7294867770730132,-0.29417784797372903,0.09875056465941766,0.47746968167516285,-0.33378729086698916,-0.012505338805816562,-0.015769144210569238,-0.002501537808233797,0.002931265449463177,0.0014633649426154477,0.022902785772599986,0.038888756159915154,-0.0021183427579381043,-0.08631463100573923,0.03978513260741139,-0.04780750415129251,0.03266005587409885,0.0712860135240251,-0.10658696510151365,0.10481634684975168,-0.16473186226585426,0.18041829272170112,0.06108023343150297,0.06337414191600127,-0.02979150148272599,-0.22167099617908312,0.0930993114137391,-0.07399063291796593,0.013815738742276852,0.07997710593440677,-0.0038302450266949465,-0.0419049097784357,0.04289713569384167,0.005833684524251086,0.007326981487836909,0.08440191860535651,-0.01200619378445303,-0.06897150957491172,-1.0034884559884558,10.26459082495089
3,88.7913198596765,105.658971557138,114.144640492744,98.6393423999001,80.3896892391871,66.389982992399,48.5406741073146,36.0180227977772,30.9038849603984,28.8553923831887,25.5413675154238,18.1815386894102,8.54479232723784,-2.58147225500867,-39.5693145077522,-0.401230293676879,36.9270897520354,6.18104929127434,8.36584221010236,26.5339018225941,6.37114650418856,-11.9405621950944,-22.5621745793793,-24.0646475789631,-25.3910868044816,-27.9508898016479,-29.1567988479762,-26.5707289115632,-33.5475402900735,-45.0343549750993,-39.076980803318,-33.4955566860216,-38.1209386913261,-33.055374769913,-29.3916587727111,-23.9451583363135,-15.464962837851,-15.1336798460919,-23.7302003215655,-29.9435811192331,0.012786262525500667,-0.7341746635209133,1.7175661643149425,-1.207602732100127,0.0819562735649358,-0.029108679057088787,0.27281476639974966,-0.014129171453676133,-0.25138580551929207,0.018211213862620507,-0.011774670834645546,0.012452369362260804,0.006998572513166037,-0.0032895104943463545,-0.08683969821642677,0.38055996878217024,-0.09734628849469336,-0.07965578058305693,0.14756003850400623,-0.06306716094455588,-0.0034375637008707003,0.044564044259984906,0.06395280627777318,0.09263122794970359,-0.06391018676002568,-0.1613600837334296,0.05169091318414188,-0.07142396932805936,0.02100926311037795,-0.0004935923671165819,0.13687810527884137,-0.09320516290901326,-0.2914895729279319,0.36875519004300134,-0.07270865168450351,0.0248323517586617,0.10525306891930279,-0.13571859358906044,0.015613523902031162,0.08591339644052146,-2.224776334776335,10.683381510212222
4,71.4426186347122,87.1529346372758,98.6393423999001,91.1923919510531,79.277851067895,65.5317770498887,48.8817930344136,36.7170617135286,30.3818817339128,27.6109994788159,23.4858611489766,15.6945159181906,5.80240646539041,-3.98958810467684,-35.6942067260904,2.51260584574355,37.7849839097041,8.69286544054091,13.292628364742,29.3118736324565,13.0612082025517,-2.61785628207274,-11.4158723259764,-14.8522196252664,-17.2583633302446,-20.7434284877633,-22.4704941881297,-20.8907434046081,-26.0389260454375,-42.0049951542745,-35.8715807061828,-29.9912200884685,-33.3572177973733,-26.908150022321,-23.0781078970232,-19.0919342138253,-12.506845761101,-12.5029334231836,-19.716724071807,-25.10761418248,0.16569796380076815,-0.31151340247141424,-1.2290572185212925,2.8237307297702556,-1.3805300519201726,-0.3988746286472681,0.21509888601297775,0.27866803144188024,0.03238907009615548,-0.06938694493903252,0.023966962242256407,0.18093302580641163,0.01951848989671584,-0.15989350367896016,0.09935865243416633,-0.04720711504882952,-0.0615080486839355,-0.008097774708237443,-0.16236500290736844,0.020435144794185834,0.14915018616570688,-0.2234594307473658,-0.07841578496589095,0.002053945282836374,0.0029859959275041217,0.014023644780875174,0.15941602900250726,0.2699316573527467,-0.09289894294766408,0.0882637691436238,-4.924859424288322e-05,0.006874300411984005,0.07399771926015063,-0.18116726558513396,-0.044947090337697976,0.0034338918721566213,-0.08008180114462785,0.008034220422317164,-0.023649346738958122,-0.12161474889155992,-1.7590007215007215,9.548947164533539
5,53.2846926885273,66.7648711899593,80.3896892391871,79.277851067895,77.3888711130347,67.1798723328998,55.1979343157662,45.2916688138306,36.8669909375198,31.159292618899,24.1866290187941,14.0418075307905,2.07017329914861,-7.10968289485595,-26.0780318614017,5.95860434525335,35.9061999560718,7.33742942229695,12.3088136152048,28.5259861526226,18.9432318841288,5.45094316453522,-1.96321294373245,-5.47670047522937,-8.32590113718643,-12.1243653857452,-15.1723699265521,-15.3125173072016,-18.4571821131024,-34.971775318431,-31.7449562490086,-28.5527900435999,-33.4012681420435,-27.659490245693,-17.6045279706224,-13.3541607830406,-8.9878258918045,-9.90069500263089,-16.9823404875145,-22.7406211894163,0.2783580642942626,0.10150218721332487,0.09654360347892908,-1.3920565728497685,1.8401654007485744,-0.6826077876344252,-0.12731615498492774,-0.22565221726261603,0.24684854127299957,0.06958820902584031,-0.01622244062478257,-0.19422633094289782,-0.09665220053091374,0.17287509813007235,0.022339496603851424,-0.31343255786965435,0.13722506883774205,0.042783022790067474,-0.0038144934740374815,-0.031193812875550068,-0.08202263956138577,0.14509686173522243,0.11655752588236067,-0.1606501766269817,0.004279753120818937,0.11329127607677708,-0.02134727735283977,-0.18932026329944923,0.00667985030130805,-0.011170078900343236,-0.16221789105490134,0.017662302676258086,0.24152982339345674,-0.14723150994722484,0.09922954926809842,-0.03366217918227869,0.008859627190425679,0.01879571677424828,0.02340762056443572,0.09347191968548783,-0.8577849927849928,8.796526082098243
6,45.8950833339675,55.7579159734589,66.389982992399,65.5317770498887,67.1798723328998,63.4615677378674,56.8261241817364,50.0779618945657,41.2947080533797,33.3805335402139,24.5009409470128,13.0587111339417,0.0998915460857855,-7.8715519507025,-20.5049620172993,4.91583422434765,28.5807157941173,2.55706680912257,6.50999781906012,22.5707929932235,19.2588295434361,8.65771048019097,2.22042972726025,-1.31420689459007,-4.6846043085839,-8.92802189397464,-13.0518190312608,-14.5483362936273,-18.5382863144612,-28.6183448540295,-27.7469495982925,-26.8447369032473,-32.4409524656881,-27.8952308507119,-12.7112794682779,-8.13854477075731,-5.98524307055395,-6.72299887475385,-13.1700575113191,-18.7238634580169,-0.4560382690448697,0.4963091664182734,-0.02610854431429175,-0.3752243276580413,-0.7180498930427281,2.225316082753261,-1.1771018399684745,-0.064108516721787,0.033698542270257564,-0.003997926927383564,-0.010613635472930143,-0.00758207909552442,0.00041838010430232794,-0.0038183052248651483,-0.009031905807225217,0.043115735833726146,0.008392551252995241,0.06879104447849424,-0.020389704084340463,0.01108307257817432,-0.007484101036902045,-0.021375937307776583,-0.014299325643320211,0.0006412409782062679,-0.0010777192885173868,-0.043282738313328184,-0.1451460035036198,0.23513230796067403,-0.0825525978614422,0.038773514955165116,0.1194997266111115,-0.017234397655040517,-0.13530849286593924,0.06434412344927423,0.004727890146938127,-0.023903762764316553,0.06261638427950192,-0.16644393104290756,-0.01697687407190133,0.08034848680035474,0.6342640692640693,7.965649235176467
7,33.7127846337898,40.4410183342374,48.5406741073146,48.8817930344136,55.1979343157662,56.8261241817364,56.2859055444729,53.2180267348696,44.1797760041538,33.9652136137393,23.1206073332484,10.2536492075615,-3.82706485010147,-10.4900721654343,-12.1588962748283,6.66277164525822,24.3385742014279,-0.422623511425473,2.50983398775095,17.4645635138378,19.6394981798962,11.7089919333464,6.7752737874216,3.49113602390749,-0.0753333341646919,-4.38295011003542,-9.4136309902676,-12.2073896832651,-16.426077476321,-19.1522716980358,-21.0622355739991,-22.7670922030843,-29.6108514117931,-27.1302868346665,-6.52164995382561,-2.76386322568184,-2.75168135132056,-3.70174472292403,-9.53724341277731,-14.9231906536003,0.11728499346605498,-0.3405435084469619,0.27251409745060373,0.2130426667584494,-0.11010257597533335,-1.1751626558248678,1.8965163569925092,-0.5995069779545327,-0.1280789231782735,-0.09354049610952053,-0.05421214955611661,0.08114160843497858,0.18045398207873656,-0.08801204227454783,-0.04217838172724519,0.18754776821210237,-0.0748241538998558,0.1415977540727258,-0.008847861671444185,-0.046298881355657406,-0.0356657193556473,0.027645853803540257,-0.14034553810407704,0.16752587460573742,0.05205716142924525,0.00269910963843431,-0.06433417739577957,-0.2304706497720916,0.1263763179223743,0.0036959155880294204,0.02309040234610914,-0.0922976750747561,-0.05755912337999716,0.15527479638752006,-0.043862409357269115,0.020956624490666056,0.00938702580415866,0.09149279810619378,0.006785349152797171,-0.043423303856905654,1.8024242424242425,7.501726837500346
8,24.9931776498716,29.6472755271264,36.0180227977772,36.7170617135286,45.2916688138306,50.0779618945657,53.2180267348696,55.0773876480623,46.9284439890392,35.4723141446289,23.6450871893692,10.2625611537493,-4.01953052240978,-10.2910066570333,-2.2299823889535,10.2802471728527,22.4456068104949,-1.6417711314464,-0.302127109575502,9.71412494543821,13.4797694248694,7.3698681233085,3.46520305421974,0.906282211378177,-2.30038511709158,-6.29407338062399,-11.9791996634551,-15.2266708515094,-19.4498345272784,-10.5837151394748,-14.4447983815118,-18.3462240250379,-26.2004235637541,-25.7411063896048,1.58784755992902,4.34321754685833,2.51335406143682,0.0872144039306085,-6.42957488353177,-12.9682323765646,-0.05067056095022225,0.0049108856571901454,-0.01464545452776728,0.2742834649582254,-0.24359087768803273,-0.06893576774793057,-0.6048881401550785,1.44672397296812,-0.9873640428473457,0.10474307889377973,0.04403832822556102,0.047600398811610024,0.12077977847472825,-0.09542402001660147,0.005938587424604628,-0.013821726554684399,-0.00415264035000608,-0.2505121179627949,0.06923714130135425,0.1782900772290315,-0.07579634587808688,-0.0803328992609701,0.12825527480598636,-0.03604704452406462,-0.012542703475028694,-0.0028209920699133906,0.061598692418830286,-0.01692891296014138,0.045934686572076354,-0.09781036694515315,0.034048117093552786,0.11532966151920392,-0.009426180350269611,-0.14207143563845212,0.07189023815666483,-0.01208658918202241,0.03260096894874152,-0.004770637217994827,0.01974814571866194,-0.014646391947391544,2.769215367965368,7.420740370614131
9,21.0762503151351,25.2824731437856,30.9038849603984,30.3818817339128,36.8669909375198,41.2947080533797,44.1797760041538,46.9284439890392,44.4689740438123,35.5047174216244,26.0621865296108,15.244847693573,3.5925359536967,-5.9705600265958,3.17197748736979,10.0965197552261,19.753208097108,-0.752447289751003,0.841459231752725,10.0504333683154,11.6681460701176,4.67653679633279,0.576643064484807,-1.25231263530463,-3.95584642618577,-7.40869672162273,-11.0116601885612,-12.2967569427883,-15.0437936273946,-8.18633234362181,-12.3092516209075,-16.5984183507354,-24.4243265464871,-24.8192574618546,11.6725950349582,12.7151525841711,9.94068606263412,6.31801925120116,0.107170947996294,-5.95592037419376,0.141409693552542,-0.017317545128574082,-0.2923648503541949,0.036794608371682275,0.26035654683145937,0.03400384330304531,-0.1317276556036503,-1.0182654167314393,2.732137807333902,-1.5153240559534353,-0.38658483990562753,-0.06473083635752765,0.20377367672416313,0.14076491747161154,-0.01219576272069547,-0.029251137501835858,0.021399158955423006,0.07846181769254715,-0.01413684042490184,-0.06522574455878692,0.04164298781847413,0.0003073976156345023,0.082499975260476,-0.20479793314589256,-0.09076423716990178,-0.015222742349939115,0.11252785621098081,0.19704223846731564,-0.10510698125430075,-0.09428127181187218,0.01451494489763636,0.16551881392574083,-0.059129463006225604,0.08114316534265789,-0.15690120155322995,-0.10609044191311374,-0.036029269580444986,0.16495560682698895,0.015671835742710458,-0.09837102057424328,2.1830699855699858,6.667756297572092
11,20.947551921573,24.4658194020259,28.8553923831887,27.6109994788159,31.159292618899,33.3805335402139,33.9652136137393,35.4723141446289,35.5047174216244,32.1704299673538,27.9885683590463,22.497836494353,16.1603828405263,8.26069903215213,0.475506361406444,5.85425275362613,17.4565199381968,2.0923060335724,3.62781303762309,11.082929580142,9.59011838711892,2.18628122614488,-1.97451637478699,-3.30460586236122,-5.30135665936847,-7.97617338609725,-9.88788609271339,-9.72409466172845,-11.8427040151049,-9.84428015011897,-11.7328875756112,-13.9454385463936,-19.5651684010096,-19.2876963418771,1.97388530764735,4.11567583823843,4.50804876472647,1.55841590434405,-2.83386361602888,-6.99799558316498,0.03344389250026467,-0.0016473077457136367,0.051936707689719065,-0.04658548905401888,0.07346548964318227,-0.0035894591308923223,-0.09712915335681026,0.11776580359404669,-1.5483254128655364,3.140042968144943,-1.606861914745219,-0.2727684856525757,0.1969736653895064,0.04726910875168636,0.01782600923626825,-0.11668879400933838,0.056489088937859686,0.03687739991081657,0.04110303352738054,-0.10142776686794247,0.12308297062606996,-0.030973190904692374,-0.058226025268212314,0.0902535058100589,-0.007551327529158911,-0.05379695947307271,0.02836977181925468,0.09367866270748525,-0.05613968091773578,0.048199486244760247,-0.02941998932494687,-0.0067238474853235424,0.14392620914443383,-0.1903740524167492,0.0189484336173766,0.21315729414244844,-0.2121134147660822,-0.09301398979960876,-0.008586008254930529,0.07525193179954127,1.0102579365079365,5.67101666082492
