,Cov_0,Cov_1,Cov_2,Cov_3,Cov_5,Cov_6,Cov_7,Cov_8,Cov_9,Cov_35,Cov_36,Cov_38,Cov_39,Cov_40,Cov_43,Cov_45,Cov_46,Cov_48,Cov_49,Cov_51,Cov_52,Cov_53,Cov_54,Cov_55,Cov_58,Cov_59,Cov_60,Cov_62,Cov_63,Cov_64,Cov_65,Cov_66,Cov_67,Cov_68,Cov_69,Cov_70,Cov_71,C_0,C_1,C_2,C_3,C_5,C_6,C_7,C_8,C_9,C_35,C_36,C_38,C_39,C_40,C_43,C_45,C_46,C_48,C_49,C_51,C_52,C_53,C_54,C_55,C_58,C_59,C_60,C_62,C_63,C_64,C_65,C_66,C_67,C_68,C_69,C_70,C_71,Mean,Std
0,164.424498940219,168.248245463667,169.842214987098,141.471210985439,126.133570803085,108.161691930494,87.2764356208971,65.5224231199764,52.0560515604765,37.4784135519348,20.4280618279958,4.70957484184402,0.0963232840409742,-6.94655063367721,-1.03441078723361,-1.39305132106951,-1.14470462731969,-2.88579137088741,-3.31103763103719,-0.411027205165844,3.42740835841639,5.46738800219764,5.00384772867273,4.52027179982614,6.72376494328205,8.06322145735653,7.76564575361428,7.6728478904594,4.25997298001153,-5.25748827338428,-15.2052339476382,-24.3970791850218,-39.8953722837073,-32.5812179615724,-24.9879266538627,-15.2293681877455,-6.08961451525134,0.2805964381170098,-0.10146914805845882,-0.24710228506000897,0.24056375697687402,0.024575034923666247,-0.1836448963453759,-0.036649894762556576,0.14231109257214122,-0.041472532569584296,0.003453801628709752,0.03333899404119196,-0.0032160814209109675,0.011033234201045546,0.016644293496767524,-0.04386010297105969,0.02633222803433297,-0.04376759948275725,-0.004947837275869519,0.014400871665073395,0.0018031244170393225,0.027838781910611954,0.060084478623236556,0.028842538126958795,0.01374371503528736,0.013878019548022051,-0.008910363130696512,0.060522076557611014,-0.05403978417151967,-0.015797706769325754,-0.0006241790103405747,0.005089495251522177,0.013079264283232353,0.02574879757253219,-0.00034071350143737234,-0.03778963136341812,0.01605850658754686,-0.012345817753672992,1.8593939393939396,12.822421726811953
1,168.248245463667,210.118750326839,193.592232702882,167.58408626038,148.8259991084,127.299644317555,104.215312180808,82.0811121103615,65.037024933776,46.9347531824157,26.3893577150847,7.47035141535789,0.702815374314294,-4.05648863041924,-4.99690568324618,-6.88945519954858,-8.21214305117971,-8.25961244056026,-6.52771061780527,-0.668883621508491,6.31193665551333,9.88917244774553,9.24870130106575,8.53260271342768,10.6517173051346,11.6165695523829,10.9136830686076,10.1180719955438,6.31043059125717,-4.85104076085998,-16.4226715842872,-27.2980556416404,-47.049887349605,-41.0481459058196,-34.7655690388492,-24.9168748747766,-15.6691256767585,-0.10159248034332964,0.18848973533998375,0.024892237363697806,-0.07165836826122013,-0.07140545519188286,0.05103081560150226,0.05933901526815702,-0.019996987613816932,-0.018676828180392555,-0.06084804426492916,-0.00897164567082041,-0.03666524829635425,0.026458623454957808,-0.003027081423298428,0.004822715978456482,0.014262205764450439,-0.009746481247131452,-0.026821112917916726,-0.02964340845473823,-0.0155191206682757,0.02615127823257446,-0.0771260378816842,-0.02936110114596764,0.02610829270870107,1.770392767659634e-05,-0.029096304497355376,-0.015567997006231247,0.004414057865701693,0.017985016962725874,0.0030188064104681844,0.016702861029151892,0.005222186996979516,-0.025840819078501543,-0.0044095301547749785,0.01525889376391668,0.014112561732721247,0.0331552315466982,1.4738005050505054,14.49512850328823
2,169.842214987098,193.592232702882,232.528891416706,205.081595606125,180.781019759606,154.962929914366,129.159759239074,102.307296928327,78.6296062159773,54.8065181093498,30.8170127604765,7.60013950728663,4.07983193358946,8.78029611660016,-8.18374193041761,-10.3348431244016,-13.1599881104619,-12.7244258020989,-10.2832601265036,-2.53149324645543,5.69237836350455,10.1394767932229,10.4713820205818,10.7319586774575,13.7597997556017,15.1780968525945,15.4780064888505,14.9474509534135,12.7589490175462,1.22537875883784,-10.6033729084005,-22.0159422228455,-32.7734717122991,-28.7165289443162,-24.5827202404652,-17.6274103093318,-11.547363780543,-0.24738139397474168,0.02497605467182074,0.8128167699388498,-0.8473714091805296,-0.06316906629815455,0.346689760999549,-0.009326140141398138,0.001527462733643482,-0.03249647369145371,-0.07804290243055054,-0.09292685120815115,0.14219732737882224,-0.04809515835027766,-0.009953022347514034,0.09132868463428784,-0.13185184813177733,0.10923329205217558,0.03384244917700729,0.03911589334295457,-0.0011829700788710594,-0.0616919763949096,-0.0033109986936251563,-0.03189789588180742,-0.013155563373075758,-0.008472746669968662,0.06311999377335595,-0.10702390325378551,0.051672145455127605,0.0439493381049165,-0.013853083767456099,-0.05309460122132595,0.013804636734434312,-0.03783448495678804,0.01755076050308871,0.055117776374849894,-0.007563293872627279,-0.03663297405030645,-1.4779545454545453,15.248570143351342
3,141.471210985439,167.58408626038,205.081595606125,188.789643791329,170.388557544122,149.852078926615,125.624089941719,100.281869699336,75.4348819111257,50.3951361420025,28.673204915229,8.44504556088715,4.42315634229618,16.6671789424098,-6.37269986195752,-7.84645480468503,-9.64748807168624,-9.70013281787758,-8.08696535371818,-1.53121123978869,5.93039942005783,10.3252272905961,10.8264862546176,11.2769426501305,14.0250121039011,14.7920402745604,14.2506075872891,13.162686860527,10.9424040284229,0.501117019966676,-10.1422475519997,-20.3522498991233,-33.9907797909581,-28.5749935966338,-23.1586368320458,-15.5377083354497,-8.70246676413434,0.24067134547620128,-0.07209651993652248,-0.8469741701155935,1.8987418304438284,-1.056188562003205,-0.23262130633585126,0.13511929472536272,0.059155390076572986,0.013039683195503485,0.028393989692425313,-0.29470559882999103,0.13885077094867387,0.03134972497860651,0.004836765963222273,-0.030802015021059535,0.04512435398281324,-0.06668511063819575,0.016908764594469324,0.011738323779880672,0.007749051748921803,0.016621821556884395,-0.0036115732258215475,-0.02018420585375935,-0.1111547741238864,0.003946058230187644,0.05542162100272769,0.1066525537979736,-0.0493149904376966,-0.22727579746483764,-0.04671876233282941,0.024489822897417628,0.10746841519902683,0.036266982037355414,-0.006425677514250746,-0.07168871517402903,-0.013523432941183891,0.030673935459854987,-2.8415151515151518,13.73971046970529
5,126.133570803085,148.8259991084,180.781019759606,170.388557544122,157.563207332065,141.562447113803,118.61919651509,94.3010131146787,70.0578342240479,45.3937078312182,25.8374871398505,8.68677758894466,4.69618039435375,22.6512855973382,-4.23211483408145,-5.28864125940394,-6.23018254925523,-6.72723944127374,-6.09660442593122,-1.01791990693119,5.56703539512253,9.55232228345188,10.0427665251876,10.4887990995917,13.1167301405702,13.4540600958404,12.1441187646963,10.5843774797839,8.01241148439881,-1.46695025225993,-11.1116915607274,-20.2176308690481,-39.7232004972993,-32.6103909666171,-25.5275716244204,-16.4266121748173,-8.0413691398066,0.024329520512629498,-0.07155464763706738,-0.0626714082696249,-1.0576751360119385,2.31117878903086,-1.0095602829008514,-0.18251062338390245,-0.07698390947112124,-0.012900280405327778,-0.1599611709914432,0.848680615589214,-0.2949296086295118,-0.05977932163443506,0.006816795521025409,-0.13470225152471355,0.11867433302599399,0.05878823350705663,-0.018192990620302125,0.014860529321347458,0.0656432538169419,0.024376392256918653,0.018224878461751148,0.07925111058347971,0.050465108371388574,0.007966401878581853,-0.0055892783185156,0.0007252056550212071,0.042147065244859054,0.01207128601653729,0.01569962666967891,0.0647569601506866,-0.10132618398394258,0.07767260971309312,0.008734775547072653,-0.020634885546336613,-0.07460565878709763,-0.06433415665961814,-3.5647979797979796,12.552020049859106
6,108.161691930494,127.299644317555,154.962929914366,149.852078926615,141.562447113803,131.171279857618,110.52379463125,88.0934251322412,64.9904959606519,41.0500290151581,24.3660795340594,9.23009483556053,4.64451448874033,26.134578595272,-3.34036408873438,-4.50225334562312,-5.44771927116298,-6.02903555039727,-5.60748142151735,-1.30470544716789,5.31272473211566,8.73196458206525,9.17341867177505,9.5651439484789,12.0051813004355,12.4455334653502,11.0922841040312,9.63118159530785,7.0769028892762,-1.22758662763683,-9.63672614634618,-17.5585821817537,-46.1502835608021,-38.8611742108436,-31.6221827521641,-22.0077002142716,-12.9865290387926,-0.18359302197822874,0.050998075248150226,0.3477011056773912,-0.23157797445103379,-1.0125910428674287,1.8622349588087628,-0.937119372488569,-0.14887557289032904,0.15993115589258172,0.36766388070304734,-0.3944948506907137,-0.08585455014967551,0.07074161729767821,-0.04225163662041943,0.06150343072134393,-0.060289723620053914,-0.04422398302108489,0.008145441540824794,-0.025918636153604437,-0.11031220657716338,-0.06328733010422628,-0.04570206219063465,0.01764239920657384,0.04957737175896782,-0.016142980722485076,-0.03796902276030187,-0.12991318139182717,-0.04383847466226769,0.26493101217823545,0.06065372904579405,-0.0012416400918312284,-0.08770002410054803,-0.07386503002429176,-0.0077008158858101455,0.0915338470392025,0.028792051062647296,0.07506547510844101,-3.709191919191919,11.452566518366874
7,87.2764356208971,104.215312180808,129.159759239074,125.624089941719,118.61919651509,110.52379463125,95.2531504658632,77.6972867211762,58.0161484239262,37.1201622477918,22.9918399996698,9.43307572735101,4.73978357189887,11.9913907091418,-3.8836315984539,-4.62606264233866,-5.09020992278609,-5.38866827559083,-5.04390269078781,-1.42739282333312,3.90981497137901,7.12162840334741,7.93474178735433,8.63906294992722,11.2329546339541,11.9117119056638,10.7476678495184,9.5878317596366,7.83427757260161,0.964989507272989,-5.94117972679534,-12.4204591382216,-33.5570330115254,-27.709086578975,-21.9433935195633,-14.8316724684615,-8.23244343964156,-0.03634939488310227,0.059561684840211626,-0.01113562810835743,0.13891862585154868,-0.18248115714613528,-0.9385169368827622,2.0437037718963116,-0.8648127891187039,-0.1529807318783886,-0.24453811737336023,-0.009782815334634456,0.23671575952686758,-0.059890790144392796,-0.008671765907472286,-0.040068717073184705,-0.1757569423972633,0.06856911980220887,-0.029054759008958587,-0.00904178967238158,-0.0024965997925162167,0.048179864113863644,0.004496355003027951,0.008115898898365857,0.034308898352315854,-0.08425640834279956,-0.04156701099304631,0.029308387326997604,0.0030000746849631697,-0.04643074159273791,-0.02591185348609595,-0.09997880296525766,0.1279452385985781,-0.03763338437660104,-0.014996689227271461,0.025809625011794457,0.0635053865074305,-0.013320927818033507,-3.8969191919191917,9.7592597293987
8,65.5224231199764,82.0811121103615,102.307296928327,100.281869699336,94.3010131146787,88.0934251322412,77.6972867211762,65.8196456980757,50.1037621425986,32.7199999564155,21.6131312584485,10.2865151490877,4.9738482025845,-3.38149421709117,-4.64234140994287,-5.12187685407761,-5.2762886865962,-5.12878156080488,-4.67506548601715,-1.57601979273492,2.7114640292665,5.66796057974739,6.73718092498166,7.65520794082845,10.0035786388926,10.5662689301608,9.58024273100095,8.72159535023737,7.65869094588817,2.1689118177449,-3.30897236952627,-8.41179690102899,-23.7050548447543,-18.9916338821422,-14.4002848073912,-9.17941294721082,-4.39265386713483,0.14236205802551893,-0.01964373664642896,0.000611416646124559,0.058299651293981646,-0.0799513453047443,-0.14986990729401564,-0.8641214730718291,2.0001791738817793,-0.887787692329924,-0.21671531389334783,-0.027774326696065825,-0.0004362213825678541,0.04235252742688022,0.03400812197948608,-0.04089082735740083,0.01353133824719773,0.0033986071365201933,0.05020736044669888,0.027384192440887186,0.03991109400117264,-0.004934136330082262,-0.034673133825839184,-0.137991416926134,-0.06011081615666224,0.04487858749674656,0.04791805496832489,0.019594748245371243,-0.025116019214944323,-0.1127530019072083,-0.0303756500050815,0.0010572903694713832,0.054913463212568285,0.04200361832369908,-0.007824114151905854,-0.059761899286941256,-0.006958349333966999,-0.028915053724787646,-3.741313131313132,8.112314447682342
9,52.0560515604765,65.037024933776,78.6296062159773,75.4348819111257,70.0578342240479,64.9904959606519,58.0161484239262,50.1037621425986,39.5773050004412,26.6842729824217,18.5352964842755,9.64018599610862,5.02991144618862,-7.31162548103822,-4.85097366692673,-5.33805076617457,-5.47155254424827,-4.90298117585703,-4.41146680498616,-2.02558732134749,1.19449848923187,3.47346856571134,4.48689651157608,5.35546380417499,7.48462418401296,8.10841503982265,7.41019208332095,6.85371257278628,6.14192893091921,1.84978683350763,-2.42891613513839,-6.33144058592256,-18.4764099529788,-14.7452368535037,-11.1247249699811,-7.18738703699582,-3.67242533387623,-0.04158220267179269,-0.019062185538260147,-0.03232705953433266,0.01350957319490446,-0.008584884710163127,0.15936609789257022,-0.15287616217526814,-0.8880970587168492,1.564621079320869,-0.15121851865497488,-0.24501873087417145,-0.16047722325437377,0.04331344438999199,-0.008895790140048595,0.16535996450764007,0.2218945452265436,-0.11548483051284289,-0.18540920146589498,0.03278656380346858,0.07892778702671688,-0.03557296617739969,0.039727333335507126,-0.0182345070123079,-0.06429898038032396,0.009206704854481652,0.009850152446542255,0.013142119636212571,-0.017249638880419915,-0.02915590416849132,0.0022542617045810836,0.08166781987072348,-0.047102048237509915,0.004302540994448056,-0.010537014765737875,-0.05036563671013137,-0.002948963682010796,0.0628603916358074,-3.0573737373737373,6.2902547643510625
35,37.4784135519348,46.9347531824157,54.8065181093498,50.3951361420025,45.3937078312182,41.0500290151581,37.1201622477918,32.7199999564155,26.6842729824217,20.1058224690937,14.5539005361531,7.86801605230746,4.66409610579568,-11.8254172729634,-4.13516169095428,-4.99749598772638,-5.4395553356394,-4.68114392440677,-4.03934886181012,-2.22791689747879,0.192869382955376,1.67416894286382,2.32587583124427,2.87218150449517,4.61752662210926,5.24308563142281,4.65760953787512,4.2034089315763,3.80916313065242,0.805570034523363,-2.19494757000641,-4.76849443404013,-15.2261086097642,-12.3038118801394,-9.47049282037645,-6.4189306423345,-3.81947755319223,0.004831466876788413,-0.06139627551777557,-0.07855134119300886,0.028849165391389757,-0.15884252658951525,0.36754174929627853,-0.24457047303184015,-0.2180237204182554,-0.15169202089079573,1.5089159017729463,-0.7517472687471864,0.1206744322692019,-0.03369451816735415,0.017836709740336312,0.042787964037749406,0.0913192663726997,0.01879380687982349,0.06286996275765959,-0.06543944898362673,-0.010373087937975424,-0.005752732478834416,0.02114005198321329,0.045766990651244996,0.10096409320166491,-0.0076538711119174775,-0.13720347205774833,0.10360133530722435,0.14482112765366867,-0.04801955132742753,-0.0038691813333031626,0.02261386585735402,-0.09910153339115448,0.04877929512707803,0.022177644841554624,-0.018663646189805448,-0.031227223437195473,-0.028792421668996298,-2.09010101010101,4.482836431222285
