,Cov_0,Cov_1,Cov_2,Cov_3,Cov_4,Cov_5,Cov_6,Cov_30,Cov_31,Cov_32,Cov_33,Cov_34,Cov_35,Cov_36,Cov_37,Cov_38,Cov_39,Cov_43,Cov_44,Cov_45,Cov_46,Cov_47,Cov_48,Cov_49,Cov_50,Cov_51,Cov_52,Cov_53,Cov_54,Cov_55,Cov_56,Cov_57,Cov_58,Cov_59,Cov_60,Cov_61,Cov_63,Cov_64,Cov_65,Cov_66,Cov_67,Cov_68,Cov_69,Cov_70,Cov_71,C_0,C_1,C_2,C_3,C_4,C_5,C_6,C_30,C_31,C_32,C_33,C_34,C_35,C_36,C_37,C_38,C_39,C_43,C_44,C_45,C_46,C_47,C_48,C_49,C_50,C_51,C_52,C_53,C_54,C_55,C_56,C_57,C_58,C_59,C_60,C_61,C_63,C_64,C_65,C_66,C_67,C_68,C_69,C_70,C_71,Mean,Std
0,247.180192398138,249.778343815846,249.179882966228,202.67701825708,91.033348768272,17.9059448649996,10.6119867945231,2.30757536358741,-5.86301421182224,-5.85370096208063,5.30071518414127,-12.1787972728642,-4.48600949746254,2.85021347582599,3.2127556403847,-1.97572225429321,-6.98520345475825,-1.06567375964868,-1.671309648956,-6.5190461735239,-10.3622648388959,-13.3249290144225,-15.4878193953549,-3.98986671960596,4.205607772406,11.5973915861008,19.8547296279236,26.8568945094355,6.72960731926292,-11.5121624171193,-11.8259311410106,-11.4557429064421,-11.4298900076275,-9.39534776810162,-23.3585126708013,-17.9657904354638,3.49909871857573,34.0339246443844,64.5235379302066,83.1612857855656,110.086602292271,129.47886050551,149.231406422347,126.641985754604,92.8754875095431,0.8768330120755526,-1.089301027191241,0.00033136292071140954,0.2792589869440117,0.052984455745524045,-0.01451479979565397,-0.08666292688652244,0.05239325917142051,0.11625999229753738,0.1979314784130188,0.27923346641285374,-0.08094969133110887,-0.23304981331782973,-0.23775018406399392,0.039999624919264745,0.09483339737840144,0.0073941224574216955,0.23489233449765437,0.023350424691844375,0.014686045999837995,0.029829817868889098,-0.10950337571927753,0.0641200073687632,0.07859963649182634,-0.03808975545449956,0.020328995301180215,-0.08317549532304545,-0.11098604105278938,0.0098269714473781,0.16246053523821632,-0.08087457974093282,-0.08457217333016313,-0.02210048014892296,0.0011055062549912246,-0.10403858315509469,0.0883915620385655,-0.0451254272355362,0.0022294830193274693,0.0436215051191737,0.02563475141710463,-0.017672644136665572,0.051440823179907356,0.00510566987087642,-0.003416058241355755,-0.008285385764980311,3.078541921041921,15.721647254602106
1,249.778343815846,284.180296447675,313.359191242876,287.835607070837,131.684160356641,19.7698446143929,12.5178706821536,2.51425122510556,-7.36747486893141,-6.10356963218434,8.90533873472458,-15.5478276506506,-5.92463106970716,2.71900149430235,7.6375442706934,3.33063253719219,1.74599716643785,3.79707128738002,-0.312911093291435,-7.91157633359212,-14.5325488936787,-16.842051050392,-18.0080064763995,-5.93243315754111,-1.1442854232045,4.12417833250704,10.3033504136104,14.4791460786278,1.03070618864739,-11.807953785115,-12.0887014459061,-11.6062325743679,-11.4090388785466,-9.60650400187134,-27.1851634948075,-19.5429014153194,5.55742759590138,39.6183503308711,73.6306641392149,92.1979834307158,120.462931762269,142.687586346992,165.240737606352,138.837369666647,104.450440462822,-1.0910664716743148,2.1367034360578,-0.7715560610684943,-0.1473740899669413,-0.12198270804714748,0.08127209953251743,0.05682106009111481,-0.20362935347228636,-0.11829630383479818,-0.11421648525956882,-0.35178327122899183,0.1282532404837621,0.33474329116942225,0.11344168098026478,0.020722745750185883,0.1386205632402963,0.051077200193660084,-0.2669191954720705,-0.08898920068139844,-0.026066353782468795,-0.024311609034120243,0.1130026531393938,0.007750213470813746,0.013383823493217964,-0.030227911099683678,0.01005027578881068,0.11675600309642759,-0.11430097243506118,-0.020482150550434876,0.03365686434857527,0.16966898000320677,0.10676549145996941,0.03282009194355891,0.08236476454936466,-0.005181128327378261,-0.04903875314996621,0.0618561934809493,0.01019638263000878,-0.03038730853185586,-0.0034437966588061583,-0.09254170298181737,-0.015812829227886967,-0.005783765963588798,-0.0495029705452446,0.07043097137719305,3.1484469542802884,16.857351406661564
2,249.179882966228,313.359191242876,373.268840573488,369.986802642097,170.631065020949,20.8571004371097,14.0961938083111,2.38675563426255,-9.59747229989132,-6.7801927092087,12.9157080485498,-17.7808609712236,-6.13520461777814,3.97188197224629,13.0404426887633,9.39875211722642,5.56917225599449,5.95113084808102,1.6915857173656,-7.83281047259328,-16.3608151405621,-16.8736372764185,-16.3562349929366,-8.12456891931611,-6.6947684396338,-3.42056136001562,0.741804812861094,2.3933594554729,-3.639011851423,-8.95310138344924,-8.80664942132139,-7.9551155264937,-7.32090867441172,-5.18892865879481,-27.3801323804731,-19.5183462267563,9.60141458524845,47.9749892575508,86.3043978750654,103.743256324661,133.216779971537,157.834406384333,182.882185680199,152.559760614563,117.747696782707,-0.0028039640985268125,-0.7742417081058444,1.5171165242241391,-0.8007865661767932,0.16386955637015976,-0.2930640163253664,0.10177871072935715,0.1116808334249947,-0.19944368369690224,-0.004840900761431909,-0.2647834674531825,0.21551981017097194,0.050058161122451705,-0.03381405851875788,-0.10065506401372146,-0.0909946354820709,-0.08069956148459846,0.04910516501644308,-0.01793496558318067,0.0075851093420040315,-0.00973674032975425,0.03630280891524233,-0.010275873631919457,-0.04673735203864296,0.007193005042134395,-0.020206561751724014,0.20715505197610978,-0.058856449150225594,-0.017146520698497623,-0.034581189827798134,0.021869875720688468,0.08659879945218345,0.031144118366475293,-0.1483310579905813,0.2071580031851059,-0.20697479047627873,0.13085433297999674,-0.006495231190930099,-0.1414307594690585,-0.010799462439615394,0.009597017034347757,0.09493527822270989,-0.17130523315424262,-0.12782639897413534,0.10389556485523115,3.5223202414869075,19.31990788211703
3,202.67701825708,287.835607070837,369.986802642097,421.094174005693,208.191118662744,18.5511629056292,12.4760506621354,0.294181715496681,-12.8561662150223,-9.108053182402,11.5904415922968,-18.3466671612446,-6.32852584640716,4.11499340590257,15.5294513816953,12.0086929773804,7.02230496855593,4.5169966267337,-0.394691356738315,-8.99202271235354,-16.7018112090676,-17.3806329527217,-17.3124238319234,-8.74513946600797,-9.88913331158692,-8.28505666680902,-5.71824724825674,-6.87836524660338,-7.5051786420514,-7.68337072371343,-8.16522623599107,-8.14552519518722,-8.22670712103044,-7.12536564064329,-30.2204147945071,-35.0416040855218,-17.8554749148533,7.44321946402487,32.7151716765927,39.6332635865334,54.2156779665912,65.5880991726817,77.2400983899375,62.339849200549,46.3649242830006,0.28291995279322846,-0.14855861210002702,-0.7994075843858844,1.2874172581448646,-1.2700556497163096,0.6088338885650675,0.04607203599178454,0.02961634286389538,0.09530759417847774,0.05517221065017954,0.29133381958360977,-0.16414356906271987,-0.12508052550346785,0.004379215278659519,-0.040282941962591516,-0.1416853446525674,-0.03737880279404269,0.006561625414578359,0.04490257018474768,-0.011624696539358615,-0.057800157641557985,-0.02345402332310678,0.017687944935617844,0.07276738576889305,-0.05969108417842323,-0.040791563314975895,-0.12097505795986971,0.166748165959119,0.02268587872947105,-0.07567292504387242,-0.0906938522456899,-0.12004083913838237,-0.037445950862649374,0.026917062468463093,0.040780555332785885,0.05552983266282158,-0.09823675460147253,-0.005140804471254934,0.08243329771890413,-0.0046928816803615365,0.05803703357347393,0.004383652717844862,-0.0879932898245478,0.09244201537846959,-0.028506129527188263,2.5948046398046403,20.52033562117572
4,91.033348768272,131.684160356641,170.631065020949,208.191118662744,112.353402263922,15.1310392839968,11.3740047174737,2.15995045707111,-6.94493245339191,-3.52135280454618,5.33988378729948,-7.83981324708865,-2.42950601859465,2.47301880357147,7.27274383599867,5.08999503991169,3.46571348605704,1.24326686937709,-1.6298009970009,-6.07794496766858,-9.99589052410486,-9.33040581155651,-8.55107837118088,-5.50773152125784,-6.84459910105953,-5.46453988779819,-2.95825216102963,-2.90695333513895,-4.22781381879742,-5.60105635756193,-5.90975500632411,-6.14667894671366,-6.30566665204916,-5.94713942375042,-20.9867934171893,-32.0807185301919,-27.9911329352752,-19.0360935068033,-10.0871900058779,-5.8403883831919,-5.25828192444103,-7.04864253338836,-9.30027047057238,-9.77251998396397,-10.8187545728146,0.05390748688429074,-0.12232641296715625,0.1715707841775912,-1.275993645158785,2.406801888798885,-0.8846289926702066,-0.27119603899502864,-0.008870816640083979,0.1517830280355618,-0.04305976789987733,-0.024852717455976503,-0.047060367259204997,-0.033276641438688734,0.10697732192349499,0.15545487151007858,0.14279188996564132,0.139125476730633,0.05113088055534355,0.033295393035034926,0.034499978533914774,0.12982352345344544,-0.056608970885896864,-0.054187382128378855,-0.1311123460951317,0.17928701545752848,0.08269385557329069,-0.1746304689399548,-0.026971053575660802,0.008227026575138742,0.051462359895921746,0.015873238590818545,0.05904609670322178,0.019852376136827256,0.05512115891736599,-0.2807223468650163,0.18386511956215093,-0.02642139285198863,0.008514362796750514,0.04566746911443588,0.001311253882861653,-0.0012752747111372423,-0.15777925374502771,0.41479321055516544,0.07197042041634824,-0.18984242503347945,-0.11437762854429522,10.599217059005916
5,17.9059448649996,19.7698446143929,20.8571004371097,18.5511629056292,15.1310392839968,12.6327713495122,11.7194513646465,5.26985971100596,-0.319668795584739,2.76095964141127,2.48329427585987,1.38433727183036,1.49004422483406,1.74310237682977,1.26421254463535,0.953109253435167,2.04626214925012,1.11373195453234,0.814014513367789,-0.429835278225905,-1.38438809635883,0.775344754221835,2.51234475534871,-3.04060041752296,-3.6699297306741,-2.95542231038771,-1.29122995722239,0.0652352076432977,-0.709662173796503,-1.76166105988205,-1.26426566265725,-1.04496606321596,-0.736772151191807,-0.392140297704819,-8.95524312649595,-15.1802462920293,-11.3565724212819,-4.86807507975212,1.61651558123689,11.8744328314169,11.8232335116864,9.90112476814264,7.11012123718684,5.33677707988636,3.53043945613223,-0.01400355390610583,0.08117599115484307,-0.30105184577561356,0.6162021419680734,-0.8904741751921571,1.9553825538831031,-0.9476864554543951,-0.2331042440995906,0.32693781304850444,-0.1662018725593347,-0.1798705988918028,0.04144018661162547,0.040344577399675154,0.10977630155432218,0.2720869538020696,0.06414015000292618,-0.009202068500310395,0.07777288412555579,-0.06300933327324705,0.010832313077310788,0.08587657713493395,-0.009645398664401249,-0.06844748437071031,-0.1887491804016049,0.0157776618870038,0.17523519306732985,0.13977291703445338,-0.08295329322654492,-0.023619416085867827,-0.02224952501938277,-0.012178535432127071,0.027462018039935178,0.08005544937897804,0.051734192590792205,-0.008637366478291594,0.06502367417916546,0.011317385424612827,0.007800944734952997,0.018566995491043254,-0.07246101080880879,-0.008053171459627795,-0.004440043859902881,-0.08688165629757719,0.006043814230560117,0.09629696069068813,-1.9018932302265634,3.552853972444159
6,10.6119867945231,12.5178706821536,14.0961938083111,12.4760506621354,11.3740047174737,11.7194513646465,12.8916022419314,7.36215934274832,2.23670756204965,3.90833708860971,2.66959438784447,3.20380611851644,3.02734236849493,2.94505585461009,2.32247744387564,2.1618891165872,2.07317165014755,1.47992512635497,2.01978333957839,0.611698628554716,-0.503263457159019,1.83515052758077,3.40470196914442,-3.96672904155401,-4.06770113526358,-3.4371477692505,-2.25122382348585,-1.1948153570502,-0.816208473738543,-0.448177586642414,0.190861411440541,0.372214311512408,0.598858204413591,0.773673631718069,-7.55158578002742,-13.0531623558078,-9.71035922827673,-3.85601422568384,1.99260194480325,10.968801111134,11.3485633574107,9.75012833685939,7.7004832383087,6.17478947541179,5.27490492762489,-0.08521717281354085,0.054129851879358024,0.09381437165819773,0.054509253923794354,-0.26936735380257737,-0.9523215246487297,1.6349427733522603,-0.5145776824173648,0.053087340640215565,-0.3023015592288227,-0.013435573037420628,-0.02913615753394797,-0.07464610758965982,-0.06337518836184043,-0.13441187042877636,-0.12098382736947652,-0.06373484670546675,-0.1064008701077353,-0.05910929079927122,-0.045444253292822666,-0.027354898572376857,-0.014705912631873867,0.001957713577649034,0.24779185638285803,-0.17342862380500304,-0.06114495863100096,0.03954831290041532,0.01905082533921158,0.014309789331014105,0.0007563710858782018,-0.021514728721431727,-0.059245129000535496,-0.020521374098232396,-0.014642207004173178,0.005368206802735502,0.06569734124577849,-0.13417240753048157,-0.011074454891328382,0.09572551118001686,0.007972011677706068,0.06551042258743248,-0.10678033487195458,-0.023638400975387556,-0.0034085334013262145,0.0074904343335489895,-1.9477421652421651,3.5890949056734898
30,2.30757536358741,2.51425122510556,2.38675563426255,0.294181715496681,2.15995045707111,5.26985971100596,7.36215934274832,9.16159246412297,9.27707814469728,3.11673507991221,1.59415989303369,4.19146460952794,3.36461762728132,2.41008509162424,1.11712458244919,1.28786508029486,-0.307441275216033,0.0991146794356848,1.73842596892475,0.507044454649604,-0.386963512192489,0.500364512029408,0.376646057929638,-0.538846712768303,-2.03280077805486,-1.51957002698695,-1.00562709318687,-0.787032769234982,0.134473470971245,1.49244935027205,1.8230417717056,1.56966913154886,1.26786949541021,0.984836308928024,-8.04845519655954,-14.4457917837393,-11.8345548352174,-6.28252626285095,-0.722623159148503,-0.558457279244642,2.16342663088308,2.61941697435592,3.15193711394877,2.51026290000243,2.82763278985165,0.05157828839198066,-0.19948507760135506,0.11771283346441463,0.03000898749531817,-0.013155673295937488,-0.23129068032985153,-0.5151871728685296,1.4524547349368142,-0.6127207363229925,0.22781331258173404,0.22328130833316764,-0.03480960572201408,-0.02717846981608659,-0.047030487623259246,-0.1298413915498499,-0.0915360045859444,-0.011532270832950619,-0.045178470998000535,-0.07551329662144282,-0.09600217014368867,-0.1288558041982878,0.0799171492037291,0.09033512440009997,-0.05159310655900318,0.12385365845551576,-0.014453226926335298,-0.2860553813123386,0.26890638000347167,0.06043920517929886,-0.07173288659737646,-0.03973147675823647,-0.09501107414872005,-0.043583941675383785,-0.1379780580212056,0.21747031337022765,-0.14291516711431054,0.06733770004719977,-0.009783439572395263,-0.12197275332141791,0.09390215002189836,-0.001238582969158094,-0.04044410664543619,0.0826364727852483,0.0101728765009826,-0.05165492808118367,-1.4241025641025642,3.0251599071987862
31,-5.86301421182224,-7.36747486893141,-9.59747229989132,-12.8561662150223,-6.94493245339191,-0.319668795584739,2.23670756204965,9.27707814469728,17.2060488505747,3.922332685075,1.18107296607547,6.00360171061973,4.10559465422058,2.01514317799201,-0.34402457101644,0.0575501136017988,-2.77257253999944,-1.56833789956065,1.05538634834362,0.392298438337068,0.0979630266992305,0.938777132172706,0.526958129906318,4.39967488814486,2.66321247479027,2.58454878341366,1.84033818384459,1.27302256146108,1.29125073079178,2.12844402786543,1.7230692128964,0.656129154359548,-0.399565338012432,-1.43475540896714,-11.8684365458696,-19.7181203806891,-17.101575254863,-11.2883331337969,-5.47621451313111,-10.0782166582539,-5.55991891423418,-3.82176502045478,-1.35146536844764,-1.10100281763919,0.430102985326253,0.11690521098729277,-0.11953015405000941,-0.2014513434855293,0.09623095469857688,0.153181099080796,0.32662856395412754,0.05344148727338801,-0.6145211544684547,0.8289043103046629,-0.2935556905204808,0.03986030031041538,-0.19441149813534056,-0.058993684017468594,-0.07117180663585362,0.23161312858156732,0.12685990240997033,-0.024366492805662367,0.16058017099320127,-0.11070761728598304,-0.009930447482753069,0.1366571612530291,-0.044136965221278524,-0.05127786117670853,-0.14976736810092958,0.10179255699232582,-0.09797120672196952,-0.015802545499613446,0.11856112923667354,-0.006159581618815034,-0.10822154605941905,-0.06593822226900149,0.01805939120622235,0.030967415220131845,0.09595785256572792,-0.09494368869997394,0.1795692588397178,-0.1057169002877134,0.0036701885407890143,0.11550064923588824,-0.07984534480634807,0.041949113437916886,0.05039543279628214,-0.03091148670564233,0.015937560910353726,0.017540028702918948,-1.2416666666666667,4.14681188994325
32,-5.85370096208063,-6.10356963218434,-6.7801927092087,-9.108053182402,-3.52135280454618,2.76095964141127,3.90833708860971,3.11673507991221,3.922332685075,4.89189655172414,1.4854039019709,2.54471239187409,1.79517266062815,0.813162386989996,0.184252334029273,0.338923698829883,-0.630084882870208,-0.189785895403412,0.346523787679222,0.908562659179659,1.69543567723344,1.94569090790001,1.61264249837825,0.661722997851506,-0.0031898954428503,0.232834602911912,0.47906647380344,0.600216498234603,0.113078805137915,-0.122860965948313,-0.415714570057064,-1.01253627118116,-1.45855454780977,-2.09359196365535,-3.98897724098644,-4.79397200451387,-5.35744112131528,-3.83124924142483,-2.32426797859503,-7.6582666720359,-2.81675016080438,0.286001432353156,3.54408608016305,3.27522446576054,3.86713278966034,0.19777692610354275,-0.11091380089018178,-0.002878660698321495,0.05043269529319743,-0.04844544687948805,-0.16814252552990702,-0.3020609267691011,0.22847931459712187,-0.29529620206066737,1.236790389322914,-0.17226977699407237,-0.0419737137119017,-0.11249963261361735,0.09808387262312661,-0.1079237794011038,-0.12568215533533209,0.06744500172538732,0.027667333348824503,0.1196622087906905,0.07884326940878758,-0.012587671419708945,-0.16452070676881342,0.12224904712986898,0.14380083671795907,-0.014324535915204993,-0.012855064191300856,0.055800717286179025,-0.2764235288338393,-0.004571793914598317,0.23137449970573748,-0.016665119345567782,0.15040496499735376,-0.06605055512288621,0.02305592009375365,-0.0028279745937699,-0.11480893920265654,0.09622950555109008,0.01172734302726636,-0.06702584186271425,0.1355844317733573,-0.22709196278789426,0.278985057182017,-0.208427570016302,0.14531381390545864,-0.1356111576551252,-2.15,2.209501426051619
