,Cov_0,Cov_1,Cov_2,Cov_3,Cov_4,Cov_5,Cov_6,Cov_8,Cov_9,Cov_34,Cov_35,Cov_36,Cov_37,Cov_38,Cov_39,Cov_40,Cov_41,Cov_42,Cov_43,Cov_44,Cov_45,Cov_46,Cov_47,Cov_48,Cov_49,Cov_50,Cov_51,Cov_52,Cov_53,Cov_54,Cov_55,Cov_56,Cov_57,Cov_58,Cov_59,Cov_60,Cov_61,Cov_62,Cov_63,Cov_64,Cov_65,Cov_66,Cov_67,Cov_68,Cov_69,Cov_70,Cov_71,C_0,C_1,C_2,C_3,C_4,C_5,C_6,C_8,C_9,C_34,C_35,C_36,C_37,C_38,C_39,C_40,C_41,C_42,C_43,C_44,C_45,C_46,C_47,C_48,C_49,C_50,C_51,C_52,C_53,C_54,C_55,C_56,C_57,C_58,C_59,C_60,C_61,C_62,C_63,C_64,C_65,C_66,C_67,C_68,C_69,C_70,C_71,Mean,Std
0,24.0394737474009,36.415423139434,53.4895058277004,42.9570631050141,38.640885628881,33.8747683740136,29.5552741608263,26.0654239462421,23.0221744976423,0.396201300110916,-0.700416316450657,0.973700490743582,1.02379090570298,0.526725436071152,3.53525746597883,5.19652186315342,2.60240701546483,2.11748442306009,2.68828737866471,6.73910900333307,1.84903072275112,2.36678868261344,-1.06500122051941,35.9459096113508,18.4697320602331,1.32543320585955,2.98503848064813,3.24335756887886,1.9147553597091,0.529752416008169,-1.03760133523834,0.403544983091103,1.79051242676648,3.92999256189193,3.76320153251801,9.89227107620862,2.35091333567986,-2.87695507850074,-33.7628830065308,-49.5347245086206,-43.1897342800787,-28.9341516688969,-27.5075167926749,-20.1158901376047,-8.19345342825309,-1.73193157282758,4.57054869232111,1.2289550285599204,-0.5535291981715826,-0.17600769386966492,0.24363706488534956,0.040854477680500656,0.020543877819872252,0.08938102163404175,0.04869831966786075,-0.08568738722288505,0.03842521514405913,0.10493882104357304,0.2158833150124577,0.20519179239002192,-0.5681091015766453,-0.021959614211907195,-0.27557677060559327,0.2009136063928329,0.25855686431574604,-0.550862502828664,0.03872147930379148,0.016649714703157858,-0.19637183093035257,0.19803121637557233,-0.15752777689071634,-0.019970157447113102,-0.12413030755511896,-0.04230881090337011,-0.46243012732794797,-0.01396875209317581,0.12167072443121087,0.0546539570627566,0.07102819498475797,-0.050560162600345585,-0.20294200946259122,0.25302642394519415,-0.12737379206512647,-0.01478991572745103,-0.100334674738153,0.05028632641758385,-0.009505244031298574,0.08112527290046453,-0.22485242307775058,0.18432257591891282,0.0938810461626748,-0.1518576223206186,0.07221795852480058,-0.09422751759839969,-0.29570707070707064,4.90198671432317
1,36.415423139434,309.225172896517,550.80692759164,563.023254880678,424.201334700199,285.941085411817,177.207705926044,113.413310752356,50.4304527115416,4.7235456182299,0.0168868408810626,9.63848951671298,13.3433608538983,8.15508385920535,18.0624163251611,19.0924960709566,7.92518299477278,4.23786674139791,-0.935592528467698,9.61041648851245,3.06598923882749,-1.0657330460659,23.0280572474172,-37.0663656421249,-18.5349684109041,5.87167270081116,7.9175661992384,4.70978553801418,-1.23574342720537,-3.46163674375324,-6.95539637009385,-8.66842670440429,-7.7425714443192,-0.572477743076635,3.91663474212098,-27.0635483199697,-37.1151373386247,-26.5866330723633,-62.9614587983358,-84.5444284273912,-69.9449861318548,-45.187984695196,-35.3964863505822,-29.0913187765619,-20.2635544983222,-11.4669037701367,2.49271510634768,-0.5451361455351332,0.9529517972222928,-0.11378875209983279,-0.1902548093066172,-0.11538116299880818,-0.007852924639199519,-0.012507270752016303,-0.028489864527496425,0.0128149244674229,-0.10819823932075119,0.13531492738654563,-0.072378829266423,-0.3376682415281101,0.4015931059901249,-0.3686806708228748,-0.10012285299781082,0.04924470296179159,0.10700462463316014,0.31993925078054275,-0.21574426976719835,0.2168921862198361,0.07725171757732804,-0.035989320254950635,0.11315668877722898,-0.014467779371352301,-0.3686929751253048,-0.06278274759215072,0.5743853951057273,0.1354278911105958,-0.047332080912513196,-0.003280345292469196,-0.08284872522284928,-0.10569437073471037,0.06157434747567445,0.18402669487482967,-0.11793879701510285,0.032456234731881924,0.009633748793801872,-0.010247911626729193,0.06218030222976434,0.12399928401633932,-0.14292555619946287,-0.07523370289832104,-0.03241530592974151,0.06471240249286163,0.023129773871182393,0.18418148057101144,3.9082683982683983,17.584515145335025
2,53.4895058277004,550.80692759164,1033.93307826597,1073.80348628399,801.957161772207,531.960778473597,320.627997697752,203.229774053877,86.9107544441811,7.16852574227369,-0.118699291228776,15.1466406885244,20.3182131813888,17.8976931669286,26.1545414547392,29.6185971728585,14.2428423448155,8.50703964967727,0.53252669261311,14.7759817514175,10.715076607077,4.88020058221435,47.5800614772599,-58.1836013750622,-30.6302944368331,11.9120467334906,16.3370507497894,13.1610324661571,4.03696920532652,0.628444603239603,-5.37761283271523,-12.7175357587304,-14.8342594365094,0.514141277424279,9.90295160418129,-57.6869123240144,-71.4055255332324,-48.2710457994408,-89.9603556838628,-116.201134829085,-94.2246097061066,-61.5606211251975,-48.7032501608341,-38.504578660527,-32.1305028171044,-20.1107300944642,2.20527176833061,-0.1700426213141889,-0.12714763682300126,1.2764796382317904,-0.4990044661884578,-0.19320787233342315,-0.6353109301642205,-0.5404517915001372,-0.054373892325466515,0.31561069337003833,0.2914834218491212,0.1522607418281747,0.16971517539674416,-0.034511810148292736,0.15376032235231632,-0.04877699539019981,0.15302822210763894,0.021242940306488788,0.01516826820746719,-0.1434865205091912,0.2896850344653359,-0.4805142853768729,0.20582303522010129,-0.08883658411731066,-0.05626191114068685,0.2008639566318319,0.3261854339819082,0.01613720622497607,-0.05785167030989347,0.12634819335079434,0.038339609461340574,-0.02209446224349242,0.024993812099593716,0.08998758482762359,0.08009946061505674,0.06266024214980706,-0.17418343187687035,-0.040310503452430736,0.18420321963785768,-0.1745420313107436,0.06302191134879709,-0.07258384739763701,0.120909347408622,-0.0002815604618202637,-0.0071199181246390944,-0.03570336585766056,0.012522430867618808,-0.12537633519497884,7.896132756132756,32.15467428331335
3,42.9570631050141,563.023254880678,1073.80348628399,1212.19950596905,868.053063870609,525.28578980295,276.215858516436,174.125223802274,72.696925012159,8.4893522142227,0.965255937192031,17.0806582638993,18.1744358539471,30.991965426056,41.4823511206004,49.6740272092886,28.0955661353024,16.1659120105929,1.35060243934414,14.4926624409278,13.7511575992596,12.6095096919635,57.8056230895918,-65.4406117558115,-32.6637208575651,10.7116889894623,23.6951300174799,28.0174837443799,15.1606416663679,8.57027259806762,-0.989974651795414,-10.8523462978924,-13.5622707695911,18.0037475346185,38.5476226161435,-63.8576614120014,-74.5262272162336,-46.5238858181519,-88.7094279307501,-116.015508655737,-93.0223409920829,-58.6096859016483,-47.1784081637281,-37.9061675502781,-30.3468033207441,-15.8749069894786,9.50643319782289,0.27816505855373447,-0.19907331729249048,-0.5098729100364636,1.335245393577757,-1.4646488729754472,0.25613751789490935,0.8554279441639078,0.10890677960817252,-0.36137816392659755,0.07387126888538643,-0.07998275628118422,0.028773962813728727,0.21747426989678484,-0.1729365945206844,0.0005356350165642421,-0.0049897784735462945,-0.049450380536071176,0.0022935371453296372,0.046537232256119394,-0.06943893721806366,0.04865040343492995,-0.03827789354876503,-0.01193654721055599,-0.017145120640114378,0.0160482045143265,-0.002986424523260917,-0.027838235333225218,-0.20367339360760509,-0.040080323267970557,0.017327445569995784,0.0059590180699587506,0.02665460638145551,0.01976860007059159,-0.10396262541160431,-0.09931960944506894,0.17870770497836921,-0.015295299259107555,-0.052221799738896874,-0.021626530492254534,0.018994167413802866,-0.013229742828945476,-0.013464457189943891,0.0022673477115642995,0.005249902152133777,0.11182093066692582,-0.06740742569852941,-0.05388493156348758,8.74502886002886,34.81651197304302
4,38.640885628881,424.201334700199,801.957161772207,868.053063870609,637.312063328678,406.643743850488,234.559230202251,152.88510681563,70.9741346105207,7.36339606409591,1.46276910942932,12.5133440179676,14.2254926366324,18.9456733598436,24.472131212604,29.4105382891297,16.1512165756454,10.1754542015516,2.11260263856294,10.6437836455681,5.87252453347665,4.08404726135722,40.0053728013982,-39.205102057012,-16.4506546574561,8.96897888297886,15.6577498425147,15.4698596998178,7.49026790149303,4.69281244397488,-0.631893181774346,-5.8419202145857,-7.12567345794711,9.68465278470761,19.2362649742484,-45.1035041874007,-50.6878808286743,-33.3631120445957,-70.0880734407327,-92.0705064345422,-74.440963071698,-47.0802173551597,-35.9044433949542,-26.0349812340251,-20.9750098215073,-11.0547879062072,6.56880317553466,0.052722364292305694,-0.11013040068940247,-0.23703540344038296,-1.5040364034353484,3.1651703091326726,-1.1039579945508384,-0.15460105938548013,-0.03569187604936192,0.008366230068520764,-0.13631152275036953,-0.05103246314769982,-0.05829909607056094,-0.10642018055854023,-0.18774603756277797,0.22847637462935264,-0.04246970168082596,0.005130618175016568,-0.057826562237871575,-0.03270549190114872,-0.21674706971684354,0.23306474544425146,-0.12352118438308336,-0.02211456969627406,0.05871161492287823,-0.16800648919337557,-0.10782894111178241,-0.0053684823003117945,-0.06916336717307539,-0.17680076398410982,-0.027069443186118355,0.009852527710624203,0.06950180095247317,0.017568368736229467,-0.04906728821292959,-0.2269816825364798,0.21638935813835877,0.07675619324944855,-0.2034174159129705,0.2008867553099362,-0.045149354856673374,0.0038894823247158667,-0.1082635484825183,0.07116103252155231,-0.040173250788626824,-0.032527506933341874,0.019933504025645553,0.04958971557044096,6.321702741702742,25.244842311424296
5,33.8747683740136,285.941085411817,531.960778473597,525.28578980295,406.643743850488,287.846843741889,192.786350049749,131.837173606086,69.7536322834924,5.85029610284687,1.53928008937171,7.64232229421613,9.63014534255959,5.86989201628808,8.15670486483781,9.24598875496186,4.01687629631269,3.65869775561984,2.04374082065004,6.67330558326955,-0.289923194712071,-3.39390456944345,22.3158448753674,-13.9330031716774,-3.64542233382937,7.17198260331488,7.38597440930587,2.71791608095023,-0.137934647775702,0.975467690890288,0.0601034039166867,-0.448913951177926,-0.278681770550723,2.19389173893775,0.828498567293156,-25.3446722403651,-25.5760319554739,-19.6454815181819,-50.5751903744499,-66.7949656251688,-54.7930345845094,-34.858353364209,-23.6850770322504,-13.096202174162,-10.8873207993661,-5.65314662232422,3.90412329128568,0.03060564215132374,-0.05192943143711362,-0.6657436228689867,0.23716260844835602,-1.148080760646376,3.5461134690976213,-1.912998296806181,-0.22627259140686462,0.6904397712702287,-0.44690683454478414,-0.13541146973758286,-0.25221144803250345,0.0671820068331253,-0.04162687121418045,0.15671147467702473,-0.07338755667037412,-0.027402063193635855,-0.019806038103347454,0.01158868203639547,-0.014449225528190359,0.14500582415813712,-0.0676335800299471,-0.007183916472116109,-0.13200831807569505,-0.07844821516618314,-0.16045700107025346,0.006278296239648391,0.012733886235336793,0.007163123685196294,-0.014942352539620148,0.014381997257835922,-0.028207567568599004,-0.04053907074873041,-0.0002958389662128418,0.016013434957845178,0.007467285981394244,-0.024565293676052893,0.006979829751137695,0.13159468884115777,-0.12667226941862966,0.031712971387717365,0.0174437527908773,0.014640035417518942,0.005813982443947601,-0.05440136463599685,0.006303598989737797,0.07659314332305818,3.700598845598846,16.965755030115474
6,29.5552741608263,177.207705926044,320.627997697752,276.215858516436,234.559230202251,192.786350049749,210.74558891142,225.96833165953,239.426825624628,1.38974000538852,0.0124590284195265,0.700625229109716,0.31645560857173,-6.69031193026065,8.64543364820304,-3.88288512194006,-4.28427888038073,-0.0688070785735701,2.93530266433109,7.88587332554183,-1.57258450291312,-9.33537013541775,11.732462717829,-19.4010649283165,-6.76545161833011,6.36410471514042,3.15992772326084,-5.00363947765534,-4.19994710652533,0.260057777276386,2.9158643363282,7.12279599113106,10.0683724829905,13.418285770096,16.4356366088601,24.5125198483846,3.4131873347649,-18.4359640926041,-45.6225676707011,-58.3867995755324,-47.0932439037476,-29.6590182637659,-15.5023136321783,-5.04940181660479,6.7352108451885,21.4421472417596,39.1723392650704,0.12644181415656858,-0.024242814781073704,-0.5268646256214762,0.9118381467266605,-0.16045616010332536,-1.9557302381796862,3.4444472723627904,-1.4434898333478523,-0.15575488385266473,0.17258864424213363,-0.025444139798486563,-0.06184345730966114,0.010076678532077677,-0.06962377196015603,-0.018075531747687154,0.004156852000249201,-0.03403656455166136,-0.05860781484062393,0.010958493209909223,-0.07534670636951499,0.22677905483232152,-0.11525956863507111,-0.01319925998876948,0.13083028335691035,-0.03841418697643306,-0.022440664167661096,0.03850207818907385,0.05197882287431146,0.027645391676142394,-0.0038273038903157636,-0.012654730020075864,-0.059647117195441024,-0.09841948727914865,0.05583532413353288,0.1746653489919103,-0.13222676166538289,0.0017207588626418494,0.02636894200857187,-0.003979531869238195,-0.0915362509039331,0.07376028192129182,0.07088432864857701,-0.01207037271253763,0.05303543162830204,-0.0824601798445662,0.02549082608219366,0.04422058334066667,2.9250505050505056,14.516734788216679
8,26.0654239462421,113.413310752356,203.229774053877,174.125223802274,152.88510681563,131.837173606086,225.96833165953,316.121884131928,404.003116917572,-1.90519759623202,-1.66856226678215,-4.7936065136737,-9.26094205739203,-12.6302418349361,18.1402942452967,-4.65030774235367,-4.12284591372923,0.84107719977747,4.09230784643948,9.65541758267819,-0.584861775171814,-11.2839242621651,9.62309020740695,-14.4449685179225,-5.17345169238797,5.9820300499124,4.0778677412182,-3.92445870816045,-2.54887324495368,2.75095548803098,6.15974444036666,12.4534086075999,17.226138703402,31.5130993635429,46.426064335239,67.0554223172955,23.7700258262741,-20.481507336149,-46.5130703181799,-58.5938451565122,-45.9861477925119,-26.7761848906885,-13.140003854041,-3.00167576064751,19.7530180936665,46.4578024193805,76.3061866548929,0.021766660790534572,-0.018908818895501344,-0.055994624980306856,0.12035602214264267,-0.03638918222838605,-0.23696883579550035,-1.4936011065790746,3.548384456828273,-1.8838488044788009,-0.06233277444346096,-0.10815390742690957,-0.018962121784254098,0.06732003811702478,0.022787698146912404,-0.011254363496741119,0.001793103925450385,-0.019183831560760544,-0.007547954329680208,0.08543952969320294,0.13191435831696552,-0.05659002970475078,-0.013432130856867282,0.015394570997012986,0.04210513864330191,-0.09661797895766072,-0.04599958391794441,-0.009849477613902615,0.04599753306430318,0.06934954437584963,0.05733307309079239,-0.014474079120677366,-0.20372090272249008,-0.15265719925875465,-0.01464354528182253,0.02782118413747318,0.013103007326225291,0.010023013226895064,-0.04365973833312259,-0.09124996728733716,0.12700674246204421,-0.09946235589217059,0.03776237524625029,-0.0032481774859804214,0.023589386221936758,0.047337575477744705,0.03716585963670539,-0.019818492883714733,3.396168831168831,17.779535543200435
9,23.0221744976423,50.4304527115416,86.9107544441811,72.696925012159,70.9741346105207,69.7536322834924,239.426825624628,404.003116917572,568.040017698039,-4.97956535438396,-4.29735702230023,-10.7879680685848,-18.1463880083555,-17.118329496613,28.8432716065808,-4.80490329179097,-3.47410165320566,1.99261243971388,5.29605183522829,13.8061230377488,1.89212518746597,-13.0506242174649,6.91220481555191,-8.43084572530703,-2.85896847361639,5.73740325723835,5.02476609698273,-2.84592956231941,-2.80944066990802,1.37050830967217,3.60829777715462,10.0605318744205,16.5145173653849,43.6896408077124,72.1866320984719,106.997214146761,30.315322640063,-32.9716733145908,-51.0011942199751,-61.5626620396235,-47.2443953920127,-26.1148553425097,-12.337188970571,-0.206179951289828,34.0839068637827,72.2294709694227,113.490335485187,-0.07606541392183802,0.016795048675387204,0.31945458860611453,-0.39434477271379687,0.01634537318576285,0.7308906968639981,-0.15979528350723116,-1.8715417414262565,1.3946610368158006,0.021485336092063434,0.12695638650734933,0.06647987949814874,-0.007452073500642576,0.012861007651008834,-0.06119559949379743,0.07593316403707437,0.05417513472515316,0.0019866713914864498,-0.11903426213644311,0.020250165877851046,-0.12232648359732533,0.08280854467357439,-0.01856931776376807,-0.07055823998887174,0.08711091844012682,0.009486121341027732,-0.0006776392595714872,-0.020965931606770585,-0.07576245756082586,0.012071704974781059,0.011900412289707538,0.1553589143431612,0.14146020974285964,-0.0070847866781433766,-0.05010027034028721,-0.007625206734193678,-0.022406302461084573,0.04884013667015345,0.06376602337680659,-0.01717345172460741,0.008639747283153035,-0.0685240865726727,0.0025981969772578637,-0.02329827576440192,0.005690577387248546,-0.04098615134533554,-0.10492622358658026,3.715382395382395,23.833380324621157
34,0.396201300110916,4.7235456182299,7.16852574227369,8.4893522142227,7.36339606409591,5.85029610284687,1.38974000538852,-1.90519759623202,-4.97956535438396,5.53578862026746,1.12093626096805,0.562924393611395,-0.477177746994188,2.71091778551752,1.61686223357595,1.86082801543048,1.70819007646565,1.33233911981879,0.830696976771675,0.329166748662964,-1.00567203788795,-2.95843771432488,-0.362942944111631,1.3690955908833,2.00397638067013,0.527591784861132,1.01341422635104,0.344863593906635,-1.75296018483027,-2.24154277062652,-3.31654774927756,-0.97403674440488,1.72051970751566,2.80183105923558,-3.593769359844,-5.60106385632358,-1.98215818605916,-1.44148716422268,-5.66851641533113,-7.9939548150161,-7.84011826323442,-4.87333762300117,9.49079476589174,23.462858195531,18.6122048346524,12.0630910770106,2.08359672662082,0.05069534134947619,-0.09518655378697191,0.29552639164035843,0.06011321338784595,-0.12174959529292068,-0.44587522972851373,0.19080027390809465,-0.05354459878042671,0.018527555446757854,1.9540298446518256,-0.8373893138311862,-0.15767520734926643,0.07249459433192365,0.31767923569696666,0.09015919946512616,-0.05436517295412484,-0.17336847055456828,-0.030070832118836446,-0.3631590392384478,0.2956903568733264,-0.2886021873357528,0.17530254906834528,-0.13120559063396067,0.0236583318275014,0.0060636531763806,-0.5544479643295936,-0.3398784377985167,-0.06448518968541724,0.023874955092220405,0.06746539245984187,0.4867605631486061,0.09811041043233065,-0.01553905136496454,-0.15109616642695559,-0.2447506651466127,0.21259351759546857,-0.23369675688202116,0.26139544579887175,0.17635418432044667,-0.33875524211481045,0.3705389210390839,-0.07773994326274732,-0.02528501828471394,-0.18046821009545458,0.11947134641453833,-0.1132144847212743,0.18832641136568745,-1.7209595959595958,2.3506996023029956
