,Cov_0,Cov_1,Cov_2,Cov_3,Cov_4,Cov_5,Cov_6,Cov_30,Cov_31,Cov_32,Cov_33,Cov_34,Cov_35,Cov_36,Cov_37,Cov_38,Cov_39,Cov_40,Cov_41,Cov_42,Cov_43,Cov_44,Cov_45,Cov_46,Cov_47,Cov_49,Cov_50,Cov_52,Cov_53,Cov_54,Cov_55,Cov_56,Cov_57,Cov_58,Cov_59,Cov_60,Cov_61,Cov_62,Cov_63,Cov_64,Cov_65,Cov_66,Cov_67,Cov_68,Cov_69,Cov_70,Cov_71,C_0,C_1,C_2,C_3,C_4,C_5,C_6,C_30,C_31,C_32,C_33,C_34,C_35,C_36,C_37,C_38,C_39,C_40,C_41,C_42,C_43,C_44,C_45,C_46,C_47,C_49,C_50,C_52,C_53,C_54,C_55,C_56,C_57,C_58,C_59,C_60,C_61,C_62,C_63,C_64,C_65,C_66,C_67,C_68,C_69,C_70,C_71,Mean,Std
0,440.8939348659,620.7779269109,802.017213518281,292.147174001829,255.001570642669,122.303665007788,71.2296908994724,17.9102593336513,3.17165933491325,11.9784719467468,3.26551880942767,4.93721116681475,9.73985306792315,13.661097009558,14.7807872331009,4.4999933657365,-7.21591673944202,-15.6418854219218,-24.8134314735954,-34.0971308635783,-7.12044446692923,28.1340896758778,22.5357402987546,24.104563891034,26.4023250952007,29.0346614480262,30.4272299997276,29.5669852412998,32.5536818299199,28.779148296753,28.787004838048,35.3036446277317,23.3252710181362,0.548342003786271,3.03823471996216,4.19755398983739,5.01300555726708,3.56106861692377,10.735185842136,11.9950597062884,14.7991509614917,-16.0529210593352,-25.1237786883864,87.1391008747546,229.836230037999,384.475136803852,19.7829899173193,1.7039805216603754,-1.173894561456884,0.21899343499440366,0.12557340385018514,-0.10211711386956264,0.048000917362257985,0.058605013970102725,0.07343682505643194,-0.24224290322672043,-0.14483544120935588,0.15955652321456645,-0.01614951462092566,0.0036352466478238653,0.04315052199298274,-0.08428779393116341,-0.22174181689331504,0.14742770718240367,0.019144603981798566,0.06482860241603741,0.1714880313402396,0.08265155175960551,-0.022285955658995507,-0.013604496189694419,0.24059081041471866,0.059320461330967515,0.011894449062565577,-0.029946284516453692,0.0019788722183872445,-0.1912295214961755,0.10201386198212856,0.20350280953635838,0.002659276495469121,-0.05787473230080565,0.014960847992169292,0.0893723799779323,-0.12822680805805498,0.14875408338215293,0.15841941707824783,-0.10079738710058711,0.05834133030465022,-0.233309483873658,-0.06194627003388845,-0.05988584933118818,0.14066151842583774,-0.17262383690267846,-0.42068866752419837,0.07859249373011185,5.403333333333334,20.99723636257639
1,620.7779269109,1030.76799424799,1442.68451902153,440.82590716419,405.964991680107,160.274564850109,95.3704154157131,25.6539512807295,4.59139993628506,8.16160215160816,2.80398319990442,4.11900198593923,13.1574900558708,22.0178275937357,30.5003630003308,14.0435616715175,-4.82176163293286,-19.3436365336242,-34.8501942048531,-50.4975627129042,-10.5971952569411,47.479045584926,42.0438632677634,39.5875800595345,37.3657441616008,35.6446644878033,32.2706061131282,25.8832715221043,22.7108494557586,17.988145343195,13.9554983910968,22.9943162842478,13.1944614656813,-12.6252931064401,-7.6372186340834,-12.9849045117301,-17.7829352707917,-25.7193327938578,-17.5631479697116,-18.2360604560277,-2.57570761494665,-36.1971448462709,-50.5695364963696,44.5519412577545,159.532626376621,294.200307353415,-4.97586895989342,-1.202842853203968,2.881945719624493,-1.5020000334489003,-0.027525735735531506,0.026563165351007764,-0.20103931281870582,-0.039782750214669475,0.007390557401249891,0.049915752756233604,0.11133318499857502,0.11686896177687986,0.0023150195348729985,-0.08958011527815066,-0.13765622532445246,-0.24941409626868546,-0.05750097355977957,-0.04086539430257448,0.00047470092912823934,0.012217817437596227,0.02934396430939463,0.2131068379590724,-0.014122009463004582,-0.13396939345496192,-0.008247695178291823,-0.002776299779576313,0.0018297831093694458,-0.012011898327739792,-0.012394622335856953,-0.007072167995514647,-0.005705516264230993,-0.11108418010371773,-0.3268010180055619,0.3097417735305592,0.17565531451561894,0.021307570691771197,0.05843078901465466,0.062380036204980095,0.02684855165448008,-0.1021162993793309,-0.048474006819279845,-0.035150660007010046,-0.165850834623474,-0.033467449498312075,0.06606555230828062,-0.019676214949329435,-0.046573227718596365,-0.030573596403312635,7.732738095238095,32.10542001357382
2,802.017213518281,1442.68451902153,2087.58803829463,589.482428937675,557.307443264865,197.369966718181,118.986264411276,33.4007351320684,6.27976321794427,4.838246125134,2.48148290915389,3.39265856142526,16.5477358158898,30.1955303619355,45.7830219208157,23.0583848817429,-2.95000408298135,-23.6862957154449,-45.6006373725851,-67.6809739303358,-13.1043886791106,67.1345926873191,61.4476302558511,54.9424895522026,48.0943118792712,41.8966297357345,33.6914256069118,21.785312181771,12.401489663474,6.59170766706413,-1.52172817790104,10.044671864695,4.20181535278356,-24.643742570391,-17.8123733769203,-29.6012068593277,-40.1565833717041,-54.6297260246835,-45.3616136482484,-48.21834426885,-20.9544437217018,-57.3151917483798,-75.6867792088447,2.26280991843068,90.165234972991,204.83629313329,-29.8865438138048,0.22016991686186504,-1.4856398753809326,0.9559287043827113,-0.12088134824242346,0.07415668732953999,0.0382359860346567,0.008089438939261057,-0.03865139337897963,0.06592287396498196,-0.009845786151511318,-0.13576919314116634,0.025264136447727622,0.005549554565948975,0.02468019786644218,0.14982106217711932,0.10352899330233946,-0.026103010648283635,0.02411686027870063,0.00993394738861737,0.009755612342043399,-0.2295595041574935,-0.06904191916458108,0.0864455231035298,-0.10633630113480534,-0.025439883892709583,0.009473779193871793,0.026439007684038066,-0.002902686775437683,0.04074397254773646,-0.020798920098579164,0.01695845671107322,0.23716839195298295,-0.2089026924462072,-0.11060298856417787,-0.016777160247723084,0.004218698064827009,-0.08898748919780128,-0.06550958833877661,0.07768531612683974,0.009935131752725118,0.10700197508990114,0.1185123190906636,0.07340251417588457,-0.10377430719565113,0.07658012448901827,0.19565345823229224,-0.002619185864843363,9.78547619047619,45.69002121136111
3,292.147174001829,440.82590716419,589.482428937675,454.293199186883,504.324350485664,61.5649174484755,47.8766219176821,29.8747902613855,-0.383692604916783,25.6144176791825,13.2637910418233,14.3127987027469,15.2458141877197,16.5667766166316,18.4949068699123,8.76612954080504,-2.92417144030037,-11.3706377829747,-20.5523903106409,-29.8173548502783,-25.0891885598813,6.56678007718054,14.3198041657927,16.8012824954829,18.9363864108999,21.34384723512,22.7644584057905,22.0442599046096,22.9282331669612,24.809497560943,26.2813379912852,29.0972126204142,9.78538600524713,-5.49027616948657,-0.393476584577101,-9.57305272373476,-24.006659489361,-40.3145293302109,-24.2573814339727,-20.4823048569565,-9.55419093137162,-34.1988352614767,-30.4434440444928,36.545517621776,112.942488011844,202.123471571284,-11.0679956371107,0.1341367429148343,-0.028083276311176495,-0.11515950181861494,1.5458081799442482,-1.2086848784222999,-0.2721127581893435,0.037576544842172065,0.039238554258678504,0.3096651000408848,0.034670576781256186,-0.11815156127099402,0.1052706149800456,0.2889476905471644,0.35621308234054905,-0.11463499560600497,-0.09922481168842213,-0.12653359324878985,-0.08870767690572212,-0.047597349615640584,-0.055724046115952566,0.29051915115101307,0.07506542330088381,-0.003437480048897052,0.2819828310553335,0.0310354299076146,-0.12660391737977075,-0.047455623925956064,0.014534273903323925,-0.09917529682221371,-0.02296745604466874,0.05948105010299321,0.047798638048894164,-0.09971955445264995,0.1686170897412801,-0.07397021982103238,-0.0034420246348477483,0.008162543681333527,-0.005728200844428335,0.01648353222804629,-0.08254822056147962,0.15913717433526503,-0.27068578530824916,-0.11601391623658354,0.10109838917132101,-0.08854139754105778,-0.1636968195187064,0.10669540469805684,4.118353174603172,21.313920314829055
4,255.001570642669,405.964991680107,557.307443264865,504.324350485664,582.981495394805,43.015910962435,41.4647817965424,34.2865612709258,0.760401075495922,29.7990748161608,16.4976970463459,18.1977297656853,17.9530844164458,18.1781240002393,19.8273476455758,9.83549196833001,-2.17204996458274,-10.8130861596343,-20.2041416493112,-29.7073713391051,-29.3468602392823,1.98629123063423,14.1750201795212,15.7953108201932,17.9542689082005,20.3982391773928,21.7170539845341,20.8139638405562,21.6330441739972,23.5892975839443,25.0114833466553,26.4273573370486,6.10428692962883,-8.20020638010704,-1.58535552037927,-13.7001809331699,-31.5261293819223,-51.2835445408326,-31.7636689922915,-33.3773305769949,-20.4963386245626,-43.3675745001614,-36.2605295594405,14.8656249994852,71.470819609912,141.091674814715,-13.1336654331638,-0.10649820173901972,0.019907537790918802,0.0725500248108788,-1.2022095194561777,1.033864702149434,0.3408796625416272,-0.17987712641194264,-0.04515434322497615,-0.20123489578810483,-0.1179887610246664,0.079014578532459,-0.16680481997166882,-0.2397701689094474,-0.25867397994732,0.10875045608144265,0.07588911350462454,0.1552844050201243,0.08037146989493098,0.036349767560906965,0.01596226526334127,-0.14256430129182385,-0.04161964659404664,0.0010123074853266632,-0.22447654347684995,-0.032685811672679324,0.07160995924820768,-0.0040541074857407535,-0.027223006063440854,0.09301343513465285,0.004736842833828938,-0.07390620853213316,-0.0033273198644835646,0.12236146052841411,-0.13287745260188305,0.08426807676174528,-0.049748709018884424,0.002310904699440634,0.13366544079183337,-0.07036200858818502,0.04857185281412476,-0.11334476215498251,0.24340443149253999,0.08148425741428152,-0.09256721001412352,0.09127722088836861,0.10540122360479412,-0.07781430607887467,4.750674603174603,24.144802658021565
5,122.303665007788,160.274564850109,197.369966718181,61.5649174484755,43.015910962435,57.6056359587178,33.9739388308474,7.42944500449873,3.78550654584196,-0.157790126986702,-0.107945308492138,-2.9585033401693,-0.799589936214089,1.7349898364264,4.44111942349031,2.00505041107342,-1.21153637491067,-2.95838935468743,-5.04206696436298,-7.13981237230238,-0.0271540046664936,7.97843281413937,5.02311792109532,7.62260476040332,8.68425879733696,9.74166457351361,10.6478321340363,10.7660166026864,11.7350799921024,11.3767864721011,12.3493854807537,14.1249213858787,9.42507593479432,-12.553316754249,10.2673513402279,8.49984016482302,1.39854532381657,-5.67640357489628,-14.1852615172081,4.5420331403687,15.8753873741061,-31.0826634941691,3.05832170234988,41.6699761895579,86.0227558695362,130.003088328993,2.99518395917831,0.05514034822455716,-0.2187068714372372,0.04980906424436064,-0.27100434284801844,0.3408124092563207,1.448905495968944,-1.3288785525682543,-0.0963704720567171,0.1702794186489853,-0.3725733060377403,0.08736472770430026,-0.010176719475278984,0.15355321204316005,0.09111071594712443,0.1417614540092957,0.0587999446971671,-0.006718626783289492,-0.07545459565482238,-0.116108605917814,-0.27446768909558167,0.29035561241964875,0.09263371149495224,0.1411836539889123,-0.005616136523138327,-0.03814047153506376,-0.11305694606690726,-0.008775496188008654,0.07141756172512428,0.049171289834736676,0.027905689043950715,0.07028273327511775,-0.18675647379824645,0.2125597288323231,-0.16244015229806832,-0.06700307850617929,-0.012531979182405274,0.03135136950514629,-0.08302580071132293,0.10880906476616685,0.048926544201598025,-0.06129974319561991,0.26199385553642895,-0.06623058357231781,0.02450659043206014,-0.03948735508718515,-0.05536958299373075,-0.005168890562684262,-0.6436706349206348,7.589178872494558
6,71.2296908994724,95.3704154157131,118.986264411276,47.8766219176821,41.4647817965424,33.9739388308474,22.3604674850783,6.55350713412493,4.17035627451787,-1.15692529522712,1.08413645835227,0.155895849502537,0.50463872270723,1.32215191361714,3.04119075390838,1.50548323476194,-0.786236058747147,-1.58530453119067,-2.70621870942902,-3.85907469130711,-0.286183630306667,4.98066901082286,3.75757366708072,5.31997255010521,6.11401340990137,6.89384035577087,7.41632817778451,7.13684918074491,7.78411901438886,7.15080087324635,7.8221351215401,8.68382809116272,5.40032719517077,-4.22747247816204,7.06767301315894,4.70837752912502,-2.04182676495937,-8.74858486616897,-15.9544646867581,-0.0525963487089369,9.94473225751777,-15.3938691825367,-1.16837746196088,22.0284381703102,47.0628589552517,71.6200208893079,2.03737510678991,0.04278712421295213,-0.0334309706850512,0.012414808754712653,0.03720240679370662,-0.18333804882015034,-1.3337343279414162,2.631408112898279,0.0020275517037723454,-0.8884577636662573,0.771806253268359,0.04506571623576686,-0.07508514153302719,-0.013755031582892398,-0.06808842526056286,0.010846141141424117,-0.09891960099142136,0.056339898263018745,-0.05796326838803913,-0.047245241104911836,-0.0742758740648233,-0.21585545486052707,0.12015627997364936,0.08657812432104331,-0.002134533216838049,0.014833402493552802,0.09389656478897246,-0.00286009919553478,0.008669176103106377,0.26223834741064694,-0.005660318043691096,-0.21775303740827168,-0.013790505728252229,-0.03375747217871047,-0.14632660747768111,-0.036622482688406545,0.04213418218843411,0.012126994038761172,-0.09157885209791242,0.012157334419807897,0.13058621131494552,-0.2722084800016682,0.06758876844030562,0.026254742222381656,0.043552155588103776,-0.05026356172603294,-0.004812625269855015,-0.0717764644385147,-0.19079365079365082,4.727628103507966
30,17.9102593336513,25.6539512807295,33.4007351320684,29.8747902613855,34.2865612709258,7.42944500449873,6.55350713412493,17.1445206936462,3.77892928016086,3.65535045341657,2.85213597396168,2.61880467107847,1.64495787973248,1.25808371204318,2.71338433802975,1.93122892556613,0.205015259006026,0.290812737001538,-0.0340903139364765,-0.382817972756505,1.37421614303982,1.59369984741472,2.30688045366822,2.79013491713192,3.51818048476611,4.27294433184803,4.58417209733455,3.90459664585469,4.28265601102341,3.78453297637317,4.32366328026396,4.15038711541757,4.69531548080269,3.89212130466787,1.76582125172904,-3.43338903489125,-9.72686665097445,-16.1187009605418,-21.6527489978995,-7.66684679047541,5.22599527263269,5.98973934239873,5.35694329224208,-0.960069630432701,3.98732560908726,9.75598460801804,1.07721125409235,0.06866243346857157,0.008758531310588418,-0.039834969523778366,0.035206749670338135,-0.0500259306755644,-0.11218564068077239,-0.001555293169884295,0.8260708837528443,-0.27935274565486035,-0.6010531544291575,0.11372254772147602,0.04793601263059362,-0.2268950947274673,-0.0984116500571041,-0.03148828395457182,0.05783227571061099,0.09099697602217703,0.030169442642334777,-0.021171030702603864,-0.11550866563518475,-0.18067890141641038,0.5435330178973344,-0.4828513291638013,0.08452082718735135,0.04886174259031353,-0.005883217710814724,-0.04617006879730939,0.022864627497515017,0.009286487215775817,0.0377818700087443,0.006573174227963264,0.12936901165364034,-0.07667674207191402,0.1527741757519374,0.03495375447845915,0.08499605118066285,-0.05137976087105458,0.05391038411520901,0.22376796392881723,-0.027514096138594346,-0.0789311589626642,-0.14287322416999174,-0.09036924599813581,0.015551867994920853,0.02535233337189065,-0.06054734763845366,-0.09917969758708031,0.9148611111111111,4.1393865117486
31,3.17165933491325,4.59139993628506,6.27976321794427,-0.383692604916783,0.760401075495922,3.78550654584196,4.17035627451787,3.77892928016086,7.91052083333333,1.37885257783909,2.34050146242928,1.52866212495746,0.599452794016987,0.430768070220016,0.298197747189625,0.383713033650963,-0.429485010353675,0.112799990776633,0.2959959531847,0.420682844736984,2.12030184325042,2.45316976633228,1.47348281452332,1.56345436006413,2.09595535616209,2.63271285693818,2.67481691289433,2.07204894035927,2.3921592546954,1.84228487746934,1.84807570645921,2.54217025254966,2.5329835222431,-1.67987240214307,-0.431560344364804,-0.0159531283923478,1.22368699509624,2.40680338958466,0.446476379625618,0.312305514424197,-4.32336849779427,-5.0607954481799,2.01133427809594,-6.33202187208435,-3.14272170076964,4.08847666787868,1.2733775017426,-0.2487652042270168,0.06860262617139543,0.055559930905060124,0.31089653069213524,-0.19968473638269402,0.1740665299496111,-0.8902488347480678,-0.27797551696045614,1.4141063281290143,0.08671493679152208,-0.46315782034589553,-0.25025806484888236,-0.03416723505873989,0.2820157894166923,0.01878481535296131,-0.15979763224555307,0.042875332318398164,0.015259656041079523,0.08549502259929385,0.24819918657556805,-0.06720279840970746,-0.14669655921591643,0.0064690189265422336,-0.20220407236138357,-0.03426058149642887,0.14867674031712128,-0.09934812280186102,-0.23499736490623135,-0.1468359388669286,-0.01955835931003377,0.1593145016433511,0.011610887455923232,-0.11811122757845685,0.17500630402359688,0.040800608247999304,-0.008811452937322994,-0.14948535667318558,-0.19309839873455287,0.08080523069768338,-0.12170011522016595,0.374846516084872,-0.10189675714491825,-0.0014998702111584604,-0.008448149878460447,0.07700723743955301,0.077002535947988,0.14992271550831796,1.1791666666666667,2.810786515076044
32,11.9784719467468,8.16160215160816,4.838246125134,25.6144176791825,29.7990748161608,-0.157790126986702,-1.15692529522712,3.65535045341657,1.37885257783909,11.1701517600575,2.88933112588762,1.52368992524432,1.91663843790613,2.36679287307692,0.545394558783708,0.508547638400652,-0.316580129613405,-0.52238460512665,-1.02586457505521,-1.56037344504032,-0.729469030978109,-2.24890740594686,-1.32088486584435,-0.359032518599794,0.805485188038762,1.86305441963066,2.59077051202113,3.33873232354783,4.32025658312987,5.39520794695135,6.19788034945288,6.86364353284082,6.45644119597068,0.092816154353948,2.38398679334634,5.26492884961722,9.29248393379846,14.1531859876583,21.9955264131534,10.8393703347099,-0.798498609961233,-4.13448583597778,-0.0807178019291138,0.0862247313127611,10.4582718849065,25.9471827895696,3.78967346318785,-0.145497897918281,0.10838219942251637,-0.00653863534139865,0.03558873841262101,-0.11359089075679359,-0.35864479940208416,0.7782033062016266,-0.6001481716946216,0.08484247299147848,1.6896422638848083,-0.3897978028579516,0.032447982324006724,0.14202772482677378,0.027769117549415967,0.04805980604532513,-0.06682438518990656,-0.24288585196723864,-0.0710361472400773,0.015140285761353818,0.1445843739936573,-0.18571114908252706,-0.08863835188140089,0.44634970715224553,-0.26725244339049564,-0.05923146689436252,0.017877611409548664,0.01974584645512916,-0.05134047213033926,0.04524892697657607,-0.1336466086312535,0.07832029915912121,-0.274939431309981,-0.060064329192850326,-0.19579362458702462,-0.021605680908506782,-0.0553713735363358,-0.05347356778320937,-0.010592063453546203,-0.3989021326956304,0.16543805941077885,-0.08293003490485126,0.1289632544368035,-0.012911753908559106,0.09260391729843713,-0.006947873130734198,0.03056272901819781,0.16007218037366436,0.5604166666666667,3.340681331713258
