,Cov_0,Cov_1,Cov_2,Cov_3,Cov_4,Cov_5,Cov_6,Cov_30,Cov_31,Cov_32,Cov_33,Cov_34,Cov_35,Cov_36,Cov_37,Cov_38,Cov_39,Cov_40,Cov_41,Cov_42,Cov_43,Cov_44,Cov_45,Cov_46,Cov_47,Cov_48,Cov_49,Cov_50,Cov_51,Cov_53,Cov_54,Cov_55,Cov_56,Cov_57,Cov_58,Cov_59,Cov_60,Cov_61,Cov_62,Cov_63,Cov_64,Cov_65,Cov_66,Cov_67,Cov_68,Cov_69,Cov_70,Cov_71,C_0,C_1,C_2,C_3,C_4,C_5,C_6,C_30,C_31,C_32,C_33,C_34,C_35,C_36,C_37,C_38,C_39,C_40,C_41,C_42,C_43,C_44,C_45,C_46,C_47,C_48,C_49,C_50,C_51,C_53,C_54,C_55,C_56,C_57,C_58,C_59,C_60,C_61,C_62,C_63,C_64,C_65,C_66,C_67,C_68,C_69,C_70,C_71,Mean,Std
0,126.692951641105,40.2829245971937,29.78139890178,-11.9065655834736,-1.99422900678009,3.7822302025546,5.6677976532247,-1.46934205190664,-7.59870107236026,-1.51684016106076,-2.60510692937026,-2.67346772432319,-3.3514254297779,-14.9961706887372,-1.41960794940262,-0.076925253739044,0.932878111013187,2.66102211549534,0.118477761418601,-5.10735210407843,-5.90263330184574,-4.61896745469022,2.07159497205742,3.70625897183337,16.9987911770251,5.40559085225145,1.17560924562581,-3.83359718761048,-11.6478411307379,-4.33722211636077,-9.1176018579386,-13.912428065765,-17.5627153889263,-20.0849017080577,-22.5537523920141,-24.6727518948498,-16.628085080792,-22.5777353126477,-21.0328203478178,-12.8315164323698,-0.889438452855122,10.7600773681718,-14.774501961977,2.29673410000009,-23.1934863105684,-21.0578546640885,-8.9607741644957,-9.330196289193,0.17905836852227297,-0.0016450172112728618,-0.03953825732296405,0.05693690315562228,-0.0403886383639157,-0.08556181460461572,-0.04964271211503279,0.09565989287056516,0.12019135342940114,0.1880486323241461,0.08022640842157545,0.06495402718962215,-0.04194735611394423,0.004348631579465283,0.01625117055364356,0.031932174944648714,-0.001907781138108963,-0.0001548783052872647,0.06141154879141236,-0.009733031638329094,-0.016104559252508314,0.007269313943517251,-0.05061227235779985,-0.09233769588364173,-0.13839132038306212,0.032343380169390624,-0.03910299148550523,0.001439163676783626,-0.03831034234153606,0.04243138982470417,-0.024905550598524232,-0.01750284827053977,0.04095552363268331,0.07808674280953938,0.14792491450125433,-0.10964891308378835,0.051806354101742225,0.05222802214088757,-0.019348502562548605,-0.0883731184587914,0.04111277146621165,0.0024688765532068667,0.028668451259636907,-0.06210967103363745,0.018474726022236983,0.09725339471980303,-0.17113446974466331,0.12579457381927447,-0.8899358974358974,11.255352133145589
1,40.2829245971937,3799.70831879915,999.749147922325,2642.74880323797,1528.63840544504,526.053449033287,224.718848937203,-0.673825331029941,-49.8115652686897,6.81292947711855,-22.4657144485457,-7.2455573214451,5.86363350071487,-73.626406978362,-21.4392648533615,28.9943990518018,33.5991633574207,38.9617815368426,-25.3474015420679,-46.5736749935009,-42.7000358805475,-37.0918602957338,-1.97912559253508,6.35188718653895,7.99942307734891,3.56271789327737,-0.0993110677302879,-9.1502259447757,-71.1920734657193,-58.3891851307867,-8.98094026515231,16.9666638441357,17.7756220598891,18.9454793193926,24.8471498471187,-156.673562726957,-31.3559998685345,-111.181766779281,-125.394616166768,-113.891955658148,-91.9092279438616,-73.0230955153601,-165.222509386849,-87.886719042779,-189.230488536946,-175.213845674058,-122.707123469954,-75.6372968184071,-0.0016450172111823536,0.12084340399529821,-0.15555410131340736,0.08681106889187046,-0.38118157375872586,0.2311893218508491,0.020334287724402645,-0.020649625808990123,0.014379816035243347,0.04709608058853764,0.01631670299901782,0.031144651119426717,-0.019779791021976165,-0.0026419129333498065,-0.0026471538902800174,-0.06633369533111202,-0.03677276391359069,-0.003308968719696925,-0.06351751103836532,0.0270980546262774,-0.017006827891864324,0.03034276328656641,0.02275398527509442,-0.03469278700897758,0.0077203115343445865,0.04102992531900085,0.01600309325277922,-0.04027868042188247,-0.005383595861323318,0.046112952004349776,0.029529366789479147,-0.0012382769769419954,-0.018239553269529696,-0.05162296432847526,-0.07728253715019807,0.10222260702730472,0.015113403146252093,-0.043603971284142964,-0.00033516634410454057,0.09586379972863456,0.012385489421203882,-0.0466734547790219,0.0001875581146906699,0.04465551402752857,-0.0319723646890455,0.021903557553853002,-0.09197804014442405,0.04863676749413843,14.33101343101343,61.64169302346543
2,29.78139890178,999.749147922325,516.646276997523,847.463679411131,345.80123820639,136.998750203323,41.6482406955916,-10.3325074194103,-20.7861179635875,-3.4946319327366,-0.350883511284371,-1.13185308632406,-2.82219810256284,-44.2509719593766,-10.899864356315,-4.40226142058164,0.438806820575762,5.64414987747503,-9.63761853929306,-17.5140837040323,-14.0646272322337,-15.7881028410194,-3.68471225680463,-4.01176447574157,6.87213136850608,8.99344980013966,11.7520101477212,11.9952551203928,-21.6020693172806,-13.123843391585,-1.7685384250459,0.191448932377437,-0.207759496791323,-0.398452625000589,3.10746054647571,-39.8172435941721,-5.33019244266478,-49.9000016170257,-56.2106703696197,-49.7750666097574,-43.7520945316487,-38.5931358609069,-87.1704921646313,-44.3418367294396,-77.8206310462277,-61.7184609201563,-43.5724116106281,-26.0482446827862,-0.0395382573231274,-0.15555410131314643,0.36054685604887654,-0.23601507540713454,0.6982616361921895,-0.38906001439398624,0.022279240884316556,-0.020332841329720838,0.035133803522441505,-0.04961440312265305,0.022433838282837466,-0.05940521430318615,-0.057731327344524484,0.0009229240163241821,-0.0001502729516455169,0.045931692393646424,0.053930432351379,0.029982375875539723,0.058070503836597294,-0.01453237519767879,0.09864694649024486,-0.0564729397230285,0.017838494943937373,0.05914081927271986,0.026757173668577005,-0.026404923661298964,-0.006722794313337226,0.035158234773589224,0.018565305688783448,-0.07243860637821845,-0.047161212682314956,0.04264303663027624,0.03174372025543743,0.046587691616007634,-0.07725112497339942,0.005127877178743702,-0.07870740771937719,0.05003586054636954,-0.008388257325338887,-0.05830949227185759,-0.05710034066463181,0.06072172752383003,-0.009038045108920907,-0.058775934257124025,0.038186165968717524,0.01048196068105495,0.1754449385275293,-0.20526189742262108,4.426962759462759,22.72963433488369
3,-11.9065655834736,2642.74880323797,847.463679411131,2484.16558092025,1263.02511159902,478.193860500031,228.406034561334,-0.956736723239925,-40.0412845704013,-5.02018906204803,-9.92162452484337,-3.14806808604648,2.33872830599655,-68.2893774111129,-21.7564169274662,5.05570513934494,13.726743300967,22.8063727506704,-17.9107329915329,-26.1793367536273,-17.4968731548686,-16.5728996673591,5.45045653492611,8.63752788426182,1.6345537317162,-2.23073317432707,-9.42729832670464,-20.5658620732383,-60.9683281349619,-35.7352421065861,-3.19211401227357,18.9197048904881,21.9719891763628,24.7157607771074,33.6740001302191,-78.15408402088,-28.994173668881,-112.968339640264,-107.21905261118,-82.9215567722048,-74.0787506423185,-66.950507166136,-147.148287815843,-81.7327201256284,-134.558269957394,-116.371544700766,-100.256830688887,-78.7454569838717,0.056936903155748744,0.08681106889168776,-0.23601507540715252,0.24252754305689425,-0.5277318872542819,0.18629164733461925,-0.05522856893263587,0.07126815584373863,-0.005373372434750925,0.1371617735738555,-0.06674608033926806,0.016215468861070025,0.10693838931937653,0.00965878688050047,0.019525398382981094,-0.007555188338365033,-0.018662630318697925,-0.04640293010564124,0.04893274523812778,0.06362016849972003,-0.1165043601507893,0.033243247246771586,-0.041848873944241596,-0.01474715795862086,-0.04264091842072918,-0.01892314911921189,-0.03523416575497423,-0.038811871062989126,-0.019614250472453347,0.00565474854731934,0.047999745720526885,-0.04473367245024602,-0.0028176377708435635,0.015351155493992016,0.0780265679735647,-0.06343645118371759,0.09115404042209894,-0.02538734906741021,0.043185321562134955,-0.04610413324960604,0.0499836923480752,-0.0008674599353246063,0.023172358098637835,0.022167150063216918,-0.01233039387132588,-0.03014148759732769,-0.1668153221805048,0.26527975761431855,9.056245421245421,49.841303964886876
4,-1.99422900678009,1528.63840544504,345.80123820639,1263.02511159902,737.642967579271,271.871871657241,128.681118210454,1.38698793585527,-17.6441483172244,2.59531936912467,-8.81528211390727,-1.36750559486255,4.87555059566612,-30.61126908789,-6.50127106512072,11.9027872950371,12.733568946642,13.68586656417,-8.48442190709001,-13.7893644502095,-12.1578122996788,-9.44376053591679,3.92146544829072,8.80309464576338,0.498331781273007,-4.08007676210336,-10.2133484548078,-18.4543751660857,-35.9270265213495,-19.0842787773233,-2.50423719617061,9.29749467396642,11.1222257232424,12.8197626984406,18.5076792693278,-49.1514484961364,-16.1703811201687,-47.9126559809983,-43.1529191575175,-30.8951092704436,-23.021748649146,-17.1145769619095,-27.0800569660408,-13.8775077173822,-45.173430339258,-49.7594877594784,-43.442797022737,-29.4958214054412,-0.040388638364282164,-0.38118157375831163,0.6982616361925289,-0.52773188725449,1.8318436287223498,-1.1965147473009887,-0.007854073247393047,0.0359091912842178,-0.060408553118517186,-0.08581005504535083,0.11286308415426671,-0.010519341425123688,-0.05810315687496562,0.013632227998704147,0.030657437250185916,0.12977946428153053,0.014084106888718452,-0.07556310271572157,0.22039118312279582,0.003939298192906629,0.18849884437401468,-0.07942253161372502,-0.0053035056866768526,0.04477517828950125,0.05982060616635981,-0.039652894670496805,-0.009115555530505234,0.13003046536936885,0.013377170351240041,-0.10500786503319233,-0.07188900932473824,0.0324195752055277,0.034929677443397915,0.10524831516959068,-0.07556356761816224,0.006593974999352352,-0.12444885299547934,0.1751581806659097,-0.11399681886491018,-0.17075758728418158,-0.12199123738651561,0.10936781322767115,-0.01821189663188452,-0.08416940597951225,0.04460035391599452,0.0865971316343628,0.3464724628562363,-0.46433761735832657,2.2891391941391945,27.159399249233616
5,3.7822302025546,526.053449033287,136.998750203323,478.193860500031,271.871871657241,111.089310735172,47.4576202593054,-3.03533473322047,-6.34551023239506,1.62729879307617,-1.54370451434341,1.11902743531516,3.24740073594528,-8.78678359839487,-1.48017969927569,3.20844335388631,2.5515841166949,1.77394716639598,-2.65919766137573,-3.29695816598793,-3.20676776308624,-2.15433095938526,2.22585212935253,4.60208773198243,1.29829486360215,-1.42680179402071,-4.60667616681465,-8.86058910606349,-12.2380375067043,-4.90400735379554,-1.29064932213426,1.10557564043873,3.18308384162615,5.25509891851438,9.65583842026998,-10.7822156385464,-4.22865136770651,-13.4540807574099,-10.2024629781448,-5.31071692904809,-1.80838524145487,0.216426582970309,7.33559586768981,8.63824563088566,2.85933571940138,-0.167790369122462,-4.41461825109133,-2.41019123629979,-0.0855618146044484,0.23118932185085278,-0.3890600143946025,0.18629164733499604,-1.1965147473019917,1.5703661860549731,-0.035176061854587555,-0.029441134335802404,0.12597679638341427,-0.4759647422264109,-0.07391196917226234,-0.13880163545140284,-0.11004813533653089,0.005562626136151395,-0.07170529486297701,-0.10435512232935198,0.14114619889551097,0.31587827483740266,-0.4678697045887726,-0.4216987350271563,0.01955977251147332,0.05587932534187889,0.1330702703026149,-0.03692151620419196,-0.0172084202115233,0.020504575219368795,0.05984038675988861,0.03353866606797425,-0.044024292859745684,0.10772850171566027,-0.01120452592064303,0.01939640414863788,-0.022449184734399278,-0.06839914921720587,-0.037328360858506236,0.013333508982475433,-0.09538815338024356,-0.09655957677626276,0.025350344497525462,0.1574204135526871,0.20967913252502451,-0.1733917894013842,-0.03415685061971246,-0.01716050275514415,0.04679329651585937,-0.20285213300582758,0.09863910120314222,-0.02188123571643763,-1.9474114774114777,10.539417001673842
6,5.6677976532247,224.718848937203,41.6482406955916,228.406034561334,128.681118210454,47.4576202593054,91.5699716113361,29.5251538187309,-0.35596525499227,-5.84620780154836,-6.07389362555125,-3.13871481514746,2.61231058171924,-4.54080691475295,0.791157387392123,1.48888329405762,2.59846136324428,3.68253470442881,4.05145293283514,-6.77381070239418,-7.17425932661296,-6.4137756020841,-2.28805205637317,-0.43686124904798,-4.14966958947633,-8.20294613072705,-12.697285631787,-13.9041592457362,-14.5949642614502,-5.71653765031752,-3.46528351463828,-3.84911215022092,-4.59214418539089,-5.37029267623774,-4.03301429565998,-14.493463064598,-12.490136040536,-20.0367188213205,-17.7758417833989,-12.1606444078953,-10.0859603754596,-13.3921842981045,-18.3555191822815,-14.1026057316678,-17.2610780306623,-14.6512783447682,-16.9008534263439,-13.9182389824679,-0.04964271211504699,0.020334287724406822,0.022279240884310204,-0.05522856893259655,-0.00785407324748191,-0.03517606185450947,0.5221859571089609,-0.7462566088590398,0.10842599376935284,0.09828423815867533,-0.0800425229283789,-0.014325983952888647,-0.23301954264890243,-0.08424354834133878,-0.03749006596580931,-0.05053233496683652,-0.04332084766943062,0.13689461955207374,-0.031798299927709404,0.21938696421483092,0.13720259435185647,0.034981970204398236,-0.23882432237083354,-0.004882752642381863,0.05098439806272626,0.06682000845155855,0.1336816764325604,0.03915263054485253,0.1755295306051973,0.03568069489336746,-0.11237807261107573,0.19725396130042966,-0.007752896664176852,-0.25705373734696196,-0.015110354802030407,0.04856756265471767,-0.013732353709805354,-0.0967897674806181,0.09191374006231656,0.19265775288301018,-0.2151591239866394,0.05220543039587285,-0.027086916740422063,0.03370427938493618,0.004837200121526489,-0.03372744114421527,0.04471440030935297,-0.026531366978205188,-1.2928510378510378,9.568697487711482
30,-1.46934205190664,-0.673825331029941,-10.3325074194103,-0.956736723239925,1.38698793585527,-3.03533473322047,29.5251538187309,16.5886387963152,2.73223893786255,-3.33370194525427,-2.29502095886888,-2.19666639256832,-0.441904277613008,-0.94932728615187,-0.166705420292756,-1.16059668479436,-0.206068889115626,0.709003980947662,2.34254959743706,-2.45773241872059,-3.17739472123252,-4.01622313308972,-2.41801850653455,-2.03069765509631,-2.231523664917,-2.55615287300071,-3.13988708502519,-2.09804873625521,-1.94962763670289,-0.424712117202049,-0.486791383334346,-0.872761882703196,-2.9941647039834,-5.1329371961549,-5.2792949655774,-6.54572584722533,-4.38889624863694,-12.7697769612358,-10.4738517348211,-7.77404434152085,-7.15889793491688,-8.84235886951394,-16.141014633229,-9.83159273519544,-7.59461677778479,-5.42976904363476,-4.0655476540244,-1.79379048962994,0.09565989287056503,-0.020649625808945388,-0.02033284132981354,0.07126815584375598,0.035909191284148816,-0.029441134335786427,-0.7462566088591207,1.8505114743601676,-0.5098226541401174,0.1537785880022263,0.37034316485361424,0.28680278163426465,0.25227382438300017,0.061597951176467956,0.18894018563855045,-0.04744519060020711,-0.025082727014973268,-0.32220368774083913,-0.38435144118358466,-0.29360429684669004,-0.2793742852742049,0.04705711099092455,0.29734863275381435,0.051899776691786,0.0009394209765785146,-0.023861034213137056,-0.13781085568227547,-0.35123717761815876,-0.2073474187632539,0.12279730380847115,0.03882384601881389,-0.39114940824081784,0.04774457295417267,0.5771284147253458,-0.07522679885657042,0.043680308803808396,0.20536082457669602,0.13320009391836313,-0.16702243597145572,-0.11055309902724232,0.0598185806818916,0.01081798766082038,0.07512194824352061,-0.008180511145552754,-0.08442221304939718,0.09226836989168456,-0.04824265898359106,-0.02420104335717029,-1.2716239316239317,4.0716874629955555
31,-7.59870107236026,-49.8115652686897,-20.7861179635875,-40.0412845704013,-17.6441483172244,-6.34551023239506,-0.35596525499227,2.73223893786255,9.06323275862069,-2.24883960508184,1.3961116435658,0.217370783442746,-0.433213374349636,2.38482948791213,1.4520691405023,0.839044024410587,-1.16463097067958,-3.23345775237888,0.813878454401417,1.41117893976878,-3.46359263864193,-3.21615826217838,-2.91742853039672,-0.607131202427566,-1.89375650465877,-1.89355831463199,-2.56332259690982,-2.78417437207119,1.68449098452938,2.93524532940703,-0.897217751861156,-1.64008590892184,-1.05470519296431,-0.52601170355709,-0.943435758129387,0.889904052173597,2.5045133193816,-1.71780195864581,0.100345344614938,1.4513738549666,-0.692955656539053,-2.05254110183433,17.566042564734,18.4638905880818,18.495437082619,5.24927029762962,5.74402334049144,2.38721342731437,0.12019135342931851,0.014379816035106881,0.03513380352276906,-0.005373372435016752,-0.06040855311778781,0.12597679638301104,0.10842599376946777,-0.5098226541402342,2.001723511517474,0.5031635334406857,-0.08586931624382048,-0.0955866647746735,-0.03828699962755465,-0.033124103384584686,-0.13493057588576596,0.012393264296176052,0.2760241690097868,0.3929187977261928,0.14149215272069673,-0.3995254022776112,0.5703181569224636,-0.19850627428377787,0.3773458010330545,-0.06434835735767333,0.009855226379373918,0.024943000411715828,0.04229001206902933,0.19662696720032397,-0.007705982255792182,-0.05200217293036183,0.18029567306188007,0.12547934871237929,0.050526039194369134,0.017977424963656983,-0.25750188160096954,0.08066014597259392,-0.505781303144397,0.34951415696795607,-0.12375306254273655,-0.23087476085829933,-0.031740327197122074,0.023583950574623615,0.007205982188323752,-0.40269551308601953,0.2795487677336948,0.42996090050446534,-0.7365479303701105,0.18319715117868207,-1.775,3.0088590459874807
32,-1.51684016106076,6.81292947711855,-3.4946319327366,-5.02018906204803,2.59531936912467,1.62729879307617,-5.84620780154836,-3.33370194525427,-2.24883960508184,6.0551867816092,-0.392731371471275,0.0413631434843941,-1.22781353347028,3.85627953176689,0.541417621909632,1.63195663000833,1.1027702464876,0.909463078001455,-0.632960226601806,-1.87660801902774,-3.04772631881937,-3.44836551166152,-0.0843719127410124,1.53568860365077,1.30670648357815,2.00655381419216,2.20411364482863,2.0509442603489,1.30331870489705,-1.51960453893476,-1.21539284940149,-0.827462786931465,-0.507872361727503,-0.217036318805597,0.53052765620502,-1.09536447169466,-0.613036485959148,-3.19005285208841,-5.19817856382678,-3.70642188725191,-1.03209848228277,-0.236369235698985,-6.27562960642026,-0.485991684399361,-4.60699205698832,-8.26000524536391,-6.45710986184867,-4.69775664876935,0.18804863232412655,0.047096080588044154,-0.04961440312179405,0.13716177357334697,-0.08581005504344959,-0.47596474222754354,0.09828423815877949,0.1537785880020857,0.503163533440792,2.303589821471891,0.4868315147487565,-0.06926272742651703,-0.0651566068976486,-0.23776216989644638,0.039038121751737105,-0.36732599749243083,-0.16590361309821136,0.008818479144690937,0.2420867482858988,0.08973813172690502,0.2430175881111216,0.4414466401914599,-0.34657377695219227,-0.7544973066727964,0.09029411896082966,-0.3236788509023739,-0.45023490408220257,-0.2823623490215551,0.35183876063683756,0.07264929271417205,0.2133674684268441,-0.07258259231972257,0.02029095087394481,0.09866506340173958,-0.3001552061708721,0.23351467646175178,0.14949901168597393,0.005631141986633655,0.09352664974203417,0.02355786258975321,-0.48516235396946816,0.34678226960209946,0.10780991551689732,-0.05050053954841534,8.518790263129704e-05,0.00515506502530258,-0.2437257506038848,0.29379697534084204,-2.091666666666667,2.4586961547961135
