,Cov_0,Cov_1,Cov_2,Cov_3,Cov_4,Cov_5,Cov_7,Cov_8,Cov_9,Cov_10,Cov_11,Cov_12,Cov_13,Cov_42,Cov_43,Cov_44,Cov_48,Cov_49,Cov_50,Cov_51,Cov_52,Cov_57,Cov_58,Cov_59,Cov_60,Cov_61,Cov_64,Cov_66,Cov_67,Cov_68,Cov_69,Cov_70,C_0,C_1,C_2,C_3,C_4,C_5,C_7,C_8,C_9,C_10,C_11,C_12,C_13,C_42,C_43,C_44,C_48,C_49,C_50,C_51,C_52,C_57,C_58,C_59,C_60,C_61,C_64,C_66,C_67,C_68,C_69,C_70,Mean,Std
0,124.905794380157,109.82806058108,91.4754209391912,71.7379900575779,51.3472952899339,30.8290536948013,24.7523762461345,20.9282668188297,21.352370604689,15.7781117863089,10.3852726201555,7.08962835985423,5.27690066042344,0.5043383055065,1.96870651695765,5.58104428622828,9.01862295439052,8.31414228900563,9.89972773702603,12.8538468350109,10.1837089105739,8.31694938078828,14.2292278449513,21.7003164636082,28.5502771415006,35.3789529313736,42.063176566822,41.824084521577,37.2783419134653,32.5068168366652,25.5898335076162,19.3888224220433,0.6802075154286675,-0.6757521783132132,-0.12337015383847516,0.008230334525796523,0.07511437323534698,0.275476994869464,-0.1554760332686992,-0.012623413711565926,-0.08259080537706172,0.0071413534877165135,0.006325360209338438,0.017721282479239427,-0.014597646650036494,0.01386099102869867,0.03456363220521067,-0.03431823382566163,-0.031690341871290294,-0.06449473154321883,0.0610624324458992,0.14256453604310595,-0.061126836881287096,-0.021167380033311842,-0.0633215182336797,-0.05529366755864426,-0.003340028246348071,0.08775163727365047,0.05709200888176166,0.0005554266501897441,-0.05845359266084202,-0.04678455508559267,0.0011408867870098956,0.0285351255786838,1.0578210678210678,11.175678698860159
1,109.82806058108,99.4432387404449,84.2538041183182,67.1897963246269,49.4252398773311,31.558607123435,25.2992042656426,21.3419425820324,21.2652909219701,15.9963364814259,10.5053824648844,7.00295955357361,4.97920160656967,0.127365594579994,1.61161963701871,4.91731557262707,7.48112687543686,7.13454852238032,9.32704283013475,12.9287094885765,9.29014121816935,6.53616238992781,11.4586513259161,18.2861470148839,24.49564757572,30.6586174525929,36.6478183625836,35.9123034858834,30.919536211678,25.7314686356145,19.2406027957843,13.4430098496097,-0.6759931683275958,1.5137905092095454,-0.5721884112660579,-0.3145269008802026,-0.09437949693639487,0.039545283078787276,0.1983872165260089,-0.020675958099944956,0.009107604743078148,-0.01467263837405364,0.00032344362721102734,0.0031485117316039377,0.030924643126865676,-0.013096968748041643,-0.03468991113955157,-0.021732388913003966,0.08365173263815277,0.017537591664351905,-0.03105569941760294,-0.23487219691202885,0.044061823765663734,0.11822387754243062,0.09625120343710561,-0.0029475924598491954,-0.09498685842189064,-0.10888069226306706,0.0788299768137691,-0.03981647374212578,0.009673557337202057,0.0622734359856037,0.0070536196515526,-0.015953496921837087,1.9221969696969694,9.971621670543106
2,91.4754209391912,84.2538041183182,73.7592906729742,60.523719629448,46.5336927210066,32.4548403119965,27.3080902277765,23.9799281580395,23.6326282830452,18.7980757846178,13.0511312361479,9.05849455664103,6.44363511360963,0.803334020185553,1.39343285959211,3.31700548912948,4.61555860148687,4.01210948686087,5.8974839371512,9.13986644726491,6.48457497970038,4.782746187303,8.95272490132438,15.2191629870796,20.8841836434306,26.4612613551449,31.9253642477582,31.097681549375,26.4997741940814,21.7239156034951,16.3661435917879,11.7393468594285,-0.1236112256578727,-0.5817281382893158,2.170412392820007,-1.498276521690498,-0.3929004033845113,0.21841135232219414,0.1352137883323884,0.05631766103675043,0.03910448603121858,0.04569787432515057,-0.0054147613474121,-0.03092608844269854,-0.007052626459472867,-0.06212384572821769,-0.010520828779231993,0.08001397616648039,-0.06579510282244942,0.0014070115237517855,-0.006405113581600602,0.00488328486890834,0.056741063236500626,0.03950573861097296,-0.03673238359442426,0.022315891483940545,0.09695717666479414,-0.020348389696571746,-0.17445238704541635,0.057186299594445295,0.07676430733628105,-0.06752525126574287,-0.0072907751620915895,0.022515843693024878,2.1551443001443005,8.58774071994341
3,71.7379900575779,67.1897963246269,60.523719629448,51.8090174562059,42.2037421340147,32.5168542677328,29.2559519811599,26.809302754875,26.2654952195293,21.95194774529,15.9283137669081,11.3255011606667,7.86557021376587,1.34644772020847,1.30617393593571,2.07108419567269,2.06731853983806,1.77619444350737,4.0433425982375,7.49159333853172,6.2115051185371,5.86167356886832,9.57922137372554,15.3128022273059,20.5129811274955,25.5178216908703,30.4896380092851,29.0375461996576,24.4004786565311,19.623218118243,14.7778273468414,10.658662586119,0.017720775221076446,-0.31497920641764743,-1.4964198905676067,3.683650623429379,-1.5569288226923244,-0.3849843970605387,-0.01907063101392178,0.07587890978841504,0.012713929227261197,0.0032110045705769693,-0.001295414473760534,0.00088371869741293,-0.0063831823074938935,0.05193060474585521,0.006383317671046842,0.0019396413083211535,-0.018866924133103983,0.042348774299664146,0.0025217927996793563,0.04670228031778927,0.006284572931632544,-0.1018456567539232,0.00039466526129666756,0.03869498311223225,0.036869799359599734,0.02240589539359585,-0.013569342051569209,0.004792138806027934,0.008974687002160992,-0.02423816788194807,-0.007027056759592329,-0.007908239409842841,1.9091233766233766,7.197153427307626
4,51.3472952899339,49.4252398773311,46.5336927210066,42.2037421340147,37.154401923522,31.9340059510096,30.6673116063232,29.2182188646041,28.6200310437231,25.0307365905975,18.9113610464232,13.8600067727291,9.72484843076484,2.52450438816809,1.91345321771505,1.50923583629498,0.173528407355744,0.185467297372608,2.71603203447835,6.24218821746557,6.19737873034458,7.01004888351481,10.1279331413841,15.0230107340307,19.4556978476041,23.6144925778846,27.8188478936788,25.4824463877138,20.6695622778299,15.7531936140659,11.2643949677147,7.49428347295719,0.07490215030232203,-0.09609090493592877,-0.40734629802885813,-1.5659894160079295,4.159882324419589,-1.8170782290146945,-0.2584597910899459,-0.031104405350529423,-0.02389297161341751,-0.020268954023729687,0.01806523602867126,0.010279753587639948,-0.03509649870533829,0.032870349752247556,0.03298161461298736,-0.031170017314106343,-0.0298517335403611,0.06323148032458271,-0.007799794590106485,0.009490259293984608,-0.010007078530100681,-0.06730478569655228,0.0017694906901071228,0.007758778056496603,0.009418935957114457,0.013132363222917292,0.041117869620923696,-0.019799258852341357,-0.0037930777233816495,0.03522744963287169,-0.011949645124497997,-0.028140375612247095,1.6580705568940861,6.094620736643257
5,30.8290536948013,31.558607123435,32.4548403119965,32.5168542677328,31.9340059510096,31.2722783015313,32.0050110989896,31.5751039661484,30.9174499985951,28.0511664459724,21.8325348104644,16.329332667633,11.5209719789997,3.72300654015689,2.48743805528809,0.86881253236875,-1.87649252434504,-1.61783433890944,1.13025669318939,4.70576936340318,5.88405781348643,7.84529092092476,10.3690385258917,14.5375905372466,18.3147629004729,21.7388287092406,25.285285811174,22.1527487700615,17.1351227211862,12.039500810456,7.86813252174201,4.40073200296527,0.272532254141438,0.038319482850869446,0.20019836347341624,-0.3892769756607379,-1.8281411596715667,2.830515528390584,-0.88554988902004,-0.0472888887841395,-0.04949433825047984,-0.07515979923098202,0.07280953427728719,0.042538790046829304,-0.10346752364534144,-0.008444781525520669,0.1229718794067097,-0.08695271903922601,-0.02646534622156475,0.13118206589379053,-0.07068368980308343,-0.03635537304345519,-0.03549253885695243,-0.011967614651703071,0.016929657869841595,-0.0018838163444327642,-0.008237257118203842,0.011312928800293264,0.037230528250256384,-0.11082986213464945,-0.06632224248087244,0.1903984278373107,0.020271005072016617,-0.0714253503428628,1.3778510704981293,5.591268040572841
7,24.7523762461345,25.2992042656426,27.3080902277765,29.2559519811599,30.6673116063232,32.0050110989896,34.9979231331212,35.6747109055309,35.2595550082545,32.7382057504577,26.0701814623173,19.8515521063895,14.1925602023176,5.76884336941223,3.83746967617262,1.0284147123236,-2.88019618052168,-2.62018211198564,-0.199868334962616,2.94869784403122,4.98350324556818,7.73787413905026,10.0213703298802,13.9372968452659,17.5134386040587,20.6628943507567,24.0097019931571,20.8582752463207,16.0974764317696,11.24586959318,7.11981240811898,3.67797586020274,-0.15594797470804508,0.20370368904173372,0.1531455226681166,-0.002070113591225498,-0.24694912253944354,-0.8805587698190397,2.155211422988857,-0.8525718282672331,-0.38715674613707163,0.017655406304470316,0.05141365774121516,0.027191869910619438,0.046762213534343476,0.061405942491893725,-0.016620371079878335,-0.07286263986844992,0.25791729858169987,-0.22124745238650112,-0.05457324354708668,-0.011582182355346613,0.008275586374576255,0.12031165574811037,0.03990171765374358,-0.018425044899321882,-0.1426004189387444,-0.01814299386127695,0.014279390756780492,0.10599100255313494,-0.01642152179628695,-0.0900418246572387,-7.598180373519251e-05,0.03596720087086485,1.3976315841021723,5.915059013494385
8,20.9282668188297,21.3419425820324,23.9799281580395,26.809302754875,29.2182188646041,31.5751039661484,35.6747109055309,37.6994096006767,37.7852802697188,35.9254495175878,29.2612027202425,22.8004361490139,16.7665584887612,8.41499173125674,5.37752071025276,1.05569019684748,-4.27147996129051,-4.67408227398907,-2.99836007735586,-0.449092724805511,2.43428784672453,5.98266392079696,7.95789178221548,11.6154796323856,14.9004707188303,17.7807228273503,20.8801625629333,17.8527149148132,13.3758777779071,8.80849906343147,5.08613191304711,1.97411674948043,-0.022953228320564182,-0.006754210042303073,0.055118981626239724,0.05695246297559126,-0.03371277043860306,-0.04841512064944277,-0.8527421624645818,1.8536249107086535,-1.1539646654918203,0.11941293437037018,0.10207743906854785,0.00963496008424947,-0.057505650454700366,0.16426033464697007,-0.2558774615860494,0.1623368124249995,-0.048284013201854284,0.016776033400537474,0.018032509598101994,0.005681400215163657,0.006790785167575569,-0.02084179805275437,0.01936209114441002,0.013270041227933299,0.05711463222344105,0.0036583004628500814,-0.029594391321993093,-0.01852633391273842,0.02922407227911965,-0.008594445096904147,0.012184998753895436,0.008413332434058729,1.6343962246903427,6.139170106836648
9,21.352370604689,21.2652909219701,23.6326282830452,26.2654952195293,28.6200310437231,30.9174499985951,35.2595550082545,37.7852802697188,39.3821625467174,38.9061238932263,32.8229683944932,26.6161142070463,20.6297517543896,12.3645543087243,8.4944670040097,3.32500210647469,-3.38029915177565,-4.14748977782571,-2.90455768853266,-0.713314621026838,2.69177191635557,6.68367992073868,8.58468768407107,12.0858492945959,15.1849875629094,17.9727453186602,20.9919372876213,17.7380897881357,13.3596525620615,8.92480638206685,5.33073874036145,2.37678126168072,-0.061071239650455834,0.008557184737277358,0.03272972442492493,0.009716034209329469,-0.017919192384415677,-0.039085075344650805,-0.3788788034089535,-1.1534329122934277,2.9593596337361037,-1.1295848874067245,-0.3475275058237722,-0.044137766681730695,0.21380452656677787,-0.032604982251634176,-0.08242066677619068,0.031003079501899816,-0.13449740552343079,0.022616809384604784,0.1288328697788593,0.06030702873208211,0.023398941726330787,-0.01654233472599446,-0.04394781981407374,-0.017495580134755547,-0.0018291679238091208,-0.0015338250668320297,-0.010971028043459414,0.006134353716141101,0.0007239145849834373,-0.020074349885671087,-0.017284602222171798,0.0457196518942376,1.3476688017864495,6.274724101242815
10,15.7781117863089,15.9963364814259,18.7980757846178,21.95194774529,25.0307365905975,28.0511664459724,32.7382057504577,35.9254495175878,38.9061238932263,40.5379557499294,35.5375437455752,30.0488257643573,24.432984841205,16.4671299405686,11.6324927335397,5.37086473768246,-3.17321447470584,-4.08734207008654,-3.83422519655532,-2.63085945748899,0.547579801085973,4.16517928994155,5.02850723440465,7.23017119912161,9.02499628037488,10.618530038364,12.4455850546001,9.82750359258169,6.67013752512877,3.5215841439339,1.31453217976167,-0.191492594572249,0.0046425102168440365,-0.033413996420854984,0.04570634582430072,0.002755395817155308,-0.01390400539999646,-0.05412786965569511,0.029770363626235564,0.12665239603090925,-1.1307072592401135,1.911069059850934,-0.841410060727281,-0.05370908421365536,-0.061966279758040074,-0.26342687004854876,0.28433652487876243,0.04386586906923488,-0.03431796529359341,0.02355015403650171,0.014416594252855361,-0.07295707984603698,-0.013860425683653062,-0.02400707408290141,0.01021067258204867,0.011364619914065682,0.02143859625657854,0.022742774172693405,0.042865392081637914,-0.04743075434592012,-0.007595309979319553,-0.0007620753846096101,-0.015346508048934135,0.05796866014845608,0.7145921725333492,6.3661570629328175
