,Cov_1,Cov_2,Cov_3,Cov_4,Cov_5,Cov_6,Cov_33,Cov_37,Cov_38,Cov_43,Cov_44,Cov_45,Cov_50,Cov_51,Cov_52,Cov_53,Cov_55,Cov_58,Cov_59,Cov_60,Cov_62,Cov_65,Cov_67,Cov_68,Cov_69,Cov_70,Cov_71,C_1,C_2,C_3,C_4,C_5,C_6,C_33,C_37,C_38,C_43,C_44,C_45,C_50,C_51,C_52,C_53,C_55,C_58,C_59,C_60,C_62,C_65,C_67,C_68,C_69,C_70,C_71,Mean,Std
1,7.58802314319,8.66758305746198,7.39185761326298,5.66310612178945,3.80562443663878,2.06659787437694,0.0972910292371046,0.203728724807735,0.31389231570496,0.366932795883755,0.28918202033124,1.45622715487449,2.86027904095312,4.47161755756635,6.11861874466161,7.67404438267854,9.01650386922782,4.44422519334905,-0.0043392322944363,-0.203824786211185,-0.203313117724032,-0.24404198828469,-0.074651210082694,0.377467435806596,0.244378040080588,-0.156611033295922,-0.0350023761095288,1.0343863874347317,-0.5751448552393753,-0.1477987682738484,0.04618533140198933,0.018169721863537495,-0.012621733300603663,0.06059205361458434,0.015571739941213572,-0.026561219807346638,0.0666216173584831,-0.05548595732043253,0.043217157418959935,0.025082891925141446,-0.004661430057922091,-0.004825581006306308,-0.04591238933990988,0.029366579366798668,-0.009271878170768215,-0.10227646123292702,0.13084111364280288,0.033793712079980776,0.01530037101273652,-0.010289533251239453,-0.034760676704869944,-0.09259313737867754,0.0026097019275660776,0.0740849195998104,-3.341745182921654,2.752820942813027
2,8.66758305746198,11.1330432217592,9.80596187355318,7.79864454559752,5.43281698540667,3.17236016239172,0.658010931934604,0.746856414458437,0.836061981959787,0.856590631336101,0.546956202175393,1.85561171676322,3.41544436651883,5.14888194172018,6.91793123025499,8.56450121996518,9.94619374503158,4.72561207225323,-0.353521463217138,-0.53220748265571,-0.546242841039625,-0.588602626410918,-0.359198726038948,0.184866371784679,0.0510075535933496,-0.377758349876336,-0.0293093415307931,-0.574575987276187,1.5230982033865728,-1.0354581263003406,-0.08403337942947689,0.18500110952108303,0.013473686264649613,-0.024566610581882677,0.0020429612422118984,-0.0316720779767336,0.15622723496176005,-0.04662048424798796,-0.002687523143555413,-0.019633586140677933,-0.04469412643362303,-0.0648076298020925,-0.01924796030655126,0.05304206089153829,0.04973861316522533,0.029621936191139255,-0.079495056304836,-0.008604595086132066,0.05418369287414563,-0.003294607440530011,-0.017615146585903973,-0.037604922841710936,-0.13396325011858376,0.026264771135311966,-3.896340505899329,3.335122669671872
3,7.39185761326298,9.80596187355318,9.54098809266143,8.10753391298465,5.98843329916383,3.85012070520031,1.4996138039511,1.52215609647678,1.53137464389669,1.43349205096107,0.710771431971738,1.47772760252191,2.40758120580898,3.93088814753045,5.44716952389311,6.86226224639359,8.02386867179099,3.70740044564402,-0.602626945480136,-0.860331463401138,-1.00397638260869,-1.12166068347353,-1.01968359610016,-0.656292808161876,-0.861168262626956,-1.31600462600431,-0.787538506955902,-0.14837932128155018,-1.0345861930656144,2.586689264173837,-1.1748365157699698,-0.28367241904111523,-0.12246660311451572,-0.06913992394672096,0.02587094363598437,0.13818672627564377,0.1786812594963806,-0.1778614953787513,-0.00780676845674656,0.017442072219755512,0.02910574183718322,0.013144048262572322,-0.004144697823753179,-0.005960376073283861,-0.03151095943747864,-0.0037900385688323045,-0.025151837258810792,-0.03680873648399032,-0.020931733280529153,-0.021388942998583085,-0.04201878636835829,0.06096806010393395,0.3059093243004042,-0.12660927817580062,-3.6149040828452597,3.087229841243024
4,5.66310612178945,7.79864454559752,8.10753391298465,7.54669981455913,5.84556843208212,3.99195832067434,1.99762591938701,2.07716817937828,2.13721238552783,2.04294609189163,1.0433946344856,1.21660930736787,1.45666067374934,2.46362421537723,3.46116191572888,4.37971225684522,5.07288377347535,1.82592535990657,-1.41808649121513,-1.56300529121515,-1.58858975456218,-1.55272381232736,-1.34175949409681,-0.945554028588383,-1.08009294576898,-1.39353747436366,-0.960359759828109,0.04422355829338523,-0.08383535856299028,-1.1755115366547992,2.5787033040349785,-1.1265030553416857,-0.21653865252750296,0.2789342631454173,0.09709019295499728,-0.09495320798485753,-0.6953067232820029,0.4345854173686135,0.11258803953325322,0.009642892109429223,0.01991372041996898,0.005264270594434591,-0.00816646511010636,-0.045459096451769945,0.001628098587066496,0.08008903250495195,0.009671343037006001,-0.011770235922394115,-0.007505889016634205,0.0003498543293947727,0.0006440107013251204,0.007374209367967014,-0.0013077367741518534,0.01525058203247792,-3.162435913759443,2.7453050494542737
5,3.80562443663878,5.43281698540667,5.98843329916383,5.84556843208212,4.9536825989593,3.67393325114746,2.33206496422375,2.32444947409421,2.28456650960284,2.07841090673909,1.1892244116145,1.02810474266672,0.858465694686912,1.30736023188958,1.72388198589972,2.08658547667893,2.26446401846523,0.341752420621388,-1.60393393919014,-1.71857343449342,-1.71094277562543,-1.61619737334177,-1.39089350197486,-1.06898774520941,-1.10470735225864,-1.24856531684076,-0.91020668644543,0.018448664293979518,0.18664722345603665,-0.28412329805101477,-1.127527428149487,2.6826926739176398,-1.5115865669446253,0.350806289089936,-0.006166962984646173,-0.02224023810426669,0.05065858818029989,-0.12079794605396811,-0.09285866878756148,-0.03748178070458379,0.033702981076344646,0.009269884748295999,0.005665054020726403,-0.0005188056031904181,-0.010397177315669843,-0.010372968150414165,0.0081543206079566,0.02004397340480525,0.013414098992232844,0.023582049433100074,0.037112279509570606,-0.023187487550957394,-0.10046098197099762,-0.006682582081647676,-2.554412189118072,2.2234393625550712
6,2.06659787437694,3.17236016239172,3.85012070520031,3.99195832067434,3.67393325114746,3.41984355197328,3.08856383733109,2.79806113749887,2.47468501366288,1.94231580031291,1.00599898647395,0.475708844041872,-0.117334447785507,-0.207423671286388,-0.435645390486892,-0.689655542073126,-1.09140255931547,-1.46407191300122,-1.88910741393399,-2.05975613487398,-2.09995768922265,-2.01157330541681,-1.81595960957247,-1.62746199512854,-1.62700087529653,-1.67913791031792,-1.44612650045273,-0.012049210701323749,0.01463097034530537,-0.1258574900168243,-0.21148645636815488,-1.5149752598894066,3.963078655168198,-1.3439932176547227,-0.5055390554242866,-0.10790807475199445,0.11612446884620363,0.03640638202904991,-0.0009209592503827249,-0.0052407675820401005,-0.012483303087563374,0.0037583213161654612,0.031146406389897765,0.01573177270719005,-0.013744161105008324,-0.09598666249353134,0.013449914300825658,0.08989820744237431,0.031242665173535647,0.02480135434357484,0.02085230990995637,0.001893320803134041,-0.00800392292302414,0.05134658662652389,-1.8088884644766994,1.8465761700978613
33,0.0972910292371046,0.658010931934604,1.4996138039511,1.99762591938701,2.33206496422375,3.08856383733109,3.97205904836729,3.38419670729245,2.77648769461298,1.91268098264585,0.92580488964725,0.021514773165775,-1.01454928588574,-1.64461691997713,-2.51927449868083,-3.38931501576412,-4.36600379687148,-3.27767166518516,-2.27162033172209,-2.47513474158388,-2.54003451457375,-2.43471166588218,-2.25295113803745,-2.17680475338769,-2.11329969296511,-2.03198693088184,-1.8880222037758,0.05866356479142294,-0.022477823881099916,-0.06416633191981956,0.2713079409806691,0.3477870828337328,-1.3415224256982619,2.602784127964134,-1.7997730519884614,-0.1766521962882751,0.2995473163213199,0.2023610527853219,0.04685048667844425,0.03435680624846034,-0.10439457239580452,-0.013149906398095943,0.043675989991325236,0.019222185375267493,-0.0008172388523445568,-0.02355986919607071,0.036758709921730456,0.044175377742233436,0.032139323772077386,0.02079981392328744,-0.013030814089000848,0.017847243448500742,0.020874578843297954,-0.0002387117284748005,-1.1078091842797728,1.9904921623476157
37,0.203728724807735,0.746856414458437,1.52215609647678,2.07716817937828,2.32444947409421,2.79806113749887,3.38419670729245,3.21124049429207,2.94596678796315,2.40325489091144,1.61211603967045,0.454495015379223,-0.844152181257173,-1.50305624601811,-2.30460727309552,-3.10775312335471,-4.03407404328782,-3.15445858640354,-2.32126861353334,-2.35226458839818,-2.25570779535098,-2.01086817995228,-1.73158989174196,-1.5451644290636,-1.53099110962152,-1.47953350977178,-1.40814718843429,0.01549161036222437,0.0027791452410325878,0.02722196002103785,0.09361938803473187,-0.006469691798332455,-0.5026070750074906,-1.8015706385002381,4.252527398269964,-1.4326699223001607,-0.32553693632260483,-0.0700823749086876,-0.035503980961983865,0.0348284860495344,-0.01280308253334794,-0.0005885350197864851,0.008250990741925925,0.000897019687067567,-0.005485839224612093,0.0045705652359178455,0.02291230878844464,0.04307515925292365,0.01856196363447504,0.01831729913049855,0.019138098429154142,0.025389753271515506,0.010691381053213472,0.019388923334778242,-1.4711743485272895,1.7892010770989568
38,0.31389231570496,0.836061981959787,1.53137464389669,2.13721238552783,2.28456650960284,2.47468501366288,2.77648769461298,2.94596678796315,3.12262843681981,2.90109371482513,2.3142422151609,0.886498928243286,-0.690122867836631,-1.37994170870595,-2.10861551458491,-2.84534747390144,-3.72165380337628,-3.02414106957443,-2.33938997501497,-2.1925842270331,-1.93185165977749,-1.54749149542207,-1.17320440282621,-0.880189504148338,-0.919975739608442,-0.90157518594323,-0.903576540669091,-0.024393899483454034,-0.03298619422588624,0.1428279821246083,-0.09455461351786094,-0.020806213095009435,-0.10742329259185494,-0.17738907270399515,-1.4325907314989317,3.609064006808861,-1.4671750478036298,-0.2860093301074392,-0.0987103478191391,0.06761505771611337,0.021084264787090298,0.006935512967815201,-0.005557127798776338,-0.008441412855596514,-0.025616083685717897,0.03068756103254069,0.015693991308094832,0.01179299338202331,-0.0008675218062807316,0.016860468801205026,0.06467220804914595,0.08324637120933599,0.0070000036891653735,0.019416462455948632,-1.8145395127748067,1.764264276354257
43,0.366932795883755,0.856590631336101,1.43349205096107,2.04294609189163,2.07841090673909,1.94231580031291,1.91268098264585,2.40325489091144,2.90109371482513,3.14959333932222,2.83181677502406,1.26124431536693,-0.453989456993044,-1.14792001724097,-1.76373155315509,-2.39477922351009,-3.16055603142888,-2.66478718517637,-2.13079189571474,-1.78655099145781,-1.35481972077708,-0.836761089693852,-0.377041881703352,0.0195587300683969,-0.0812520162030358,-0.106983103205566,-0.193561733184625,0.06349005291258734,0.1550677104977507,0.1789508214535265,-0.6931634082593304,0.05779213264378635,0.1158175650863527,0.2987243493670247,-0.32784226893232277,-1.4651776927491602,3.0760248154246748,-1.027076141196823,-0.2586973173694702,0.11116188172726192,0.05166521435300126,0.015404148742226386,-0.01699425126594998,-0.016714305452149095,0.0062945386297969955,0.1369784428679005,0.02051922300104947,-0.026441598054995716,-0.07606909285011249,-0.02749453691915189,-0.014744375665164984,-0.0014494569923586005,-0.038560159188741255,0.025137744440213283,-2.1844919786096257,1.7718897650029521
