,Cov_0,Cov_1,Cov_2,Cov_4,Cov_5,Cov_6,Cov_8,Cov_9,Cov_10,Cov_11,Cov_12,Cov_13,Cov_14,Cov_15,Cov_40,Cov_41,Cov_42,Cov_43,Cov_44,Cov_45,Cov_48,Cov_49,Cov_50,Cov_51,Cov_52,Cov_53,Cov_54,Cov_55,Cov_56,Cov_57,Cov_58,Cov_59,Cov_60,Cov_61,Cov_62,Cov_63,Cov_64,Cov_65,Cov_67,Cov_68,Cov_69,Cov_70,Cov_71,C_0,C_1,C_2,C_4,C_5,C_6,C_8,C_9,C_10,C_11,C_12,C_13,C_14,C_15,C_40,C_41,C_42,C_43,C_44,C_45,C_48,C_49,C_50,C_51,C_52,C_53,C_54,C_55,C_56,C_57,C_58,C_59,C_60,C_61,C_62,C_63,C_64,C_65,C_67,C_68,C_69,C_70,C_71,Mean,Std
0,15.8530332056194,11.8719585840292,7.93795178376316,0.956409511525473,-1.58563231485875,-2.83501708145759,-4.0359234824096,-4.47425998766508,-5.63335663072006,-7.11008300267577,-8.31230058951466,-8.8707703291266,-6.20609749457989,-2.63730923223455,0.936891611280872,-1.17831602972513,-2.86854339424601,-2.12723230844333,1.49638789562354,6.12549800364912,4.72279515840637,4.06980004785043,3.4835762420008,2.45805536830811,1.28120904947164,0.940181093760726,-0.319497807961321,-0.655464043444602,-0.59235924182371,-0.212008509159835,-0.308357002915052,0.672276114326204,2.68875899705024,2.15576531987755,0.871710524366733,0.627833633213801,0.435782041832499,32.5954922012052,3.13088379988893,4.4609107495437,4.39639356234378,0.886259524370383,0.270338450634879,0.7369695456193406,-0.5489752905164711,0.13261522162376957,0.010233358819898718,-0.03552926139972713,0.14295960943327393,0.43153352491330516,-0.07524313737079741,-0.023207912831910895,0.007522534321084495,-0.03984691021453858,-0.09400923397065057,-0.029643999129055323,-0.01101871551985538,0.013007336648960095,0.003208141316416795,0.21411579149113028,0.024922190215542355,-0.034267761604863715,0.019174091179943,-0.0764572183085537,-0.07127470487590022,-0.10975245299182691,-0.07051647205098911,-0.03383734573578938,-0.13896441046055655,0.0496760185633425,0.06289392830477845,0.18623325905091825,0.04748639605433904,0.12346615497848017,-0.2371903299009329,-0.040431722971801566,0.067156583375537,-0.007543730204912221,0.009734766100275107,0.09415727675137336,-0.010418627334462277,-0.008067288714945855,0.05071694858789891,-0.1027167153570584,0.002096449611324956,0.012029717861103318,0.4611111111111111,3.98033079097949
1,11.8719585840292,14.1826835887612,11.2555720686565,3.10634540914847,0.336187251632256,-1.50616502416549,-3.32548179644854,-5.60133245352179,-6.93753720237657,-8.67408399907012,-10.3346245430348,-11.4068286397236,-7.50308314332662,-2.73231936532763,2.0394060563385,0.0461580591865412,-1.73214444093398,0.860688739312573,3.33317545565776,6.41367851293905,4.03322253040622,3.43425111789957,2.9128533222459,1.94546488142385,1.15544493880963,0.968022228615609,2.39588042632764,1.9449693066636,1.67129708836864,1.56792855825758,0.711465748729484,0.677867132943578,2.31702226682892,1.19938534823936,-0.770616453842778,-1.808652856817,-1.57480934825241,29.8562798304069,2.17303822921388,3.73075685523624,3.32211255598753,0.727965162427857,1.44337986109253,-0.5495604110540661,1.5490568924028636,-0.930634659095477,0.04065246999435177,0.08241371873391055,-0.1182791741492194,-0.5472359713508913,0.11256411480229575,-0.059488106487682844,0.0013147422499774643,0.12148141873929184,0.11180858297290988,0.0201952861137056,-0.042471113163050404,-0.18252260603074547,0.08311738510577407,0.05978204308950384,-0.15472819602876003,-0.000867271720693981,-0.013733182281464187,-0.054252084504508614,-0.023578706397346917,-0.012629296038018035,0.0064844074035626505,-0.04323596275841273,0.2972740482681105,-0.040618703534391704,-0.06099673772924631,-0.15482385589490757,-0.15316357176006762,0.059946325887992424,0.3373116352687758,-0.1643332421307527,-0.03788827143404133,0.060035945375683006,-0.14882216581247,0.04338256552751216,0.019696976587990214,-0.007373358866855162,-0.05195107323723976,-0.2264257323019886,0.1556717425786391,0.011902648661812846,-1.2361111111111112,3.764662480058627
2,7.93795178376316,11.2555720686565,10.8689186345036,3.72879923085672,1.63744819207172,-0.0311831397726444,-1.73283100257318,-3.91050812123419,-4.96074859567094,-6.08149143312141,-7.10030066456383,-7.88972559046374,-5.29238678873117,-2.07206689314221,1.14668780969324,-0.1485502143873,-1.21337872434092,0.37925300483746,2.36159854781335,4.68492883314211,2.98434147994468,2.64775342649011,2.38059761527505,1.79204300074736,1.21256389116198,0.942318213518297,2.98709436266598,2.52241616113271,2.17931994368239,1.98149074119813,1.31171734290776,1.26930470747483,0.047107523761277,-1.20533524151796,-2.49426125921111,-2.98985184207545,-2.39343638199656,19.8567734473568,-0.142379832679038,0.326566613384065,0.649708785458505,-0.879269922952436,0.903380692720037,0.1334640334479183,-0.9310439314552091,1.2478829248132746,-0.19101794070932596,-0.02406629593205624,-0.030864035039421804,0.15790679033496655,0.00040265764917030497,-0.004077471267330986,0.02256329087859259,0.0048865141447759445,-0.04889357247722548,0.00018926185474599276,0.0393241298563138,0.1388551258697144,-0.1136391224505808,-0.12478892536216396,0.13349935280396139,0.1385473560090205,-0.07544734556875432,0.05012582339976386,0.0031643090196124017,-0.02260898450329547,0.012780547099466815,0.09429332958223893,-0.07754284705175685,-0.14231050069889645,-0.03861596049703988,0.030774657867914716,0.08660746977889484,0.19109509024396906,-0.4189833071189175,0.030135934486712458,0.10837600042172023,-0.03921137378571081,0.19998142335310365,-0.0071933150098435214,-0.028420724070570034,0.05544711697671848,-0.009529513421618643,0.16374697814801734,-0.07722877718370105,-0.04807258811137782,-1.471031746031746,3.2952873371685834
4,0.956409511525473,3.10634540914847,3.72879923085672,5.71411181838806,4.99924048319387,3.30682160865598,1.54588821018373,-0.519017605915734,-1.13329684785741,-1.57266893105232,-1.74233334146832,-2.39262364818265,-1.9980620931098,-1.15369217570722,-0.317116377642101,-0.513459368639993,-2.88261528127022,0.739233171619278,2.19367943652819,3.21624173030362,1.27829166028793,1.14275267833447,1.05165049575004,0.823127196647815,0.642998770454577,-0.0709218834501864,-0.0281867080688169,0.202516327808528,0.512462068285246,0.876079608204396,1.38201419448661,0.750747683385588,-1.53722426170017,-1.37588531785301,-1.44926301635702,-1.57727048888167,-1.0838341572319,14.5759238049718,-0.500293541836946,-1.71148011504433,-2.27268273846303,-2.29578446312229,-0.233302302194416,0.010183970651134067,0.041217143349976414,-0.19110592756589118,1.2493758219052264,-0.5097699468721161,-0.28988967557992734,-0.13034339575037354,-0.22127972708547736,0.22878487635933972,0.2544361269206094,-0.06794335400042692,-0.0003876254450906571,0.0009678696305239907,-0.004847141509816015,-0.01678513069618182,-0.04629382165466104,0.12574057008111567,0.011760891460556496,0.02377069254339095,-0.07629299871198941,0.16460213132985424,0.01708242228966168,-0.22430277705182783,0.04241934098025738,0.10807525039782313,-0.101612144003997,0.05149040979336473,0.08598727240849602,-0.0003431338095423301,-0.12318360465891921,-0.1006175587491277,0.09011914460794039,-0.021407492184143007,0.005494057877313513,-0.011123189287425422,0.0473172396711354,0.008186474459717817,-0.01109280385552854,0.06057960316381499,-0.04820829918541967,0.015377846809507396,-0.0058021944965965175,0.04141107725807861,-2.2369352869352865,2.3883282476217667
5,-1.58563231485875,0.336187251632256,1.63744819207172,4.99924048319387,9.24970833135732,11.2299261516002,13.175075410254,14.7191323059694,17.9989665968035,21.2202164285445,24.6366109807019,27.4433973815244,17.7239389172757,8.11716822369956,-1.49800497303001,-0.672834607713933,-2.96306015669027,-0.25177795822651,0.972436663627605,1.31503345850984,0.899570721575759,0.374266986774138,-0.121953075148516,-0.541082691875946,-0.94452389602307,-0.052803186252916,0.647880171851261,-0.0315994702676552,-0.719793487628147,-1.29877423229396,-1.51387341962773,-1.6824150085605,-3.53898251253263,-3.20451947965277,-2.9221428191147,-2.22573634085301,-1.03697034370883,2.79385397156761,-0.812145093508321,-3.27072013269896,-4.76474929581643,-4.49256743991032,-1.76147422996182,-0.035729583531953706,0.08130985404666141,-0.024472507752635063,-0.5087756205367867,2.132790784369956,-1.8179533428683121,-0.0660770683643146,0.2244127784658744,0.050416226697577844,0.05836484153955742,0.06730558352630776,-0.011977627976877703,-0.008761196269462356,-0.0039020475624154728,-0.0019015702841518926,0.13203232632608566,0.1386525170669474,-0.18168364382672023,0.10371574450607654,0.028122393427037883,-0.2986660051863378,-0.02456810730079055,0.2065964067462188,0.045122693864594804,0.007627046851925791,-0.13054794538237802,0.00242751795194019,-0.01755864090639851,0.03574284081905883,0.08938459650528924,-0.007128569080701296,-0.09860033636157228,0.1821456989704437,0.034144771602671105,-0.0695039939518598,-0.01935743533345689,0.037059215290158806,0.008332491159512845,-0.0214462156801546,0.032407510164495716,0.01837230468739025,-0.09846995290482316,-0.09440997919083031,-1.7897832722832725,3.039688854366072
6,-2.83501708145759,-1.50616502416549,-0.0311831397726444,3.30682160865598,11.2299261516002,17.9203029688213,24.4887621055557,30.6547358322489,37.9494629643295,44.9287092418913,51.8524708954298,58.1206919428195,38.0687488487886,18.0190239749014,-2.03467254478579,-0.771087994328783,-2.44880136165908,-1.09323416968048,0.28901241312992,0.616371272810704,1.11942198055175,0.287961500100562,-0.536429279375317,-1.32079965200732,-2.04763398603702,0.440669441644699,2.05489366963431,0.565486407027045,-1.05954172390275,-2.54765889766557,-3.86611437632335,-4.03676830500265,-4.32877677559825,-4.12294834947556,-3.88968545827528,-2.86697805916113,-1.33542336590084,-1.49582370949787,-1.59222038287241,-4.88614097378679,-7.01132397377697,-6.7465240931791,-3.79997894749859,0.1427757728405124,-0.11769779845274238,-0.03188164810409146,-0.28982977198344567,-1.8204593661355375,4.204969768495061,-1.4439636631506858,-0.0327866058758265,-0.10261353695162881,-0.07310109998197756,-0.0894896017852761,-0.056234648854622225,-0.017286849048181507,0.011795665054533312,0.07806138114276297,-0.06526172130868374,0.07043319321004242,-0.05509574828263142,-0.040785407858126496,0.03336104219924423,-0.01597383542212685,0.0002907687941100716,0.021453663514390712,-0.035489552528942474,-0.12891066282398023,-0.019605922672961826,0.023605562411400712,0.021786889083409578,0.08369354817142684,0.0733752891689465,-0.02113996232585708,-0.051520915238962975,0.02711713138553619,-0.04022455935121137,-0.000653941861894872,-0.010176209019845185,0.014127656144380767,0.003497218648494564,-0.05485558031771795,0.04211196118252011,-0.003224306696993561,0.09263884283067074,-0.0731143528875665,-1.503001628001628,4.232056588565575
8,-4.0359234824096,-3.32548179644854,-1.73283100257318,1.54588821018373,13.175075410254,24.4887621055557,35.8007532860954,46.5930455309276,57.9483617157553,68.7367731306253,79.2083904064682,89.0269632052119,58.710938343682,28.287313888642,-2.13505135807603,-0.850218211585555,-1.81050387000642,-1.97158075881952,-0.401776896940655,-0.0809295581079666,1.3540890729875,0.166224277768052,-1.03740121730721,-2.23699453482236,-3.3368586984728,0.981017342131007,3.52152360358785,1.21407035768182,-1.3589242454418,-3.76511080808246,-6.19801858890208,-6.37445562035819,-5.02558547041806,-4.97964185656948,-4.82354305446244,-3.52337136330108,-1.6874415009131,-5.90885800705075,-2.58744085508721,-6.51042087044526,-9.07032873265898,-8.74962456861043,-5.71963058129762,0.43191982881680363,-0.5473203924876813,0.1562857351331849,-0.12992449992719107,-0.06671216756288105,-1.4424445425212,3.490227557169344,-0.24657343506303617,-0.40233331615456314,-0.23822597575681745,-0.3355215909986382,-0.06726153242027268,-0.035284829683124005,-0.017043647332354063,-0.002412042452902758,-0.147955584999517,-0.0696362102157733,0.2399421029634305,-0.29111242811557775,-0.0025910494542497223,0.17505809506091263,0.025791400927150633,-0.017550060755612207,-0.06374432984878949,-0.21420930390219636,0.0406515414137373,0.07972014668712117,0.03592134571937553,0.06820941686058263,0.22329688987297278,-0.10309311156542489,-0.0015468026968984967,-0.0587816134275978,-0.12557130131663963,0.09496195501811047,-0.0055005042850090925,0.04623507603246975,0.0001621848897032307,-0.08673888178785595,0.12223867516530307,-0.1370236706345766,0.21437557903036278,-0.009930683285887323,-1.2178866503866501,5.982537361863726
9,-4.47425998766508,-5.60133245352179,-3.91050812123419,-0.519017605915734,14.7191323059694,30.6547358322489,46.5930455309276,62.8638447448444,78.0919923716832,92.517838951586,106.337520257539,119.469445534553,78.8826919836774,38.0498781457212,-2.77589277364379,-1.51113029516442,-1.74127939433932,-3.06247372222085,-1.21840061436856,-0.780856141191593,1.79814527289075,0.206721689349197,-1.41581448469708,-3.07422905043229,-4.59476363182995,1.49303775881483,4.75072009107262,1.72857458725688,-1.65791478236367,-4.84863893318347,-8.32048661449928,-8.53519954882943,-6.09680325859977,-6.27958678726974,-6.19290702311508,-4.46508736978215,-2.29462278538148,-11.3258436066134,-3.77760050878452,-8.69257676822373,-11.8480199129764,-11.5771652324235,-8.35000823594865,-0.07452841939480205,0.11201921617777316,0.0010281346076224103,-0.22031049923066906,0.2273253742761621,-0.03116620089463395,-0.2408605456501512,2.397754556889388,-1.3743534015098808,-0.3238383034420443,-0.1195825900494458,0.09794684125494782,0.013334616870438784,-0.0019785678041359094,-0.029059997794396702,-0.008675824021258011,0.023912735060815378,-0.08071376607079934,-0.020566846629589335,0.09410161402714673,-0.10551806925316064,-0.033771008592805955,-0.060616359175339,-0.16089420291366158,0.010761885175240828,0.05644713387500038,-0.007499576264967774,-0.01764611327449204,0.09766408297413608,0.1689745199104904,-0.07855804318984937,-0.05477250058529196,-0.0032552777599391906,-0.031805839910126685,-0.0019134546978752962,-0.003682996503799866,0.12956956472094466,0.010056479413175123,-0.12818460784101296,0.08303397721897887,0.05430507778648595,0.04444274808791269,-0.052070220437732705,-0.766105006105006,7.92804167148763
10,-5.63335663072006,-6.93753720237657,-4.96074859567094,-1.13329684785741,17.9989665968035,37.9494629643295,57.9483617157553,78.0919923716832,97.470607365191,115.70988266164,133.127868746438,149.845129591089,99.1223560436357,48.0346205199291,-3.04299183734173,-1.73123663961605,-2.08393364427772,-4.21464681566722,-2.04700549010479,-1.47429352123798,1.95309181536505,-0.026450789007498,-2.05622065771437,-4.13593986029538,-6.03097055512026,2.01278266179773,6.44525401004809,2.57063148528415,-1.67516169607255,-5.68461163559549,-10.3070367110674,-10.6038044345817,-7.05000918891063,-7.3166548560789,-7.19759946063904,-5.05851203671545,-2.36213594280946,-15.9113158150492,-4.71282884585593,-10.1291531994642,-13.630355828304,-13.1698036268321,-9.63561775790293,-0.022543475616609875,-0.055616962027727646,-0.009258378466248258,0.23016537090868774,0.04906941034649573,-0.10448978646297595,-0.4030141107828515,-1.3739544400867225,3.2712903052569473,-1.4425602966000195,-0.3243690123926044,0.19057130133204186,0.005682643869798423,-0.0011586990337735053,-0.012311106183161972,0.1053774457918891,0.0761536993317505,-0.12458823583746931,0.005539474714200239,0.014377232299427575,0.038893807548622684,0.014323247308651673,0.0023119021938408845,0.08139536729502185,0.042080957853498496,-0.24849180834881823,0.008997154580879161,0.001267336101703297,0.021015689853551355,0.013728126042782953,-0.036985051467521214,0.08303419462521607,-0.013199193060707208,-0.04310367065408859,0.08859810673104361,-0.1145829846913537,-0.003834904245937142,0.002632455422429267,-0.025823789172642816,0.015366896184912437,-0.052657801307498524,0.0164384545398358,0.07161010017039815,-0.4108842083842085,9.872213903942269
11,-7.11008300267577,-8.67408399907012,-6.08149143312141,-1.57266893105232,21.2202164285445,44.9287092418913,68.7367731306253,92.517838951586,115.70988266164,137.974378590906,159.094145983728,179.460077751043,118.936180970144,57.9097382116614,-3.10393423408604,-1.7416025209873,-2.37610077023726,-5.76093769347801,-3.28619506040477,-2.43335749813427,2.06931117680227,-0.344464313453891,-2.82615188914712,-5.3694197729632,-7.73599015102662,2.13401404688235,7.96805489344063,3.46663885176338,-1.38496684199405,-5.91877986450318,-11.4644809832017,-11.7186323797015,-7.64201298439707,-7.79454557435824,-7.40076065421545,-5.34472589937696,-2.44246208798636,-21.5606430900789,-6.01948602013241,-11.721708431257,-15.1443789797846,-14.1946106447518,-10.3186696206883,0.003562817267488827,0.0021805538230512335,0.017996123667527987,0.25695654921085187,0.052489112601200205,-0.07581251288436858,-0.23424232857196917,-0.32908578748177136,-1.4362994753329037,3.6908446538063306,-1.3784623705145118,-0.3135332103554256,-0.14186776443573232,-0.01273247614495749,0.12536041806383919,-0.04639547532357162,0.15568195629901194,-0.05493118646429151,-0.0677746049693561,-0.03302044284645467,0.21397270972467297,0.033024248151213235,-0.045414106301512616,0.006791649270813902,0.01240007222162179,-0.08978676266087522,0.11025457439515592,0.005627358134535627,-0.04884733282236283,-0.09232424763254907,-0.19555827517278707,0.0324657692379141,-0.008558723307814698,0.009116268491703336,0.08859615387455018,0.035398080407140056,0.23226157833244787,-0.007047541580632785,-0.003099534993027251,-0.012107470919044334,-0.1849046436599531,-0.025765050358023584,0.07485592265414386,0.12989214489214476,11.745823878762423
