,Cov_0,Cov_1,Cov_2,Cov_3,Cov_4,Cov_5,Cov_6,Cov_7,Cov_9,Cov_34,Cov_35,Cov_36,Cov_38,Cov_39,Cov_41,Cov_42,Cov_43,Cov_44,Cov_46,Cov_47,Cov_49,Cov_50,Cov_51,Cov_52,Cov_53,Cov_54,Cov_55,Cov_56,Cov_57,Cov_58,Cov_59,Cov_60,Cov_61,Cov_62,Cov_63,Cov_64,Cov_65,Cov_66,Cov_67,Cov_68,Cov_69,Cov_70,Cov_71,C_0,C_1,C_2,C_3,C_4,C_5,C_6,C_7,C_9,C_34,C_35,C_36,C_38,C_39,C_41,C_42,C_43,C_44,C_46,C_47,C_49,C_50,C_51,C_52,C_53,C_54,C_55,C_56,C_57,C_58,C_59,C_60,C_61,C_62,C_63,C_64,C_65,C_66,C_67,C_68,C_69,C_70,C_71,Mean,Std
0,26.2998178615072,12.3909686118964,6.35861399881724,-0.0095654509478059,-1.57938747356178,-3.43041995254866,-3.63690967463553,-3.73951537495788,-1.41957326503896,1.00944705105061,0.0796007546640254,0.110794807738443,0.110936814270682,0.227275571860549,0.317323090913472,1.6796980950785,2.90196883059057,1.91742352634978,1.18374534964103,-1.33524745768233,-2.92921277508237,-4.2704071545993,-5.46393350252418,-2.53942911591875,0.351942387803464,1.98745510823834,3.65497404349589,5.88383350147255,5.71840835134762,2.72511619006943,0.846928186734987,1.41495404699018,2.06293361434407,2.83339534532054,2.91510052536397,2.53265379851443,2.1355461229828,2.15100595177007,0.894608926909055,-1.34966749555086,-1.13476227187883,-0.812430610961117,-0.378253468228483,0.40496678041258055,-0.3331816092226686,-0.032680896779703525,0.3383550827122404,-0.13782237747035275,0.10888942935517365,0.023932603506429933,0.054015883092820315,-0.0484046095366022,-0.15428876126443744,0.06682010009931802,0.037599054575149754,0.007562345073349256,-0.001854170124318922,-0.06794752159173544,0.006980924846014803,-0.050986565206704,-0.12310916149419075,-0.17826812581543822,0.15308707844029443,0.047728874396711224,0.012859816329647928,0.022870774898765243,-0.0022769835983555164,-0.10045660541077168,-0.02683854436509648,0.014818759741477349,-0.02467800006569526,0.020106244468001057,0.03828606729131985,-0.08011239035812619,-0.0009365866057545193,-0.036877067796759894,-0.013168510408695716,0.03490689810691093,0.00329014662684001,-0.03266836292949862,-0.043518818082908126,0.11896675526913733,-0.03273500991789947,-0.006450173025283128,-0.01796162731503108,-0.021686714919392853,-1.2583078909394696,5.127359735917429
1,12.3909686118964,10.6739208103116,7.24455766461849,3.28858707714053,1.54172579025697,0.105969354293866,-0.647256721695069,-1.30683738078737,-0.872761765837641,-0.61126852851909,-1.53122684240126,-1.42497883821928,-1.35714260441235,-1.16686144501985,-0.847553617345884,0.753363608275736,2.28094323288299,0.971407502988485,-0.120813154669422,-1.65305499176199,-2.98326566452925,-3.93553942364164,-4.93733851757963,-3.09889270337603,-1.36823452603353,-0.177164701550055,1.03991074531907,2.611903295527,2.4396417127488,0.950787442274582,-0.134188320243106,-0.677544319883043,-1.43595795416985,-2.03760543683259,-2.54907754634468,-2.20609158309811,-1.86807035714577,-1.041631559819,-0.840234454060243,-2.44461311398453,-2.19608497025417,-1.91551461024083,-1.42848412253061,-0.33680743028902216,1.6311766842373916,-1.4064778217875256,-0.24640720875065678,0.3867684257293045,0.19672371217072365,-0.14385635537562116,-0.03858626390264656,0.003623751981767011,0.08935046809842298,-0.006703366336477959,-0.013624379929017412,0.009660661013947074,0.017853135057777195,0.07377550780280889,-0.024015332759977574,0.006462651373302584,0.054527423214012154,0.17360646571562457,-0.1279521979136412,-0.015770637062798135,0.004189308903192087,0.020963762352269072,0.009159819640108325,-0.0009019562533827488,0.015591826376605618,0.08128423147761764,0.01882266446789217,-0.0035872080843429056,0.0007882231755525267,0.09024994201291958,-0.03866163655742148,-0.0209880872804131,0.04240733860796063,0.0012590303377612146,-0.0004937826668607192,-0.011109503025108953,-0.08741711550360351,-0.20310208708435668,0.17886910141654808,0.05002617890635083,0.0069239043235723935,0.13162193655839335,-1.523972431077694,3.2655659249679188
2,6.35861399881724,7.24455766461849,7.54418364632233,5.64131749249361,4.79756463480436,3.75755160741008,2.74877176980517,1.58085634785788,0.586941786900234,-0.667297138960403,-1.46420188173751,-1.28465161449045,-1.1116195164673,-0.810624575083271,-0.265340126877967,1.15984312370857,1.08898962866052,1.09230270913127,1.11220250656768,2.58265000026016,4.29042955633969,6.39958687874228,8.4559608377522,11.4025152338398,14.210749870833,16.8018437792131,19.4233339992325,22.6523754441753,25.1770775790719,11.8723487742,1.72896017932286,0.0402826876631978,-1.85505392310619,-3.60674765473217,-4.59432883938218,-4.33339068326209,-4.06399901838179,-3.34366695893866,-2.92210218178823,-3.02653945950359,-2.31880027816766,-1.70742206653467,-1.67018758016381,-0.03943408844878576,-1.4501971809371823,3.0387730580630685,-1.5070310848701887,-0.22790713539438567,-0.09151408113387496,0.2147921831473595,-0.005155588592849334,0.002880187788341964,-0.052354921693635356,-0.053144585802040345,-0.05306586269066129,0.013646142910692646,0.004987899926704075,0.09944646649881246,0.018064903438244934,-0.016143963371206112,0.0006399515270465924,-0.011513497724980951,-0.07642274723921043,0.018766861185402814,0.0029399163876617923,0.06570362268303868,-0.008519376754751581,-0.0059464485272146565,-0.015153672871365665,-0.06999153291631792,0.025426582700028056,-0.01397988614835267,-0.08935731848818293,0.05610957907979154,0.007104037612848876,0.021005789143402207,-0.041077334352904706,-0.09601846630134332,0.01234277915327068,0.1701926977236061,0.044508807661601806,0.11150255518233572,-0.16676685269948413,-0.038480677736227084,-0.0319283587200928,0.012476677039901985,-2.28045948203843,2.744846743685761
3,-0.0095654509478059,3.28858707714053,5.64131749249361,5.94551935005968,6.04821262201789,5.48820037583376,4.56269437176359,3.24873170159693,1.43444827368234,-0.751890688410978,-1.44237674321047,-1.21191090641801,-0.955720990028814,-0.602494883583824,0.0678363519380951,1.16297103729907,0.628354759745335,0.995205070495966,1.25460376840028,3.52852095946189,6.07712991080297,8.96110125749506,11.7828115989172,13.7793989687211,15.6332450067228,17.5859229884833,19.5661070491692,22.259070930897,25.0620875699595,12.02301205506,2.05395054171129,-0.353848716822135,-2.94443180440361,-5.40061322810044,-6.7534938528909,-6.32298521788772,-5.87181740639692,-5.12323693942076,-4.39420549308218,-3.5283314121149,-2.5178289729195,-1.72199786019741,-1.74983784075516,0.3351788198015188,-0.24787608979777817,-1.5276451872073245,3.7631341019983657,-1.2657958578456556,-0.6459896813152259,0.10590245808897254,-0.017309715135163634,0.02848934525402421,0.01782617754065094,0.06522422622080006,0.05311613724715002,0.08330785786314268,0.007758590519768127,-0.10760086597052484,-0.05506808624601151,0.0007434373880612586,0.020744983381713298,-0.1396336408509494,0.08035865170157423,0.13824592688806608,-0.0533957809159447,-0.02277961460132341,-0.09392176725364515,-0.007028875352053898,-0.003591744428601929,-0.005282420632961839,-0.001584210970133359,-0.0059849275227129035,-0.019507447599644293,-0.024884845674918988,0.0007734537385518232,0.08664326303271051,-0.009431707811549608,-0.0616414609738231,0.011211970463189525,0.13400204158339366,0.020905958473456783,-0.061394579651372155,0.037956404025064616,-0.013892167888498744,-0.03820787808045613,-0.11141390315650766,-2.959168755221387,2.436292131510439
4,-1.57938747356178,1.54172579025697,4.79756463480436,6.04821262201789,7.03671315088054,6.77293541731973,6.11550982676653,4.79497533082885,2.74598259714669,-0.176154254948119,-0.927378402250583,-0.76505562374134,-0.558051890696889,-0.267593639539285,0.42658760029747,1.51075442006743,0.888310138504056,1.78597513526682,2.35454731115372,5.11804192497909,8.28940961701137,11.7571985157138,15.1555924205908,16.1922391300322,17.0903522595428,18.18216926954,19.3028061628034,21.4401245306005,24.3804659660337,11.8658161865174,2.25777511770527,-2.29814191650276,-6.99050043975897,-11.5555590792293,-14.7430373772833,-13.5754515929076,-12.3791887092177,-10.9860925298776,-9.56859740663288,-7.35977885764861,-5.55293929439261,-4.057718362069,-3.6758191968935,-0.1292585797437662,0.4356007854429365,-0.22238302718723235,-1.2631234455811418,2.958177105734398,-1.4467156268347086,-0.03348188738715234,-0.06560040027488924,-0.013204426853380708,0.008676748152557388,0.10904225835031524,0.20158420652543071,0.11218733955318652,0.02906902711671366,-0.06359209130375233,-0.18856042545661128,-0.11105380112918041,-0.050988270934602196,-0.19617686522740557,0.1741136203774776,0.06210039923627553,0.01665689890297577,-0.039047294090662855,-0.0701593437233408,-0.00017973104354395295,0.02879342573915279,0.045562262229011025,-0.020190744936179717,-0.0012069319563578068,-0.0047532993419551655,-0.1464906124341071,-0.05425397945732032,0.04142285699206398,0.19963381973037053,-0.010917617867415465,-0.02707730028107866,-0.1436183692898185,-0.02355847633782314,0.00299915127918534,0.14100560138109922,-0.03882989695447243,-0.05925855580832018,-0.0658114059834272,-3.487878028404344,2.6507948149339176
5,-3.43041995254866,0.105969354293866,3.75755160741008,5.48820037583376,6.77293541731973,7.46222525989319,7.61677343840985,6.83249327502478,5.00497113999087,1.7281930849912,1.20342282164065,0.909898741858011,0.637653757600627,0.427983055411438,0.672585018954211,1.39853519291443,0.426693833936961,1.41413094450365,1.80412447130027,4.45876326876258,7.29704135315147,10.381885025166,13.3208196318586,14.3544599450873,15.3156574801796,16.5474613231806,17.8080612211294,20.0663095427104,22.8238956427964,10.9829290439655,1.82348729034024,-4.92498132966689,-11.7701008230123,-18.5482457120548,-23.9994920626703,-22.0641510753722,-20.1076100301063,-17.9942342702544,-15.7800936587835,-12.1485138968688,-9.5150983028832,-7.17651457719979,-6.26405402495487,0.11571469024193916,0.23574103859946663,-0.08499137594302572,-0.646853201615144,-1.432804537711889,4.115726091808187,-1.5620575796173501,-0.3893773969271545,-0.15234385742632445,-0.011156147357561305,0.06638982915749063,0.05204999429080807,0.03909573260344706,0.03664871637103685,-0.019343882180992183,-0.07134269736519255,-0.0424780460990447,-0.028138145729584868,-0.07295565550994462,0.03661916681536167,0.0224879834913118,0.0245347295540875,-0.0179886973918009,0.0031512594174092352,0.007906936932933846,0.004245858325245447,-0.005449387631389349,-0.0903880512455486,0.02279079001353788,0.09301341026880251,-0.033327876240827274,-0.014070241957797765,0.006622820289972025,0.029151153201179298,-0.002945853071841903,-0.0037437061205192364,-0.012606096301599303,-0.005398963824666922,0.00686797702014472,0.015863902843280552,-0.011649890166023724,-0.013589572075568377,-0.01180809885300789,-3.791481481481481,2.7298764184287148
6,-3.63690967463553,-0.647256721695069,2.74877176980517,4.56269437176359,6.11550982676653,7.61677343840985,8.79680280692577,8.63941864136976,7.29871852113301,3.91174913042949,3.5441799116379,2.73713415632121,1.92417832748331,1.15631564016875,0.895596648102267,1.31103934519898,0.315275138365867,1.25680366811187,1.32814136551797,3.37519045234163,5.43144656143561,7.68821337230387,9.72099308961774,10.3263762415832,10.9247438504267,11.7890512885047,12.6827920783778,14.6397669166463,16.7750027730494,8.0850767853043,1.1943386954254,-7.76727018048057,-16.7757535509935,-25.7758838446718,-33.5643410830222,-30.8311965032505,-28.0846874402905,-25.2103738893107,-22.2466213416459,-17.2016620507794,-13.6866422469478,-10.4483719057406,-8.95380622402584,0.016212495113972387,-0.14056040401026815,0.2130483971664921,0.08222498775488052,-0.07273909823798398,-1.5644548341753561,2.74268391781366,-1.052450259818247,-0.5043076335023892,-0.05253862540264186,0.09251201379604389,0.01581704734983546,0.02722160906354513,0.15233772248729915,0.05816600196796596,-0.11648274931215669,-0.07447824278872792,-0.04184154317705015,0.0279377837063919,-0.0203946858249626,-0.020207044691693505,-0.015798411742318295,-0.06888969038045605,0.09588519440523122,0.026678355672791226,0.007034093741822693,-0.017375329379833056,-0.17071385365508293,0.09687911834626942,0.0432495898522003,-0.034507233994550364,-0.017372687801701703,-0.0337418338943723,-0.018898063632912566,-0.01067100736489697,-0.0013557709061627504,-0.009810569377409628,-0.012228715836789262,0.012198022031362086,-0.03275114268795008,-0.01028527182140425,0.001722099579586081,0.046154138515770396,-4.0395293790030635,2.9642541738059123
7,-3.73951537495788,-1.30683738078737,1.58085634785788,3.24873170159693,4.79497533082885,6.83249327502478,8.63941864136976,9.48941685949382,8.85225407332123,5.51151126519999,5.37111939350473,4.17391726062526,2.94825978501272,1.7545768579058,0.973209543270217,0.972145107618734,-0.0275393660779368,0.692509594466462,0.226722967523802,1.39900128763133,2.48688301716991,3.71113267287545,4.69970848061944,5.01917028684971,5.32134026188797,5.85094716269199,6.40654218831287,7.96253769478377,9.51180803781817,4.69820522773643,0.53623635873028,-10.9982761119982,-22.5354621397433,-34.0631841719453,-44.5355610847079,-40.9002886648139,-37.260506488048,-33.5168153583929,-29.6932488381904,-23.1667530281919,-18.5193998557019,-14.12171840488,-11.7282164974169,0.050175029455122235,-0.02748323703166359,0.01318208676181501,-0.014584246742415373,-0.06419868234024072,-0.3382730745599177,-1.03878274208994,2.858826480246448,-1.4007339354663881,0.2728958876984089,-0.03301545214203832,-0.06821551934719018,-0.11011961813164199,-0.1027250270417223,-0.16954081225000842,0.27860567077382514,0.07621535705534362,0.0491999636740868,0.29380054889096313,-0.14437648758328608,-0.08394934769892735,-0.020807220938889676,-0.005626326670533436,0.024771144542834824,0.007811707746246632,0.024123975952097695,0.030046158767138842,0.09618281049268912,-0.1313216264587647,0.01087483711516707,0.1192548699727609,-0.0008390423627404914,-0.11317734279132757,-0.08513345783896402,0.022727100684315972,0.020240059668568188,0.017418590265579424,0.036129384130025574,0.17020782135242096,-0.11900099576904423,-0.03601520840085048,0.009090830463359623,0.07603087113174191,-4.0436090225563905,3.0788661645959574
9,-1.41957326503896,-0.872761765837641,0.586941786900234,1.43444827368234,2.74598259714669,5.00497113999087,7.29871852113301,8.85225407332123,9.66834453531409,6.89486640876417,6.90085107993676,5.31242735722318,3.67872341210208,2.07200545728865,0.786808401255435,0.804617246972186,0.306417810433157,0.521183504098697,-0.603461566961741,-0.995918960119497,-1.45471643783618,-1.82560673723384,-2.40635018813936,-2.03237841631537,-1.67179605884411,-1.21719308380777,-0.744974553547155,0.62176188226674,1.13181903612645,0.533350711075104,-0.380108661848894,-14.736671828886,-29.0510726864734,-43.2695092767112,-56.6010553603859,-51.6491124089585,-46.6993915439307,-41.6698429380179,-36.6749126868458,-29.5318785140354,-23.9906432729533,-18.6402705881401,-14.9611683474424,-0.07959508311860782,0.0032353875438244383,0.004195208522034476,0.019835244169288703,-0.01044293847643384,-0.13660247255763458,-0.45770155415596503,-1.4465596401554488,4.257621621729934,-1.3645981960320357,-0.4560843245624131,-0.2914784068469694,-0.10260904340638638,0.00035022294243957215,0.023264884917201585,0.08390880947411902,0.10190187206082245,0.016133383950708374,0.007804254293029157,-0.04274586532057528,-0.01277236503349621,-0.0028216821220180036,-0.006064697580589875,0.018649676492681597,0.0012792601977781781,0.011276258488222241,0.01888810125540523,0.05195649414419332,-0.040238158917300856,0.026410668307924295,0.024751452193201427,0.001279680417261468,-0.01809600919957775,-0.11115550809758827,0.1864189071917235,0.06754487161928617,0.03237547300929612,0.006825803478183204,-0.04594864848153414,-0.034346103648916035,-0.014154998515567306,-0.015456028390779161,0.041537565751008775,-3.706260094681148,3.1077877236571503
34,1.00944705105061,-0.61126852851909,-0.667297138960403,-0.751890688410978,-0.176154254948119,1.7281930849912,3.91174913042949,5.51151126519999,6.89486640876417,7.29601160461401,7.65227313234363,5.95220960036556,4.20737521769343,2.49729584082465,1.02335379211794,0.312215649402288,-0.206624560048842,-1.39546778135658,-3.0859238598875,-5.19746683121215,-7.2529540605102,-9.24583877620322,-11.4558164157044,-10.656464913242,-9.83445629303139,-9.06224023156165,-8.27880057966155,-6.82008137390287,-7.36946868643896,-2.95393322793173,-0.11471941719214,-4.8058976370291,-9.41054055983217,-13.9376709174339,-17.8536754812058,-16.5051067495341,-15.1694916166028,-13.7383444550946,-12.3976177639953,-9.3045817723785,-7.37744531305239,-5.54158994176999,-5.0189626333185,-0.1548956102262388,0.08246912060708073,-0.041198687819144895,0.022572351985659312,0.017123928649506157,-0.011699112069972577,-0.05520961620145257,0.22116416433467714,-1.372925311482139,2.8468047042660647,-1.1162887975010447,-0.45255049807818987,-0.10874033757576426,0.23325581860227265,0.17426751242473204,0.0444968467971113,0.022177696386313384,-0.05458304456929146,-0.19162892954562896,0.16179617446890357,0.04056464460563195,-0.0022094708333044014,-0.0357612939107017,-0.008350213082684346,0.003999728317083638,0.011906334586160106,0.022821445663379444,0.028750921077746926,-0.025460553323478907,-0.05725526281045266,-0.0076565414659858005,0.022330396137501915,0.12016116685062028,0.011976226663768052,-0.16649446416344646,-0.030082805686404007,0.03151799231432259,0.01734846024156799,-0.0038882007558310263,0.04927569827983771,-6.507419412271521e-05,-0.11511781863388033,0.1272753481709698,-3.03557783347257,2.699261307212404
