,Cov_0,Cov_1,Cov_2,Cov_3,Cov_4,Cov_5,Cov_6,Cov_30,Cov_31,Cov_32,Cov_33,Cov_34,Cov_35,Cov_36,Cov_37,Cov_38,Cov_39,Cov_40,Cov_41,Cov_42,Cov_43,Cov_44,Cov_45,Cov_46,Cov_47,Cov_48,Cov_49,Cov_50,Cov_51,Cov_52,Cov_53,Cov_54,Cov_55,Cov_56,Cov_57,Cov_58,Cov_59,Cov_60,Cov_61,Cov_62,Cov_63,Cov_64,Cov_65,Cov_66,Cov_67,Cov_68,Cov_69,Cov_70,Cov_71,C_0,C_1,C_2,C_3,C_4,C_5,C_6,C_30,C_31,C_32,C_33,C_34,C_35,C_36,C_37,C_38,C_39,C_40,C_41,C_42,C_43,C_44,C_45,C_46,C_47,C_48,C_49,C_50,C_51,C_52,C_53,C_54,C_55,C_56,C_57,C_58,C_59,C_60,C_61,C_62,C_63,C_64,C_65,C_66,C_67,C_68,C_69,C_70,C_71,Mean,Std
0,406.714842071384,341.230013772689,307.373527426827,209.615634985309,124.280513813355,96.7801014653677,78.1584935139071,57.1858365155064,29.9019419710732,15.1598633287641,50.1162380986518,104.386301381924,20.1971085408663,7.45004935803979,33.3244608277022,57.8790521382737,75.9504446785301,2.30725108578262,0.500531844318579,-5.32436527794365,2.23593671706648,14.9701940161037,19.2179797075335,19.5338298778498,23.122884717705,12.760642448707,3.27499581169588,-8.61955791038166,21.3330776694677,26.4231593714507,47.1462069034369,61.6696664672513,40.288725600783,8.21380874913607,-3.69362617185045,-22.5889296760759,5.25136871577111,31.420950904272,66.2458897671009,80.6502720234281,12.2211093765989,5.05461596829425,-39.1532892254849,-37.1687065152395,-35.0513667146778,0.834936211852051,12.9749296088557,23.4171685257941,8.37388417037225,0.23642723539327543,-0.3186179216200526,0.14193882279128572,0.02286367268246336,-0.09570248763229121,0.06668814186464884,-0.07435549407668807,-0.13390758035110542,0.13576063007088618,-0.21491179392609286,0.14852520642985892,0.10046478418456999,0.038785013336326966,-0.17112921132532516,0.0666709375232753,-0.06248954803100845,-0.0722191728182167,-0.042306735353566154,-0.057967766541617824,0.04675068890776813,0.028665977555709366,-0.06713585983490358,-0.11511586947123993,-0.0660002980151994,-0.05121335238630159,-0.007499583652172741,0.034374248323069935,-0.005899590733737884,-0.2489246376116844,0.13989549548190366,0.030391491540804703,-0.012833106785949329,-0.046835673993723674,-0.0456568448102479,0.005266700974044663,0.04629479986612755,-0.022609858386046063,-0.030657328152551032,0.0644070264675398,-0.03917823202399932,0.031208051104767286,-0.004280862685434936,0.03988864219166808,-0.04069555855623628,0.05440465116782266,0.04115348463433828,-0.02337460546491368,0.032480669385181786,-0.08188759820964352,6.945014245014243,20.166924457422457
1,341.230013772689,486.454754329407,580.883034318833,341.776123228131,123.798409832656,94.4120967973731,75.2192583590524,53.341631529469,35.8826815402898,11.8372247024232,54.1290699223644,90.3782181002653,16.1809008642448,7.89360451044579,29.9516771292761,51.3093507358512,65.395355866606,2.7934645167977,-1.16493133820289,-9.49906016647532,-4.39230757491887,7.16772825546504,9.68490816219806,8.92867805647197,10.7124457459509,4.22395455003406,2.11765906164984,-2.90246026451148,2.98887291825768,5.76321159503584,22.4618903260703,31.9893987195925,21.2649264004399,-8.47217325017631,-13.7623355669607,-27.2869992061821,2.68801384433103,25.8389211184189,62.6559377007109,69.5192210256958,1.81093989514701,2.30852691962381,-51.3828696589529,-34.9763635397493,-41.0968384395246,-8.20842551826683,-7.82332900975497,-7.5750281162031,-64.8372337962724,-0.31861792161996516,0.9359753116038763,-0.4889924001268774,-0.06105970196829062,0.2403707110021481,0.026151463465772774,0.08659270809657485,0.0625651778740072,-0.15464183283863872,0.26194689937166077,-0.6612027100359644,-0.23068829801074814,0.1048925182655754,0.16473110653893078,-0.24353628401439356,0.06086655706813962,0.1426948029625495,0.09853799696348746,-0.0047847386713803335,-0.004395036407061935,-0.11838835582975808,0.043026575211634825,0.0017790160148348953,0.02319537093156881,0.20711017927099928,-0.022554471205299922,0.00640254231276874,0.09709929090007965,0.3658053697131455,-0.458855986671187,-0.2920834875453358,0.08593339372864332,0.132447795747247,0.05279539651082269,0.10421755827707675,-0.011605732872367226,0.037334133165001525,0.018215411221853602,-0.039631824279488824,-0.16571840741693544,0.09084206876343699,-0.17337950846123237,-0.09116842225773676,0.05919572920416934,-0.05866015206533941,0.027152705495709414,0.02810047922107056,-0.033253665736501896,0.1469926890361919,8.00945461945462,22.055492611352093
2,307.373527426827,580.883034318833,817.164332781161,465.197303397,135.199178102989,113.89574248798,80.1661912413393,43.1920937813296,37.1710260087167,17.4620089747372,45.7323535215705,64.7925346426997,2.06360385675108,4.5617641021067,22.639052677884,44.8305637660679,58.2720190527885,13.7024260397796,6.58255731811584,-6.40489571280612,-5.00441274750343,3.12299721158955,4.77658646203252,3.50686890953043,4.40578726016505,1.13889127039329,6.90104206524485,8.86388021586296,-4.9544597690409,-16.9443884967371,-2.20072979949525,2.82147796157318,4.62819245522253,-18.104956072104,-21.2977352284959,-34.0892069997752,-5.36663094362226,10.4457344445841,48.6117414721411,48.4152323952914,-18.7723694854871,-0.479812246613942,-69.7227916050966,-44.3896406636654,-54.2943299704238,-14.543130178914,-18.4088348615479,-20.8346496678836,-94.3002389207052,0.14193882279103173,-0.48899240012676165,0.6714407949997069,-0.6794552378658977,0.14021302624114865,0.017580325394902313,-0.06832286546239255,-0.14718941646022274,0.024521366671680887,-0.13757759839976808,0.38670011724046494,0.18104688256487597,-0.0399606331901741,-0.08543714321027601,0.1680159401225741,-0.05104439459516075,-0.13300841544823655,-0.005806056167747655,-0.006144338747296781,-0.2581219346701426,-0.13899472065469484,0.004932751696128263,0.10515607654471755,0.36387541551434477,-0.1944736722032576,-0.029267031212765388,0.023393832594392455,0.09474854646154486,-0.05222313428963229,0.18827963130179712,0.22344113665742668,-0.07459319496464283,-0.022931138924979107,-0.025825565973125433,-0.04295376152185815,-0.06291666320802411,-0.014470535993657175,-0.016266053554689505,0.17867769597887345,-0.03947738922363821,-0.029662423379734185,0.12136993755890073,0.018036723657342046,-0.1307163269972942,0.2845987244412585,-0.1169220475589215,-0.05838361378886349,-0.04060037546769888,0.04378611408843676,10.657691290191291,28.585911438699327
3,209.615634985309,341.776123228131,465.197303397,316.208836548081,161.445597254687,155.194000162938,99.9829022030138,42.4932781337309,30.4937610925155,13.5166881423857,44.7038371841628,63.9957521668454,7.3947090965562,5.6908332323035,22.5075068220692,39.7757821158389,50.757441304349,3.34382273573683,0.886699973053436,-5.72953208165353,-0.539422131813071,9.01840499725377,10.7201314085157,11.0781477779506,11.2214616862074,7.20957903950214,10.0235313582426,10.1969241641272,8.38146957174548,-1.69720641502511,1.03362367600677,5.01988309586439,9.59135588560315,-3.53285942910044,10.2882757153113,13.9415968915399,48.5523920424645,76.4008982891052,119.058900655344,109.770158006664,44.5933661037473,28.3998952069485,-48.1947097261828,-52.1490635707117,-26.247787823561,0.436376214182422,0.440400711408566,0.680064565753894,-45.5846672504149,0.02286367268282006,-0.06105970196854683,-0.6794552378654738,1.4603493806694272,-0.6175389059356461,-0.11412932163947297,0.046913245365206614,0.22708791511396073,-0.006918655796329063,-0.029694469018456997,0.015891104305310755,-0.06961188163982103,-0.011159655761934699,0.04212702838118248,0.0008910328909289799,0.027196503030422182,-0.031356847353826406,-0.07869680313101596,0.028336337216156703,0.44609332282446246,0.425515004371789,-0.10456716766082932,-0.13637289714040157,-0.6348170862546689,0.271631927271627,0.16399006056858517,-0.05525590836786811,-0.4468152215376021,-0.1615382484048146,0.15884281445871712,-0.0990379038606811,0.020251756472509302,-0.07853753543610695,0.009078753386132185,0.013502590671764538,0.09490912200988244,-0.026596307663982226,0.019625847677452936,-0.23145464863485296,0.26557949101938805,-0.07139980768511388,0.002102328181847861,0.04065214970536219,0.222873410255277,-0.46212418373331676,0.2783533248927347,0.044726763849228496,-0.07217149733873376,-0.09235269191499217,5.021404151404153,17.781980669995153
4,124.280513813355,123.798409832656,135.199178102989,161.445597254687,188.697572709469,196.714132922169,119.38582879045,40.7881380188578,24.2223032032919,10.2879090390838,47.1833895783878,63.2564037337355,12.9400634238027,6.26108718115693,21.9352216355122,34.405667277673,43.0598667290192,-6.85982970966557,-3.42085242993621,-2.44817395141366,6.12426994375433,13.6180000529031,13.4262725081686,13.5220699361017,15.4748610318296,10.2082576203401,9.711428418972,7.63118615286252,19.054846838541,12.3184558254166,3.55394962729302,6.19238149022115,13.4689762207444,9.33904100789095,38.9087646924602,57.7679759768659,97.1786469942586,137.892820903495,186.064807626959,168.678484075217,106.562845117607,57.4792050337517,4.80384521708682,3.36610567530977,3.55535940408036,14.574769462847,15.8137110266376,16.1134813959719,-5.10823287770191,-0.09570248763241819,0.2403707110022356,0.14021302624090123,-0.6175389059355095,1.5134263926068916,-0.6576787534405962,-0.1426691833421433,0.07205056917771625,0.04564748242175925,-0.1829981670468106,-0.4026493064340791,-0.31206343859358787,0.1574873994044801,-0.1992158859262399,-0.3997999535878778,0.07616558042797161,0.11409515317843455,0.17857215996344133,-0.07718539977076286,-0.11750657052455761,-0.0197230657604385,-0.2531057063433049,-0.031900919542589765,-0.014290294538618162,-0.2733851615282005,-0.1746086490493753,0.21298747375572183,0.23679676394854351,-0.2153863040182682,0.007574527471257975,-0.020436485855247214,-0.09612427717883831,0.22041405513537848,0.23784300967626454,-0.11711871434599656,-0.2643817732679074,0.18973498669049024,0.13977478536408294,-0.21083175871928359,-0.01118424677554381,0.028692419892633998,-0.024435355787611416,-0.08327131081011081,-0.11302981749310562,0.26841835051148943,-0.16857513363836268,0.06182225895019928,-0.10444391031916536,0.20561398013087773,-0.5232163207163206,13.736359514422618
5,96.7801014653677,94.4120967973731,113.89574248798,155.194000162938,196.714132922169,217.710175844452,127.650165835053,36.0976766162349,21.6639678695457,11.779133817627,42.4360328917852,45.443482607684,9.65797305437381,5.04895571735615,16.4665204041667,26.7748823767144,32.6411608182616,-4.99197185087047,-1.81007970855372,-0.927570778586307,6.24082985182502,12.5932641423535,12.2586635911897,12.2900835208085,14.2994696917992,9.12674888793843,9.2517286496904,8.03601621789571,18.4479820308511,11.3538132649226,3.18651875929232,4.9612226290739,9.89036243543733,5.88712960913257,37.9710156823831,61.8719318454532,103.49734696503,146.0393470871,194.999118856763,172.315344572833,115.217130731835,73.4008495410866,15.3626035223292,7.81710409052423,5.95743301381694,17.0503966288519,18.5027549174849,18.9032857321197,2.83046141914257,0.0666881418646979,0.02615146346565222,0.017580325395378512,-0.11412932164009829,-0.6576787534405363,1.7280849458202583,-1.608398461098798,0.609401969700114,0.06854235282754532,-0.008120000959228449,0.021133658053116153,0.37883448257239066,0.05034075538112639,0.0005671402214334297,0.01844772992610174,-0.018331370244649432,-0.11967944752217527,0.005800608966874525,0.007104295762161927,-0.030679719847990193,-0.3208325737155595,0.10394056845810305,-0.012023316567956414,0.05264706864113372,-0.009312616579551512,-0.09003927919629026,-0.2417553358878698,-0.025634187942176312,0.1521591451450082,-0.09937920819601347,-0.12921465515450062,0.03837722874674681,-0.12678580956169613,-0.21920934075093781,0.009969973091614088,0.26425184819707076,-0.054878129114377186,0.08212295793346112,-0.3354826620415524,-0.16512537736287922,0.2787368014550441,-0.343423021364169,0.05571965620368627,-0.06841678843297141,0.04161818838120209,0.01464881568497424,-0.011952076027061985,0.25547899346473385,-0.2052156200240629,0.2966076516076522,14.754666239683369
6,78.1584935139071,75.2192583590524,80.1661912413393,99.9829022030138,119.38582879045,127.650165835053,79.3044932577063,29.4544511544345,16.6143986532018,7.54556035598264,29.218019588425,36.5972734732255,11.5624599149105,3.84835659932623,12.4305518604052,20.2460261652159,23.8404041524524,-4.81841952203526,-2.45547314480835,-1.55617040008065,3.62651820190718,8.1661472181111,8.12617971127299,8.51436195447764,10.5959906774671,5.77982513422188,5.56418068129412,4.60366037734504,13.3096178327542,10.6174060460759,6.1903146519759,7.92258404882127,8.81907854699372,4.58345184812327,23.9102629426589,37.767616753736,64.8935612349835,91.6966677746109,121.454604068074,107.971692248411,71.0388669944393,41.0977445528152,-0.970656282940888,-2.35319960516993,4.39426571617901,12.5696714369917,13.7909942416116,13.2568832950953,-2.54156486506762,-0.074355494076816,0.0865927080968978,-0.06832286546276958,0.04691324536536736,-0.14266918334128223,-1.608398461097396,3.704336514514355,-1.4941665094854275,-0.151949150608575,0.031666964286027485,-0.022813038054711562,-0.10472547679486777,-0.01596966759398468,0.05398793024512681,0.4534218197068861,-0.17659519116105027,0.11304376709827231,0.03345255960912733,0.09286802544803276,-0.040089648606259104,-0.16412573733811642,0.026985427939353504,-0.01192316081755133,-0.0028382472046079624,-0.15482220907297603,0.04270949167913773,-0.08781367598400217,-0.18273919798306068,-0.003546393925324043,-0.021230408984607152,-0.009481220836744414,-0.02502331707525247,-0.041542929703429626,0.11021586208238572,0.040516427161592115,0.13842409170876088,-0.17367701180884165,0.07274167948142808,-0.14672966104383778,0.022650432493274145,0.0402866104307277,-0.13233406753066307,-0.03270806598708078,0.035842069664672335,-0.021956690760127483,-0.009153146502818106,-0.09764810862894778,0.005846907471411732,0.09712338088958435,-0.5169017094017093,8.90474554704997
30,57.1858365155064,53.341631529469,43.1920937813296,42.4932781337309,40.7881380188578,36.0976766162349,29.4544511544345,21.9649868499164,11.2170097059267,3.38992561957672,16.5231394815945,27.0217223201938,13.0270545854808,2.62713101715,8.80860828148237,13.14221793599,14.9287444806835,-4.45668411643193,-2.97120689893909,-2.17105859615249,1.06800086515614,3.82008035956737,4.02879415758945,4.73645904528941,6.90506859406674,2.82493496775401,1.90340245614132,0.786762105714189,7.3903806442153,9.36669518285051,9.10082532991389,11.0316759450047,8.44385607154975,4.33971364906553,10.7062842995854,14.3331201665675,25.6724470773945,35.7798318169111,45.6572585563236,41.6158830885568,25.0123896631433,8.17247489865938,-18.5705472664839,-13.5081502976864,2.35428970344555,8.36593873718534,9.73376151715102,8.71044210804563,-5.91228062657373,-0.1339075803510362,0.06256517787344872,-0.14718941646013928,0.22708791511410698,0.07205056917704741,0.6094019696993971,-1.4941665094855952,2.0714028280439867,-0.2770960167942446,0.2611330615838509,-0.2039184315858152,-0.3106923412085012,-0.12017414041285662,0.1799102385773225,0.12755101381047912,-0.04499401897150245,0.26723920423852165,0.019580086867979716,0.05315588838989387,0.09878667758474374,-0.018018134516742557,-0.021272085257041086,0.2548064062485095,0.08568244536178,-0.6827393727635731,0.20338855699874153,0.010064902278379037,-0.20242836285211283,0.09941706187079538,0.08278326307129019,0.1171705361956428,-0.17021966680296502,-0.19034108805270286,0.13923394543833661,-0.13826156912263673,-0.0007339970262079245,-0.06247016179079101,0.11017730638402097,-0.30224466494850494,0.2674999561806108,-0.09048072187909091,0.024675233732538552,0.02751136274870849,0.07723050143152871,-0.20786691276982774,0.19019242331738298,-0.13555180501679273,-0.24684183454370157,0.18002276998721922,-1.1439031339031338,4.685614884934145
31,29.9019419710732,35.8826815402898,37.1710260087167,30.4937610925155,24.2223032032919,21.6639678695457,16.6143986532018,11.2170097059267,8.47280792431921,4.03496267840204,10.0487767442297,12.8350146914845,14.4520983814397,1.6991054928304,5.44905323269462,7.15003774210428,7.80972424590125,-0.895070689562078,-0.619124546832486,-0.858826286762901,0.946434098659699,2.04482874779848,2.09015021969461,2.29620192002358,2.90994008380678,1.75179642122189,2.16009294342836,1.74772242088324,5.65828105358662,7.01610078297994,5.61307993825571,7.15192871071453,4.01846929336938,2.29855208114369,6.17399486621407,8.51741182976801,12.4878724336259,18.0286248332562,23.9233565014901,21.466621806066,15.3168358493686,6.64670709982268,-10.610082608798,-5.40580962266662,-1.48706169326511,2.3313901250371,4.21399862137055,2.94059820315104,-6.24256427184454,0.13576063007105382,-0.1546418328381769,0.024521366671935198,-0.006918655796089033,0.04564748242160652,0.06854235282798943,-0.15194915060847103,-0.27709601679404494,2.83202071659506,-0.5140668044239254,-0.19180143974614455,-0.05956602127291265,-0.30595519996406606,0.07295264551618848,-0.3742062182564636,-0.12055057687631372,0.25615289890919685,-0.37927167832506004,0.24982691786490963,-0.026217910159312973,-0.13426633956732625,-0.08040080319863227,-0.3979919671268631,-0.2520784967012814,0.0032643157018394783,-0.08917758630123819,-0.3429878622113433,0.23590584991776412,-0.5428094608952446,-0.06929781677796387,0.05571043990020636,0.18691524350873212,-0.3837524160682051,0.033735043902075906,0.027872154993554506,0.2739145251781272,0.009956303767624434,-0.26789338991030454,-0.11935614141104361,0.28397820285741066,-0.07842587911156929,-0.00710379922390746,-0.009878237018748195,-0.06746596720418041,0.19426368444244432,0.0010050149635474947,0.2092431703310749,-0.6928696744343302,0.40778008871048316,-1.4625712250712253,2.9090905665377993
32,15.1598633287641,11.8372247024232,17.4620089747372,13.5166881423857,10.2879090390838,11.779133817627,7.54556035598264,3.38992561957672,4.03496267840204,7.70344601819734,5.02717801395347,-2.10063152733578,14.5743752869675,1.24854815462993,0.478497297700779,-0.55911550674695,-1.28797645206765,1.3686268243537,0.965728650910043,0.113591275187155,-0.817283212029131,0.112538494595139,0.670366402793662,1.24377624706843,1.99722901367441,0.130840343499267,-1.11241454002281,-2.27318620665204,-1.8600105062157,-3.40321306975921,4.95174157067627,5.90828962480686,-1.05823594479768,-2.11600167429382,-6.23450617573821,-8.46329239210746,-4.26365570570993,0.639741312206705,6.80354036285214,6.71762457850677,4.02805374714631,0.685409333067617,-13.3406802771771,-6.99237385365565,-5.36780301587763,0.187328880897557,2.8073770765923,1.48426960218318,-1.03172296683318,-0.21491179392581367,0.26194689937121046,-0.13757759839970898,-0.029694469018154215,-0.18299816704714414,-0.008120000959024638,0.03166696428616703,0.2611330615837551,-0.5140668044239033,2.7957746784106354,-0.16844379053966851,0.3251787037220876,-0.5671096647898823,0.39498156798870754,-0.22983582566598174,0.06003261374346249,0.4094584553222398,-0.044092157536577345,-0.14488493944182912,-0.581993411247695,0.22110350588621996,0.4980524079792064,0.037996285978944645,-0.03597400727002562,-0.03487987437178563,0.12916059950052503,0.1223086354456819,-0.04848589906626025,-0.34921001951107355,0.4687369478107995,-0.01571308266943609,-0.12302090692430655,-0.011825073342379644,-0.5430909703840647,-0.0021346180840810533,0.277134723174622,-0.1868467191652867,0.09480812615832815,0.029616334864074088,-0.15282224812493453,-0.004162681812371512,0.19236912444618512,-0.013833372103368928,0.008220445035182516,0.18681210544095928,-0.31133759341454165,0.0067176812360574744,-0.08135496249711299,0.02191927931381974,-1.3745726495726496,2.7737061881528375
