,Cov_0,Cov_1,Cov_2,Cov_3,Cov_4,Cov_5,Cov_6,Cov_7,Cov_9,Cov_10,Cov_11,Cov_12,Cov_13,Cov_14,Cov_15,Cov_17,Cov_19,Cov_40,Cov_41,Cov_42,Cov_43,Cov_44,Cov_45,Cov_46,Cov_47,Cov_48,Cov_49,Cov_50,Cov_51,Cov_52,Cov_53,Cov_54,Cov_55,Cov_56,Cov_57,Cov_58,Cov_59,Cov_60,Cov_61,Cov_62,Cov_63,Cov_64,Cov_65,Cov_66,Cov_67,Cov_68,Cov_69,Cov_70,Cov_71,C_0,C_1,C_2,C_3,C_4,C_5,C_6,C_7,C_9,C_10,C_11,C_12,C_13,C_14,C_15,C_17,C_19,C_40,C_41,C_42,C_43,C_44,C_45,C_46,C_47,C_48,C_49,C_50,C_51,C_52,C_53,C_54,C_55,C_56,C_57,C_58,C_59,C_60,C_61,C_62,C_63,C_64,C_65,C_66,C_67,C_68,C_69,C_70,C_71,Mean,Std
0,45.8561375922016,32.0788997810232,16.7425692831675,12.0650057019727,6.78077248666987,4.22207050007829,2.76098710869257,5.84576427951045,8.69961449584474,13.1600666970732,15.3744564591984,17.9091109995655,19.2353932471344,18.4260599581413,14.6762942345092,12.5862419394667,11.8766538167614,8.58225298151476,5.24626269384008,6.07787169837414,6.25435068790915,6.79900023429213,5.8998069379398,4.09555775869586,3.74852709456048,-0.830389579852863,-1.78120993904675,2.39149106805568,7.99446529579981,11.5718367595181,10.0648358409693,-2.39321599417605,-8.16208659765683,-14.8776941392384,-1.45930184170791,-9.23570153864877,-14.9166040251618,-20.5163280254632,3.84584265561172,13.4620368366148,28.3481783767492,21.8929405034094,15.113107659018,5.99120166734218,1.14880923518572,-0.276620775434777,-2.17254990210206,-2.36109677978674,-2.69944558592943,0.7980614715139829,-0.808290397976031,0.18564891276109363,-0.03237566416622427,0.03266367551382235,0.03020561312824198,0.040812480205241315,-0.024710329650701753,-0.13185454624263437,0.0145816104237518,0.04639019071497794,-0.1107131461916189,0.11800227683183477,-0.0842786459396061,-0.04224121436914645,0.05837737550539769,0.04586815402239827,-0.16337458539688438,-0.03659248154891464,0.151358895023329,0.13522763447713165,-0.3327088459343563,-0.0639378847398367,-0.0014298078943265349,0.18925738128442804,0.007990738789104628,-0.136198186873109,-0.017077300824997612,0.016109488265536036,0.12000981142326937,-0.21986397939444988,0.07595341610211653,-0.08468107519410537,0.12018876878577078,0.0593688499827621,-0.011885558638888455,0.010381416064873635,0.11211182317050578,-0.11753016974095122,-0.07777497183416676,-0.06406079238829177,0.3681619822289167,-0.40114982642316926,-0.01822760579135069,0.03258882230982549,-0.05481557963581368,-0.05737464161159321,0.11964884735132235,0.021811273891118928,-0.2687301587301587,6.770977595015481
1,32.0788997810232,32.4256019061349,24.7949331493809,19.8697604499103,13.7967012793933,8.99663931406834,5.39279164299494,5.74262173241438,6.196678460274,8.33441466910748,9.69626802134425,10.7538008162768,10.5363725294998,8.34573038264029,6.2520415432939,4.93829385125726,4.77933110769853,4.76704394723816,1.30426398716332,2.41007409632716,3.67549795097987,0.813825518303328,1.86817803855201,2.29511600064764,-0.0287270836745223,-3.12636584575886,-3.80051146341364,0.196938827754008,4.94034560213166,9.37047284471497,7.45214243683621,-3.601848286505,-9.00901629981166,-12.7456057585968,4.25402506135622,-1.92956489863776,-6.2495574776637,-10.1795843560804,-0.101124995408705,11.6598742101291,20.7667332673883,15.3500974965476,4.99030867148322,-1.25332175626025,-4.34856175778145,-4.53361149767627,-6.16424660813059,-3.54171377406712,-1.75130846167768,-0.8099752619495885,1.6602368276747264,-0.9607560788768149,0.006321453769109856,0.16666947968721726,-0.04164469859805506,-0.06344612644060611,0.04701510056972518,0.07312461118698135,0.1799970682605146,-0.017462375454988823,-0.004344314431523981,-0.23836497671688303,0.022256352923808113,0.2205542296091015,-0.036343588951598664,-0.13017516553735156,-0.04545219989882767,0.194025306694228,-0.17319985184677142,-0.23634147482441278,0.48349104962342826,0.09968740113130549,0.14838002707300016,-0.48676537902444683,0.0824557731267693,0.111642831887803,0.08448083046743247,0.07440063971850193,-0.14382547756590902,0.08204021266963886,0.06854565330150013,-0.04023441723011182,-0.04954942001559754,-0.24152068162033635,0.08811761349094217,0.041092626057134915,-0.030648690428692917,0.08582360059271213,0.20806126956233237,-0.03924954055817794,-0.11465962320588906,0.0954722226828541,-0.06762613390245367,0.004894707300193951,0.056327689475863196,0.14691870733338827,-0.04078696815650978,-0.17964006681821507,1.8225315425315423,5.693470111112805
2,16.7425692831675,24.7949331493809,36.0476125716327,36.6864425760126,27.9768520121535,18.4571680539861,12.7252603571796,9.03394872616394,5.55786794111224,2.60876468694546,2.48418662399568,2.25501216439428,1.54005540466195,-0.442992108827124,-0.0083607129226889,0.948042841916129,3.00690523185497,5.82158419540783,6.16075246289853,5.34596431571432,5.14532771978687,1.91542692133554,7.15005759656833,12.3286278963281,-2.33547981921762,-6.26690586841965,-3.98407157012111,0.867115026129969,5.53660225820087,9.75850092385958,8.9621633568771,-4.31835772233195,-12.1207293702172,-12.7346144059507,2.3574875813264,1.69459838755863,2.99476933154262,6.3759326187537,16.3518914601384,29.369312327868,25.2654087190388,14.6760114525121,-3.98369685012056,-8.01843032411249,-9.38023990968052,-8.92094379756082,-9.75127650724727,-4.47016590936899,-2.00363434221049,0.19486560754201987,-0.9736095792387314,1.7909152227648477,-0.6698720330267853,-0.200579271506529,0.0003554983804150192,0.12389657301319494,0.019957757944500876,0.05175653641314778,-0.20454697244216002,-0.011865683015870071,0.015491340180424635,0.017920577565422452,0.1764895178054239,-0.08905901419258112,-0.05897957672456152,0.039660781859509636,0.06868363362294176,0.07624076685954677,0.011751256487149397,0.033894350527571816,0.0514237419593235,-0.1812792642670368,-0.3251993603517687,0.5668993445209556,-0.18549654175470748,0.011712422376138365,-0.004111447879368313,-0.046011303796866077,-0.12472831251388089,0.0581614321736086,0.1498802914441133,-0.017109070230313345,-0.049781828516665315,0.1492038890174718,0.11621044626958922,-0.23652874827121145,0.08787563049965191,-0.023010658752388797,-0.04516046661349993,0.11897789964188293,-0.4779931145749923,0.630765686818637,-0.08132355662012099,-0.030052419107625624,0.12715600779036104,-0.138249062284537,-0.041765105295093724,0.16659655298882772,2.883793243793244,6.003133562701459
3,12.0650057019727,19.8697604499103,36.6864425760126,44.6839796399261,35.738579051386,24.2931547170958,18.1268106100905,12.5730044651121,7.43174641065933,2.11194419024383,1.78727545275026,1.41529025408307,1.54534887472711,1.08101910141137,3.4833756425997,4.8420276361276,7.07720603742901,11.9913766734386,13.4646903105879,12.3372766809234,11.3495629300142,7.07508627116793,11.012204903733,15.3612119184608,-0.466634654055583,-6.31998911947102,-1.52921287435678,4.20510058865689,8.99413988593815,12.8733164698631,13.0441724875989,-1.74487670581681,-11.6704279376123,-8.93688254258656,3.96370223842053,4.01161678489325,6.15486382907145,11.8930861687211,22.2186893817019,34.3426038089749,20.1083703664736,6.85425042292008,-10.7968129086996,-12.9193094795484,-12.9972884199316,-11.3144873696056,-12.2591230456209,-4.86465575881545,-1.87966396594642,-0.033558774089230595,0.006207574852477471,-0.6708181455076211,1.7439672153046204,-0.975934957616421,0.06420864571093865,0.017655031267086275,0.11617934065150577,-0.1185455584919266,0.05121554595817036,-0.20489912331486215,0.13117274021080624,0.07708455648520646,0.020097739518690007,-0.16462209892841245,0.055231271793741495,0.06889995459607448,0.038119660685630774,0.11661858179204011,-0.03787972018005828,-0.09931872416941702,-0.18733179406707642,-0.03858622587650249,0.09338037291620535,0.16611513325915908,0.22023504173744965,-0.027363997349074024,-0.01910305401494768,-0.06308490842828494,0.1642111436548346,-0.1983284478952969,-0.22527246716018232,0.4000825213635684,-0.21043923465563555,-0.05686832230389732,0.006964798422941561,0.2814183601556074,-0.18385303512965712,0.0009043473467215282,-0.2819926221816943,0.02161496294949205,0.012118764171154104,0.03300233279981933,0.29059426200582317,-0.05342346023658198,-0.34129792536331166,0.08391411681663963,0.23764311974826444,-0.1849541615358085,4.578507326007326,6.683859636462011
4,6.78077248666987,13.7967012793933,27.9768520121535,35.738579051386,36.0602925274256,31.3892901994014,27.8912689905138,22.7686520975382,17.7545724152355,12.1950233255491,11.0744659992621,10.047503955691,10.0753338985088,9.71038515328878,11.8693572842245,10.3205777199033,9.71249499978387,11.4906346216329,12.5448975016721,10.8061499713847,9.19366255547429,4.40361433387256,6.94269903453739,10.6161984319489,-0.083725187916643,-3.46315150663093,0.768572321610793,3.34347241472156,5.08510073411484,5.63523419443353,4.67882610466267,-4.53167944344531,-8.74866158906515,-9.91134541623256,-3.38108190694063,-3.05376326948577,0.185208570335007,5.11313281651753,12.0776082097148,16.172675949594,11.9227875753521,-1.42477609165566,-13.4571121761739,-14.8564509368526,-14.0159316583042,-12.0649963471102,-11.4089937424918,-2.01680148110891,0.174096696830924,0.03528192737969077,0.1667876040286126,-0.19034408417935114,-0.9865247528727918,2.3313476921706577,-1.5829942906724548,-0.05971295948140279,0.1334268963839878,0.2351498996652159,-0.012333743349248765,-0.04927450893293847,0.01539613026402358,0.08055999700621069,0.09197650308410557,-0.19917646797719615,-0.018776971019213974,0.06753066654216455,-0.08646748648373316,-0.19003811961925807,0.031790568805842925,0.011763754232860232,0.026753915523258873,0.2713653515272889,-0.009291846491343,-0.15034926411464508,-0.3157957543218351,0.24357543428721395,0.13682303441790805,-0.03518579208775738,-0.029673934944826726,-0.058464409423491695,0.10068699071832292,-0.11909730413003544,0.0457154920948218,-0.020217494271105668,-0.1858702048748386,-0.019815527842475603,0.15900586017138113,-0.11936180955301458,0.030596960563316268,-0.11522145540989052,0.24273669619444135,-0.18457319100861522,-0.019389783537065892,-0.11277578225081279,0.11759087553291724,0.11908034893755724,-0.2244603248499816,0.15273814501640506,5.195840455840456,6.004189581236219
5,4.22207050007829,8.99663931406834,18.4571680539861,24.2931547170958,31.3892901994014,35.4170604967319,36.6474105651122,33.6948192958557,30.4398411326645,23.4940207456329,20.7287913941794,18.3129375271135,17.3446955322535,16.1880411403841,16.7710684235022,13.3459040833996,11.0488017915842,12.1532554930598,12.7692490161217,11.2360281785489,9.64929490895312,5.05575606934524,6.32477925213628,8.4463005460984,2.1019240183458,-0.657612473999902,3.48363911723918,2.90806366203875,1.51272592646974,-1.28903014638604,-2.89553794331444,-7.22284007173426,-5.86283369506345,-8.57690952036701,-9.47009070059305,-9.98053235551702,-6.12291162148902,-2.48785702987763,-0.176935179990787,-0.98824220707948,8.57549080928991,-2.14842329668616,-11.1329281873818,-13.3874396581515,-12.7714320438049,-12.0813068116349,-10.8156933761781,-1.4078422535895,0.942310856381152,0.03767820245452675,-0.049688053064546496,-0.019791285093832205,0.05865990457955079,-1.5906136083223203,3.3892567496615666,-1.4096745957717838,-0.31017165744247605,-0.027053923855694897,0.008245564585323361,-0.056187712925933886,-0.013476518979520829,-0.022874888805950934,0.011414914005723817,0.048860167364943426,-0.011911341192150633,-0.03804749950784386,-0.10586729855896118,-0.07077949938299512,0.014112557385195465,0.11207544661866407,0.10793028958373446,0.15776048263751535,-0.22504345425708178,-0.03360772489616909,0.1095885567792772,-0.09602403282217217,-0.018473658114480908,-0.030321912107965546,-0.15611036520082078,0.2577890318247893,0.20027058880182108,-0.19399793132993806,0.11597663423568297,-0.036492609801935645,-0.040785525166461896,-0.0853211854121144,0.03496045807613803,0.002586272666706806,0.14232026403694387,-0.04914485303484589,0.10109507817992484,-0.04959776990916062,-0.09805170360812775,-0.008755108395913846,0.1367348552247881,0.0696152318896902,-0.12807226217485906,-0.035182394097576807,5.182618030118031,5.950383222678347
6,2.76098710869257,5.39279164299494,12.7252603571796,18.1268106100905,27.8912689905138,36.6474105651122,41.387963778853,39.5847311192137,37.1825899178762,28.1328884145992,24.221104104617,20.8235515186302,18.9298747628096,17.064406962768,16.4776849551386,12.6152689334212,9.94958054926906,12.5731913081731,13.0397281756672,11.9141789013446,10.7098115373798,6.64524046604884,7.13115827564639,8.06798844133053,4.2473190606598,1.05942102055575,6.28049054309402,4.0905634520093,1.19066644476345,-3.3914469906372,-4.82374552738073,-7.20129151448105,-3.53991372028533,-6.94505210671054,-11.9155937059216,-13.099386167324,-8.91431479114042,-5.75932213753339,-5.66965570561221,-7.78639791783809,7.85349310123173,-0.9792981255523,-9.31137191537061,-12.0357159420083,-11.5982107312188,-11.8688655150156,-10.9557573363432,-2.50995622567309,-0.415207149506586,0.056529097270365924,-0.07805688076860415,0.13966878468575014,0.01255096283839929,-0.0620548088605097,-1.4225336337274561,2.701408367624858,-1.1188880556913934,-0.18696538122450057,0.20354877602050891,-0.01151065552427916,-0.029792418676102744,-0.14707088275724392,-0.04614426157113077,0.09567311266098023,0.024730907374285818,0.03225149802820967,0.06409141957588234,0.23525757956682958,-0.08344749239611082,-0.20091674266071072,-0.011672103812363289,-0.15243862639431108,0.04497193374791106,0.026075253744736807,0.7930694830662561,-0.7865111156835792,-0.1895781955746519,-0.005173356696599333,0.21176490255483155,0.07838240386875456,0.008864585523938826,-0.158269685873658,0.17899385256795342,0.11554157562750923,0.01084510777403487,-0.010403652703594389,-0.10313169326839901,0.030025522396844653,0.033568568692004475,0.016418139120029193,-0.01461804222460451,0.002984098556706603,0.0007336441738865496,0.10289258583468927,-0.019517563448537584,-0.017661676118161686,-0.008118062270548714,0.09786266385292755,5.619395604395604,6.432570542081373
7,5.84576427951045,5.74262173241438,9.03394872616394,12.5730044651121,22.7686520975382,33.6948192958557,39.5847311192137,44.0375283742535,47.3377485570949,40.827969981444,35.7861388473666,31.4445063859178,29.1175545773994,27.0091870708101,25.2284228475779,19.5511782653384,15.2700625342957,16.8868667992894,16.9311251950173,16.3135895251213,15.3395439375666,11.7099437338119,10.7313355243371,9.94424790513972,8.3973151089157,5.46311043506756,4.9645015988111,3.23256632940341,0.750386050422258,-3.57687895485795,-3.26476913072458,-2.76260318687666,3.31367568745227,0.435261403310058,-10.9107136042904,-14.9983841828714,-12.0668908679897,-10.9322466560098,-8.69529108061189,-9.72537603088221,15.7946944254652,10.5383639535722,-0.680464419719597,-6.2802610730193,-7.96843102087572,-11.4751765841393,-11.7813696554169,-1.93683416301646,1.50771613294648,-0.02336181941898731,0.04007022212248279,0.020434701326531354,0.10957613134077161,0.15357890093197532,-0.3046523188432522,-1.1183060893155823,2.7724550684901197,-1.4604916929223026,-0.16069459292577903,0.17592309483928018,0.0337176779736752,0.03725591281577391,0.047158877745851376,-0.03287460749203442,-0.026829952506230156,0.008307018525986472,-0.0025069913232914835,-0.05523572446434619,-0.010722953966443611,-0.048489445562495966,0.1840051001836466,-0.0646683985709405,-0.1394943939974864,0.2634479015094174,-0.13186911322475584,0.020004539364079667,-0.018673670075026086,0.01915580295239824,0.10912896968825858,-0.32146582063591667,-0.17869749931090934,0.1768254856011927,0.12728215351107255,-0.0773463760271593,0.15570830781514064,0.045366578031413064,-0.050966979145771,0.1179601663279172,-0.0466452024064301,0.053142056890844454,-0.01722649625410257,0.02087857866015217,-0.04702968754014917,0.03710919224544516,0.18894712480337542,-0.03805564065337301,-0.17656885665902275,0.03261807165502217,5.416913919413918,6.635324285538238
9,8.69961449584474,6.196678460274,5.55786794111224,7.43174641065933,17.7545724152355,30.4398411326645,37.1825899178762,47.3377485570949,57.1698267290616,54.0404805015245,48.8231507167661,44.0324019906635,41.5355897965775,39.4621721938992,36.6525258913672,28.4770626141095,21.9402356804805,21.3922078019244,21.0499038772063,21.1012973588802,20.4525340005767,17.3027403631085,14.8059638283286,12.2787195598847,12.7040655602552,9.42663156385158,2.95064674194412,1.26443029106585,-1.28325788751641,-5.78878522313246,-3.32519703952782,0.908615755963059,10.4080861108462,9.1929618774282,-9.49809577039961,-16.4127394359815,-14.3923770743554,-14.9322483598133,-11.3276278232715,-10.9002075823295,25.2641045012245,23.6273560502438,9.206919074503,0.847878867833172,-2.72103442307753,-9.30768919886523,-10.8426161876724,-0.0768010902976516,4.14631418824141,-0.13397912361522216,0.0788588477420133,0.049049224213890706,-0.11965743916318602,0.2298421622266264,-0.02879331729292017,-0.18826361741764205,-1.4567962987929453,2.442134536091477,-1.044667696184331,-0.13904643050411766,0.09350662423780225,0.1624882303532503,-0.04720516655357023,0.0023699066799301553,0.02596410639773157,0.04875893917216827,0.06406018430736848,-0.10440026290880153,-0.003191117849314354,0.0028036705270829358,-0.06151279382168668,-0.008290078060357834,0.13460011916328668,-0.15653157678676127,-0.3075521324174081,0.15122979540720213,0.029974003940309312,0.0337187238538483,0.10632029565740504,0.041581636707333204,-0.003785481757075988,0.029774318625905183,-0.2073317841947714,-0.3835966955415468,0.42781885989948115,0.10689200492306046,-0.22268393989710247,-0.009706580265742344,-0.007898111072702736,-0.17406487077469274,-0.032253608383340945,0.24286355647205632,-0.02345379791243526,-0.33712080897709945,0.04797028232762821,0.02628837460481125,0.2362423040029302,-0.1083647427403232,4.9624481074481075,7.560411809489055
10,13.1600666970732,8.33441466910748,2.60876468694546,2.11194419024383,12.1950233255491,23.4940207456329,28.1328884145992,40.827969981444,54.0404805015245,63.0526399231576,62.5815537219801,62.311877783894,62.6589137512602,63.1735922950837,60.6015200862257,47.0874354065458,35.5447929134096,19.0785413874618,17.8835123648493,18.6260946515484,18.693053506058,16.7892213951691,13.1783780903494,9.90387222006136,14.9320549132286,13.2685437201457,3.42697350590456,4.13992329522036,3.70394138967334,1.25862711149513,0.188919223871207,2.2432505504601,9.48941284532795,9.64503310668553,-11.7413335290373,-17.6586373324774,-18.3521016894599,-22.5904828035956,-14.013517175762,-13.8821974590208,29.0105044499383,27.8411561684908,15.768123488345,4.20418591399801,-1.61297420369769,-8.34244284230028,-9.13607585798926,2.55274939822713,7.97333933827804,0.014993849180718248,0.1766972474405487,-0.20196946993134615,0.053658277311454845,-0.011667579396680085,0.00919628023452149,0.19602781071473738,-0.16325607112783744,-1.033453357818194,2.5489607331294093,-1.3569947599707437,-0.3254159174998229,0.02112042264704389,0.15683282769310317,0.07057297320834587,-0.0035358461295311792,-0.10632383841654647,0.1487500639110407,-0.0798446926413635,-0.028254333931323317,0.0036163259571338475,-0.2242154605527427,-0.016213053546051463,0.06750442569750416,0.10798583561653838,-0.13461238912020385,0.500069846377878,0.08748971004586582,-0.041928477429402304,-0.3019174360218891,-0.038126396183616636,0.21241676444524407,-0.16458175497573332,0.06144252017658508,0.2751416989588784,-0.22352676896691187,-0.18213740940035653,0.3135637520308893,-0.09306952917028354,0.16287877550033888,0.13672704047983855,-0.06253898068373917,-0.02901058066394856,-0.05247610834536642,-0.03949455863011801,-0.0809637635352601,0.21512116584752944,0.017170701315948497,-0.22654850375172322,4.176223036223036,7.939939541530376
