,Cov_0,Cov_1,Cov_2,Cov_3,Cov_4,Cov_5,Cov_6,Cov_7,Cov_34,Cov_35,Cov_36,Cov_37,Cov_40,Cov_41,Cov_42,Cov_43,Cov_44,Cov_45,Cov_46,Cov_47,Cov_48,Cov_49,Cov_50,Cov_51,Cov_53,Cov_54,Cov_56,Cov_57,Cov_58,Cov_59,Cov_60,Cov_61,Cov_62,Cov_63,Cov_64,Cov_65,Cov_66,Cov_67,Cov_68,Cov_69,Cov_70,Cov_71,C_0,C_1,C_2,C_3,C_4,C_5,C_6,C_7,C_34,C_35,C_36,C_37,C_40,C_41,C_42,C_43,C_44,C_45,C_46,C_47,C_48,C_49,C_50,C_51,C_53,C_54,C_56,C_57,C_58,C_59,C_60,C_61,C_62,C_63,C_64,C_65,C_66,C_67,C_68,C_69,C_70,C_71,Mean,Std
0,14.2938923948363,10.4491532247907,11.0234593673869,10.0747648724211,8.76381210174626,6.50862714045619,4.65165916709734,2.79384260680731,0.566655954283464,2.24010648510989,3.50823943143995,2.40746950782554,2.78874849942787,3.45698616006422,4.6867599141895,9.73850548891605,14.8913660627251,20.2803378538171,25.3947889101362,14.0010410876217,4.57713618252496,6.08460636620163,7.25559228906094,7.26008874292811,4.17234524500914,0.778225991438158,2.29805267984112,5.06630040857853,32.2987991105421,19.0941705688397,9.3962529833954,2.22515125707601,-5.9497268195508,-7.64565751293817,-6.51420093387526,-10.4259796083811,2.82193774181214,3.97870661771889,0.619509992689589,11.9456520980819,-2.14284318801336,-2.16602519531559,1.726489636532926,-0.8294619311385408,-0.19449899251730393,-0.17753308512490087,-0.04486989642488228,0.1663040677509546,0.15951910887286133,0.22942986331094323,0.1734250564877117,0.044305400253668005,-0.030338500373939228,-0.1943270000047607,0.040679532009635276,0.27691829094877884,-0.19821318652944553,-0.06794942906496736,-0.01806767384367497,-0.08609855683262971,-0.030077254887576153,-0.19550556272812292,-0.050433753329757594,-0.09402327886395746,0.5302306898972848,-0.6499027212368294,0.1263004125277004,0.06970216341671734,0.1660404532535208,0.26351922298760233,-0.12802121493680993,-0.023822644548283745,0.250493702350742,-0.024839081033124457,0.17937647382986432,0.13952706862284336,0.09425667332767938,-0.027930072646685816,-0.060020711107850754,0.08748986170872405,-0.023934774830020503,-0.14580720582313744,0.08206678135019033,0.02785030363354604,0.8465355940355941,3.779403708898572
1,10.4491532247907,14.2315769957939,15.6801571021295,14.6779492432022,13.0610364359472,10.0008654456163,7.01069264702608,4.02101492017812,0.358543490419278,1.28678575293196,2.84711738863938,0.956279950869373,0.595883279601615,1.72536167047283,2.22488578502719,1.97311069923488,1.7587409540468,1.8082144749895,1.51623148194894,0.336186405926787,-0.1601107382997,0.0142580254788418,0.259823803435811,-0.149140933557653,1.49289563462156,2.13844999106213,0.374598607196384,0.578360201778528,41.5138578925883,34.1832927909899,19.2204971855071,5.99775915585185,-7.95649296072278,-4.56950060254506,2.2615665177516,-2.8699489775069,3.4355219862709,-0.135775818335216,-11.8041905104724,-4.06273157456818,-1.87933291204283,-3.21014087776688,-0.8300992603245172,2.8283896544830336,-1.3126577804205102,-0.293919627266331,-0.1129479553630458,-0.0019295508717689924,-0.04446813258523764,-0.1909339677932594,-0.058736446632929644,0.014780635463683859,0.01874046375305809,0.2098121253337226,-0.061092371329971425,-0.0860516103897841,-0.14892655207259234,-0.03600352008508655,0.05943299672796886,0.08037785921537197,0.21414854482294274,-0.3642497514730768,-0.040424549633135784,0.32314445232330946,-0.18181562249436894,0.08398276611235334,0.028373128340781706,0.14170903281504008,0.04631410175299165,-0.0426517984901272,0.06437128661296501,-0.08270440890642504,0.04108466607452143,-0.07379274569823677,0.024503506100527657,0.09174310495604124,0.044291041915701206,-0.024492161108970626,0.003087817893425565,-0.1882152619045902,0.14078993161539113,0.05552213356290893,-0.03618771853744545,0.14548666787175543,-0.4817929292929293,3.771150619611193
2,11.0234593673869,15.6801571021295,17.9886893856044,17.1408512061706,15.4545339484233,12.0091489050895,8.45124362942279,4.88960661649529,0.673308916952801,1.70435623569606,3.17037934805875,0.578490736415014,-0.0106388282783337,1.30980619325005,1.44995712893542,1.08420616413092,0.948916101275392,1.07603189674158,0.822651155442079,-0.0038993348387213,0.411800224050492,1.43038526109102,1.876085835268,0.55375760156647,1.78487233701583,2.19711564055441,0.240146561757441,0.347614096761242,48.6248864505547,40.1388294955936,23.1338504933796,7.98600227793601,-7.43185744421412,-2.69382005885908,3.8125782456467,0.717458506078489,6.44562267850924,3.69528811614996,-6.96098589097146,-0.306163334666297,-1.92292196432979,-3.19300420623538,-0.19596577259530693,-1.3154410598949564,2.819854082701545,-1.3967768897757245,-0.2621633728186756,0.21037209544262844,-0.00776575317500297,-0.03715987475537958,-0.08126765496386684,0.01947794571629772,-0.12619451702666534,0.09958970433173923,0.1034802453586486,-0.06523720961775198,0.1336228105574351,-0.05404871417770594,-0.0956866132172147,-0.01693147504948076,0.034583101183014185,0.1432127030066987,-0.015573738381964396,0.05794005929644425,-0.4150015323392056,0.24309400540621576,0.05611980686899137,0.0845264412579151,0.058309734811149046,0.004613861847026048,-0.014050770667449634,0.1523831286153547,-0.14837896878148465,-0.09558290130429753,0.07151029863241638,0.019461199499732056,-0.02829396358580088,0.018793028141068903,0.015054736531921737,0.01770574131918596,-0.013153702024394004,0.04877533618485434,-0.12594634264869645,0.002720266964109079,-0.45053150553150556,4.24012846333745
3,10.0747648724211,14.6779492432022,17.1408512061706,17.0900163491054,15.8853937721939,12.5839620329289,8.99416515036976,5.40391833389777,1.13494992416255,2.08486633228465,3.42638941374525,0.672312194823118,-0.0153327705360746,1.57578293988936,1.29346799537711,1.10798280653945,1.2182140778423,1.53290435087717,1.44485047249245,0.731890770600708,1.11709678973039,2.1034390873008,2.03485335459272,0.58531343385123,1.98931914748356,2.95244835911792,0.612192388353544,0.506442908069004,57.874373713734,47.1703307071333,28.1500150632549,11.0070388205473,-6.20711605167709,0.276680633016658,7.77828316875655,6.38097462521694,11.1203481437178,10.0447260712156,0.664614503248501,5.21451281741831,-1.47106340501648,-2.72687222935262,-0.18320936557440864,-0.29778360985703145,-1.4023230326425424,3.4765514555899766,-1.3817155622660005,-0.36933872049481825,-0.16570361395015906,-0.03719533696716763,0.07607347955082024,0.1400771846299495,-0.07268505735550643,0.03475310507509532,0.034960607318492994,-0.14096548850917834,0.2054732925067786,0.029722483555680974,-0.05232484582713758,-0.04386919370037896,-0.06222550730052603,0.24939244787927248,0.006415567303024452,-0.31394362548258703,0.2625581657859412,0.04912433950195811,-0.1381372473698017,-0.10417356907473106,-0.03760907314943852,-0.0055402282483875175,-0.005293153311685014,0.06004555925900957,-0.08319124808272671,0.08490807315078018,-0.13847210682507038,-0.003137660127630799,-0.04576491781808368,-0.010607302471977742,-0.015962399996504638,-0.0006246601468786443,-0.005942972488164473,0.0079493145509126,0.006961194535310088,0.10116321494856495,-0.6442700817700816,4.132797641925553
4,8.76381210174626,13.0610364359472,15.4545339484233,15.8853937721939,15.4338254945656,12.4763639811605,9.05479732671052,5.63927363552907,1.51191372935096,2.50609285921188,3.7702440041487,0.945255428029508,0.253247996263413,1.80159918406889,1.54866184804169,1.39241034839211,1.58780716117647,2.00503435770887,2.06120647383816,1.40639377661346,1.40025185674116,2.29487561076549,2.32372287963241,0.537815904688674,1.86516787248997,3.08747160257658,0.508288934389736,0.341103482831143,66.9397237097299,54.1852030684496,33.2082593586541,14.0449300083818,-4.67136162939112,3.32193001518052,11.5670344333516,11.8744685713223,15.8868589234982,16.5911960552174,8.57695574197802,11.1348476124946,-0.452231093084912,-1.62231495935067,-0.04857435698793484,-0.11488648335237318,-0.2650033446417113,-1.3815767258182532,3.8181166229922865,-1.5321249134645443,-0.5607847949117808,-0.09588590579474222,0.3129075528823756,0.010891197645910785,0.020414457874448146,-0.06581987662286143,0.017297040241291806,0.05406627808999238,0.027748812395760537,0.029024980524482928,0.012236145315670478,-0.022824726218367536,-0.08306025113856746,0.19470925682458054,0.04486055922487955,-0.13150351733246596,0.01049054472890203,0.030687182721268063,0.03612796271849112,-0.10225687215696189,-0.11372842209516888,-0.037685557467002216,-0.009244415352986791,-0.0856112114212513,-0.01338372713792905,0.06521241131074827,0.019821928328094623,0.05262498416528528,-0.048856399690451344,-0.0401452912006783,0.018829581223550922,0.06677062029906769,-0.05022753088071471,-0.02511967591760159,0.04480289427538811,-0.06767273554243441,-0.8342857142857143,3.9273178499537877
5,6.50862714045619,10.0008654456163,12.0091489050895,12.5839620329289,12.4763639811605,10.6820191449611,8.154160365648,5.65085688682387,2.3797450848606,3.15394225784126,4.07001108061333,1.62281519341078,0.687825672549916,2.01794814741366,1.59542004395302,1.4615319312359,1.68883125143487,2.16533131573046,2.32204629496599,1.47410525056259,0.995894836159547,1.7700730376995,2.1068413231269,0.0126196480639236,1.16107058934776,2.65722178751957,0.200983730913777,-0.469844666034268,44.9461386416266,37.3038618942599,22.1605175575745,8.71781494180439,-3.881566974702,2.46034556991191,8.63439300852833,7.20691299121399,12.264312745653,17.3626549174547,13.0305450621141,15.3459386239774,0.376574100705531,-0.719525177091212,0.1611363661595482,-0.02273203397315251,0.19530967536235214,-0.3665525859285297,-1.5245193864939637,3.6371402491253897,-1.8015257072468558,-0.304848672975807,0.2780611544595226,-0.03741457393067945,0.12405078127774015,0.014633120036852146,0.01211076204224599,0.18083260059465656,-0.1417582026990663,0.060078711839069626,0.10086060815631583,0.014202548056352021,-0.06354842310739504,-0.037391726552063,0.08778418508277526,-0.1943700045377844,-0.10083778567620787,0.05872095747056386,0.02817752962307938,-0.039018053270729026,-0.037558897686214524,-0.08608489452370965,0.04700773522195832,-0.17956209950671426,0.031209989432540015,0.16724784156185302,-0.008449964466458305,-0.24335787537023887,-0.08110453237719267,0.23370803628021844,0.011818664970123096,0.012771554387866363,-0.006455773443213069,0.008085690777673038,0.0011917215641658078,-0.15268973494527394,-1.1349074074074073,3.2668056484831003
6,4.65165916709734,7.01069264702608,8.45124362942279,8.99416515036976,9.05479732671052,8.154160365648,6.88192066894872,5.56905749129595,3.40893477106484,3.70639354688075,4.45952938134608,2.42064507030639,1.30012739713817,2.50079454411771,1.95591600772108,1.85826103174807,2.12616563500582,2.66764587481403,2.96726700434049,1.73749703689309,0.321088213712675,0.647034387455708,0.993757989390387,-1.11861436861069,0.0619965475522042,2.14425631159363,-0.143671023829037,-1.21017659567861,23.9000052386844,20.6316024097906,11.2803849400098,3.462349758234,-3.20282955666178,1.46952589854227,6.40454468651663,3.49327442584277,9.81854080061312,19.7156943765662,19.1483415291849,20.543004259865,1.42536308354869,0.188905383864306,0.18783757245188945,-0.0424173142600534,-0.009632074349723631,-0.16492528230432518,-0.5705460451615532,-1.8011252026092508,5.0019039932985,-1.6031469214819227,-0.35266734249116133,-0.13149162258339026,-0.016538979711816098,-0.08410932335247889,0.04622401990167467,0.05120473588289929,-0.038895348211821106,0.01997250439304237,0.09234906472313162,0.022570524509273576,-0.028948966274139825,-0.11191481937716388,0.09335334917323052,-0.011501614005320232,-0.042090701970042076,0.02802156133164781,0.00033361574391575245,-0.056471860691964505,-0.039529982866284535,-0.0748111781212894,0.04484225395422345,-0.12841008802202564,0.049825218976145454,0.10955946206528566,0.013115768921016163,-0.042912482746440966,-0.04770097418414801,0.04875544954035058,0.03494385480734239,-0.03877264085723636,0.00951688922879552,-0.032996917638281505,0.013643229945636118,-0.024784308392423498,-1.566084656084656,2.62143484926647
7,2.79384260680731,4.02101492017812,4.88960661649529,5.40391833389777,5.63927363552907,5.65085688682387,5.56905749129595,5.51201420491568,4.45810936642037,4.25698595700989,4.84692993642679,3.23641207709097,1.91681353590982,2.98064572690822,2.33400850301165,2.27514027110676,2.57084604387338,3.168583714578,3.60913210219574,2.00237249141866,-0.353008278378469,-0.469477817176832,-0.0989597215533645,-2.22644579950752,-1.02021035805058,1.6401893494166,-0.481843147212503,-1.94551240865373,2.85076386281808,3.96573903495046,0.400862566830047,-1.78311859578375,-2.52456873975967,0.474619127796318,4.16768997496547,-0.247851776883603,7.34573127792938,22.0709510283448,25.2683386445684,25.7463777496763,2.47201085041388,1.09546780062839,0.22747495394484732,-0.17678185968861732,-0.03678942228078131,-0.037829616219261515,-0.10001256711641235,-0.3092324510037095,-1.6042872735268068,4.85576890596103,-1.884725196644604,-0.17467083874942552,-0.07186030062426789,-0.28421617936222454,0.16823833404473093,0.03643056070247839,-0.013626930709928297,-0.013451167197855081,0.052366173221498065,0.04021210038499096,-0.02238682820641678,-0.20518378093855183,0.11750200680887933,0.11017143259123956,-0.011489619737272784,0.010620019401028403,-0.03674770755610991,-0.07188607290240213,-0.04466499693646539,-0.07535913497320294,0.04615450102327295,-0.14635744230715703,0.14205478274638159,0.06768051670544126,0.02726715699977808,0.037250883405751306,-0.027976034177592538,-0.04275884447267048,0.13589305967149473,-0.23480645498484257,0.09838706985079407,-0.06909600339068278,0.033967552942673875,0.04526215116116152,-1.9958730158730156,2.345637270533465
34,0.566655954283464,0.358543490419278,0.673308916952801,1.13494992416255,1.51191372935096,2.3797450848606,3.40893477106484,4.45810936642037,6.08831366582393,3.95995406047196,3.10488933454878,0.385191038876713,0.373037781417994,2.92286690977516,3.69298877482462,3.67282509910768,3.89773698440401,4.44747481472565,4.99600997472925,2.53883004380553,-1.02585009491121,-1.00653252606309,-0.378454785821791,-2.66166814801716,-1.79287197644224,1.25188584608225,-0.39144145269148,-1.8372525162111,-15.525284684117,-11.1320940788222,-9.07790756864936,-5.90375263235467,-1.19554407925293,0.0276581085456415,3.3365766897106,-2.76101052415669,5.7066216496523,9.61218028505489,20.3622689564234,22.567704834491,-2.53044282407514,-0.743130770769751,0.17039527834221943,-0.055241166125572665,-0.08431174783174936,0.07188848869926179,0.3019921371891735,0.25695596265533865,-0.3650752770682787,-1.8895065681907757,2.750863624050212,-0.17545349968704277,-0.17037703981639585,-0.29124243759295126,0.30893997989295574,0.04183681700175173,-0.04029113287932361,-0.12226305374707182,0.10846260902701393,0.09377917832263567,0.007003892878389227,-0.2923940530921219,0.10607035232704132,0.26938621081743824,0.00483828184181538,-0.04424695968035739,-0.08034710924082335,-0.012350311704434801,-0.02644722172889037,-0.05076841648656912,0.04588253254998138,-0.03565245961603139,0.04837452769531125,0.1250585058147239,0.035156863413429947,0.18739894165644866,-0.02005651917358634,-0.16711657320096915,-0.22313343417347123,0.32060998051260164,-0.16918973725917447,-0.08940905625065261,0.24134108643133342,0.08235071482134339,-2.6571428571428575,2.4654236280655564
35,2.24010648510989,1.28678575293196,1.70435623569606,2.08486633228465,2.50609285921188,3.15394225784126,3.70639354688075,4.25698595700989,3.95995406047196,5.78259537275958,5.33671371352917,2.77218434270939,1.19869238513918,1.54661236629607,0.757441648843563,0.96713429883754,1.6363680807049,2.65916284388283,3.47538023178798,2.97894909967006,2.09646227818624,2.26997390133261,2.82114632443842,0.917340534713281,-0.0007651128119671,0.607178267567603,-0.731394868922774,-2.1936860299502,-7.03266511048807,-4.84431910578635,-4.94486041642948,-3.52797445132813,-0.385229753482576,0.639049449874722,-1.85773072025403,-2.79217276990351,5.88863343674516,23.5363829999371,30.8912810414225,31.4067071363163,3.03064967389913,1.92353073742193,0.04773335283056514,0.016485694286686437,0.020898770815278033,0.14640090314230458,0.01774255630914763,-0.03520960249479744,-0.1287229098678749,-0.1666524497447832,-0.17138227351645377,1.7078623096794217,-1.1796854335303064,-0.0051388148527959625,0.4122987367277956,-0.029759025588368036,-0.15951472155718288,0.02064611888186799,0.10571446557045122,-0.14017248919323375,0.09287423307712116,-0.06106273079647608,-0.10691690078309135,-0.0671477071788189,-0.012305418909482141,0.01509539758959516,-0.0038655826100259445,-0.009087636775777534,-0.004241243926631813,0.12840466698264472,-0.10019076595110159,0.021354071393188043,0.1567133492064906,0.0010683524103933678,-0.06122063387419809,-0.19190222782688734,0.05411417243122695,0.08569756750020933,0.011378275944231795,-0.05538544965483781,0.03258048146006094,0.00791696112653811,0.09655300392620049,0.03581475104022445,-1.7063492063492063,2.402622603065154
