,Cov_1,Cov_2,Cov_3,Cov_4,Cov_5,Cov_6,Cov_33,Cov_35,Cov_36,Cov_37,Cov_38,Cov_39,Cov_40,Cov_41,Cov_42,Cov_44,Cov_45,Cov_46,Cov_48,Cov_49,Cov_50,Cov_51,Cov_52,Cov_54,Cov_55,Cov_56,Cov_59,Cov_60,Cov_61,Cov_62,Cov_63,Cov_64,Cov_65,Cov_66,Cov_67,Cov_68,Cov_69,Cov_70,Cov_71,C_1,C_2,C_3,C_4,C_5,C_6,C_33,C_35,C_36,C_37,C_38,C_39,C_40,C_41,C_42,C_44,C_45,C_46,C_48,C_49,C_50,C_51,C_52,C_54,C_55,C_56,C_59,C_60,C_61,C_62,C_63,C_64,C_65,C_66,C_67,C_68,C_69,C_70,C_71,Mean,Std
1,321.78242296199,346.420828023373,366.362632438802,275.228360051002,183.815584474278,90.2386936061645,-1.85578450663688,-4.74640106979926,-1.94894997866737,-1.43634284409972,0.484777626296286,0.224307583868586,-0.140108129811846,0.992890201912226,-4.59397234793219,-5.86495862605722,-4.23072887382948,-2.17334229171711,-0.445539189277699,1.25946397549831,2.74117369883477,-2.16077674451943,-8.08475643035205,-13.6551671072173,-14.5802274170507,-15.3277474356338,-16.4377389285076,-17.944116627425,-17.71907542667,-14.520525102937,-11.153802221579,-10.4874961990437,-10.4304312450795,-10.0742155459383,-9.61796989898278,-3.02943015428791,4.76909686749716,13.0901491709223,22.5771694315069,1.2208904041301547,-0.9732350903584487,-0.17829974355972053,-0.06405701132137809,0.0907739219206396,0.18176373742566518,-0.07245939043334511,-0.07130030199358062,0.03949364184487062,0.04699215723302276,-0.03223569942622426,0.02184698519214075,0.1257059091992815,-0.0036349630624146595,-0.2979995211388946,0.03327189422953397,0.1902777001976947,0.062226354435050764,0.019877593115636846,-0.035818040608635304,-0.1422437961793714,-0.19270351539220593,-0.018044118083313753,-0.027672412229132207,0.08269795348940803,-0.2402942474740027,0.1415825403821744,0.14265504493290992,-0.13418129584531283,-0.02479173692913436,0.023280974494030104,0.02538524248038458,-0.00769570332163608,-0.03143364186111557,0.008441006482099247,0.007509085970765388,0.02303916015011287,0.029114924839038096,-0.020915703201392657,2.6439189514189514,17.938016137856206
2,346.420828023373,374.885323221309,397.176775254597,298.83868858376,200.14237394064,98.64430658915,-1.83919537548154,-4.67541276405806,-1.90302092887907,-1.62489772704121,-0.0641251887868759,-0.512158164887684,-1.05272157640997,-0.269911226020494,-6.71415473754864,-5.47020590284702,-4.05418715572856,-2.20145105715895,-0.606104769230994,0.94866326607129,2.25611120451606,-3.44306342101965,-10.1038722418313,-16.6398588325918,-18.0704412337967,-18.8930110504602,-18.7185111074426,-19.0384105902375,-18.529950522507,-14.9600614611419,-11.2353136530711,-10.2572882701044,-10.4053603602686,-10.2937535369489,-9.98866322461585,-2.700246817354,5.71295135646581,14.6925472112706,25.0266750569764,-0.9723992467498072,1.841611522985157,-0.4867679085003855,-0.427602942442929,-0.06887958583040386,-0.014345170446069864,0.040226648017024136,0.14909957229618626,0.021043980953345514,-0.0007699244632735192,0.03769142988833069,0.0016639144744442684,-0.12263027291437746,0.013318344782123669,0.34079274816099403,-0.13267736576849978,-0.20687998178871875,-0.017532518403391477,0.015557623116670798,0.05542477766101375,0.18098034792104636,0.21403362704142603,0.04810581535464581,0.004174650861474845,0.01865646715896543,-0.21185144313491303,0.014154991552496863,0.2885028515145077,0.03766505211516902,-0.012805377340810473,-0.09861885734368235,0.09185105492210974,0.003269721680407364,-0.02944199201805291,-0.1679986034143052,0.024471934968384415,0.023173525599146136,0.14652152534448581,-0.09381759180018094,2.404681337181337,19.36169732284102
3,366.362632438802,397.176775254597,422.828528223465,318.559133651788,213.892838797256,105.806061509424,-1.89203700809321,-4.52046874181443,-1.66376873115235,-1.32468581962098,0.184302902639159,-0.19110633503081,-0.652121873525532,0.082160974804674,-7.10318695652947,-6.28488054842232,-4.70225376430496,-2.73230994723493,-0.951075443780401,0.74391954360194,2.15036215598435,-4.06582807782805,-11.2212689842141,-18.2900573697202,-19.9333874722091,-20.6755795277418,-19.3864666336934,-18.7542592857617,-18.5552859142482,-15.2090275237163,-11.7120677999834,-10.5406993016446,-10.8474858892915,-10.8529134532015,-10.6800207272289,-2.54971871767126,6.81907426518802,16.8616106057934,28.0878395258327,-0.17799913867229267,-0.4902639449000848,1.4277255344390134,-1.1649485162596267,0.17619251721463267,-0.026606947445913076,-0.0037820889154137802,0.08214042271094397,-0.13357172936713252,-0.02227404458618413,0.14135660667832878,0.08964689446325583,0.05693503963890603,0.007338100048682357,-0.14413918693173214,0.06997096680164692,-0.05619820952753669,-0.023698551596744798,0.006734814290583073,0.02915892596596817,0.06297264497000775,0.07685406044877865,0.02660680656456159,0.017782198865767675,-0.1972449752985718,0.22887771128834072,-0.019027738079703673,-0.19293939157145046,0.022516580872000574,0.013187325449792479,0.009024544866162798,0.0784607824890008,0.010489147155212914,0.015875443971539272,0.047906340106180244,-0.014626705662334202,-0.03374797548502493,-0.15815542425694942,0.10412348650323823,2.458221500721501,20.562551598074233
4,275.228360051002,298.83868858376,318.559133651788,241.283538236602,163.395181343354,81.377331003961,-0.666717407435462,-2.44596132650228,-0.728545872857887,-0.409671470941152,0.737990052726132,0.502649393818095,0.217808605336237,0.674460623079369,-5.19213609084762,-4.68659227954965,-3.53359790766166,-1.91595679167776,-0.339611545934258,1.13310388064493,2.3156255529459,-2.6047983789245,-8.23125665708646,-13.8733302565865,-15.5121222651085,-15.9071056572866,-14.4982083542409,-13.6188562716082,-13.2999123142637,-10.0594292893138,-6.7042621672597,-5.19421859797322,-5.97424579625672,-6.6467920334182,-7.16734605349016,-1.06913356160567,5.97012472143549,13.6896587540281,22.1811951612146,-0.06345182303524098,-0.4374355509278448,-1.1600148938032446,3.222845172505861,-1.4082085279655125,-0.25271299693230687,0.005226583173418621,-0.0388708082346977,0.1589400260186861,0.011529266963705225,-0.13748422778704517,-0.11656875847033062,-0.050758318865152266,-0.07419907632400392,0.11960135159297376,0.023361711207982278,-0.00446390391928617,-0.11237961045700627,-0.05502823947767855,-0.014488598333011813,0.023598793231393037,-0.06075811068250613,-0.038199662979070015,0.012973913075145057,0.11147174101554574,0.22397609235882335,-0.2512333737037111,-0.24321355614229187,0.11810144272561358,0.0384762594099475,0.021324683777748914,0.002870608486035777,0.0009283032800278245,0.029329004799683995,0.07775709237540106,0.005495552026382822,-0.029506845264755055,-0.0757132907854142,0.006918913822278333,1.4334283309283307,15.532982271173871
5,183.815584474278,200.14237394064,213.892838797256,163.395181343354,112.541802793136,56.7413098074453,0.533678226097904,-0.33582797226979,0.289207839705568,0.445783956197469,1.07893887826622,0.915839350748251,0.740110225447114,0.886579757027923,-3.63601028535459,-3.40069004512207,-2.68818065266055,-1.41011911125582,-0.0317025308753072,1.26701498682957,2.29556367386212,-1.19284783437745,-5.18129344818852,-9.29116655083303,-10.8550617794902,-11.128540644788,-9.85604834921503,-8.77568486907198,-8.23248464411293,-4.95723518517083,-1.59747903789217,0.359914917725255,-0.895150431941872,-2.28340769712705,-3.5364800493599,0.491442167921208,5.18289417679816,10.5211655168241,16.2629576168958,0.10118521423247583,-0.0664372619622414,0.1772928206080224,-1.4143992617125658,2.0890014975849116,-0.6494037373837218,0.2506248125695966,-0.30125775205359284,0.00098233585583464,-0.01369357579799297,-0.07850257257730675,-0.05238542883180749,-0.025872855060430536,-0.03085647302498541,0.0682720420331737,0.10296510713057086,0.12756201778479054,0.04286027139373324,-0.020678626213937606,-0.06831202665207432,-0.24152557218057485,-0.0913596191704994,-0.01326675725737692,0.040232310656905836,0.06337931002082048,0.030634146048564456,0.09911258979031008,-0.012651405448816249,0.010405648791480223,0.02982768641117875,0.133485962322118,-0.40733760506126804,-0.05465674166105437,0.045576395352661433,0.1434794290977509,-0.0005238565455391485,-4.2166974277062106e-05,0.085850951288029,-0.04863127207563605,0.3580399230399229,10.608100809906341
6,90.2386936061645,98.64430658915,105.806061509424,81.377331003961,56.7413098074453,29.9006744320783,2.18844475765319,0.894926456765668,1.08473229865837,0.98178435083192,0.990183453328772,0.831663633031402,0.710331261933141,0.468027792016596,-1.95595768337811,-1.31817603469868,-1.39270645474478,-0.781783598383477,0.0862764166457449,0.906482547345753,1.48903661139259,-0.225372858048394,-2.22497810601477,-4.43071259902557,-5.46581786350717,-5.79266515683072,-4.96665546415384,-3.91654949509786,-3.27880129776783,-1.10835441868677,1.10092737439509,2.34142205014005,2.00849409883255,1.34584731863285,0.786765549026171,2.80327427436648,5.09291758384327,7.95816745933957,10.9474330886272,0.18206300352953397,-0.018961015212936486,-0.02805246229440546,-0.25068336405803,-0.64811506840597,1.593396189109819,-0.4245040137685274,0.07642772663092448,-0.1366251106120255,-0.056978752760494855,-0.06160159689195395,-0.012107434606059928,0.009965179415307208,0.17366958819453363,-0.07860476318734863,-0.09211023954380491,0.06790649622719142,0.18484674005530927,0.02872603030338117,-0.0352924175803181,-0.1123462866593068,-0.038139465482173555,-0.014089013480192494,0.0007986852713623348,-0.011727901311940174,-0.01642445867025489,0.02992178370120786,-0.004783227183999365,-0.02071849202012257,-0.05784357584833989,-0.07107055418191675,0.09218335648264746,-0.00525685727594439,-0.015007163059101838,-0.05343782961076844,-0.011363319270014912,0.027192113133838566,0.023984859003626968,0.009736872712429016,-0.8543855218855219,5.467236452914609
33,-1.85578450663688,-1.83919537548154,-1.89203700809321,-0.666717407435462,0.533678226097904,2.18844475765319,4.62642927903564,2.55132981526388,1.7447123156378,1.41996288332202,0.906759687309643,0.764192764162215,0.689679273081629,0.159901051167299,-0.0135728711082972,1.21966776675071,0.318695080416735,0.170225175989932,0.430060051026038,0.684240171804358,0.727517769477675,0.893770307243584,0.984874053295046,0.807510567384409,0.318159278740278,-0.0970416578518966,-0.199273753915794,0.35601311645867,1.26813721255123,2.61123725305755,3.95446378382061,4.1345652238771,4.56110809738286,4.48999916756063,4.48684929778802,4.30973690965713,4.22510349430476,4.63054769257965,4.86292310711441,-0.07034090319045656,0.04192737323726531,-0.0029165770161965233,0.0051442345734702445,0.24874171375921375,-0.42581538153463583,0.8608645140456912,-0.23803068830262,0.002221453131936666,-0.02761904182686871,-0.02341437629729202,-0.029406323340929855,-0.03136175943400931,0.09389209312261387,0.003104195779680839,-0.1775515922278901,0.12228498723925285,0.1459967264209634,0.005300321370405889,-0.0944803890022635,0.013640278687137148,-0.1789361161966265,-0.06077353760297378,-0.02773089792530349,0.02271453522683078,0.09091367779785088,0.007572198949066339,0.031907590225469656,-0.026970116565036742,-0.06485789440740568,-0.19107419722357843,0.14050554440660576,0.00848738803233832,-0.01687836915774251,-0.04182583314211978,-0.04297189069999401,0.14051525106809384,-0.03136753122066938,0.00031884355218893317,-1.8112554112554113,2.148587740595119
35,-4.74640106979926,-4.67541276405806,-4.52046874181443,-2.44596132650228,-0.33582797226979,0.894926456765668,2.55132981526388,4.92488630790019,2.91930304671126,2.53333667394089,1.85802282116041,1.7889778041537,1.76931587835856,1.22670489921941,0.564505315105041,1.11255793063418,0.351490622490509,-0.106238591623877,-0.137470423403132,-0.144145688546101,-0.115681032399218,0.228234336746957,1.25611900350964,2.0476674942044,2.27761580028754,1.66111024033786,0.889286704662855,0.871000938084088,0.687237381699188,1.60036601510269,2.38448995790803,2.7701229630433,2.89785179745677,2.86318990940909,2.86140693150334,3.09384649072959,3.6933709569083,4.18496499042962,4.56142649798765,-0.07204351517334213,0.14606114489032399,0.08144972637024935,-0.038757387402694646,-0.3015943412419949,0.07778949168919234,-0.23703087978087858,0.8852818104267007,-0.23865538059163646,-0.13305576070511776,-0.09504736428542278,-0.025680352050613375,0.06868469977298952,0.010519731333666562,0.09310850958734304,-0.006274829101358593,-0.21874172127258365,-0.011868150823093835,0.05234706116514826,0.1057124992882376,0.03413165910680304,0.24096558054911965,0.025226438480450218,-0.09465174442959998,0.01946577697393225,-0.1717005638318331,0.007829104603453586,0.08534486953063185,-0.052542954270071,-0.028966064209097076,0.05893378847997941,-0.029758448039236437,0.026814323087013515,0.01679748744238446,-0.004075610946771719,0.06755754292231017,-0.14964280509883743,-0.07167842332004813,0.11408991859810162,-1.7614718614718614,2.2169542863803464
36,-1.94894997866737,-1.90302092887907,-1.66376873115235,-0.728545872857887,0.289207839705568,1.08473229865837,1.7447123156378,2.91930304671126,3.82368201883204,3.52685386537653,2.51626126431985,2.86033238371675,3.32205363247469,2.70730055663686,1.96889964339811,1.10407151445925,-0.120665539475336,-0.456043681935446,-0.245564364303185,-0.0048902755123518,0.140775526131507,0.732580724923158,1.58585741568683,2.10442227844341,2.37271014674377,1.0822107255331,-0.301836972672189,-0.446020700726946,-0.85094296282639,0.224800932658191,1.25010182880122,1.77434532680759,2.52243668800388,3.39666810260533,4.25833790276162,5.10265169672797,6.19890034643081,7.54428844579606,8.95992944670265,0.04750245443653441,0.009317809606387019,-0.14042060594190084,0.16150024122708304,-0.003538211605703679,-0.12426656781306925,0.0091594262098871,-0.23927349718428026,2.5674678277395606,-1.9288260850391428,-0.09411212854196135,-0.17407848069797083,-0.16018277477435797,0.40441592813902827,0.11058763649169161,-0.05951787961989265,0.006146304693004143,0.10139678680480872,0.0575869759048011,-0.0941497733843553,-0.006940286080023777,0.14971582977026,-0.02212594967615366,-0.026461599002367595,-0.18775717387964957,-0.02895578879719461,0.2850916802836823,-0.03068977255504755,-0.006009082764885289,0.019160327636402907,0.03588385267394094,0.021657226136087348,-0.050514700181888195,-0.028827136002799944,-0.03895403473902702,-0.1307908152924195,0.2536440000515214,0.11266739327242696,-0.19563185736383243,-3.4116883116883114,1.9528650795259874
37,-1.43634284409972,-1.62489772704121,-1.32468581962098,-0.409671470941152,0.445783956197469,0.98178435083192,1.41996288332202,2.53333667394089,3.52685386537653,3.62159652826648,2.88029882074882,3.48452082458306,4.19842633014532,3.81363219295275,3.12891255160906,1.15907805518738,0.0661855213638131,-0.250049165448419,0.0098509612086135,0.26076169670344,0.440048856789372,0.995152584525593,1.78957943690003,2.32271353055406,2.69049669002805,1.63824837478664,0.235953792473255,-0.218344056282263,-0.905137642805741,0.2594497914074,1.37623744556334,1.7808919101956,2.40666789622136,3.21060475584815,3.958515977042,4.84798514353738,5.97790477267956,7.28827351072921,8.61228162839453,0.077438519214441,-0.0012546487625304074,-0.017291871181223058,0.011087063158179488,-0.015074245562222383,-0.05418548153437146,-0.024214757195086103,-0.1345433694590992,-1.9351681201014406,3.5215200540621447,-0.05097805274705386,-0.3216267983668375,-0.5916534311971368,-0.05105155362990057,0.0010820650888629147,-0.11788889750031568,-0.010331698550666929,0.11268792280239966,0.05359259311344078,-0.007200724224576191,0.01571210228105211,0.0053554642084384305,-0.191706481306156,-0.037797859166715055,0.22968944916052092,-0.02048652804654507,-0.22461431814414662,-0.014970516243208077,0.17358247168611923,0.04553887370292149,0.015838642415663903,0.01994742541049371,-0.01665580823209386,-0.014102786191629316,-0.019504837452313368,-0.016195941491287804,0.0942248605811463,0.02714594476071505,-0.10506782708211966,-3.1085714285714285,1.900420092575975
38,0.484777626296286,-0.0641251887868759,0.184302902639159,0.737990052726132,1.07893887826622,0.990183453328772,0.906759687309643,1.85802282116041,2.51626126431985,2.88029882074882,3.45501149425287,3.80292046663032,4.29404587581313,4.47460121657436,4.1388071702696,1.24388594389848,0.56605833592065,0.592071543612997,0.818491865283548,0.988947382611478,1.13587531485065,1.57112481858854,2.27201814160348,3.02862532406201,3.74452369319851,2.83142142589282,1.18027064989281,0.477338736576459,-0.260624871856954,1.20811030953997,2.62512478683925,3.07735879753329,3.68489776304692,4.47760668161057,5.17167175171398,6.20581169048666,7.42936301564334,8.70722279915752,9.88035339812417,-0.037335874005022474,0.03670349039222435,0.13918048520634185,-0.12207257292794266,-0.07745137016360433,-0.07029335646340273,-0.021261475112273425,-0.09302146384777919,-0.09531187690429616,-0.05133877044573182,2.464777531597233,-1.6201499855597519,0.4113044098753241,-0.15176961349813461,-0.08579293477864744,-0.25404279995180273,0.6218701762847904,-0.390781154617968,-0.22439672740104863,-0.04410853310518051,0.04311300161648316,0.0889245543054287,0.30719685549526554,-0.2102702341731755,-0.26969819229212794,0.006590939652179418,0.17204532101889108,-0.12044525924883026,-0.0036957383645224696,0.011649317616904383,0.014682559186296263,0.03680547534168908,-0.003589586118493159,0.005969755702523616,0.01342129524183089,-0.014893832339870728,0.00483260376738478,-0.006693477265360892,-0.03698485188752883,-2.9933333333333336,1.856074215717915
