,Cov_0,Cov_1,Cov_2,Cov_3,Cov_4,Cov_5,Cov_6,Cov_8,Cov_33,Cov_34,Cov_35,Cov_36,Cov_37,Cov_38,Cov_39,Cov_40,Cov_42,Cov_43,Cov_44,Cov_45,Cov_47,Cov_48,Cov_49,Cov_50,Cov_51,Cov_52,Cov_53,Cov_54,Cov_55,Cov_56,Cov_57,Cov_58,Cov_59,Cov_60,Cov_61,Cov_62,Cov_64,Cov_65,Cov_66,Cov_67,Cov_68,Cov_69,Cov_70,Cov_71,C_0,C_1,C_2,C_3,C_4,C_5,C_6,C_8,C_33,C_34,C_35,C_36,C_37,C_38,C_39,C_40,C_42,C_43,C_44,C_45,C_47,C_48,C_49,C_50,C_51,C_52,C_53,C_54,C_55,C_56,C_57,C_58,C_59,C_60,C_61,C_62,C_64,C_65,C_66,C_67,C_68,C_69,C_70,C_71,Mean,Std
0,12.3380559546616,39.0618235149188,26.1356012662307,14.7788987186917,2.30278073502051,3.25930189636159,1.33985158068453,-0.60881234154483,-2.05880036465967,-1.07569930304202,-0.832192942339915,-0.358337946941678,-3.84265081053736,-7.41288675366038,-2.58960515837111,-0.228590863693434,1.845136251244,3.35825338037556,4.84972944624178,6.04911953581562,8.39106694199895,10.5834838837603,-4.93887725271166,-2.74852203132988,-0.987329351009931,-0.104885846682184,0.897430083861244,0.631680496173131,0.440898135779444,-0.57918752229381,1.15960019079964,2.53595306695026,2.54648446505481,1.4142082573268,-0.36305545354382,-2.57362784336675,-3.93969026436894,-2.66919510170769,-3.43042008000732,2.43535887867196,4.78575856604516,5.01323836462447,1.55546517162653,-1.00697134874774,0.9825259306599223,-0.30300196624227205,0.13845872527336567,0.13499970329841657,-0.34771852860691244,-0.29489255211607956,-0.04797611102166994,0.024705341941792715,0.06379909286359625,0.014032313215945058,-0.04394130711337366,0.09513193133672124,0.07397891360398363,0.04176695252234235,0.052144676487528324,-0.06443468814584305,0.17318827734482475,-0.00842967025344329,-0.13813357619512603,-0.02832469933570995,-0.05141160957945932,0.07357861034251544,-0.1806214867872708,0.025225290740828597,0.26087575334811847,0.017787354314020565,-0.23767622285189421,-0.04032898957597498,0.044544242809905786,0.2499724850618166,0.012156896170793014,-0.2539619033875365,0.027841200148951497,0.08662778674271532,-0.14755817930772364,0.13839801293968682,0.1913757612901012,-0.2765469289896763,0.13518873274681328,0.10253414470210262,-0.2132593419943346,0.18868289068734012,0.1451131894851287,-0.035835863681694856,-2.1069444444444447,3.51113314396671
1,39.0618235149188,334.268423761884,217.780838609966,103.322009532223,-10.5885351861837,-10.2461857946412,-10.4769224507167,-10.4772195043342,-9.71987566691848,-10.8755263861546,-8.06156108598933,-3.64684083078145,-11.6799368746322,-16.628459087706,-2.50993156658867,-2.12496815677795,0.603949549784483,1.05955524592989,1.80126115543658,1.72887620048499,3.03759276513652,6.19139915359144,-18.0026820004007,-5.94030883142701,5.24726382441959,4.85820742031826,4.72571198379959,7.81220184878922,11.046692966207,14.10702325301,15.7395177359854,13.0977989790327,10.758862523862,1.8897212543336,-6.33066969037508,-2.25408037980504,12.3918113316325,26.7795142408229,40.9012713945621,55.6215115581945,66.5265798905249,75.7889988289382,46.6164863359623,19.1624064519347,-0.3034631949358513,0.8359321530188871,-0.9824604120511188,-0.18005920388631297,0.5204864532507739,0.14994660525248296,0.04647709702788101,0.023325018721000818,0.021199397912424946,-0.05938504065439345,-0.01036449471933062,0.06129648128796138,0.04118828911468637,-0.022605601762469202,-0.0503337674250479,0.038513706787153205,0.0016186485285168202,-0.027701896064998836,-0.12873089155749848,0.11768728011985057,0.015005648829782173,0.008655334733168672,-0.0012384367916856904,0.05348159007202282,-0.07975884920674041,-0.02250486442560957,-0.002728223611620017,-0.01733252156642798,-0.05430445510212058,-0.0875228950325316,0.01471280939599802,0.16108263727585875,-0.13412487993403294,0.00028804794093422565,-0.01948008368953566,0.04009372342351658,-0.014438833309472508,-0.02105646021978284,0.02615282115666929,0.11978064986293477,0.0962805976139621,-0.2678382840597494,-0.1576558758175816,0.1471941989076455,1.3442592592592588,18.282735674999085
2,26.1356012662307,217.780838609966,143.913772074996,70.279146709384,-4.23543334755253,-4.89190984217293,-5.63298831131943,-6.29005693636276,-6.33189759122111,-6.45649639503445,-4.86488990977547,-1.97444417396867,-7.91321851984297,-12.2679067738325,-1.8517788057636,-1.65409002270205,0.543031579066153,1.20302008233098,2.04461199632101,2.58452276926492,4.61628237527158,8.27410269268667,-14.4107826901076,-5.88582597478007,1.59780827612693,1.42303531818062,1.47697906922927,3.58506987032928,5.83692543358146,8.02957764114857,9.51590287279948,8.17500154997153,7.23435565459564,0.207885684539648,-6.99391780533035,-3.47297560938074,6.76202656944109,17.2350091151537,27.6900346202317,36.295169936813,43.0526451836351,48.9272716205265,29.9472928286013,12.2981812479534,0.13221216574972405,-0.9821031535398933,2.007498683803089,-1.0050769313032428,0.11818280550127888,-0.0705812369710507,-0.06916454444246314,-0.05443882446003145,-0.07063232949590924,0.03735129906326981,-0.021165978260536768,-0.09456565700614751,0.017124310814690204,0.007005095943033797,0.03396533277113081,-0.0007003124481149194,-0.09401333982612872,0.023476542622566453,0.2247532962798133,-0.1334644168515069,-0.014611374439751077,-0.030260318489391307,0.038344269588866976,-0.021367468123871167,-0.036340239646894715,0.003631064304822183,0.07441582275609794,0.029276852059011815,0.022254354369498228,0.09066679696000927,-0.03700401523931454,-0.12219285344809505,0.11051234964407432,0.04166611419048725,0.025431996670545402,-0.007367468528804499,-0.06247546462167134,-0.014890214150871588,0.013801455046130428,-0.3387939984715406,0.04341759335457891,0.09769861261760185,0.16926395807726888,-0.08808860894400358,1.0843518518518518,11.995989833064899
3,14.7788987186917,103.322009532223,70.279146709384,37.5074125159642,2.15520671930304,0.5696790940005,-0.772409844614721,-2.18441507370885,-3.15592954729533,-2.4804374456406,-1.96831110209892,-0.516030392844308,-3.80114464254871,-7.1108116615551,-1.11061336613984,-0.837200701265645,1.25677516672566,2.29988507224152,3.3880117576684,4.32875779100763,7.02679392779938,10.9597269340481,-8.95951594088645,-4.22554751611003,-0.688039742412351,-0.928903990882676,-0.974139188146244,0.173981505278294,1.42037324832469,2.68966693980538,4.24060978633107,4.41255938098019,4.34493450747259,-1.1293259864866,-7.82333055914181,-6.28685042029418,-1.8214936840178,4.38084320142129,10.6403240059447,16.2476508624669,20.1723902221645,22.6741606028133,13.7843359675038,5.5682619317055,0.13582670771215707,-0.1795685958130308,-1.0079366554905251,2.4934677338492035,-1.603061053618904,-0.14234113405482912,0.047517418058749296,0.07989203822138978,0.15253753412374882,0.12136541451170899,0.12209484581618299,-0.1325447229321808,-0.06860666180814297,0.027972785672249225,-0.027598217623312517,0.04426687945325282,0.02664850745489859,-0.00785023537635317,0.013652647430504617,-0.016423611376941313,-0.005352217783930912,-0.02429582695406556,0.1456273143265657,-0.15873144534355887,-0.060188354288235414,0.003040369329020344,0.047007041279744914,0.04245568975760809,0.07327120105078552,-0.09553225247290467,-0.019256077940325585,0.04995268981325567,0.0383998060845652,-0.1352750530417365,0.037804471247648415,-0.006431178010037771,0.007434913609207032,0.12170911790562826,-0.07519653071280553,-0.04162165024714731,-0.08202156986761462,0.141908771619084,0.14593867310098133,-0.1203927521145152,0.587777777777778,6.123513086126643
4,2.30278073502051,-10.5885351861837,-4.23543334755253,2.15520671930304,6.13399218602937,4.64051183503635,3.35905038377041,1.83909994944988,0.497198157934328,1.63144527033926,1.01153312752634,0.720185620634604,0.283076833053353,-1.50551985141434,-0.149084597276294,0.113914368912259,1.36383804750537,2.27789249463729,3.14331623666929,4.01136160958773,6.39432514391332,9.18378655425568,-3.08439627625303,-2.36294397776537,-2.44367417454228,-2.31004022479368,-2.04379038565272,-1.93510326631404,-1.79888477954794,-1.6492737260113,-0.489988809348325,0.777529601325732,1.04840688044544,-1.01836134274566,-4.58510326606773,-5.24565851341189,-6.53837946793406,-5.41399040427159,-4.38505062101553,-2.39990267250838,-1.43773649254046,-2.23842284027126,-1.36889593521349,-0.616956951078467,-0.35065326317193246,0.5201000623992895,0.11956087031144375,-1.6024013736918143,2.3720438256597873,-0.16475112617579277,-0.22389954245652388,-0.08283583794311214,-0.20730994337872743,-0.10557792135919579,0.09194681700728477,0.093905116192848,-0.2853438522264655,0.13687526997997285,0.035085502704003284,-0.016682715228801288,-0.1356709312768898,-0.10522189706974013,-0.04208165200708195,0.12925234686936435,0.014216793195370307,-0.019333623906156193,0.02109429430856584,-0.04303033773441749,0.015514146413532735,0.04008677840778807,-0.01588474724703592,0.0780439632776624,0.4142086408746135,-0.28056481899304586,-0.04152953859467839,0.011137316787532006,0.09842434489787573,-0.13875388190253002,0.060257150974453125,-0.059969588575606504,0.10771197928993619,-0.03447681499955583,-0.005668398876952957,0.002169529609640168,-0.057627511836202815,0.07577562149782728,-0.18769246209371818,0.057030504257438316,-0.6129232804232803,2.4746701166073373
5,3.25930189636159,-10.2461857946412,-4.89190984217293,0.5696790940005,4.64051183503635,7.24308233348682,5.21656413989635,2.88621830622826,0.658995060161135,2.88310219105826,2.05173918823674,1.41528644768861,-0.283212636505519,-1.78965262459545,-0.468906107911127,-0.684047159664502,-0.0775405927881261,0.214462730299096,0.464756719264614,0.64348481613555,3.046017630799,5.78339098760369,-2.05245628321399,-1.19185471411113,-0.921555049068391,-0.311735720683849,0.436996405475235,0.542746963048956,0.649137583789461,-0.531815673837965,0.256995361743062,1.13057422661147,1.39995595852671,-0.977892898192152,-4.41739634478971,-5.10157259744444,-6.33379169443292,-5.58597453903292,-4.69531131127452,-3.35640229256827,-3.22630138597369,-3.72051969726593,-2.45696458672991,-1.2321663917141,-0.29248291991933334,0.14895020211376356,-0.06984618710079801,-0.14564438046810474,-0.16559153039862498,1.9647269018280955,-1.461127298083939,-0.5764452371630222,0.5005785780054046,0.1861909689786232,0.04249692520848032,-0.06582345917627051,0.09237803915649956,-0.013373698219277962,0.022022831623272652,-0.014450027772202624,0.038698343512303376,0.11750815935864961,0.030205917499471994,-0.0034569764266542363,-0.014101831296869831,-0.0803514314519957,-0.012582144889992482,-0.01196399400215416,-0.07381221031279435,0.008892506735609058,0.14961063363635083,-0.10677398006751611,-0.6348888514346411,0.327676492237872,0.0730939364735962,0.0072042978103959016,-0.07283896939772842,0.014545415177264489,0.027882326161619155,7.826447829265295e-06,-0.07159132371128918,0.13455047648882457,-0.12683768463837702,0.06578756017106237,0.11612634678959025,-0.14213383820020176,-0.025129768069408608,0.08821420838220148,-0.4786243386243387,2.6894390369530266
6,1.33985158068453,-10.4769224507167,-5.63298831131943,-0.772409844614721,3.35905038377041,5.21656413989635,4.25278818548492,2.80323667033773,1.31689119921903,3.13137831675581,2.31722577127416,1.56995272832772,1.12816073659614,0.920276723445937,0.513531762020571,-0.317658101691387,-0.107637486345643,-0.179707375822668,-0.291879742607319,-0.454207971322123,1.13556243792847,2.75146544486056,0.290949908687685,0.459432892084467,0.326183991016869,0.445598909671168,0.681413827543173,0.796390958348344,0.88758409171956,0.165975013974303,0.557945722372798,1.07166918126433,1.17717360020486,0.183624108664651,-1.57018350499769,-2.64413286712968,-4.0617289188276,-3.98845083745223,-3.62212367095882,-2.46878844147788,-2.3699474813415,-2.7986671467641,-1.7033085687785,-0.683970204218193,-0.05033327222210979,0.047070018272705176,-0.06794301250461213,0.04457868324480382,-0.22687329579229906,-1.4633116778091468,3.439627386615888,-1.1179827351505291,0.032972061735333354,-0.5038597715266877,-0.019038839911203136,0.03646874876566155,0.05115597859646489,-0.029131637138957528,0.007846753225089027,0.01340274191307048,-0.016093521879785043,0.004776607986592178,0.029345493219288175,0.10392283294682761,0.007704205863997886,-0.055250839745714604,-0.012441907398300305,0.05505487509326302,0.013952404684856146,0.05469718514932175,0.0293053384026645,-0.03280590521077736,-0.10983148713992993,0.030568732465953527,0.01618889837835665,0.015651407706388114,-0.010955155484222925,-0.00642292688966579,-0.004306781448873776,-0.02039005721099224,-0.02195158899515097,0.050369827353191905,0.046007859576062356,0.0024242966203334264,0.020738988706574413,-0.0605758898832817,-0.05775566765232179,0.0565461464547861,-0.8376587301587299,2.0598029482173583
8,-0.60881234154483,-10.4772195043342,-6.29005693636276,-2.18441507370885,1.83909994944988,2.88621830622826,2.80323667033773,2.57243760190326,2.05594629596184,2.60939761211094,2.1734055342634,1.73359035605156,2.6657314309712,3.87582076008803,1.39383252579033,0.351465219374854,0.632972608433515,0.658221873845698,0.605759397527899,0.521718021365562,1.42949647665156,1.46664635967659,4.47790456959292,3.45823566734668,2.65991952396299,2.03448437728643,1.4945872601224,1.54144759328608,1.54510872888367,1.22083618508756,1.11683578588825,1.27690810045784,1.13602598143039,3.8916990950886,6.4944735698882,3.99399776210483,1.3413732260101,-0.628097707957643,-2.23560297311087,-1.48142412662374,-1.59676824008024,-1.9322982516694,-0.971443955997034,-0.153811762544163,0.04363041291674566,0.02351559902461543,-0.059392467929362106,0.0904946542036151,-0.08186783503703686,-0.5834538274727402,-1.12239448140377,4.335449963358505,-1.789879654236702,-0.23709472098456166,-0.07755502409331554,-0.04228786884227504,0.0033120454869653626,-0.18190205945813898,-0.14659764807028772,0.12720721440243898,-0.02099467231244208,-0.0012105381762265856,0.0044627546415587195,0.011291859024870529,0.004970992881758921,0.011081928459569932,0.04731399032089078,0.05347603128205612,0.012425921260221623,0.008819960948926925,-0.015257108380949187,-0.019773829807023406,-0.032451678788319845,0.01110325341779776,0.008243959345421076,0.0035782238768993268,-0.012814811043996345,0.06472725385618844,-0.05694012090966626,-0.022167854069160546,-0.024007146383969617,0.03248580342744991,0.0629146880901948,-0.03937655654312382,0.05932883207934165,-0.04418541338745775,-0.09090722236074797,0.037403680406252096,-1.280026455026455,1.6007615693485573
33,-2.05880036465967,-9.71987566691848,-6.33189759122111,-3.15592954729533,0.497198157934328,0.658995060161135,1.31689119921903,2.05594629596184,2.74593138779565,1.69430792333489,1.98299500567211,2.19659656907008,2.9727390780064,3.99759412140111,0.485286986822711,0.646397689246676,1.0528125740136,1.22644342065144,1.28497985926443,1.34585373727348,1.51555071368387,-0.145762352202258,8.66233643600969,6.49903482697229,5.08620164171947,3.71246095942051,2.39304296188998,2.33082176227609,2.20584871169621,2.20736379824039,1.79156532391151,1.79267414351176,1.56231334312637,8.40264440223565,15.6527929993145,11.5945645725364,7.30284872235296,3.10265804703395,-0.647932648369152,-0.228440640977155,-0.432623885818424,-0.677309674628574,0.0863905448953475,0.624832795084759,0.06886543857654297,0.019007873400134667,-0.06508552097796813,0.14972171074287588,-0.21682891499346268,0.49550251788222893,0.0319400839004167,-1.787954421168517,2.091115510617593,0.039202845257967536,-0.12351669043354319,-0.1897329838766149,-0.04606627999017746,0.10632998592626466,-0.0031663359599602087,0.09074499176148948,-0.14081827349748666,-0.052755621652624304,-0.03861169435948663,-0.024341219029617018,0.018266737792907228,0.0830360923320727,-0.07186596968273214,0.014424986229225535,0.016393990595997047,0.0030277305288142022,-0.10224349893521238,0.0010431896725116591,0.11371372857464436,-0.034913364420575195,-0.046695385611768336,-0.032590005335571756,-0.05327412972624546,0.17199815538283791,-0.022238510818970818,-0.04591499529676528,-0.02047895063369289,-0.03142936153527092,0.09321706974311832,-0.23312052986766582,0.2356410659152849,-0.0823677514704363,-0.15601050911002323,0.09916873883116469,-1.8265608465608463,1.6540651099021604
34,-1.07569930304202,-10.8755263861546,-6.45649639503445,-2.4804374456406,1.63144527033926,2.88310219105826,3.13137831675581,2.60939761211094,1.69430792333489,6.14602616832173,3.90185157290929,1.31224344042598,2.69607724265436,4.19928230285851,2.46761003522118,0.243430792094057,0.740912520255727,1.56157166128158,2.36835532359238,3.09344647255521,4.27685798198803,5.47305277525444,0.905107378184143,0.766360947181509,0.517941991857599,0.438805676828161,0.464531944853752,0.725051878045677,0.891572128947663,0.765178785075703,0.372116555501047,0.0698954931207092,1.86880841913629,1.43480792646935,0.473254949533704,0.113318314942489,-0.190476077869778,0.43733178508294,1.67964082709649,-1.67170792588429,-3.38056687929625,-3.51852952198197,-2.28351882769606,-0.505377873691222,0.017016450108641532,-0.056583878539717344,0.03310982435345231,0.12050190400289633,-0.10677793224228785,0.18556723491471314,-0.5048397534083837,-0.23905346558582097,0.03644056992461765,1.575419223622857,-1.4593362639702925,0.6083573146217606,-0.04707302745624216,-0.030229378692337175,-0.010493807286687999,-0.036053033703668434,0.05556346807927367,0.05572475376016537,0.012695515502887342,-0.046660869115617835,-0.019160465252953028,-0.033195169931538634,0.013252944559919252,0.010867825561760074,-0.007206978072957111,0.0011408867828180298,-0.010488944658715433,-0.035191754382715885,0.04005097012952092,-0.12907002899931627,0.0071481095506476106,0.15744893335974672,-0.04966410977768255,-0.18444074414048162,0.0685515060380358,0.0826599830027022,-0.031547621098670195,0.0011332414634778595,-0.06118753995568938,-0.07669498623071441,-0.056476982061437676,0.04931145624305564,0.19365979665785293,-0.085434469053398,-0.8336507936507936,2.4771003549153465
35,-0.832192942339915,-8.06156108598933,-4.86488990977547,-1.96831110209892,1.01153312752634,2.05173918823674,2.31722577127416,2.1734055342634,1.98299500567211,3.90185157290929,3.96812931034483,3.66287859922297,2.7591600953869,2.92410882226475,-0.0048131517669417,-0.292830296465292,-0.22014356548854,-0.161590225576207,-0.157856527649247,-0.1151754566392,0.640701763359384,0.652798129066577,6.31069514021873,5.03692882400252,3.98036798463508,2.66442282842346,1.4217620225023,1.2942691156269,1.11439925213478,0.713366081757059,0.787013493682671,1.07153594827139,2.80448640027843,4.75459357066236,6.58563723004454,4.10337191606374,1.41327711856115,0.0944232391669236,-0.790114971192777,-1.72197848117576,-2.59925065083697,-2.57315091683809,-1.4329163186005,0.179725431255397,-0.046223925738834985,-0.010918406432194544,-0.022769687286938373,0.12170994796396445,0.0882270943183041,0.04528227314390794,-0.003234374683254208,-0.07556936903817521,-0.12469865304078889,-1.4602350842399028,3.1052419962682527,-1.304461438015326,-0.04091539069995828,0.02768442251452736,0.04457152207338638,-0.07920883878568284,0.05613074693706515,0.023155736267005067,0.056568584161552395,-0.008704751422255618,-0.019878264423533906,-0.031425112324313616,0.04445252383741282,-0.007452198578295829,-0.11147065062861303,-0.013643666235333111,0.0525580213584983,0.03057559704586205,-0.0032069748922535675,-0.09087411242393062,-0.005236234244296482,0.03728701595518156,0.007584939844856083,-0.07209624628023703,-0.02039083376501972,0.026361191706955722,0.09013250577571723,0.006183944908270114,-0.05557476306294468,0.022904792279602838,-0.04453707262835294,0.027477001116418882,0.06290833143584137,-0.035571199870883696,-1.585,1.9895047902291736
36,-0.358337946941678,-3.64684083078145,-1.97444417396867,-0.516030392844308,0.720185620634604,1.41528644768861,1.56995272832772,1.73359035605156,2.19659656907008,1.31224344042598,3.66287859922297,6.0295159642401,2.7852076796701,1.46185847195657,-2.4130209551182,-0.909824473614206,-1.28992262726294,-2.08750244078521,-3.01542365503684,-3.75995660115717,-3.48538584463849,-4.65510148793889,10.8222682054541,8.70346503323824,7.03754968448573,4.64023496372713,2.29359981089024,1.80079415659326,1.30211593227938,0.652767077091745,1.30868569768564,2.27119273200136,3.87014681920074,7.96302393382552,12.3265619681682,7.88676354269276,3.01272251716436,-0.150694654316996,-3.05340997835879,-1.54835154954884,-1.61769799121904,-1.39392409436204,-0.459435066818244,0.871298760103083,0.09580971958111294,0.06260380603442504,-0.09463476157285905,-0.13156021208726965,0.09714635963437583,-0.07133564741874335,0.03943385889897413,-0.04126901934287128,-0.1894933066416976,0.6087514338398748,-1.3034373805076052,1.3500503179385959,-0.13035179246786935,0.07900516579120176,0.057948822792409836,-0.08755487208631915,-0.014739136378767625,-0.034158182679171575,0.0376290187684212,0.10691247969400555,-0.013036194763433033,-0.027439602856644648,0.019263309517640343,0.0068214741089683345,-0.043627852969137085,-0.020417333979305074,0.0033809080695564172,0.022154823107863483,0.0005864232627587698,0.015385536066961381,0.023946743001733817,-0.0005978969367484488,-0.1955206990133774,0.13573072174844325,-0.07544074928140598,-0.02790946534672734,-0.005118741639810597,0.03835545401052634,-0.007490880032469026,0.25719656638172733,-0.169292348346005,0.08631164247959973,0.03912598930894164,-0.07124152693419777,-2.2411111111111106,2.453470188170238
37,-3.84265081053736,-11.6799368746322,-7.91321851984297,-3.80114464254871,0.283076833053353,-0.283212636505519,1.12816073659614,2.6657314309712,2.9727390780064,2.69607724265436,2.7591600953869,2.7852076796701,62.0385839719029,119.616097213695,6.17293129556563,-0.353461188874669,-2.18373899537924,-3.96514105348515,-5.69761041934351,-7.61060090756831,-7.70325962049474,-7.80875189002075,250.58964375773,186.985049949047,123.451219854144,59.8918714310333,-3.51543560169742,-2.41722087721749,-1.29381878070444,0.379268683199817,-4.38454008978034,-9.0564634150763,-8.59489202696892,-8.87522478564708,-8.37381362436252,-7.46759316085326,-5.57818234867608,-3.57490967979173,-1.83597398827651,-3.6058884819982,-6.04690508358856,-7.07192097789193,-7.2622517653154,-6.88483881815413,0.07563019868024011,0.02972958394767959,0.014565286644981282,-0.06848914780200996,-0.28717349609480486,0.09574660121688461,0.044123199174939995,-0.009489522611105474,-0.05045008837728901,-0.058721916516806597,-0.04279974488316898,-0.1293257593412958,1.3386420927896374,-0.7768550737869165,0.28884552203135927,0.10284880434975824,0.1018970831354842,-0.005504455364796573,-0.0030019169641058306,-0.011492194324131488,-0.04561896987799802,0.022649027459835398,0.03018305331241639,0.08248407060410111,-0.07453794509723216,-0.07425839066322289,-0.15209835959575385,-0.07070148540216803,0.074077842204807,0.05553794280066207,0.02066965910286102,-0.01389121023043247,-0.13673330737760586,0.10965707885349887,-0.11581291398628744,0.04624499488838749,0.16751556934774733,-0.27456510720684163,0.0820705322815603,0.05333675051331564,0.19873790262992852,-0.42839606174610434,0.10572425940996147,0.07582707756250807,0.1305555555555556,7.875822748888076
38,-7.41288675366038,-16.628459087706,-12.2679067738325,-7.1108116615551,-1.50551985141434,-1.78965262459545,0.920276723445937,3.87582076008803,3.99759412140111,4.19928230285851,2.92410882226475,1.46185847195657,119.616097213695,240.42254789272,16.232490874145,1.36994911306112,-1.77401137221,-4.99518178202892,-8.05897350398208,-11.6932845223095,-11.8163765461009,-9.80912571411069,496.188053959038,369.453304061283,242.159029488125,115.76877241066,-10.4473436448149,-6.43177540426818,-2.32086236451958,2.63228699987909,-8.34611072718595,-19.5857208970368,-21.7322946307477,-29.7979033958511,-36.4147776396385,-29.072931022061,-19.2761300390983,-13.1772326473503,-6.20164450458806,-8.12938392920777,-12.2124454398834,-14.7435597737413,-15.6121863755065,-15.481941543784,0.043178105101177,-0.025364280128333618,0.005619849915678892,0.03196190973726009,0.13746672675025592,-0.013429784971166576,-0.030136778082745008,-0.1857200902548713,0.10673875866416699,-0.025373317842581494,0.03541109738392691,0.07751786577445238,-0.7752147438860922,1.2384876257723623,-1.1275048279649282,0.22315800561372057,-0.039534209488222394,-0.12055085699900774,-0.0539134672864266,-0.0187703112624879,0.011786254236825349,0.1202294483601228,-0.21192070464448387,-0.1159791112574738,-0.09502814140670778,0.002000125656496469,0.09703130960585873,0.09298995376713053,0.023896975804229628,0.03422730409616507,0.0020783930937916077,-0.01972131150529087,-0.027170026684736132,0.14578152302847808,-0.0351180605456845,0.05494226940238367,-0.09094981517163724,0.1067387671479503,-0.030013380712954802,-0.005871356011095009,-0.16376022223548875,0.20957644663343733,-0.012321548011333604,-0.01728584033736072,1.5166666666666666,15.505242593804208
39,-2.58960515837111,-2.50993156658867,-1.8517788057636,-1.11061336613984,-0.149084597276294,-0.468906107911127,0.513531762020571,1.39383252579033,0.485286986822711,2.46761003522118,-0.0048131517669417,-2.4130209551182,6.17293129556563,16.232490874145,11.914062899106,3.34872470244238,3.33746213351169,3.30464520409321,3.18622074281193,2.89011145466428,3.70940815250114,5.62522426767622,-3.06350178655164,-2.60878147882999,-2.63221098770537,-2.11264968936414,-1.57633195195347,-0.621001579598159,0.322819221591313,1.64096508281122,0.462202029635756,-0.913627449191359,-3.12736339771531,-7.7725064599896,-12.5172260668292,-10.1109121676791,-6.04872103471559,-3.422019352909,-1.03653299657396,-0.962587594803678,-1.30453285520328,-1.47338575692246,-1.25306341306506,-1.08449808995579,0.0471716625215128,-0.03949625300123015,0.04030601034091204,-0.034648345124083754,0.03041516272844306,0.02623254374299302,0.017336652596310585,-0.13361327850153454,0.0022686179097405833,-0.012831511649535927,0.036502168829081624,0.05634495534350896,0.28619553564287337,-1.1230606657954927,1.9555028644953685,-0.6735268673439944,-0.11205278012373492,0.13172268084383476,0.1145767341160936,0.11694822111736855,-0.040894976295351104,-0.1928124561395097,0.22851032776811994,0.08190556204417178,0.2104083438880039,0.05154830756734822,-0.0849723712854442,-0.07035972620831119,-0.04186752434331646,-0.08157079983730703,-0.029604409342511136,-0.023508631457082114,0.17065365494775508,-0.25969010964057726,-0.012276296588706749,0.17707996314688876,-0.05600857302946897,-0.006734035810734656,-0.03639430978515235,-0.021269535596624714,0.0739078638771544,0.07389108066561006,-0.024723082421017287,-0.03015172848351279,-2.2861111111111114,3.4502264996817256
40,-0.228590863693434,-2.12496815677795,-1.65409002270205,-0.837200701265645,0.113914368912259,-0.684047159664502,-0.317658101691387,0.351465219374854,0.646397689246676,0.243430792094057,-0.292830296465292,-0.909824473614206,-0.353461188874669,1.36994911306112,3.34872470244238,5.06528895274585,8.6547279064593,12.2565799352058,15.9320582581784,19.3499682212465,22.7790420228284,21.2959618569024,3.84634051138425,2.1833753063188,2.37169609712637,3.04095071362935,3.69964923589383,3.79844438374869,3.87638010718409,4.28385424020056,2.8846920918196,2.42405351591457,0.818803924303379,21.7393867620673,42.693744090356,32.2121974185083,22.0767070252639,10.9779419859274,-0.0505360789606493,1.39945439740551,1.88598252695029,0.872322527765534,0.449228495759266,0.0756947355568323,-0.05753766650391482,0.020398810892513868,0.0031477916325979233,0.05840016808484466,-0.014015782426856145,-0.028537309041319577,0.011251747052678205,0.11485120436907222,0.0871928338166997,-0.03517598647406429,-0.07535205324692956,-0.08424196909319938,0.1043981325384293,0.22170652179289305,-0.6786636364498408,2.004141466728294,-1.0435323505814191,-0.20656002621242475,-0.04576382402983035,0.13564261508439138,0.0768923654458676,0.0837350029081944,-0.14522459645033814,-0.007969571303508447,0.08498276950324693,0.029740662373016778,0.030818160091675664,0.00030500716866065097,0.006043417170737327,0.04527634096044097,0.014513549427585126,0.05409022633401435,0.07305989977568163,-0.05934129900327682,-0.047450983507496006,0.1283130864267176,0.05167427155292143,-0.26696092131168486,0.16403063830394582,-0.17144861134548045,0.07577014799710774,-0.1098277715116078,0.014808504944749817,-0.07010227175124473,-2.347222222222222,2.2483969740118956
