,Cov_0,Cov_1,Cov_2,Cov_3,Cov_4,Cov_6,Cov_31,Cov_32,Cov_33,Cov_34,Cov_35,Cov_36,Cov_37,Cov_39,Cov_40,Cov_41,Cov_42,Cov_43,Cov_44,Cov_46,Cov_47,Cov_48,Cov_49,Cov_50,Cov_51,Cov_52,Cov_53,Cov_54,Cov_55,Cov_56,Cov_58,Cov_59,Cov_60,Cov_61,Cov_62,Cov_63,Cov_64,Cov_65,Cov_66,Cov_67,Cov_68,Cov_69,Cov_70,Cov_71,C_0,C_1,C_2,C_3,C_4,C_6,C_31,C_32,C_33,C_34,C_35,C_36,C_37,C_39,C_40,C_41,C_42,C_43,C_44,C_46,C_47,C_48,C_49,C_50,C_51,C_52,C_53,C_54,C_55,C_56,C_58,C_59,C_60,C_61,C_62,C_63,C_64,C_65,C_66,C_67,C_68,C_69,C_70,C_71,Mean,Std
0,45.6589857612825,36.5086225828703,25.9408454089241,21.4307683343503,16.8706815245506,11.8344192171607,1.82296363717634,-0.342296528632389,0.77681518251198,2.44828616621788,2.57792093777006,6.02949368999133,4.62453971781914,4.18273110485824,3.14202801802614,-0.643418166396567,-0.922838246969019,-0.986469827187396,-0.489961794679877,1.24952927239447,0.214265049065004,-0.605157589133405,-1.86886273722613,-5.12987972499434,-8.2768086157888,-5.86889861101839,0.344439969287271,1.33883310064235,2.21092678459551,2.25814735230665,-0.71073690828765,-1.77028093897361,0.723080383428148,3.00467731217789,2.35704521656666,1.59510766253498,0.184245438819,-0.339708357748035,-1.38029924987289,-5.15694189738916,-5.47014500597379,-2.76479460171454,-3.78489573612245,-6.09595090607727,0.3245956274404447,-0.3227688667460963,0.2348885850463709,0.06916193661724813,-0.027337579207275055,-0.06922554069738228,-0.030705878492112083,-0.022552014993255317,-0.03130255534635866,0.011056911695607408,-0.05342973372780523,-0.03795195804957736,0.007760666299422736,0.0387126864843696,-0.04622293731256819,0.041354460282045355,-0.02707736374751295,0.03250617589527554,0.015902126224177308,-0.019249040075481755,0.019453504368241312,-0.0226503607391194,-0.06548176613562529,0.12884742552295164,0.18717150339576671,0.09822552119019531,-0.10872214296751681,-0.04811648062265627,-0.041364562449756205,-0.008443697228356077,-0.031518081156942844,0.07496386516944487,0.012469158074303969,0.0038766515698288474,0.07198294915197573,0.015758137204060503,0.008677347767323415,-0.09629405433710625,-0.028643500265082222,-0.06334706839538616,0.09328512283529056,0.015395610523269711,-0.06682442939592562,0.036487991229031624,-2.4797420634920635,6.756403315469147
1,36.5086225828703,49.5408384346501,38.0347607112443,30.2137444286227,22.4582658386886,13.9958984483755,2.25348591450839,-0.853597015762536,0.475269707258758,2.43350361393028,4.69954961568236,7.59743696958851,7.05599119458588,7.6989106339932,6.11793326976199,0.219410086395823,0.0073415950917002,0.0561090360035277,0.574828866160056,2.29400464314889,-0.286876060851126,-1.99517861166534,-3.1836911848661,-5.22603040542443,-5.6088990687491,-4.10291544578799,1.04693568856703,1.62408648396114,2.36646624299345,2.30883995951845,0.607792658997283,-0.987825162584008,-0.229666176495916,0.229163255943934,-0.616991830499306,-1.73767177933811,-4.06127422459592,-6.29637200155726,-8.84666959384278,-13.5093690803318,-11.1973066411916,-5.63630222013248,-7.11417130859031,-9.76326192099638,-0.3259169854160248,1.4050490378562668,-1.2019815563007779,-0.38664613661954295,-0.02009934320944324,0.03561539393941803,0.06473975782726808,0.10160319679125744,0.05464438238116321,0.01127395880540527,0.08353651237116418,0.08896596372234408,-0.0017008894781242764,-0.013447812740992562,-0.08840493107447085,0.07386365392437845,0.11900636656884589,0.027997017279301012,-0.003991042910715861,0.028641628918015725,-0.27666249473499305,0.11185733374814671,0.1297415963818731,-0.2365708481491594,-0.1650531152875169,-0.22647208195176455,-0.06476653840263254,0.2632486645948584,0.13256739730755676,0.009387399221326982,-0.03429287463641192,-0.11514386166156856,-0.040223923774765476,0.011789435617419651,-0.08585608969196254,-0.01670248174124159,0.0044590813475250705,0.15079238597254324,0.15851997738390353,-0.0819933053777472,-0.10150178174392575,0.017677071586011554,0.004609006230402772,0.029897814408325833,-1.8680423280423286,7.037814890621246
2,25.9408454089241,38.0347607112443,30.4417758151898,24.3817486951526,18.3327850460953,11.5520411748152,2.41325499619636,-0.470166523571292,0.637081084805131,2.23636209415687,3.66436656465036,7.02779726609913,6.3096901299328,6.51100963243379,5.44534826979448,1.09948801413041,0.970705753693077,0.904800856687512,1.31668993012634,2.65928185857468,-1.02434994123471,-1.97826941012329,-2.77360019278711,-3.99173794953825,-4.39236878157925,-3.1069510240456,0.876686596392393,1.57004026822216,2.1241124863107,2.07679089839139,0.244754184456436,-0.708691053010235,0.402029462198805,1.11190177136501,0.732935420893401,0.135464074748917,-1.46756722504043,-3.10590067535995,-4.96274728006502,-9.12066354314663,-7.10716651769252,-2.55661799649198,-3.24053792778069,-4.84300175555705,0.2401275758354259,-1.220356102331865,2.7006411654541282,-1.568231948700993,-0.0008231306850069357,0.24519723631294307,-0.05925911196835954,-0.0617390837191424,-0.026934702292532073,-0.09727646530147628,-0.04796267438412483,-0.08980971823227016,0.029806570897653678,0.040759930941512326,-0.016206400976452925,0.11023979669331582,-0.07725900137394648,-0.02517354817195351,-0.021387258470736564,-0.14277261414748219,0.2556690126706088,-0.08584823528099927,-0.04490388057484849,0.2089167100973594,0.026523318536676666,0.22767345680784695,0.028454385740532506,-0.05661198298099861,-0.09888296949112431,-0.06906547025455907,-0.11384711375131372,0.1331206246208412,0.08364627469093494,-0.009860523010450173,-0.009028942001748941,0.019996725758938416,-0.006991399095611174,-0.0819472898601848,-0.11220836699071673,0.02144516130224499,0.10045137087948795,-0.086284687760135,0.012534647169378426,0.028147148682914104,-2.1526322751322753,5.516500323138742
3,21.4307683343503,30.2137444286227,24.3817486951526,20.0487984791618,15.5974312729053,10.3647925390595,2.5544600555997,-0.0603303174347968,0.831185757732515,2.12010797025948,3.10190420811382,6.36193797878555,5.49026354149651,5.52338125212615,4.86084207235692,1.52810707185361,1.46518106137283,1.32090614476705,1.50384988002236,2.46623103716677,-0.6916320496126,-1.68466616038516,-2.58013630401212,-3.18194063810391,-3.77699376241448,-2.57019518363542,0.640847760680395,1.13899331420058,1.34761872156143,1.05671886052115,-0.433613415349175,-0.77927310516688,-0.0698351275264661,0.31624173033835,0.319754533643799,0.151370040154734,-0.916649084075397,-2.29099829271945,-3.83517318480803,-7.5737239717496,-6.08998865079697,-2.41176274010585,-1.70584243119558,-1.82419501832841,0.059211571977459306,-0.37763468792484434,-1.5792108321781027,3.9716613168148496,-1.4638272330558149,-0.22698843776283753,0.023438749706524785,0.025340170717099667,0.00107127347610403,-0.03133268170946012,-0.05933188371751834,-0.018193550869287964,-0.034581179631791775,-0.030831399493920112,-0.0365499131746609,-0.026618551814960707,-0.04653204418832776,-0.05293843694267889,-0.020455348606196796,0.024968546928018448,0.04567006267163445,0.049094987160254365,-0.07674653780120062,0.08716694576332891,0.064280322237801,0.18723652496340848,-0.014006283955363128,-0.35698774259184574,-0.06174350140515287,0.10861606471569764,0.027027009881910976,0.04130736199669838,0.018979522752961057,-0.015087986310485864,0.008325908151650201,0.009412121099260122,-0.004551213915332469,-0.054523989033849835,-0.10604427745235336,0.1442113790477408,0.02179961150639569,-0.03704939908186967,0.017647873966881632,-0.026276627577800245,-2.091666666666667,4.476471655127706
4,16.8706815245506,22.4582658386886,18.3327850460953,15.5974312729053,12.9188301631104,9.31231642456713,2.92052550437873,0.449576768808236,1.01828835627178,1.88100203294183,2.57296415601396,5.83453559595096,4.76307874383053,4.49110683880439,4.29594214526215,1.98594112257562,1.97918668863609,1.72632391903219,1.66261188011857,2.1707279127044,-0.419498709272136,-1.37643775144854,-2.31175977449473,-2.33574910498429,-3.45302379882094,-2.52078863959508,-0.327670854757932,-0.236443554311065,-0.0879384246092568,-0.306573019365885,-1.18194475029619,-0.904758274658851,-0.509490782503463,-0.366349434503985,0.0210610439283124,0.274413079485581,-0.243420204270939,-1.28323331292397,-2.49023626621183,-5.65429611920254,-4.56187884375204,-1.70326296432587,0.272839462077001,1.54790762724358,-0.03793617288635057,0.021540736837210243,0.002271459765033589,-1.5116731802984473,3.079093835429394,-1.2614667631143488,-0.04442375807647147,0.053368261906964254,0.019802928824567783,0.012745615275145589,-0.04278001070499452,0.014252580892718454,-0.09764711076456177,-0.09492102215497783,-0.1290178679460646,-0.13165074506310095,-0.06292189102931559,-0.06642386585299095,0.03396599798420053,0.23374967451337403,-0.03600854365679229,-0.007627012815709605,-0.05852060055219813,0.04419657889544136,0.05098125871799088,0.055155353188563135,0.025167930152681647,-0.05102388289705796,-0.025413043725390105,-0.04744490685875946,0.1937572919304881,0.027895891125530228,0.011634965209244957,-0.04247867245763056,0.1055979478393857,0.03278838425285137,0.022580014338050892,-0.12776843755618647,-0.1654687357473307,0.26267618022245964,-0.0005424711476780499,-0.13576798352068267,0.10360206585110235,-0.051123158436347745,-2.1001455026455025,3.5928860492799335
6,11.8344192171607,13.9958984483755,11.5520411748152,10.3647925390595,9.31231642456713,7.76469699365485,3.08149101672949,1.13805188186449,1.41332577728076,1.84289116413712,2.12222818515196,4.96549430884687,3.7178737437072,3.19822616705606,3.42004352476471,2.16988606640352,2.2872807468507,2.07394759968101,1.8705826029263,2.04426205362747,0.0659678888953403,-0.842331780483913,-1.76531259846727,-1.05935895868469,-2.56823640370414,-2.08753896375444,-0.992176098130266,-1.34505715080467,-1.24056413034605,-1.37675474552846,-1.47636510719921,-0.683439424761223,-0.862619090222057,-1.20351024861785,-0.517663106627292,0.120390456735732,0.228496327149902,-0.451421973076054,-1.43933465072424,-3.95113907981728,-4.01624561738969,-2.66990135597616,0.744524247827471,3.58597735424214,-0.06568847919709625,0.022981685740522454,0.2076097793521025,-0.24655194648264614,-1.2554385239751753,1.8454952857476767,-0.12599482228729422,0.016586693845798,0.030204599388823028,0.07077548787083351,-0.0035585006009616984,-0.028615044437798533,-0.011497273034329913,-0.10315232990271228,0.2164013878850846,-0.12721616805775368,-0.023542922259032435,0.024897669333799805,0.04991451808313714,-0.1178930389321825,0.0017793612195118737,0.030066063839191987,0.003467260226846141,-0.11464846294032668,0.08874560503439972,0.011792047899977346,-0.07953065887306364,0.22449306754111964,-0.004017303883241561,-0.06190373165218811,0.06940234813032398,-0.06253917848301431,-0.02876103893080926,-0.012169977072977739,0.043816343355811936,0.06971194564414873,0.0056320776254724135,-0.05371421673132243,0.03373308526157948,-0.16221464280146897,0.06433312865202158,0.18070810848926633,0.010924756279677832,-0.13130711950887491,-1.9697354497354496,2.784725658598141
31,1.82296363717634,2.25348591450839,2.41325499619636,2.5544600555997,2.92052550437873,3.08149101672949,3.96388785284229,2.13778323169731,2.03550208752116,1.96901456225456,1.78706060865027,3.59782140937913,2.41233076500602,2.14737118050404,2.50326817191797,1.60087637825164,1.68632297204007,1.45484211934617,1.06644162319477,0.979920136559429,-0.751447451864587,-1.18396075954869,-1.27166048352298,1.27816201925935,-0.322590724297281,-0.378693880781673,-0.94425626658048,-1.72674580480174,-1.53008025327901,-1.51620835726754,-0.308683285691838,0.797421416911877,-0.437013577200298,-1.80739628722459,-0.389688492715676,1.09463423803146,1.8266612135504,1.29175748151695,0.562645832209759,-0.488504874683554,-0.753052596084554,0.364790020794029,4.19159525013141,7.28667540854567,-0.03457525533681601,0.06766977571770305,-0.06952917201005669,-0.0033891807281750006,-0.05522084774333158,-0.13456810298441868,0.9961296955812289,-0.1504988808981853,-0.03234539259974014,-0.10138391825998735,0.07303136798087363,-0.02237744703545797,0.012129904915588043,0.008464407124231894,-0.16596527994345286,-0.0846234400762961,-0.14627718957746697,0.031152301694623345,0.12936205015282376,0.054893655550959604,0.18179719824564883,-0.12228532370830447,0.028521753416236275,-0.10365404191981493,-0.009449981162738116,-0.1172602915460162,-0.02802575903259104,0.22280759845863182,0.006029589230150268,-0.11725782103171219,0.03566115624577306,-0.00811616459901673,0.013558246033590843,0.08234280641272844,-0.09707285843271422,-0.026300422169810878,-0.013786371413174512,0.010537919964094006,-0.049116103458892946,0.13289254918747007,-0.05013758580893366,0.010267800675300408,0.07259736399720486,-0.08708178477934823,-1.5307142857142857,1.9884385464082834
32,-0.342296528632389,-0.853597015762536,-0.470166523571292,-0.0603303174347968,0.449576768808236,1.13805188186449,2.13778323169731,5.337445460943,3.76684872771896,2.27009892604982,4.76467890340348,0.548628647048403,1.10518732049217,3.18922424416846,3.09232213516814,1.15652329494225,1.8573615648014,2.36414233003757,2.57581766559348,3.16683158430769,1.78059152502498,0.364766443241201,-0.328300993726485,3.33863968062706,1.47180377003112,0.29722742785348,-0.951191222055099,-2.03116292363769,-2.64123209100719,-3.50472297507732,-0.933045958828671,0.593092918078179,-2.25285063668413,-5.30828510640434,-3.06292090185961,-0.635814183501548,2.16402817633135,2.65886622536157,2.60005100480186,2.61213667538019,2.66099637644369,0.29224172157251,1.95717155584237,4.64840072279359,-0.023018261567720192,0.09484490190569386,-0.13417732395065704,0.022499361422331964,0.08103972010917543,0.019786620004467154,-0.15546466086645536,1.7346035867570266,-1.3118471316011713,0.6290446061685966,-0.03911427346317496,0.02595249215095642,-0.11555565850553846,-0.20375622267515825,-0.4334733083586417,0.430963765562335,-0.06683642534967575,-0.11978463951249338,-0.054733364341606194,-0.013526622779511012,-0.12595482075448236,0.07466521846843538,-0.05188946485138347,-0.2601676643763154,0.16377277173243193,0.11743503311799744,-0.24600386633937435,0.10790183968098703,0.03426244480824128,0.0174643058172442,-0.012372891259082634,-0.034604929289596166,0.02070964079450879,0.052192741814801845,-0.03148735802288195,0.020474460300822683,-0.004333180482362704,0.005777164160088669,0.00032013857652377764,-0.04914890083665666,-0.07620946925406948,0.028204907510950616,0.19864977833759806,-0.11151624808934987,-0.32857142857142857,2.3081259629714745
33,0.77681518251198,0.475269707258758,0.637081084805131,0.831185757732515,1.01828835627178,1.41332577728076,2.03550208752116,3.76684872771896,4.34409961685824,4.79383204798674,5.29344714409011,0.0786786073208402,0.165294859070041,2.18339111920579,1.9841910206503,1.18849581556056,1.5032673515799,1.7613666324451,1.57253146089102,2.09602070206573,0.759578928616276,-0.13016251129219,-0.513122476589093,3.72950039615478,0.441066813838335,-0.778551097944235,-1.20372044355245,-1.47367636086895,-1.71788502157251,-2.42433574988348,-0.392950801224485,-0.517717019742913,-4.98805907550175,-9.52515167174478,-8.68741743488737,-7.40172399330261,-6.07570348641873,-7.01636804715241,-8.21158621042914,-8.47345433119838,-9.28465833220745,-11.0377655818074,-8.9013141610591,-6.29204600596199,-0.04676549783599476,0.10363625943044094,-0.02670091296697575,0.0014492668288067585,0.011152197583424216,0.010526826153244422,-0.038479791556272756,-1.3161313453822863,3.8990082217017523,-1.537131431773459,-0.11904361090559,0.019783701690120312,-0.022385881402130884,-0.22647104960337924,-0.08176549344766752,0.029123345014588697,0.015778005982072907,-0.11616749090325941,-0.020223193140802582,-0.04164346811047237,0.08438560369108876,0.06893640906225365,-0.21037756394244214,-0.21940284313035713,0.06682254023999779,0.081326743484508,-0.02846360692389093,0.10176342008960895,-0.006908214768320825,-0.07001028567049639,-0.1385722216679339,0.023437291067011437,0.16796217219705714,0.054994112856518625,0.03007692017753328,-0.033748788677412114,-0.022943048235213682,-0.00813654741496679,-0.010291713047791575,-0.0993376665074858,-0.013550724675945723,0.12423915114530132,0.12163753293047615,-0.15551249034524242,-0.3666666666666666,2.0818500466792123
34,2.44828616621788,2.43350361393028,2.23636209415687,2.12010797025948,1.88100203294183,1.84289116413712,1.96901456225456,2.27009892604982,4.79383204798674,7.26363984674329,5.74402235015755,-0.490076441795094,-0.742108690217518,1.26931147812452,0.958351477882144,1.19245891809898,1.13375140188267,1.16143242613674,0.616131682108131,1.0778556836664,-0.16409953534483,-0.580038865496866,-0.748394372284608,3.89415004305498,-0.960301557295788,-2.02938534043072,-1.46832810953929,-0.943887004994843,-0.874440559783458,-1.44983396129413,0.0099232440909877,-1.63504905333005,-7.50483321574513,-13.3055333802359,-13.7765705830384,-13.6331350632406,-13.8353650058631,-16.2431892322385,-18.658557712467,-19.2689928287639,-20.7027281365801,-21.6101963703603,-19.1480533560242,-16.7518827305821,0.015703244567493523,0.009666643237028956,-0.08784142559768301,-0.02881717825062378,0.011980366694638374,0.08942486999001985,-0.09507226872651126,0.6419856101746079,-1.5293532396593303,1.5355677175078275,-0.16719402441548217,-0.042287921444899554,0.09448871556429875,-0.0008315509200430532,0.15579304974764702,-0.1899040155213043,0.17082147051980306,0.03466307062572931,0.05415438066366411,-0.04503044843071906,0.1261043773770217,-0.0933980250851142,-0.08757001126949077,-0.10990063826616872,0.24049968697336524,0.033222293697089685,-0.1326007835118435,-0.04611182878705967,-0.0686603949316868,0.03136977102763618,-0.06393084524032999,0.027878254348958652,0.06441604783250601,0.07419414758438334,0.09168188344112285,-0.033697859693620304,-0.1006537987825539,0.018238102280478233,-0.011465626408973341,-0.009584391697259437,0.019276251042649236,0.07582943944093888,0.021518074288119582,-0.0965414587728229,-0.46666666666666656,2.693258221326595
