,Cov_0,Cov_1,Cov_2,Cov_3,Cov_4,Cov_5,Cov_6,Cov_30,Cov_31,Cov_32,Cov_33,Cov_34,Cov_35,Cov_36,Cov_37,Cov_38,Cov_39,Cov_40,Cov_41,Cov_42,Cov_43,Cov_44,Cov_45,Cov_46,Cov_47,Cov_48,Cov_49,Cov_50,Cov_51,Cov_52,Cov_53,Cov_54,Cov_55,Cov_56,Cov_57,Cov_58,Cov_59,Cov_60,Cov_61,Cov_62,Cov_63,Cov_64,Cov_65,Cov_66,Cov_67,Cov_68,Cov_69,Cov_70,Cov_71,C_0,C_1,C_2,C_3,C_4,C_5,C_6,C_30,C_31,C_32,C_33,C_34,C_35,C_36,C_37,C_38,C_39,C_40,C_41,C_42,C_43,C_44,C_45,C_46,C_47,C_48,C_49,C_50,C_51,C_52,C_53,C_54,C_55,C_56,C_57,C_58,C_59,C_60,C_61,C_62,C_63,C_64,C_65,C_66,C_67,C_68,C_69,C_70,C_71,Mean,Std
0,692.38936873847,971.271499380444,717.564985896556,604.628823016284,461.674316913743,434.006575624574,214.975764967569,-13.1469224533892,17.6993270455455,6.44547702272289,15.3456529966062,-1.87358999102559,16.1504713801402,0.371521168799256,143.535556263251,22.9365230734122,11.9963300666203,25.5901069503981,8.73857694952119,-22.6153674948755,-6.56932690553113,-8.37402392276561,45.7656464768888,-30.4884692404222,22.0829636707269,-34.6166352716117,-16.07606824621,16.5547529295512,-45.7875047278852,-12.4339164397789,-29.262321260178,-47.7364251019146,-0.905226983105239,38.636003777508,42.1549793145166,8.79301603111486,9.79577676848053,-75.166348157411,65.8027385616928,240.327014535203,265.817892248441,135.23815600105,-52.4076143811396,-28.0489412360329,-60.7575786262367,82.7386702190579,3.26659248330442,-49.3824765612093,-56.9092679201712,0.4028856804247477,-0.0846043164758389,-0.13848836214361407,0.027279071541655795,0.10418129822739577,-0.15525363773547388,0.2012138672936142,-0.008085858870881493,-0.024124706553185205,-0.20570095448929757,0.005821406598926615,-0.07388111201368798,-0.2077654058631028,0.09704397224264004,-0.10427228354186317,-0.47955891323311056,-0.0008024066839272664,-0.07409609092920955,0.10819394037073567,-0.08814257679470931,-0.13237914519127095,0.08614600542715845,-0.013660931031867605,0.015358158591012576,0.043035120799975346,0.012492890422443144,0.15023255830760288,-0.1410313914029583,0.0967370465794283,-0.28484403582879203,-0.15593917904385254,-0.07029155248630693,0.03415269169774222,0.011423089996080896,-0.13948794066226392,-0.03911712470428289,-0.0857000144033808,0.19019976318990744,-0.02869416658049965,-0.03137450247605232,-0.26256652164327193,0.012214476684687668,0.02832160937311288,-0.03903549360769374,-0.08633738212192278,-0.07098923872076282,0.19090547436261188,-0.26139126612983016,0.1134891762156191,16.1587037037037,26.313102605707112
1,971.271499380444,2203.35077200404,1551.29728397194,1390.69568555693,1050.29627545287,832.452673915244,416.315528943409,-11.7173000927876,27.777118863883,1.65069526992609,24.907937217405,-3.57121278951913,19.763999143468,-15.3624526282979,173.897757269643,33.7791197455754,27.257239672472,34.9390974033169,9.40929126304907,-47.3398072509199,-17.5181194073792,-19.860700794147,86.8823468497626,-25.4022915145416,13.084658740671,-45.6105726530499,-12.4589280980878,-69.0740779805379,-63.247712245098,-55.0197440459415,-64.2193830482486,-89.7265570615231,-5.76601636198184,45.8017416632616,29.9699309928202,112.289308738737,-43.9121775225523,-141.123990312044,119.07273785979,395.793485789035,294.204833337175,55.7356244814309,-123.435952290795,-182.01589712108,-103.469330264759,22.7073449281692,74.6517397668042,-120.201053992868,-104.143546858716,-0.08399313507390065,0.12028164114152248,-0.007824278244247423,-0.014827117979705725,0.029937519029126173,-0.01781301703030392,-0.07206596571765814,0.06934753829473313,-0.007891336918165048,0.12072560904381728,-0.1856370309951392,0.07954374840243111,-0.01216486773171708,-0.031644408402874684,0.0023198768296319628,0.21481099204743864,-0.014689225368427731,-0.010951042330429296,0.021426628698074365,0.04561416375054326,0.025758168388993814,0.062323102773826196,0.028765999770522,-0.15427313933380885,-0.049744964580168784,-0.0632275572442887,0.01649999977106805,0.007601418456239608,0.12978093647178662,0.016873986365044204,0.05868403107529018,0.06349921997932026,0.03390577016175831,-0.06976997726860569,0.04250539829466144,-0.09927125668861407,0.0020373975540462475,0.047550510449552434,-0.0716700930181286,-0.18379137766947154,0.09675691568174082,0.06145544816424101,0.06189834809744237,0.03503026675740053,-0.05325549836755902,0.057696991404681354,-0.07684689849750266,0.05482296658006355,-0.02068670748469224,21.981944444444444,46.9397568379305
2,717.564985896556,1551.29728397194,1652.21565244962,1371.02008958647,1030.63877340355,776.713626316326,333.536460283316,-3.14207784048723,27.0619228604458,1.45069737245717,3.62561325223019,-0.93931381931917,17.3671257886594,-15.5852736190797,32.4521495031046,35.2535398073082,8.88834733390495,22.6443218537827,-8.3481182044755,-53.8207533629602,-1.51219233786305,-6.08869411356594,96.0193882092983,-51.9696126763168,-19.9722037644032,-39.1845435496012,8.9610549113527,-69.2940244753636,-41.2454712859904,-29.8319090637604,-34.4324230530986,-70.8573623493448,-7.10271319344693,31.5733191735209,-10.3676057570033,93.7968740324448,-90.2975445891382,-76.2762819108864,79.8061442769224,298.663465790709,180.976777992805,19.5024415476657,-103.127552866475,-201.68012130978,-82.5616426688076,46.7616779888825,48.3268560400987,-159.849048729607,-69.0055548253141,-0.13884294346588483,-0.009298121792666912,0.32664385257372425,-0.1587705990360649,-0.04080332562864648,-0.19723558090616722,0.04991431764976925,-0.11219292687846327,-0.05629547664512521,0.007612418262524458,0.05575482972635825,-0.01868940056163497,-0.07273359038517707,-0.1972146891556944,0.011723818564138651,0.07713139826822105,0.061779044757154976,0.03271893121664868,0.06205302560447524,0.1252478455912535,-0.04817352225911397,-0.18216345905634637,-0.21899044748411942,-0.04179061081585809,0.06977061403412464,-0.059602750884925684,0.015332267013900822,0.067051373076946,-0.031118025931273028,0.35467750672377607,0.2084665611668783,0.07124208344660556,0.14072729087844218,0.08332076091721137,0.3450939631146265,0.03738277833101305,0.1141960359707167,-0.3157655929760136,0.022546354530632307,0.08876899228723723,0.15724598430802503,-0.12332741584908621,-0.07139193024947522,0.08160011050998418,0.10155591593570358,-0.08784437786406515,0.04290589404389806,0.030700953817216804,-0.04376119377981661,16.332870370370372,40.647332660946205
3,604.628823016284,1390.69568555693,1371.02008958647,1443.00480442919,982.29085743337,661.749634446818,365.751597444266,-4.0136486889099,12.89757923988,5.89523407067901,0.825982871613964,-6.68488359107086,12.3233895189903,-22.1164032702472,41.7167551326595,27.7231054167917,13.1611138817733,26.6993056731403,-2.73341134380759,-32.5872028205912,-15.9583760134268,-15.7157712462326,76.7304233414795,-44.5088074329855,3.4455240639311,-31.1948537712977,17.9228637262845,-64.0926855904892,-31.4412971512509,-25.2711094109961,-16.0044332540323,-51.3969078309198,7.24001755146236,-0.578381200831407,14.0287297543757,85.9621702673378,-73.3652644865476,-93.2842234978887,94.4462258912502,329.417437873206,229.172603321691,49.7874644210445,-62.9496949615094,-147.509974978659,-59.3716876620762,59.1843631745606,78.7697892462245,-102.903829737822,-41.2261213722068,0.02880808032585932,-0.013427270280785095,-0.16286140292761206,0.19742293144296053,-0.07852951713944119,0.14150337167196259,-0.044442124018608566,0.012681373509377689,-0.011647259401380818,-0.08176471312452786,0.13058534419251144,0.17346456917621997,0.08010474029471662,0.143514989728035,-0.014157654539304329,0.07753687467984721,-0.05390596757552744,-0.04019728770634151,-0.03727225402467387,-0.05702861745548181,0.10881409031044942,0.03707216663684877,0.17136204512265574,0.0007835356025097832,0.00316037745952638,0.0682561661548347,-0.15905916150028446,0.0008380868103275775,-0.02721124979841256,-0.07565200661460307,-0.2951077399306491,0.023477212472192185,-0.1810432957669182,0.041355069944127666,-0.2649851930292062,0.023936161059060275,-0.03896305668316798,0.14113811267603504,0.003930812753520581,-0.12840043886709304,-0.005432965009504431,0.05899997242320869,0.03258375563003054,-0.01558072487772203,-0.08158965372417062,0.025874013011266572,0.016006439844485992,0.012428750730993742,0.015177088947143716,10.909351851851852,37.986771439926166
4,461.674316913743,1050.29627545287,1030.63877340355,982.29085743337,876.560085000709,564.099441282287,326.30527633292,-1.70745994397483,20.664765073812,9.30669314796531,6.99922556321838,0.908448863657811,10.2919809750655,-7.76856049699119,-7.47217912349896,27.8023042355337,12.4995609631631,16.6146374511636,-7.37166839958216,-28.972485256804,-7.6246626055742,1.31673270687109,92.7385969225468,-15.1604576123341,15.5171903207823,-2.69670475257719,9.32932956520455,-9.461285965038,1.38360304270684,-2.76368338408965,-15.9998794261586,-42.5120973877304,12.0166908682006,53.4006084396205,9.81870023249482,103.232506943288,-38.7202716563975,-37.8912938680986,59.4729592196292,225.699611665597,154.892725508228,15.6170195382543,-62.8016580078918,-43.616521926625,-20.1543660028736,8.04206376529001,28.4538179543316,-55.1960081575275,-63.3514393962865,0.11355746295203259,0.026515540424431244,-0.03789320260852093,-0.08361335018422451,0.3245283073338764,-0.12678985053664552,-0.0055905923253497854,0.2596682191194865,-0.06270487479525287,-0.13398889503590383,-0.2853641026335963,-0.17457214877075672,0.049496807308415276,-0.07576767201263379,0.0009171290020475849,-0.21860352998423396,-0.002399058011254216,-0.01692333684682473,0.22552114445441834,0.05013699500815118,-0.13829939350353165,0.06874144222896109,-0.24480278225722463,0.12251341425283298,-0.0547812662063618,-0.1530247221197642,0.027421377905872533,-0.09024430313998358,0.03944242808392125,-0.08495293976807118,0.08513619807570362,-0.018463694705925265,0.06330543996922237,-0.24132269229258888,0.017877587582124425,-0.17068906353054117,0.0938186540512181,0.11418645424207637,-0.12111493773614544,-0.27878736682017985,-0.0401308758139509,0.1461558262265707,0.05504219965213133,0.028775863147980765,-0.020463343595351298,-0.00691778185880554,-0.02854488056866898,-0.1316444740532482,0.1331239574504433,6.4040740740740745,29.606588540402786
5,434.006575624574,832.452673915244,776.713626316326,661.749634446818,564.099441282287,518.692458195275,255.155835213549,-6.45317301086572,9.1135176423156,0.837357815745775,1.14845764818224,-1.81507927652937,1.77055050456031,-13.0439100940408,15.6411394594832,16.9774816393363,-0.418557532960906,13.8856343711335,-1.82843349868391,-31.9533704218853,-4.91783367537585,-12.1933765420675,46.4550881462326,-35.8620440960757,1.76650577206294,-24.9957227692929,2.40902908833333,-34.8280626107558,-12.2159857238269,-5.16777717893724,-20.6279534179349,-35.3921738492228,-6.15784534525674,29.99899682206,23.420805948839,43.7356692574544,-26.4813548727712,-63.1287585068086,23.9050558913048,159.546631364353,131.098612478717,18.5475116852948,-69.7349430211126,-75.9765835178227,-53.4240606970338,-24.3561438909321,-16.7763904610975,-69.7496239958058,-69.4425028304397,-0.16836860759258251,-0.012754917378482191,-0.197173244693154,0.14699894971345634,-0.12842498208259953,0.6724287265191153,-0.32113629586120496,-0.0391423081350175,0.11225271916428389,0.044864844969303506,0.21865233672899143,-0.03915020112211475,0.28637028333382253,0.21255772257873115,0.1861343477572357,0.06524797110004352,0.1501781754173246,-0.02609007638429603,-0.12763141382381332,0.2339383822262894,0.13358204187953027,0.011586144046976303,0.1842789643941459,0.20761437453876516,-0.0965210936525486,0.09261866199314674,-0.14523096515171446,0.10273774334388079,-0.19701634107452262,-0.021319055972640735,0.09289587870275168,-0.22499718281002726,-0.29084062247483855,-0.15338664676050315,-0.4776742366160288,0.07361068144083822,-0.001808450300413849,0.20901239126561563,0.26061720336122846,0.07862540451059699,-0.06540517122811515,0.1154340939626626,0.16954646491632722,-0.1367708736473443,0.12395966066868966,0.08702561262346793,-0.17976760561724187,0.3006583805863793,-0.14311129685238347,6.342678571428573,22.77460116435138
6,214.975764967569,416.315528943409,333.536460283316,365.751597444266,326.30527633292,255.155835213549,822.611446850167,2.23946193944994,3.41094638277712,-0.107112708096229,-3.26562909358877,2.58347186053483,4.38571460755261,-1.09057577443254,4.98344383835766,14.840389437671,0.525975631935535,11.5100659946851,-4.58604750205996,-9.70384366088682,-7.09053710064763,19.762457321823,30.0232054947628,30.1554240995767,-18.6013867152406,-6.88372462992203,2.18046405771922,-23.631443871117,2.12362002911819,-9.19231385352674,1.04859192679514,26.471957520522,-2.20351807127104,-8.28613700569317,-11.752790563821,21.2640606372607,27.023361227554,62.244869198646,191.643769300324,355.819937600699,420.741402711619,408.430014334434,256.265109575547,227.089507024029,-59.0648928914481,-38.4039615063058,-55.6088406725764,331.497427959837,247.355585011759,0.21094009699733088,-0.0733803907770448,0.05183744339664522,-0.04906746626704064,-0.005048010828466283,-0.3253947702875864,0.47804455880729024,-0.3287800549530287,-0.05310644975291957,0.05981289435381817,0.07756826032657467,0.024236729735194744,0.01013549499790013,0.008518509918466368,-0.13296679482038457,-0.1955597371767973,-0.0810599012809854,-0.22427182700519524,-0.02782105052728557,-0.06066255100296964,-0.05131945011412336,0.09676110072879396,-0.17274977759466092,0.013824152059983679,0.2288491076734519,-0.08499564270105792,0.20105244056739432,-0.08878486242219787,-0.007782475743080573,-0.2457765538238542,-0.11336505360108957,0.10366839294476367,-0.0021345846855432755,0.23639138809534657,0.24020248109298983,0.08791191703368868,-0.05273682565060715,-0.16326959445749875,-0.0632334859691372,0.0038960743557545367,-0.20080176127797963,-0.1558492404086961,-0.1406168809381774,0.08140901676549343,-0.1002954636295821,0.07052669802919156,0.22576465492252593,-0.371338339573151,0.10554119453042902,7.713564814814815,28.68102938965348
30,-13.1469224533892,-11.7173000927876,-3.14207784048723,-4.0136486889099,-1.70745994397483,-6.45317301086572,2.23946193944994,3.8248892724741,-0.557391601870341,0.342149397437506,0.328303954131932,-0.501965276648341,-0.279565586647274,1.4823330058616,-12.0576673253859,1.0556652447337,0.614316857576375,-0.778994019769959,-0.412324518920758,0.129633978105222,-1.07512065040375,0.616807816762348,0.679937361832501,1.31724237130674,-0.795309801048655,1.94391334368609,1.12314149234352,-1.87242076888169,-0.0632292471968915,1.57385746682521,2.43790561766651,1.53497113187429,0.140988706529587,-2.8019728661807,-4.70711556006445,4.7334428890042,0.0007490137635388,1.78266017639462,-0.46503597938758,-3.84016732917537,-6.57930763523194,-4.96704406069988,2.03535848386254,2.62630155300141,1.45213317752752,0.614348445247137,1.11483723948359,2.24187943626292,-2.62682017204609,-0.002349643668743863,0.06909990166675443,-0.13026500372758235,0.00887270188550969,0.23929997025164096,-0.055828128427820874,-0.3428505267968469,3.212660608395477,-0.023085422737685487,-0.022751843738668676,-0.27908055094706874,0.2795157472406851,0.013280308210041399,-0.611612068216267,0.05950594505293916,-0.3494989076988438,-0.32442112540231877,0.27268631836639384,-0.11598719566555828,-0.0015376262767667714,0.3473726316443733,-0.06848594768338366,0.17734584954329732,-0.0841338861523721,0.1020038450420453,-0.5376408319501024,-0.4158141007749162,0.03705660850072953,-0.016051452313359665,0.03594961334636537,-0.29179072231497677,-0.10059750752200633,-0.13746861889152118,-0.21356309774870896,0.1623433412214061,-0.31577672808254487,0.0685221678902854,0.19985796195691227,-0.3379456077422598,0.21026446486017192,-0.26885981793682995,0.5291011826242287,-0.19543420996508534,-0.013969431408679896,0.20916499581187362,-0.2510441637051936,-0.2759802634931738,0.11883436547586952,0.32043136565211183,-1.6149537037037038,1.9531741531348663
31,17.6993270455455,27.777118863883,27.0619228604458,12.89757923988,20.664765073812,9.1135176423156,3.41094638277712,-0.557391601870341,7.47571130667305,0.849615174030668,1.16211244967614,0.627967546146309,1.0723860984212,-0.484096336602099,24.950688911418,1.72971051062882,2.39184758065481,-0.456824560192044,-0.214283230629287,-0.835609630220379,1.13258750771831,0.726017776869584,3.66551217200794,2.88770024283556,1.1381807015306,2.99311580165832,-3.52193650905921,-0.174386048129878,1.90068890163793,0.406780823948866,-2.83903477005035,-3.02546064768218,0.400471181276551,14.6862879562803,-0.465902476645905,-1.89955893786123,-0.166695594206069,2.38997108924072,-0.0392343642949917,-1.22688747706892,-1.20986299816051,-1.21566345031139,-7.75192023747987,0.103969686854285,-5.83320093755767,-15.3125895338593,-21.9421145170192,-21.2757243756718,-23.4806662022504,-0.022866405444978557,-0.006550538906308763,-0.06586762586988437,0.002568243994392787,-0.06495066828250406,0.09728683585193558,-0.03560553177593692,-0.021825483302096573,3.7748437274178492,-0.039286934366328415,0.061845078118762616,-0.6020861975323687,-0.0644873684241328,-0.061755470669818284,-0.12079335170254216,-0.30396434714672205,-0.7622585337903012,-0.03603802577457745,-0.18516089937644237,-0.07292826447213993,0.21530105328989996,0.13847111959530842,-0.02147748654064382,-0.2918549483773772,0.376843090211711,0.011919864087154383,0.06731629963180556,-0.05202149486756404,-0.11644426232290801,-0.15386496711971953,-0.010594373565003718,0.0526036884781595,0.05920652318110907,-0.772302999381865,0.3973205379079513,0.5741310952451639,-0.43274826473516964,-0.01414766531457566,0.12245455669194039,-0.3971794020791742,0.3573087553258568,0.14665990941536292,-0.023742706480388866,-0.19821667189829462,0.10799549270547629,-0.04098822516948718,0.24174801108374408,0.2931039609772643,-0.24339442967446562,-1.0756944444444443,2.732345385684806
32,6.44547702272289,1.65069526992609,1.45069737245717,5.89523407067901,9.30669314796531,0.837357815745775,-0.107112708096229,0.342149397437506,0.849615174030668,4.67300287356322,0.3838717993783,0.124093295947086,0.429462521580971,-0.0075068695159907,-1.84890396076975,-1.76852836568701,1.61182699712716,0.626637363121961,-0.607913288642836,1.09766580468563,-1.24765573315727,5.93337855798392,10.9120178715938,16.360157727896,22.3053296911102,22.1855252554187,4.92898763300662,2.68896401482473,20.1208445573597,2.9373569629723,-1.2720754892194,1.44400991143262,2.78054574979476,0.544622118685461,5.42269025363263,11.6937598647132,14.8269086323889,17.7442478010473,5.49383714350212,6.78047454913963,7.63240419421485,14.4765588323947,-0.197685182633556,55.5324873845673,19.0906284287102,2.41903706720172,-4.26382144351636,-1.54027346178474,-4.84109198565504,-0.2072917169541377,0.12479943344832783,0.009998923411091657,-0.0894185491213442,-0.12032708412088966,0.06043502087892712,0.05757769463751661,-0.025782015081762942,-0.035855149039412955,5.052367368496307,0.008405143760321768,0.02805578137058859,0.1437879931626756,0.06444217880055729,-0.08585900003052836,-0.20560498614206513,-0.019842053039375026,-0.018648659521906724,0.25751460999212955,0.07678897036044366,0.5287074561386054,0.03017721969481539,0.44323738067477825,-0.5217233453474834,-0.41877711219324515,-0.12746389546600834,-0.0830747362144024,-0.07571230195219347,-0.1117638737527308,-0.5053846538735762,0.5895528047266615,-0.02621133247881484,0.16141340630880407,0.04578176879375996,0.19885061548455032,-0.11101834926306732,-0.20029828904088262,-0.008075322830416991,0.05878993522076928,-0.030857196188154447,0.20105266250169174,0.001093448105943668,-0.2101818174460588,0.023339899718181747,0.1291256598472252,-0.11264440363558946,0.0245410487387626,-0.1397710648259738,0.09072062810882771,-0.15833333333333338,2.1593987296382333
