,Cov_0,Cov_1,Cov_2,Cov_5,Cov_6,Cov_7,Cov_8,Cov_9,Cov_34,Cov_35,Cov_36,Cov_37,Cov_39,Cov_40,Cov_41,Cov_43,Cov_44,Cov_45,Cov_46,Cov_47,Cov_48,Cov_49,Cov_50,Cov_51,Cov_52,Cov_53,Cov_54,Cov_55,Cov_56,Cov_57,Cov_58,Cov_59,Cov_60,Cov_61,Cov_62,Cov_63,Cov_64,Cov_65,Cov_66,Cov_67,Cov_68,Cov_69,Cov_70,Cov_71,C_0,C_1,C_2,C_5,C_6,C_7,C_8,C_9,C_34,C_35,C_36,C_37,C_39,C_40,C_41,C_43,C_44,C_45,C_46,C_47,C_48,C_49,C_50,C_51,C_52,C_53,C_54,C_55,C_56,C_57,C_58,C_59,C_60,C_61,C_62,C_63,C_64,C_65,C_66,C_67,C_68,C_69,C_70,C_71,Mean,Std
0,256.714037481545,252.763639776845,248.956653826518,207.099759878905,167.452062810188,123.316225820012,93.8228878636699,72.9115117507835,45.9329696226129,22.3655417971185,-1.1422421725336,0.0479033859079204,-1.73068551363699,-6.56132553199768,79.6169974658791,166.03496539766,250.178836367746,171.946149238354,89.1305513082131,-4.42464084860953,17.413900750979,40.953861205745,78.2809283292559,14.5956056187041,10.674827221712,7.29893828394822,11.5155465257397,14.9887529170752,15.4523722146931,20.6099668664472,22.4348213969922,15.1613838026698,8.61282053436438,5.06960778707515,1.51476567464242,6.07656884936547,-9.65473038582268,10.7000364500164,26.2423488256932,17.2494042277486,39.0043709192499,-29.0169686586251,-29.5640329092116,-28.2441565046554,1.7600090595335371,-1.6204401536553943,0.07707926734875181,0.28989443319750074,0.08701647426483174,-0.27826666764726204,-0.052670903250360605,0.09304920094245063,0.04273450937438271,-0.18925209224103554,0.0880355505706409,0.03650707871516167,-0.184721433551923,0.150381599513809,0.005480609690157186,-0.10223228878707682,-0.29172317404590914,0.08533932747210748,-0.019464280888396315,0.008243967323847454,-0.06325672492808236,0.1106622316963459,-0.21099982783694649,-0.06532631876493729,0.09309602235642794,-0.0506722200514662,-0.058237535507388936,0.011168921573415107,0.23356370325650824,-0.11250381404878218,-0.05648244288235805,-0.08160652511341417,-0.04549247088264281,0.0993053813230785,0.1709508428832664,0.11245215919993291,-0.24309527586139845,0.00455087775676811,0.03829941423785594,-0.07604361119861149,-0.023822676599033765,0.07607172227914799,0.1514963422734881,-0.10714510675792004,3.6086614774114762,16.021986065452232
1,252.763639776845,262.804689636032,272.849818437847,220.469576676894,169.361716928982,113.210280051193,83.2036824274231,67.1612250323544,40.296632810524,18.888906467084,-2.04969047765024,0.191396169000213,-0.595505765163275,-8.50135689730815,69.9180116129148,148.698553147614,225.257216561336,156.080275551369,79.5382885454851,-9.56823306859739,10.2301737874397,31.575001824224,68.750828826249,13.7701599977849,10.0536812274847,6.45346587727315,14.8067409050121,21.9345187655176,22.5282355084768,27.5483311143861,29.3777637428007,22.7709733513842,16.8812193601824,14.3484314782194,11.76902543658,16.950923856273,-10.6596955612086,13.3924136806094,24.6447100166995,14.7440114482424,35.0566618722624,-23.6420668126607,-23.4272894258493,-23.909791988977,-1.620440153651989,3.6263565809138205,-1.599209957822566,-0.35988286895778976,-0.09549896955635448,0.0852752134584173,0.042514555853744085,0.0013663924895534676,0.0182127717810113,-0.22613146071325316,0.15424543438006155,-0.00021234948146996182,-0.003527317693868351,0.049595962219230266,-0.015008599095969116,-0.02090914277113445,-0.022469387213074177,0.03791548019303716,-0.024569065489435115,-0.035556530679804396,0.05658962789509147,-0.007228691151915262,-0.08049953080726209,0.01353471548287194,-0.018523924667794726,-0.01066575392166838,-0.02616565779615351,0.02106955759474797,0.06216654725912337,-0.08032722802475425,-0.01796616399764175,0.0004523946962285226,-0.013923280504997925,0.010140492659443426,0.12013305335136967,-0.06058325399023435,0.04611791647382576,0.07560919445598653,-0.06232564920805364,0.018558806395865164,-0.029683244044003743,0.06888306464996333,-0.023520465160748252,-0.03219384290690862,3.552398504273504,16.210943514676504
2,248.956653826518,272.849818437847,296.951543837098,234.033553272808,171.462866833598,103.567460773502,73.0102815457243,61.8320441402151,34.8852416119137,15.2064417832987,-2.52585100477492,0.522877311859335,0.494347293727367,-10.1950505715044,60.4529410667069,131.590732670729,200.599440042633,140.367472664847,70.0959135699188,-14.2525483075342,3.64358650501677,22.9065023361375,59.7348723780737,12.9278299080718,9.13753386993115,5.49919063844839,18.0270462376,28.9521317442863,29.7527505663517,34.6539298928386,36.552937869878,30.6921260696961,25.5360432084174,24.0485188536969,22.4855944973436,28.0608808889863,-11.7071736417102,16.2051467560916,23.1289380649271,13.0630073339704,31.7860171772314,-18.0014101547727,-17.9359430681289,-19.769450433107,0.07707926734498115,-1.5992099578187422,2.4228171858608616,-1.402419843003652,-0.2691345379350283,0.2527660551655543,0.19957524394735174,0.0860615016995111,-0.0893040880212526,0.1873002951060996,-0.07904353596281229,-0.11240743791312906,0.15552104873272773,-0.23022924050055898,-0.07451866574197145,0.004641650283561866,0.24426880712394158,0.029176099165918127,0.07030164890923399,-0.018493430747530532,0.07622861982902687,-0.06214914412420258,0.026282950909734547,0.08494049072183289,-0.022481271572631814,0.013792754573479999,-0.08787736114286808,0.06289642753585369,0.010593107347267193,-0.05991465828090059,-0.026499676016273444,0.014247084077337945,0.00632581673287165,-0.07437149071836976,-0.14203957198764108,-0.5350358593615552,0.2732867899096068,0.054189860947251756,-0.058487487746107326,0.0650739027778138,0.019676800647187638,-0.036146305475862166,-0.02413606496228601,-0.03846883781622003,3.4183577533577543,17.23199187085166
5,207.099759878905,220.469576676894,234.033553272808,191.809436946874,148.70764689763,101.030431462614,77.3347196495319,65.8072758047252,31.6619828209899,13.5679660402164,-0.4336273050156,0.214647011713035,-1.48243970271986,-7.7534950417823,54.953594769023,118.151154005621,179.860760504158,125.866718250964,62.6737329566606,-7.23523706419958,5.98597855925235,19.9404945172944,49.844983504463,7.09088380817971,2.48214162561634,-2.45652286969771,9.65281652660329,20.4068122246956,20.8638760989814,24.0198387753685,25.1543128831762,19.6948204632172,14.7321011055782,12.912656621359,10.9973516229503,16.2793147670871,-7.52076113601238,12.3032857415734,20.1474414574655,18.3575900411324,34.5526103761539,-10.5479143411645,-10.4685620482349,-12.6005414955911,0.2898944331983558,-0.3598828689599124,-1.4024198430022783,2.4496050078215075,-0.36207392503728947,0.00799099522159383,-0.055287735520419413,-0.3139355149841741,0.26748010259150856,0.10329991556769107,-0.10146394172556132,0.01681813624753626,0.1108887868580178,0.18587818542020765,0.0032435655030358833,-0.269312219768259,-0.21780072495870922,-0.020140338868544543,0.17423526640343143,0.08558442586877413,-0.08566929569806864,-0.021816570603794817,0.23132073073956066,-0.053770854220571075,-0.07900430786982683,0.17764706114772535,0.051114728850025964,-0.12861855834600336,-0.41571190205111674,0.4299555913151402,0.1041904009845708,0.09205102128695028,0.05830692945272485,-0.17731949551487958,-0.030182223904215957,0.20431431381150655,0.02184000560852073,-0.20507637910888515,0.146670167551468,-0.05704428150493099,0.0635275571334715,-0.12893918707664592,-0.028007441896099872,0.13830567523123588,1.8426503357753354,13.849167373776453
6,167.452062810188,169.361716928982,171.462866833598,148.70764689763,128.864807254802,100.54506089204,83.0170876403502,70.4956392185017,28.2191215590502,13.1279398931299,1.20741149879162,0.359483634093745,-1.75388982513416,-5.31369422330893,48.9655095242636,103.795033083402,158.456616833845,110.613435089677,55.5710199753842,0.16380928431663,8.84819132093058,17.0494327234499,38.9968978822235,3.28921074940099,0.978847442539769,-2.10087580720021,5.16585992237811,11.4372320249867,11.2148075466787,14.3798845566523,14.3281452941588,9.08002870562608,4.12586424093555,1.74979926507918,-0.170994775960914,5.44040254156122,-2.6783593978163,8.5656125897444,16.1302577503447,22.5532203576236,36.5868296226829,-3.64804728251013,-3.21936151568449,-5.57709664717759,0.08701647426638276,-0.09549896955924858,-0.26913453793318814,-0.36207392503734726,1.5687097577978122,-0.8970499586744026,-0.14504788962016488,0.1025755395392143,-0.2068347339645423,-0.05147235671635682,-0.03576132279682516,0.3079243347978436,-0.3199233948430934,-0.06404432121781285,0.27496371136489567,0.5905012393758655,-0.13835904555792003,-0.3295380118264783,-0.21695371989614795,0.008465991732427146,-0.08298408793676847,0.029714429161602725,0.06005063818600468,-0.02727580738626696,-0.07865621814201887,-0.062328230109000016,0.13056081443111595,-0.0009646775273777875,0.14377887568020892,-0.10542173138064229,0.0250612484435355,-0.1765999667452852,-0.09178708368008626,0.3288941146017939,0.14199621719406133,-0.08329818112941696,0.1479894292034174,-0.3011000003264487,0.13565744563042884,-0.00015044696517322223,0.002588035642431998,0.016844684387004337,-0.12219975345763254,0.10844897120497732,0.12027625152625146,11.351423137862584
7,123.316225820012,113.210280051193,103.567460773502,101.030431462614,100.54506089204,96.2198587115043,86.3245788951355,73.9368976193741,25.5258656863941,10.1183445483664,2.64604597195851,0.163432987876428,-5.15823473364581,-3.29177642949491,43.0230809159174,89.1558422576811,134.850110688687,92.4625168061086,46.2449021360449,4.27570853606868,10.1285369409076,16.8391801643698,33.3172344153142,-0.988764944078679,-3.24475824766977,-5.22014585116539,-0.0504369124363676,3.93817500119567,3.16271592187039,5.50332378345313,4.83629496185797,-0.291644178599294,-4.78775720199145,-7.36190963078966,-9.88303126937717,-5.96146511839711,0.914591337637583,4.64974111414178,12.6885680534914,21.5233370348272,33.9207455557139,-2.31885379787849,-3.07244616792053,-3.10845497981393,-0.2782666676486412,0.08527521345978475,0.2527660551641954,0.00799099522118548,-0.8970499586748494,2.6249743906430534,-1.3210298408435652,-0.315362330941065,0.10041629586371154,0.10680902738366062,0.17878819110045574,-0.3748414722640503,0.3461010939891245,-0.1634365327863393,0.00864336505286377,-0.044683508950535654,-0.1449344514743032,-0.10791396290988371,0.15340222617954075,0.07471613266561035,-0.10554768873304797,0.06065986312518864,0.025096586373983598,-0.11064338866618924,0.17428040766476569,-0.0008330763397509474,-0.056117683110305065,0.056826909326426894,0.27821233296316605,-0.30026708233015653,-0.05763917169536318,0.09333904723623923,0.06011888217204525,0.020758907730673966,0.0007710683306564028,-0.17162922400103833,-0.2324617896864477,-0.06266820545087094,0.2590632616692214,-0.05118204515750635,-0.0378211393216611,-0.09386191419611466,0.15544250438183296,0.09469137891996222,-1.0062644993894996,9.808662432335224
8,93.8228878636699,83.2036824274231,73.0102815457243,77.3347196495319,83.0170876403502,86.3245788951355,81.6714992327005,72.3009499375862,22.348944372427,7.48791834033181,3.61356907553946,-1.05041796742157,-5.77869880572931,-3.54111793402535,34.3022786556191,70.9115229985904,107.442484526259,72.8736557230688,35.1519236322698,1.5312687960477,4.33028910223896,9.63686368563432,25.4951883447106,-3.17069645718671,-4.62064024552079,-5.85264616949284,-0.366823331904297,3.471565232335,2.37630855704465,3.47403604609409,2.36572631192836,-2.20692878288344,-6.42388274668518,-8.62801225348177,-10.7306284175381,-7.49134899831098,2.57097969567295,3.08507556240341,9.7306812089096,24.0285137897521,34.8000842630412,5.36896584787331,5.62499724093019,5.40262081571619,-0.052670903249523976,0.042514555853239676,0.19957524394800036,-0.055287735520176816,-0.14504788961924295,-1.3210298408437635,3.2831120862163172,-1.7764532630687853,-0.061191505544574254,0.013726334138479852,-0.013982951677457353,-0.038719752718338066,0.07493788237611645,0.0010060607505249742,-0.14908780426721577,-0.18170011454993742,-0.045432481211992316,0.12112429632650488,-0.03767997111406735,-0.00892155847125779,0.02625075703799746,-0.015603717211503408,0.023150563773301866,0.3931822245857358,0.024449310592590458,-0.11042711651198692,-0.06016053538184714,-0.03260119450577552,0.010256145379452325,0.0007058981039032069,-0.002146868349785659,0.08306842707492403,0.04427401910193292,0.010565963929007913,0.013323437903340176,0.11273024622639716,-0.07119717930514778,0.0828125821201927,0.23146432827422544,0.04651964784995341,-0.07535820384406353,-0.0010242699519790325,-0.0010002925871198441,0.007542452250221352,-0.9172496947496948,9.036675231117941
9,72.9115117507835,67.1612250323544,61.8320441402151,65.8072758047252,70.4956392185017,73.9368976193741,72.3009499375862,67.5987902495759,18.4516652808432,4.32375995177206,3.56989486818528,-2.08791439246677,-5.53666748161096,-4.65574405408723,24.7924615108005,52.0600778767349,79.4063704658682,53.7684763065319,24.1097316370064,-4.17085666106879,-3.47746621451561,1.30233876121851,18.2848576496718,-3.24107226237134,-4.88915893689823,-5.73538088913604,0.976960832463987,6.12560388524142,4.90041958529464,5.3704903923202,4.13377434802195,0.216091728247424,-3.52912475252941,-4.84152623041062,-6.02140600439682,-3.42693702753003,3.3105365971786,3.87939821465967,9.08975842808979,25.013364962765,33.4984533195497,11.4352385155109,12.5214821572876,11.779554344792,0.09304920094156272,0.0013663924910280476,0.08606150169876596,-0.31393551498409494,0.1025755395384293,-0.3153623309404245,-1.776453263069174,2.0422615301139073,0.014665238750344018,0.005926618108341771,-0.16056875550536712,0.1881067243899241,-0.15159090961099633,0.10101667111672966,-0.03681497029474245,-0.016199052478970827,0.19016261366309284,0.1570599994654343,0.06243645761810299,-0.0717107772252321,0.1439736258694975,-0.07609379620238166,-0.059010127503523274,-0.20908367067623132,-0.0333038608827814,0.07743921964528153,-0.029449577034421196,-0.0030237323672386717,-0.1564762929457765,0.21508178302275138,-0.03626743051920941,-0.09199981662452274,-0.03025126181973293,-0.11549997424125147,-0.14988340468022918,0.1451018857307622,0.011247055776458428,0.18489202049098002,-0.5633066329455639,0.08714745135117148,0.011503893089081044,0.08943258208633982,-0.03610113694949136,-0.20731106573126745,-0.2657348901098899,8.221240189264384
34,45.9329696226129,40.296632810524,34.8852416119137,31.6619828209899,28.2191215590502,25.5258656863941,22.348944372427,18.4516652808432,19.4288469935568,5.88023519752887,4.73508644399655,-1.76963776804842,-3.51825203615587,-2.59137100867328,18.4658174479426,36.815354199456,55.86196034382,37.3369323768962,18.0521839895615,-7.81372832194699,-3.03303139240501,6.076553765124,23.8973024685087,3.67858578542,-0.288461773760966,-3.44245330719954,-1.1995490203285,0.288141586726262,0.55062918733513,0.894598357508533,0.84592121001325,-0.65022504231563,-2.34530108505724,-1.95403506958134,-1.39528819772369,-2.19767973954048,-2.29471283999042,0.865201613114359,7.48285632852884,30.7113695008118,34.0044510011681,13.4394060435772,13.1912330426211,13.4780496995817,0.04273450937466882,0.018212771780386272,-0.08930408802102,0.2674801025915616,-0.20683473396457142,0.10041629586365675,-0.061191505544413695,0.014665238750292657,1.053107841782199,0.008254936776641067,-0.4963975692664035,0.056052237667990085,0.13777502349226942,0.2584595887801072,-0.346329584869812,0.07338823692759983,-0.23806552607421344,0.06985781787928332,0.17350414561666186,-0.014826602502174348,0.11554698636121091,-0.005689545938334998,-0.18152007070237036,0.053241555478756204,-0.04144202776466476,0.06471555464160372,-0.008434875204399481,-0.06234161778740162,0.15506543948873852,-0.004582378988419123,-0.07358936064152237,-0.02401830113239964,0.03472649877056841,0.10205823667613377,-0.009860910181230644,-0.3031410528107904,0.14989739489895118,0.12321261460424177,-0.06348493342433194,-0.050352643826305936,-0.050709906718093466,0.2264007315507854,-0.12591500442195028,-0.010118513442564156,-0.9451724664224661,4.406682084466361
35,22.3655417971185,18.888906467084,15.2064417832987,13.5679660402164,13.1279398931299,10.1183445483664,7.48791834033181,4.32375995177206,5.88023519752887,8.6912091928577,4.3854493464798,3.26955905687319,2.78717137098833,0.619938032981898,8.21340437584738,17.1163981941159,26.530488635281,18.5459177597641,11.0071990517625,-3.419269920246,4.03161731842849,8.33428278795656,9.03035345075466,4.23640988829503,5.10455288209194,4.78503826965052,2.07850617943866,0.523872029047828,0.273157995318268,0.02782905459472,-0.663567912578155,-2.35709208712892,-4.31380219697879,-3.22040910867288,-1.93962400316337,-1.06368343224943,0.932505894005178,-0.080263805789776,1.91072156222448,18.9480076757403,22.3908478343407,14.2676194266451,12.0856150242374,10.4811332017823,-0.189252092241907,-0.22613146071207355,0.18730029510568705,0.10329991556750205,-0.0514723567165975,0.1068090273835705,0.013726334138966225,0.0059266181080104,0.008254936776618338,1.0823719701743522,-0.33853231527773947,0.04215163991437179,-0.071467874050639,0.08536981665560638,0.17528674899426197,0.06617189177803526,-0.038113032812334996,0.019341933848983046,-0.1641120860449911,0.11719839470232517,-0.1372886848263765,-0.015322616237797144,0.15834789222137127,-0.06186042807561773,-0.005526280182377347,-0.09959803363465333,0.21205656109845494,-0.05683551261034416,-0.10078635981481261,0.09425228545207065,0.024412572282978374,0.02104011448102568,0.1082155116118782,0.05142687492116569,-0.11630752750551021,-0.00028076256828516794,-0.12540868617992282,0.07805981028564647,0.02229625577267092,0.22384773889629492,-0.3158764716804736,0.11129792595024593,-0.09419500343990074,0.04205174516847035,0.6845566239316238,2.946389178784382
